iter	Passed	Remaining
0	19	5796
1	38	5717
2	57	5650
3	73	5475
4	92	5450
5	111	5473
6	129	5426
7	147	5393
8	167	5410
9	188	5462
10	208	5470
11	228	5483
12	248	5490
13	269	5509
14	287	5459
15	304	5410
16	322	5366
17	341	5354
18	359	5313
19	377	5280
20	394	5246
21	416	5257
22	434	5227
23	454	5222
24	472	5195
25	492	5191
26	511	5174
27	532	5168
28	551	5157
29	568	5117
30	588	5108
31	606	5078
32	624	5053
33	643	5037
34	664	5029
35	684	5021
36	704	5008
37	723	4986
38	742	4967
39	761	4950
40	780	4930
41	798	4907
42	817	4888
43	837	4870
44	853	4838
45	874	4829
46	894	4817
47	911	4786
48	930	4768
49	951	4759
50	969	4734
51	987	4710
52	1007	4693
53	1025	4672
54	1045	4658
55	1063	4631
56	1082	4615
57	1101	4596
58	1124	4593
59	1143	4572
60	1161	4549
61	1181	4533
62	1199	4512
63	1219	4498
64	1237	4473
65	1254	4448
66	1276	4437
67	1312	4476
68	1329	4449
69	1346	4425
70	1367	4409
71	1385	4387
72	1405	4370
73	1425	4354
74	1447	4342
75	1467	4326
76	1488	4309
77	1507	4290
78	1526	4269
79	1542	4242
80	1562	4223
81	1581	4205
82	1603	4191
83	1621	4168
84	1640	4148
85	1658	4125
86	1676	4105
87	1695	4084
88	1716	4068
89	1736	4052
90	1754	4029
91	1773	4009
92	1791	3988
93	1809	3965
94	1827	3944
95	1844	3919
96	1863	3900
97	1884	3884
98	1905	3868
99	1923	3846
100	1942	3827
101	1960	3805
102	1978	3784
103	1996	3762
104	2015	3743
105	2033	3722
106	2052	3702
107	2072	3684
108	2091	3664
109	2110	3644
110	2130	3627
111	2146	3603
112	2164	3581
113	2184	3564
114	2204	3546
115	2221	3524
116	2238	3501
117	2256	3479
118	2273	3457
119	2292	3439
120	2311	3418
121	2331	3402
122	2349	3380
123	2369	3362
124	2385	3339
125	2405	3321
126	2425	3303
127	2444	3284
128	2462	3264
129	2482	3245
130	2501	3227
131	2517	3204
132	2535	3183
133	2554	3165
134	2574	3146
135	2593	3127
136	2611	3107
137	2628	3085
138	2647	3066
139	2667	3048
140	2686	3029
141	2707	3012
142	2726	2993
143	2743	2972
144	2762	2953
145	2781	2933
146	2800	2914
147	2818	2895
148	2836	2874
149	2854	2854
150	2874	2836
151	2894	2818
152	2913	2799
153	2931	2779
154	2950	2759
155	2967	2739
156	2988	2722
157	3004	2699
158	3024	2682
159	3042	2662
160	3060	2642
161	3078	2622
162	3096	2602
163	3114	2582
164	3131	2562
165	3149	2542
166	3168	2523
167	3187	2504
168	3207	2486
169	3225	2466
170	3245	2448
171	3264	2429
172	3283	2410
173	3301	2390
174	3318	2370
175	3336	2350
176	3353	2330
177	3371	2310
178	3390	2292
179	3410	2273
180	3428	2253
181	3445	2233
182	3461	2213
183	3480	2194
184	3498	2174
185	3518	2156
186	3536	2137
187	3554	2117
188	3573	2098
189	3592	2079
190	3610	2060
191	3644	2049
192	3663	2031
193	3681	2011
194	3698	1991
195	3716	1972
196	3735	1952
197	3753	1933
198	3772	1914
199	3791	1895
200	3810	1876
201	3829	1857
202	3847	1838
203	3865	1819
204	3884	1800
205	3903	1781
206	3923	1762
207	3942	1743
208	3960	1724
209	3979	1705
210	4000	1687
211	4016	1667
212	4032	1647
213	4051	1628
214	4070	1609
215	4088	1589
216	4106	1570
217	4124	1551
218	4143	1532
219	4160	1513
220	4178	1493
221	4195	1474
222	4214	1455
223	4232	1436
224	4251	1417
225	4270	1398
226	4287	1378
227	4304	1359
228	4323	1340
229	4342	1321
230	4358	1301
231	4376	1282
232	4392	1263
233	4410	1243
234	4428	1224
235	4447	1205
236	4466	1187
237	4483	1168
238	4502	1149
239	4520	1130
240	4539	1111
241	4556	1092
242	4574	1073
243	4591	1053
244	4609	1034
245	4628	1016
246	4647	997
247	4666	978
248	4684	959
249	4704	940
250	4722	921
251	4740	903
252	4757	883
253	4774	864
254	4792	845
255	4808	826
256	4826	807
257	4844	788
258	4862	769
259	4879	750
260	4896	731
261	4915	712
262	4931	693
263	4949	674
264	4966	656
265	4984	637
266	5004	618
267	5020	599
268	5037	580
269	5055	561
270	5071	542
271	5091	524
272	5111	505
273	5127	486
274	5144	467
275	5161	448
276	5180	430
277	5198	411
278	5216	392
279	5234	373
280	5252	355
281	5271	336
282	5290	317
283	5308	299
284	5329	280
285	5346	261
286	5365	243
287	5382	224
288	5398	205
289	5419	186
290	5437	168
291	5455	149
292	5475	130
293	5495	112
294	5515	93
295	5533	74
296	5553	56
297	5571	37
298	5589	18
299	5606	0
