title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"IT Chapter Lead for Platform Asia (DevOps) – WB Tech FMGT, Singapore",ING BANK N.V.,MCF-2023-0719314,"REPUBLIC PLAZA, 9 RAFFLES PLACE 048619",Full Time,Professional,10 years exp,Banking and Finance,"['$10,000to$12,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Business Function:

WB tech Financial Markets & Group Treasury is responsible for the IT environment that enables the most crucial commercial activities of ING: Trading, Risk Management, and Liquidity Management.
Platform I area delivers best in class highly specialized technology platform to FM&GT users while anticipating on future needs. It responsible for the reliability and stability of applications, connections and servers while making sure that all assets follow the IT Risk Minimum Standards.

Job description

ING is looking for an enthusiastic IT Chapter Lead responsible for leading DevOps Engineers in Singapore and would be part of global squad located in Amsterdam, and India within Platform I area in ING Financial Markets.
Your responsibility is to inspire and build up the right capabilities and competencies to individual chapter members, equip them with right skills, providing coaching, hiring, retention, performance reviews, guiding Engineers at different stages in their career, behavioral aspects and helping them with their career development and progression. You will support the squads by providing technical advice and guidance.
As an IT Chapter Lead, you are also a “doer”. Sixty percent of your time, you work as a squad engineer with one of designated squad and Forty percent of your time for Chapter duties. You use your seniority to maximize team performance.

Responsibilities:

Great people skills to build and manage cross functional team
Create a culture in which your chapter engineers take responsibility, help each other to be successful and always stay a step ahead
Our platform has a global user base of Ops Control in Manila and Europe, you are responsible for support, oversee and managing production incidents.
As part of a cross-border Squad you work in an Agile/Scrum way, on the backlog prioritized by a Product Owner, and you demo your features to other colleagues and the stakeholders.
Ability to constantly balance the pressure of (IT Risk within risk appetite) targets of the engineers you oversee and the quality of stories they deliver
Foster a continuous learning culture, create a drive for craftmanship and inspire chapter members to knowledge share and upskill each other.
Ensure that proper change management are followed to avoid impacting production.
Drive for effective problem management, ensure preventive and detective measures of the applications are identified and resolved through the backlog with communication/ dialogue with the Product Owner
Recruitment, development, retention, including career development for engineers in the Chapter.
You look for improvement opportunities on stability, security, user experience, and proactively/ constructive bring these suggestions to the Squad/ PO for implementation.
We expect you to be responsible and take ownership. Be open, honest, communicate clearly (in scrum ceremonies and outside) and most importantly be eager to learn and proactively improve, yourself, the chapter you oversee and the ecosystem around you.

Requirement

A University degree in Computer Science or equivalent
Minimum of 10 years of experience in development & application support role, including functional knowledge to support end users.
A customer focus, with the mindset to find and resolve root causes of incidents to structurally improve the customer experience.
IT Operation support experience, combined with analytical skills to identify root causes in workflows incidents (data, technical, functional).
Hands-on experience in Windows Server, SQL Server, C#.Net (and VBA) programming, web server configurations (IIS)
Exposure to CI/CD pipeline tools GIT, modern stack (Azure, AWS, Docker, Kubernetes etc), logstash, Prometheus, Grafana, Kibana, ServiceNow etc
Knowledge in Networking (including firewall, file transfers, etc.)
Experience in Agile / Scrum / DevOps methodologies
Strong Knowledge of Financial Market Products is a plus.
Experience or affinity with IT Risk & Security concepts
Great analytical skills and conceptual / architectural understanding, ability to learn new technical concepts fast.
A good team player, cross functional, enjoys interacting with people of all levels in a multicultural environment
Strong resilience, constructive and collaborative mindset
Willingness to continuously improve technical skills
Strong communication skills, in English"
IT Support Engineer,INFORMA SOLUTIONS PTE. LTD.,MCF-2023-0718423,1093 LOWER DELTA ROAD 169204,Contract,Junior Executive,2 years exp,Information Technology,"['$4,000to$4,200']",Monthly,3 applications,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Act as the first point of contact for clients with issues concerning their computer systems and equipment.
Interact with clients via phone, email or chats and provide concise written/verbal instructions.
Keep track of system issues and adhere to the agreed timeline until an issue is resolved.
Follow up with clients, ensuring their computer systems are functioning properly after troubleshooting.
Proficient with Ariba Procuremtn tool & softwares.
Maintain procedural documents and reports.
Monitor and maintain computer networks, Configure operating systems.
Diagnose, troubleshoot, and resolve issues using customer input.
Learn and work with emerging technologies.
Follow standard procedures to resolve issues by connecting them to relevant internal departments.
Provide prompt, accurate feedback to customers.
Ensure proper documentation of all issues.
Prepare prompt, accurate reports.
Document technical knowledge in the knowledge database.
Train people on how to use different systems.
Monitor daily performance of technical systems.
Help companies deploy new software or hardware systems."
IT Support Engineer,NTT SINGAPORE PTE. LTD.,MCF-2023-0719016,,Full Time,Executive,2 years exp,"Engineering, Information Technology","['$2,500to$5,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities
Perform Level 1 TSE roles
Perform Incident Management
Perform ITSM incident handling
Perform monitoring management
Perform Network Level 1 troubleshooting
Perform System/Server Level 1 troubleshooting
Requirements
Willing to work on shift
At least 2 years' experience in engineering support function
Able to work on 12-hour shifts
At least a Diploma or relevant qualification
Demonstrated experience required in Engineering function within a medium to large ICT organization
Demonstrated experience of Managed Services
Demonstrated working knowledge of ITIL processes
Demonstrated experience working with vendors and/or 3rd parties"
IT Project Coordinator,MTS GLOBAL PTE. LTD.,MCF-2023-0719432,,Contract,Executive,3 years exp,Information Technology,"['$4,000to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities
To work along with the development tech lead and PM/PGM to assess and plan the project deliverables To work with different Tech teams to secure the current status and prepare and present the status reports to customer
To co-ordinate with the project team and influencing them to execute the actionable as per agreed schedule
To Review the Release notes submitted by the partner team and provide the feedback
To provide the logistic support to the project Team and PM & PGM
To provide inputs in the Project Planning process.

Requirements
3- 5 years Software Development experience or Business Analytics in the technology industry
Prior experience with JIRA preferred (Not Mandatory)"
Sales IT Engineer,STAFFLINK SERVICES PRIVATE LIMITED,MCF-2023-0718430,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903","Permanent, Full Time",Junior Executive,1 year exp,"Engineering, Information Technology, Sales / Retail","['$3,000to$4,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Location: Lavender
Mondays - Fridays: 9.00 AM - 6.15 PM
AWS + Allowance provided
Our client is a well-established MNC that manufactures automation sensors, vision systems & measuring instruments.
Responsibilities:
Provide technical consultation and service to customers to help solve their applications using our client's products in a variety of industries, selecting and promoting the proper company products/services for their application.
Respond promptly and efficiently to customer requests.
Secure new customers consistently and efficiently.
Travel to customer locations three days per week and successfully sell products/ services into a wide variety of manufacturing & related industries.
Coordinate account strategy and contribute to territory's strategic plan.
Successfully implement new product-launch strategies.
Deliver growth in market share within assigned sales territory.
Coordinate off-site seminars and trade shows as needed.
Manage day-to-day activities with little to no managerial supervision.
Understand and observe company / department policies and procedures.
Other duties or projects as assigned
Requirements:
Preferably Degree in engineering field. Candidates with a business related degree would also be considered.
Able to work in manufacturing environments.
Excellent presentation, oral and written communication skills.
Ability to listen and pro-actively react to customer questions and requests.
Willingness to travel 60% of the time, including the possibility of overnight travel.
Possess Class 3 driving license
HOW TO APPLY:
Interested applicants, please click on “Apply Now”.

We regret only shortlisted candidates will be notified.

Stafflink Services Pte Ltd
EA Licence No.: 04C4294
EA Personnel: Chua Xue Min (Joesefyn)
EA Personnel Reg. No.: R23113090"
IT Executive (FO),BUDDHA TOOTH RELIC TEMPLE (SINGAPORE),MCF-2023-0718456,"Buddha Tooth Relic Temple & Muse, 288 SOUTH BRIDGE ROAD 058840",Full Time,Executive,4 years exp,Information Technology,"['$2,800to$3,400']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
We are looking for an analytical self-starter who is excited by growth, has a great learning attitude, who is not afraid to try, learn and join a small but growing team.
Support daily financial analysis, forecasting and reporting.
Strong hands-on experience Microsoft Dynamics 365.
Building key operations partners, logistics, and fulfillment services for effective sales capture.
Monthly reporting, sales forecasting, budgeting, inventory/ raw material management
E-commerce growth analysis with good report writing and analytics skills.
Analyzing market trends and developing key insights for future business growth and devising key strategies for growth.
Data checking, format standardization, replenishment, abnormality investigation.
Collaborate with Finance Department to prepare for income statements, balance sheets, cash flow and other financial statistical reports.
Process vendor invoices
Requirements:
Minimum diploma in Information Systems / Technology, Computer Science, or related discipline with 1 year of work experience in the related technical domains and industry.
Proficiency in EXCEL."
IT Service Desk Analyst,PERCEPT SOLUTIONS PTE. LTD.,MCF-2023-0719393,,"Contract, Full Time",Junior Executive,2 years exp,Information Technology,"['$2,300to$2,700']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description:
Perform first level troubleshooting on all reported incidents and escalate incidents to 2nd level resolver groups as per work instructions.
Furnish and submit timely updates to customers on the status of outstanding issues within targeted Service Level
Maintain ownership of cases and follow-up on reported issues until closure and gather accurate and complete relevant information is recorded.
Manage customer expectations and notify Team Lead in the event of unusual surge in calls of a specific nature.
Handle initial classification/ prioritization of the incidents. Track the progress of resolution and provide regular updates for follow-up actions and incident status
Skills Required:
Working experience as a Service Desk Analyst
Experience on Microsoft Exchange / Outlook,Microsoft Windows
To apply please click the Apply button or send us your updated profile to recruit@percept-solutions.com
EA Licence No.:18S9405 / EA Reg. No.:R1330864
Percept Solutions is undergoing a growth phase and are on the lookout for talent. Applicants are encouraged to follow Percept Solutions on LinkedIn @ https://www.linkedin.com/company/percept-solutions/ to stay up to date on our upcoming roles and events."
IT Support Engineer (Ref 25432),JOBLINE RESOURCES PTE. LTD.,MCF-2023-0718275,,"Contract, Full Time",Executive,2 years exp,Information Technology,"['$2,800to$4,500']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Responsibilities:
- Act as the first point of contact for clients with issues concerning their computer systems and equipment.
- Interact with clients via phone, email or chats and provide concise written/verbal instructions.
- Keep track of system issues and adhere to the agreed timeline until an issue is resolved.
- Follow up with clients, ensuring their computer systems are functioning properly after troubleshooting.
- Proficient with Ariba Procuremtn tool & softwares.
- Maintain procedural documents and reports.
- Monitor and maintain computer networks, Configure operating systems.
- Diagnose, troubleshoot, and resolve issues using customer input.
- Learn and work with emerging technologies.
- Follow standard procedures to resolve issues by connecting them to relevant internal departments.
- Provide prompt, accurate feedback to customers.
- Ensure proper documentation of all issues.
- Prepare prompt, accurate reports
- Document technical knowledge in the knowledge database.
- Train people on how to use different systems.
- Monitor daily performance of technical systems.
- Help companies deploy new software or hardware systems.

Requirement:
- Minimum DIPLOMA or NITEC with 2-3 Years for Working Expericne
- Excellent analytical and problem-solving skills.
- Proficient with Ariba Procuremtn tool & softwares.
- Well versed in all Microsoft Office applications, especially Excel, Word, PowerPoint, and Outlook
- Strong verbal and written communication skills.
- Good interpersonal skills.

Licence No: 12C6060"
IT System Engineer (Junior / Senior),TALENTSIS PTE. LTD.,MCF-2023-0719067,,"Permanent, Full Time",Fresh/entry level,1 year exp,Information Technology,"['$4,200to$5,200']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities
Plan, execute, monitor and control the various technical aspect of the project.
Manage or participate in new setup or upgrade of system/network infrastructure projects.
Responsible for supporting operational systems satisfying contractual Service Level Agreement
Perform and manage routine preventive maintenance and operational activities
Provide project documentation and reports
Diagnose and rectify technical issue
Requirements
Experience in Windows server OS, Unix/Linux OS & VM environment
Good knowledge and hands-on experience with Microsoft SQL Server would be an advantage
Good Working knowledge with VPN, firewall appliances and Cisco routers/switches
Excellent written and verbal communication to convey technical ideas to both technical and non-technical audiences and contribute within a team environment
Pro-active, dynamic and with good analytical/conceptual thinking
Only shortlisted candidates will be notified.
Please email a copy of your detailed resume to qianyu@talentsis.com.sg for immediate processing.
(EA Reg No: 20C0312)"
IT Talent Acquisition Specialist - SPCT,SCIENTEC CONSULTING PTE. LTD.,MCF-2023-0480343,"HARBOURFRONT CENTRE, 1 MARITIME SQUARE 099253",Full Time,Senior Executive,3 years exp,Human Resources,"['$4,000to$6,000']",Monthly,18 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description:
We are seeking a highly motivated and experienced Tech Recruiter to join our team. As a Tech Recruiter, you will be responsible for identifying, attracting, and hiring top talent in the technology industry. You will play a crucial role in building our technical teams and supporting our company's growth and success.

Responsibilities:
· Keeping abreast of talent market and implement effective sourcing strategies to identify qualified candidates for various technical roles.
· Collaborate with hiring managers to understand their technical requirements and create job descriptions that accurately reflect the role's responsibilities and qualifications.
· Utilize various sourcing channels, including online job boards, social media platforms, professional networks, and industry events, to attract passive candidates.
· Manage effective relationships with recruitment partners, ensuring robust and high-quality talent pipeline and successful delivery for on time hires for tech talents.
· Review resumes, conduct initial screenings, and interview candidates to assess their technical skills, experience, and cultural fit.
· Coordinate and schedule interviews, technical assessments, and follow-up meetings between candidates and hiring teams.
· Provide a positive candidate experience throughout the recruitment process, ensuring timely communication and feedback.
· Conduct reference checks and background screenings to validate candidates' qualifications and employment history.
· Collaborate with related stakeholders to secure approval, prepare and extend job offers, and facilitate smooth onboarding process for new hires.
· Participate in projects for industry trends at different markets, gather local insights, and competitive intelligence to effectively compete for top technical talent.
· Track and analyze recruitment metrics to measure the effectiveness of sourcing strategies and identify areas for improvement.

Requirements:
· Bachelor's degree in a related field.
· Proven work experience as a Tech Recruiter or similar role, preferably in a fast-paced technology company.
· In-depth understanding of technical roles, skills, and qualifications in the technology industry.
· Familiarity with various sourcing techniques and tools.
· Excellent communication and interpersonal skills, with the ability to build relationships with candidates, hiring managers, 3rd party recruitment partners and team members.
· Ability to multitask and prioritize effectively in a dynamic recruitment environment.
· Knowledge of employment laws and regulations related to recruitment and selection.
· Exceptional organizational skills and attention to detail.
· Results-oriented mindset with a focus on meeting recruitment targets and objectives.
• Singaporean(s) Only

Coen Tay Zhi Xuan (R1989334)
Scientec Consulting Pte Ltd (ScienTec Personnel) -11C5781"
