title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Accounts Assistant,NOVEM HEALTHCARE PTE LTD,MCF-2023-0718265,"SOLSTICE BUSINESS CENTER, 23 NEW INDUSTRIAL ROAD 536209",Permanent,Junior Executive,3 years exp,Accounting / Auditing / Taxation,"['$2,600to$3,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description & Requirements
Accounting
In charge of accounts payables and accounts receivables
Inter-company billings, maintain petty cash
Support accounting functions and ensure the department runs smoothly
Monthly closing of two small sets of accounts
Quarterly filing of GST
Year-end audit preparation
Other ad-hoc duties as and when required
Administrative
In charge of office supplies
Manage company vehicles’ servicing and maintenance and source for service quotations
Other ad-duties as and when required e.g., staff engagement activities

Skills and Qualifications
Candidate should have at least Diploma/LCCI in Accountancy or other equivalent qualifications and minimum 3 or more years of relevant working experience
Proficient in Microsoft Excel and Words
Knowledge/experience with SAP B1 preferred but not mandatory as training will be provided
Able to learn fast, work independently and adapt to a fast-paced environment
Be a team player who has initiative and able to multitask
Meticulous and organised
Possess good interpersonal and communication skills
Able to start within short notice will be an advantage"
Accounts Officer,RANDSTAD PTE. LIMITED,MCF-2023-0719804,,"Part Time, Full Time",Fresh/entry level,,Accounting / Auditing / Taxation,"['$2,500to$3,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
about the company
My client is a well-established MNC which has business interests spanning across various industries. There is now an exciting opportunity for a hands-on finance professional to join their Finance team as an Accounts Officer.

about the job
Reporting to the Finance Manager, you will work within a team where you will be responsible for the full sets of accounts and being hands-on in GL, AR and AP entries. You will also be preparing GST returns and assisting in Corporate Tax filings.

skills and experience required
You should at least be qualified with a diploma/degree in Accounting or Finance. Candidates with no prior work experience can also be considered. You are proficient with Microsoft Excel and SAP. You are willing to learn and can look forward to working in a collaborative environment.

To apply online please apply on https://www.randstad.com.sg/jobs/accounts-officerexecutive_singapore_42335526/

Alternatively you may contact Michael Lai at +65 86116768. (EA: 94C3609/R2199939)"
Accounts Executive,HUATIONG CONTRACTOR PTE LTD,MCF-2023-0719085,9 BENOI CRESCENT 629972,Full Time,Junior Executive,2 years exp,Building and Construction,"['$3,200to$4,800']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Maintain full sets of account (AP, AR & GL functions);
Prepare and submit quarterly GST returns;
Establish and enforce proper accounting methods, policies, principles & accordance to standard requirement;
Improve systems and procedures, and initiate corrective actions;
Assist in month-end and year-end closing activities;
Manage the financial & statutory accounting for entities assigned, which includes preparation of financial statements & their notes.
Provide commentary for management reporting regarding profits, cash flow and other financial results.
Assist in the cash flow management and treasury functions.
Assist in tax matters
Other ad-hoc work as assigned by the management
REQUIREMENT:
Degree Holder in Accounting or equivalent / ACCA
At least 4 years of relevant working experience in financial reporting
Excellent analytical, mathematical and problem-solving skills
Proficient in system knowledge and computer applications, excellent Excel and PowerPoints Skills
Must be able to work independently
Able to work under pressure and meet tight deadlines
Good interpersonal and communication skills
Transportation services are provided
5 working days
Remuneration will commensurate with qualification and experience."
Accounts Assistant,URBANFOX PTE. LTD.,MCF-2023-0719697,"Annexe Building, 1 27 Greenwich Drive 533912","Permanent, Full Time",Fresh/entry level,1 year exp,"Accounting / Auditing / Taxation, Admin / Secretarial, Banking and Finance","['$1,800to$2,200']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
The role:
To perform day to day transactions, including verifying, classifying, computing, posting and recording account receivables & payable data.
To reconcile the ledger and aging report to ensure that all payments and invoices are accounted for and properly posted.
To verify discrepancies and resolve clients’ invoice issues.
To do filing of invoices
To expedite collections of invoices due by sending payment reminders and contacting clients
To create/update the contract/renewal contract in finance system.
Other duties as assigned

About you:
Candidate must possess at least a Professional Certificate, Diploma in Accounting and Finance, Management, Business Studies / Administration or equivalent
Self-motivated with a desire to succeed
Strong analytical skill and meticulous in detail
Proficient in Office 365 suite (MS Excel, Word, PowerPoint)
Familiar with SAP and OMS Software will be an advantage
Candidates with admin experience may apply"
Accountant II,DONALDSON FILTRATION (ASIA PACIFIC) PTE LTD,MCF-2023-0719381,"CENTENNIAL TOWER, 3 TEMASEK AVENUE 039190",Permanent,Senior Executive,5 years exp,Accounting / Auditing / Taxation,"['$4,000to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Responsible for all finance functions and activities in the Singapore office and work closely with the auditor and tax consultant.
Ensure accuracy, completeness and timeliness of accounting records to meet all internal and external reporting requirements in compliance with local and US GAAP.
Fulfill all tax filing, internal and external audit requirements.
Support supervisor on budgeting and forecasting.
Identify improvements in business processes and internal controls to ensure compliance with corporate policies and procedures.
Review costing and provide monthly margin analysis.
Demonstrated ability to develop constructive working relationships across organizational or functional boundaries.
Prepare monthly depreciation and maintain fixed asset registered.
Review months end close activities, prepare journal entry for accruals, prepayments, adjustments etc.
Understand Accounts Receivable and Accounts Payable function well and provide guidance to SSC team as needed.
Prepare monthly reconciliation and provide variance analysis and commentaries.
Review capital expenditure requests to ensure business and financial justifications are sound as well as compliance to the relevant policies.
Ad-hoc activities as assigned by the supervisor.

Key Qualifications & Requirements
Education Qualification:
Bachelor degree in Commerce / Accounting.
CA qualification or equivalent.
Technical Competence & Skills:
Knowledge of US and local GAAP, local tax and statutory regulations.
Experience in ERP system (Oracle will be a distinct advantage).
Relevant Experience:
At least 5 years of experience.
Experience in Sarbanes-Oxley (SOX) compliance.
Highly organized with an excellent ability to manage multiple priorities under pressure and tight deadlines with minimum supervision.
Others:
Fluent written and spoken English.
Comfort working with senior management.
Independence and decisiveness.
High integrity and credibility."
Project Accountant,BEATHCHAPMAN (PTE. LTD.),MCF-2023-0718898,"TWENTY ANSON, 20 ANSON ROAD 079912","Permanent, Full Time",Middle Management,4 years exp,Accounting / Auditing / Taxation,"['$6,000to$6,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
A market leader in the Manufacturing industry is seeking a Project Accountant to join their fast-growing organisation.
Reporting to the Finance Director, you will be the key driver in the management of financial transactions (Payments, Receivables, Journal entities), reporting, forecasts, budgets. You will be a key business partner to functions like project engineers, managers and sales team pertaining to supplier payments, bank guarantees, cash forecasts and tax/audit preparation. This involves driving management reporting for stakeholders, as well as overseeing the fixed assets, and preparation of financial for project reviews.
The ideal candidate should have a degree in Accountancy and Finance and have minimum of 4 years of relevant project accounting experience. You enjoy working both independently and within a team, while possessing strategic thinking and the ability to drive changes for the growth of the business.
If you are keen, please click on the link to apply or email me with your updated CV at jillian.yip@ethosbc.com. Alternatively, if you are looking out within the finance space, feel free to send across your resume."
Accounts Assistant,MALAYSIA DAIRY INDUSTRIES PRIVATE LIMITED,MCF-2023-0718316,2 DAVIDSON ROAD 369941,Full Time,Non-executive,2 years exp,Accounting / Auditing / Taxation,"['$2,200to$2,600']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
We are a local business with a long tradition and stable environment , we offer:
Fixed and variable bonuses
Staff prices for company products
5 days work-week
Responsibilities:
Data entries for accounts receivable and follow up with outstanding invoices
Summaries of total daily sales collections & issuance of receipts
Preparation of DR/CR notes and monthly statement of accounts
Checking of daily sales report & promoters’ commissions
Requirements:
GCE 'O' or “N’ level or LCCI intermediate bookkeeping certificate
Proficient in Microsoft Excel
Interested applicants, please write in with detailed resume, stating current and expected salary to : jesslyn_lai@mdi.com.sg"
Accounts Executive,MILLENNING PTE. LTD.,MCF-2023-0718266,"THE SAIL @ MARINA BAY, 2 MARINA BOULEVARD 018987","Part Time, Internship/Attachment",Junior Executive,5 years exp,"Accounting / Auditing / Taxation, Admin / Secretarial, Banking and Finance, Customer Service","['$2,000to$4,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Join a progressive digital startup with plenty of growth opportunities!

We are a MAS licensed fintech remittance company.

The candidate will support the operations functions of the company :-

- Support Customers and Associates in multi digital platforms : wechat, whatsapp, and emails

- Team work with co-colleagues in data postings on googlesheets and in our in house platform system

- Perform Start-of-Day and End-of-Day reconciliations

- Perform Daily FX Rates setting

- Support Accounts Payable duties



Requirement:

- Integrity and Loyalty are essential attributes
- Computer Skills in digital chats, Microsoft Office, Googlesheets
- Min A level and equivalent
- Min 5 years of work experience in Accounting, Auditing or Banking preferred but not a must"
Accounts Assistant,SRI KRISHNAN TEMPLE,MCF-2023-0719300,"KRISHNAN TEMPLE, 152 WATERLOO STREET 187961",Full Time,Senior Executive,3 years exp,Accounting / Auditing / Taxation,"['$2,000to$3,500']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
The Accounts Assistant plays a vital role in supporting the financial operations of the temple. This position assists in maintaining accurate financial records, processing transactions, and providing administrative support to the Trusteeship.

In this role, your responsibilities will include, but are not limited to:

Financial Record Keeping
o Assist in maintaining accurate and up-to-date financial records, including invoices, receipts, and other documents.
o Ensure proper filing and organisation of financial records for easy retrieval and reference.
Accounts Payable and Receivable
o Assist in processing payments to vendors, contractors, and service providers, ensuring accuracy and adherence to payment schedules.
o Assist in managing accounts receivable, including tracking donations, issuing receipts, and coordinating with donors or members for outstanding payments.
o Help with bank reconciliation by matching financial records with bank statements.

Expense Monitoring and Reconciliation
o Assist in monitoring and reconciling expense reports and receipts submitted.
o Verify the accuracy and completeness of expense documentation and ensure adherence to the temple's financial policies and procedures.

Financial Reporting
o Assist in preparing financial reports, including balance sheets, income statements, and cash flow statements.
o Support generating financial reports or statements for review by senior management and MCCY
o Help collect and compile financial data for internal and external reporting and auditing purposes.
Administrative Support
o Assist in managing correspondence and communication related to financial matters, both internally and externally.
o Contribute to maintaining and organising financial files, documents, and records.
Compliance and Regulations
o Ensure compliance with financial regulations, tax laws, and reporting requirements applicable to the temple.
o Support the finance team in preparing necessary documentation or reports for audits or government agencies as needed.

About this role
o 5-Day Work Week
o Working hours: 9am – 6pm (with 1 hour lunch break)
o Annual leave/medical leave entitlements

To be shortlisted for this role you should have;
o Diploma or equivalent additional education or training in finance or accounting.
o Prior experience in a finance or accounting role is a plus.
o Proficiency in using financial software and MS Office applications, particularly Excel.
o Basic understanding of financial principles, practices, and terminology.
o Strong attention to detail and accuracy in data entry and record keeping.
o Excellent organisational and time management skills.
o Effective communication and interpersonal abilities.
o Effectively bilingual in English and Tamil (required for this role)"
Account Manager,ANACLE SYSTEMS LIMITED,MCF-2023-0719256,"SYMBIOSIS, 3 FUSIONOPOLIS WAY 138633",Permanent,Fresh/entry level,,"Information Technology, Sales / Retail","['$4,000to$6,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Be the primary point of contact and build long-term relationships with customers
Help customers through email, phone, online presentations, screen-share and in person meetings
Develop a trusted advisor relationship with key accounts, customer stakeholders and executive sponsors
Ensure the timely and successful delivery of our solutions according to customer needs and objectives
Communicate clearly the progress of monthly/quarterly initiatives to internal and external stakeholders
Forecast and track key account metrics
Update job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations
Enhance department and organization's reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments
Responsible for keeping current clients satisfied and delivering exceptional client service on a day-to-day basis
Monitor and analyze customer's usage of our product and do market research on existing competition
Responsible for working with the Sales team to onboard and integrate new clients and developing existing client relationships.
Liaise between the customer and internal teams
Requirements:
Possess a Bachelor’s Degree, Post Graduate Diploma, Professional Degree in relevant field
Entry Level or up to 3 years of work experience and Proven account management or other relevant experiences.
Meticulous attention to detail and accuracy.
Ability to meet and establish deadlines.
Ability to work under minimum supervision and be self-motivated.
Flexibility and the ability to thrive in a fast-paced environment.
Excellent interpersonal skills and a team player.
Experiences in the Utility Sector would have an added advantage.
Experience with enterprise software would have an added advantage
Only shortlisted candidates will be notified."
