title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Account Admin Assistant Manager - 6405,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0719725,"SHENTON HOUSE, 3 SHENTON WAY 068805",Full Time,Manager,3 years exp,"Accounting / Auditing / Taxation, Admin / Secretarial","['$3,200to$3,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Operation Admin Assistant Manager
$3,200 - $3,500
5 days Monday to Friday 8:30am to 5:30pm
Toh Guan Road East

Job scopes:
Prepare D.O and related commercial documents.
Arrange and monitor the deliveries and orders.
Handling inventory control activities using MYOB and data entry.
Support sales team to prepare quotations.
Office administration.
Supply chain Management- Forecast stock and reorder stock.
Knowledge of bookkeeping but need to support 3rd Party to prepare Monthly Accounting Report.
Knowledge of accounting for some basic reports, prepare budget, monthly cash flow forecast, etc.
Any other reasonable duty/task that may occur from time to time, in the normal course of the company’s day to day business activities.

Cheah Khai Yeen (Catherine) Reg No : R1986405.
The Supreme HR Advisory Pte Ltd EA no: 14C7279"
ET0012791950 - Office Admin / Receptionist (Permanent),ROBERT HALF INTERNATIONAL PTE. LTD.,MCF-2023-0718771,"REPUBLIC PLAZA, 9 RAFFLES PLACE 048619",Full Time,Professional,4 years exp,Admin / Secretarial,"['$4,000to$5,000']",Monthly,9 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
The Company
Our client, in the trading and logistics sector, is currently looking for an Office Admin / Receptionist to join their dynamic team.
The Role
You are expected to meet and welcome guests, serve drinks, maintain meeting rooms, answer and screen calls, make travel arrangements, process invoices, manage pantry supplies, and support ad-hoc HR duties, etc.
Your Profile
You should have a Diploma of any discipline with 5 years of relevant receptionist / customer service experience, preferably from service line / banking sectors. You should be committed and dedicated, have excellent organization and communication skills.
Apply Today
Please send your resume, in WORD format only and quote reference number ET0012791950, by clicking the apply button. Please note that only short-listed candidates will be contacted.


Robert Half International Pte Ltd. Co. Registration no.: 200612189E | | EA Licence no.: 07C5595 | Tan Yee Le (Elise) EA Registration no.: R1330020"
Admin. Executive (Student Care Centre),BETHESDA CARE CENTRE,MCF-2023-0718712,958 HOUGANG STREET 91 530958,Full Time,Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Education and Training, Social Services","['$2,200to$2,500']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Reporting to the Centre Manager, the incumbent for SCC Admin. Executive position will work closely with the Centre Manager to provide administration and operational support to BCARE Joy Connection (JOYC).
I Administration
1. General administrative duties including but not limited to the following:
a. Photocopy, draft letters/ WhatsApp’s broadcast messages to parents and filing of documents.
b. Update and maintain displays on notice boards.
c. Maintain and update student’s database and custody of documents.
d. Liaise with Finance pertaining to centre fee collection matters, issue receipts and monthly update excel
collection reports to Finance for reconciliation.
e. Ensure all forms are adequate and create new forms where necessary.
f. Apply SCFA and withdraw via the online SCFA portal.
g. Responsible for petty cash claims, month-end petty cash reports, and submitting the supporting to Finance.

2. Provide good customer service through:
a. Answer phone calls and attend to walk-ins.
Communicate/ liaise via WhatsApp or phone calls with parents, students, tutors and service providers.

3. Prepare reports and documents:
a. Monthly compilation of centre fees.
b. Weekly and monthly updates of students’ attendance schedules.

II Programmes
4. Fetch students from the school or designated pick-up point.

III Operations and General Maintenance
5. Monitor Centre cleanliness.
6. In charge of buying tea breaks and assisting in serving tea breaks and lunch.
7. Organise the storage space of the Centre with the help of teachers.
8. Replenish stationery, first aid box, ordering assessment books etc.
9. Manage facilities e.g. coordinate, liaise and schedule general repair, maintenance and upkeep of the
Centre e.g. air-cons, office equipment, fire extinguishers, housekeeping and storerooms.
10. Maintain and upkeep office equipment e.g. photocopier and desktops, projectors, telephones etc.

IV Others
11. Liaison for volunteer arrangements.
12. Work on any other areas that the Centre Manager may direct as and when necessary."
Senior Human Resource and Admin Executive,RECRUITPEDIA PTE. LTD.,MCF-2023-0719111,"UOI Building, 146 Robinson Road 068909","Permanent, Full Time",Senior Executive,3 years exp,"Accounting / Auditing / Taxation, Admin / Secretarial, Consulting, Human Resources, Legal","['$2,800to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
We are a centrally located boutique recruitment firm experiencing strong growth. As the company scales, we are looking to bring on a Senior HR and Admin Executive who can help support through the next phase of growth and development roadmap.
Job Description / Duties:
Manage full spectrum of General Human Resource matters
Design and create learning resources, training materials and e-contents
Implement and execute training plans and conduct trainings as well as post-training evaluations
Handle internal talent acquisition and other recruitment related duties
Administer work pass application, renewal and etc
Ensure the organisation in complying with local relevant regulations
Handle General Administrative Duties
Provide support to the various departments
Ad-hoc duties as assigned
Requirements:
Minimum Diploma / Degree in Human Resource or Business - related fields
Minimum 3 years of relevant experience
Experience in Staffing / Recruitment industry will be added advantage
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
Temp Admin Assistant / Global MNC / 6 Months Contract / East,RECRUITPEDIA PTE. LTD.,MCF-2023-0719626,,"Temporary, Contract, Full Time",Non-executive,1 year exp,Admin / Secretarial,"['$2,200to$2,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Our client is a Global MNC in the aerospace industry, one of the leading players in the Manufacturing sector. Due to business needs, they are now recruiting a Temp Admin Assistant to support their Customer Support Team. They are located in the East

Responsibilities:
Data entry, filing, coordinating with other departments
Any other ad-hoc duties assigned
Requirements:
Min 1 year of admin experience
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email Address: tc1@recruitpedia.sg
EA License No.: 19C9682
EA Personnel No.: R21101676
EA Personnel Name: Ng Zhi Qing Alethea"
Personal Assistant cum Admin - JC,PASONA SINGAPORE PTE. LTD.,MCF-2023-0718755,"ONE FINLAYSON GREEN, 1 FINLAYSON GREEN 049246","Permanent, Full Time",Junior Executive,1 year exp,"Accounting / Auditing / Taxation, Admin / Secretarial, Customer Service, Travel / Tourism, Others","['$3,000to$4,000']",Monthly,3 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Key Responsibilities:
1. Executive Support (50%)
Provide comprehensive secretarial and administrative support to the General Manager.
Efficiently manage and coordinate appointments, meetings, and conferences for the General Manager.
Handle all aspects of travel arrangements for the General Manager.
Prepare and submit monthly reports on the General Manager’s reimbursement and expenses claims.
Assist in personal research tasks when required, such as sourcing restaurant recommendations.
Maintain the utmost confidentiality with sensitive information.
Prepare and distribute memos, meeting minutes, correspondence, reports, and other documents as needed.

2. Administrative and HR Support (50%)
Maintain accurate digital and physical records and files.
Proactively manage office supplies, including ordering and replenishing inventory.
Oversee office relocation projects when necessary.
Facilitate the onboarding of new employees by preparing workspaces and necessary resources.
Accurately input data into relevant databases or systems.
Provide assistance and support in basic financial tasks, such as processing expense reports and issuing invoices.
Handle ad hoc administrative tasks as assigned.


Job Requirements:
Proven experience in a role involving executive support, office administration, or a similar capacity.
Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint) and other office software.
Exceptional written and verbal communication skills.
Strong organizational skills with a talent for multitasking effectively.
Unwavering attention to detail and a commitment to maintaining accuracy.
Ability to work both independently and collaboratively within a team.
Strong problem-solving skills and a proactive approach to overcoming challenges.
Demonstrated discretion and professionalism when handling confidential information.
Knowledge of basic accounting and bookkeeping principles is considered a valuable asset.





Interested applicants, kindly send your updated resume to Jae Chik (R22109845), “Jae at Pasona.com.sg” with the email subject header ""Job Application for Job ID: 18684 Personal Assistant Cum Admin - JC”
Only shortlisted candidates will be notified, other applications will be updated to our database for future job opportunities.
By submitting any resumes or applications to Pasona Singapore Pte Ltd, you are considered to have read and agreed on the terms of our Privacy Policy, and consented to us collecting, using, retaining, disclosing your personal information to the prospective employers for their consideration.
Please find Privacy Policy Agreement from the below link.
http://www.pasona.com.sg/privacy.html"
ADMIN ASST (CUSTOMER SERVICE) @ Jurong East (5Day / $2300 / AWS & Bonus),ASIA ADVANCE HUMAN RESOURCE,MCF-2023-0719139,,Permanent,Fresh/entry level,1 year exp,"Admin / Secretarial, Customer Service","['$2,000to$2,300']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
ADMIN ASST (CUSTOMER SERVICE)

$2000*

Attendance Allowance $300

AWS

Bonus

5 Days

Monday - Friday

8:30am - 5:30pm

Near Jurong East

Nearby IMM

Toh Guan Road East

Permanent Job Offer

Good Computer Skills

Nice Personality

Positive attitude

Able to work in a team

Team Player

Good Customer Service Skills

Good Interpersonal Skills

Any CS experiences in handling customers' enquiries, call centres, front desk, & related job experiences

N / O levels / Cert / Dip

Annual Leave : 12 Days

Jobscope :
General Admin Asst
Attend to customer enquiries (over the phone and email)
Filing
Typing
Data Entry
Other Ad Hoc Duties

Note :
We regret that only shortlisted candidates for interviews will be notified
*Salary offer will depends on candidates qualifications and working experiences

Application :
Please email your detail resume in, MICROSOFT WORDS FORMAT (Prefer) OR PDF FORMAT to :

diana@aahr.com.sg

Please indicate the following important information in your resume :
- Personal Details
- Last drawn salary
- Expected salary
- Notice period
- Reasons for leaving
- PHOTO OR SELFIE

- EMAIL SUBJECT : ADMIN ASST At Jurong East"
Part Time Centre Admin (Enrichment) - CT,STAG MATCH LEARNING CENTRE PRIVATE LIMITED,MCF-2023-0718399,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903","Contract, Part Time",Executive,1 year exp,"Admin / Secretarial, Customer Service, Education and Training, Human Resources, Others","['$750to$1,500']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Stag Match® is a registered education business that has become a leading education business in the education industry. Our growing services are in-line with Singapore’ Education system, which focuses on students’ creative thinking and analytical skills.
We are looking for an independent Part Time Centre Admin (Enrichment) to assist in the administration work

Job Description
Familiar with MOE and education procedure .
Must have operation experience in education ( children enrichment - Coding , Robotics or Tuition etc)
Assist in overall support for operations , co-ordination and general office administration through a variety of tasks related to organization and communication.
Scheduling Courses and Coordination
Assist in preparation of monthly report and update meeting with senior management
Assist in Develop and maintain a filing system
Assist support in project research work
Assist in the planning and organising of eco-system, internal engagements and transformation initiatives
Assist in commercialisation of products and solutions
Assisting support in the marketing and promotions of the Business Innovation Centre
Provide after course and during course support.
Able to follow up with claims and collection of fee.
Able to ensure day to day smooth office/centre running.
Simple Book-Keeping
Cashiering and speak to stakeholder / parents
Data entry

Requirements
Minimum GCE N Level
Prior experience in enrichment centre with administration .
Prior operations and office administration experience preferred
Good communication skills and with an excellent command of English.
Proficient in Microsoft Office
Proactive and with a positive mentality, creative with excellent presentation, communication, negotiation and interpersonal skills
Able to work independently and as well as a team player
Never say die attitude
Able to work under pressure"
Sales Admin Officer (Game Industry) #JT,TALENTS@WORK PTE. LTD.,MCF-2023-0718947,,"Permanent, Full Time",Executive,,"Admin / Secretarial, Logistics / Supply Chain, Sales / Retail","['$3,000to$3,200']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities

Our Client is a leading Japanese entertainment company, producer of collectible card games and trading cards. They are looking for a Sales Admin and Support Executive to join their team.

Responsible for day-to-day order management tasks and provide full spectrum of customer service and support to the distributors .

The Challenges:

Issuance of product sales solicitation sheet to relevant parties for new releases
Initiate and follow up new items/customers’ profiles creation in ERP system
Keep track of pre-order deadlines and send regular reminders to distributors
Acceptance of distributors’ orders and escalate if any abnormality found
Work closely with logistics team to plan and execute order fulfilment process
Sales order setup and maintain distributors’ orders in ERP system to ensure accuracy
Track payment and issue statement of accounts bi-monthly and ensure compliance with payment contractual terms
Collate and check monthly invoices against sales orders
Internal weekly sales reporting
Maintain internal pricing list based on product SRP and discount percentage
Update distributors’ mailing list when needed
Disseminate sales campaigns and any major announcements to distributors
Work closely with Marketing Team to promote USPs and sales campaigns for upcoming releases in order to generate bi-weekly newsletters for our distributors
Communicate closely with overseas branch offices and share vital information related to products and discuss distributors’ enquires if any
Local and Overseas events/shop visit support

What it Takes:
Candidate must possess at least a Bachelor’s Degree qualification in any field of study
Strong team player with excellent interpersonal and communication skills
Comfortable to communicate and work with overseas stakeholders
Have a basic understanding of the end-to-end supply chain
Proficient in dealing with numbers, tasks management and ideas generation
Possess positive attitude, with a mindset that strives for constant improvements
Ability to work independently and escalate issues effectively when required
Sensitive to cultural and linguistic nuances
Able to travel overseas for business conventions and events when required
Open to work on some weekends/public holidays for Company events
Interested Applicants, please submit a copy of your updated resume (in MS Word Format) and send to joshua@talentsatwork.sg

Talents@Work Pte Ltd (21C0501)
Telvin (R1113142)

*We regret to inform that only shortlisted candidate will be notified. Thank you"
Executive Officer (Admin & Publicity) - Fund Raising,MUSLIMIN TRUST FUND ASSOCIATION,MCF-2023-0632520,"DARUL IHSAN ORPHANAGE, 5 MATTAR ROAD 387713",Full Time,Executive,2 years exp,Advertising / Media,"['$2,500to$3,000']",Monthly,6 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
About Us: Muslimin Trust Fund Association (MTFA) is a rapidly growing nonprofit organisation committed to serving the underprivileged community in Singapore. With a focus on areas such as education, healthcare, welfare, and social services, MTFA aims to provide financial assistance and support to those in need. As our organisation continues to expand, we are dedicated to making a positive impact in the lives of those we serve.

Role Overview: The role of an Executive Officer (Admin & Publicity) at Muslimin Trust Fund Association's Fundraising department involves a diverse array of responsibilities. The primary focus is on handling publicity-related tasks and providing administrative support for fundraising assignments.

DUTIES AND RESPONSIBILITIES
1. Publicity
Create and edit press releases, promotional materials, and articles.
Develop and execute publicity strategies and campaigns for fundraising.
Handle inquiries from the public, media, and affiliated organisations.
Conduct market research and recommend improvements.
Design and produce presentations and promotional content.
Collaborate with the MTFA Publicity Team on media-related activities.
Prepare media evaluation reports and assist in event organisation.
Design promotional collaterals and maintain the department's website.
Capture and archive photographs from fundraising events.
2. Administrative
Address inquiries related to fundraising activities.
Assist in fundraising assignments by liaising with relevant stakeholders and managing administrative tasks.
Oversee the preparation and submission of required documents.
Coordinate logistics such as transportation and communication with external parties.
Generate and maintain reports related to fundraising efforts.
Contribute to quality management and data protection initiatives.
Manage financial transactions related to fundraising activities.
Assist in procurement and inventory management for fundraising materials.
REQUIREMENTS
Diploma/Degree in Administrative, Marketing, Public Relations, Mass Communication, or related fields.
Proficiency in marketing communications, branding, design, and social media management.
Strong command of the English language (spoken and written).
Adaptability to fast-paced environments and administration tasks.
Minimum of 2 years of relevant working experience.
Prior knowledge of the fundraising and publicity industry is advantageous.
Proficiency in social media and website management.
Join Muslimin Trust Fund Association in our mission to provide compassionate and dignified fundraising efforts to those in need. As an Executive Officer, you'll play a vital role in supporting our cause and ensuring the success of our initiatives. Join us in making a difference in the lives of those we serve during challenging times."
