title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Senior System Analyst (12 months, extendable)",ROBERT WALTERS (SINGAPORE) PTE LTD,MCF-2023-0719264,"SIX BATTERY ROAD, 6 BATTERY ROAD 049909","Contract, Full Time",Middle Management,5 years exp,Information Technology,"['$5,000to$10,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Key Responsibilities:
Manage IT services for the area under scope, including applications, software, and regions
Ensure operational quality, performance, and continuous improvement within defined SLAs
Oversee global IT support services for an assigned system cluster with vendor support
Analyse service trends and deviations while maintaining an overall service view
Coordinate support team workload, encourage knowledge sharing, and handle escalations
Drive resource efficiency, scalability, and service enhancements, including automation, and maintain service quality through regular reviews and stakeholder meetings
To succeed in this role as a Senior System Analyst (12 months, extendable), you should have strong organisational and troubleshooting skills.
Key Requirements:
At least five years of experience in IT application operational support or system analyst roles, and at least three years in managing IT support vendors
Educational background of at least a bachelor’s degree or equivalent IT work experience
At least three years of support experience in SalesForce.com/Veeva within a global multi-country set-up
Proficiency in service management coordination, including experience with service management processes and demonstrated coordination skills
Additional qualifications include stakeholder management, GxP knowledge (if applicable), operational vendor management (if applicable), and strong organisational skills
Strong client support/customer service skills and global relationships with effective communication abilities between business colleagues and IT colleagues
Ability to prioritise tasks effectively while ensuring timely delivery and strong troubleshooting skills
Familiarity with IT Service Management tools, ITIL v4 expertise (advanced in incident and problem management processes), and competence in MS365 applications, including PowerPoint, Word, PowerBI, and Flow
This is an excellent opportunity to advance your career with a company that is at the forefront of pharmaceutical research and development. A company that invests significantly in innovation and cutting-edge technologies, providing employees with the opportunity to work on ground-breaking projects that make a real difference in healthcare.
If you are driven, determined and want to take the next step in your career, then this Senior System Analyst (12 months, extendable) role is right for you. Great career progression opportunities await the right person in this exciting role.
Apply now to learn more.
Do note that we will only be in touch if your application is shortlisted.
Robert Walters (Singapore) Pte Ltd
ROC No.: 199706961E | EA Licence No.: 03C5451
EA Registration No.: Bhargava Aviral R23112008"
Analyst / Junior Consultant,UPSKILLS PTE. LTD.,MCF-2023-0718537,1 RAFFLES QUAY 048583,Full Time,Fresh/entry level,,Banking and Finance,"['$3,000to$4,600']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
We are looking for highly motivated fresh graduates to start a career as a Business Analyst. We have designed a specific learning program to accelerate the young and talented graduates to enter and start their careers with the aspiration to empowering breakthrough innovation in Financial Services!

WHO IS UPSKILLS?
Upskills supports banks and financial organizations to lead projects efficiently and reduce time to market. Our expertise in capital markets software, combined with strong functional knowledge and our commitment to excellence makes us quite unique in the industry.
Our service offerings cover the entire lifecycle of financial technology transformation projects be it a greenfield implementation, an extension, or an upgrade.

At Upskills, we are a team of creative thinkers and problem solvers, our ultimate mission is to breakthrough innovation! All of us are fully engaged in Fintech industry to deliver cutting-edge solutions for capital markets and digital transformation.

Our DNA is reflected in our values, these are how we act every day to make the greatest impact on what we are doing!

The Upskills 6
We look for curious people, open-minded about ideas that challenge the status quo and ask why not!
We all act proactively to learn and grow constantly.
We foster an environment where all of us care for one another, promoting teamwork and collaboration.
We strongly encourage respectful conversations that stimulate creativity and innovation.
We all empower to think and act like owners, taking ownership of our work and driving impactful results.
We are serious about fun, creating a positive and enjoyable workplace where individuals can thrive both personally and professionally.
Do our values speak to you?
If you see yourself enjoying working as a member of Upskills, then check out below!

WHY JOIN US?
You will be working with a team of consultants and experienced users delivering software components as part of the implementation, upgrade, or migration of a financial platform.
You will also work in collaboration with the product and design team to define, analyse, review, and implement clients' functional requirements. You will also assist to provide support during post-implementation.
You will be embedded into various projects in Client site or in Upskills Office and explore multiple professional streams (FO/MO/BO).
You will belong to a vibrant and inclusive work environment with numerous opportunities for our team members to participate in exciting employee engagement activities throughout the year.
You will expand your skills from your first day, by undergoing intensive training program to acquire the necessary skill set, you will receive guidance from experienced consultants who will help you succeed as you take your initial steps towards a briht future.

WHAT KIND OF INDIVIDUALS ARE WE SEEKING?
A fast learner, Bachelor/Masters holder from Financial Engineering, Quantitative Finance, Banking and Finance or ICT / STEM disciplines
With good knowledge in financial products, with skills in SQL and programming language
Excited to dive into the FinTech market and be deeply involved in Upskills development
A flexible team player respecting each other as unique individual
With brilliant interpersonal skills, excellent communication, strong problem-solving and analytical abilities
With a voracious hunger to learn and a growth mindset
Having a mindset to challenge the status quo and willing to stretch self where needed
Enjoy developing social skills, contributing to the Upskills events and having fun at work.
OUR OFFER
Competitive compensation: Our comprehensive medical insurance coverage includes dental benefits for you and a wide range of medical coverage for your dependents as well.
Various leave entitlements: We believe in fostering a harmonious work-life balance, ensuring you have the time and flexibility to prioritize what matters most to you.
Extensive learning opportunities: access to our upAcademy platform and learning sessions to develop your skills set throughout the year.
Fun in your daily life: Do you want to feel the vibe and the energy of Upskills, too? Enjoy team building activities, quarterly company events and plenty of engaging activities such as volunteering events, wellness challenges and festival celebrations!

A LITTLE BIT MORE ABOUT US…
We are located at Raffles place, the heart of financial hub in Singapore, surrounded by leading international businesses and financial institutions. Our welcoming space fosters collaboration and encourages lively discussions, providing a stimulating environment complemented by amenities such as kitchen facilities, refreshments, snacks, and an overall open working culture."
IT Business Analyst,BENCHMARK STAFFING SOLUTIONS,MCF-2023-0719758,,Permanent,Senior Executive,5 years exp,Information Technology,"['$6,000to$7,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Our client is a renowned listed F & B restaurant chain. It comprises multiple restaurants in Singapore and The People’s Republic of China, with franchises all over Asia.
They are looking for an individual to join them in their growing team, here is your chance to be part of an exciting team geared towards both company and personal success.
IT Business Analyst
Job Description:
Providing core application finance functional / technical support to business users.
Supporting various internal / external applications integration to SAP Finance systems and any other duties assigned by the company.
Active involvement in month end closing activities related to Finance / HANA module in SAP;
Support activities including investigation and analysis, configuration, data updates, bug fixes, root cause analysis, documentation, and resolution planning.
Resolving the SAP Finance related requests within defined SLA.
Providing application support to business users.
Create and maintain end user training documentation.
Provide training in SAP Finance / HANA modules to business users, when required.
Create new business value from transformative service identification and enablement.
Project activities inclusive of systems strategy definition, capture / develop business systems requirements, design / prototype / demonstrate, comprehensive unit and user-acceptance testing, training, definition support procedures, and implementation of varied business solutions under multiple deadlines.
Job Requirements:
Degree / Diploma in Information Systems, Computer Science or related disciplines.
Expertise in Level 1/2/3 SAP Finance Support and development solutions.
Minimum 5 years’ working experience within SAP Finance / HANA modules with exposure to SAP Cross-functional integration with MM, PP & SD.
Preferred Accounting Educational background.
Experience with supply chain management, customer service management, manufacturing and retail processes with large enterprise applications will have an advantage.
Research and analytical skills with excellent verbal and written communications skills and ability to articulate and convey information concisely.
Capability to make informed decisions on wide range of complex business and technical issues to reduce business impact.
Ability to self-organise within a team environment and with internal customers at all levels within the organisation, and in some cases, may be required to deal with external parties including development organisations and specialist consultants.
Are you ready for a challenging and exciting endeavour that will require the investment of a lot of hard work, dedication and all your experience? Are you ready to bring your skills and competencies to support the establishment and enhancement of our client’s business? If yes, you might be exactly the new team member they are looking for!
Please submit your updated and comprehensive CV in MS WORD FORMAT ONLY (NOT PDF) with full career details, stating current or last drawn salary with full breakdown such as base, incentives, AWS, etc. and expected salary, contact details, educational qualifications, working experiences, reasons for leaving each past employment(s) and availability date to:
benchmark.thomas@gmail.com
What our client offers
Our client offers an attractive remuneration package, a fast-paced and exciting working environment and provide challenging opportunities for career advancement. They care about their employees. They are not just an employer. They are a Team. They do not just offer you a job, they offer you a career. By joining their team, you will find strong purpose and deep meaning in everything you do. You will have the chance to make a real difference for customers, working alongside a passionate team of like-minded colleagues, while building your knowledge/skills and developing your career in a fun, dynamic and fast-growing organization.
Personal Data Protection Statement for Job Applicants
Please be informed that the personal data you provided by way of your job application to Benchmark will be collected, used and disclosed by or on behalf of Benchmark to determine or investigate your suitability, eligibility or qualifications for employment with Benchmark and/or its clients and manage your application for employment with Benchmark and/or its clients including identifying you as potential candidate for future suitable positions and/or notifying you of any such positions, either existing or in the future.
Thank You!
We thank all applicants for their interest in a career with our client. Due to the high volume of incoming applications, we will not be able to respond to all applicants. Therefore, only shortlisted applicants will be notified for interviews. All applications will be treated with the strictest confidence.
THOMAS CHAN | MOM CEI No: R1766693 | Benchmark Staffing Solutions | MOM EA Licence: 21C0679 | UEN: 53435609E"
Analyst Programmer (Contract / COBOL / RPG / OS400),TANGSPAC CONSULTING PTE LTD,MCF-2023-0718626,"THE OCTAGON, 105 CECIL STREET 069534",Contract,Senior Executive,3 years exp,Banking and Finance,"['$5,000to$8,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Position: Analyst Programmer
Employment Type: 1-year Agency Contract (Highly Renewable)
Location: Alexandra
Mode of work: Hybrid
Key Skills: Development skill with COBOL, RPG and OS400 knowledge

Responsibilities
Program analysis and design
Development and Unit Test
Support SIT, UAT and MR
Comply with Bank SDM processes
Implementation
Post Implementation support
Support L3 in investigation

Job Requirements:
Good knowledge of COBOL
Knowledge of RPG
Knowledge of OS400
Min. 3 years in IT industry with development background
Preferred in financial industry and will be an advantage with collection background

If keen, kindly forward your CV to stefan.olsem@tangspac.com

Tangspac Consulting Pte Ltd
#03-02 The Octagon, 105 Cecil Street, Singapore 069534
EA Personnel Name: Olsem Stefanus Emmanuel
EA License: 07C3635 | EA Registration: R2094432"
Graduate Production Management Analyst (WEGPMSG),M THREE CORPORATE CONSULTING SINGAPORE PTE. LIMITED,MCF-2023-0719684,,"Permanent, Full Time",Fresh/entry level,,"Banking and Finance, Consulting, Engineering, Information Technology","['$3,500to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Graduate Production Management Analyst
Want to work in technology at an investment bank?
Get paid while you train, ongoing support, opportunities at leading global employers – the Alumni graduate program gives you everything you need. (And don’t worry, there’s no training bond. No exit fees, no hidden catches).
Here at Wiley Edge, we pair great graduates with brilliant global businesses. Our clients include tier one investment banks and other organizations across a range of industries.
What you'll do:
Production Management plays a vital role in enterprise technology, from algorithmic trading engines to regulatory reporting.
Think of it as healthcare for technology. As a production management analyst with Wiley Edge, you’ll be on a shared mission to look after the technical systems and processes other teams rely on.
How the Alumni program works:
1. Apply via this job advert.
2. Complete our assessment process.
3. Get trained at Wiley Edge Academy in an online class for 4-8 weeks with other graduates.
4. Join a Wiley Edge client for 12-24 months while receiving support and salary increases every 6 months.
5. The vast majority then convert to permanent employees with the client at the end of the program.
What you’ll learn at the Wiley Edge Academy:
· How to discuss production support activity at a high level including ITIL (information technology infrastructure library), monitoring, DevOps, SRE (site reliability engineering), and disaster recovery.
· How to discuss common financial topics, including financial markets, equity trading, derivatives, currency, treasury, regulation, and risk.
· How to write a basic computer program in Python, including user input, common data structures, and flow of control.
· How to use MySQL to perform CRUD (create, read, update and delete) operations on a relational database stored in a MySQL Server.
What you need:
· Bachelor's degree in computer science or a related STEM subject (science, technology, engineering, maths).
· Good grades. We look for potential, not prestige, but it’s important that you enjoy pushing yourself to pick up new ideas.
· Ability to troubleshoot, taking an analytical approach to solve problems.
· Excellent spoken and written English communication skills.
· The right to work without needing visa sponsorship.
What you’ll get:
· Fully paid, in-depth, interactive training in small classes with graduates like you. Our training is created and delivered by industry experts who know your field inside out.
· A generous graduate salary.
· Pay rises every 6 months to reflect your progress.
· A flexible benefits package.
· Ongoing training and support.
· Valuable industry experience. Ultimately, a foot in the door to build your career in an in-demand niche.
How to apply:
1. Apply to this job advert to tell us a bit about you.
2. Complete the online assessment (we’ll send you a link by email).
3. Complete the interviews with our friendly talent team over phone and video.
4. Lastly, you’ll interview with one or more of our clients.
We take great pride in celebrating the diversity of each and every individual who contributes to making Wiley Edge the company it is today and will be in the future. We value diversity both within Wiley Edge and with our partner companies, and we're proud to provide an environment where all our colleagues can flourish. That means promoting a strong culture of equality but, most importantly, inclusion. We never want people to change - only add to the amazing mix of people that work for Wiley Edge."
Production Support Analyst JR 19928,INFOGAIN SOLUTIONS PTE. LIMITED,MCF-2023-0718958,"BYLANDS BUILDING, 135 MIDDLE ROAD 188975","Contract, Permanent, Full Time",Middle Management,10 years exp,Banking and Finance,"['$7,000to$10,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Find Your Dream Job With Us
WE ARE HIRING !! Apply now and make a difference.

Job Title: Application Developer
Role: Production Support Analyst
Job Requisition Number : JR19928
Job Level : more than 10 years of relevant experience (L4)

Key Skills:
 At least 5 years of hands-on working experience in the following:
 Java platform / J2EE and Java web container such as JBoss EAP, Tomcat, WebLogic
 Oracle database with excellent SQL skills
 Web servers such as Apache HTTP Server
 IBM MQ / web services
 Connect Direct
 Unix/Linux/Windows with shell programming experience
 Continuous Integration / Continuous Development/Delivery (CI/CD) toolset - Bitbucket, Jenkins, Artifactory, Sonar, Veracode, JIRA and Confluence
 Open Banking API development

Key Responsibilities
 Work in team of vendors to develop programs according to functional & technical specifications
 Write program specifications and documentation / flowcharts
 Perform/Review unit-testing
 Support testing team for System integration testing
 Support user acceptance testing
 Manage and work with Technical team to implement solution that meet Business Requirements and are in alignment with organization's business objectives.
 Responsible for the understanding and contributing to the technical solution from design through to code level.
 Responsible for modifying existing programs when required.
 Work closely with System Analyst in all change requests, analyze and review enhancements for compatibility and adhere to operating guidelines.
 Support SIT and UAT issues and queries.
 Work with SA on the SIT and UAT defects to triage and resolve.
 Manage the application setup and deployment components
 Troubleshoot, debug and provide production system support
 Coordinate with internal teams and vendors to resolve application and system issues
 Recommend and execute improvements
 Partner with SA to understand Business needs by reviewing the Requirements specifications analyze impact to the application.
 Execute tasks related to project / change request / maintenance request
 Ensure project documentation is done up in accordance to bank standards
 Ensure appropriate standards and procedures are adhered to during the development process to support quality deliverables.
 Troubleshoot, debug and provide production system support

Key Requirements
The ideal candidate will be a dependable and result oriented technology delivery manager who can comfortably work in a large development organization in a globally distributed, dynamic work environment that fosters diversity, teamwork, and collaboration. He/she should be passionate about Technology and have a mindset to be technically hands-on if needed. Well-versed in the latest trends, especially around disruptive technology, and proven record in execution. The ability to work and thrive in high pressure environment is essential. This role will report to the Application Development Team Lead for the technical delivery of strategic projects. .

 Bachelor's Degree in Computer Science, Engineering or similar domain. Related professional/technical qualification will be advantageous although not mandatory
 At least 10 years’ delivery record in developing and delivering global / regional Cards solutions for a multi-national/regional company with annual budgetary responsibility
 Strong technical/platform knowledge on 3D Secure application (e.g. 2C2P, Arcot), Cards API, Loyalty & rewards (e.g. One Empower app)
 Hands-on experience in leading Cards Technology delivery (e.g. Loyalty & Rewards app, CACS)
 At least 5 years of hands-on working experience in the following:
 Java platform / J2EE and Java web container such as JBoss EAP, Tomcat, WebLogic
 Oracle database with excellent SQL skills
 Web servers such as Apache HTTP Server
 IBM MQ / web services
 Connect Direct
 Unix/Linux/Windows with shell programming experience
 Continuous Integration / Continuous Development/Delivery (CI/CD) toolset - Bitbucket, Jenkins, Artifactory, Sonar, Veracode, JIRA and Confluence
 Open Banking API development

Please forward your resume in MS word format to Suganthi@infogainglobal.com and Careers@infogainglobal.com
Please refer your friends for any IT openings as we have various positions.
Please do not send PDF Format Resume . Send the following details
1. Notice period
2. Current Salary
3. Expected Salary
4. Visa Status in Singapore
5. Current Location"
Production Support Analyst (JD#8920),SCIENTE INTERNATIONAL PTE. LTD.,MCF-2023-0719463,"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066","Contract, Full Time",Professional,2 years exp,Information Technology,"['$8,000to$11,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
We are looking for highly motivated and experienced individual to join our client as a Production Support Analyst supporting Lending applications.
Mandatory Skill-set
Degree in Computer Science, Business Information Technology or related disciplines;
Minimum 2 years of experience in supporting banking applications;
Hands on experience of working on Linux, Oracle, proficient on SQL query;
Able to troubleshoot and provide solutions for technical issues and routes to appropriate escalation groups;
Have good understanding of incident management;
Good analytical skills with excellent communication;
Good in understanding internal processes and resolving issues.
Desired Skill-set
Good understanding of LoanIQ and/or TCM systems is a plus;
Knowledge of lending products is a plus.
Responsibilities
Responsible for the day-to-day maintenance of the application systems in operation;
Handle Incident and Problem management;
Work closely with key stakeholders, including management, development teams, end users, and unit leaders and communicate application problems and issues;
Provide root cause analysis techniques to determine cause and resolve complex system issues or escalate to application managers and the management team;
Support regular release activities and ensure smooth deployments from test environment to production environment;
Proactive management of production services by measuring and monitoring availability, latency, throughput, user journeys and overall system health.
Should you be interested in this career opportunity, please send in your updated resume to apply@sciente.com at the earliest.

When you apply, you voluntarily consent to the disclosure, collection and use of your personal data for employment/recruitment and related purposes in accordance with the SCIENTE Group Privacy Policy, a copy of which is published at SCIENTE’s website (https://www.sciente.com/privacy-policy).

Confidentiality is assured, and only shortlisted candidates will be notified for interviews.

EA Licence No. 07C5639"
Production Support Analyst (Java & Cards) (Contract),TANGSPAC CONSULTING PTE LTD,MCF-2023-0718606,"THE OCTAGON, 105 CECIL STREET 069534",Contract,Professional,10 years exp,Banking and Finance,"['$8,000to$12,500']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Position: Production Support Analyst
Employment Type: 1-year Agency Contract (Highly Renewable)
Location: Alexandra
Mode of work: Hybrid

Responsibilities
Work in team of vendors to develop programs according to functional & technical specifications
Write program specifications and documentation / flowcharts
Perform/Review unit-testing
Support testing team for System integration testing
Support user acceptance testing
Manage and work with Technical team to implement solution that meet Business Requirements and are in alignment with organization's business objectives.
Responsible for the understanding and contributing to the technical solution from design through to code level.
Responsible for modifying existing programs when required.
Work closely with System Analyst in all change requests, analyze and review enhancements for compatibility and adhere to operating guidelines.
Support SIT and UAT issues and queries.
Work with SA on the SIT and UAT defects to triage and resolve.
Manage the application setup and deployment components
Troubleshoot, debug and provide production system support
Coordinate with internal teams and vendors to resolve application and system issues
Recommend and execute improvements
Partner with SA to understand Business needs by reviewing the Requirements specifications analyze impact to the application.
Execute tasks related to project / change request / maintenance request
Ensure project documentation is done up in accordance to bank standards
Ensure appropriate standards and procedures are adhered to during the development process to support quality deliverables.
Troubleshoot, debug and provide production system support

Job Requirements:
The ideal candidate will be a dependable and result oriented technology delivery manager who can comfortably work in a large development organization in a globally distributed, dynamic work environment that fosters diversity, teamwork, and collaboration.

He/she should be passionate about Technology and have a mindset to be technically hands-on if needed. Well-versed in the latest trends, especially around disruptive technology, and proven record in execution. The ability to work and thrive in high pressure environment is essential. This role will report to the Application Development Team Lead for the technical delivery of strategic projects.
Bachelor's Degree in Computer Science, Engineering or similar domain. Related professional/technical qualification will be advantageous although not mandatory
At least 10 years’ delivery record in developing and delivering global / regional Cards solutions for a multi-national/regional company with annual budgetary responsibility
Strong technical/platform knowledge on 3D Secure application (e.g. 2C2P, Arcot), Cards API, Loyalty & rewards (e.g. One Empower app)
Hands-on experience in leading Cards Technology delivery (e.g. Loyalty & Rewards app, CACS)
At least 5 years of hands-on working experience in the following:
Java platform / J2EE and Java web container such as JBoss EAP, Tomcat, WebLogic
Oracle database with excellent SQL skills
Web servers such as Apache HTTP Server
IBM MQ / web services
ConnectDirect
Unix/Linux/Windows with shell programming experience
Continuous Integration / Continuous Development/Delivery (CI/CD) toolset - Bitbucket, Jenkins, Artifactory, Sonar, Veracode, JIRA and Confluence
Open Banking API development

If keen, kindly forward your CV to stefan.olsem@tangspac.com

Tangspac Consulting Pte Ltd
#03-02 The Octagon, 105 Cecil Street, Singapore 069534
EA Personnel Name: Olsem Stefanus Emmanuel
EA License: 07C3635 | EA Registration: R2094432"
23669097 Incentive Sales Support Analyst,CITIBANK SINGAPORE LIMITED,MCF-2023-0718284,,Full Time,Junior Executive,2 years exp,Banking and Finance,"['$3,850to$5,350']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
At Citi, we get to connect millions of people across hundreds of cities and countries every day. And we've been doing it for more than 200 years. We do this through our unparalleled global network. We provide a broad range of financial services and products to our clients – whether they be consumers, corporations, governments, or institutions – to help them meet their biggest opportunities and face the world's toughest challenges.
Shape your Career with Citi
Citi Global Wealth (CGW) brings together the full power of Citi to serve the entire continuum of wealth clients, from affluent to ultra-high net worth to family offices.
We’re currently looking for a high caliber professional to join our team as an Incentive Sales Support Analyst based in Singapore. Being part of our team means that we’ll provide you with the resources to meet your unique needs, empower you to make healthy decision and manage your financial well-being to help plan for your future. For instance:
We empower our employees to manage their financial well-being and help them plan for the future.
Citi provides access to an array of learning and development resources to help broaden and deepen your skills and knowledge as your career progresses.
We offer our employees resources and tools to volunteer in the communities in which they live and work. In 2019, Citi employee volunteers contributed more than 1 million volunteer hours around the world.
In this role, you’re expected to:
Perform Front line Balanced Scorecard management, with the objective of driving the sales force productivity
Manage appeals and adjustments to incentive payout
Manage Quarterly and Annual Incentive Payout/Bonus
Drive Quarterly performance reporting.
Plan and manage frontline reward and recognition programs
Manage the governance of the Balanced Scorecard framework to ensure that the incentive program is in adherence to Citi's guidelines
Quarterly and annual MCA management
Budget planning
Coordinating of the annual Audit exercise
As a successful candidate, you’d ideally have the following skills and exposure:
Highly proficient in Microsoft Office Excel, Access or knowledge of other data analysis tools
Willing to work in an environment where meeting timeline is extremely critical
Consistently demonstrates clear and concise written and verbal communication as well as demonstrated presentation skills
Analytics experience and working knowledge of related industry practices and standard preferred
Working at Citi is far more than just a job. A career with us means joining a family of more than 230,000 dedicated people from around the globe. At Citi, you’ll have the opportunity to grow your career, give back to your community and make a real impact."
Market Analysts / Editors – Asia Commodities Market,ARGUS MEDIA SINGAPORE GROUP PTE. LTD.,MCF-2023-0718580,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623","Permanent, Full Time",Non-executive,1 year exp,"Advertising / Media, Consulting","['$4,000to$10,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Argus is an independent media organisation with 1,300 staff. It is headquartered in London and has 29 offices in the world’s principal commodity trading and production centres. Argus produces price assessments and analysis of international energy and other commodity markets and offers bespoke consulting services and industry-leading conferences. Companies in 140 countries around the world use Argus data to index physical trade and as benchmarks in financial derivative markets as well as for analysis and planning purposes.
Argus was founded in 1970 and is a privately held UK-registered company. It is owned by employee shareholders, global growth equity firm General Atlantic and Hg, the specialist software and technology services investor. Argus Media is committed to ensuring career and personal growth for all its staff and provides extensive training and career development opportunities, as well as participation in employee-led initiatives, including a women’s network. Our core values are Excellence, Integrity, Partnership and Inclusivity.
What will you be doing?
As part of our expansion in Singapore, we are looking for outstanding individuals to join our growing team to cover reporting on Asia’s fast-growing commodities and energy space.
The successful candidate will join our global network of over 500 dedicated market analysts to connect deeply with the markets they cover, delivering expert news, analysis, and information not available elsewhere. We pride ourselves on analysing how and why news matter to our high-level audience, which comprises Fortune 500 companies, national oil and energy companies, multinationals, financial institutions, trading companies, and governments.
In this role, you will work within a fast-paced team and help expand our global coverage of the commodities market. You will be writing engaging news stories and analysing spot prices that are timely, accurate, objective, and meaningful for our clients. This includes maintaining a strong network of contacts within the industries to source original, relevant and exclusive content. You will be innately curious and personable and be able to quickly become a subject matter expert and lead coverage within a designated product portfolio. You will enjoy collaborative work with colleagues from various backgrounds, many located in Argus’ other offices around the globe. In addition, there are opportunities to travel, attend industry events, present at industry conferences and lead webinar sessions.
This is an excellent opportunity for analytical and inquisitive analysts, consultants and brokers to transfer their skills and knowledge to a price reporting, news, and analysis business.
You do not need experience in commodities markets. Instead, intelligence, curiosity, writing ability and a genuine desire to become a journalist are the primary qualities we look for in a diverse pool of candidates. The compensation will be commensurate based on the individual’s background.
The Reward
A booming industry, a growing company
Opportunities to travel, attend industry events, present at industry conferences and lead webinar sessions.
Gain exposure to various energy and commodities markets, including crude, petroleum products, natural gas, LPG and other gas liquids, biofuels, petrochemicals, coal and biomass, fertiliser and metals.
Promising career path within Argus Editorial practice and developing areas of specialization.
What we’re looking for in you
An investigative mind and good writing skills
The role requires an analytical mind, attention to detail and a proactive approach to relationship development and source building.
Experience in energy and commodity sectors would be highly advantageous.
A commitment to the highest level of accuracy and completing all writing within established deadlines.
Strong experience with Microsoft Office Suite with experience in Excel.
Aspirations to break the news and deliver actionable intelligence on commodities
Able to work independently whilst also engaging and collaborating in line with the Argus values: Excellence, Integrity, Partnership, and Inclusivity
What’s in it for you:
Work within a highly motivated team at an industry-leading and rapidly growing global company
Competitive salary and company bonus scheme
A modern office environment designed to foster productivity, creativity, and teamwork
Excellent location at Raffles Place in central Singapore – close to public transport and amenities
Hybrid working model - Work from Home options available
Comprehensive benefits package including medical (GP and specialist), dental and hospitalisation.
20 vacation days your first year, up to a maximum of 25 days
Extensive internal and external training
Employee Welfare & Employee Assistance Programme.
Hours
Monday through Friday, 10.00 a.m. to 7.00 p.m.
Earlier or later hours, or weekend hours, may be expected on occasion.
We're not engaging any recruitment agencies for this role, so if you're interested, please apply directly.
We will conduct interviews continuously and reserve the right to take down the advertisement when we find the right candidate."
