title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
IT Key Account Manager - EU,RK RECRUITMENT PTE. LTD.,MCF-2023-0729336,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Manager,2 years exp,"Information Technology, Sales / Retail",1,"['$3,500to$4,500']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Benefits Summary:
IT Industry
Basic up to $4500 + Commission
Monday - Friday, 9am - 6pm
Kaki Bukit
Responsibilities:
Generate, maintain, and enhance sales forecasts for assigned customer accounts.
Develop, manage, and nurture strong customer relationships.
Collaborate across departments for effective coordination of pre-sales, professional services, and support resources.
Meet sales quotas by acquiring business from both new and existing clients.
Ensure customer satisfaction through quality products and services.
Possess in-depth knowledge of the organization's offerings.
Contribute to crafting value propositions and skilfully negotiate to secure sales.
Requirements:
2 - 3 years experience in IT sales
Able to manage team
Please submit your updated resume by using the APPLY NOW BUTTON
By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.
*We regret to inform you that only shortlisted candidates would be notified*
We wish you all the best in your career search.
You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Lee Wai Yin Eunice | EA Personnel No.: R23116005
575"
Account Manager - Life Science / Biotech,TALENT TRADER GROUP PTE. LTD.,MCF-2023-0728383,"TALENT TRADER GROUP PTE. LTD. Talent Trader is steered by young, dynamic professionals; each of them bringing their own vast experiences from leading Banks and HR Agencies. We provide efficient talent sourcing, recruitment and retention services that help companies acquire effective Mid-management talent. We offer the following value-added services for a variety of Mid-management positions across industry veticals such as Banking, Marine, Offshore, Retail, IT, F&B, Education, Manufacturing and Others: - Talent Sourcing and Recruitment - International Recruitment - Contract & Temporary Staffing - Payroll Services - Employment Passes",,"Permanent, Full Time",Executive,2 years exp,"Healthcare / Pharmaceutical, Sales / Retail",1,"['$3,000to$6,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Prospect, develop and drive sales and marketing plans for healthcare and life science field/market
Manage key accounts and identify new customers
Provide regular reports to the management team on market / customer / sales movements
Report market trends of new & existing products in the market
Build company image in the market as a reliable partner for all their needs
Other ad-hoc duties as assigned
Requirements:
Diploma or Bachelor degree in Biotechnology/Medical Technology/Life Science or any related equivalent studies
1 - 3 years of B2B or B2C working experiences in healthcare or lifescience industry
Interested candidates who wish to apply for the advertised position, please click on the APPLY button below to send in your resume salestrader@talenttradersg.com

EA License No.: 13C6305
Registration No.: R22109637

For candidate who applied for advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us."
Senior Customer Success Manager,VODAFONE ENTERPRISE SINGAPORE PTE. LTD.,MCF-2023-0658066,"Vodafone Group is a Global organisation, committed to providing innovative products and services to enable multi-national organisations to stay agile and competitive - wherever in the world they do business. We are on a journey to pioneer a world of total communications solutions, where fixed, mobile, voice and data will all become one mobility solution and able to help our clients do 'more with less' by empowering employees to work more flexibly and efficiently.","ASIA SQUARE TOWER 2, 12 MARINA VIEW 018961",Contract,Manager,6 years exp,Telecommunications,1,"['$9,700to$13,000']",Monthly,138 applications,Posted 28 Aug 2023,Closing on 27 Sep 2023,"Roles & Responsibilities
Key accountabilities
Day to day leadership of the Service capability aligned to nominated accounts and working collaboratively with account teams to own service relationship
Operate at a strategic level, to establish and manage; budgets, deliverables, milestones and timescales for the portfolio to ensure all contractual obligations are met & portfolio benefits are measured;
Create Project plans and schedules to support and track milestone delivery, using tasks, dependencies and timeframes, manage giovernance, and generate project reports to key stakeholders;
Provides a senior point of interface and accountability for all aspects of service delivery and assurance to customers
Lead best of breed continuous service improvement by ensuring the development and implementation of Service Development and / or Improvement Plans in collaboration with Customers and our OpCo’s, Partners and Affiliates.
Accountable for the delivery of all service metrics, in conjunction with local OpCo, Partner and Affiliates service fulfilment personnel, and the Global Account Manager
Core competencies, Knowledge and experience
Customer obsessed, able to nurture and manage deep customer relationships on all levels
Excellent ‘c’ level communication, stakeholder , influencing and relationship skills
Lead a matrixed virtual team of Service Management resources to deliver on the account plan through a matrix management structure. Responsible for all the service aspects of the Account ensuring that Vodafone delivers on its service commitments to the Customer
Deep knowledge of technologies across all of telecommunications
Self-starter – must be proactive, initiate and drive work streams, able to operate independently and take the initiative."
Key Account Manager |Freight Forwarding - Hunting Role,TALENT TRADER GROUP PTE. LTD.,MCF-2023-0728388,"TALENT TRADER GROUP PTE. LTD. Talent Trader is steered by young, dynamic professionals; each of them bringing their own vast experiences from leading Banks and HR Agencies. We provide efficient talent sourcing, recruitment and retention services that help companies acquire effective Mid-management talent. We offer the following value-added services for a variety of Mid-management positions across industry veticals such as Banking, Marine, Offshore, Retail, IT, F&B, Education, Manufacturing and Others: - Talent Sourcing and Recruitment - International Recruitment - Contract & Temporary Staffing - Payroll Services - Employment Passes",,"Permanent, Full Time",Manager,5 years exp,"Logistics / Supply Chain, Sales / Retail",1,"['$6,000to$9,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsibilities
Manage key account for the company
Actively explore, research, and cultivate new business prospects
Oversee marketing activities
Identify and evaluate potential opportunities, formulate sales strategies for target accounts, and execute them strategically.
Arrange and participate in regular sales meetings with the countries within the region
Analyze the regional and market potentia
Conduct a comprehensive cost-benefit analysis.
Create a competitive advantage and provide value to customers.
Other tasks duties as assigned
Requirements:
Bachelors degree in Sales, Marketing, Business Management or equivalent.
With 5 - 7 years of business development experience in logistics or freight forwarding industry
Interested candidates who wish to apply for the advertised position, please send in your resume to salestrader@talenttradersg.com

EA License No.: 13C6305
Registration No.: R22109637

For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us."
Account Manager [Sales / Audio Visual / B2B / MNC ] - FA,RK RECRUITMENT PTE. LTD.,MCF-2023-0728553,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Senior Executive,1 year exp,"Admin / Secretarial, Sales / Retail",1,"['$3,500to$5,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Info:
Mon to Fri 9am - 6pm
Up $5,500 + VB
Kallang
Job Description:
B2B sale
Generate new opportunities to closing
Develop new key account
Serving and increasing sales from existing key account
Present and submit weekly sales report
Focus on Education & Government sector
Work closely with renowned partners
Negotiate pricing with partners to ensure bids are competitive
Please submit your updated resume by using the APPLY NOW BUTTON
By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.

*We regret to inform you that only shortlisted candidates would be notified*
We wish you all the best in your career search.
You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Felcia Ang Zhi Yun | EA Personnel No.: R22109905"
"Key Account Manager (Shipping / Freight, Up to $5000)",E-PLOYMENT CONSULTANCY,MCF-2023-0729100,"E-PLOYMENT CONSULTANCY, defines as Express Employment, is a recruitment agency based in Singapore. Established since 2009, E-Ployment Consultancy has emerged as one of the fastest growing recruitment agency. With a team of committed and experienced recruitment consultants, we have established positive rapports with our extensive networks of clientele and candidates. We believe in consistent delivery of quality and reliable services to maintain the long term relationship with all our clients and candidates.",,Permanent,Manager,2 years exp,"Logistics / Supply Chain, Sales / Retail",1,"['$4,000to$5,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Identify business opportunities and develop strategic plans to drive growth of global accounts.
Acquire and manage new global accounts.
Participation in global/regional RFQs, including preparation, coordination and submission.
Management of Global Key Accounts in the capacity as HQ staff.
Implementation of RFQ awards globally, and pursuing of volumes with local stations.
Gathering of market intelligence, including market trends, business climate and other competitive factors.
Build long term relationship with existing and new accounts to drive business growth.
Perform any other duties as assigned by management.

Job Requirements:

Diploma/Degree in any relevant discipline.
Excellent communications and customer management track records.
5 day work.

Interested applicants, please email your resume with your Last/ Current drawn salary, Expected Salary, Notice Period & Photo in MS WORD FORMAT to jobs@e-ployment.com.sg

E-Ployment Consultancy
EA License No: 09C0884
EAP Name/ Registered No: Ivan Mah/ R1108310"
SNR Accountant,EPICSOFT ASIA PTE. LTD.,MCF-2023-0728322,"Epicsoft Asia Pte. Ltd. is a leading distributor for games and entertainment software, with over 13 years of game publishing relationships, marketing and creative media design. The company is the appointed distribution partner for Take-Two Asia, CD Projekt Red and SEGA®️ in Southeast Asia and the Greater China regions.","NATURAL COOL LIFESTYLE HUB, 29 TAI SENG AVENUE 534119",Full Time,Manager,10 years exp,Accounting / Auditing / Taxation,1,"['$5,500to$7,000']",Monthly,4 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsibilities:
Reporting to CFO, he/she will be responsible for the following duties but are not limited
to:
· Manage full sets of accounts
. Manage monthly group consolidation report
. Manage month-end Closing & Submission of reporting pack
. Perform payment processing functions and update of cash books
. Support customer billing & AR collection
· Prepare journal entries, accounting schedules, reconciliations etc.
· Prepare budget & cashflow preparation as and when needed
· Ensure the company's books are properly kept in accordance with accounting standards
and company policies
. Assisting with annual audit preparations.
. Train and mentor junior staff
. Assist in business operations
· Assist and support projects/tasks as required

Requirements:
· Candidate with a degree in Accounting, professional accountancy qualification or
equivalent
. Must be CPA certified
· At least 10 years of working experience in accounting
. Experience working in trading companies & knowledge on inventory system
· Good interpersonal & communication skills
. Independent & good time management
· Experience with general ledger functions and full set accounting
· Hands-on experience with inventory & accounting software packages i.e. Xero & MYOB
· Self-motivated, highly organized, and attention to detail
. Singaporean / PR only"
Account Manager (Sales / IT Industry / 5 days / High Comm Structure) - 109,RK RECRUITMENT PTE. LTD.,MCF-2023-0728552,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Junior Executive,1 year exp,"Information Technology, Sales / Retail",1,"['$3,500to$6,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Benefits Summary:
IT Industry
Basic up to $6000 + Commission + Transport $800 & Mobile $100
Monday – Friday 9am – 6pm
Location: Aljunied
Responsibilities:
Develop a clientele base by actively seeking out new sales opportunities;
Proactively access, identify clients’ needs, and propose suitable consultation and business solutions to meet clients’ requirements using Company’s products and services;
Planning and conducting physical sales presentations to prospective and current customers on a regular basis by giving professional demonstrations or presentations of the Company’s products and services.
Coordinate and communicate with all stakeholders (clients, suppliers, other departments, etc.) to ensure smooth operation and key clients’ needs are met.
Updating and maintaining customers’ account records, including contact names and numbers for future sales;
Provide excellent customer service to existing customers to improve the quality of business relationships with clients and vendors;
Familiarise and keep updated with Company’s product, IT Enterprise Infrastructure, hardware , software, cloud-based services, Cyber Security Solutions
Prepare necessary sales reports for weekly and monthly reviews;
Any ad hoc duties assigned by Company from time to time.
Requirements:
Experience of Enterprise IT sales experience preferred;
Diploma in Computer Science, Information technology or relevant fields preferred;
Ability to learn new concepts and technologies;
Excellent oral, presentation, customer service skills, and written communication skills;
Independent, self-motivated, and takes initiative to generate sales.
Please submit your updated resume by using the APPLY NOW BUTTON

By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.

*We regret to inform you that only shortlisted candidates would be notified*

We wish you all the best in your career search.

You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Shawn Long Jie Shyan | EA Personnel No.: R22109109
732"
Accounts cum HR Executive,RASA ISTIMEWA RESTAURANT @ SAFRA JURONG PTE. LTD.,MCF-2023-0728331,"Popularly known as Rasa Istimewa C2K, our first outlet at CCK Park have now relocated to Rasa Istimewa Restaurant @ SAFRA Jurong after 10 years of operations. We have now 3 outlets under our brand, namely Rasa Istimewa Woodlands Waterfront, Rasa Istimewa @ Pasir Ris Park and our latest at Boon Lay. We are honored to have received the Circle of Excellence Award (2014) & Asia Enterprise Brand Award (2018) as part of our achievements. We specialize in Halal-certified Malaysian-style Seafood Cuisine since 1997, and strive to commit to our motto 'Where Good Food Congregates' where all communities can meet & dine together. Beside dining, our Restaurant also hosts Weddings and Corporate functions. Be part of the growing F&B scene and join our dynamic & diverse team today.","SAFRA JURONG CLUBHOUSE, 333 BOON LAY WAY, #2B-01 649848",Full Time,Executive,2 years exp,"Accounting / Auditing / Taxation, Admin / Secretarial, F&B, Human Resources",1,"['$3,000to$3,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description:
Handle full set of accounts for Restaurant outlet
Monitor company’s cash flow and ensure that the accounting transactions in AR, AP, GL are appropriate and accurately recorded on a timely basis
Preparation of accounting schedules, reconciliation of accounts, management & cash flow reports
Responsible for preparation and reconciliation of quarterly GST returns to IRAS
Knowledge in administration & HR tasks such as leave management, work pass application and renewal, payroll & employee claims
Process HR duties such as work permit application (renewal & cancellation), staff insurance and medical issues (claims, WICA, etc), staff records, administration of leave, overtime calculation etc.
Assist with recruitment and prepare letter of appointment, promotion etc.
Liaise with all government and external bodies with regards to staff issues, subsidies, and grants
Perform all office administrative duties including invoicing, data entry, documents filing, book-keeping, printing, copying and scanning
Handle any other ad-hoc duties and tasks as assigned by Higher Management

Job Requirements:
Min. 2 years experience in Accounts Management
Familiar with HR practices and well versed with prevailing Employment Act and MOM regulations
Must be proficient with Microsoft Excel, Word and MYOB Accounting Software
Good interpersonal skills & communication skills
Strong attention to detail and organizing skills
Well-versed in spoken and written English and/or Mandarin/MelayuTeam player
Able to begin work in Dec 2023 / Jan 2024"
IT Key Account Manager [Basic up $4500 + Commission / 5 days / East] - FA,RK RECRUITMENT PTE. LTD.,MCF-2023-0728584,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Manager,2 years exp,"Information Technology, Sales / Retail",1,"['$3,500to$4,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Benefits Summary:
IT Industry
Basic up to $4500 + Commission
Monday - Friday, 9am - 6pm
Kaki Bukit
Responsibilities:
Generate, maintain, and enhance sales forecasts for assigned customer accounts.
Develop, manage, and nurture strong customer relationships.
Collaborate across departments for effective coordination of pre-sales, professional services, and support resources.
Meet sales quotas by acquiring business from both new and existing clients.
Ensure customer satisfaction through quality products and services.
Possess in-depth knowledge of the organization's offerings.
Contribute to crafting value propositions and skilfully negotiate to secure sales.
Requirements:
2 - 3 years experience in IT sales
Able to manage team
Please submit your updated resume by using the APPLY NOW BUTTON
By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.
*We regret to inform you that only shortlisted candidates would be notified*
We wish you all the best in your career search.
You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Felcia Ang Zhi Yun | EA Personnel No.: R22109905
575"
