title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Art Director (Print) #65175,ANRADUS PTE. LTD.,MCF-2023-0724706,No information added.,,"Permanent, Full Time",Manager,3 years exp,"Advertising / Media, Others",1,"['$4,500to$7,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Job Description
Industry/ Organization Type: Manufacturing / Advertising
Position Title: Art Director (Print)
Working Location: Central
Working Hours: 5 days, Monday – Friday (9:30 AM – 6:30 PM)
Salary Package: Basic up to $7000 + AWS + Variable Bonus
Duration: Permanent
Key Responsibilities
Lead the print team and oversee the development of work for consumer and corporate client campaigns and projects.
Conceptualize and propose innovative print ideas for above-the-line (ATL), below-the-line (BTL), and through-the-line (TTL) advertising campaigns.
Provide art direction guidance to the design team, ensuring the creative vision is executed effectively.
Work on multiple projects simultaneously, managing priorities and timelines effectively.
Collaborate with clients, account managers, and creative teams to understand project objectives and deliver creative solutions that meet client expectations.
Stay updated with industry trends, emerging design techniques, and new technologies in print and graphic design.
APPLY NOW!!!
Bachelor of Arts in Graphic Design, Fine Arts, or equivalent from an accredited art/design school or university.
Excellent interpersonal and presentation skills, with the ability to effectively communicate and collaborate with team members and clients.
Minimum of 3 years of professional experience as an Art Director in print, web, and creative design.
Outstanding portfolio demonstrating successful projects with regional and Singapore clients.
Proficient in design software such as Photoshop, Illustrator, InDesign, Freehand, and Flash.
Sound knowledge of production processes related to print design.
Kindly apply through ANY of the following methods:
Submit your application by clicking the APPLY button;
Email your resume to Job(at)anradus.com.sg. Please indicate #65175 on the email subject.
Anradus Application Policy: We value each application and ensure every resume is reviewed. Our process is efficient, typically concluding within 3 working days. If you do not receive communication from us within this timeframe, it's likely that your application has not been shortlisted by our client. In such cases, we recommend continuing your job search to maximize your opportunities.
Anradus Pte Ltd | EA License No. 20C0161 | Adelin Chong | EA Reg No.: R1875641"
Art Director - UI & Visual Design,ADECCO PERSONNEL PTE LTD,MCF-2023-0721668,"The Adecco Group is the world's leading provider of HR solutions. With over 35,000 FTE employees and over 5,200 branches, in over 60 countries and territories around the world, we offer a wide variety of services, connecting more than 650,000 associates with over 100,000 clients every day. The services we offer fall into the broad categories of temporary staffing, permanent placement, career transition and talent development, as well as outsourcing and consulting. The Adecco Group is based in Zurich-Glattbrugg, Switzerland and we are a Fortune Global 500 company listed on the SIX Swiss Exchange.","SHAW CENTRE, 1 SCOTTS ROAD 228208",Full Time,Manager,8 years exp,Information Technology,1,"['$10,000to$14,000']",Monthly,2 applications,Posted 21 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
We are seeking to hire an experienced Art Director to take responsibility for making sure all visual aspects of our game meet the expectations of the leadership team and ultimately, the quality of our project. You'll work directly and indirectly with all artists, forming partnerships with the wider team, with a strong focus on the big picture.
Responsibilities:
• Contribute to the game’s UI & artistic vision with the multiple art teams to set the style and tone for the game
• Create key art pieces that define the game
• Build, and maintain the game's Art approach and philosophy
• Create and manage art pipelines (internal and external) together with department leads
• Conduct regular reviews of in-game content as well as material
• Balance visual quality and technical performance
• Ensure the creation and review of style guides for all visual disciplines
• Lead and improve team rituals to support high quality craft and individual growth
• You will accomplish your mission with complete autonomy if the need arises; you're dedicated in finding creative and effective solutions to vigilantly eliminate difficult problems

Qualifications:
• Minimum of 8 to 12 years of experience in the creation and direction of Art with ideal experience in User Interfaces (UI) within the game industry.
• Excellent eye for graphical quality and knowledge of techniques used to achieve visual targets
• Strong understanding of usability and user experience
• Deep understanding of all departments and phases of game development
• Experience in building a team and managing people
• A strong communicator and able to convey abstract/sophisticated ideas in a concise way"
Junior / Art Director,TBWA SINGAPORE PTE LTD,MCF-2023-0687558,"TBWA\Worldwide (www.tbwa.com) is a top-ten ranked global advertising collective that holds Disruption® at its core to develop business-changing ideas for brands. TBWA has 11,300 employees across 305 offices in 98 countries and also includes brands such as Auditoire, Digital Arts Network (DAN), eg+ worldwide, The Integer Group®, TBWA\Media Arts Lab and TBWA\WorldHealth. TBWA’s global clients include adidas, Airbnb, Apple, Gatorade, Henkel, McDonald’s, Michelin, Nissan, Pernod Ricard, Pfizer, Standard Chartered Bank, Singapore Airlines, Sotheby’s and Vichy.",991C ALEXANDRA ROAD 119971,"Permanent, Full Time",Executive,1 year exp,Advertising / Media,1,"['$3,500to$5,000']",Monthly,42 applications,Posted 08 Sep 2023,Closing on 08 Oct 2023,"Roles & Responsibilities
Summary: As an Art Director, you will be responsible for work produced on behalf of our clients, as well as any work created for our company, as the need may arise. You are required to collaborate with other creative staff in order to ideate, produce and implement creative that solves our clients' business problems, briefs or goals. You are also expected to maintain our company's standards of creative excellence and, within reason, profitability.

RESPONSIBLITIES
Ideation & Strategic Acumen
• Understand strategy and consumer insights to sell/recommend ideas brave and effective ideas.
• Effectively work on briefs across industries.
• Proactive in bringing new ideas/concepts for the brands/clients they work with
• Constantly striving to deliver disruptive ideas
• Comfortable in communicating and presenting rationale for selling/recommending creative ideas to Creative Directors and Clients

Execution / Production
• Key role in execution/production of multiple projects from concept through to completion, working with both in-house resources and third-party vendors
• Knowledgeable in production, printing, and digital media, and supervise on behalf of the company/clients when necessary.
• Understand strategy and consumer insights, building off these to develop ideas that delivers on clients' business objectives
• Passionate about craft, delivering work of the highest quality
• Deliver work for creative and effectiveness awards at local and international awards competitions

Business Acumen
• Display knowledge of the industry and client's business
• Curious about the business and how it works with an open mind and willingness to learn this side.

People Management
• Collaborate and support the creative process with the Creative Leads and other internal teams to deliver great work
• Key creative contact with integrated teams, engage the team to deliver the best output possible based on the brief.
• Manage and mentor Jr Creatives/interns

Digital
• Constantly up-skilling, proactively keeping up with trends in the creative arena including media formats and knowledgable in incorporate them into creative work
• Up to date with popular culture/trends/technology/practices and know when to adopt/adapt these information effectively to the work
• Capable of working across social and digital assets with good ability

JOB SPECIFICATIONS
Knowledge required
a. 1 - 3 years working experience as a creative.
b. Knowledgeable and understanding of the latest innovations, trends and developments in our industry.
c. A proven track record of previous success, as well as a determination to continue to succeed

Skills required
a. Commercial and creative minded
b. Excellent relationship management
c. Selling and pushing creative standards + delivery
d. Results oriented in business and creativeoutput

Attributes
a. Commitment to TBWA - whatever it takes attitude
b. Team player who is able to work under pressure to deliver and adhere to tight deadlines
c. Pro-active, meticulous and efficiency
d. Ability to work independently
e. Reliability with positive attitude
f. Hungry for more - driving/ striving
g. Exhilarated by change -pushing and thinking about what's next
h. Open to feedback and acts on it accordingly and quickly
i. Disruptive in their thinking and approach to problem solving"
Group Creative Director,QAIS CONSULTING PTE. LTD.,MCF-2023-0722412,QAIS CONSULTING PTE. LTD.,50 SCOTTS ROAD 228242,"Permanent, Full Time",Senior Management,10 years exp,Advertising / Media,1,"['$12,000to$22,000']",Monthly,17 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
WHO WE ARE
At VMLY&R, we create connected brands. We resist the usual ways of seeing, doing and thinking — harnessing creativity, technology and culture — to reimagine the entire connected consumer experience. Our goal? To create work that becomes part of people’s lives, to drive value for our clients and, in the best of cases, to impact the world.

At VMLY&R, we are helping brands and retailers navigate a complex ecosystem of pure-play, direct to consumer, and omni-channel commerce, as well as relationship marketing models.
Role Description
Key Responsibilities:
• Works closely with the executive team to attain and maintain creative vision in support of the overall agency’s strategic initiatives.
• Responsible for shaping a general direction of the work that VMLY&R produces for a given client
• Build strong relationships with multi-levels of clients, and deepen their knowledge of interactive marketing
• Great presentation skills and ability to work collaboratively with account and technical teams in a fast-paced environment.
• Write copy for campaigns, social media, TV, radio, print and web platforms
• Maintain the quality of all copy output from agency
• Overseeing campaign through the production stage to completion
• Work with existing creative teams to come up with concepts and ideas
• Present agency works to clients in a convincing and compelling manner
• Help create presentation material for pitches and existing client work
• Monitoring the effectiveness of advertising campaign
• Amending, revising or redeveloping adverts or campaigns in response to feedback from the creative director, account team or clients.
• Work with the strategy to articulate the messaging for the various brands handled by the agency

Qualifications/Requirements:
• Minimum 10+ years’ experience in the Advertising Industry. Digital Experience is a must.
• Proven ability to lead a creative teams of art director and copywriters, able to understand, digest and crystalize the strategy and key messages
• Provide leadership for the more junior members in the team
• Always looking to push the creative output of the team forward
• Takes ownership of client work and project delivery
• Commands mastery of the written and spoken language for the market
• Mastery of proper grammar and syntax
• Has the ability to write in various tones, personalities, and styles
• Can write both short and long form copy

VMLY&R is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, gender identity, sexual orientation, national origin, disability status, protected veteran status, or any other characteristic protected by law."
Art Director,TMR MEDIA PTE. LTD.,MCF-2023-0605511,No information added.,"EUNOS TECHPARK, 60 KAKI BUKIT PLACE 415979",Full Time,Manager,3 years exp,"Advertising / Media, Design, Events / Promotions, Marketing / Public Relations",1,"['$3,000to$4,000']",Monthly,12 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Our art directors deliver stories visually. They produce visual languages that get heartbeats racing. They use the aesthetic power of design to take businesses to markets no one else can. Their work encourages advocacy, action, and change. In order to provide unforgettable experiences throughout the range, our Art Directors work in collaboration with our copywriters, strategists, media planners, technologists, and public relations experts.

Requirements:

Experience with through-the-line advertising

Comprehensive knowledge of online and social media platforms

Outstanding design abilities in layout, typography, video, and design

The capacity to manage several projects concurrently in order to achieve deadlines

Extensive Photoshop and Illustrator experience"
Art Director (Print) #65175,ANRADUS PTE. LTD.,MCF-2023-0710541,No information added.,,"Permanent, Full Time",Manager,3 years exp,"Advertising / Media, Others",1,"['$4,500to$7,000']",Monthly,3 applications,Posted 17 Sep 2023,Closing on 24 Sep 2023,"Roles & Responsibilities
Job Description
Industry/ Organization Type: Manufacturing / Advertising
Position Title: Art Director (Print)
Working Location: Central
Working Hours: 5 days, Monday – Friday (9:30 AM – 6:30 PM)
Salary Package: Basic up to $7000 + AWS + Variable Bonus
Duration: Permanent
Key Responsibilities
Lead the print team and oversee the development of work for consumer and corporate client campaigns and projects.
Conceptualize and propose innovative print ideas for above-the-line (ATL), below-the-line (BTL), and through-the-line (TTL) advertising campaigns.
Provide art direction guidance to the design team, ensuring the creative vision is executed effectively.
Work on multiple projects simultaneously, managing priorities and timelines effectively.
Collaborate with clients, account managers, and creative teams to understand project objectives and deliver creative solutions that meet client expectations.
Stay updated with industry trends, emerging design techniques, and new technologies in print and graphic design.
APPLY NOW!!!
Bachelor of Arts in Graphic Design, Fine Arts, or equivalent from an accredited art/design school or university.
Excellent interpersonal and presentation skills, with the ability to effectively communicate and collaborate with team members and clients.
Minimum of 3 years of professional experience as an Art Director in print, web, and creative design.
Outstanding portfolio demonstrating successful projects with regional and Singapore clients.
Proficient in design software such as Photoshop, Illustrator, InDesign, Freehand, and Flash.
Sound knowledge of production processes related to print design.
Kindly apply through ANY of the following methods:
Submit your application by clicking the APPLY button;
Email your resume to Job(at)anradus.com.sg. Please indicate #65175 on the email subject.
Anradus Application Policy: We value each application and ensure every resume is reviewed. Our process is efficient, typically concluding within 3 working days. If you do not receive communication from us within this timeframe, it's likely that your application has not been shortlisted by our client. In such cases, we recommend continuing your job search to maximize your opportunities.
Anradus Pte Ltd | EA License No. 20C0161 | Adelin Chong | EA Reg No.: R1875641"
Art Director,EG+ WORLDWIDE PTE. LTD.,MCF-2023-0709102,"Proud to be Producers and Makers We have a passion for delivering innovative production and content solutions. Solutions that enable our clients to engage with their audiences effectively and efficiently across the globe, in every channel, at any scale. Unparalleled Expertise, Delivered with Passion We love what we do. The demanding work. The fast pace. The new challenges every day. These are the things that get us out of bed each morning and why clients turn to us for the innovative solutions to their marketing challenges. Leveraging Experience From Every Category We work with many of the best-known brands in the world to provide industry-leading production and content solutions that deliver concrete, measurable results. Automotive Consumer Packaged Goods Financial Services Health Care & Pharma Luxury Goods Retail Technology Telecommunications Travel / Leisure Complementary Capabilities, Seamlessly Delivered to our Clients The eg+ Worldwide Group comprises best-in-class production, content, localisation and transcreation capabilities. We have an unmatched track record of seamlessly delivering all or a mix of these services to our clients across every channel and in every region. Our Group Who we are today is a direct result of how our client needs have evolved. By harnessing the talents and expertise of eg+ worldwide, clients can engage with eg+ to implement, amplify and localize their creative ideas ever more efficiently and more effectively.",991C ALEXANDRA ROAD 119971,"Permanent, Full Time",Professional,,Advertising / Media,1,"['$3,500to$5,000']",Monthly,25 applications,Posted 15 Sep 2023,Closing on 15 Oct 2023,"Roles & Responsibilities
Summary:
As an Art Director, you will be responsible for work produced on behalf of our clients, as well as any work created for our company, as the need may arise. You are required to conceptualise, produce and implement disruptive creative and content that solve our clients’ business problems, briefs or goals. You are also expected to maintain our company’s standards of creative excellence and, within reason, profitability.

Responsibilities:
Ideate, visualise, create, direct and execute original and iconic creative concepts in response to client briefs, objectives or goals
Manage multiple projects from concept through to completion, working with peers, managers and both in-house resources and third-party vendors
Develop creative that meets both our clients’ objectives as well as our business objectives, maintaining the company’s expected levels of creative excellence and professionalism
Collaborate effectively with your Creative Director, peers, Account Management, and the wider designory and eg+ team to develop creative and content work
Present, share and review creative work with Creative Director, Account Management and Project Leads as well as members of the Management Team
Produce original and impactful ideas independently, as well as in a team
Provide art direction and original designs for effective advertising campaigns
Develop on-brand designs and interfaces, for online and offline collaterals
Produce social media content such as posts, Reels, videos
Communicate to specialists such as artists or art buyers to elevate visual quality
Incorporate feedback and changes from the wider team
Provide feedback on the work of other members of the creative services team
Maintain accurate timesheets that are completed by required deadlines
Skills & Experiences Required:
Diploma/Degree holder in Communications, Advertising or Media Art and Design Experience
Understanding of branding, especially visual attributes
Sound knowledge of print and online media, including social media
Good understanding of social media platforms (Instagram, Facebook, TikTok)
Skilled and proficient in Adobe Suite and other visual productivity tools
Communicate effectively and clearly, both orally and in writing, in English
Communicate clearly and honestly with managers, peers and clients
Ability to present work to clients and internal teams"
Art Director,UNIQ CREATION PTE. LTD.,MCF-2023-0699384,No information added.,"HB CENTRE 2, 31 TANNERY LANE 347788",Full Time,Senior Executive,1 year exp,Design,1,"['$4,000to$5,000']",Monthly,20 applications,Posted 13 Sep 2023,Closing on 13 Oct 2023,"Roles & Responsibilities
The Role — Art Director (UNIQ)

As our Art Director for the brand UNIQ, you’ll be responsible for conceptualising and executing creative solutions, holistic design systems and leading a team of creatives to progress the brand on a global scale. We’ll need you to bring fresh perspectives, identify great ideas and work effectively with cross-functional teams to direct them through to beautifully crafted solutions without losing sight of the original objective and vision.

You are a disciplined creative who understands that every piece of work deserves care and attention to detail, with a strong ability to communicate strategically-led ideas and direction clearly throughout the creative process. Either way, you’re equally comfortable working in a team to brainstorm a social media campaign or on your own to reimagine the art direction of a visual.

Responsibilities

• Ideate, craft and execute original creative concepts that meet requirements and objectives of the brief
• Work across mediums and produce compelling creative work and visuals that are in line with company’s expected levels of creative excellence and professionalism
• Execute concept, proper placement and layout of the image(s) and graphic element(s) within a creative assignment
• Lead and manage multiple projects from concept through to completion
• Present and review creative ideas and work with the creative director, and members of the sales and management team
• Collaborate effectively with both internal teams and external vendors
• Attend product and project briefings, meetings and kick-offs as and when required
• Leads and/or participates in strategic and creative campaign brainstorming discussions
• Inspire, support and mentor less experienced team members

You could be the one if you have/ are:

• Approx. 5 years of professional experience
• Experience in visual conception based on a strategic foundation
• Exhibit excellent software, graphic design and illustration skills
• Exceptional layout, typography composition, and production skills
• Natural desire to progress the business and people around you
• Ability to work independently handling multiple and changing priorities
• Ability to handle pressure and demanding situations with a level head
• Knowledge of design for 3D, Web, Video, software is a great bonus

Location and Hours

You’ll be working with like-minded individuals in a full-time role in our office in Singapore.

Why You’ll Love Working Here:

Joining Uniq Collective will mean that you are joining our tight-knit family of over 40 thinkers, creators and makers. We’re proud of our workplace culture and we believe in a positive, collaborative environment for our people to flourish and grow.

Home to a diverse group of brands with our products found in over 40 different countries around the world, here you will find a fun-loving team, rich learning opportunities and the freedom to bring your ideas to life.

Who We Are

Founded in 2010, we are home to a diverse and complementary group of eight global brands — UNIQ, Skinarma, Energea, Mobile+Labs, Coehl, Optix, Bazic and Lyfro.

A diverse family of thinkers and creators striving for the same vision, we create products that meet individuals at every point of their day with everyday essentials they love to carry use and wear.

Driven by our vision of modern living with over a decade of design expertise, our product selection includes tech accessories, screen protection, power solutions, apparels and bags that cater to the unique and evolving needs of the modern individual."
Senior Art Director,PUBLICIS SINGAPORE,MCF-2023-0701207,"Publicis Singapore is a full-service advertising agency offering fully integrated strategic perspectives and creative services to their clients. Present in over 80 countries with 11,000 employees, Publicis Worldwide counts amongst some of its major clients AXA, BNP Paribas, Carrefour, Cartier, Citi, Coca-Cola, Haier, Hilton Honors, HP, L’Oréal, LG, Luxottica, Nestlé, Orange, P&G, Paypal, Pernod Ricard, RATP, Renault, Sanofi, Seb, Siemens, Telefonica, Total, UBS, Sanofi, Citibank, Audi, AstraZeneca, Singapore Post, Far East Property, City Development, Keppel Land, Robinson’s, Scoot, Breadtalk, Trend Micro, Millennium Copthorne and Virgin Active.","COLLYER QUAY CENTRE, 16 COLLYER QUAY 049318",Permanent,Middle Management,7 years exp,Advertising / Media,1,"['$5,000to$7,500']",Monthly,15 applications,Posted 13 Sep 2023,Closing on 27 Sep 2023,"Roles & Responsibilities
For some of the most popular consumer brands in the world, your ideas, solutions and art will reach and impact the daily lives of nearly 2 billion people in the fastest growing region in the world. You will work for clients who not only care about success in the marketplace, but are passionate about the role of brands in helping bring about social change.

Expectations of a Senior Art Director
Ideate, craft and execute original and iconic creative concepts in response to client briefs, objectives or goals
Is responsible for the proper placement, context and meaning of every image and graphic element within a creative assignment
Develop creative ideas that meets both our clients’ objectives as well as our business objectives, maintaining the company’s expected levels of creative excellence and professionalism
Present, share and review creative work with Executive Creative Director/s, Account Management and Planning Leads as well as members of the Management Team
Manage multiple projects from concept through to completion, working with both in-house resources and third-party vendors
Collaborate effectively with Account Management, Planning and the broader creative team to develop disruptive and iconic work
Manage multiple projects from concept through to completion, working with both in-house resources and third-party vendors
Participates in, and leads brainstorming sessions
Expectations as a member of our community
You believe passionately in the power of creativity to bring change to the world. But you’re realistic and have a clear-eyed view of what it will take to get there: not a path you walk alone, but with a group of people putting a diverse range of skills and perspectives to work, towards a common goal
Your ideas and your voice will be heard, respected and protected with passion. Ideas are not disposable commodities here, they are our most precious assets
You will be tested, you will be challenged and you will be pushed beyond your comfort zone, but you will equally be supported, encouraged and celebrated. Because the true value of a community is that we bring out the best in each other
Special requirements
You have about 7-9 years of work experience and a book brimming with brave ideas and outstanding craft, some that saw the light of day, and maybe some that didn’t
You’re a keen student of life, open and curious, always willing to learn and devoted to your art
You’re an artist. Every surface, every channel, every medium, social or otherwise, is your canvas. You’re just where people are
You’ve won a few of the awards that matter. Or you’re very hungry to. Winning isn’t everything, but excellence is
Strong grasp of social media space and online media jargon and technology
Ability to work under pressure and meet deadlines in a fast-paced creative environment
Ability to effectively and appropriately interact with co-workers at a variety of levels, across many disciplines
Understands and uses the latest in computer design software
After hours work and overnight traveling to shoots and post sessions required
Naturally well organised and unfazed when working towards deadlines"
Creative Director / Art,FORSMAN & BODENFORS PTE. LTD.,MCF-2023-0702308,We are a global marketing communication and production agency,47 CRAIG ROAD 089685,Full Time,Middle Management,12 years exp,Advertising / Media,1,"['$14,000to$16,000']",Monthly,44 applications,Posted 13 Sep 2023,Closing on 27 Sep 2023,"Roles & Responsibilities
Who are we?
After first opening our doors in Singapore almost five years ago, we're still young and hungry to do the best work of our careers, so we're looking for great people to join us! We're a team of dedicated and passionate people who share a belief that the task is always the boss. We like to work with great people and do world-class work while keeping things simple and honest with an open and super collaborative culture.

The Role:
We are looking for a Creative Director / Art with strong conceptual skills and art direction craft to join our team. This Creative Director needs to lead, to inspire and be close to the work.

We look for people who bring a fresh and different creative perspective, who are hands on to own the entire development, production and activation of an idea and passionately believe in the power of creativity. As we work as a small, close-knit, collaborative team, this person will be expected to collaborate across disciplines. This person will report directly to the Head of Creative.


Responsibilities:
Ideate, conceive and execute world-class creative work with excellent craft, attention to detail and deliver the highest quality output
Inspire the wider team with your world-class art and design craft and seasoned conceptualisation skills.
Collaborate directly with the wider creative teams on ideas, concepts (and designs)
Produce strong creative deliverables in accordance with project timelines and production budgets
Working closely with other Writers, Designers, Strategists, Client Directors, and Producers to ensure an integrated approach to client needs and feedback
Maintaining high standards in process and presentation, independently
Staying on top of new techniques and trends in multichannel, multi-medium marketing efforts
Contributing to pitches and new business as needed
Be open to sharing ideas to build the collective.
Ability to work in an agile way.
Flexible mindset, positively open to feedback and to providing constructive critique.
Requirements:
12-15 years of creative and advertising agency experience
Proven conceptual and art/design craft experience at a creative or branding agency
Regional, global, Greater China work experiences will be a huge plus.
A portfolio of examples that demonstrate strategic, conceptual, and creative thinking as well as excellent art directional craft
Confident, seasoned presenter; someone who can sell-in an idea to clients across all levels with ease and grace
Strong verbal and written communication skills
Ability to work independently as well as in a team environment
You can work with other disciplines and clients to understand feedback and even take it sometimes
You are plugged into culture and hungry to make work that takes over culture
We are laser-focused on creating the right circumstances for everyone to do the best work of their careers at F&B.

One way we do that is by supporting autonomous client teams. This team is accountable together. No one in the team reports to anyone. We get in there on equal terms. We trust each other—all voices matter. We work together to find solutions, strategies, messages, ideas, and innovations—that we all believe in.

And because we stay clear of traditional hierarchy on the client team level, we also have very few basic titles.

So, while your title will not change at the pace you may be used to from other companies, every employee at F&B has a clear path for growth and clarity on expectations.

We believe in equal pay for equal work, have gender pay equity everywhere in the Collective, and are Fair Pay Workplace Certified. Compensation is evaluated annually to ensure that your earning potential grows as your level of impact and responsibility grows.

The salary range for a seasoned Creative Director / Art at Forsman & Bodenfors in Singapore is S$14,000 to S$16,000.

We seek someone who falls within this range.

Learn more about careers and culture at Forsman&Bodenfors on our website at www.forsman.com/people"
