title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Investment Analyst,NAVIS CAPITAL PARTNERS (SINGAPORE) PTE. LTD.,MCF-2023-0722379,"Founded in 1998, Navis manages approximately US$5 billion in private equity capital and focuses on investments primarily in and around Asia. Navis contributes both capital and management expertise to a limited number of well-positioned companies with the objective of directing strategic, operational and financial improvements. Navis has one of the largest private equity professional teams in Asia, comprising 60 individuals, supported by 30 administrative staff, in six offices across the region. Navis has a long and proven track record in pan-Asian private equity, with over 85 control transactions across the Asian region completed since its establishment.","MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Junior Executive,3 years exp,"Accounting / Auditing / Taxation, Banking and Finance",1,"['$9,700to$11,900']",Monthly,62 applications,Posted 21 Sep 2023,Closing on 12 Oct 2023,"Roles & Responsibilities
Navis Capital Partners is a Kuala Lumpur based international private/public equity fund management company.
In line with our continuous growth, we invite suitably qualified and self-motivated individuals to join our Private Equity team at our Singapore office.
The Job
Build accurate Financial Model including operating KPIs
Assist in due diligence and analysis
Develop investment thesis
Prepare New Deal alerts and assist in Investment Committee deck preparation
Provide industry analysis and deal judgement
Provide Analytical support for decision making & assist in company specific initiatives
Update team on key industry trends & proactive updating of Senior Deal team
Assist in Document Preparation
Requirements
Relevant experience in direct equity, investment banking, securities analysis or management consulting with an international or top tier firm
Strong analytical skills and structured thinking
Proven to contribute and achieve in a team oriented environment
Outstanding results from a top, globally recognized university
Good command of English
Good command of other SE Asian languages is an added bonus
Interested applicants are invited to apply enclosing your detailed resume stating personal particulars, qualification, and employment history.
We offer competitive remuneration and excellent career prospects to suitable candidates. You may visit our website at www.naviscapital.com"
"Business Analyst, Investment Relations (VIE Programme)",CA INDOSUEZ (SWITZERLAND) SA,MCF-2023-0722058,"CA Indosuez (Switzerland) SA, Singapore Branch","CAPITAL TOWER, 168 ROBINSON ROAD 068912",Contract,Junior Executive,3 years exp,Banking and Finance,1,"['$5,000to$8,000']",Monthly,14 applications,Posted 21 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
The role will be part of the the Asset Management team and reporting to Head of Asset Management Asia in Singapore, where he/she plays an active role in engaging and collaborating with key stakeholders and other business lines of the company.

The ideal candidate should possess strong background in investment relations and an analytical problem-solver with a passion for delivering results in a fast-paced, multi-tasked, high energy environment.

KEY RESPONSIBILITIES
Identify potential new clients and develop existing clients to further increase both public and private markets & alternatives penetration within AUM of Singapore Branch;
Update Asset management solutions local marketing documents with high quality of maintenance. Support and produce marketing proposals and local marketing materials.
Plan and execute marketing strategy to sell Asset Management solutions/products, coordinate roadshows and marketing activities in product launches; Conduct training for local wealth managers /investment advisors and promote awareness of Asset Management investment products in Asia;
Support local marketing efforts as requested (internal/external presentations…) to Relationship Managers and Investment Advisors, in coordination with Asset Management investment & marketing strategy in Asia.
Work closely with the Asia Asset Management Investment team and the Investor Relations team at Indosuez Group to identify local needs; ensure consistency of offering in Asia and coordinate marketing across the region;
Support local clients servicing tasks and requests, ensure compliance with internal and external rules and regulations;
Ensure and produce after-sale services and periodic reporting for local clients, conduct periodic Managed solutions client portfolio review.
Produce periodic business reporting for Asset Management Head.
Develop reporting and marketing tools, maintain and improve proprietary IT tools
Participate in ad-hoc projects to assist in marketing & business development for Asset management.
Assume any other tasks/projects as and when assigned.
KEY REQUIREMENTS
Degree from leading Business Schools or Universities, recognized with professional experience in the field
2-5 years of relevant experience in investment advisory, investor relations or marketing
Strong understanding and observance of Financial Products, Markets and Portfolio Management
Proficiency in office tools (MS Office environment) and Collaborative tools
Highly effective communication skills and presentation skills
Open-minded, self-initiated, hands on with a “can do” attitude with demonstrated ability to work in a small team
Be able to foster a constructive and effective working relationship with all the stakeholders in different regions
Strong organizational, investigative & analytical skills and attention to detail
Strong communication skills (written and verbal) and strong interpersonal communication skills
Strong organizational, multi-tasking and prioritization skills
Proficiency in English and French required as large amount of correspondence are written and spoken in French
About VIE Programme
The Volunteer for International Experience (VIE) is a unique international program sponsored by the French Ministry of Economy, Finance and Employment, open to Airbus to offer young professionals the opportunity to have valuable paid work experience abroad in a technical or business function.

The VIE is a specific contract, under Business France’s eligibility criteria.

VIE Main Requirements
European Union citizens (plus Norway, Iceland, Liechtenstein, and Monaco), graduates up to and including 28 years old.
Have fulfilled military obligations for their country, if any."
Investment Analyst - Asset Management,FP GLOBAL PTE. LTD.,MCF-2023-0695741,"We are an international head hunting agency, specialised in Asset Management, with an impressive client-list spanning most of the top international Investment managers both in Europe and in Asia.",,Permanent,Junior Executive,1 year exp,Banking and Finance,1,"['$5,000to$7,000']",Monthly,125 applications,Posted 12 Sep 2023,Closing on 12 Oct 2023,"Roles & Responsibilities
Currently looking for an Investment Analyst to join the portfolio company of a leading asset management firm. The firm focuses primarily within the industrial sector (SEA region).

Responsibilities:
Prepare regular asset management plans, detailing proposals and forecasts of net income, capital expenditure, sales and valuations, explanations of major variances to previous forecasts, written commentaries on key issues and any relevant assumptions
Review portfolio performance, portfolio valuation and asset enhancement initiatives
Work with the investment team and assist in the evaluation of industrial real estate investment including build to lease, development, acquisition and divestment opportunities
Build, develop, update financial models for portfolio valuation, performance assessment and analysis
Conduct market research on real estate trends, market insights, capitalization rates andmarket comparables
Implementing, reviewing, monitoring asset policies, documentation, audit checks onassets, service providers and procedures
Preparing proposals and presentations to clients, key stakeholders
Qualifications
Bachelor’s degree in Real Estate, Accounting, Business, Economics or Engineering
At least 1 year of relevant experience
Proficient in cash flow modelling
Excellent writing and presentation skills"
Investment Analyst,PRINCE CAPITAL PTE. LTD.,MCF-2023-0719273,No information added.,"MARINA BAY FINANCIAL CENTRE, 10 MARINA BOULEVARD 018983",Permanent,Non-executive,3 years exp,"Admin / Secretarial, Marketing / Public Relations, Real Estate / Property Management",1,"['$5,000to$5,600']",Monthly,14 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Assist in developing proformas for relevant assets in BOL and ensure that the development matches with required returns.
Assist in conducting feasibility analysis on relevant projects recommended relating to BOL and relevant assets of Prince Group.
Run macroeconomic analysis on relevant training projects.

Developing and documenting transaction rationale, including preparation and presentation
Developing business plans and financial models and executing transaction recommendations.
Performing comprehensive and in-depth company and industry research.
Participating in Marketing and fundraising activities including roadshows, and internal training.
Deal structuring and fundraising
Ad-hoc projects"
Investment Analyst,BERKELEY ENERGY RENEWABLES SINGAPORE PRIVATE LIMITED,MCF-2023-0707500,"BERKELEY ENERGY RENEWABLES SINGAPORE PRIVATE LIMITED Berkeley Energy is a private equity fund manager specialising in renewable energy infrastructure investments in developing markets. It is currently managing the Renewable Energy Asia Fund (REAF), the Renewable Energy Asia Fund II (REAF II) and Africa Renewable Energy Fund (AREF). BE has offices in London, Singapore, Delhi, Manila, Mauritius and Nairobi.",82 AMOY STREET 069901,Full Time,Junior Executive,2 years exp,Banking and Finance,1,"['$5,625to$7,333']",Monthly,80 applications,Posted 15 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Investment Analyst / Associate

Berkeley Energy (“BE”) is an investment manager with dedicated private equity funds focused on renewable energy investments in Asia and Africa, managing strategies with over $800m in committed capital. The funds are active in over a dozen markets in Asia and Africa, with a project portfolio that includes solar, wind, biomass, hydro assets and battery storage plants. BE is a hands-on investor who takes an active role in the development, construction, and operations of its projects.

BE is seeking to hire an experienced Investment Analyst / Associate at its Singapore office to support diverse business workstreams such as investments management, fund-raise efforts, reasearch and reporting, for BE’s Asia business.

Responsibilities

The role will include, but not limited to, the following responsibilities:
General
Perform investment analysis tasks assisting and reporting to an Investment Manager/Director.
Work alongside the BE team to become familiar with the team and their responsibilities, and with the portfolio of projects within the current fund to enable positive contributions to project delivery early on.
Assist in portfolio monitoring work by co-ordinate with the project, finance, ESG and legal function on all relevant aspects e.g., tax, accounting, permits etc. as required to prepare the modelling outputs, internal memorandums/notes and various reporting requirements for BE and its investors, using appropriate in-house systems where necessary.
Attend progress meetings, internal BE meetings and investor meetings, as required.
Due Diligence
Evaluate potential project / investment opportunities from an investment and commercial point of view.
Undertake research on specific target markets and issues related to the project.
Perform site visits to potential investment sites, if needed.
Perform financial analysis and modelling appraisal of target projects.
Maintain a database of potential projects for screening and analysis.
Investment Analysis & Transactions
Build or use template financial models to support various requirements such as financial analysis of projects across life cycle, managing project finance facilities, co-investment or divestments etc.
Research on industry, competitive landscape, policies and assimilating the research in structured notes and presentations to help senior management for their decision-making processes.
Contribute to drafting of investment committee papers, investment memorandums and teasers for divestment or project finance exercises.
Closely monitor the performance of investments, liaise with colleagues across technical, ESG, legal and accounting functions to ensure timely and accurate reporting of information relating to the investments.
Assist in strategic business transactions through financial modelling, research & analysis and writing skills.
Berkeley Energy is a lean organization. Consequently, the entire staff will occasionally be involved in various duties outside of their usual scope of work including administrative tasks.

Key skills/Competencies/Experience

Highly analytical, organised and pragmatic professional with attention to details.
Keen interest in renewable energy and investment.
3 - 5 years’ experience working in accounting, corporate finance (Mergers & Acquisitions, and Transactions), investment banking or project finance, with exposure to renewable energy/power or infrastructure considered beneficial.
Awareness, if not direct experience, of term-sheets, share-purchase/holders agreements, project financing agreements is very much valued.
Excellent Excel and financial modelling skills are required and advanced use of the Microsoft Office suite. A modelling test will form part of the recruitment process.
Excellent written English and ability to write documents to a publishable standard.
Enthusiasm and commitment to working in a fast-paced, entrepreneurial environment; collaborative team player while having the ability to work independently.
Willingness to travel and visit project sites across Asia.

Qualifications
Relevant post-graduate Master’s degree (preferably in finance or investment analysis); Under-graduates (engineering, finance) with adequate relevant experience.
Additional qualifications such as CFA Charter holder or CFA Candidate are valued, but not required.
Should you be confident your profile fits the above role, please send your CV and cover letter clearly stating the job role you are applying for to: jay.caulleechurn@berkeley-energy.com"
Investment Research Analyst,FUTURISTIC TECHNIC ELECTRONICS PTE LTD,MCF-2023-0707113,No information added.,"UBI TECHPARK, 10 UBI CRESCENT 408564",Full Time,Manager,5 years exp,"Advertising / Media, Banking and Finance, Consulting, Marketing / Public Relations",1,"['$5,500to$7,000']",Monthly,34 applications,Posted 15 Sep 2023,Closing on 15 Oct 2023,"Roles & Responsibilities
Investment analysts collect information, research, and analyze assets like stocks, bonds, currencies, and commodities. Investment analysts often focus on specific niches to become experts in their chosen fields, such as a particular industry, a geographical region, or an asset class.

Key Responsibilities:
Conduct thorough business analysis of current and potential investment partners and the business environment and regulations of the countries they are located in.
Identify patterns and market trends across industries and regions to assess the feasibility and soundness of the partner's businesses.
Perform company analysis and support investment projects, ensuring effective post-investment follow-up.
Review and evaluate contractual agreements related to investment activities in English.
Create persuasive slide decks and reports for HQ.
At HQ's request, visit our collaborating investment partners to understand their business environment better.
Other ad-hoc duties, including general affairs-related matters as assigned by the Management.
Job Requirement
Years of experience in investment, market, or related fields
Fluent in English/Chinese language.
Excellent analytical and problem-solving skills.
Strong communication and presentation skills.
Proficiency in Microsoft Office Suite, particularly PowerPoint."
Senior Investment Analyst (Single Family Office),EXPONENT GLOBAL CONSULTING PTE. LTD.,MCF-2023-0707575,"EXPONENT GLOBAL CONSULTING PTE. LTD. Exponent is a Singapore-based boutique firm that offers consulting services in the areas of Talent Acquisition, Talent Development and Strategic HR/OD. We work for clients from Asia, Europe and North America. They range from start-ups to very large multinationals and have interests in diverse industry sectors - from Agri-Commodities, Oil & Gas, Real Estate and Hospitality to IT/ITES, Telecom and Biotechnology.","BUGIS JUNCTION TOWERS, 230 VICTORIA STREET 188024",Permanent,Manager,8 years exp,"Banking and Finance, Consulting",1,"['$8,000to$12,000']",Monthly,56 applications,Posted 15 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
The employer is the Family Office affiliated to a large and diversified conglomerate with interests in petrochemicals, raw materials, fertilisers and other sectors. With a group turnover of more than $15 billion and manufacturing facilities in four continents, the group is rapidly expanding its presence globally. The Family Office affiliated to the Group manages a portfolio of global investments covering Equities, Fixed Income and other financial products. To support further expansion of the FO in Singapore, the Group is looking for:

Position: Senior Investment Analyst (Single Family Office)
Job Code: EXP/SIA/SG/0823
Location: Singapore

Responsibilities
The selected candidate will be responsible for:
Conducting active research and analysis on investment opportunities across different asset classes – both Equity and Fixed Income - in public and private markets
Monitoring, reporting, and reviewing performance of existing investments in view of the entire portfolio and asset allocation.
Conducting investment analysis and providing detailed financial models to support investment decisions.
Providing support in devising asset allocation methodologies for the portfolio
Tracking and monitoring industry trends/developments and performance of the investment portfolio
Requirements
Bachelor’s Degree in Business/Finance/Engineering from reputed institutions.
CA/CPA qualification or MBA (Finance) preferred.
5-8 years of relevant experience in research and investment management with reputed financial institutions
Strong knowledge of at least one of the following asset classes – Private Equity, Listed Global Equities or Global Credit, and some exposure to other asset classes.
Strong fundamental and technical analysis, and critical thinking capabilities
Familiar with a range of analytical tools, databases, and software relevant for investments and portfolio management
Hands-on. entrepreneurial and adaptable. The candidate should be willing to take responsibility for investment not only for its origination but also its execution and tracking.
Ability to work independently in a small, focussed in-house team."
Investment Associate,BERKELEY ENERGY RENEWABLES SINGAPORE PRIVATE LIMITED,MCF-2023-0707528,"BERKELEY ENERGY RENEWABLES SINGAPORE PRIVATE LIMITED Berkeley Energy is a private equity fund manager specialising in renewable energy infrastructure investments in developing markets. It is currently managing the Renewable Energy Asia Fund (REAF), the Renewable Energy Asia Fund II (REAF II) and Africa Renewable Energy Fund (AREF). BE has offices in London, Singapore, Delhi, Manila, Mauritius and Nairobi.",82 AMOY STREET 069901,Full Time,Executive,3 years exp,Banking and Finance,1,"['$7,333to$9,000']",Monthly,47 applications,Posted 15 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Investment Analyst / Associate
Berkeley Energy (“BE”) is an investment manager with dedicated private equity funds focused on renewable energy investments in Asia and Africa, managing strategies with over $800m in committed capital. The funds are active in over a dozen markets in Asia and Africa, with a project portfolio that includes solar, wind, biomass, hydro assets and battery storage plants. BE is a hands-on investor who takes an active role in the development, construction, and operations of its projects.

BE is seeking to hire an experienced Investment Analyst / Associate at its Singapore office to support diverse business workstreams such as investments management, fund-raise efforts, reasearch and reporting, for BE’s Asia business.

Responsibilities
The role will include, but not limited to, the following responsibilities:
General
Perform investment analysis tasks assisting and reporting to an Investment Manager/Director.
Work alongside the BE team to become familiar with the team and their responsibilities, and with the portfolio of projects within the current fund to enable positive contributions to project delivery early on.
Assist in portfolio monitoring work by co-ordinate with the project, finance, ESG and legal function on all relevant aspects e.g., tax, accounting, permits etc. as required to prepare the modelling outputs, internal memorandums/notes and various reporting requirements for BE and its investors, using appropriate in-house systems where necessary.
Attend progress meetings, internal BE meetings and investor meetings, as required.
Due Diligence
Evaluate potential project / investment opportunities from an investment and commercial point of view.
Undertake research on specific target markets and issues related to the project.
Perform site visits to potential investment sites, if needed.
Perform financial analysis and modelling appraisal of target projects.
Maintain a database of potential projects for screening and analysis.
Investment Analysis & Transactions
Build or use template financial models to support various requirements such as financial analysis of projects across life cycle, managing project finance facilities, co-investment or divestments etc.
Research on industry, competitive landscape, policies and assimilating the research in structured notes and presentations to help senior management for their decision-making processes.
Contribute to drafting of investment committee papers, investment memorandums and teasers for divestment or project finance exercises.
Closely monitor the performance of investments, liaise with colleagues across technical, ESG, legal and accounting functions to ensure timely and accurate reporting of information relating to the investments.
Assist in strategic business transactions through financial modelling, research & analysis and writing skills.
Berkeley Energy is a lean organization. Consequently, the entire staff will occasionally be involved in various duties outside of their usual scope of work including administrative tasks.
Key skills/Competencies/Experience
Highly analytical, organised and pragmatic professional with attention to details.
Keen interest in renewable energy and investment.
3 - 5 years’ experience working in accounting, corporate finance (Mergers & Acquisitions, and Transactions), investment banking or project finance, with exposure to renewable energy/power or infrastructure considered beneficial.
Awareness, if not direct experience, of term-sheets, share-purchase/holders agreements, project financing agreements is very much valued.
Excellent Excel and financial modelling skills are required and advanced use of the Microsoft Office suite. A modelling test will form part of the recruitment process.
Excellent written English and ability to write documents to a publishable standard.
Enthusiasm and commitment to working in a fast-paced, entrepreneurial environment; collaborative team player while having the ability to work independently.
Willingness to travel and visit project sites across Asia.
Qualifications
Relevant post-graduate Master’s degree (preferably in finance or investment analysis); Under-graduates (engineering, finance) with adequate relevant experience.
Additional qualifications such as CFA Charter holder or CFA Candidate are valued, but not required.
Should you be confident your profile fits the above role, please send your CV and cover letter clearly stating the job role you are applying for to: jay.caulleechurn@berkeley-energy.com"
"Analyst, Investment Analysis",INTERCONTINENTAL HOTELS GROUP (ASIA PACIFIC) PTE. LTD.,MCF-2023-0709152,"INTERCONTINENTAL HOTELS GROUP (ASIA PACIFIC) PTE. LTD. This is the true spirit of True Hospitality for Good. IHG® Hotels & Resorts has always pioneered connecting people. This spirit saw Kemmons Wilson bring the joy of travel to all, Bill Kimpton revolutionize boutique hotels, Juan Trippe open the gateway to international travel and our newest brands blaze their own trails — all changing the way people travel forever. Today, we take this ground-breaking spirit and pave the way for tomorrow. Because our hotels aren’t just a backdrop to life’s special moments: we are connectors, digital innovators, connoisseurs. We strengthen family bonds, forge business partnerships, unite far flung friends, reach out to our communities, and share global challenges. Our family of brands is as diverse as we are, bringing people together at a time when we need it most. Because wherever we welcome guests, we create a better world for all. We don’t just open doors, we open minds...","BUGIS JUNCTION TOWERS, 230 VICTORIA STREET 188024",Full Time,Junior Executive,1 year exp,"Hospitality, Real Estate / Property Management, Travel / Tourism",1,"['$4,750to$5,000']",Monthly,14 applications,Posted 15 Sep 2023,Closing on 15 Oct 2023,"Roles & Responsibilities
Purpose of Role: Business Partner to the Development team, providing analytical finance & deal support for new deal signings & IHG growth, with secondary focus on supporting Operations team for refurbishment-scenario analysis for operating assets
Key Accountabilities:
Assessment of Managed and Franchise projects across SEAK & JAPAC business units – through market research, facilities review, feasibility, and proforma projects
Development of strategic positioning of deals in collaboration with Key Interfaces (see below)
Efficient conduct of project review process with Key Interfaces
Assess impact and formulate recommendations on commercial terms, and impact on deal valuation via IHG’s investment model (under supervision)
Management & prioritisation of IA tasks to meet external & internal timelines
Collaboration with Key Interfaces to meet external & internal timelines
Conduct ad-hoc strategic projects in relation to feasibility & market research
Mentorship of Intern(s)
Education: Bachelor’s Degree in Hospitality, Business/Finance or Economics, Real Estate or equivalent
Experience: Minimum of 1 years of experience in Hotel, Valuation and/or Finance work experience or equivalent
Skills:
Experience in & knowledge of JAPAC and/or SEAK hotel markets
Experience in market research, hotel operations and feasibility required, with understanding of real estate investment & valuation highly desired
Strong analytical & problem-solving skills
Effective communication, organization & time management skills
Advanced Microsoft Excel skills & strong report-writing capability
Effective team-player & stakeholder-management skills

*To apply via IHG Careers, you can go to https://www.ihg.com and enter code 116634"
Investment Analyst Intern,SHIPSFOCUS VENTURES PTE. LTD.,MCF-2023-0547403,"ShipsFocus is world’s first and foremost maritime venture studio with a maritime-dedicated VC fund. We are at the forefront of maritime transformation using proprietary technologies, investing in, and developing startups and solutions that solve real problems for the trillion-dollar maritime supply chain. We hold a startup attitude, always finding solutions innovatively, optimizing limited resource and time, and mobilizing the power of team. Our unique combination of maritime & port domain expertise, technological and business savviness positions us to be the ideal manager for maritime funds. This is a unique opportunity to dive into the intersections of venture investment, startup ecosystem, and disruptive maritime technologies. This is a dynamic environment where you can demonstrate your leadership skills and qualities continuously in varied fronts: from each daily task to conducting a strategic or tactical project.",77 AYER RAJAH CRESCENT 139954,Internship/Attachment,Fresh/entry level,1 year exp,"Banking and Finance, Professional Services",1,['$1to$1'],Monthly,11 applications,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
Join us as interns. This is a unique opportunity to experience at the intersections of venture investment, startup ecosystem, and disruptive maritime technologies. You can expect direct involvement with and mentoring from our seniors. If you are looking to enter the financial or maritime industry or be an aspiring entrepreneur, get right into the action!

YOUR RESPONSIBILITIES
• Assist with Marketing of ShipsFocus as a venture studio & maritime fund investor
• In charge of Deal Sourcing for potential investors & investments
• To conduct Investment Analysis of potential investors & investees
• To conduct Due Diligence for potential investments
• To prepare financial modelling & industry trend analysis
• Assist with planning other strategic initiatives

REQUIREMENTS
• Highly self-motivated individuals with leadership, ambitions and a go-getter attitude
• Exceptional academic credentials, co-curricular activities or professional (internship) experience with strong finance/analytics background
• Prior experience as Investment Analyst or similar portfolio in VC advantageous
• Detail-oriented, excellent qualitative & quantitative skills, analytical and independent thinking with superb presentation skills
• Keen interest to work in the technology and maritime sectors with strong communication & networking skills
• Proficient in financial modelling preferred
• Minimum 5 months’ full-time internship commitment

BENEFITS
• ShipsFocus interns will learn to take be entrusted with real job responsibilities
• You will be given full ownership of your projects
• You will be given opportunities to participate and lead in real work projects
• You will be able to apply your technical and soft skills in a dynamic team environment
• You can gain knowledge and learn from venture builders, capitalists and maritime domain experts
• You can gain in-depth knowledge and experience in a vibrant venture studio and the maritime tech startup ecosystem that we specialize in"
