title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Project Coordinator,AP PROJECTS & INFRASTRUCTURE PTE. LTD.,MCF-2023-0728844,"It was established to provide a one stop solution for a wider variety of services and products. In the past six years it has completed a portfolio of reputable projects that decorates the cityscape. Be it public institutions, infrastructures, residential or commercial projects, there were variety of products and services involving the company. It is truly a testimony of the trust and confidence that the building professionals of these projects have bestow on the company in recognition of it's ability to deliver on time and in accordance to the specifications.",,"Permanent, Full Time",Professional,3 years exp,Building and Construction,1,"['$2,800to$4,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Project Coordinator (Construction)
Maintaining, preparing (with the guidance of the PM) and monitoring project plans, schedules, work hours, budgets and expenditure
Site Coordination between Main Contractor, Stakeholders, Workers and all parties involved
Organizing, attending and participating in stakeholder meetings with documentation and follow up of important actions and decisions from meetings
Facilitate meetings and distribute minutes to all project team members.
Preparing necessary presentation materials for meetings
Ensuring project deadlines are met
Determining Project Changes
Familiarize and ensure that the projects adhere to the required specifications and framework, and that all documentation and submissions are prepared and maintained appropriately and accordingly for each submission
Preparation of risk assessment, method statements & material submissions pertaining to architectural materials
Access project risks and issues and provide solutions where applicable
Create a weekly project management calendar to fulfil the work target / goals and objective
To work and prepare the necessary documents for the monthly progress claims with the administrator and contracts department
Ensure quality controls of project output
Any other adhoc jobs assigned

Requirements:
Excellent skills with Microsoft Word, Office, Excel, Powerpoint, Outlook, etc
Ability to pay attention to detail
Good communication skills
Ability to overcome challenges
Ability to manage time effectively"
8890- Project Coordinator (Interior design| Full renovation| Up to $3.5k),THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0578650,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805","Permanent, Full Time",Junior Executive,2 years exp,Architecture / Interior Design,1,"['$2,500to$3,500']",Monthly,3 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Position title : Project Coordinator
Location: Woodland Industrial Park E1
Working days : 8.30am to 5.30 Monday to Friday
Salary : SGD $ 2,500 – SGD $ 3,500 ; Bonus (at least 1 month)

Job Duties/Descriptions:
-Coordinate project management activities, including but not limited to meeting minutes, resource planning, equipment and information management.
-Work closely with project team to support all project requirements
-Assist with schedule management and coordination with external stakeholders as required
-Help prepare budgets reports and project administrations
-Work with the Project Manager/Director to ensure all project requirements are met
-Use tools to monitor working hours, plans and expenditures
-Assist in all appropriate paperwork (e.g. contracts and terms of agreement) for the project
-Create and maintain comprehensive project documentation, plans and reports
-Ensure project and company standards and requirements are met by working closely with the Project team


Interested Personal kindly contact WhatsApp :+65 8833 7969(Lydia)
OR
Email to : supreme.lydiachieng@gmail.com
Lydia Chieng Zhi Yee Reg No: R1988890
The Supreme HR Advisory Pte Ltd EA No: 14C7279"
PROJECT COORDINATOR,ATTIKA INTERIOR + MEP PTE. LTD.,MCF-2023-0687967,"Some 10 years ago, when the highly efficient and technically experienced team at Attika Interior + MEP was formed, an exciting journey of building a great company started. Attika Interior + MEP Pte Ltd is a full-service interior decoration and MEP engineering company with builders work experience. Expertise Our expertise and knowledge includes handling live environment projects through different phases, all aspects of fit-out and electrical works. We ensure safety on construction site and in the public areas. Our clients’ projects are in safe hands with us. Accomplishment Attika Interior + MEP Pte Ltd has completed a wide range of commercial projects for the retail and hospitality industries, schools, conversation project and office fit outs. Examples include Hotel Clover, Fort Canning Hotel and the Singapore Chinese Chamber of Commerce & Industry.","GEMINI @ SIMS, 2 SIMS CLOSE 387298","Permanent, Full Time",Executive,3 years exp,"Architecture / Interior Design, Building and Construction",1,"['$2,500to$4,500']",Monthly,6 applications,Posted 08 Sep 2023,Closing on 08 Oct 2023,"Roles & Responsibilities
Experienced in Interior Fit-Out / A&A works.
Responsible for all site coordination & supervision work, to monitor and report project progress daily.
Good command of English and able to correspond fluently thru email for liaising with clients, contractors & vendors.
Possess Construction Safety Course for Supervisor Certificate
Cost conscious in managing all site activities to prevent wastages.
Good knowledge of carpentry detailing.
Min 2-3 years related working experience
Able to commence work immediately is preferred
5.5 days works"
Project Coordinator / Admin,KENSO ART INTERIORS PTE. LTD.,MCF-2023-0728604,"Founded in 2008, Kenso Art Interiors Pte Ltd is an interior design firm with our own factories and product warehouses and own workers (carpenters, tilers, plumbers, painters, partition, demolition, electrical, etc.), supporting timely completion of our renovation projects. We are highly competitive in kitchens, toilets and vinyl flooring renovations. We are known for our art design kitchen glass and we produce kitchen cabinets with features that other IDs and contractor simply cannot offer.","GEYLANG EAST INDUSTRIAL ESTATE, 1014 GEYLANG EAST AVENUE 3 389729","Permanent, Full Time",Non-executive,1 year exp,"Admin / Secretarial, Building and Construction",1,"['$2,000to$3,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Key duties & responsibilities

The Project Admin primarily offers support to ensure workplace efficiency. Assist the respective managers through a variety of tasks related to organization, communication, and daily routines. Familiar with a variety of the industry’s concepts, practices, and procedures.

Ability to effectively communicate via phone, email, and collaboration platforms, ensuring that all duties are completed accurately and delivered with high quality and in a timely manner.
Responsibilities
Provides support to the General Manager in daily administrative tasks.
Providing administrative support for the General Manager
Respond and resolves administrative requests and inquiries.
Working closely with Management Team as well as other support functions to provide proactive and effective general administrative assistance across a diverse range of tasks.
Do quotations
Providing other organizational support such as ordering supplies and equipment.
Involved in Ad-Hoc Projects.

Requirements:
Minimum GCE ‘N’ or ‘O’ levels / Nitec. At least 1 year of experience in administrative role.
Proficient computer skills, including Microsoft Office (Word, PowerPoint, Outlook, and Excel).
Ability to multitask and work with tight deadlines.
Good communication skills with people of all levels.
Ability to work effectively both independently and as part of a team.
5.5 working day"
CUSTOMER SERVICE COORDINATOR,BOSTON PROJECTS PTE. LTD.,MCF-2023-0729062,No information added.,"ENTERPRISE ONE, 1 KAKI BUKIT ROAD 1 415934",Full Time,Non-executive,3 years exp,"Admin / Secretarial, Customer Service, General Work",1,"['$3,500to$4,800']",Monthly,1 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
The Construction Customer Service Coordinator is responsible for overseeing customer service operations specific to construction projects. This role involves acting as a liaison between clients, project managers, and field teams to address inquiries, resolve issues, and maintain high client satisfaction throughout the construction process.
1. Client Communication: Serve as the main point of contact for client inquiries, requests, and concerns related to construction projects.

2. Project Coordination: Work closely with project managers and field teams to ensure that project timelines, deliverables, and client expectations are met.

3. Issue Resolution: Address and resolve client complaints, construction-related issues, and change requests promptly, escalating complex problems to the appropriate teams when necessary.

4. Progress Updates: Provide clients with regular updates on project progress, milestones achieved, and any potential delays.

5. Client Feedback: Collect and relay client feedback, suggestions, and concerns to project managers and construction teams for continuous improvement."
Project Engineer (BMS / Mechanical / Mechatronic / Electrical Engineering / Training Provided),EA RECRUITMENT PTE. LTD.,MCF-2023-0728951,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Fresh/entry level,,"Building and Construction, Engineering, Information Technology, Others",1,"['$3,000to$4,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Well Established Company
Basic $3000 - $4000 + Allowances + Variable Bonus
Excellent Welfare and Benefits + Career progression
Working location: Jurong East
Working Days: Monday to Friday
Working hours: 9am to 6pm
Training provided for those without/lesser experience
Job Responsibilities:
Involve in conceptual and detailed design of mechanical/electrical/BMS engineering works
Assist Manager in Project planning, budget cost control and execution of Project
Coordinate with Main Con and other contractors for BMS installation work
Supervise a group of subcontractors and ensure that works are executed within and acceptable standard of workmanship
Prepare site progress report and necessary project documentation that may include method statement
Ensure timely hand – over (delivery) of project while maintaining high quality standard of optimum cost (Cost effectiveness)
Ensure that the relevant installation drawings are accessible at the point of use
Review the nature of non-conformities detected in product/work and determine the disposition of the non-conformities
Resolve technical issues relating to installation, commissioning, and testing
Responsibility for the successful completion of the projects and meet customers satisfaction
Others ad hoc duties as assigned
Job Requirements:
Minimum Diploma or Degree in Mechanical / Mechatronic / Electrical Engineering or equivalent
Knowledge on BMS will be a plus point
Training provided for those without/lesser experience
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.

LIONG ZHAO GUAN (R22107632)
EA Recruitment Pte Ltd
EA License No: 21C0492"
Project Coordinator #65215,ANRADUS PTE. LTD.,MCF-2023-0724729,No information added.,,"Permanent, Full Time",Junior Executive,2 years exp,"Architecture / Interior Design, Others",1,"['$2,500to$3,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Job Description
Industry/ Organization Type: Manufacturing/Interior Design
Position Title: Project Coordinator
Working Location: Changi South
Working Hours: Monday to Saturday, 8 am – 5 pm
Salary Package: Up to $3,500 + Performance Bonus
Duration: Permanent
Key Responsibilities
Responsible for the implementation of renovation/construction works.
Presales support.
Prepare layout / Shop / Schematic Drawings (assisted by in-house technical drafter).
Implement and maintain high quality/safety standards at site.
Prepare, compile, and maintain proper documentation for all projects.
Attend site meetings & liaise with contractors/consultants.
Coordinate, manage resources, personnel & execute project works within the designated time frame.
APPLY NOW!!!
Minimum Nitec with at least 2 years of related working experience in Interior Design/Building environment.
Must be able to work on Saturdays.
Kindly apply through ANY of the following methods:
Submit your application by clicking the APPLY button;
Email your resume to Job(at)anradus.com.sg. Kindly indicate #65215 on the email subject.
Anradus Application Policy: We value each application and ensure every resume is reviewed. Our process is efficient, typically concluding within 3 working days. If you do not receive communication from us within this timeframe, it's likely that your application has not been shortlisted by our client. In such cases, we recommend continuing your job search to maximize your opportunities.
Anradus Pte Ltd | EA License No. 20C0161 | Norman Wee | EA Reg No.: R23115114"
M&E Project Coordinator (Plumbing) #65718,ANRADUS PTE. LTD.,MCF-2023-0724929,No information added.,,"Permanent, Full Time",Senior Executive,3 years exp,"Engineering, Others",1,"['$3,200to$4,800']",Monthly,0 application,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Job Description
Industry/ Organization Type: Machinery manufacturer
Position Title: M&E Project Coordinator (Plumbing)
Working Location: West – Gul Circle
Working Hours: 5.5 days (Mon to Fri: 8.30 am-6 pm, Sat: 8.30 am-1 pm)
Salary Package: Up to SGD 4800 + PB + Transport Allowance + Phone Allowance
Duration: Permanent
Key Responsibilities
Lead a team of site engineers in the planning and execution of day-to-day operations
Plan work schedules for all projects and ensure that resources are managed properly
Monitor project progress and set deadlines
Solve issues that arise together with the site engineer/team
Feedback discrepancies or changes of design due to site conditions to the Design Engineer/Drafter
Attend site meetings
Check all RA / SWP / MOS prepared by the Site Engineer before submission
To manage, monitor, and regulate the schedule and quality of performance
APPLY NOW!!!
Min. 3 years of relevant work experience handling M&E projects, especially plumbing works
Excellent capabilities in project management and cost control
Good team working skills and communication skills
Familiar with the Irrigation system is a plus
Kindly apply through ANY of the following methods:
Submit your application by clicking the APPLY button;
Email your resume to Job(at)anradus.com.sg. Please indicate #65718 on the email subject.
Anradus Application Policy: We value each application and ensure every resume is reviewed. Our process is efficient, typically concluding within 3 working days. If you do not receive communication from us within this timeframe, it's likely that your application has not been shortlisted by our client. In such cases, we recommend continuing your job search to maximize your opportunities.
Anradus Pte Ltd | EA License No. 20C0161 | Celine Tan | EA Reg No.: R1873694"
Project Coordinator (Security Solution / CCTV / Alarm Systems),CAPITAL HUMAN RESOURCE MANAGEMENT PTE. LTD.,MCF-2023-0727792,"""Welcome to Capital HRM” We are a One-stop Comprehensive Human Resource and Recruitment Solutions Provider for Local conglomerates and multinational corporations within Asia Pacific region. We believe Honesty, Integrity, and Consistency is key to success and strives to achieve value for all with maximum effort. Our team of dedicated and experienced consultants adheres to a strict policy of ethical and professional standard towards our clients and candidates alike to meet the aims of our business partners. People, Power, Future",,Permanent,Non-executive,2 years exp,Security and Investigation,1,"['$2,000to$3,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities

Our Client, in the Security Systems Industry located at the Central has opening for Project Coordinator.

5 Days Work Office Hour
Career Advancement
Variable Bonus

Responsibilities
Total client satisfaction.
Project & service coordination of all Customer Service issues within branch office and among colleagues.
Monitor the quality of company services in your branch office
Documentation for clients, including: Handover packaging, service cards, handover confirmations, maintenance documents, confirmation slips, training template, etc.
Coordinate projects according to schedule, economically and to clients satisfaction
Weekly reports as required

Requirements
Strong service sense and skills, good time management, high learning skill.
Good communication and coordination skills.
A meticulous person.

Qualified or interested candidates, kindly apply to us in
the FOLLOWING FORMAT to facilitate the short-listing process;

Attachment of CV’s in MSWORD FORMAT
Resumes please INCLUDE:
Personal Particulars
Education background
Work experiences in point forms
All Reasons for leaving
Current and Expected salary
Date of availability / Notice Period

**We regret that only shortlisted candidates would be notified.
Your Profile will be kept in our database for more career opportunities.
We wish you all the best in your job search.

Chia Kim Wai Terry
Reg No: R23111838
EA No: 19C9570"
Project Executive / Project Coordinator (Crane Service / Construction / No exp needed,ALIGN RECRUITMENT PTE. LTD.,MCF-2023-0726146,No information added.,"OXLEY BIZHUB, 67 UBI ROAD 1 408730","Permanent, Full Time",Junior Executive,1 year exp,"Admin / Secretarial, Building and Construction, Engineering",1,"['$2,700to$3,700']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Our client is one of the leading companies in delivering overhead crane services in Singapore. Currently, they are looking for a project coordinator to join their team!
Job Details:
Salary: $2700 - $3700 (Depends on experiences)
Working Hours: Mon to Fri, 8.30am – 5.30pm
Working Location: Gul Circle (West Area)
Company transport provided from Choa Chu Kang (CCK) and Joo Koon MRT
Job Responsibilities:
Responsible for the administrative duties including preparation of the necessary documents for the projects
Responsible in coordinate and produce the purchase orders
Responsible in collaborate with the team including prepare project billings, and all of the necessary management for the documents
Responsible in owner manuals for completed projects
Responsible for the smoothness of the projects
Ad-hoc duties as assigned
Job Requirements:
Min diploma in relevant field
No experiences needed as training will be provided
Interested applicants please send your resume to emily(at)alignrecruitment.com.sg or send to wa.me/6580446108.

Regret to inform you that only shortlisted candidates will be contacted by our consultants.
Align Recruitment Pte Ltd (20C0253)
Lim Xin Lin (Emily) (R23113540)"
