title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Senior System Engineer (Dell VxRail),ASIAPAC TECHNOLOGY PTE. LTD.,MCF-2023-0729295,"ASIAPAC TECHNOLOGY PTE LTD AsiaPac is a Singapore ISO9001:2008 and BizSafe Level 3 certified company established since 1990. We have a cohesive, dynamic and relatively young work force of over 80 employees ranging from fresh graduates to industry veterans. Our business is in helping organizations to protect their business, increase productivity and reduce wastage using I.T. Our clienteles which include the public sectors, educational institutions as well as those corporations in the FSI, F&B, manufacturing, healthcare, marine, oil & gas industries, are serviced and supported by our multiple teams of proactive sales and certified support personnel. We are direct partners of industry leaders such as Microsoft, IBM, Oracle, VMware, Cisco, Fujitsu, HP, Fortinet, Hitachi Data Systems, Symantec and Acronis. The core of our business is the fundamental philosophy of ‘All-Win’ where all our customers, suppliers, and employees must collectively win.","HENDERSON INDUSTRIAL PARK, 219 HENDERSON ROAD 159556",Permanent,Senior Executive,5 years exp,Information Technology,1,"['$4,800to$9,000']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Key Responsibilities
Technical Delivery
Installing, implementing, and configuring VMware virtualization environment components (vROPS, vSphere, vRA, vRealize suite, SRM, ESX, etc.)
Technical expert on Server, Virtualization, HCI, Storage, Backup technologies
Participate in design and feedback workshops to improve our services and quality of work
Hands-on experience with VMware solutions and tools including VxRail, vRealize and vCloud Foundation
Provide technical support and advice to users on systems-related issues or queries
Perform systems administration/maintenance and works toward continuous optimization of systems performance
May need to be Standby with on-call availability with varied shifts including nights, weekends and holidays during critical cutovers, L2 support onwards
Improve governance (policies, standards, guidelines) on successful delivery outcomes e.g. industry compliances, delivery frameworks/playbooks, port-mortem reviews, documentations
Cross group collaboration
Work closely with all technical group to on-board technical knowledge of solution offerings, inclusive of vendors and partners as needed
Support Marketing department for all technical demo and Proof Of Concept (POC) requirements
Qualifications/Experience/Knowledge
Degree or other equivalent
At least 5 years of experience
At least 3 years of project delivery experience
At least 2 years of support experience
Design, implement and support infrastructure projects
Technical knowledge of on-premises (data centres, virtualization, hyper-converge) - VMWare, VxRail, vCloud Foundation
Technical knowledge Linux and Windows Server Operating Systems
Knowledge of IT lifecycle management
Knowledge of ITSM - Incident Management, Problem Management, Change Management, Asset Management, Patch Management
Possess strong problem-solving skills and able to prioritize and manage multiple tasks
Strong communication skills
Strong interpersonal and stakeholder management skills with ability to coordinate between technical and business teams
Able to interact with various levels of internal and external stakeholders both in written and verbal forms
Demonstrated project management experience handling multiple projects simultaneously
Ability to efficiently understand client organizations and their business model and to tailor relevant processes to privacy requirements.
Added advantages:
Experience in handling large Enterprise RFQ/RFP and government tender
Dell VxRail Certification
VMware NSX-T Certification"
System Administrator - M365 - Azure,TRUST RECRUIT PTE. LTD.,MCF-2023-0729005,No information added.,,Full Time,Junior Executive,2 years exp,Information Technology,1,"['$3,500to$5,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description:
Manage Microsoft 365 Services (including Azure AD, Exchange, SharePoint, Microsoft Teams, Microsoft Defender ATP, Microsoft Intune, Windows Autopilot, etc.).
Establish and manage cloud infrastructure on the Microsoft Azure Platform.
Monitor and maintain all cybersecurity-related infrastructure.
Supervise on-premises infrastructure (Firewall, Network, WAP, etc.).
Administer endpoint devices using Microsoft Azure Services (such as Microsoft Intune and Windows Autopilot).
Provide technical support to both local and remote users.
Perform any other assigned duties.
Job Requirements:
Possess a Diploma/Degree in Information Technology/Computer Science or equivalent.
Hold a minimum of 1 year of experience as a System Administrator; fresh graduates are encouraged to apply.
Preferred experience with Microsoft 365 and Microsoft Azure.
Familiarity with Microsoft Windows operating systems (e.g., Windows 2019, Windows 10, etc.).
Knowledge of network management (Router, Switch, WAP, etc.) is a plus.
Experience in security management (Firewall, Endpoint, Email, etc.) is advantageous.
Familiarity with ISO 27001, NIST, COBIT, ITIL is beneficial.
Able to work effectively in both team and independent settings with minimal supervision.
Possess strong analytical thinking and problem-solving skills.
Self-motivated and capable of prioritizing tasks, meeting deadlines, and adapting to changing priorities.
HOW TO APPLY:
Interested applicants, please click on “Apply Now” and provide the below details in your resume.
We regret only shortlisted candidates will be notified.
Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).
Please read our privacy statement on our corporate website www.trustrecruit.com.sg.
Trust Recruit Pte Ltd
EA License No: 19C9950
EA Personnel: Jordan Fung Si Jong
EA Personnel Reg No: R23112945"
"Assistant System Administrator / Joo Koon / Up to $3,500",WORKSTONE PTE. LTD.,MCF-2023-0705754,We arrange your future! Our Consultants have more than 5 years of experience and our aim is to provide the best service for all our clients.,,Permanent,Non-executive,2 years exp,"Engineering, Information Technology, Repair and Maintenance, Telecommunications",1,"['$3,000to$3,800']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsibilities:
✅Perform Maintenance , configuration of computer systems & networks servers.
✅Install and upgrade computer components and software
✅Troubleshoot hardware & software by diagnostics , documenting resolutions & assessing of issues
✅Document specification to IT staff for planning and implementing new or upgrades of infrastructure.
✅Perform backup & implement processes for data protection , disaster recovery & fail over procedures
✅Lead helpdesk support efforts & ensure desktop applications, workstations and related problems are resolved
✅Responsible for capacity, storage planning, and database performance

Requirements:
Diploma/Degree in computer science engineering or equivalent
Min 3 years of relevaent experience
Ability to troubleshoot & repair problems and implement security measures

Interested applicants, please send in your updated resume by clicking “Apply Now”
Lin Weikang
Registration Number: R21102570
Workstone Pte Ltd
EA License Number: 19C9998"
AG59- System Engineer (CCTV system),THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0728682,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805",Full Time,Senior Executive,3 years exp,"Information Technology, Telecommunications",1,"['$4,500to$6,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
System Engineer
Working Day: Mon to Fri
Working Hours: 9:30am - 6:30pm
Location: CBD
Salary: $4500 - $6000

Interested applicants can also send your resume to Whatapps:+65 8151 4682 (Angel) and allow our Consultant to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.
LIEW ONN KEE REG NO : R22108518
THE SUPREME HR ADVISORY EA NO:14C7279


Responsibilities:
Provide pre-sales engineering and support
Prepare technical sales support materials
Project Planning: Collaborate with clients, stakeholders, and internal teams to understand the project requirements, objectives, and scope. Develop detailed project plans, including system design, equipment selection, installation methodology, and timelines.
Installation Oversight: Supervise the installation and commissioning of CCTV systems. Ensure that installation practices adhere to industry standards, safety regulations, and best practices.
Testing and Troubleshooting: Conduct system testing to verify functionality and performance. Troubleshoot technical issues and work with the installation team to resolve any problems that arise during the implementation phase.
Client Communication: Act as the primary point of contact for clients during the project, providing regular updates on progress, addressing concerns, and managing expectations.
Design, deploy, and manage physical security systems, including access control and video surveillance solutions.
Collaborate with cross-functional teams to gather requirements and provide technical expertise in designing and implementing physical security solutions.
Configure and integrate security systems, such as Lenel OnGuard access control system and Milestone VMS, to meet project requirements.
Stay updated with industry trends, emerging technologies, and best practices in physical security systems, access control, and video surveillance.
Collaborate with vendors and suppliers to evaluate and select appropriate hardware and software solutions.
Prepare and maintain system documentation, including system configurations, diagrams, and procedures.
Conduct training sessions for end-users on the operation and maintenance of physical security systems.
Requirements
Bachelor's degree in Computer Science, Information Technology, or a related field.
Minimum of 3 years of experience in designing, implementing, and maintaining physical security systems.
Installation and configuration experience with CCTV cameras, NVRs/DVRs, switches, and related equipment.
Integration of CCTV systems with access control or alarm systems to provide comprehensive security solutions.
Proficiency in configuring video management software (VMS) and network settings for seamless camera monitoring, recording, and retrieval.
Understanding of TCP/IP, network structure, firewalls, LAN, and VLAN.
Familiarity with other physical security technologies, such as intrusion detection systems and intercom systems, is a plus.
Proficient in system administration, configuration, and troubleshooting.
Knowledge of industry standards and best practices related to physical security systems, access control, and video surveillance.
Experience such as Lenel OnGuard access control system, Milestone VMS, and other Video Management Systems (VMS) is a big plus"
System Safety Engineer | Security Engineer | CCTV | Access Control | Troubleshooting | VMS | Bugis - 4769,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0729192,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,"Permanent, Full Time",Junior Executive,2 years exp,"Engineering, Security and Investigation",1,"['$4,500to$6,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
System Engineer | Security Tech Engineer | Bugis

Working Day: Mon to Fri
Working Hours: 9:30am - 6:30pm
Location: North Bridge Rd - Bugis
Salary: $4500 - $6000

Responsibilities:
Provide pre-sales engineering and support
Prepare technical sales support materials
Project Planning: Collaborate with clients, stakeholders, and internal teams to understand the project requirements, objectives, and scope. Develop detailed project plans, including system design, equipment selection, installation methodology, and timelines.
Installation Oversight: Supervise the installation and commissioning of CCTV systems. Ensure that installation practices adhere to industry standards, safety regulations, and best practices.
Testing and Troubleshooting: Conduct system testing to verify functionality and performance. Troubleshoot technical issues and work with the installation team to resolve any problems that arise during the implementation phase.
Client Communication: Act as the primary point of contact for clients during the project, providing regular updates on progress, addressing concerns, and managing expectations.
Design, deploy, and manage physical security systems, including access control and video surveillance solutions.
Collaborate with cross-functional teams to gather requirements and provide technical expertise in designing and implementing physical security solutions.
Configure and integrate security systems, such as Lenel OnGuard access control system and Milestone VMS, to meet project requirements.
Stay updated with industry trends, emerging technologies, and best practices in physical security systems, access control, and video surveillance.
Collaborate with vendors and suppliers to evaluate and select appropriate hardware and software solutions.
Prepare and maintain system documentation, including system configurations, diagrams, and procedures.
Conduct training sessions for end-users on the operation and maintenance of physical security systems.
Requirements
Bachelor's degree in Computer Science, Information Technology, or a related field.
Minimum of 3 years of experience in designing, implementing, and maintaining physical security systems.
Installation and configuration experience with CCTV cameras, NVRs/DVRs, switches, and related equipment.
Integration of CCTV systems with access control or alarm systems to provide comprehensive security solutions.
Proficiency in configuring video management software (VMS) and network settings for seamless camera monitoring, recording, and retrieval.
Understanding of TCP/IP, network structure, firewalls, LAN, and VLAN.
Familiarity with other physical security technologies, such as intrusion detection systems and intercom systems, is a plus.
Proficient in system administration, configuration, and troubleshooting.
Knowledge of industry standards and best practices related to physical security systems, access control, and video surveillance.
Experience such as Lenel OnGuard access control system, Milestone VMS, and other Video Management Systems (VMS) is a big plus

For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group
The Supreme HR Advisory Pte Ltd | 14C7279
Ong Boon Kiet (Travys) | R22104769
Senior Recruitment Consultant"
COMPUTER SYSTEMS ADMINISTRATOR,POOJA CONSTRUCTION AND ENGINEERING PTE. LTD.,MCF-2023-0726011,The Company current operating status is live and has been operating for 4 years 301 days. The Company's principal activity is general contractors (building construction including major upgrading works) with electrical works as the secondary activity.,"ECO-TECH@SUNVIEW, 1 SUNVIEW ROAD 627615",Full Time,Senior Management,5 years exp,Building and Construction,1,"['$4,000to$5,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Act as the primary on site System Administrator for a single customer
Act as escalation point for technical issues
Travel to local sites as needed to provide support and work on small projects such as deploying switches
Investigate, analyze and troubleshoot customer environments
Acknowledge and work incoming tickets / escalations when not onsite at customer
Assist in resolving complex technical issues within our customers’ environments
Continually update and improve our documentation of a customer environment"
Systems Administrator (Windows and Azure),FLINTEX CONSULTING PTE. LTD.,MCF-2023-0727707,"Company Overview If you’re seeking for employment or employees, you’re at the right place.Welcome to Flintex Consulting, a leading Recruitment Agency in Singapore. We Match We Guide We Place We specialize in Technology, BFSI, Human Resource & Administration, Engineering & Manufacturing, Sales & Marketing,Finance & Accounting sectors.We cater to the needs of a) individual job candidates and b) companies seeking for the right employees to drive their business. We have been able to construe and bridge the needs and demands of our individual and corporate clients. Our wide industry expertise and select client base enable us to foster fruitful careers rather than short-term jobs and placements.Our advanced placement platform is designed to match employee skill sets with current vacancies with perfect accuracy. We utilize an efficient, systematic and ultra-precise recruitment method that surpasses industry standards. Flintex Consulting has been successful in collaborating multiple leading employers, vendors and clients. We also offer valuable insight to candidates and companies to maximize their recruitment efforts. Candidates are mentored towards finding the best-fit jobs to help build successful careers.We cover all levels of placement, from entry level professionals to mid-level and CEO level posts.We promise to provide the best suited jobs through our research-based methodologies merged with our top qualified personnel. Flintex Consulting promises to grow your career the right way. Whether you are a client or a candidate, we have a streamlined platform to match your needs efficiently. With professional, efficient, and timely services, leave it to us when it comes to your Job-Related needs.We take pride in collaborating with leading employers, vendors, and clients. This helps us provide you with extensive job postings across all Major Industries. Additionally, we offer valuable insights and other personalized services designed to maximize productivity and results when it comes to job search. EA License # 17C8724 UEN # 201716889C Why Join Us? Our Mission “To be acknowledged as a team of recruitment professionals with the expertise to consistently facilitate an optimum result for both our clients and candidates” Our Vision To provide an ‘invaluable’ service that greatly contributes to a company’s or individual’s business success. To always conduct ourselves in a manner that reflects our passion and commitment to delivering a positive outcome for all parties involved. To appreciate the responsibility that we assume in assisting people to make important recruitment decisions that can have a significant impact on their lives.Undertake our roles with a sense of dignity, optimism, pride and gratitude. Our Core Values Integrity, Quality, Professionalism, Teamwork, Commitment and Accountability Specialties: Recruitments, Staff Augmentation, Contract Staffing, Salary Advisory, Temporary Hiring, Executive Search, Project based Search, RPO, Payroll Services, Work Pass Application, Leadership Hiring, and Trainings","INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Permanent,Executive,5 years exp,Information Technology,1,"['$4,000to$4,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Role - Systems Administrator (Windows and Azure)

Role Objectives:
• Maintain essential IT operations, including server and client operating systems, security tools, applications, servers, email systems, laptops, desktops, software, and hardware
• Handle business-critical IT tasks and systems that provide commercial advantage in a global marketplace
• Enable faster and smarter business processes and implement analytics for meaningful insights
• Protect business interests by implementing and managing IT Security solutions.
• Nurture dependable IT infrastructure and networking that’s always up and running.
• Partner with internal and external partners to communicate project status, activities, and achievements.

Daily and Monthly Responsibilities:
• Perform server administration tasks (for on-premise and cloud infrastructure), including user/group administration, security permissions, group policies, print services, research event log warnings and errors, and resource monitoring, ensuring system architecture components work together seamlessly.
• Monitor servers and application health using pre-existing management tools and respond to hardware issues as they arise; help build, test, and maintain new servers as needed.
• Maintain internal infrastructure requirements including, laptop and desktop computers, servers, routers, switches, firewalls, printers, phones, security updates; support internet, intranet, LANs, WANs, and network segments.
• Interact with the help desk and other teams to assist in troubleshooting, identify root cause, and provide technical support when needed.
• Perform routine/scheduled audits of the systems, including all backups.

Skills and Qualifications:
• Bachelor’s degree or recognized Diploma in technology or computer science.
• Candidates with Microsoft Certifications preferred.
• Proven work experience in IT - primarily Microsoft platform (on-premise and cloud)
• In-depth knowledge of Windows Servers, Operating systems, current equipment and technologies, Office 365 Administration, system performance-monitoring tools, managing active directories, virtualization (Hyper-V), HTTP traffic, content delivery, and caching
• Experience in managing cloud infrastructure on Azure, migrating servers and active directory to Azure.
• Expertise in creating, packaging, and deploying virtual servers and client devices.
• Knowledge of managing SAN, DAS, and NAS storage solutions.
• Experience in optimizing networking and connectivity devices and solutions.

Work Experience:

5+ Years relevant experience"
"IT System Engineer (Server, Network) / System Administrator",STAR CAREER CONSULTING PTE. LTD.,MCF-2023-0728127,No information added.,,"Permanent, Full Time",Executive,4 years exp,Information Technology,1,"['$4,000to$6,000']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
IT System Engineer/ System Administrator

Responsibilities
• Support day-to-day infrastructure for in-house activities and management
• Administer IT Infrastructure and System Management.
• Strong in Vendor Mangement and Stakeholders
• Good in IT Infrastructure
• Participant in maintenance window when required after office hours and weekend support when required


Requirements

•Strong in IT Infrastructure, Network, System Server experience.
•Technically strong in hands on implementation, maintenance and troubleshooting.
• Minimum 2 years of experience in IT System Infrastructure
• Diploma in IT / relevant field or higher
• Good working knowledge experience in implementation / maintenance of IT infrastructure
• Good communication skills, be meticulous, organized in your work and be able to work well with tight deadlines


If you feel that you have the skill-sets that we are looking for, please apply in-confidence with an updated MS Word Resume to jeline@starcareerconsulting.com


Yong Zhehan @Yong Jeline (Reg. No. R1101621)
STAR CAREER CONSULTING PTE LTD (EA License: 20C0353)"
"IT System Engineer (Server, Network) / System Administrator",STAR CAREER CONSULTING PTE. LTD.,MCF-2023-0728122,No information added.,,"Permanent, Full Time",Executive,4 years exp,Information Technology,1,"['$4,000to$6,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
IT System Engineer/ System Administrator

Responsibilities
• Support day-to-day infrastructure for in-house activities and management
• Administer IT Infrastructure and System Management.
• Strong in Vendor Mangement and Stakeholders
• Good in IT Infrastructure
• Participant in maintenance window when required after office hours and weekend support when required


Requirements

•Strong in IT Infrastructure, Network, System Server experience.
•Technically strong in hands on implementation, maintenance and troubleshooting.
• Minimum 2 years of experience in IT System Infrastructure
• Diploma in IT / relevant field or higher
• Good working knowledge experience in implementation / maintenance of IT infrastructure
• Good communication skills, be meticulous, organized in your work and be able to work well with tight deadlines


If you feel that you have the skill-sets that we are looking for, please apply in-confidence with an updated MS Word Resume to kelvin@starcareerconsulting.com


Lee Soo Hong (Reg. No. R1872625)
STAR CAREER CONSULTING PTE LTD (EA License: 20C0353)"
"System Administrator (ERP, Up $6000)",ATOMRECRUIT PTE. LTD.,MCF-2023-0641575,No information added.,54 Serangoon North Ave 4 555852,"Permanent, Full Time",Senior Executive,3 years exp,Information Technology,1,"['$5,000to$6,000']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Location: Seranggon
Mon to Fri 8.30am to 5.30pm
Have AWS & Bonus

Overview
Responsible for supporting digital transformation efforts across all entities in the group businesses, focusing on ERP migration and web development.

Responsibilities
Support digital transformation efforts for all entities in the group businesses
Manage and execute ERP migration projects
Develop and maintain web applications
Collaborate, make recommendations and provide solutions to internal stakeholders
Ensure compliance with corporate, audit, and industry standards.
Manage vendor relationships and government grant programs to support digital transformation initiatives.
Ad-hoc requests to support the business growth and operational excellence.
Requirements
Strong digital transformation experience with an up-to-date understanding of industry trends.
Solid experience in web development, including .Net, Power App, Power Automate, VBA, Workflow with form control, SharePoint, Python, Java.
Good understanding of ERP systems, specifically Microsoft Dynamics and SAP.
Familiar with SalesForce and JIRA will be added advantages.
*Only shortlisted candidates will be notified*

Please submit your updated resume in MS format by using the APPLY NOW BUTTON.
Alternatively, you may also email your resume to us at emily.fong@atomrecruit.com

Emily Fong
Senior Talent Specialist
Atomrecruit Pte. Ltd. | MOM EA License No.: 15C7443
EA Personnel Reg No.: R1768368"
