title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Chef,KOMALA VILAS RESTAURANT PTE. LTD.,MCF-2023-0719781,,Full Time,Middle Management,5 years exp,F&B,"['$4,800to$9,900']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
· Experience in cooking South indian food like idly,dosi & Meals Etc.
· Ability to follow SOP’s and detailed recipes.
· Knowledge of varieties of Indian Spice.
· Follow the Instructions of Head Cook and able to work with team Member.
· Ensure the food quality and the presentation.
· Ensure the prompt and speedy delivery of orders.
· Receiving goods after checking the quality and quantity.
· Storage of raw materials and ingredients appropriately.
· Check the quality of raw and cooked food products to ensure the standards.
· Ensure personal hygiene and safety requirements.
· Ensure the cleanliness of the kitchen, cooking utensils, and equipment.
· Must be able to work on weekends and public holidays.
· Able to work well under pressure in a fast-paced environment."
chef,SOLID GOLD KTV PTE. LTD.,MCF-2023-0718200,269 QUEEN STREET 180269,Full Time,Professional,3 years exp,F&B,"['$3,500to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
He or she must know how to cook Sichuan or Hunan Cuisine. He or she must be very independent and hardworking. He or she must be well verse in the ingredient and know where to source the necessary ingredient. He or she must have the team work with their workmate. He must well well orgainise in food inventory"
chef,XIN WANG MANPOWER,MCF-2023-0720024,,Full Time,Professional,3 years exp,F&B,"['$3,200to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsible for smooth operations at the restaurant
Take ownership and run day to day operation of the restaurant independently.
Constantly find ways to improvise new and existing menu items
Follow SOPs to ensure food are served correctly.
Train, develop and motivate subordinates to meet and exceed established food preparation standards on a consistent basis
cooking dishes according to food health and safety standards
preparing ingredients for cooking
requirements
-able to work on weekends
-able to work independently"
CHEF,ORIENTAL EMPLOYMENT PTE. LTD.,MCF-2023-0719359,301 UBI AVENUE 1 400301,Full Time,Executive,4 years exp,F&B,"['$3,100to$5,200']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
In charge of the daily work and ordering for the assigned section.
Need to get up early to prepare soup etc.
Carry out given recipes and instructions with precision speedy.
Ensure strict health and hygiene practices.
Cleaning, organize and taking care of kitchen equipment as per instruction manuals.
Monitoring food portion and waste to maintain profit margin.
Following safety and precautions in all daily activities (carrying heavy load, sharp objects, hot objects etc.)
Preferably Junior Executive specialized in Food/Beverage/Restaurant Service or equivalent.
Must be able to work night shift and split shift
Must be able to work extra hours if needed"
chef,SOLID GOLD KTV PTE. LTD.,MCF-2023-0718204,269 QUEEN STREET 180269,Full Time,Professional,5 years exp,F&B,"['$4,500to$5,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
He or she must know how to cook Sichuan or Hunan Cuisine. He or she must be very independent and hardworking. He or she must be well verse in the ingredient and know where to source the necessary ingredient. He or she must have the team work with their workmate. He must well organise in food inventory"
Chef,KOMALA VILAS PTE LTD,MCF-2023-0719045,,Full Time,Middle Management,5 years exp,F&B,"['$4,800to$9,900']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
· Experience in cooking South indian food like idly,dosi & Meals Etc.
· Ability to follow SOP’s and detailed recipes.
· Knowledge of varieties of Indian Spice.
· Follow the Instructions of Head Cook and able to work with team Member.
· Ensure the food quality and the presentation.
· Ensure the prompt and speedy delivery of orders.
· Receiving goods after checking the quality and quantity.
· Storage of raw materials and ingredients appropriately.
· Check the quality of raw and cooked food products to ensure the standards.
· Ensure personal hygiene and safety requirements.
· Ensure the cleanliness of the kitchen, cooking utensils, and equipment.
· Must be able to work on weekends and public holidays.
· Able to work well under pressure in a fast-paced environment."
Sous Chef (Deputy Chef),PS MANPOWER PTE. LTD.,MCF-2023-0292269,,"Permanent, Full Time",Junior Executive,2 years exp,"Customer Service, F&B","['$2,800to$3,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description:
· Working closely with the manager in all aspects of kitchen management
· Supervising and leading the kitchen team
· Delegating roles and responsibilities to the cooks
· Maintain cleanliness and implement hygiene standards of food safety and regulations
· Monitor restaurant performance and make recommendations for menus and management procedures
· Ensure a high quality of foods and presentations are provided at all times
· Other duties assigned by higher management

Requirements:
· Must possess at least Professional Certificate/Nitec, Diploma/Advanced in Food & Beverage Services Management or equivalent.
· Min 5 Year(s) of working experience in the related field
· Strong in culinary background.
· Enjoys planning, organizing, and problem-solving
· Displays curiosity and takes time to learn and understand new culinary trends
· Demonstrate excellent leadership skills

Location: Town area"
Senior Sous Chef (Head Chef),PS MANPOWER PTE. LTD.,MCF-2023-0718333,,"Permanent, Full Time",Senior Management,10 years exp,"Customer Service, F&B","['$4,000to$5,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description:
· Ensure the quality of food provided is of the highest standards
· To monitor inventory, estimate food consumption, place orders with suppliers, and schedule delivery of fresh food and beverages.
· Supervise the daily operation of the kitchen i.e. portion/quality control of food.
· Create new menu items and prices based on analysis.
· Enhance the Quality Management System and Food Safety Management System.
· Monitor revenues, and expenses and optimize profitability
· Arrange for maintenance and repair of equipment and other services when required.
· Optimize manpower with proper planning allocations.
· Recruit, hire, and oversee training for staff.
· Resolve customer complaints about food quality or service in a professional manner.
· Maintain and implement hygiene standards

Responsibilities:
· Minimum 10 years experience in a dining environment.
· Excellent knowledge and a passion for culinary and industry trends.
· Exceptional leadership to lead, manage, train, and motivate staff.
· Able to multi-task, flexible, adaptable, problem solver, and able to work in a fast environment.
· Willing to work 6 days of shift work including weekends and Public holidays.

Location: Town area"
Assistant chef,KOMALA VILAS PTE LTD,MCF-2023-0719235,,Full Time,Middle Management,5 years exp,F&B,"['$4,500to$9,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
· Experience in cooking South indian food like idly,dosi & Meals Etc.
· Ability to follow SOP’s and detailed recipes.
· Knowledge of varieties of Indian Spice.
· Follow the Instructions of Head Cook and able to work with team Member.
· Ensure the food quality and the presentation.
· Ensure the prompt and speedy delivery of orders.
· Receiving goods after checking the quality and quantity.
· Storage of raw materials and ingredients appropriately.
· Check the quality of raw and cooked food products to ensure the standards.
· Ensure personal hygiene and safety requirements.
· Ensure the cleanliness of the kitchen, cooking utensils, and equipment.
· Must be able to work on weekends and public holidays.
· Able to work well under pressure in a fast-paced environment."
Pastry Chef (Baker),THE FROSTED CHICK,MCF-2023-0624632,"KIM KEAT VIEW, 194 KIM KEAT AVENUE 310194","Permanent, Full Time, Internship/Attachment",Executive,1 year exp,F&B,"['$2,000to$3,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Are you looking for a dynamic environment that empowers you to make a positive impact and bring smiles to people's faces? The Frosted Chick is a wholly local boutique bakery specialising in unique bakes for all occasions and we are looking to expand our team!
If you have a bubbly personality and enjoy making people's day, we want to invite you to join our energetic organisation.
Job scope includes
1) Baking of desserts in all forms
2) Face-to-face interaction
3) Troubleshooting and product enhancement
4) Stock and Inventory management
5) Team player and vibrant personality"
