title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Regional Director of Resource Mobilisation, Asia",SAVE THE CHILDREN ASIA REGIONAL OFFICE LIMITED,MCF-2023-0718495,"TANGLIN INTERNATIONAL CENTRE, 352 TANGLIN ROAD 247671",Full Time,Professional,5 years exp,Others,"['$7,000to$11,000']",Monthly,5 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
The Opportunity
Reporting to the Asia Regional Director, this role is a key member of the leadership team that will lead on two key areas of work for the Asia Regional Office (ARO):
Supporting strategic portfolio
Resource mobilisation through non-traditional sector
Resource Mobilisation and Strategic Portfolio
This role works closely with the Member Growth team, Country Office Program Development & Quality and New Business Development leads, to understand funding needs at a Country level, and works on how Save the Children grows and optimises funding to address these needs.
It will focus on developing a regional funding strategy that looks to align the funding portfolio with Country Strategy Plans and to drive improvements in new business development across all funding streams. This includes embedding the principles of partnership management, award portfolio guidance, strategic use of match and pooled funding in order to maximise the impact of unrestricted income, and working on key initiatives including win/loss analysis and closer alignment between country strategic plans and fundraising. The post holder is responsible for improving new business development in SCI Country Offices and coordinating with member teams to build capacity in this area. It will be the business owner of the Fundraising Protocol at regional level, and will improve the way we work within the protocol and how we apply organisation wide account management rules using the partnership management guidance.
It will play a leading role in ensuring cross-departmental coordination and collaboration with other teams at headquarter, regional and country offices as well as engaging with Save the Children members.
This role will also be responsible for developing a small fundraising team in the region based on the outcome of the market assessment work and regional funding strategy.
It will also ensure alignment with the Member Growth team, and in particular with the Global Fundraising Hub and the institutional partnerships team.
Key Responsibilities
Resource Mobilisation
Increase quality funding for our programmes in Asia, with a focus on our countries of collective focus and priority thematic areas
To develop a regional funding strategy that clearly aligns the demand (country strategic plans) with supply (different funding opportunities). This will include working close with Member Growth (private and public fundraising teams) as well as with Country offices and members.
Lead the creation of a new small regional fundraising unit based in Singapore focusing on capturing the best funding opportunities, aligned with global fundraising priorities as well as member regional fundraising priorities.
Identify further strategic initiatives to support Save the Children’s business strategy in driving and accelerating sustainable growth for Save the Children within the region, working in alignment with the global Member Growth strategy.
Helping to seed and build new regional and non-member funding partnerships in support of the agreed funding priorities on behalf of the Region (e.g. Asia Development Bank)
Strategic Portfolio Alignment
Work to strengthen the link between the country strategic planning process and Member fundraising strategies. This involves reviewing the current processes and tools for strategic planning, pipeline review, gap analysis and subsequent member engagement.
Develop and maintain a regional list of priority funding gaps agreed with Country Directors and regional leadership to be discussed and managed with funding members (includes managing revamped must-win process)
Work with other functional leads, especially the Head of Institutional Funding Partnership Management and International Program team in the Centre to clarify roles and responsibilities for new business development within Country Offices, giving clear direction to field teams to enable a high standard of new business development
Assess models for staffing new business development in Country Offices and Regions, reviewing success stories, return on investment and challenges to develop an agile and sustainable approach to resourcing
Coordination of new business development related capacity building conducted by member teams to ensure that skills training is conducted in an efficient and impactful way, responding to the capacity building needs at a Country level
Provide direct support to Countries on specific funding opportunities, including mechanisms for accepting funding, advice on account management, running the ‘must win’ awards process
The role will work across the program partnerships and funding team to drive improvement in strategic portfolio planning and management across the movement; develop the right member-country office planning and operational processes and tools to achieve high quality award portfolios (in terms of alignment to strategy and profile of awards).
Strategy Management
Support the Regional Director to achieve development and implementation of regional strategic initiatives (e.g. Asia Springboard).

Requirements:
· A significant level of relevant prior experience working with funding portfolios.
· Demonstrated experience of strategic thinking and ability to see things from a global perspective.
· Expertise in project and change management related to organisational development projects and international, cross-functional teams with a proven history of delivering results.
· Demonstrable experience in complex stakeholder management and leading others across a matrixed environment, ability to influence and gain agreement for ideas and proposals from a variety of stakeholders.
· Highly developed interpersonal and communication skills including influencing, negotiation and coaching.
· Experience of solving complex issues through analysis, definition of a clear way forward and ensuring buy in.
· Previous experience leading and managing people, providing oversight and empowering staff members.
· Commitment to Save the Children values.
· Ability and willingness to change work practices and hours in the event of major emergencies including travelling at short notice and for extended periods of time.
· Attention to detail and the ability to follow tasks and ideas through to completion.
· A high degree of flexibility and adaptability in order to respond to changing needs.
Desirable
· INGO experience and an excellent grasp of operational issues.
· A detailed understanding on funding mechanisms for development work such as Save the Children’s."
"Assistant Director, Centre for Workplace Development (AD / CWD)",SINGAPORE NATIONAL EMPLOYERS FEDERATION,MCF-2023-0625546,"PAYA LEBAR SQUARE, 60 PAYA LEBAR ROAD 409051","Permanent, Full Time",Professional,5 years exp,Admin / Secretarial,"['$4,800to$6,400']",Monthly,21 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Overview:
The AD/CWD reports to the Senior Director of the Centre for Workplace Development (SD/CWD) and is part of the CWD leadership team which ensures that Workplace Grants and Programmes undertaken by CWD are effectively delivered.

Responsibilities and duties:
AD/CWD is a people manager role thus will be expected to exercise leadership and performance management.
Assists the SD/CWD to ensure that CWD delivers its commitments/Key Performance Indicators (KPIs) within budget and in a timely manner.
Provides guidance and coaches junior team members in their work deliverables.
Engages internal and external stakeholders to identify emerging workplace issues/challenges; and proposes solutions and interventions.
Able to comprehensively complete a government tender document including budgeting and risk assessment (if needed).
Qualifications:
A recognized Degree holder.
Familiarity with workplace grants, programmes and tripartite initiatives be an advantage.
At least 5 years of relevant working experience in a people manager role.
Able to work independently and collaboratively.
Processes strong communication skills, interpersonal skills, and negotiation skills."
MARKETING DIRECTOR,ANTZ CAPITAL PTE. LTD.,MCF-2023-0718241,"MIDVIEW CITY, 20 SIN MING LANE 573968",Full Time,Middle Management,10 years exp,"Advertising / Media, Design, Events / Promotions, Marketing / Public Relations, Others","['$6,500to$10,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
COMPANY
PIF Capital is a Small Medium Enterprise (SME) focused consultancy firm, which has a singular aim to help SMEs all over the world, to fast track their companies’ growth leveraging on the know-how and execution of Capital mechanism. We wanted to develop not only convectional but Capital Entrepreneurs. We are creating a vibrant Asia Capital Community with our membership program and via our preview events, whereby we openly and generously share to proliferate the ‘’power’’ of capital. Through our deep understanding of the pain points of SMEs, we tailor-make each and every of our program to hand hold aspiring SMEs to prepare them for their exciting corporatization journey toward public listing (IPO) and beyond. We are expanding rapidly and we look forward to having aspiring marketing personnel to be part of our growing strong team.

Our vision is to be Asia’s Silicon Valley.
Our mission is to develop A+ Companies & Capital Entrepreneurs.

CRITERIONS
Demonstrated experience in managing Brand Strategy, Digital Marketing, Corporate Communications, User Acquisition, Engagement and Retention.
Strong business acumen and quick ability to interpret and comprehend complex solutions and markets
Strong communication skills both written and verbal. Able to understand and synthesize complicated scenarios and output easy to understand, effective strategies. Great storytelling is a must - both for our brand as well as our internal communications.
Persuasive, collaborative - able to work across multiple stakeholders and influence drive brand-right implementation.
Great at building and maintaining relationships across cultural and geographic boundaries, fostering an environment of mutual respect, understanding, and trust.
Strategic and creative thinking - ability to create innovative marketing plans and see them through to execution.
Entrepreneurial spirit - willingness to challenge the status quo and move quickly to test and learn new strategies and tactics. This also relates to a level of resourcefulness and proven ability to do a lot with a little.
Proven leadership and expertise with effective team building skills and conflict resolution management.
Highly organized, hands on and able to multitask and manage multiple projects and competing priorities without sacrificing accuracy or efficiency.
Team leader & player with unquestioned integrity and high standards in the work you do.
Comfortable with ambiguity - we're a fast-growing business and there's always unchartered territories, which is part of the fun. You should be comfortable with it and understand that not everything is 100% defined all the time
Lead the PIF marketing team in the development of PIF’s marketing strategy, plans and roadmap, and own the execution of the plan.
Develop compelling value propositions that drive distinct competitive advantages for existing and new products/services, grow revenue as well as deepen relationships with existing customers.
Maintain a strong marketing organization and team culture that is consistent with PIF ’s values and best practices
Passionate in helping SMEs
Team player

COMPETENCIES
Bachelor’s degree in any discipline with minimum 12+ years proven experience in Marketing with a minimum of 5 years at a senior level managing a regional marketing team. Technology, events and regional experience is a plus.
An understanding of content marketing and/or predictive marketing would be a plus
Able to communicate in Chinese language to coordinate and handle queries from Chinese speaking counterparts in regards with the development of market content matters
The ability to generate or write good content would be a crucial
Tech-savviness and a good understanding of web-tools and platforms for marketing would be desirable
A good team player with initiative, creativity and resourcefulness
Ability to work independently and a high performance-orientation
Able to work under pressure and meeting deadlines
Strong communicator/presenter/convincer (clear and precise manner)
Objective and task oriented

CHARACTER
● Can Do + Relentless + Never Give Up
● Self-Motivated + Energetic
● Resourceful + Creative
● Relish challenges + Open-minded
● People person + Relationship builder
● Fast + Empathy skill
● Discipline + Structured

CREDENTIALS
● Proven Grade A Employee
● Strong SMEs network (preferably)
● Tertiary certificate (preferred), welcome aspirers who have strong experience and track record with no tertiary certificate

CAREER
● Promotion pathway; Senior Management of a listed company
● Acquire Skills; Management, Leadership, Mentorship
● Acquire Know-how; Business Model (Scalable & Sustainable)
● As Capital Entrepreneur, Entrepreneurship environment & development

Interested candidates do send us your resume via WhatsApp or Telegram to 87141919 or email to hr@pifcapital.com

Able to start immediately will be an advantage

We apologise that we will only respond to shortlisted candidates.
Thank you for applying."
Associate Director,ARGYLL SCOTT SINGAPORE PTE. LTD.,MCF-2023-0585325,"CITY HOUSE, 36 ROBINSON ROAD 068877",Full Time,Manager,10 years exp,Human Resources,"['$8,000to$13,000']",Monthly,29 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Identify new business opportunities on a day to day basis through the company’s database, online portals and obtain leads
Perform business development duties by meeting up with prospective clients to understand their recruitment needs and to build a relationship.
Develop client portfolio
Handle the full spectrum of recruitment activities from initial phone screening to contract negotiations in your target industry segments.
Provide professional recruitment solution advice to your clients as well as to your candidates.
Deliver congruent client strategy across APAC and lead innovative approaches to win and retain strategic clients
Develop strategic global clients across the region in alignment with our organisational goals for global clients
Drive high levels of performance and net fee income (NFI) through achievement of rights-to-trade, innovative solutions for clients and effective resource allocation
Optimise midterm client opportunities whilst ensuring short term NFI and PBT goals are achieved through in-depth understanding of key APAC market drivers and consequently effective resource allocation (including, but not limited to recruitment consultants, client relationship managers and IT systems, business operations)
Ensure that sales can be delivered effectively, client relationships are maximised and talented candidates consider us as their preferred choice by working with operational heads across the organisation
Manage client relationship managers and targeted business units as required

To be a recruitment consultant you should have:
excellent communication and customer service skills
good sales and negotiation skills
a confident and positive attitude
the ability to work under pressure and meet targets
a professional manner
good organisational and administrative skills
the ability to work well in a team."
Managing Director,SILESIA FLAVOURS SOUTH EAST ASIA PTE LTD,MCF-2023-0719775,7 CHIN BEE DRIVE 619857,Permanent,Senior Management,8 years exp,"General Management, Manufacturing","['$18,000to$25,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
Key Responsibilities:
· Overall responsible for the business operations and results of the company in the region.
· Leading executives in all functions to develop and execute business strategies to achieve short and long-term goals.
· Maintaining positive and trust-based relationship with customers, business partners, and related stakeholders.
· Providing market insights, strategy advice to the board.
· Aligning with headquarter’s strategy direction on global business management with customization to local requirements.
· Managing business performance and transformation to meet the fast-changing business environments.
· Overseeing company’s financial performance, investments, and ventures.
· Ensuring company policies, internal control, and legal requirements are clearly communicated and complied throughout the organization.
· Motivating and supporting the development of human resources in all levels.
· Promoting an open and fair business environment, and supporting corporate philosophy and values for sustainable growth.
Requirements:
· Degree in business administration or equivalent.
· Minimum 8-10 years working experience in the Flavour industry.
· Very experienced with food industry, preferably with strong insights in flavors and food ingredients.
· Experience in managing executives of different functions or in a similar role.
· Experience in developing and implementing strategic and business plans.
· Excellent organizational, communication, and influencing skills.
· Excellent critical thinking, problem-solving and negotiation skills.
· Excellent leadership quality.
· Very familiar with the South East Asian Markets
· Able to leverage diversity and work well in multi-cultural environments.
· Strong personality with proven general management leadership skills, heading min. 50+ employees of cross-functional teams for min. 5+ years"
Business Development Director,CIRCLE INTERNET SINGAPORE PTE. LTD.,MCF-2023-0718786,,Permanent,Middle Management,12 years exp,"Banking and Finance, Information Technology","['$18,000to$24,000']",Monthly,6 applications,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
What you’ll be responsible for:
Circle is looking for an experienced business leader to join our Ecosystem Partnerships team. The ideal candidate will have a track record of identifying, negotiating, closing and delivering complex deals into Web3 companies and financial institutions.
We are looking for someone with experience or strong interest in Digital Assets to build and maintain meaningful relationships with stakeholders at the world’s largest crypto exchanges.
You will be directly responsible for:
Delivering on a set of ambitious company-level business objectives.
Establishing strategic partnerships with organizations across the Web3 space to drive the adoption and growth of USDC.
Executing and providing oversight on the execution of commercial deals with organizations across a variety of Web3 segments for Circle’s suite of products and services - including treasury, custody and developer-focused offerings.
Creating, operationalizing and owning a robust growth program to maximize ROI across Web3 ecosystem initiatives.
What you'll work on:
You will work with Circle leadership and key stakeholders to develop and execute a comprehensive go-to-market and partnerships strategy for key Web3 segments, which will include:
Originating and managing a large portfolio of opportunities, driving pipeline momentum, developing & executing comprehensive GTM plans for key initiatives and identifying opportunities to validate beta products.
Develop partnership strategies focused on driving adoption of Circle’s existing products and identify opportunities to validate beta products.
Work closely with Circle's product and business teams to tailor Circle's offerings to the needs of exchange partners.
Build and maintain executive relationships with key decision makers to help expand partnerships with exchanges and their ecosystems.
Provide market intelligence and feedback to Circle's leadership team to inform product and business strategy.
Work with product to validate market assumptions, build go-to market plans and ultimately strike deals with leading ecosystem businesses.
Cultivating a team culture that is extremely high integrity, collaborative, customer-focused, metrics-driven, fast-paced, and optimistic.
Identifying and coordinating the development of new programs, resources, and capabilities required to close new business opportunities and achieve company-level OKRs in the region.

What you’ll bring to Circle:
Experience
12+ years of experience in business development experience in Web3 or financial services industry. Strong understanding of the financial services landscape, including regulatory frameworks, industry trends, and market dynamics.
Fintech and cryptocurrency: Familiarity with the fintech and cryptocurrency industries, including key players, products, and trends.
Cross-cultural competence: Understanding of cultural differences and ability to work effectively across cultures and geographies.
Proven track record of building and maintaining relationships with key stakeholders, and negotiating successful partnerships.
Ability to work independently and manage multiple projects simultaneously.
Business level Mandarin and English a requirement due to working with partners in the region
An appetite for work travel (25% required).
Skills
Excellent communicator, strong written communication skills and can synthesize prospective deals effectively.
Self-driven, Comfortable with independent work and project management.
Experience with financial modeling and developing projections on potential partnership opportunities.
Strategic thinking: Ability to develop and execute a strategic business development plan.
Ability to create and deliver presentations tailored to the audience needs and varying levels.
Ability to work effectively with cross-functional teams, including product, marketing, compliance and legal teams to ensure successful execution of business development initiatives."
Human Resource Director,RANDSTAD PTE. LIMITED,MCF-2023-0718278,"ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",Full Time,Senior Management,10 years exp,Human Resources,"['$12,000to$14,000']",Monthly,7 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
About the job

This role will report directly to the CEO and will manage a team 12. You will be responsible to:
Collaborate with the department head to gain insight into the organization's objectives and strategic approach concerning workforce management, talent acquisition, and employee retention.
Coordinates, directs, and oversees the planning, development, implementation, and management of policies, processes, training programs, initiatives, and surveys aimed at bolstering the organization's compliance with human resources regulations and aligning with its strategic goals.
Manages and supervises the execution of human resource programs, including but not limited to compensation, benefits, leave policies, disciplinary procedures, performance and talent management, as well as training and development initiatives
Recognizes staffing and recruitment requirements, and formulates and implements best practices for the recruitment process and talent management.
Performs in-depth research and analysis of organizational trends, including the examination of reports and metrics derived from the organization's Human Resource Information System (HRIS) or Talent Management System.
Supervises and guarantees the organization's adherence to local employment laws, regulations, and recommended best practices; evaluates and adjusts policies and procedures as needed to sustain compliance.
Other ad-hoc duties.
Skills and experience required
Bachelor Degree in Human Resources/ Business administration or related field
Min. 10 years of experience in Human Resource Management.
Experience within construction and/or engineering industries will be preferred
Experienced in team management and people development"
Director of Operations,PACIFIC HEALTHCARE NURSING HOME PTE. LTD.,MCF-2023-0719835,,Permanent,Senior Management,5 years exp,"General Management, Healthcare / Pharmaceutical","['$8,000to$10,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description

Oversee & work with a team of managers & executives to ensure smooth running of daily operations of the Nursing Home & Active Ageing Centres (AACs).
Responsible for providing an integrated approach to all managerial and operational aspects of homes & AACs.
To maintain a high level of operational efficiency including quality care and service standard.
Assess and provide recommendations to improve and maintain the quality of service to residents and seniors.
Involve in staff development to ensure that the skills and knowledge of staff are updated.
Ensure compliance with relevant regulatory authorities, including but not limited to MOH, NEA, MOM, AIC.
Requirements
MUST with Nursing Background.
Degree in any field.
Possess exceptional leadership skills and managerial skills.
Bilingual with strong written and verbal communication skills.
Minimum 5 years of Senior Managerial experience.
Experience in elder care will be preferred."
"Director, Project Finance (Job ID: 10060515)","MUFG BANK, LTD. SINGAPORE BRANCH",MCF-2023-0718941,"MARINA ONE EAST TOWER, 7 STRAITS VIEW 018936","Permanent, Full Time",Manager,12 years exp,Banking and Finance,"['$15,309to$30,618']",Monthly,4 applications,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Primary Responsibilities
Job Summary: Business development, origination and execution of project finance lending, advisory and capital market solutions in the energy and infrastructure sectors in Asia.
Job Focus: Project financing in the natural resources (oil & gas and metals & mining) and frontier sectors (e.g. hydrogen, CCUS).
Other: The flexibility and willingness to cover other sectors relevant to our clients if necessary e.g. infrastructure or power.
Specifics:
Develop and execute sector and client strategies to identify and secure deal opportunities.
Engage with clients in collaboration with Relationship Managers, Sector Coverage and any other relevant stakeholders.
Identify and drive product cross sell
Take proactive leadership in deal execution, development/coaching of staff and driving the overall project finance franchise.
Responsible for the quality of deal deliverables
Work with MUFG’s various departments across the region and globally
Build strong credibility and working relationship with the Credit Department
Job Requirements
Minimum degree qualified
12 years of experience in banking, finance or industrial sectors including energy, natural resources and other similar sectors
Experience in advisory, credit, debt structuring, financial analysis, transaction management or financial modelling.
Strong business acumen and negotiation skills. Capability to originate high value mandates.
Ability and willingness to develop and coach team members
We regret to inform that only shortlisted applicants will be notified

Job ID: 10060515"
Director of International Sales Management (PV Product Business),LESSO NEW ENERGY DEVELOPMENT PRIVATE LIMITED,MCF-2023-0719454,1 RAFFLES QUAY 048583,Full Time,Senior Management,2 years exp,"General Management, Sales / Retail","['$10,000to$15,000']",Monthly,3 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Responsibilities:

International Market Strategy Development: Responsible for formulating the international sales strategy, including market positioning, target customer segments, sales channels, to achieve the company's international market expansion and sales goals.
Sales Team Management: Lead and oversee the international sales team, ensuring its efficient operation, including team recruitment, training, motivation, and performance evaluations.
International Customer Relations: Establish and maintain international customer relationships, engage in strategic negotiations with key clients to enhance customer satisfaction, and seek new business collaboration opportunities.
Achieving Sales Targets: Develop sales plans and objectives, supervise the execution of sales activities, ensure the realization of sales targets, and promptly adjust strategies to adapt to market changes.
Market Analysis and Competitive Intelligence: Regularly analyze the dynamics of the international market, understand competitors' strategies, and monitor market trends, providing valuable information for the company's international market strategy.
Sales Policies and Contract Negotiation: Develop international sales policies, assist the team in contract negotiations, and ensure that contract signings align with the company's interests.
Sales Data Analysis: Collect and analyze sales data, provide reports on market share, sales trends, and product demand, offering data support for decision-making.
International Market Promotion: Collaborate with the marketing department to create international market promotion plans, enhancing brand awareness in international markets.
Compliance with Regulations: Ensure the compliance of international sales activities, adhering to international trade regulations and standards.

Qualifications:

1) Bachelor's degree or higher in Marketing, New Energy, or a related field.
2) Minimum of two years of experience in solar industry sales, with familiarity in photovoltaic products and solutions preferred.
3) Excellent leadership and team management skills.
4) Outstanding communication and negotiation abilities, with experience in international business contract negotiations.
5) Ability to analyze international market trends and formulate strategies.
6) In-depth understanding of the international photovoltaic market and industry trends.
7) Willingness to adapt to frequent international travel, with cross-cultural work experience being a plus
8) Location: Singapore/Foshan/Hong Kong"
