title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Event Manager,ANTZ CAPITAL PTE. LTD.,MCF-2023-0714618,"MIDVIEW CITY, 20 SIN MING LANE 573968",Permanent,Manager,3 years exp,"Advertising / Media, Events / Promotions, Marketing / Public Relations","['$4,000to$5,500']",Monthly,1 application,Posted 19 Sep 2023,Closing on 10 Oct 2023,"Roles & Responsibilities
COMPANY
We are a boutique consultancy firm dedicated to helping small and medium-sized businesses worldwide fast-track their business growth using capital mechanisms. With over a decade of experience, we have engaged with numerous SMEs, enabling us to identify common challenges and pain points. This wealth of knowledge allows us to tailor our programs specifically to guide and mentor aspiring SMEs, preparing them for their transformative journey towards Capital Entrepreneurship. We are expanding rapidly regionally and we look forward to having additional aspiring marketing personnel to be part of our growing strong team.
Job Description
We are looking for an Events Manager who thrives on interpersonal interactions, an extrovert that engage regularly with clients and key stakeholders. The candidate must be passionate about inbound communications and most importantly, excited in driving and managing a community of SMEs and to manage our events successfully. The candidate must plan and produce our signature events across countries. Set protocol and SOPs for the respective event teams. Set target and deliver KPIs for event ticket sales.
As part of the marketing team, you will be responsible for our members’ engagements and with our brands, leaders, speakers and educational framework. As an Event executer, you will support the events that we held every week.
CRITERIONS
• Lead and execute our hybrid educational events across several markets, support the planning and smooth execution of tradeshow, conferences, seminars, event sponsorships and exhibitions.
• Plannig and executing the right communications mix (comprising inbound emails, group text messages, social media PMs and/or other similar chat platforms)
• Providing timely reporting on engagement metrics and post event analysis.
• Play an integral part in building and maintaining warm yet professional communications with prospects, members and other key stakeholders, contributing towards our robust lead management processes.
• Manage communications with our network of corporate partners and strategic partners to lead development
• Achieve weekly targets set for attendance of events by members and qualified, warm leads.
• Regularly identify clients with positive testimonies for contents marketing team to create relevant clips and quotes
CREDENTIALS
At least 3 years of relevant working experience in a similar role
• Competent in planning and executing tradeshows, conferences, seminars, event, sponsorships and exhibitions
• Effective in communicating with stakeholders who prefer English and Mandarin
• A team player who is positive, enthusiastic and has an open mindset to learn and pick up new skills
• Comfortable with the use of IT equipment and software applications used for conferencing, or webinars
CAREER
· Promotion pathway; Middle Management of a listed company
· Acquire Skills; Management, Leadership, Mentorship
· Acquire Know-how; Business Model (Scalable & Sustainable)
· As Capital Entrepreneur, Entrepreneurship environment & development
Interested candidates do send us your resume via WhatsApp or Telegram to 87141919 or email to hr@pifcapital.com. Candidates who are able to start work immediately would be a plus.
We apologize that we will only respond to shortlisted candidates. Thank you for applying."
Event Executive - $4500 | Central | Event Agency,RECRUIT NOW SINGAPORE PTE. LTD.,MCF-2023-0716911,,"Permanent, Full Time",Executive,3 years exp,"Events / Promotions, Marketing / Public Relations","['$3,000to$4,500']",Monthly,0 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Objective: To produce events that will make an impact. You will work with a dynamic team to ensure events are successful, focusing on concept, quality, project management and client servicing.

Responsibilities:
Client liaison and servicing
Assist PM to manage all stage of a project
Crafting of unique proposals with our Creative Director and Head of Design
Tabulating client quotations
Multiple project operations, planning and administration
Sourcing for venues, vendors, entertainment and event related requirements
Internal liaisons and communication with events, production and design divisions
External vendor management and supervision
Timeline management
Efficient activation and execution of events and exhibitions.
Requirement:
Minimum 2 years’ experience in events production and management
Degree / Diploma in events, marketing or related qualification preferred
Relevant experience with planning and management of luxury, lifestyle or corporate events and exhibitions
Possess strong client management and account servicing experience
Highly motivated and efficient
Resourceful in getting unique venues and vendors
Creative and with a good sense of aesthetics
Interested applicants please email your resume to joe@recruitnow.sg

EA Reg No.: R1437462 | Joe Chong Yeoh Choo
EA Licence no.: 21C0845 | Recruit Now Pte Ltd"
Events Executive,365 CANCER PREVENTION SOCIETY,MCF-2023-0715740,"M38, 38 JALAN PEMIMPIN 577178",Full Time,Junior Executive,2 years exp,"Events / Promotions, Marketing / Public Relations","['$2,900to$3,870']",Monthly,2 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Roles & Responsibilities
Prospecting, managing, fronting, and owning all events/project-related activities, from the point of project kick-off/initialisation to actual project launch/implementation.
Working closely with internal and external stakeholders to produce and refine project timelines, milestones, and other relevant documents timely.
To liaise and work closely with venue owners, organisers, and vendors.
Identifying obstacles, proactively mitigating risks and escalating issues to be resolved effectively and early.
Applying and enforcing existing company SOPs and best practices to ensure assigned projects are managed effectively and efficiently, while continuously reviewing and suggesting strategies to improve project management processes and workflows.
Management and coordination with events’ main contractor or vendors for site setup.
Reporting to the Head of Fundraising, Marketing and Volunteer Management.
Required skillsets:
Experienced in events management. Having experience setting up digital experiences will be a plus.
Proven ability in stakeholder management to effectively interact and communicate with stakeholders across different levels and backgrounds.
High emotional intelligence and maturity to handle the rigors of not only day-to-day project management, and operations but also people management.
Excellent presentation skills with the ability to write and articulate well, whether over email, phone, video-conferencing platforms, or in person.
Resourceful and a team player with strong analytical and planning skills.
Proactive in seeking out the best market practices and opportunities.
Familiar with the social service sector will be an added advantage.
Basic Requirements:
Min. 2-3 years of project management experience.
Proven track record in successfully managing successful events.
Minimum Diploma or Bachelor’s Degree in related courses.
Excellent interpersonal, networking and communication skills.
Able to work independently and a team player."
Event Project Manager - $6000 | Central | Event Agency,RECRUIT NOW SINGAPORE PTE. LTD.,MCF-2023-0716918,,"Permanent, Full Time",Manager,5 years exp,"Events / Promotions, Marketing / Public Relations","['$4,000to$7,000']",Monthly,4 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Objective: To produce events that will make an impact. You will work with a dynamic team to ensure events are successful, focusing on concept, quality, project management and client servicing.

Responsibilities:
Client liaison and servicing
Project management for all stage of a project
Crafting of unique proposals with our Creative Director and Head of Design
Tabulating client quotations
Multiple project operations, planning and administration
Sourcing for venues, vendors, entertainment and event related requirements
Internal liaisons and communication with events, production and design divisions
External vendor management and supervision
Timeline management
Efficient activation and execution of events and exhibitions.
Requirement:
Minimum 5 years’ experience in events production and management
Degree / Diploma in events, marketing or related qualification preferred
Relevant experience with planning and management of luxury, lifestyle or corporate events and exhibitions
Possess strong client management and account servicing experience
Highly motivated and efficient
Resourceful in getting unique venues and vendors
Creative and with a good sense of aesthetics
Interested applicants please email your resume to joe@recruitnow.sg

EA Reg No.: R1437462 | Joe Chong Yeoh Choo
EA Licence no.: 21C0845 | Recruit Now Pte Ltd"
Event Production Executive - $4500 | Central | Event Agency,RECRUIT NOW SINGAPORE PTE. LTD.,MCF-2023-0716873,,"Permanent, Full Time",Manager,5 years exp,"Advertising / Media, Design, Events / Promotions, Others","['$3,000to$4,500']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Objective: To oversee and manage the set production and technical requirements for luxury and lifestyle events, pop-ups, and exhibition.

Responsibilities:
Be part of the production and operations team in planning and coordinating events and exhibition in Singapore and regional countries
Manage overall production and operations timelines and quality
Oversee vendors & logistic agencies to ensure deliverables are met
Cost negotiation and managing suppliers’ relationships
Project operations planning and administration which include pre-event preparation, onsite execution and post event closing
Internal liaisons and communication with our projects and design divisions
Production management from fabrication to on-site set up supervision and management for events and exhibitions
Supervision and management of dismantling phase of projects
Technical supervision including for audio, video, lighting, electrical, and related requirements
Proactively handle any arising issues and troubleshoot any emerging problems on event day
Co-ordinating risk assessments, safety regulations and process management documentation
Requirement:
Minimum 2 years’ experience of production and operations management for luxury & lifestyle events & exhibitions
Relevant experience and knowledge in set construction and electrical requirements for events and exhibitions
Strong supplier management and quality control to ensure supplier deliver high quality service
Effective negotiation skills for costs with external vendors and contractors
Able to produce timeline and production schedules
Well-organised with an analytical and detailed work approach
Must be able to handle multiple projects concurrently
Understand AutoCAD layout and technical production plans
Interested applicants please email your resume to joe@recruitnow.sg
EA Reg No.: R1437462 | Joe Chong Yeoh Choo
EA Licence no.: 21C0845 | Recruit Now Pte Ltd"
Senior Events Executive,AUX MEDIA GROUP PTE. LTD.,MCF-2023-0272092,"AIS INDUSTRIAL BUILDING, 103 KALLANG AVENUE 339504","Permanent, Full Time",Senior Executive,2 years exp,"Advertising / Media, Events / Promotions, Hospitality, Travel / Tourism","['$2,400to$3,500']",Monthly,7 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Who are WE?
we are AUX – the best team dedicated to planning and executing any event.
Since 2001, we have been trusted by some of the biggest and most exciting brands. From large-scale colourful festivals and extravaganzas to intimate activations and events, our work aims to create fans and advocates for our clients.
What about YOU?
The Senior Events Executive will form a part of the events team and manage all our events. The role will involve handling projects from start to finish, therefore candidates will need to understand all aspects of event management from the initial brief to conceptualisation, formulation, pre-event planning, on-site production, execution and bringing the event to fruition.
Responsibilities
Understanding and conceptualisation of events/formulation of proposals based on stakeholders’ requirements
Assist the team in managing and coordination of major events, campaigns and projects
Assist the team in managing and overseeing project deliverables and deadlines
Assist the team in managing event budgets, expenses, targets and margins
Prepare and conduct post-event evaluation; including data entry, analysis and producing reports for the management or stakeholders
Take on any other responsibility as assigned by the team manager or management
Requirements
At least 1 to 2 years related experience in the MICE or Events Management industry
Experience in a similar role as an Events Executive, similar capacity or higher
Possess a can-do attitude
Have an eye for detail
Passionate about the events industry
Able to work long/irregular hours and/or weekends due to nature of events
If the above resonates with you, apply today!"
Assistant Events Manager,AUX MEDIA GROUP PTE. LTD.,MCF-2023-0716799,"AIS INDUSTRIAL BUILDING, 103 KALLANG AVENUE 339504","Permanent, Full Time",Manager,2 years exp,"Advertising / Media, Entertainment, Events / Promotions, Hospitality, Travel / Tourism","['$3,000to$4,000']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Who are WE?
we are AUX – the best team dedicated to planning and executing any event.
Since 2001, we have been trusted by some of the biggest and most exciting brands. From large-scale colourful festivals and extravaganzas to intimate activations and events, our work aims to create fans and advocates for our clients.
What about YOU?
The Assistant Events Manager is responsible for assisting the Manager in leading a team and managing and our events to support the growth of our business. The role will involve managing projects from start to finish, therefore candidates will need to understand all aspects of event management from the initial brief to conceptualisation, formulation, pre-event planning, on-site production, execution and bringing the event to fruition.
Responsibilities
Understanding and conceptualisation of events/formulation of proposals based on stakeholders’ requirements
Assist the manager in the managing and coordination of major events, campaigns and projects
Assist the manager in overseeing project deliverables and deadlines
Assist the manager in managing event budgets, expenses, targets and margins
Establish effective and positive working relationships both internally and with various external business partners and stakeholders
Prepare and conduct post-event evaluation; including data entry, analysis and producing reports for the management or stakeholders
Take on any other responsibility as assigned by the management
Requirements
At least 2 to 3 years related experience in the MICE or Events Management industry
A proven track record of managing successful events; up to a scale of thousands or tens of thousands
Experience in a similar role as an Assistant Manager, leader of a team or similar capacity
Apply today."
Events Logistic Driver,ITRUST SOLUTIONS PTE. LTD.,MCF-2023-0717999,,Full Time,Non-executive,1 year exp,"Events / Promotions, General Work, Logistics / Supply Chain","['$2,300to$2,800']",Monthly,0 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Position: Event Logistics Driver & Warehouse Manager
Location: North
Type: Full time
Salary: $2.3k to $2.8k
Working Hours: 5.5 days/ week. OT, Benefits, Medical provided.

Role and Responsibilities:
Safely transport event materials, equipment, and supplies to and from event venues.
Coordinate with the logistics team to ensure timely delivery, setup, and tear down of events.
Manage warehouse operations, including inventory organisation and maintenance.
Uphold traffic rules and regulations, prioritising safety at all times.

Qualifications:
Valid class 3 driving license and clean driving record as you will be required to drive a 10ft lorry.
Experience in event logistics and warehouse management is a plus.
Ability to adapt to a versatile role that includes driving and warehouse tasks.
Physical ability to handle heavy objects during loading and unloading."
Event Staff (temp),BIGREP PRIVATE LTD.,MCF-2023-0717897,,"Temporary, Part Time, Freelance",Fresh/entry level,1 year exp,Events / Promotions,['$100to$500'],Monthly,6 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Job Description:
Title: Temp Event Staff for Trade Show in Singapore EXPO

Date: Mid October 2023 (3 Days)

Job Scope
• Distribute/collect company brochures to attendees
• Provide basic product information manage event booth

Working hours: 9.45am - 5.45pm for 3 days

Requirements
• Friendly and outspoken personality
• Fluent in English and other languages
• Relevant experience in events, retail, customer service will be great
attractive salary.
please send CV/Resume"
"3487 - Event Manager [ Event planner / Event proposal / ubi / 5 days / up to $5,000 ]",THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0714734,,"Permanent, Full Time",Manager,5 years exp,"Advertising / Media, Events / Promotions","['$4,000to$5,000']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Event Manager
Location: Ubi
Working Day: 5 days
Working Time: 9am - 6pm (May need to work on Sunday and PH depend on events day)
Salary: $ 4000 - $ 5000

Job Responsibilities
May need to work late due to the natural of Event Business
Able to do proposal and bid for jobs
Responsible to grow new clients
Able to work with Teams / Vendors to have an successful event
Able to manage cost and maximise profits
Requirement
Minimum Diploma / Degree in Event Management
Knowledgeable in doing Event Proposal
Have more than 2 years of Experience
Have experience in Virtual & hybrid Event
Ability to create proposal to client
Proficiency in copywriting, proofreading, Adobe photoshop and illustrator would be advantageous
Loh Suet Yan Reg No: R22108031
The Supreme HR Advisory Pte. Ltd. EA No: 14C7279"
