title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Human Resources Executive,THE PROVIDORE SINGAPORE PTE. LTD.,MCF-2023-0719262,28 AYER RAJAH CRESCENT 139959,Full Time,Senior Executive,2 years exp,Human Resources,"['$3,200to$4,200']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Here at THE PROVIDORE SINGAPORE we frankly believe that we are stronger as a team!
TEAMWORK MAKES THE DREAM WORK!

We take pride in having an environment that is open and welcoming, to achieve our goals together. With an emphasis on communication and connection, we promote opportunities for all to develop and achieve success; our employees are our family, and we strive to create an inclusive and positive culture for all!

Across our various roles and departments, we have a diverse workforce that is built on the strengths of each and every individual. Our ethos is to create an environment where our people matter, and a place where we celebrate each other's success.

If being part of a fun, dynamic team that works hard yet plays harder is something you are looking for, what are you waiting for? You might just be the next celebrated member of our team!

Visit https://theprovidore.com/careers/ for more opportunities and to apply directly!


HIRING FOR:
HUMAN RESOURCES (HR) EXECUTIVE
THE PROVIDORE SINGAPORE
HR has to offer more than just the traditional administrative practice, theology and mindset; it must be able to provide value-add to an organization through analytical insight and information for betterment of the overall HR experience:
Increase productivity
Reduce wastage costs
Provide direction for improved solutions
Support business growth with information, automation and technology
Accountability and Growth are key attributes of not only the team, but in the embedded culture of the Company as a whole.


Job Description:

Reporting directly to the Group HR Director, and working closely with key stakeholders, you will play a critical role in the HR Transformation process of driving innovation and improvement for continued empowerment and support to safeguarding our most valuable asset - Our people.

Primary Focus Areas:
Payroll
Compensation & Benefits
Total Rewards
HR Reports
Secondary Support:
Employee Life Cycle
Recruitment & Talent Acquisition
Employee Engagement
Performance Management
Any other HR Functional Area or Skill-Development Tasks as assigned by the Group HR Director
*Full Job Description will be shared and discussed further with shortlisted candidates


Job Requirements:
Degree in Human Resources, Psychology, Statistics, Business Administration or Finance from a recognized institution
An analytical and inquisitive mindset is critical; keen to explore and challenge the norms of HR
Able to cohesively work in in a strong, team environment as well as build, and maintain strong relationships with internal and external stakeholders
Direct, related experience Payroll, Compensation & Benefits, and Total Rewards will be highly advantageous
Knowledge and experience is HR & Payroll Systems will be good to have
Genuinely high levels of attention to detail, with meticulous accuracy in analytics, calculations, figures and presentation
Strong proficiency in Microsoft Excel
Knowledge in Employment Act, IRAS, MOM, and Statutory Regulations

We look forward to receiving your application, and the opportunity to meet you!"
HR Executive,CYS GLOBAL REMIT PTE. LTD.,MCF-2023-0621284,"SHENTON HOUSE, 3 SHENTON WAY 068805",Full Time,Fresh/entry level,,Human Resources,"['$2,800to$3,500']",Monthly,38 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
CYS Global Remit is on the lookout for a highly effective HR Executive. If you enjoy a fast paced environment, communicating and care greatly for others, we want you on our team!

In this role, you will get to:
• Screen candidates for interviews and assist in the recruitment process
• Provide administration and HR support to fellow colleagues
• Learn how to manage leave records
• Ensure and enforce colleagues’ adherence to HR policies and procedures
• Organise and participate in company events
• Liaise with external service providers
• Designing programs to reduce turnover, boost morale, and employee loyalty
• Perform any other duties as assigned

What we are looking for in you:
• Minimum Diploma in any field. (Candidates specialising in HR will have an advantage)
• A team player with excellent interpersonal and organisational skills
• Effective oral and written communication skills
• Ability to multitask and enjoy challenges
• Able to exhibit a high level of confidentiality with a keen sense of ethics
• Proficient in Microsoft Office
• General knowledge of various employment laws and practices will be a plus
• Able to start immediately or within a short notice will be a plus"
HR Executive,HYSSES SINGAPORE PTE. LTD.,MCF-2023-0716815,37 Kaki Bukit View 415967,Full Time,Senior Executive,2 years exp,"Admin / Secretarial, Human Resources","['$3,000to$4,500']",Monthly,8 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
We are seeking a highly motivated and organized individual to join our HR team as a Senior HR Executive / Assistant Manager. The successful candidate will be responsible for managing the full spectrum of HR functions, including recruitment and selection, processing of employment letters, work pass applications, payroll, employee benefits and compensation, training, and performance management.

Duties and Responsibilities:
Assist in the management of the full spectrum of HR functions
Assist in the recruitment and selection process
Process employment letters, work pass applications, renewals, and cancellations
Update and maintain job descriptions and requirements
Manage attendance records, monthly payroll, and payroll reports
Ensure timely submission of CPF and income tax to relevant government entities
Manage employee welfare activities and benefits
Maintain and update the company's HR handbook, policies, and procedures
Prepare disciplinary letters and staff memos/announcements
Arrange employee relations, bonding, and communication activities (e.g. birthdays, D&D, meet-up sessions)
Prepare training materials and conduct organization-wide training based on retail and business needs
Evaluate and audit the quality of training programs and plan improvements
Implement training and development tools and concepts
Conduct new employee induction program
Assist in the management of performance management exercises for confirmation, renewal, and annual performance review
Support senior management in annual budgeting exercises
Collaborate with government agencies for grants and other HR-related projects
Manage organization chart and contact list changes
Respond to employee inquiries
Perform other duties as assigned

Job Requirements:
Diploma / Degree in Human Resources or related discipline
1 year of experience in the related field (fresh graduates are welcome to apply)
Bilingual in English and Mandarin
Meticulous attention to detail
Excellent written and verbal communication skills
Work Location: 37 Kaki Bukit View
Candidates with more experience will be considered for the Assistant HR Manager position. If you meet the requirements and are interested in this opportunity, please send your updated resume in MS Word format. Only shortlisted candidates will be notified."
Senior HR Executive,WORLD SCIENTIFIC PUBLISHING CO PTE LTD,MCF-2023-0717152,5 TOH TUCK LINK 596224,"Permanent, Full Time",Senior Executive,2 years exp,Human Resources,"['$3,300to$4,200']",Monthly,0 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
World Scientific is looking for a dynamic individual who is passionate about helping people learn and grow. This Senior HR Executive is to focus on people development by establishing, implementing training and development programmes to facilitate employees' growth and capability building.

Responsibilities
Analyse capability and performance gaps within organisation to identify learning needs.
Plan, develop, implement and administer learning strategies and programs for employees.
Assess course contents prepared by vendors.
Periodical review to address gaps; motivate and support staff to achieve targets.
Monitor, administer and evaluate program effectiveness through surveys and feedback.
Propose, track records of training expenses.
To support other HR functions as required.
Requirements
Diploma holder, minimum 2 years working experience related to training.
Ability to evaluate, research and propose training options.
Proficient in MS Office
Strong presentation and facilitation skills.
Excellent interpersonal and communication skills.
Must be self-motivated, proactive, meticulous, resourceful, creative, with good working attitude.
Ability to work independently and as a team player in a dynamic, international environment.
Bilingual with strong command of English and Chinese to be able to liaise with Chinese speaking counterparts."
HR Executive - Staffing BU,NAVSAR ENGINEERING INTERNATIONAL PTE. LTD.,MCF-2023-0525442,9 Tampines Grande 528735,Full Time,Executive,2 years exp,Human Resources,"['$1,500to$2,000']",Monthly,8 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
**Please note this job posting is under WSG Career Trial Programme**

We are urgently looking for personnel to fill the role of HR Executive (Staffing BU).
Location: Tampines, Singapore
Your function will include among others the following activities:
Talent acquisition
Identifying skilled talents from company database for our jobs across Singapore, Rest of APAC & MENA
Creating, Posting & Managing Job Posts on Linkedin, mycareersfuture etc.
Processing of applications (phone calls, meetings with candidates…)
Liaise & coordinate interviews with Clients
Prepare and submit weekly reports to Management.
Client Relationship Management: Manage and retain relationships with existing Clients
Act as Point of contact with contract staff & other stakeholders for insurance, salary, payslip, expense claim, bank details, social contributions, immigrations, timesheets, etc.
Manage immigration procedures for Expatriates through local partners & related stakeholders
Manage profile creation, onboarding, etc. on company's HRMS platform
Send monthly reports to the Admin and Accounts depts."
HR Executive | Construction industry | 0707,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0716851,,"Permanent, Full Time",Executive,3 years exp,Accounting / Auditing / Taxation,"['$2,800to$3,500']",Monthly,0 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
HR Executive (Construction industry)
Working days: Mon to Fri - 8.30 to 5.30 pm
1 Sat - 8.30 to 12.30
Location: Ubi
Salary: $2,800 - $3,500
Requirements:
Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Human Resource Management or equivalent.
Required skill(s): Times software, HRIS AMS software
At least 3 year(s) of working experience in the related field is required for this position.
Responsibilities
Work with line managers on manpower requirements, employee relations issues, compensation and benefits matter, HR initiatives, and other HR matters;
Administration of workmen compensation, MOM reporting, insurance claim, etc;
Ensure that HR policies and practices are in compliance with prevailing statutory regulations;
Handle onboarding and orientation of new hires, and exit interview;
Identify training and development needs of employees and propose training programs;
Work pass applications, renewals and cancellation;
Ensure timely update of employees’ database, proper filing system and smooth office administration;
Handle payroll;
Other ad-hoc duties as assigned
If interested, please kindly press the apply button.
Ong Choon Kiat (James) | Reg No: R22104989
The Supreme HR Advisory Pte Ltd | EA No: 14C7279"
HR Executive* / Full Spectrum / Manufacturing / West,RECRUITPEDIA PTE. LTD.,MCF-2023-0718021,,Full Time,Junior Executive,3 years exp,Human Resources,"['$3,000to$3,200']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Our client is from Manufacturing industry. They are looking for a HR Executive to assist their team in the next phase of their business. They are located in West.
Responsibilities:
Responsible for full onboarding cycle, including HR induction and documentation compliance.
Responsible for managing end-to-end payroll processes, including payroll administration, calculation of wages, deductions, and tax compliance.
Handle various HR operational tasks, such as employee onboarding and offboarding processes.
Introducing new employees in quarterly newsletter.
Managing employee profiles in HRIS, staff pass printing, and off-boarding.
Overseeing various employee medical checkup arrangements.
Requirements:
Min Diploma in HR or any related field
Min 2 years' working experience in HR.
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv. We regret that only shortlisted candidate will be notified.
Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R23115141 (Tan Su Yee)"
HR Executive (Shared Services) | Changi,NTT DATA SINGAPORE PTE. LTD.,MCF-2023-0717279,"REPUBLIC PLAZA, 9 RAFFLES PLACE 048619",Contract,Fresh/entry level,1 year exp,"Banking and Finance, Human Resources","['$3,000to$3,200']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
📧 EMAIL ID : Interested candidates, please email your resume to mike.ramos@nttdata.com
Only shortlisted candidates would be contacted for interview.

Role: HR Executive - 12 months Renewable contract
Experience: Minimum of 1 year
Location : Changi Business Park
Benefits:
Renewable contract (Performance-based, with possibility of conversion to perm)
Medical Insurance Coverage
Leave credits
Performance Bonus

Responsibilities:
Ensure that licensed representatives fulfill all regulated requirements prior to lodgement of licensed activities with the regulator, including the Monetary Authority of Singapore and the Singapore Exchange Ltd.
Lodge licensed representatives for the activities required for the appointed role, in compliance with regulatory requirements.
Cease or add activities of licensed representatives due to change in role or resignation.
Submit updates from licensed representatives on changes in personal details to the Monetary Authority of Singapore in accordance with regulatory requirements.
Review processes performed by the team to ensure they are up to date with the latest regulatory requirements.
Design and maintain the workflow representation of all Standard Operating Processes performed by the team.
Work with the HRSS-Information Services team to ensure that processes are automated and moved to the digital platform wherever possible, which includes providing specifications and conducting User Acceptance Testing of systems prior to “live” implementation.
Process the payment of fees due to the regulators, including the Monetary Authority of Singapore and the Singapore Exchange Ltd.
Liaise with licensed representatives and HR teams, including Business HR, HRSS-Employee Life Cycle, HRSS-Records Management, HRSS-Information Services, HR-Talent Acquisition Group and HR-Learning & Development, to ensure that updates on licensed representatives to the regulators are completed on a timely basis.



About us:

NTT DATA, a global leader in digital business and IT services, offers a thriving environment for career growth and excellence. Recognized as a ""Top Employer 2023"" in multiple countries, NTT DATA's commitment to talent acquisition, values, and ethics creates an outstanding workplace. With a diverse community of over 140,000 innovators worldwide, competitive benefits, and a focus on innovation,

NTT DATA empowers employees to drive transformation in cloud, data, and applications. This is an opportunity to join a culture of collaboration, and impactful contributions, whether you're an experienced professional or a recent graduate, on a journey toward a more connected and sustainable future.

COLLECTION, UTILIZATION, AND DISCLOSURE OF PERSONAL DATA: NTT DATA will assess and evaluate your suitability for employment, appointment, or continued engagement within any position within our organization.

Interested candidates may send their CV to mike.ramos@nttdata.com
Only shortlisted candidates would be contacted for interview."
HR Executive (Learning Programme) |Changi,NTT DATA SINGAPORE PTE. LTD.,MCF-2023-0717316,"REPUBLIC PLAZA, 9 RAFFLES PLACE 048619",Contract,Fresh/entry level,1 year exp,"Banking and Finance, Human Resources","['$3,000to$3,200']",Monthly,0 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
📧 EMAIL ID : Interested candidates, please email your resume to mike.ramos@nttdata.com
Only shortlisted candidates would be contacted for interview.

Role: HR Executive (Learning Programme) - 6 month or 12 months Renewable contract
Experience: Minimum of 1 year
Location : Changi Business Park
Benefits:
Renewable contract (Performance-based, with possibility of conversion to perm)
Medical Insurance Coverage
Leave credits
Performance Bonus

Responsibilities:
Perform administration for learning registration, attendance, gather feedback, evaluation reports and produce learning metrics reports
Collaborate with initiative teams to drive adoption of our products and services through the creation/curation of required learning programs, as well as to create a learning culture in the department.
Facilitate learning experiences to lead groups through a series of workshops and retrospectives
Create quizzes and activities for learning content
Create videos to commemorate the graduation of different cohorts
Gather feedback of the learning courses through various channels, e.g., questionnaires/surveys, discussions with managers.
Track and provide regular learning metrics reports and learning achievements, using standard MS Office tools such as MS Excel, PowerPoint, etc.
Facilitate workshops delivery as onsite or virtual training support
Maintain an up-to-date course list and content in the MS SharePoint
Perform other tasks and projects as and when necessary, required to support business objectives and learning operations etc.


Requirements:
1-2 years of related experience in training support/ administration preferred.
Good inter-personal and relationship building skills, able to initiate a conversation and provide customer centric approach to assist stakeholders.
Interested and passionate in developing learning solution, solve problems and improving current processes.
Committed to learn fast, adaptable and passionate to deliver quality work as a team
Good working attitude with strong work ethics and commitment to meeting deadlines
Proficient in Canva, Excel (e.g. pivot table) and Power Point
Ability to represent quantitative information in a visual form that facilitates effective decision making
Proficient verbal and writing skills


About us:

NTT DATA, a global leader in digital business and IT services, offers a thriving environment for career growth and excellence. Recognized as a ""Top Employer 2023"" in multiple countries, NTT DATA's commitment to talent acquisition, values, and ethics creates an outstanding workplace. With a diverse community of over 140,000 innovators worldwide, competitive benefits, and a focus on innovation,

NTT DATA empowers employees to drive transformation in cloud, data, and applications. This is an opportunity to join a culture of collaboration, and impactful contributions, whether you're an experienced professional or a recent graduate, on a journey toward a more connected and sustainable future.

COLLECTION, UTILIZATION, AND DISCLOSURE OF PERSONAL DATA: NTT DATA will assess and evaluate your suitability for employment, appointment, or continued engagement within any position within our organization.
Interested candidates may send their CV to mike.ramos@nttdata.com

Only shortlisted candidates would be contacted for interview."
"HR Executive, Payroll (6-month Contract)",FCS CAREERS PTE. LTD.,MCF-2023-0715601,,"Contract, Flexi-work",Executive,3 years exp,Human Resources,"['$3,800to$4,800']",Monthly,7 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
About the Company
Our Client is a global leader in transportation and supply management.
Responsibilities
We’re looking for an experienced team player in the role of HR Executive, Payroll to perform the full spectrum of payroll activities for a 6-month maternity cover.
Perform end-to-end processing of payroll for employees;
Address any queries on payroll matters;
Maintain the HR systems and oversee leave applications, claims and other benefits;
Support with submissions for CPF, tax and other statutory payments, which may include coordination with vendors;
Oversee employee welfare benefits with the appropriate vendors;
Administer submissions for work pass matters;
Provide HR support for matters such as termination, resignations or relocations;
Support internal and external audits;
Stay updated on regulations and statutory rules;
Perform monthly or ad-hoc reports to various departments.
Requirements
Tertiary education in any discipline;
At least 3 years of relevant work experience in payroll in a similar capacity;
Strong understanding of payroll and statutory contributions;
Proficiency in HR systems and Microsoft Excel;
Good communication skill, both written and verbal;
Good interpersonal skills and ability to work well in a team;
Ability to work under pressure and tight timeframes.
Employment Details
Contract Period: November 2023 – May 2024 or December 2023 – June 2024;
Work location is in the East;
Flexible work arrangement (50% remote working).
Get in touch with us
If you’d like to explore this opportunity, please reach out to Charmaine Tan (Regn No. R1102130) at charmaine@fcs-careers.com for a confidential discussion.

FCS CAREERS PTE LTD (EA 94C4359)

Data Protection Notice: By submitting any application or resume to us, you acknowledge that you have read, understood, and agreed to our Data Protection Policy (www.fcs-careers.com/about/data-protection), and that you consent to the collection, use and/or disclosure of your personal data by us for the purposes set out in the Policy. You may withdraw consent or make an access or correction request in respect of your personal data, however, depending on the nature or scope of such request, we may not be able to continue providing services to you. For any request, enquiry, or feedback, please contact our Data Protection Officer (dpo@fcs-careers.com)."
