title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
General Manager,KLADIATORS PTE. LTD.,MCF-2023-0718913,,Full Time,Manager,,"Admin / Secretarial, Advertising / Media, F&B, General Management, Human Resources","['$2,800to$9,000']",Monthly,3 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
At the most fundamental level, management is a discipline that consists of a set of five general functions: planning, organizing, staffing, leading and controlling.

Overseeing daily business operations. Developing and implementing growth strategies. Training low-level managers and staff. General Managers set policies, operations, create and maintain budgets.

Mentally prepared to bring the company to the next level according to execute the director's goals & directions set for company."
Cafe Manager,CAZAJA RESOURCES PTE. LTD.,MCF-2023-0719325,,Full Time,Middle Management,4 years exp,"F&B, General Management","['$5,000to$10,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
The responsibilities of a café manager include, but are not limited to, working closely in a supervisory role with staff members, overseeing scheduling, monitoring productivity, and providing feedback to ensure that staff are providing the best experience possible to customers. Additionally, a café manager must monitor budgets, including expenses, sales, and profit margins. They also track and maintain inventory to ensure that supplies are available as needed.
A successful café manager will have experience working in various roles within a coffee shop and be available to work flexible shifts including weekends and holidays. The goal of the café manager is to increase the profit margins of their coffee shop and to establish a loyal customer base to make the café a local hotspot for the community.

Responsibilities :
· Manage day-to-day operations of the café
· Hire and onboard new wait staff and baristas
· Train employees on drinks preparation and proper use of coffee equipment
· Coordinate with vendors and order supplies, as needed (like takeaway cups, coffee, milk and other ingredients)
· Maintain updated records of daily, weekly and monthly revenues and expenses
· Add new menu items based on seasonality and customers’ preferences (for example vegan coffee drinks)
· Advise staff on the best ways to resolve issues with clients and deliver excellent customer service
· Ensure all cafe areas are clean and tidy
· Nurture friendly relationships with customers to increase loyalty and boost our reputation

Qualifications :
· Work experience as a Cafe Manager or Barista
· Hands-on experience with professional coffee machines
· Good math skills
· Availability to work within opening hours (including weekends and holidays)
· Excellent communication skills with the ability to manage and motivate a team
· Customer service attitude"
STORE MANAGER,KOI THE SINGAPORE PTE. LTD.,MCF-2023-0718354,,"Permanent, Full Time",Manager,2 years exp,F&B,"['$2,750to$3,400']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
• Oversee the daily store operations and its manpower planning
• Hire, train, motivate and manage the team to achieve the best results
• Responsible for admin duties in the outlet including but not limited to inventory management, sales forecast, invoices consolidation, generate reports such as sales report or costing report and attend management meetings
• Conduct monthly inventory checks in operating equipment and supplies
• Work closely with relevant personnel at all levels by maintaining an effective communication, to ensure smooth execution of various activities/promotions
• Ensure smooth operations of the store with compliance to product quality, hygiene & safety standards
• Appraise employees for their performance regularly and provide feedback to improve performance
• Involve in investigation of issues relating to customer feedbacks on service and product quality
• To maintain a sound knowledge of the menu and presentation standards for food and drinks
• Ensure that the handover, closing and opening procedures are complete in each shift
• Perform other duties/tasks as required


Requirements:
- Minimum 1 year of experience at supervisory role in managing a Cafe/Restaurant/Fast food sector or other sectors
- Good people management skills, strong communication skills and hands-on duties
- Ability to prioritize tasks and manage time effectively
- Desire to work in a fast-paced environment and work well under pressure
- Pleasant, mature, outgoing, meticulous with good interpersonal skills
* People who are looking for a place for career growth and providing professional service are encouraged to apply
* Attractive remuneration and benefit package
* Position available at different locations"
Management Trainee,KOI THE SINGAPORE PTE. LTD.,MCF-2023-0718350,,Full Time,Fresh/entry level,,F&B,"['$2,200to$3,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
WHO WE ARE?
🔸 Well known Bubble Tea company
🔸 We are currently expanding our operations and are looking for Management Trainees with the potential to be promoted to Support store manager.

WHAT WE OFFER?
🔸 Attractive Income
🔸 Valuable Paid Training Provided
🔸 Good career progression

WHAT CAN YOU LEARN?
As a Management Trainee, you will be undergoing a training of 12 months (6months+2months+2months+2months) to develop you as key person in our company's key business functions. We are proud of our management trainees and have great respect for the work you do. Therefore, we value your training and development program and your personal learning journey throughout the program.

You will be assigned a mentor/coach throughout the training to facilitate learning process.

The below course is designed to allowed selected trainees the best hands-on training experience, this is the perfect opportunity to build a successful management career.

First 6 months (Basic and Work shift development)
• You will be trained to handle full outlet operations in the first 6 months which includes backend kitchen duties, front end customer services, tea making procedure, product quality assurance, manpower planning and cost controlling.
Second 2 months (Training store)
• You will be assigned to other training outlets to apply what you have been learn in the past 6 months; you will guide the new join as a mentor/coach’s anger.
Third 2 months (Leadership development)
• You will learn how to manage a store to understand the fundamentals of business structure and develop your strengths to build your leadership qualities.
Fourth 2 months (QC/Training course)
•You will also have the chance to attend QC and Training course that will equip with essential expertise to perform future assigned positions.

RESPONSIBILITIES:
•Assist the manager in the daily management of the day-to-day operations of the restaurant
•Attend to customers' request efficiently and effectively
•Maintain restaurant cleanliness

Fresh graduates ,no experience and career switcher are welcomed to apply.
Only shortlisted candidates will be contacted

BENEFITS:
• Attractive remuneration. Salary commensurate with experience.
• Transport Allowances
• Meal Allowances
• Staff drink
• Annual Leave
• Health and Dental Benefits
• Training and Career Progression
• Training provided
• Terms and Conditions apply"
production manager,58 RECRUITMENT PTE. LTD.,MCF-2023-0719673,214 PETIR ROAD 670214,Full Time,Professional,3 years exp,Others,"['$3,000to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Job duties：
Responsible for the daily production arrangement and management of the workshop, organize and coordinate the production according to the production plan issued by the planning department, ensure the completion of customer orders with good quality, quantity and delivery time, and achieve the targets of the workshop assigned by the production department.
1. Guided, supervised and checked the daily production arrangement and management, and organized the statistics and analysis of various production data
2. Responsible for the command and control of workshop production process to ensure the continuity and balance of production operations;
3. Supervise and inspect the implementation of the quality assurance system in the production process of the workshop, analyze the causes of unqualified products, review and improve the quality problems, and improve the qualified rate of products;
4. Responsible for the control and management of production costs in the workshop, and continuously reduce the production costs under the condition of stable quality;
5. Cooperate with relevant departments to verify and organize the application of new technology, new process and new equipment to improve labor productivity;
6. Responsible for organizing the implementation and inspection of 5S management and on-site management activities in the production workshop to implement safe production;
7. Responsible for the personnel management of production personnel in the scope of responsibility, such as probation, regular employment, transfer, promotion, overtime approval, leave, resignation, dismissal, etc
8. Responsible for organizing the management and maintenance of production equipment and tools in the workshop;
9. Hosted the morning meeting of the production workshop, and supervised the convening of the meetings of each shift and group;
10. Assign, train, guide, supervise, check and assess the work of each subordinate in the workshop;
11. Responsible for handling abnormal situations in the workshop and coordinating with other departments to ensure the normal operation of the workshop;



58 RECRUITMENT PTE. LTD.

2 GAMBAS CRESCENT #06-22 SINGAPORE 757044

LICENCE NO: 19C9772

TEL: 67026282"
Procurement Manager,MEGAFAB ENGINEERING PTE LTD,MCF-2023-0718514,7 GUL ROAD 629364,"Permanent, Full Time",Manager,3 years exp,"Building and Construction, Logistics / Supply Chain, Manufacturing, Purchasing / Merchandising, Sales / Retail","['$4,000to$5,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
The majority of your responsibilities will include achieving strategic procurement cost containment through the development of long-term commodity strategies and creating a supply chain that is robust and flexible to change in order to adapt to changing business conditions. You will need to lead the logistic team and collaborate with internal and external stakeholders.
Planning and Strategy: Developing and implementing supply chain strategies, policies, and procedures to optimize efficiency, reduce costs, and improve overall performance. This includes identifying areas for improvement and developing action plans.
Procurement: Managing the procurement process, including sourcing suppliers, negotiating contracts, quotation comparison and ensuring timely delivery of goods and services. This involves evaluating suppliers, monitoring supplier performance, and maintaining good relationships with key suppliers.
Inventory Management: Monitoring inventory levels to ensure optimal stock levels while minimizing carrying costs. This includes weekly updates, annual stock taking, forecasting demand, coordinating with suppliers and installation/service teams to ensure timely replenishment, and implementing inventory control measures.
Logistics and Distribution: Overseeing the movement of goods from suppliers to customers, store to workshop, ensuring efficient transportation, warehousing, and distribution processes. This includes selecting appropriate transportation modes, managing warehouse operations, and coordinating with logistics service providers.
Demand Planning and Forecasting: Collaborating with sales and marketing teams to understand market demand, analyze historical data, and develop accurate forecasts. This information is used to optimize production plans, inventory levels, and supply chain responsiveness.
Risk Management: Identifying potential risks and developing contingency plans to mitigate them. This includes assessing supplier reliability, developing business continuity plans, and ensuring compliance with regulatory requirements.
Collaboration and Coordination: Facilitating effective communication and collaboration between various departments, such as procurement, installation, sales, servicing and customer service. This involves aligning objectives, resolving conflicts, and promoting a smooth flow of information within the supply chain.
Performance Measurement and Analysis: Monitoring key performance indicators (KPIs) to assess the efficiency and effectiveness of the supply chain. Analyzing data and implementing improvement initiatives based on insights gained from performance metrics.
Technology and Systems: Utilizing supply chain management software and technologies to streamline processes, enhance visibility, and improve decision-making. This may include implementing and managing enterprise resource planning (ERP) systems, inventory management tools, and supply chain analytics platforms.
Continuous Improvement: Leading continuous improvement initiatives to identify and implement best practices, optimize processes, and drive efficiency gains throughout the supply chain.
Assist Deputy General Manager in any other task whenever required
You may be assigned to new duties/responsibility from time to time
Minimum diploma in relevant field
Minimum 3 years of experience in relevant field
Job Type: Full-time
Salary: $4,000.00 - $5,000.00 per month
Benefits:
Cell phone reimbursement
Free parking
Schedule:
Monday to Friday
Weekend availability
Supplemental pay types:
Performance bonus
Yearly bonus
Education:
Local Polytechnic Diploma (Required)
Experience:
Supply chain management: 3 years (Required)
Work Location: In person"
GENERAL MANAGER,ALL TIME EXPRESS PTE. LTD.,MCF-2023-0719412,,Full Time,Professional,5 years exp,F&B,"['$6,000to$10,500']",Monthly,1 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
General Manager Job Description Template
We are looking for a self-motivated and results-driven general manager to direct and manage our organization's business activities and to develop and implement effective business strategies and programs. The successful candidate for this role should possess excellent communication skills, superior knowledge of business functions, exceptional budgeting, and finance skills, and strong leadership qualities.
General Manager Responsibilities
• Oversee day-to-day operations, assign weekly performance goals and ensure their completion, and accomplish your own goals
• Recruit, onboard, and train high-performing employees to achieve objectives for sales, profitability, and market share
• Develop strategic plan for optimized productivity
• Review and improve organizational effectiveness by developing processes, overseeing employees, establishing a highly motivational work environment, and implementing innovative changes
• Adhere to company standards for excellence and quality
• Seek out opportunities for expansion and growth by developing new business relationships
• Provide guidance and feedback to help others strengthen specific knowledge/skill areas
• Maintain project timelines to ensure tasks are accomplished effectively
• Develop, implement, and maintain budgetary and resource allocation plans
• Delegate responsibilities to the best-qualified employees and enforce all policies, procedures, standards, specifications, guidelines, training programs, and cultural values
• Resolve internal staff conflicts efficiently and to the mutual benefit of all involved
General Manager Required skills and qualifications
• Degree in business management or any related field.
• Good knowledge of different business functions
• Proven success in a managerial role
• Strong decision-making ability
• Excellent communication, collaboration, and delegation skills
• Proven ability to develop and achieve financial plans
• Ability to motivate and lead employees, and hold them accountable
• Strong working knowledge of operational procedures
• Meticulous attention to detail.
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
GENERAL MANAGER,SULTAN ROYAL PTE. LTD.,MCF-2023-0719305,,Full Time,Professional,5 years exp,F&B,"['$6,000to$10,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
General Manager Job Description Template
We are looking for a self-motivated and results-driven general manager to direct and manage our organization's business activities and to develop and implement effective business strategies and programs. The successful candidate for this role should possess excellent communication skills, superior knowledge of business functions, exceptional budgeting, and finance skills, and strong leadership qualities.
General Manager Responsibilities
• Oversee day-to-day operations, assign weekly performance goals and ensure their completion, and accomplish your own goals
• Recruit, onboard, and train high-performing employees to achieve objectives for sales, profitability, and market share
• Develop strategic plan for optimized productivity
• Review and improve organizational effectiveness by developing processes, overseeing employees, establishing a highly motivational work environment, and implementing innovative changes
• Adhere to company standards for excellence and quality
• Seek out opportunities for expansion and growth by developing new business relationships
• Provide guidance and feedback to help others strengthen specific knowledge/skill areas
• Maintain project timelines to ensure tasks are accomplished effectively
• Develop, implement, and maintain budgetary and resource allocation plans
• Delegate responsibilities to the best-qualified employees and enforce all policies, procedures, standards, specifications, guidelines, training programs, and cultural values
• Resolve internal staff conflicts efficiently and to the mutual benefit of all involved
General Manager Required skills and qualifications
• Degree in business management or any related field.
• Good knowledge of different business functions
• Proven success in a managerial role
• Strong decision-making ability
• Excellent communication, collaboration, and delegation skills
• Proven ability to develop and achieve financial plans
• Ability to motivate and lead employees, and hold them accountable
• Strong working knowledge of operational procedures
• Meticulous attention to detail.
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
Project Manager,HPH ENGINEERING PTE LTD,MCF-2023-0718914,,Full Time,Manager,3 years exp,Engineering,"['$4,000to$6,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Report directly to Project Director on budgeting, schedules, materials, resources related to the project
Must be able to execute project independently from start to end (with minimal supervision)
Maintain adequate project documentation and ensure that all tender submissions comply with project specifications
Manage the day-to-day site operations
Work with suppliers, vendors, main and sub-contractors as well as other external vendors necessary to ensure that deadlines are met
Liaise with clients and manage expectations
Ensure resources and manpower are sufficient
Develop and maintaining excellent client relationships
Other duties as assigned
Requirements:
Degree, Diploma in Mechanical & Electrical Engineering or equivalent
Minimum 2 years of relevant work experience as Project manager in commercial, residential and governmental projects
Ability to work independently and well under pressure to meet crucial deadlines
Highly organized with effective time management skills
Ability to manage multiple projects simultaneously while paying attention to details
Good interpersonal skills, motivated and team player who can work across teams
Strong communication and negotiation skills
Willingness to work overtime or weekend when required
Speaks English and Mandarin
Proficient in Microsoft Office suite
Class 3/3A driving license will be an added advantage
How to apply:
Interested candidates are welcomed to email a comprehensive resume, stating current and expected salary and date of availability to: alice.kok@hph-engrg.com.sg
Remuneration and appointment will commensurate with qualifications and experience
We regret that only shortlisted candidates will be notified"
"QAQC Manager, Project Management Office",SEMBCORP INDUSTRIES LTD,MCF-2023-0341395,,Full Time,Manager,5 years exp,Engineering,"['$5,700to$7,000']",Monthly,8 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Interested applicants, please apply through this link:
https://hrsembcorp.darwinbox.com/jobs/jobsdetailed/id/a64242dee104d1/grp_company/a632dab40df257/custom_source/a63e33a9955939/custom_type/a63e33a612821e

------

Key Roles and Responsibilities
Establish Quality Assurance (QA) and Quality Control (QC) system and documentation for centralised utility facilities, utility power and water, petrochemical industries and utility scale renewable projects, including but not limited in QA QC system, manual, procedures, checklists etc.
Establish project quality plan, quality improvement plan (QIP) and ITP from specification to meet project quality inspection requirement.
Support in project execution including but not limited to implementation and/or review of Quality Control plan or system, review MSRA, review ITP to ensure the quality compliance.
Good knowledge in ISO standards and able to lead the programme.
Deliver technical guidance and direction for field inspection, NCR, survellence, FSSR, punch list etc.
Particpate in HAZOP, QRA, EIA studies.
Support in tender review in quality areas.
Familiarise with the local and international code of practice and standards.
Lead the project site quality control matters including lead the site quality personnel.
Ensure all activities carried out are in full compliance to all regulatory and authority requirement.
Qualifications & Experience
Bachelor’s Degree in engineering discipline or equivalent
At least 5-15 years of experience in QA/QC career in energy business related engineering management and project management (engineering and construction) environment
Experience in renewable energy projects is preferred
Skills/competencies & Preferred Characteristics
Demonstrate critical thinking skill, positive attitute, teamwork, analitycal, communication skill, leadership skill
Strong self-motivation and work ethic, flexible and thrives under pressure
------

Please note: Only fully vaccinated candidates will be considered for the above position.

Remuneration will commensurate with experience and qualifications and only shortlisted candidates will be notified on next steps.

Sembcorp and its approved recruitment consultants do not ask for payment from job applicants at any point in our recruitment process. Communications requesting for such payments are fraudulent. You may refer to our advisory for more details.

For latest news, please follow our LinkedIn page."
