title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Research Nurse ( East Area, 5 Days week, Office Hours ) #HVY",RECRUIT EXPRESS PTE LTD,MCF-2023-0719149,,"Permanent, Full Time",Executive,2 years exp,"Customer Service, Healthcare / Pharmaceutical, Hospitality, Professional Services, Sciences / Laboratory / R&D","['$3,500to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities

· Provide and coordinate nursing care to patients who participate in research studies
· Enforce standards of care and professional codes of conduct.
· Ensure safety and well-being of study subjects, and all clinical trial data are reliable
· Recognise emergency situations and assist in treatment procedures
· Prepare research metrics and reports for submission
· Perform intensive monitoring of research subjects in early phase clinical trials

Job requirements

· Diploma / Bachelor’s Degree in Nursing
· Registered nursing qualification and registered with Singapore Nursing Board (SNB) with valid BCLS certificate
· At least 2 years' clinical nursing experience

Interested candidates please send a copy of your resume in MS Word to

valerie@recruitexpress.com.sg

EA Personnel: Valerie Yong Kian Fung (R1103704)
Company Reg. No 199601303W
EA Licence No. 99C4599"
"Clinic Nurse Office Hours ( Operating Theatre Trained, 5 K ) #HVY",RECRUIT EXPRESS PTE LTD,MCF-2023-0719182,,"Permanent, Full Time",Executive,2 years exp,"Healthcare / Pharmaceutical, Hospitality, Professional Services, Sciences / Laboratory / R&D, Social Services","['$3,500to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Perform a variety of nursing procedures and safety compliances in accordance to established guidelines, policies and procedures
Coordinate and prepare surgical equipment, instrument and consumables specific to the daily surgical list and preferences of surgeon
Participate in the assisting of safe anaesthetic care for general, regional and deep sedation anaesthesia
Perform scrubbing, circulating and recovery duties
Provide pre & post-operative care for patients
Carry out proper housekeeping in accordance to Infection Control Standards
Updates work processes accurately in the digital operating theatre system
Conduct inventory checks on medication supplies, general and subspecialties consumables in the assigned work area in accordance to established guidelines.
Timely escalation and submission of documented Incident Reporting Form to Nurse Clinician / Senior Nurse Manager
Requirements:
Registered nurse with Singapore Nursing Board (SNB)
Min. Diploma in Nursing
Valid BCLS + AED certificate
Experience in OT preferred, otherwise must be keen to learn
Interested candidates please send in your resume to:
valerie@recruitexpress.com.sg
Valerie Yong Kian Fung
R1103704
Recruit Express Pte Ltd
EA Licence No: 99C4599
We regret that only shortlisted candidates will be contacted"
"Operating Theatre Nurse ( 5 Days Week, office hours, 5 K ) #HVY",RECRUIT EXPRESS PTE LTD,MCF-2023-0719187,,"Permanent, Full Time",Executive,2 years exp,"Customer Service, Healthcare / Pharmaceutical, Professional Services, Sciences / Laboratory / R&D, Social Services","['$3,500to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Perform a variety of nursing procedures and safety compliances in accordance to established guidelines, policies and procedures
Coordinate and prepare surgical equipment, instrument and consumables specific to the daily surgical list and preferences of surgeon
Participate in the assisting of safe anaesthetic care for general, regional and deep sedation anaesthesia
Perform scrubbing, circulating and recovery duties
Provide pre & post-operative care for patients
Carry out proper housekeeping in accordance to Infection Control Standards
Updates work processes accurately in the digital operating theatre system
Conduct inventory checks on medication supplies, general and subspecialties consumables in the assigned work area in accordance to established guidelines.
Timely escalation and submission of documented Incident Reporting Form to Nurse Clinician / Senior Nurse Manager
Requirements:
Registered nurse with Singapore Nursing Board (SNB)
Min. Diploma in Nursing
Valid BCLS + AED certificate
Experience in OT preferred, otherwise must be keen to learn
Interested candidates please send in your resume to:
valerie@recruitexpress.com.sg
Valerie Yong Kian Fung
R1103704
Recruit Express Pte Ltd
EA Licence No: 99C4599
We regret that only shortlisted candidates will be contacted"
Staff Nurse (Part-Time 4 days) / St Andrew's Senior Care - Henderson,ST ANDREW'S MISSION HOSPITAL,MCF-2023-0719307,303 Henderson Road 108931,Part Time,Professional,5 years exp,Healthcare / Pharmaceutical,"['$2,000to$2,800']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Summary
Provide Centre-based Nursing and Nursing Assessment and management at St. Andrew’s Senior Care (Henderson)

Job Description
Implement nursing interventions as outlined in the care plan and carry out nursing procedures according to the care needs of the client;
Provide training and supervision to care staff;
Co-ordinate with other team members and update them on the changes in the client's condition and needs;
Prepare clinical documentation, monitor outcomes of services, and perform escalation of cases if there is a need for more acute management of clients;
Provide ongoing support and education to the caregiver, client, and family;
Carry out other responsibilities and duties as assigned from time to time, including coverage of other Staff Nurse in other Senior Care facilities if necessary.
Requirements
Recognized qualification in Diploma/Degree in Nursing
A minimum of 5 years’ experience in clinical area such as acute or community hospital.
Good knowledge of the health care environment and service processes is important. Experience in community care provision is an advantage.
Is a person of integrity, highly motivated, a team leader and able to maintain good interpersonal relationships, in collaboration with various partners in the healthcare system.
Working Hours
Monday, Tuesday, Thursday & Friday / 34 hours per week (8.5 hours per day)
Working Location
303 Henderson Rd, Singapore 108931"
"Clinical Research Nurse Co-ordinator, East Area, 5 Days Office Hours #HVY",RECRUIT EXPRESS PTE LTD,MCF-2023-0719144,,"Permanent, Full Time",Executive,3 years exp,"Healthcare / Pharmaceutical, Hospitality, Professional Services, Sciences / Laboratory / R&D, Social Services","['$3,500to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities

· Provide and coordinate nursing care to patients who participate in research studies
· Enforce standards of care and professional codes of conduct.
· Ensure safety and well-being of study subjects, and all clinical trial data are reliable
· Recognise emergency situations and assist in treatment procedures
· Prepare research metrics and reports for submission
· Perform intensive monitoring of research subjects in early phase clinical trials

Job requirements

· Diploma / Bachelor’s Degree in Nursing
· Registered nursing qualification and registered with Singapore Nursing Board (SNB) with valid BCLS certificate
· At least 2 years' clinical nursing experience

Interested candidates please send a copy of your resume in MS Word to

valerie@recruitexpress.com.sg

EA Personnel: Valerie Yong Kian Fung (R1103704)
Company Reg. No 199601303W
EA Licence No. 99C4599"
Senior / Staff Nurse [Woodlands] (Gov Hospital | Multiple Department) T*A,MCI CAREER SERVICES PTE. LTD.,MCF-2023-0718964,,"Permanent, Full Time",Non-executive,1 year exp,Healthcare / Pharmaceutical,"['$2,500to$7,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Are you a skilled and compassionate nurse eager to contribute to the growth and success of our valued client, a prestigious government hospital? Join their pioneering team and become an integral part of their mission to transform healthcare. This unique opportunity allows you to leverage your expertise and drive to help shape the future of healthcare services in collaboration with one of the most esteemed healthcare institutions. Elevate your nursing career and join us in making a meaningful impact on healthcare together. Be part of this exciting journey today!
Summary:
Location: Woodlands South
Working Hours: Based on department
Salary up $7000++ (Based on experience and qualifications)
Benefits: AWS + Bonus + Yearly Increment
Multiple department opening - Ward, OT, ICU, ED, SOC etc.
Requirements:
Singapore Nursing Board registered
Please submit your updated resume in MS Words format by using the APPLY NOW BUTTON

Applicants who possess relevant experience for the above responsibilities are most welcome to apply. If you do not possess the above experience, your application will still be considered on individual merits and you may be contacted for other opportunities.

By submitting your personal data and/or resume, you give consent to collection, use and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

**We regret to inform that only shortlisted candidates would be notified.

Ang Yi Heng
Registration Number: R22105972
EA License No: 06C2859 (MCI Career Services Pte Ltd)"
Full Time / Part Time Clinical Research Nurse - Pharmaceutical MNC ( West Area ) - Immediate #HVN,RECRUIT EXPRESS PTE LTD,MCF-2023-0719048,,"Contract, Part Time, Permanent, Full Time, Flexi-work",Executive,3 years exp,"Customer Service, Healthcare / Pharmaceutical, Professional Services, Sciences / Laboratory / R&D, Social Services","['$3,500to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Location: West Area
· Training Provided for this opportunity
· Opportunity to work in Pharmaceutical MNC

Job Description:
To manage subjects of studies
To provide nursing care to subjects who participate in research studies
To manage and keep track of supplies related to study needs
To ensure clinical trials and research projects are executed in compliance to protocols
To monitor and document subject assessments
To recognise emergency situations and assist in treatment procedures
Job Requirements:
Min Diploma/Degree in Nursing
Min 3 years or Nursing experience
Possess a valid SNB, BCLS & AED license
Proficient in Phlebotomy/Drawing of blood
Keen interest in the research field
Good interpersonal skills and passionate in nursing
Interested candidates please send a copy of your resume in MS Word to
valerie@recruitexpress.com.sg
EA Personnel: Valerie Yong Kian Fung (R1103704)
Company Reg. No 199601303W
EA Licence No. 99C4599"
Full Time / Part Time Clinical Trial Research Nurse ( Training Provided ) #HVY,RECRUIT EXPRESS PTE LTD,MCF-2023-0719092,,"Contract, Part Time, Permanent, Full Time, Flexi-work",Executive,3 years exp,"Customer Service, Healthcare / Pharmaceutical, Professional Services, Sciences / Laboratory / R&D, Social Services","['$3,500to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:

· Recruit and screen study participants, take consent, perform clinical assessments and follow-up visits
· Perform data collection and analysis to support research
· Adverse event monitoring and reporting responsibilities
· Handle regulatory documents
· Reach out to potential volunteers for studies and encourage them to join
· Coordinates between the study team and potential / confirmed participants

Job Requirements

· Diploma / Bachelor’s Degree in Nurse
· Able to work in a team as well as independently

Interested candidates please send a copy of your resume in MS Word to

valerie@recruitexpress.com.sg

EA Personnel: Valerie Yong Kian Fung (R1103704)
Company Reg. No 199601303W
EA Licence No. 99C4599"
"International School Nurse, 5 K Up , Central Area ( 5 Days Office Hours, 8.00 a.m – 5.00 p.m ) #HVN",RECRUIT EXPRESS PTE LTD,MCF-2023-0719191,,"Permanent, Full Time",Executive,2 years exp,"Customer Service, Healthcare / Pharmaceutical, Professional Services, Social Services, Others","['$4,000to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Main Responsibilities
To develop and maintain a high quality of nursing care in terms of wounds care and sports injuries in the Clinics
To participate in the development and implementation of policies and protocols which safeguard children, promote healthy outcomes
To take an active role in the education and promotion of health and medical issues to children and staff on an individual and group basis.
Liaise and follow up with the school medical provider.
Requirement
Registered Nurse with the Singapore Nursing Board
Interested candidates please send in your resume to:
valerie@recruitexpress.com.sg
EA Personnel: Valerie Yong Kian Fung
CEI No.: R1103704
Recruit Express Pte Ltd, EA License No.: 99C4599"
"Senior Clinical Research Nurse ( Pharmaceutical MNC, Training Provided ) - Immediate, up 5 K #HVY",RECRUIT EXPRESS PTE LTD,MCF-2023-0719097,,"Permanent, Full Time",Executive,3 years exp,"Customer Service, Healthcare / Pharmaceutical, Professional Services, Sciences / Laboratory / R&D, Social Services","['$4,000to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:

· Recruit and screen study participants, take consent, perform clinical assessments and follow-up visits
· Perform data collection and analysis to support research
· Adverse event monitoring and reporting responsibilities
· Handle regulatory documents
· Reach out to potential volunteers for studies and encourage them to join
· Coordinates between the study team and potential / confirmed participants

Job Requirements

· Diploma / Bachelor’s Degree in Nurse
· Able to work in a team as well as independently

Interested candidates please send a copy of your resume in MS Word to

valerie@recruitexpress.com.sg

EA Personnel: Valerie Yong Kian Fung (R1103704)
Company Reg. No 199601303W
EA Licence No. 99C4599"
