title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Cleaner,MC ACADEMY @ CENTRAL PLAZA PTE. LTD.,MCF-2023-0718666,"CENTRAL PLAZA, 298 TIONG BAHRU ROAD 168730",Full Time,Non-executive,1 year exp,General Work,"['$1,500to$1,700']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
- Preparation for lunch & afternoon tea for all classes. Food is premade from vendor, NO cooking required, just serving to children (primary school aged).
- Washing of all bowls and utensils used.
- General cleaning duties, including vacuuming, mopping, wiping and sweeping up of the centre space, including tables, chairs, corridors, fridge, etc.
- Disposal of rubbish bags.
- No toilet cleaning required.
- Permanent Monday to Saturdays. Can consider part-time and full-time.
- Location at Tiong Bahru Plaza, right on top of Tiong Bahru MRT. Many buses also out the front."
Sales Coordinator | Metal Industry | Joo Koon - 4769,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0719764,,"Permanent, Full Time",Junior Executive,2 years exp,Admin / Secretarial,"['$1,800to$2,300']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Sales Coordinator | Metal Industry | Joo Koon

Working Days: 5 Days
Working Hours: 830am – 545pm
Location: Joo Koon Circle (Joo Koon Mrt)
Salary: $1800 - $2300

Job Responsibilities:
Assist the Sales Manager and Senior Sales Engineer in the review and follow up of customers enquires.
Responsible for the generation of shipping document and verification of pricing for customers.
Issues credit and debit notes.
Generation of invoices, mailing of invoices to customer upon deliveries of parts.
Upkeeps all document in the Sales Department.
Requirements:
Minimum Higher NITEC/NTC2 or Diploma
Minimum with 1-2 years' relevant experience

For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group
The Supreme HR Advisory Pte Ltd | 14C7279
Ong Boon Kiet (Travys) | R22104769
Senior Recruitment Consultant"
Retail Associate (Full-Time),PAPA PALHETA PTE. LTD.,MCF-2023-0718674,150 TYRWHITT ROAD 207563,"Permanent, Full Time",Fresh/entry level,,F&B,"['$1,500to$2,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 27 Sep 2023,"Roles & Responsibilities
Job description
As a Retail Associate, you will be part of the exciting and new omni-channel retail team, representing PPP Coffee on the frontline to advance our mission in connecting people with coffee. You will oversee PPP Coffee's retail concept store and will be responsible for being the bridge between the product team and the coffee community by providing recommendations for both homebrewers and baristas from our range of coffee and equipment.

Job Description
Oversee the day-to-day operations of the retail outlet(s) by PPP Coffee in Singapore
Lead and manage a team of full-time and part-time Retail Associates
Responsible for maintain the look-and-feel of the shop through visual merchandising and daily housekeeping
Ensure a high standard of service is provided in the store at all times
Conduct and follow up on requests for in-store demos, events and/or workshops
Handle all customer queries and feedback in a professional and timely manner
Participate in regular product trainings and/or workshops
Track, monitor and maintain store inventory and ensure accuracy in monthly stock take
Prepare and submit daily and monthly closing sales reports and timesheets
Minimum Requirements
Able to speak fluent English and/or communicate confidently with a diverse group of people
5-day work week including weekends and public holidays
Service oriented and a team player
Additional Employee Benefits
Birthday Leave + Annual Leave (starting from 14 days)
Sick Leave + Medical consultation reimbursement
Staff Meal upon completion of Full Shift
Complimentary non-alcoholic drinks
Family & friends discount on food & beverage"
Admin cum Front Desk,SMILEPOINT DENTAL CENTRE PTE. LTD.,MCF-2023-0631708,43 JALAN MERAH SAGA 278115,"Part Time, Full Time",Executive,1 year exp,"Customer Service, Healthcare / Pharmaceutical, Hospitality, Medical / Therapy Services, Professional Services","['$1,500to$3,500']",Monthly,11 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description
Responsibilities:

Able to communicate with clients
Handle general admin tasks such as filing, phone calls and e-mails
Handle any administrative or miscellaneous tasks if required
Requirements:
At least diploma.
Minimum 1 year administrative work experience
Proficient in MS Word and Excel
Able to work independently
Meticulous, motivated, proactive, multi-tasking
Responsible and willing to learn
Good communication and interpersonal skills, able to handle stress
Work Schedule:
Weekday: 830 am to 630 pm
Weekend: 9 am to 6 pm
Full time: 44 hours a week

Position open to candidates interested in full-time , or part time full day - at least 3-4 full days shifts
Only shortlisted candidates will be notified."
Supervisor (Delifrance Singapore),OUE RESTAURANTS PTE. LTD.,MCF-2023-0719874,,Full Time,Junior Executive,2 years exp,F&B,"['$2,000to$2,300']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
ABOUT DELIFRANCE (www.delifrance.com.sg)
Délifrance is a French café chain offering a variety of pastries and breads. Emphasizing on fresh daily baking at each outlet for its signatures - Baguette, Feuilleté, Viennoserie and the Buttery and aromatic Croissant, using the finest French butter and flour.
From serving up fresh signatures, it offers delicious, healthy, and freshly made-to-order sandwiches, to the sweet treats of cakes and tarts, Délifrance has established itself as a firm favourite over the decades in Singapore and Hong Kong.

RESPONSIBILITIES
· Supervise and ensure smooth run of operations
· Responsible to provide courteous and efficient food & beverage services to guests
· Work with manager and staff on shift to ensure delivery of excellent service
· Manage customer’s feedback, communicate back to staff and fellow managers, and take a course of action that will improve the service standards and food quality
· Responsible for cleanliness and great ambience of the store to ensure customer’s comfort
· Recommend repairs and maintenance of machines, furniture and fixtures in the store including the cold room
· Control wastage, spoilage, pilferage and incorrect portioning
· Responsible for maintaining a high level of morale and team spirit within the outlet.
· Check on inventory, ordering and purchases of all stock items and storeroom organization
· Ensure that outlet has a par stock inventory plan in-placed and ensure no out-of-stock situation
· Administration and reporting
· Responsible for banking-in of daily sales money
· Ensure that all reports and records are submitted on time.
· To perform any other duties from time to time when required as assigned by immediate supervisor or other representative of the management"
Admin and Accounts Assistant | Carpark Admin | Bartley - 4769,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0719935,,"Permanent, Full Time",Junior Executive,2 years exp,Admin / Secretarial,"['$2,100to$2,300']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Admin and Accounts Assistant | Carpark Admin | Bartley

Working Days & Hours: 5 days | Mon-Fri: 9am to 6pm
Working location: New Industrial Rd (Bartley)
Salary: $2100-$2300

Job Responsibilities
Perform carpark administrative duties.
Handle client’s enquiries through calls and email.
Handle client’s invoices in a timely manner.
Assist in processing and updating client’s data.
Assist in performing month-end closing duties.
Any other duties assigned.
Job Requirements
Diploma in any field
Relevant Experience

For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group
The Supreme HR Advisory Pte Ltd | 14C7279
Ong Boon Kiet (Travys) | R22104769
Senior Recruitment Consultant"
Part time Call Center Staff #HMS,RECRUIT EXPRESS PTE LTD,MCF-2023-0718689,,Part Time,Junior Executive,1 year exp,Customer Service,"['$2,000to$3,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Part time Call Center Staff
4 months
AMK
11 per HOUR
minimally 3 days / week, from 830am to 6pm in office - rosters will arrange with supervisor, please give them roster 2 weeks in advance.

Call centre

Interested candidates, do submit your resume to: jocelynchan@recruitexpress.com.sg

Telegram me at @jocelynchan
Jocelyn Chan Recruit Express Pte Ltd (Healthcare & Lifescience) Company EA Licence number : 99C4599 Personnel EA License: R1331820 jocelynchan@recruitexpress.com.sg"
Junior Infrastructure PM,OPENSOURCE PTE. LTD.,MCF-2023-0718507,,Contract,Junior Executive,2 years exp,Information Technology,"['$4,000to$6,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
This position is responsible for planning, executing, and finalizing projects according to strict deadlines and within budget. This includes acquiring resources and coordinating the efforts of team members and third-party contractors or consultants in order to deliver projects according to plan. The Project Manager will also define the project’s objectives and oversee quality control throughout its life cycle.
PRIMARY RESPONSIBILITIES:
• Develop full-scale project plans and associated communication documents
• Effectively communicate project expectations to project team members and stakeholders in a timely and clear fashion
• Estimate the participants needed to achieve project goals.
• Set and continually manage project expectations with team members and other stakeholders.
• Identify and manage project dependencies and critical path
• Plan and schedule project timelines and milestones using appropriate tools
• Develop and deliver progress reports, proposals, requirements documentation, and presentations
• Coordinate with all the Technical SMEs, PMs and vendors
• Raise appropriate Changes, Service request and Incidents required for project execution.
• Arrange appropriate downtime with Client PMs and stakeholders
• Manage the overall Storage projects
• Send communication to all the stakeholders, owners before any scheduled change
• Participate in Major infra weekends and client communication calls
• Attend all the management, client technical meetings
MINIMUM QUALIFICATIONS:
• Bachelor’s Degree or equivalent education and/or work experience
• 2+ years direct work experience in a project management capacity, including all aspects of process development and execution
• Must have done large scale Sever, Storage or any other DC infrastructure migration in past.
• Knowledge of ITSM tools and had prior experience in managing changes.
• Must be PMP or Prince2 certified or any other PM certification.
PREFERENCE
• Preference will be given to the candidates having Knowledge of ITIL methodologies (ITIL certified)
• Preference will be given to the candidates did migration, build and encryption of Storage in past."
Shipping Coordinator,TMO MANUFACTURING PTE. LTD.,MCF-2023-0644674,6 TUAS LINK 1 638592,"Permanent, Full Time",Non-executive,2 years exp,"Admin / Secretarial, Logistics / Supply Chain, Manufacturing","['$2,300to$2,800']",Monthly,22 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Roles & Responsibilities
Prepare shipping documents and labels
Arrange booking for the forwarder
Process documentation for import and export shipments and local deliveries
Verify and secure handling of documents to ensure all regulatory requirements are met
Coordinate with customer, planner and vendors to ensure a smooth flow in daily operations
Responsible for the shipping schedule to ensure the parts meet the customers on time
Requirements
Proficient in Microsoft Office
Excellent communication and customer service skills
Ability to work independently in a collaborative team environment
At least 2 years of relevant working experience
Benefits
Yearly Increment
Performance Bonus
Working Location – Tuas Link 1 (7mins walk from Tuas West Road MRT Station)
Working Time - Mon to Fri (8.30am to 6pm)"
Warehouse Operations Executive,PAPA PALHETA PTE. LTD.,MCF-2023-0718619,,"Permanent, Full Time",Executive,1 year exp,Logistics / Supply Chain,"['$2,000to$3,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
Job Responsibilities:

Pack and fulfil online sales and ecommerce orders through the efficient use of in-house and 3rd party delivery partners
Receive incoming and outgoing shipment within the warehouse
Coordinate all logistics activities and work with inter-department heads across different business units
Monitor warehouse inventory and inform Product Managers if stocks are running below par level
Provide feedback and suggest ways to improve operations and ensure cost-efficient and timely delivery of shipment and goods in line with the business needs
Participate in monthly stock-take and provide monthly closing reports
Support with any other administrative duties or special projects as required
Minimum Requirements:
At least 1 year of work experience in a similar position
Diploma/Bachelor’s Degree in Logistics & Supply Chain Management or equivalent
Familiarity with Shopify and marketplace ecommerce platforms such as Lazada, Shopee, Fairprice and Amazon
Experienced/Comfortable with operating pallet stacker/pallet jack
Proficient use of Microsoft Excel
Ability to communicate in written and spoken English and a positive mindset and “can-do” attitude to continuously strive to make things better
Possess a Class 3 Driver’s license will be a bonus"
