title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Project Admin,SOON POH TELECOMMUNICATIONS PTE LTD,MCF-2023-0718865,23 WOODLANDS TERRACE 738472,Full Time,Junior Executive,2 years exp,"Admin / Secretarial, Others","['$2,500to$3,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Assist Project Manager in project roll-out
In charge of Site access arrangement
Ensure Documentation meets requirement
Updating of project status
Update project progress report
Perform administrative support and duties
Liase with Finance on billing matters
Requirement
ITE / relevant experience
Computer literate
Good knowledge of MS Office (Words, Powerpoint and Excel)
Team player and able to work independently"
Project Coordinator,EARNEST DESIGNER & PROJECT PTE. LTD.,MCF-2023-0419605,"CT HUB, 2 KALLANG AVENUE 339407",Full Time,Executive,2 years exp,Architecture / Interior Design,"['$2,700to$3,500']",Monthly,11 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description
* Project Management
* Oversee and supervise office renovation work
* Communicate and liaise with clients, suppliers , subcons and building management
* Handle project submission and work processes

Job Requirement
* At least 2 - 3 years working experience
* Safety supervisor certificate or relevant certificates
* Knowledge of building management is an advantage
* Good attitude and responsible
* Hardworking"
Project Coordinator,FINEBUILD SYSTEMS PTE LTD,MCF-2023-0718645,"SINDO INDUSTRIAL ESTATE, 74 TAGORE LANE 787498","Permanent, Full Time",Junior Executive,1 year exp,Building and Construction,"['$2,800to$4,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description :

To manage projects by supervising and coordinating the site activities
Monitoring of work progress, attending project meetings, liaising with clients and consultants
Carrying out all shop drawings, method statements submission
Ensures the timely preparation of project progress reports, inspection records, handover records, defects list etc. Record all defects of works, ensure proper documentation for all variation orders and others
Ability to complete and hand over projects within tight timeline and quality expectation
To make pro-active response on site problems and resolved immediately with the Project team
To ensure all aspect of QA and QC matters
Observe proper construction safety measures and ensure safety compliance at site
Any other duties as assigned

Requirements:

A bachelor's degree or at least a high school diploma and other relevant qualifications
Min 2 years of relevant working experience in interior fit-out works or construction field is required
Able to work independently and under tight schedule
Good project coordination and management skill
Able to read architectural & technical drawings thus translates to construction activities
Possess relevant safety certifications like BCSS"
Project Manager,ONE TECHNOSOFT GROUP PTE. LTD.,MCF-2023-0719908,,"Full Time, Flexi-work, Internship/Attachment",Executive,,"Consulting, Customer Service, Information Technology","['$2,400to$2,800']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description:
As a Software Consultant at One Technosoft, you will play a key role in assisting our clients in optimizing their software development processes and IT systems. You will work closely with clients to understand their specific needs, provide expert recommendations, and oversee the successful implementation of software solutions. Your expertise will contribute to our clients' success and the growth of our consulting practice.
Key Responsibilities:
Client Assessment: Conduct thorough assessments of clients' software and IT systems to identify inefficiencies, challenges, and opportunities for improvement.
Solution Recommendation: Collaborate with clients to define their software requirements and provide recommendations for customized software solutions, software architecture, and technology stack.
Project Management: Lead or participate in software development and IT projects, ensuring they are delivered on time and within budget. This may include project planning, resource allocation, and risk management.
Technical Expertise: Stay up-to-date with industry trends, emerging technologies, and best practices in software development and IT. Share this knowledge with clients to help them make informed decisions.
Client Communication: Maintain clear and effective communication with clients throughout the project lifecycle, addressing concerns, providing progress updates, and managing expectations.
Quality Assurance: Oversee software testing and quality assurance processes to ensure the final product meets the client's requirements and is free of defects.
Documentation: Prepare detailed project documentation, including project plans, technical specifications, and user manuals.
Training: Training will be provided to support to clients' teams, enabling them to effectively use and maintain the implemented software solutions."
PROJECT ENGINEER,ENVIPURE PTE. LTD.,MCF-2023-0719843,2 TUAS AVENUE 10 639126,Full Time,Executive,3 years exp,"Building and Construction, Engineering","['$2,500to$3,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
JOB DESCRIPTION
Plan and co-ordinate on the project progress and schedule and ensure timely completion
Attend project meeting and prepare report for project progress update
Prepare project budget and cost estimation
Coordinate and plan to achieve project milestones, project deliverables and schedule monitoring
Manage, control and monitor all project activities such as engineering design, site execution, testing and commissioning of project
Prepare / review as built iso for claim purpose, follow up with client for any outstanding DO issue
To prepare progress claim report and submit progress claim documents according to client requirement
To prepare operations and maintenance manual after project completion
To coordinate with inter-departments for operations matters (procurement, engineering, group office)
Competency Requirements
Diploma or Degree in Mechanical Engineering
At least 3 years of working experience in the related field
Familiarity with semi-conductor/construction industry
Proficient in Microsoft Office
Knowledge of QA/QC procedure (PQR/WPS) will be an added advantage
Multi-tasking team player with excellent interpersonal and communications skills
Attended QEHS related awareness training"
Project Accountant,BEATHCHAPMAN (PTE. LTD.),MCF-2023-0718898,"TWENTY ANSON, 20 ANSON ROAD 079912","Permanent, Full Time",Middle Management,4 years exp,Accounting / Auditing / Taxation,"['$6,000to$6,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
A market leader in the Manufacturing industry is seeking a Project Accountant to join their fast-growing organisation.
Reporting to the Finance Director, you will be the key driver in the management of financial transactions (Payments, Receivables, Journal entities), reporting, forecasts, budgets. You will be a key business partner to functions like project engineers, managers and sales team pertaining to supplier payments, bank guarantees, cash forecasts and tax/audit preparation. This involves driving management reporting for stakeholders, as well as overseeing the fixed assets, and preparation of financial for project reviews.
The ideal candidate should have a degree in Accountancy and Finance and have minimum of 4 years of relevant project accounting experience. You enjoy working both independently and within a team, while possessing strategic thinking and the ability to drive changes for the growth of the business.
If you are keen, please click on the link to apply or email me with your updated CV at jillian.yip@ethosbc.com. Alternatively, if you are looking out within the finance space, feel free to send across your resume."
Project Engineer / Senior Project Engineer (Electrical),PURETECH ENGINEERING PTE LTD,MCF-2023-0718367,"UB. ONE, 81 UBI AVENUE 4 408830",Permanent,Executive,3 years exp,"Building and Construction, Engineering","['$3,000to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Description
Responsible for taking over the project from tender / sales team for execution
Prepare PEPL’s Scope of work and create project schedule based on the scope - document submission list, material submission list, material lead time, installation and testing period
Create Document submission & Material submission list and prepare submissions
Design & review the drawings and documents for timely submission to customer
Monitor submissions & follow up with customer for timely approval of the documents & material submissions
Prepare Purchase Requisitions for purchase of necessary project materials on time and coordinate with purchase team and our subcontractor / supplier
Plan the construction site manpower requirement together with Superintendent
Coordinate with Superintendent / Construction Manager / Site supervisor for site work activities installation, testing & commissioning and progress report
Maintain & update Project schedule regularly and prepare Weekly / Monthly Progress report for internal & customer
Participate in regular customer meetings & proactively manage customer expectations by preparing necessary submissions / agenda / minutes of meeting etc.
Manage the project cost within allocated budget
Maintain Change Order Log and proactively manage change in scope. Prepare RFI / VOR and get VO from customer before executing the scope change.
Prepare Progress Claims timely and follow up for approval and maintain Progress Claim Summary report
Escalate challenges / issues to the Project Manager & management to resolve it on time
Collaborate with Customer, Consultant, Owner, Third Parties, Suppliers & internal team members for successful project execution
Organize & coordinate for Factory Acceptance Testing (FAT) of necessary equipment
Perform pre-punch list walk thru with PM and Superintendent
Clearing of punch list defects in collaboration with site team
Prepare & provide training to customer for necessary equipment (as applicable)
Responsible to collect all Handover & completion documents
Manage & Comply with Workplace Safety & Health for project execution
Organize necessary safety training for the project & site team members
Comply with the PQP document for project execution
Requirement
Diploma/Degree in Electrical Engineering or related studies
More than 3 years of project management experience in related field
Experienced in handling multiple projects
Possess effective organizational and follow-up skills, meticulous
Good interpersonal skills and able to interface with all levels, internally and externally, in a professional and responsive manner"
Project Engineer,FIRE-GUARD ENGINEERING PTE. LTD.,MCF-2023-0550848,,Full Time,Junior Executive,2 years exp,"Building and Construction, Engineering","['$2,200to$4,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Project/Site Management
Liaison with Clients, Main Contractors, Suppliers
Attend Site Meetings
Attend Site Inspections
Material Planning and procurement
Manage sub contractors
We are an established Fire Protection Company with more than 40 years in the industry, looking for Project Supervisor/Asst Engineer / Engineer to join our Team.
In you are a proactive person with self initiative,take pride and ownership in your work, and fulfill the above job qualifications, you are just what we are looking for.
Interested parties to join our cohesive team, send your CV to fgeplhr@gmail.com"
Project Designer,ANDY FISHER WORKSHOP PTE. LTD.,MCF-2023-0386741,"HENDERSON INDUSTRIAL PARK, 203 HENDERSON ROAD 159546",Full Time,Professional,10 years exp,Architecture / Interior Design,"['$6,000to$7,000']",Monthly,6 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Andy Fisher Workshop Pte Ltd (AFW) is a Singapore-based design consultancy offering integrated Building Design and Interior Design services across SE Asia. We are seeking applicants with proven experience especially in hospitality, residential, high-end residential hospitality, commercial or mixed-use projects, for the role of Project Designer in our growing studio.
Role Responsibilities:
Manage complex multiple aspects of project coordination, including documentation coordination with consultant team, client and contractors.
Review and evaluate construction drawings, specifications, details for implementation at site, RFI and other site queries.
Visit site to review progress, quality and to resolve technical, material and coordination issues to ensure design intent and quality is maintained.
Work with the design team to revise and manage the preparation, revision and issue of construction related drawings, documents and details.
Role Requirements:
Excellent communicator – both graphically and verbally.
Ability to multi-task and meet given deadlines.
A good team player – communicative, self-motivated, willing to take initiative and open minded.
Demonstrate minimum 10 years relevant experience.
Relevant educational qualifications (degree/diplomas/professional accreditation).
Excellence in AutoCAD, Photoshop, 3D and presentation software. BIM experience is a plus."
Project Designer,OUR RECRUITERS LLP,MCF-2023-0375764,,"Permanent, Full Time",Executive,2 years exp,"Architecture / Interior Design, Building and Construction, Design, Engineering, Real Estate / Property Management","['$4,500to$7,000']",Monthly,3 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Project Designer
Email : CV@ourrecruiters.com

Design brief & Design conceptualization
Understand the design & concept of ID drawings.
Propose new design concepts if required.
Source for sample material (For design-build projects only) and prepare sample board according client sample.
Client liaising and communication.
Design submission & detailing
Prepare schematic M&E drawings for PE endorsement.
Prepare drawings for mall submission according to submission requirements.
Work out technical and construction details including loose furniture & fixed furniture items for factory production.
Technical discussions with production team.
Design co-ordination
Monitor off-site production for compliance with design details and material specification.
Monitor off-site production timeframe.
Advise site supervisors on requirements at site and refer to QS when clients require changes.
Update team over the course of the project for design related issues.
Occasional site visits.
Handover
Pre-handover inspection with team, client, and mall.
Prepare and submit as-built drawings to mall after project completion.
Other duties
Support team members as and when required.
Requirements
At least Diploma in interior design / architecture
At least two years in relevant field
Organized, able to manage time, independent under minor supervision.
Able to work under tight deadline."
