title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Geotechnical Design Engineer / Tuas / Up to $5,500",WORKSTONE PTE. LTD.,MCF-2023-0724091,We arrange your future! Our Consultants have more than 5 years of experience and our aim is to provide the best service for all our clients.,,Permanent,Non-executive,5 years exp,"Building and Construction, Engineering, Environment / Health, Sciences / Laboratory / R&D",1,"['$3,000to$5,500']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Responsibilities:
✅Prepare Bill of Quantities, Soil Investigation, work with vendor & agency for finalization.
✅Evaluate Soil Investigation for accurate specification for design.
✅Prepare back up calculation & calculate Pile capacity for various soils/rock.
✅Test pile location plan/ Pile reinforcement calculations & drawing preparation.
✅Validate of pile capacity by Pile load test (Vertical / Lateral / Pull out).
✅Piled Raft design using latest design tools and theories.
✅Design using PLAXIS 2D Software for i.e Sheet pile /Diaphragm wall-struture/contiguous pile
✅Design of all components i.e Anchor capacity, water & structure design, modelling top-down method
✅Dewatering system design. (Well point, Drawdown calculations, Open dewatering).
✅Seepage control techniques like Jet -Grouting, slurry wall & flow net calculations.
✅Soil improvement using stone column
✅Design of stone columns, settlement calculations & Liquefaction calculations.
✅Swelling soil management techniques.
✅Back Fill material specifications & various compaction techniques used for different back fill materials.
✅Slope stability calculations and analysis

Requirements:
Bachelor’s Degree/Diploma in Civil Engineering
Min 5 years experience in Geotechnical design
Experience in analysis & design tools like PLAXIS 2D/3D, SLOPE/W, A-PILE & L-PILE


Interested applicants, please send in your updated resume by clicking “Apply Now”
Lin Weikang
Registration Number: R21102570
Workstone Pte Ltd
EA License Number: 19C9998"
Civil Engineer - Viaducts Project - MNC,TRUST RECRUIT PTE. LTD.,MCF-2023-0729051,No information added.,,Full Time,Junior Executive,3 years exp,"Building and Construction, Engineering, Risk Management",1,"['$3,500to$6,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Responsibilities:
Develop comprehensive construction schedules to ensure projects are completed on time.
Create detailed method statements and work instructions to provide clear construction guidance.
Act as a bridge between clients and subcontractors, facilitating effective communication.
Participate in stakeholder meetings to offer insights and updates on project progress.
Generate, oversee, and manage project reports, meetings, and essential documents.
Explore alternative work methods to improve operational efficiency.
Address technical and engineering challenges to ensure smooth project execution.
Ensure strict compliance with quality, environmental, health, and safety standards.
Job Requirements:
Possess a degree or diploma in Civil Engineering or equivalent.
Have a minimum of 2 years of relevant experience as a Civil Engineer.
Ideally, have exposure to LTA infrastructure projects.
Demonstrate expertise in foundation, structural, ERSS, and viaduct projects.
Proficiently use Microsoft Office and AutoCAD for project documentation.
Preferably hold certifications such as CSCPM, BCSS, Confined Space, or WAH.
HOW TO APPLY:
Interested applicants, please click on “Apply Now” and provide the below details in your resume.
We regret only shortlisted candidates will be notified.
Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).
Please read our privacy statement on our corporate website www.trustrecruit.com.sg.
Trust Recruit Pte Ltd
EA License No: 19C9950
EA Personnel: Jordan Fung Si Jong
EA Personnel Reg No: R23112945"
RESIDENT ENGINEER,ECAS CONSULTANTS PTE. LTD.,MCF-2023-0697771,ECAS CONSULTANTS PTE LTD,"HOI HUP BUILDING, 16 JALAN KILANG 159416",Full Time,Executive,4 years exp,Building and Construction,1,"['$6,000to$8,500']",Monthly,23 applications,Posted 12 Sep 2023,Closing on 12 Oct 2023,"Roles & Responsibilities
ECAS Consultants Pte Ltd
Established Civil & Structural Engineering Consultancy Firm is looking for:
Resident Engineer
Degree in C&S Engineering
Min. 4 years of relevant experience as a civil engineer, of which at least 2 years shall be in supervision works.

Accredited by JAC of IES/ACES as QSS"
Site Engineer (Civil),GREENMARK CONSTRUCTION PTE. LTD.,MCF-2023-0728661,GREENMARK CONSTRUCTION PTE. LTD.,,Full Time,Professional,3 years exp,"Building and Construction, Engineering",1,"['$4,000to$5,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Job Responsibilities:
Able to plan / coordinate site works and resolve drawing details and discrepancies.
Able to liaise with consultants and subcontractors.
Able to work independently and as a key member of the Site Management.
Ability to identify potential and occurring problems that affect the schedule of works at site and recommend solutions to relevant team/department.
Review drawings for conflicts with Structural/M&E and liaising with consultants to resolve issues.
Ensure all works are carried out within schedule and maintain the required quality.
Ensure work safe environment at the work site and manage workers.
Assist Construction/Project Manager in overseeing the daily construction and site coordination of different activities.
Responsible for preparing, submission and monitoring of technical drawings, method of statements and shop drawings.
To monitor the progress of work against the baseline schedule & preparation of daily records & monthly site progress reports.
Responsible for general on-site technical and engineering matters.
Quality Control.
Co-ordination of works with subcontractors.
Liaise with the consultants on technical and quality issues.
Arrangement for inspection of works.
Job Requirements:
Bachelor degree in Civil Engineering or related equivalent
Required skill(s): MS Office, preferable candidate with AutoCAD skills
Minimum 2 years Site/Working Experience"
Civil Structural Engineer,"DL E&C CO., LTD.",MCF-2023-0728842,"DL E&C Co., Ltd. (formerly known as Daelim Industrial Co., Ltd.), one of the globally leading construction contractor is looking for qualified people for Building Construction, Marine Reclaimation and Land Transport Railway Construction. DL E&C has enjoyed a good reputation for its successful completion of numerous international projects in the Middle East and Southeast Asia on Petrochemical Plant, Civil, Building, and Housing Area. Qualified candidates are welcomed to join us in this project to contribute the development of infrastructure of Singapore",,Full Time,Executive,5 years exp,Building and Construction,1,"['$4,000to$7,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description
Assist the design manager and supervise overall progress of design works on site
Manage the drawing submission schedules based on the planned work progress
Coordinate and review all design matters with LTA, authorities, consultants, subcontractors, etc.
Provide technical solution/advice on design issues to related teams
Manage and control design deliverables related to BIM, technical, contractual and cost issues
Manage subcontractors, review shop drawings to check to meet all design requirments
Requirements
Minimum 5 years of engineering experience with Degree
At least 3 years of experience in the design of civil & structures / Architectural works for LTA MRT projects"
Project Engineer,SEN LIN CONSTRUCTION PTE. LTD.,MCF-2023-0728627,No information added.,"BIZTECH CENTRE, 627A ALJUNIED ROAD 389842",Full Time,Executive,3 years exp,Building and Construction,1,"['$3,000to$5,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description:-
· Understand project requirements and concepts
· To liaise with consultants, supervisors, QS and the general workforce involved in the project,
· Oversee drawing management and control of technical document
· Coordinate of document submission to client and appropriate agencies.
· Created and modification of AutoCAD(2D & 3D) drawing for submission and comply to specified criteria and standards,
· Collaborate with project teams on drawings and documentation for distribution and filling.
· Assist with engineering-related documentation and administration, as well as any other responsibilities that may be assigned from time to time.
· Provide daily work plan to site team and coordinate on progress.
· Participate in Key Site surveys, Installation works as per works requirement .
· Monitor project tool, equipment and consumables requirement.
· Work closely with Project Manager to ensure timely completion of project.
· Any other duties assigned by thecompany from time to time.

Job Requirements:-
· Minimum 3 years local experience in construction industry required.
· Able to work independently and working in construction working environment.
· Recognized Diploma/Degree in Civil Engineering or its relevant
· AutoCAD
· Microsoft Office
· Initiative and Self Motivated
· Able to manage new and existing projects to achieve project objectives.
Problem-solving attitude"
Senior Water Infrastructure & Drainage Engineer (Engineering Consultancy),KINGSFORCE MANAGEMENT SERVICES PTE LTD,MCF-2023-0640804,"A specialized recruitment firm with 27 years of track records recruiting in the Construction, Oil & Gas, and Pharma industries. We work with Fortune 500 companies and state-owned companies for Singapore & overseas hiring demands. Kingsforce Management Services Pte. Ltd. | EA Licence: 94C3545","ONE COMMONWEALTH, 1 COMMONWEALTH LANE 149544",Permanent,Professional,10 years exp,Building and Construction,1,"['$10,000to$12,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
About our client: Our client is a leading global multidisciplinary engineering consultancy.

About the role:
Developing and designing stormwater management structures such as pump stations, detention tanks, outlet drains/canals etc and carrying out master planning of catchment schemes.
Providing technical input and support to the Water Department in Singapore
Checking and reviewing projects for other departments when required
Responsible for leading feasibility studies, designs, and technical support to clients on urban water infrastructure projects
Regular liaison with colleagues from other business units to share knowledge and best practices
Prepare and produce design presentations in various formats including PowerPoint, posters, etc.
Work with suppliers to select, and prepare material, equipment, and their specifications to support the project design intent
Support the construction supervision and implementation of projects
Provide project management to ensure efficient delivery of projects within set time frames and procedures.
About you:
Master's or Bachelor’s degree in civil engineering.
More than 10 years of experience in the study and design of water/wastewater networks, stormwater management measures and drainage improvement measures (including pumping station(s), its operating regime(s), drain upsizing(s), road raising;
Experience and strong knowledge of climate change and developing adaptive pathways to build resilience in urban areas
A registered Professional Engineer with the Professional Engineering Board (PEB) in Singapore
People management experience from similar roles or project manager roles.
Significant professional experience and domain knowledge, where a significant component should be from the lead role on subject matter and/or management of teams preferably in an international context.
Experience and/or knowledge of the Asia Pacific market and work experience in this region.
Strong English language skills (written and oral), along with strong communication and negotiating skills.
Personal qualities that will help you succeed in this role include:
Strong commercial and business acumen and ability to drive execution on deliverables.
You will be a confident communicator and lead technical teams to deliver to client needs.
*Please note that only shortlisted candidates will be contacted.

EA Name: Kingsforce Management Services Pte. Ltd.
EA License No: 94C3545
EAP Name: Paola Jane Ofrasio Fajardo
EAP Reg. No: R1325507"
Specialist Mining Engineer (Contract),VENTURE COVE PTE. LTD.,MCF-2023-0620798,No information added.,"OXLEY TOWER, 138 ROBINSON ROAD 068906","Contract, Full Time",Professional,10 years exp,"Building and Construction, Engineering, Professional Services, Others",1,"['$7,000to$8,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job posting for Singapore location

#hiring
#singaporejobs
#singaporeans
#Projectmanager



Company Overview
Our client is a n European company specialized in testing, inspection and certification founded in 1828. It operates in a variety of sectors, including building and infrastructure (27% of revenue), agri-food and commodities (23% of revenue), marine and offshore (7% of revenue), industry (22% of revenue), certification (7% of revenue) and consumer products (14% of revenue).
It is present in 140 countries through a network of over 1,500 offices and laboratories, and 84,000 employees. It generated €5.65 billion in revenue in 2022.

Job highlight
Ø Working opportunity with a well-known & established European company
Ø Job status: Project based Contract job| 5.5-days’ work week
Ø Bugis location
Ø High Salary | Nearby MRT station

Responsibilities
· To review (with calculations) the Contractor’s design, supervise and co-ordinate all aspects for the mining works.
· To ensure that the construction is carried out in accordance with the design, all relevant standards, contract specifications, approved method
· To prepare and develop detailed supervision schedule and comprehensive checklist for the conduct of the inspection and excavation construction activities associated with the micro-tunneling and mining works. This shall include at critical interfaces with adjacent important structures such as MRT and Tunnel, Road Flyover and Canal.
· To review construction drawings, method statements and construction sequence for all aspects of the temporary and permanent works of the micro-tunneling and mining works. Their interface with the cut-and-cover tunnels, modification proposals to the design and construction methods.
· To follow-up and supervise all modification at every stage of the mining construction including excavation, concreting, installation of support/stabilizing elements, casting of concrete and all other works to achieve the full completion of the tunnel in a safe manner.
· To conduct daily review meeting on site with the civil contractors, Qualified Person and Geotechnical Instrumentation and Monitoring contractor. He shall ensure that geotechnical and tunneling data are synchronized for optimal and safe tunneling
· To prepare reports to preserve the knowledge and experience gained from the project, addressing all aspects of the micro-tunneling and future improvements.

Requirement
· Degree in Civil Engineering or Building Construction
· Relevant technical certifications will be advantageous
· 10 years of relevant experience in supervising mining and micro tunnelling works in the civil projects
· Expertise in the management ofthe overall Project schedule
· Skill in Handlingdisputes or differences that may arise between the Company and the EPC Contractors or other parties in association with the Project and assist in settling them.
· Proven skills in maintainingand providing records and documentation for the Project and handover the consolidated document and as-built drawings (as approved by the relevant Government Agency(ies)) to the Company upon completion of the Project
· Time management and organization skill
· Excellent communication skill in English and local languages (Chinese, Mandarin, Bahasa Melayu, Tamil, etc.) to communicate with the stakeholders and vendors easily.
· Negotiation skills | Risk analysis skill| High level of business acumen
· Possess good attitude, Proactive
· Project Management skill will be advantageous
· Able to work independently.

Project Schedule / Work Details
· Nature of Project: Buildings & Infrastructure
· Starting date & duration: Will be advised on later date
· Working location: Bugis area
· Working days: 5.5 days’ work week
· Working hours: 8.30am – 5.30pm (will be confirmed on later date)
· Annual, Medical Leave, Insurances, Employer CPF, etc will be covered.

Salary & Benefits
· Monthly basic salary: SGD $7k-8K
· Annual: 12 days
· Medical Leave: 14 days
· Medical Insurances, Employer CPF, etc. will be covered.

NB: No quotas for the foreigners please. Singaporeans /SPRs only due to quota issue.
Please send your updated CV in MSWORD at leeza.shaheed@venture-cove.com, recruitment@venture-cove.com,mentioning your expected and latest drawn monthly basic salary, notice period and reason for looking for a new job opportunity.

Please contact our Consultant Leeza Shaheed (R1770675) for further enquiries about the roles @ leeza.shaheed@venture-cove.com.

Venture Cove Pte Ltd
(EA License 21C0547)
LinkedIn: http://www.linkedin.com/in/venture-cove-681891249/
Website: http://www.venture-cove.com/"
Senior Site Engineer #CIVIL #HIRING #JOBS,TALENT TRADER GROUP PTE. LTD.,MCF-2023-0727740,"TALENT TRADER GROUP PTE. LTD. Talent Trader is steered by young, dynamic professionals; each of them bringing their own vast experiences from leading Banks and HR Agencies. We provide efficient talent sourcing, recruitment and retention services that help companies acquire effective Mid-management talent. We offer the following value-added services for a variety of Mid-management positions across industry veticals such as Banking, Marine, Offshore, Retail, IT, F&B, Education, Manufacturing and Others: - Talent Sourcing and Recruitment - International Recruitment - Contract & Temporary Staffing - Payroll Services - Employment Passes",,"Permanent, Full Time",Executive,2 years exp,Building and Construction,1,"['$4,500to$6,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Responsibilities:
Controlling the performance and Safe work execution and contractual compliance.
Overall In-Charge for Site / Project Structure Works.
Help and assists Section Manager on day to day management of site including work Planning & scheduling procurement and deployment of necessary machinery equipment , materials and monitoring of progress of work .
Leads supervision of Civil and Structure works ( Earthwork , Piling and D’Wall Construction , Formwork, Scaffolding , Reinforcing Bar, Concreting , Structure Steel , and Metal work , Pre-cast Panel Installation , Aluminium Glass Panel Installation , Steel Metal Canopy Installation ) -Manages Subcontractors to ensure Quality standard are met and works are completed without Delay .
Check workmanship and quality against project specifications drawings and PQP requirements.
Carries out Inspection ( Structure works – Rebar , Formwork , and Concreting works ) and arrange inspection with RTO / RE ( Consultant Inspector ) .
Checks Construction drawings for accuracy and completeness for construction .
Coordinates and liaises with consultants and subcontractors for any drawing details or design discrepancies
Diaphragm Wall Construction, Diaphragm Wall Construction

Requirements:
Min Diploma / Degree in Civil Engineering or its’ equivalent
Experience in LTA/MRT Project is an advantage
Able to lead and work independently

Interested candidates who wish to apply for the advertised position, please click on the APPLY button below to send in your resume julie@talenttradersg.com

EA License No: 13C6305
Reg. No.: R1981808

For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us."
Civil & Structural Engineer,21A CONSTRUCTION PTE. LTD.,MCF-2023-0396501,"21A CONSTRUCTION PTE. LTD. We specialised in: Civil Engineering Works Building Works Specialized Works ---MRT and related ---Factory ---Municipal work ---Cut & Cover tunnel ---Housing Building ---Structural steel work --- Common Service tunnel --- School ---Wet trade work --- Mined Tunnel ---Tiling,Marble,etc",,Full Time,Senior Executive,4 years exp,Engineering,1,"['$3,000to$5,800']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
1. Prepare reports, designs and drawings.
2. Liaise with clients and a variety of professionals like RTO and subcontractors.
3. Monitor progress and compile reports in project status.
4. Ensure projects run smoothly and structures are completed within budget and on time.
5. Inspect project to ensure conformance to design specifications.
6. Estimate quantities and cost of materials, schedule materials and equipment purchase and delivery.
7. Other duties as assigned."
