title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Executive Assistant cum Office Manager (Central),JAC RECRUITMENT PTE. LTD.,MCF-2023-0696144,"JAC is an international recruitment consultancy with over 45 years of specialised recruitment experience across Asia and Europe. We have over 1,200 expert consultants who have a deep cultural understanding of the local markets they operate in. Combined with our regional network and specialised industry focus we are renowned for placing highly skilled permanent and contracting staff into specialist positions. In Singapore, we cover the Banking and Financial Services, Corporate Services, Digital and Information Technology, Healthcare and Life Sciences, Industrial, Sales & Marketing sectors. We also recruit for contract roles and have a dedicated team that can assist with hiring for Japanese-language skills. Our job board is updated daily so you can stay updated on jobs as they become available and find the next best role for you. EA License number: 90C3026","ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616","Permanent, Full Time",Executive,3 years exp,Admin / Secretarial,1,"['$4,500to$6,000']",Monthly,158 applications,Posted 12 Sep 2023,Closing on 12 Oct 2023,"Roles & Responsibilities
Executive Assistant cum Office Manager (Central)

Job Responsibilities:
In charge of overall daily office operations
Coordinate and schedule meetings with internal and external stakeholders
Create and prepare correspondence and presentations
Responsible for minutes taking during meetings and distribution of minutes
Prepare and distribute agendas, follow up as required
Assist in daily operations of respective departments
Office stationery and pantry purchasing, travel arrangements for internal and external
Scheduling and managing MS Teams for meetings
Attending events and exhibitions to represent and run exhibition booths.
Coordinate/support cross functional projects when nominated by management
Other administrative support (courier arrangement, meeting room booking etc.)
Requirements:
Possess at least University Degree in any field
At least 4 years of relevant working experience as Office Administrator/Executive Assistant in similar capacity
Ability to work under pressure, excellent multi tasking skill
Attention to detail
Able to deal with high level confidential information
If you are interested in the role, please click APPLY NOW
Please note that only shortlisted candidates will be contacted, thank you.
JAC Recruitment Pte. Ltd.

EA Licence Number: 90C3026
Personnel Registration Number: R22110815
Wong Sook Leng"
SECRETARY / EXECUTIVE ASSISTANT,M.T.M. SHIP MANAGEMENT PTE LTD,MCF-2023-0729026,"Established in 1988, MTM Ship Management has emerged as a leading provider of ship management for over 65 vessels consisting of chemical tankers, product tankers, LPG vessels, Container vessels and Bulk Carriers. In our pursuit for excellence we are seeking a dynamic individual with a passion for people development who can bring about a change not only in the people working ashore but also on board the ships.",78 SHENTON WAY 079120,Full Time,Executive,2 years exp,"Admin / Secretarial, Telecommunications",1,"['$3,500to$4,500']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description:

Ø Provide full secretarial and administrative support to the Managing Director
Ø Assist in the analysis of various processes and prepare agendas, presentation slides, reports as necessary
Ø Prepare reports, presentations, and correspondence accurately and swiftly.
Ø Perform accurate research and analysis on Maritime / Shipping industry if required.
Ø Coordinate arrangements, meetings and conferences as assigned.
Ø Take dictation and write correspondence.
Ø Daily record keeping and filing of documents
Ø Create and organize information and generate reference tools for easy use.
Ø Answer and screen telephone calls and respond to emails, messages, and other correspondence.
Ø Manage calendar, meeting coordination and travel arrangements.
Ø Ensure efficient and effective administrative information and assistance.

Requirements:

Ø Degree / Diploma in Business Administration or relevant field preferred.
Ø 2 years of experience in an executive support role in Shipping industry is an advantage.
Ø Methodical thinker with detailed research proficiencies
Ø Thorough understanding of clerical and secretarial principles.
Ø Strong knowledge of databases and tracking systems.
Ø Good organizational skills and detail oriented
Ø Ability to work under pressure and meet deadlines
Ø Good written and verbal communication skills
Ø Proficient in Microsoft Office."
Personal Assistant,CAL CONCEPT & LIFESTYLE PTE. LTD.,MCF-2023-0675105,"cAL — a space for modern self care that bridge the gap between medical-grade treatments and beauty. Our goal is to make these services more accessible and affordable for everyone — we believe that everyone deserves access to high quality, safe, reliable, and effective beauty options.",45 TRAS STREET 078984,Full Time,Junior Executive,2 years exp,"Admin / Secretarial, Customer Service, General Management, Personal Care / Beauty, Others",1,"['$2,500to$6,000']",Monthly,120 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
We are seeking a dedicated and organised Personal Assistant to support the CEO. You will play a crucial role in managing the CEO's schedule, handling administrative tasks, and facilitating smooth communication within the organisation. If you are a proactive and adaptable individual with excellent organisational and communication skills, we invite you to join our team.
Responsibilities:
Manage the CEO's calendar, schedule appointments, and coordinate meetings, ensuring efficient time management.
Prepare and organise documents, reports, presentations, and correspondence for internal and external communications.
Screen and manage incoming calls, emails, and inquiries, redirecting or responding as appropriate.
Assist in organising and coordinating events, meetings, and conferences, including logistics and travel arrangements.
Act as a liaison between the CEO and other team members, departments, clients, and vendors.
Conduct research and gather information to support the CEO's decision-making process.
Prioritise and manage tasks and projects to ensure deadlines are met and objectives are achieved.
Maintain confidentiality of sensitive information and handle matters with discretion.
Assist in personal tasks and errands as required to support the CEO's professional and personal responsibilities.
Requirements:
Bachelor's degree in Business Administration, Communication, or a related field (or equivalent experience).
Proven experience as a Personal Assistant or Executive Assistant, preferably in a fast-paced business environment.
Exceptional organisational skills and attention to detail, with the ability to multitask effectively.
Excellent written and verbal communication skills, including proficiency in business correspondence.
Strong problem-solving abilities and the capacity to work independently with minimal supervision.
Proficiency in using Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) and other relevant software.
Professional demeanour and the ability to interact confidently.
Discretion and the ability to handle confidential and sensitive information with integrity.
Flexibility and adaptability to accommodate changing priorities and tasks.
Interested candidate, please email resume to connect@cal.sg."
Executive Assistant (Admin) @Woodlands Nursing Home,REN CI HOSPITAL,MCF-2023-0639956,"Company Overview Ren Ci Hospital is an established Voluntary Welfare Organization (VWO) in rehabilitative and geriatric care, primarily serving the elderly community in Singapore. Ren Ci (??) means loving kindness and compassion which became the guiding principles in our delivery of affordable medical, nursing and rehabilitative care services, serving all regardless of background, race and religion. Our spectrum of care includes a community hospital, a chronic sick unit, two nursing homes and three day centres offering day rehab, day care and centre-based nursing services. Over the years, Ren Ci has evolved and expanded its services to meet the needs of a rapidly ageing population in Singapore, leverage on partnerships and engagement with the community to give dignity back to the elderly. As a dynamic healthcare organisation, we are looking for suitable professionals who have a passion for serving the elderly and who wish to build a career in the community care sector.",,"Permanent, Full Time",Junior Executive,5 years exp,Admin / Secretarial,1,"['$2,220to$2,800']",Monthly,14 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
BROAD FUNCTION
Provide front desk functions such as assisting clients, coordinating admissions, billing, and other administrative duties at the Business Office of Ren Ci @ Woodlands.

ROLES AND RESPONSIBILITIES
Provide front desk assistance to clients at the Business Office or via phone calls or emails.
Perform financial counselling for new admissions.
Coordinate admissions of residents / clients to Nursing Home (NH) / Senior Care Centre (SCC).
Provide administrative support such as accurate and timely billing to client, regular monitoring of payments & debts, and accurate and timely submission of data to relevant authorities.
Assist residents / clients with the application of government grants/subsidies (e.g., financial assistance grants).
Manage daily administrative functions of NH and SCC.
Arrange and coordinate for meetings, including preparing and distributing documents.
Support in the preparation of reports, dashboard, statistics, and presentation material for internal and external stakeholders.
Maintain the filing system / records to ensure timely retrieval of files and record when required.
Assist in the management of petty cash.
Support the Operations team when required.
Assist in welfare activities as and when necessary.
Perform other duties as and when assigned by Executive Director.

REQUIREMENTS
Minimum Diploma in any field.
Preferably 5 years of relevant working experience in healthcare industry or eldercare
Setting.
Strong proficiency in MS Office Word, Excel, PowerPoint, and Outlook.
Able to adapt and use different software applications.
Good interpersonal, communication and organisational skills.
Good oral and written English.
Good team player.
Able to work in a fast-paced environment.
Passionate to add value to the life quality of the elderly and enthusiastic of client interaction."
Senior Trade Management Executive / Assistant Manager (Pricing / Trade / Space Management / Logistics / Freight Forwarding),EA RECRUITMENT PTE. LTD.,MCF-2023-0728935,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Senior Executive,2 years exp,Logistics / Supply Chain,1,"['$3,500to$5,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
MNC Company
Basic $3500 - $5000 + AWS + Variable Bonus
Excellent Welfare and Benefits + Career progression
Working location: Bugis
Working day: Monday to Friday
Working hours: 8.30am to 6pm
Job Responsibilities:
Handle/feedback pricing enquires
Global bid participation, contract review and pricing input
Manage space utilization and monitoring of KPI
Take a leading role in communication channel with HQ
Performance review with customers
Any other duties assigned by Management
Job Requirements:
Minimum Diploma/Degree in in Logistics or equivalent
Related experience in Intra Asia trade
Possess knowledge in Pricing/Trade/Space management
Experience in Global bid management a plus point
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.

LIONG ZHAO GUAN (R22107632)
EA Recruitment Pte Ltd
EA License No: 21C0492"
Assistant Engineers / Engineers - Maintenance,RECRUITFLASH PTE. LTD.,MCF-2023-0729203,"RecruitFlash is a Singapore-based recruitment and staffing solution provider. At RecruitFlash, we understand that the success of an organisation depends upon the quality and productivity of its employees. By engaging us, we source and recruit quality talent for our clients in various industries. To ensure our service always deliver as per our commitment, our principle is to make sure every candidate that we recommend will be most suitable for our valuable client. We offer jobseekers and employers a wide range of services to meet their unique and specific needs. Our service covers: • Permanent Placement • Talent Searches • Executive Searches",,"Permanent, Full Time",Senior Executive,1 year exp,"Engineering, Information Technology, Manufacturing, Purchasing / Merchandising, Others",1,"['$4,000to$8,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
• Good Bonus - AWS + 3 month Variable Bonus / Permanent Role
Engineer / Electrical engineer / Project Engineer / Junior & Senior & Engineering can apply
• Entry level / Junior / Senior / No experience welcome apply X 3 Opening
• Full training provided
Responsibilities:
Manage the Supervisory control and data acquisition (SCADA) system and distribution management systems applications;
Involved in enhancement of the software functionality and troubleshooting to maintain system reliability and performance;
Maintain accurate records of maintenance activities, enhancements and fixes;
Collaborate and communicate with both internal and external customers to ensure smooth execution of projects and provide timely updates on project status;
Assist client for Annual Vulnerability Assessment and Penetration (VAPT) activity and follow up on the findings;
Follow up with product supplier and vendors, test and install the system patching when necessary;
Other ad-hoc duties as assigned.
Requirements:
Diploma/Degree in Electrical/Electronics/Computer/Software Engineering from a recognized Polytechnic/University;
Knowledge in programming languages such as C, C++ and Java;
Knowledge in Solaris and Linux Operating System;
Knowledge in oracle database, relational database management system (RDMS) and SQL commands;
Salary for experience candidates will be considered based on the years of experience and our internal salary structure
1 month AWS
Variable Bonus ranging from 1 to 3 months depending on individual and company performance
Working hours: 8.00 am to 5.00 pm / 8.30 to 5.30 pm / 9.00 am to 6.00 pm / 9.30 am to 6.30pm / 10.00am to 7.00pm
Working days: Monday to Friday (1 day work from home per week)
Annual Leave: 14 days up to 17 days for non-executive (Assistant Engineer and below)
18 days up to 21 days for executive (Engineer and above)
Medical benefits of $500 per financial year (Benefit is extended to spouse and children (below 21 years old) of married employees)
Insurance coverage: Hospital & Surgical (Benefit is extended to spouse and children (below 25 years old) of married male employees and child (below 25 years old) of married female employees)
Term Life
Personal Accident
Maternity Insurance for female employee and spouse of male employee on the birth of their 1st 2 children claimable up to delivery bill of $6,000.00 whichever is lower.
Flex Dollars of $500 per financial year
Free annual year-end Health Check-Up
Monthly Birthday Party Celebration
Monthly Sports Activities
New Born Gift
CSR Initiatives
Department Bonding Activities
Biennial team building and staff appreciation dinner
Gym Corner for employees to exercise
Interested candidates please send an updated Resume / CV in Ms Word format to lilian@recruitflash.com or WhatsApp’s your resume to 98332779 ( no Calls)
Consultant in-charge : Quah Li Lian (Lilian) ( Registration No: R1983286 )"
Assistant Engineer – Sub-Station Automation / ( Junior / Entry level),RECRUITFLASH PTE. LTD.,MCF-2023-0689921,"RecruitFlash is a Singapore-based recruitment and staffing solution provider. At RecruitFlash, we understand that the success of an organisation depends upon the quality and productivity of its employees. By engaging us, we source and recruit quality talent for our clients in various industries. To ensure our service always deliver as per our commitment, our principle is to make sure every candidate that we recommend will be most suitable for our valuable client. We offer jobseekers and employers a wide range of services to meet their unique and specific needs. Our service covers: • Permanent Placement • Talent Searches • Executive Searches",,"Permanent, Full Time",Junior Executive,1 year exp,"Engineering, Information Technology, Manufacturing, Purchasing / Merchandising, Others",1,"['$5,000to$10,000']",Monthly,4 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
• Good Bonus - AWS + 3 month Variable Bonus / Permanent Role
Engineer / Electrical engineer / Project Engineer / Junior & Senior & Engineering can apply
• Entry level / Junior / Senior / No experience welcome apply X 3 Opening
• Full training provided
Responsibilities:
§ Planning, co-ordination and execution of LTA and SMRT projects
§ To attend all interface and co-ordination meetings with different stakeholders and contractors
§ Installation, monitoring, supervision, testing and troubleshooting of RTU at site
§ Preparation of project documents and drawings
Requirements:
§ Relevant Diploma in Electrical Engineering/Computer Engineering from a recognised Polytechnic
§ Strong interpersonal skill with a positive attitude
Our benefits and compensation for permanent position are as follows:
Salary for experience candidates will be considered based on the years of experience and our internal salary structure
1 month AWS
Variable Bonus ranging from 1 to 3 months depending on individual and company performance
Working hours: 8.00 am to 5.00 pm / 8.30 to 5.30 pm / 9.00 am to 6.00 pm / 9.30 am to 6.30pm / 10.00am to 7.00pm
Working days: Monday to Friday (1 day work from home per week)
Annual Leave: 14 days up to 17 days for non-executive (Assistant Engineer and below)
18 days up to 21 days for executive (Engineer and above)
Medical benefits of $500 per financial year (Benefit is extended to spouse and children (below 21 years old) of married employees)
Insurance coverage: Hospital & Surgical (Benefit is extended to spouse and children (below 25 years old) of married male employees and child (below 25 years old) of married female employees)
Term Life
Personal Accident
Maternity Insurance for female employee and spouse of male employee on the birth of their 1st 2 children claimable up to delivery bill of $6,000.00 whichever is lower.
Flex Dollars of $500 per financial year
Free annual year-end Health Check-Up
Monthly Birthday Party Celebration
Monthly Sports Activities
New Born Gift
CSR Initiatives
Department Bonding Activities
Biennial team building and staff appreciation dinner
Gym Corner for employees to exercise
Good Pay + Good allowance + Good Bonus
Interested candidates please send an updated Resume / CV in Ms Word format to lilian@recruitflash.com or WhatsApp’s your resume to 98332779 ( no Calls)
Consultant in-charge : Quah Li Lian (Lilian) ( Registration No: R1983286 )"
Personal Assistant | PA to Country Director | Secretary| Shipping Industry | 5 Days | Jurong East - 4769,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0729189,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,Full Time,Senior Executive,5 years exp,Admin / Secretarial,1,"['$4,000to$5,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Personal Assistant to Country Director
Location: International Business Park (Near Jurong East MRT)
Salary: $4,000 - $5,500
Working days: 5 days, 9am - 6pm
Duties & Responsibilities:
Manage Director’s electronic diary, assessing priority of appointments and reallocation as necessary.
Manage Director’s travel arrangements (including visas/accommodation).
Process Director’s correspondence, ensuring that incoming correspondence is dealt with by the Director/or on behalf of the Director, or other staff as appropriate.
Maintain Director’s office systems, including data management and filing.
Maintain records of Director’s contacts.
Screen calls, enquiries and requests, and deal with them when appropriate.
Assist Director in researching and following up with action on matters which fall within the Director’s responsibility – chasing responses, triggering follow-up action.
Produce documents, briefing papers, reports and presentations for the Director.
Organize meetings and ensure that Director is well prepared for those meetings, preparing agendas, pre-meeting briefings and meeting papers.
Manage arrangements for Trustees’ and Sub-Committee meetings, including production/distribution of agenda and papers.
Assist/support Director, Development Manager & Communications Manager in arranging funding partner and other events.
Meet and greet visitors at all levels of seniority.
Supervise all Trust incoming/outgoing mail.
Any other duties as may reasonably be required by the Director.
Requirement:
Bachelor’s degree or equivalent.
With relevant Personal Assistant / Executive assistant experience
For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group
The Supreme HR Advisory Pte Ltd | 14C7279
Ong Boon Kiet (Travys) | R22104769
Senior Recruitment Consultant"
Assistant Engineer – System Integration & Engineering / ( Junior / Entry level),RECRUITFLASH PTE. LTD.,MCF-2023-0689919,"RecruitFlash is a Singapore-based recruitment and staffing solution provider. At RecruitFlash, we understand that the success of an organisation depends upon the quality and productivity of its employees. By engaging us, we source and recruit quality talent for our clients in various industries. To ensure our service always deliver as per our commitment, our principle is to make sure every candidate that we recommend will be most suitable for our valuable client. We offer jobseekers and employers a wide range of services to meet their unique and specific needs. Our service covers: • Permanent Placement • Talent Searches • Executive Searches",,"Permanent, Full Time",Junior Executive,1 year exp,"Engineering, Information Technology, Manufacturing, Purchasing / Merchandising, Others",1,"['$5,000to$10,000']",Monthly,12 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
• Good Bonus - AWS + 3 month Variable Bonus / Permanent Role
Engineer / Electrical engineer / Project Engineer / Junior & Senior & Engineering can apply
• Entry level / Junior / Senior / No experience welcome apply X 3 Opening
• Full training provided
Responsibilities:
§ Prepare technical construction drawings based on project specifications using AutoCAD
§ Carry out installation of Servers, Workstations, Network equipment
§ Perform Functional and Integration Testing
§ Perform site testing & commissioning
Requirements:
§ NITEC or Higher NITEC, Diploma in Engineering from ITE or a recognised Polytechnic
§ Proficient in Microsoft Office applications and AutoCAD
§ Able to work independently with the directions from Engineer / Project leads
§ Will be involved in projects dealing with database creation and configuration of SCADA systems
Our benefits and compensation for permanent position are as follows:
Salary for experience candidates will be considered based on the years of experience and our internal salary structure
1 month AWS
Variable Bonus ranging from 1 to 3 months depending on individual and company performance
Working hours: 8.00 am to 5.00 pm / 8.30 to 5.30 pm / 9.00 am to 6.00 pm / 9.30 am to 6.30pm / 10.00am to 7.00pm
Working days: Monday to Friday (1 day work from home per week)
Annual Leave: 14 days up to 17 days for non-executive (Assistant Engineer and below)
18 days up to 21 days for executive (Engineer and above)
Medical benefits of $500 per financial year (Benefit is extended to spouse and children (below 21 years old) of married employees)
Insurance coverage: Hospital & Surgical (Benefit is extended to spouse and children (below 25 years old) of married male employees and child (below 25 years old) of married female employees)
Term Life
Personal Accident
Maternity Insurance for female employee and spouse of male employee on the birth of their 1st 2 children claimable up to delivery bill of $6,000.00 whichever is lower.
Flex Dollars of $500 per financial year
Free annual year-end Health Check-Up
Monthly Birthday Party Celebration
Monthly Sports Activities
New Born Gift
CSR Initiatives
Department Bonding Activities
Biennial team building and staff appreciation dinner
Gym Corner for employees to exercise
Good Pay + Good allowance + Good Bonus
Interested candidates please send an updated Resume / CV in Ms Word format to lilian@recruitflash.com or WhatsApp’s your resume to 98332779 ( no Calls)
Consultant in-charge : Quah Li Lian (Lilian) ( Registration No: R1983286 )"
Assistant Engineer / Project Engineer – Protection Systems / ( Junior / Entry level),RECRUITFLASH PTE. LTD.,MCF-2023-0689910,"RecruitFlash is a Singapore-based recruitment and staffing solution provider. At RecruitFlash, we understand that the success of an organisation depends upon the quality and productivity of its employees. By engaging us, we source and recruit quality talent for our clients in various industries. To ensure our service always deliver as per our commitment, our principle is to make sure every candidate that we recommend will be most suitable for our valuable client. We offer jobseekers and employers a wide range of services to meet their unique and specific needs. Our service covers: • Permanent Placement • Talent Searches • Executive Searches",,"Permanent, Full Time",Junior Executive,1 year exp,"Engineering, Information Technology, Manufacturing, Purchasing / Merchandising, Others",1,"['$5,000to$10,000']",Monthly,9 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
• Good Bonus - AWS + 3 month Variable Bonus / Permanent Role
Engineer / Electrical engineer / Project Engineer / Junior & Senior & Engineering can apply
• Entry level / Junior / Senior / No experience welcome apply X 3 Opening
• Full training provided
Responsibilities:
§ Technical support for Protection Projects/Services
§ Handling testing and commissioning activities at site
§ Perform wiring check in workshop and at site
§ Project Management
Requirements:
§ Diploma in Electrical/Electronic Engineering from a recognised Polytechnic
§ Experience in site testing and commissioning preferred but not necessary
Our benefits and compensation for permanent position are as follows:
Salary for experience candidates will be considered based on the years of experience and our internal salary structure
1 month AWS
Variable Bonus ranging from 1 to 3 months depending on individual and company performance
Working hours: 8.00 am to 5.00 pm / 8.30 to 5.30 pm / 9.00 am to 6.00 pm / 9.30 am to 6.30pm / 10.00am to 7.00pm
Working days: Monday to Friday (1 day work from home per week)
Annual Leave: 14 days up to 17 days for non-executive (Assistant Engineer and below)
18 days up to 21 days for executive (Engineer and above)
Medical benefits of $500 per financial year (Benefit is extended to spouse and children (below 21 years old) of married employees)
Insurance coverage: Hospital & Surgical (Benefit is extended to spouse and children (below 25 years old) of married male employees and child (below 25 years old) of married female employees)
Term Life
Personal Accident
Maternity Insurance for female employee and spouse of male employee on the birth of their 1st 2 children claimable up to delivery bill of $6,000.00 whichever is lower.
Flex Dollars of $500 per financial year
Free annual year-end Health Check-Up
Monthly Birthday Party Celebration
Monthly Sports Activities
New Born Gift
CSR Initiatives
Department Bonding Activities
Biennial team building and staff appreciation dinner
Gym Corner for employees to exercise
Good Pay + Good allowance + Good Bonus
Interested candidates please send an updated Resume / CV in Ms Word format to lilian@recruitflash.com or WhatsApp’s your resume to 98332779 ( no Calls)
Consultant in-charge : Quah Li Lian (Lilian) ( Registration No: R1983286 )"
