title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Educational Therapist - Internship,OLIVE TREE DEVELOPMENT CENTER PTE. LTD.,MCF-2023-0728712,"OTDC focuses on a full range of clinical assessments and multi-disciplinary Intervention Therapy Services : Speech, Occupational, Physio, Educational, Behavioral and Music Therapy. OTDC is well recognised in many special schools, VWOs, preschools and community support groups it has extended training to. Olive Tree Development Centre (OTDC) and Olive Tree EduCentre (OTEC) are part of the Olive Tree Group with over 17 years of medical practice experience in Singapore. Olive Tree EduCentre (OTEC) extends educational therapy and special education programs and remediation to children with learning difficulties such as Dyslexia, Dyscalculia, Autism, ADHD, GDD etc, catering to preschoolers and school-age children. Our Early Intervention Program (EIP) is a customized group intervention program for children aged 1 to 7, aimed at preparing them for the academic rigor of primary school. EIP is based on the Carolina (US) Curriculum of Assessment and covers all the domains of learning. Our Vision is to provide personalized learning services for children with special needs and community reefs of support for their families in the developmental journey of their children. We maintain a close relationship with parents and caregivers and equip them with clinical techniques that can be applied and generalized at home, so each child’s learning is not confined to the therapy setting. In the Olive Tree logo, the tree represents a nurturing environment, while the two children at play symbolizes joy and social integration at home, school or community. The Star depicts their potential. We aim to reach out to these “twinkling stars” and draw out their talents and gifts to help them shine! Our multi-disciplinary team consisting of pediatricians, educational psychologists, occupational therapists, speech & language therapists, educational therapist, behavior therapists and music therapists. Together, our aim is to deliver a child-centric suite of medical and therapy services. All our Intervention programs are accredited by MSF (Ministry of Social & Family Development) and eligible for CDA/Baby Bonus). We are the first established Music Therapy (MT) center in Singapore. MT is an evidence-based intervention that is supported by 20 years of clinical research. MT is effective in early intervention as when music and movement are made a natural and joyous part of childhood, it build language development, self-expression, memory skills, concentration, social interaction, and listening skills.","GOLDHILL SHOPPING CENTRE, 179A THOMSON ROAD 307626",Internship/Attachment,Fresh/entry level,,Education and Training,1,['$1to$1'],Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Olive Tree Internship Program (OTIP) provides good grounding for teachers who aspire to help children with special needs as a career. You will learn practical skills and strategies in early intervention from a multi-disciplinary team including Psychologist, Speech Therapist, Occupational Therapist, Behavioral Therapist, and Educational Therapist. We offer a varied job scope with plenty of opportunities to network with people from all walks of life. If you have the passion to work with children having special needs, we invite you to join us.

This is on a volunteer basis that may lead to full time Educational Therapy position on completion. Please indicate your period of availability and earliest commencement date.

Requirements:
Diploma or Degree holder
Fresh GCE “A” Level graduate or undergraduate in Polytechnic or University
Fresh graduate and currently pursuing a Diploma in Polytechnics or Degree in Universities will be considered if they are seeking a career and training in the special education, psychology or social services sector
Experience teaching young children in a small group (4-6 kids) or classroom setting in a preschool /early childhood or enrichment center is an advantage
Good communication and interpersonal skills as well as being a team player
Responsibilities:
Assist the teachers during lessons, supervising the children in areas of feeding, grooming, toilet training and/or other daily living skills training sessions
Assist in managing the children’s behavior using appropriate behavior management techniques"
OCCUPATIONAL THERAPIST,"RAINBOW CENTRE, SINGAPORE",MCF-2023-0725446,"In 1992, Rainbow Centre Singapore was established as a registered charity with the Registry of Societies and subsequently, it was granted the Institutions of a Public Character (IPC) status under the Charities Act. The Centre runs 3 Special Education (SPED) schools and 2 Early Intervention Programme (EIP) centres at Margaret Drive campus and Yishun Park Campus for children with special needs. All the Centre's programmes adopt a holistic developmental curriculum in the areas of language and communication skills, cognitive skills, social and emotional skills, fine and gross motor skills, and adaptive daily living skills. They are carried out by a multi-disciplinary team of trained SPED and EIP Teachers, Speech Language Therapists, Physiotherapists, Occupational Therapists, Psychologists, Social Workers, and Music and Art Therapists.",,"Permanent, Full Time",Professional,1 year exp,"Education and Training, Healthcare / Pharmaceutical, Medical / Therapy Services, Social Services",1,"['$3,000to$4,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
We are looking for Occupational Therapists / Senior Occupational Therapists to join our Therapy Services team at Rainbow Centre. The team aims to improve the quality of life of persons with disabilities through effective therapy and psychological services so that they can achieve their highest level of independence and lead thriving lives.

The post-holders, working as part of an interdisciplinary team, will be responsible for the delivery of quality therapy services and may work across a variety of settings at Rainbow Centre (early intervention, schools, out-of-school hours care and community outreach services etc).

Critical Work Functions
1. Providing quality clinical services to our clients, through:
Using appropriate assessment tools to obtain data to identify therapy needs in a variety of cases
Formulating care plans that are outcome-based and relevant to the goals identified for the clients through planning, implementing, evaluating and managing interventions
Facilitating individual and group interventions and employing evidence-based interventions, as well as applying the process of collaborative exploration in the management of caseloads to deliver effective services
Complete specialist reports, case notes and other documentation, following professional guidelines and guidelines required by the organization
Prioritising and managing a caseload under supervision in accordance with organisation policy. The postholder will also complete specialist reports, case notes and other documentation, following professional guidelines and guidelines required by the organization
Participating in developing protocols and clinical guidelines to improve services in conjunction with the Lead Allied Professional/Principal Therapist

2. Supporting strategy and planning effort, through:
Maintaining and monitoring client records related to service utilization in accordance to organisational and professional requirements, as well as inventories of equipment, materials and supplies
Ensuring the adherence of health and safety policy and all equipment are properly and safely stored and maintained for safe use
Participating in the development, monitoring and evaluation of outcome measures as appropriate in service area

3. Continuing professional development by:
Engaging in and articulating reflection and evaluation in practice, including critically evaluating the impact of contemporary issues related to the profession and sector
Remaining up to date and compliant with all relevant legislation, organizational procedures, policies and professional codes of conduct in order to uphold standards of best practice

Candidate Requirements
Degree or post-graduate qualification in occupational therapy from a recognised university and eligible for registration under the Allied Health Professions Act 2011
Prior working experience in a special education setting will be a strong advantage
Good communications skills to convey thoughts and ideas succinctly to various stakeholders, as well as to foster interdisciplinary collaboration to provide client-centric service and achieve best outcomes
Able to handle the physical demands of the role, such as lifting clients and equipment

Service is at the heart of RC’s purpose and we seek to serve our clients with respect, dedication and compassion, understanding that we are entrusted by society to serve with excellence and the highest ethical standards. Join us if you share our passion and values."
Occupational Therapist,SOCIETY FOR THE AGED SICK,MCF-2023-0725227,"Society for the Aged Sick is a not-for-profit nursing home with a licensed bed capacity of 404. We are located at Hougang Avenue 1. The Home provides residential and respite services to people in need of daily skilled nursing care and/or assistance in activities of daily living, and who cannot be cared for at home, particularly the less privileged. We provide a range of services to meet the needs of our residents. They include medical care, nursing care, physiotherapy and occupational therapy, dietary services and dental care. Please visit our website at http://www.societyagedsick.org.sg for more details about us.",130 Hougang Avenue 1 538900,"Permanent, Full Time",Junior Executive,2 years exp,Medical / Therapy Services,1,"['$4,000to$5,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
The Occupational Therapist will be responsible for providing appropriate, timely and effective occupational therapy treatment to our residents at the nursing home.
Responsibilities:
Promptly conduct initial intake assessment, 6- monthly reassessments, post-hospitalisation/ falls reviews and occupational therapy assessments as required.
Develop treatment plans for residents and review and evaluate the effectiveness of these plans.
Conduct equipment prescription, caregiver training and facilitate discharge process as required.
Document occupational therapy treatment and resident care in an acceptable manner.
Collect and report outcome statistics regarding occupational therapy treatment and therapeutic group activities.
Supervise and guide occupational therapy intervention by Senior Therapy Aides/ Therapy Aides.
Plan and facilitate occupational therapy programmes as required and review and evaluate effectiveness.
Train Therapy Aides and Senior Lifestyle Coordinator in conducting therapeutic group activities and ensure staff competency. Provide oversight and guidance to the planning, execution and safety of these therapeutic group activities.
Contribute to the development of competency checklists and work flow of therapeutic group activities.
Perform periodic audits on Senior Therapy aides, Therapy Aides and Lifestyle Coordinator in conducting occupational therapy interventions and therapeutic group activities and documentations.
Participate in multi-disciplinary collaboration for optimal patient outcomes.
Initiate sharing and promote learning culture for evidence-based practice.
Periodic checking of occupational therapy items and equipment and propose requisition where necessary.

Requirement:
Diploma/Degree in Occupational Therapy.
Qualified and registered with AHPC (Full/ Restricted registration).
Minimum 2 years of relevant working experience.
Prefer someone who is bilingual to communicate with the residents."
Senior / Occupational Therapists,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,MCF-2023-0523762,"Ang Mo Kio - Thye Hua Kwan Hospital (AMK-THKH) is a leading provider of rehabilitative care in Singapore. We aim to nurture our patients to become self-reliant and assist them in their integration back into society. This is achieved with a multi-disciplinary healthcare approach towards each patient. At Ang Mo Kio - Thye Hua Kwan Hospital, we strive along our quest for clinical and service excellence, to help our patients achieve total independence at the end of their stay.",17 Ang Mo Kio Ave 9 569766,Full Time,Executive,1 year exp,Healthcare / Pharmaceutical,1,"['$3,200to$6,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Job Description
An exciting career opportunity has arisen at AMK-THK Hospital for full-time Occupational Therapists to join our integrated care team. We are looking for outgoing and flexible individuals with proven experience of working in the area of adult rehabilitation. You will prepare our patients for community integration through carefully designed activities and processes. You are required to demonstrate sound assessment, clinical reasoning and complex discharge planning skills. Your work also involves providing home assessment and advice on home modifications.
The hospital provides full suite of rehabilitation to patients with Stroke, Fracture, Post-surgical deconditioning etc. The rehab unit has a well-established multi-disciplinary team approach and the ideal candidate needs to demonstrate excellent communication and interpersonal skills.
This post offers an excellent opportunity for someone who wishes to develop their clinical expertise in the areas of Stroke, Dementia, frail elderly or fractures. They will have the support of the multidisciplinary team. In addition, the candidate will work alongside other therapists, therapy assistants and students.

Requirements:
Minimum a recognised degree in Occupational Therapy
Obtained Full/ Conditional Registration with AHPC
A team player with good interpersonal and communication skills
Possess analytical and problem solving skills
Entry level candidates are welcome to apply"
Physiotherapist / Occupational Therapist | 0707,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0727217,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,"Permanent, Full Time",Executive,1 year exp,"Environment / Health, Healthcare / Pharmaceutical",1,"['$4,500to$7,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Physiotherapist / Occupational Therapist
Basic Salary - $4500-$7000
Working location – Orchard Paragon/Mount E (to be confirmed)
Working Hours – 5.5days | 9am-6pm Weekdays / 9am to 1pm Sat
Responsibilities
Remediation of impairments and disabilities and the promotion of mobility, functional ability, quality of life and movement potential for the upper extremity post-surgery / injury.
Prevent the loss of mobility before it occurs by developing fitness and wellness-oriented programs for healthier and more active lifestyles for the hand.
Plan and prescribe tailored exercise programs to help promote mobility and function for various upper extremity conditions.
Implement appropriate treatment plan and comply to clinical standards and protocols.
Fabricate customized splints for various upper extremity conditions.
Providing education to patients, caregivers and fellow colleagues.
Requirements
Diploma / Degree in Occupational Therapy or Physiotherapy from an accredited institution.
Full Registration with Allied Health Professional Council (AHPC) is a must.
Must be able to sight blood and wound.
If interested, please kindly press the apply button.
Ong Choon Kiat (James) | Reg No: R22104989
The Supreme HR Advisory Pte Ltd | EA No: 14C7279"
"Senior Occupational Therapist (West, Central & Northeast)",RIGHT SEARCH PTE. LTD.,MCF-2023-0721121,"At Right Search, hiring the right people is the key to any organization’s success. We have a rigorous screening process to shortlist best-fit candidates for you, whether you are hiring a Permanent, Temporary or Contract Staff. We believe relationships are the most important part of any businesses. Our clients are active partners in our searches; when we cooperate, everybody wins.",,Full Time,Professional,3 years exp,"Environment / Health, General Management, Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$4,000to$7,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Job Description
Occupational Therapist / Senior OT
As an integral part of the Rehabilitation Department, your main responsibility will be to provide support in administration, clinical supervision, research supervision, and professional education and training as needed.
Your main responsibilities will encompass:
• Assume leadership in projects related to clinical initiatives.
• Spearhead the establishment of evidence-based practices, including the development of guidelines, protocols, and the implementation of appropriate equipment.
• Integrate guidelines, programs, work safety measures, and best practices for comprehensive healthcare delivery.
• Supervise and manage manpower allocation to maintain exemplary rehabilitation standards.
• Develop and regularly update individualized staff training plans.
• Direct research activities and oversee projects in the field.



To qualify for this position, you should possess the following:
1. A recognized Diploma/Degree in Occupational Therapist
2. Full registration with the Allied Health Professions Council
3. More than 3 years of experience as a Occupational Physiotherapist, preferably in a community setting
4. Experience in project management
5. Ability to work effectively in both team and independent settings
6. Strong management, leadership, and problem-solving skills


We regret that only shortlisted candidates will be notified

Right Search Pte. Ltd.
EA Licence Number: 22C1170
Tel: 69784646
EA Registration Number: R23115790
EA Personnel: Ivy Wong"
Senior Occupational Therapist (Full AHPC Reg) [3770],THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0726209,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,Full Time,Professional,4 years exp,"Education and Training, Environment / Health",1,"['$4,000to$5,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Senior Occupational Therapist (Full AHPC Reg)
Salary Range: $4000 - $6000 (depends on experience)
Working Days: 5 Days Mon-Fri 8.30AM-6.00PM
Location: Siglap

Job Description
Provide assessment/evaluation and implement intervention for individuals diagnosed with Autism aged 7‐18 years old and aged 18‐55 years old
Perform centre‐wide screening to determine therapy service necessity, utilising methods such as conducting screening tools, interview, document review, direct observations, and case deliberation meetings with teachers, coaches, co‐therapists, and department head to provide timely and quality therapy services to our beneficiaries.
Assist in building up the school curriculum helping in Daily Living Skills domain in collaboration with the school department heads and special education teachers
Develop individualised education programme for the students in collaboration with the special education teachers and participate in parent‐teacher conferences
Responsible for administering standardised tools for assessment and creating 'sensory diet' for the students/clients
Implement goals and activities set for the student/client directly or in coordination with the special education teachers/coaches
Plan relevant instructional activities for ongoing implementation in the classroom in coordination with the special education teachers/coaches
Provide home instruction program, actual demonstration of OT treatment/handling procedures to teachers, coaches, parents, and caregivers for the continuity of OT management in the classroom and at home
Responsible for providing training for the staff and parents/caregiver of students/clients under the program
Responsible for conducting self‐regulating strategies to achieve individual/students' maximum level of arousal necessary for learning
Perform documentations such as OT initial evaluation, Individualized Education Plan (IEP), progress reports, OT notes, task analysis reports, and discharge planning
Serve as on‐site clinical supervisor overseeing occupational therapy interns
Job Requirements:
Possess at least a degree in Occupational Therapy
Valid Full AHPC (Singapore) registration
Practical experience with persons with autism spectrum disorder and their families is an asset
WhatsApp: +65 82026403
Email: supreme.annechu@gmail.com
14C7279 The Supreme HR Advisory Pte Ltd
R21103770 Chu Jenn Anne"
Senior Occupational Therapist [ Full AHPC Reg | Special Education ] - 9186,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0726861,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,Full Time,Professional,4 years exp,"Education and Training, Environment / Health",1,"['$4,000to$6,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Senior Occupational Therapist (Full AHPC Reg)

Salary Range: $4000 - $6000 (depends on experience)
Working Days: 5 Days Mon-Fri 8.30AM-6.00PM
Location: Siglap

Job Description
Provide assessment/evaluation and implement intervention for individuals diagnosed with Autism aged 7‐18 years old and aged 18‐55 years old
Perform centre‐wide screening to determine therapy service necessity, utilising methods such as conducting screening tools, interview, document review, direct observations, and case deliberation meetings with teachers, coaches, co‐therapists, and department head to provide timely and quality therapy services to our beneficiaries.
Assist in building up the school curriculum helping in Daily Living Skills domain in collaboration with the school department heads and special education teachers
Develop individualised education programme for the students in collaboration with the special education teachers and participate in parent‐teacher conferences
Responsible for administering standardised tools for assessment and creating 'sensory diet' for the students/clients
Implement goals and activities set for the student/client directly or in coordination with the special education teachers/coaches
Plan relevant instructional activities for ongoing implementation in the classroom in coordination with the special education teachers/coaches
Provide home instruction program, actual demonstration of OT treatment/handling procedures to teachers, coaches, parents, and caregivers for the continuity of OT management in the classroom and at home
Responsible for providing training for the staff and parents/caregiver of students/clients under the program
Responsible for conducting self‐regulating strategies to achieve individual/students' maximum level of arousal necessary for learning
Perform documentations such as OT initial evaluation, Individualized Education Plan (IEP), progress reports, OT notes, task analysis reports, and discharge planning
Serve as on‐site clinical supervisor overseeing occupational therapy interns
Job Requirements:
Possess at least a degree in Occupational Therapy
Valid Full AHPC (Singapore) registration
Practical experience with persons with autism spectrum disorder and their families is an asset
The Supreme HR Advisory Pte Ltd || EA No: 14C7279

Ng Syu Ching (Ellis) || Reg No: R22107944"
6723 - Senior Occupational Therapist [Siglap | up to $6000 | Full AHPC ],THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0726366,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,Full Time,Professional,4 years exp,"Education and Training, Environment / Health",1,"['$4,000to$5,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Senior Occupational Therapist (Full AHPC Reg)
Salary Range: $4000 - $6000 (depends on experience)
Working Days: 5 Days Mon-Fri 8.30AM-6.00PM
Location: Siglap

Job Description
Provide assessment/evaluation and implement intervention for individuals diagnosed with Autism aged 7‐18 years old and aged 18‐55 years old
Perform centre‐wide screening to determine therapy service necessity, utilising methods such as conducting screening tools, interview, document review, direct observations, and case deliberation meetings with teachers, coaches, co‐therapists, and department head to provide timely and quality therapy services to our beneficiaries.
Assist in building up the school curriculum helping in Daily Living Skills domain in collaboration with the school department heads and special education teachers
Develop individualised education programme for the students in collaboration with the special education teachers and participate in parent‐teacher conferences
Responsible for administering standardised tools for assessment and creating 'sensory diet' for the students/clients
Implement goals and activities set for the student/client directly or in coordination with the special education teachers/coaches
Plan relevant instructional activities for ongoing implementation in the classroom in coordination with the special education teachers/coaches
Provide home instruction program, actual demonstration of OT treatment/handling procedures to teachers, coaches, parents, and caregivers for the continuity of OT management in the classroom and at home
Responsible for providing training for the staff and parents/caregiver of students/clients under the program
Responsible for conducting self‐regulating strategies to achieve individual/students' maximum level of arousal necessary for learning
Perform documentations such as OT initial evaluation, Individualized Education Plan (IEP), progress reports, OT notes, task analysis reports, and discharge planning
Serve as on‐site clinical supervisor overseeing occupational therapy interns
Job Requirements:
Possess at least a degree in Occupational Therapy
Valid Full AHPC (Singapore) registration
Practical experience with persons with autism spectrum disorder and their families is an asset




WhatsApp: +65 9642 0989 (Han)
Email: supreme.cc.han@gmail.com
Chaw Chiaw Han, Reg No：R22106723
The Supreme HR Advisory Pte Ltd, EA No：14c7279"
Occupational Therapist,HYPERSCAL SOLUTIONS PTE. LTD.,MCF-2023-0725354,"RecruiterPal is a cloud-based recruitment platform that helps you to recruit staff faster and easier, giving you full control and overview of your entire recruitment process.",131 LORONG 1 TOA PAYOH 310131,Full Time,Executive,2 years exp,"Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$3,700to$4,200']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
COMPANY DESCRIPTION
Care Corner Singapore Ltd was founded in 1981, in a climate of changes in the early 1980s, as economic competition in the region intensified and the rift between the wealthy and the lower-income in particular the Chinese blue-collar workers, widened.Rev Tan Tien Ser and a group of passionate individuals believed that these marginalised people with lower income and little opportunities for a formal education could be helped to realise their potential and become more competent and fulfilled persons. Through a series of early outreach initiatives, Care Corner has evolved into an organisation offering a wide range of programmes and services delivered through various social service centres located island-wide.In a bid to stay relevant to the needs of the community, Care Corner has continuously strived to offer new and innovative programmes to support those in need and the less privileged.
RESPONSIBILITIES
Are you looking for a purposeful career in a social service agency that is progressive, community-centric and committed to serving the needs of our community?
Are you looking for a positive and collaborative work environment that promotes staff wellbeing and believes in the development and growth of their people?
If you are, join our Care Corner team! At Care Corner, we set out to make a difference in the lives of individuals and families every day. Our employees are our greatest asset, no matter what role we are undertaking. We offer diverse opportunities for the most passionate talent wanting to become part of an island-wide community that brings care to every corner in Singapore.
  Clinical Care
Assess, Evaluate, Plan and Treat clients with a variety of disabilities for optimal care.
Lead the team in delivering consistent and excellent clinical and service quality to clients and sponsors.
Ensure that the team comply with clinical protocols and service standards in line with MOH service requirements. 
Responsible for the accurate assessment and appropriate treatment and activities for clients at Maintenance Day Care / Dementia Day Care.
Maintain up-to-date documentation in accordance with MOH requirements including but not exhaustive:
Initial assessment
Reassessments
Therapy goals
Individualised care plan
Multidisciplinary meetings
Treatment updates (using SOAP format) where necessary.
Discharge planning
Work as a multidisciplinary team and attend case conferences, team meetings, and family meetings.
Provide home visits, home modification and caregiver training as required to facilitate the continuity of care for our clients (Home Therapy)
Submit applications for schemes such as eSMF when necessary.
Maintain safety and upkeep of all OT equipment and resources in Day Rehab.
Referral to external organisations as necessary (eg. Social Work Department)

Administrative Duties
Collate statistics to monitor performance of staff and services.
Investigate and resolve all feedback and complaints received pertaining to rehab staff.
Document and report adverse incidents to management, as necessary.
Maintain a neat and tidy workplace.
Maintain and upkeep a proper inventory control with regular inspection and audits. 
Responsible for the improvement of the day-to-day operations and to provide suggestions to improve work processes at the respective centres/homes. 
 
Education and Training
Participate and conduct trainings on dementia care and activity engagements, etc for therapists, care staff and volunteers.
Provide supervision to assigned staff/interns/volunteers.
Engage with relevant agencies relating to OT.

Research and Quality Improvement Projects (when required)
Participate in research and activities at departmental and organisational level

Requirements
At least 2 years of professional practice experience; Experience working in dementia care, geriatrics or healthcare settings preferred.
Passionate towards serving seniors.
Good communication and inter-personal skills.
Positive working attitude and good team player.
Good personality, honest and responsible individual.
QUALIFICATIONS
Diploma/ Degree in Occupational Therapy
Obtain full registration with AHPC
OTHER INFORMATION
Thank you for your application. We regret that only shortlisted candidates will be notified for interviews.
Please note that your application will be sent to and reviewed by the direct employer - Care Corner Seniors Services Ltd"
