title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Accounts Executive (Full Sets),CADMUS RESOURCES,MCF-2023-0728573,"At Cadmus, we believe in beginning every business relationship with the end result in mind. Through our specialized permanent placement services, we aim to find great people, who will, in turn, be transformed into great performers. Our Target end result-total efficiency and productivity for the company. Whatever your background may be, we will go through the comprehensive Cadmus protocol: A thorough understanding of your professional history, followed by discussions and our recommended approaches that will be ideal for your career hunting process. This way, we can then achieve the best result for you.","PS100, 100 PECK SEAH STREET 079333","Permanent, Full Time",Executive,2 years exp,Accounting / Auditing / Taxation,1,"['$3,800to$4,200']",Monthly,2 applications,Posted 24 Sep 2023,Closing on 01 Oct 2023,"Roles & Responsibilities
Responsibilities:
Oversee a team of 3 Accounts Payable/Accounts Receivable officers.
Handling full set of accounts and General Ledger functions.
Review all invoices, billings and receipts. Monitor the ageing report and follow up promptly.
Prepare monthly financial reports for management purposes, reconciliation, month end closing and maintenance of fixed asset register.
Responsible for variance analysis, annual budgeting and forecasting.
Income Tax computation and GST returns.
Cash Management.
Liaise with internal and external auditors.
Reporting to the Accountant.
Requirements:
Diploma in Accountancy or equivalent.
Minimum 2 years of relevant full sets & GL experience.
Experience in real estate industry will be an advantage.
Able to work in fast pace environment and meet tight deadlines.
Working Location: Raffles Place
Working Hours: Mon- Fri 8.30am - 6.00pm
Salary: $3,800 - $4,200

To apply, please submit your detailed CV with the following details for faster processing:
Reason for leaving
Expected salary
Earliest availability date
You may also visit our careers page at https://www.careers-page.com/cadmusresources/job/L755W953 to upload your CV.

We regret that only short-listed candidates will be contacted shortly."
Accountant (5 Day / Credit Controller),EA RECRUITMENT PTE. LTD.,MCF-2023-0729337,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Senior Executive,8 years exp,Accounting / Auditing / Taxation,1,"['$5,000to$6,000']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
• Company located at Chinatown
• Walking distance from Chinatown MRT
• Working hours: 11am – 6.30pm (Monday - Friday) & 12pm-6pm (Saturday)
• Well Established Wealth Management Company
• Variable Bonus + Excellent Welfare & Benefits
Job Scope
Manage the company's financial records, including general ledger maintenance, accounts payable, and accounts receivable.
Prepare and analyze accurate monthly financial reports, including balance sheets, income statements, and cash flow statements.
Conduct credit assessments and evaluations for new and existing clients, ensuring compliance with credit policies and risk management guidelines.
Actively monitor and manage overdue accounts, implementing effective credit control strategies to minimize risk and maintain client relationships.
Liaise with clients and internal departments to resolve outstanding invoices and payment discrepancies.
Ensure compliance with local financial regulations and tax requirements, preparing and submitting necessary documentation.
Collaborate with other team members to continuously improve financial processes and procedures.
Daily checking of all new clients’ relevant income statements prior to approval.
Requirement
Degree in Accounting, Finance, or any other relevant education
8 - 10 years of relevant working experience in service/ heavy industries/ have managed large scale accounts
Strong understanding of financial regulations, tax requirements, and credit policies will be an advantage
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume:
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.
SIM BEI NA (R22111637)
EA Recruitment Pte Ltd
EA License No: 21C0492"
Accounts Executive / Accountant,MANDARIN OPTO-MEDIC CO PTE LTD,MCF-2023-0676919,"Established in 1967, Mandarin Opto-Medic Co Pte Ltd (MOC) has more than 50 years of experience, caters to the complete requirement of all ophthalmic and medical professional needs. MOC specializes in serving the Optical, Ophthalmology, Dental, Dermatology, Neurosurgery as well as the General Medical community. We aim to provide the best high tech products to our customers and at the same time to suit our customer's budget while providing choices in products selection without compromising product and service quality. We are committed towards quality and customer service, and primarily as a one safe source distributor. To provide products and services of the highest possible standards, to meet our customers' needs, meet expectations of quality and safety, with reliability and integrity. To accomplish quality objectives by establishing, implementing and maintaining a documented effective Quality Assurance System which complies with the requirements of ISO 9001 and GDPMDS.","KAKI BUKIT TECHPARK I, 30 KAKI BUKIT CRESCENT 416261","Permanent, Full Time",Executive,2 years exp,"Accounting / Auditing / Taxation, Insurance, Others, Wholesale Trade",1,"['$3,500to$3,900']",Monthly,20 applications,Posted 05 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
Duties :
· Perform daily financial operations
· Able to administer AP/AR and update G/L entries
· Liaise with banks, perform bank and cash flow reconciliation.
· Administer staff expense claims and administrative works.
· Monitor POS (Point of Sales) system synchronization with accounting Software SAP B1 System

Requirements :
· Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, or Bachelor of Accountancy.
· At least 2 years of work experience in the related field is required"
Accounts Executive (North / 5 Days / AR),EA RECRUITMENT PTE. LTD.,MCF-2023-0729334,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Executive,2 years exp,Accounting / Auditing / Taxation,1,"['$3,000to$3,500']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
• Working hour : Monday – Friday (9am – 6.10pm)
• Working location at Woodlands
• Well Established FMCG Company
• AWS + Variable Bonus + Excellent Welfare & Benefits
Job Scope
Responsible for the full spectrum of Accounts Receivable.
Ensure accurate and timely processing of Goods Return Note.
Coordinate local cheque bank-in and daily update of incoming funds to the NAV system.
To ensure timely updating of customer accounts.
Monitor and follow-up with customers on overdue account and arrange for debts collection.
Reconcile Customer Collection with Bank Ledger.
Responsible on monitoring monthly /weekly Debtors aging.
Mailing of Statement of Accounts to customers and respond to their inquiries.
Prepare Accounts Receivable monthly cash flow forecast.
Preparation of Journal entries for accruals & other adjustment.
Preparation of monthly and year-end Balance Sheet schedules.
Liaising with internal and external auditors.
Looking into strengthening current and process improvement
Undertake ad hoc duties as assigned.
Requirement
Diploma / Degree in Accounting or equivalent qualification
2 - 4 years of relevant working experience
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume:
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.
SIM BEI NA (R22111637)
EA Recruitment Pte Ltd
EA License No: 21C0492"
Finance Assistant Officer (Account Receivable) - EU,RK RECRUITMENT PTE. LTD.,MCF-2023-0729314,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Executive,3 years exp,Banking and Finance,1,"['$2,500to$3,000']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Benefits Summary:
Electronics Company (MNC)
Mon - Fri, 7.50am - 4.55pm
Up to $3,000 + AWS + VB
Location: Pioneer (2 way company transport provided at designated pick up points island-wide)

Responsibilities:
AR role
Accountable for relevant work billing.
To fulfill all billing deadlines accurately, make sure to complete billing actions as soon as possible in the billing system.
Assure that all billing activities are properly coordinated to satisfy client needs.
Produce and deliver invoices to clients on time.
Creating a sales report.
In charge of managing financial accounting (quarterly and annual financial reports for the division, monthly GM report, and month-end closure summary report).
As needed, lend a hand in creating spreadsheets, reports, and letters.
Complete reporting tasks by the designated deadlines.
Help with the PowerPoint presentation of financial documents.
Discuss financial issues with the accounts.
Communicate with an outside vendor about billing-related difficulties.
Assist with the planning and execution of the year-end audit.
Capable of working in a fast-paced atmosphere and multitasking.

Please submit your updated resume by using the APPLY NOW BUTTON

By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by the company relating to this job application.

*We regret to inform that only shortlisted candidates would be notified*

We wish you all the best in your career search.

You are welcome to visit our website at www.rkgroup.sg

RK Recruitment Pte Ltd | EA License No.: 20C0280
Lee Wai Yin Eunice | EA Personnel No.: R23116005
508"
Accounts Admin Assistant (Immediate / 5 Days / West),EA RECRUITMENT PTE. LTD.,MCF-2023-0729304,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Junior Executive,1 year exp,"Accounting / Auditing / Taxation, Admin / Secretarial",1,"['$2,300to$2,700']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
• Working location at Joo Koon
• Working hours: Monday – Friday (9am – 6pm)
• Well Established Manufacture and Repair of Marine Engine Company
• AWS + Variable Bonus + Excellent Welfare & Benefits
Job Scope
Handle Accounts Payable & Accounts Receivable
Handling Invoices & Purchase Orders
Prepare vendor payment and statement of Accounts
Follow up payments with Clients
Maintain proper document filing and documentation
Attend to phone enquiries, provide administrative support and other duties as assigned
Any other administrative tasks assigned by the management
Requirement
GCE O Level / Diploma in Accounting / Business Administration or equivalent
1 – 2 years of relevant working experience
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume:
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.
SIM BEI NA (R22111637)
EA Recruitment Pte Ltd
EA License No: 21C0492"
IT Key Account Manager - EU,RK RECRUITMENT PTE. LTD.,MCF-2023-0729336,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Manager,2 years exp,"Information Technology, Sales / Retail",1,"['$3,500to$4,500']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Benefits Summary:
IT Industry
Basic up to $4500 + Commission
Monday - Friday, 9am - 6pm
Kaki Bukit
Responsibilities:
Generate, maintain, and enhance sales forecasts for assigned customer accounts.
Develop, manage, and nurture strong customer relationships.
Collaborate across departments for effective coordination of pre-sales, professional services, and support resources.
Meet sales quotas by acquiring business from both new and existing clients.
Ensure customer satisfaction through quality products and services.
Possess in-depth knowledge of the organization's offerings.
Contribute to crafting value propositions and skilfully negotiate to secure sales.
Requirements:
2 - 3 years experience in IT sales
Able to manage team
Please submit your updated resume by using the APPLY NOW BUTTON
By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.
*We regret to inform you that only shortlisted candidates would be notified*
We wish you all the best in your career search.
You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Lee Wai Yin Eunice | EA Personnel No.: R23116005
575"
"Account Assistant / Tai Seng / Up to $3,000",WORKSTONE PTE. LTD.,MCF-2023-0723940,We arrange your future! Our Consultants have more than 5 years of experience and our aim is to provide the best service for all our clients.,,Permanent,Executive,,"Accounting / Auditing / Taxation, Admin / Secretarial, Banking and Finance",1,"['$2,000to$3,000']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Responsibilities:
✅Data entries for accounts receivable and follow up with outstanding invoices
✅Summaries of total daily sales collections & issuance of receipts
✅Preparation of DR/CR notes and monthly statement of accounts
✅Checking of daily sales report & promoters’ commissions

Requirements:
GCE 'O' or “N’ level or LCCI/bookkeeping certificate
Proficient in Microsoft Excel


Interested applicants, send in your updated resume by clicking “Apply Now”
Lin Weikang
Registration Number: R21102570
EA License Number: 19C9998
Workstone Pte Ltd"
Audit Associate (OJT / Accounting / Central / 5 Days),EA RECRUITMENT PTE. LTD.,MCF-2023-0729298,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Fresh/entry level,,Accounting / Auditing / Taxation,1,"['$2,600to$2,800']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
• Well Established Accounting Firm
• Company located at Redhill
• Working hours: 8:30am – 5:30pm (Monday - Friday)
• On-Job-Training provided
• Excellent Welfare & Benefits + Variable Bonus
Job Scope
Learn to process and audit various government grant claims.
To carry out audit on grants which includes verification of supporting financial source documents.
Obtaining necessary details and information from the grant recipient.
Other job duties as assigned.
Requirement
Diploma / Degree in Accounting, Finance, Business Administration or equivalent
0 – 2 years of relevant working experience
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume:
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.
SIM BEI NA (R22111637)
EA Recruitment Pte Ltd
EA License No: 21C0492"
Sales Support Executive (Corporate Account / North / 5 Days),EA RECRUITMENT PTE. LTD.,MCF-2023-0729313,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Sales / Retail",1,"['$2,800to$3,600']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
• Well Established Food Robotics Technology Company
• Working hour: Monday – Friday (9am - 6pm)
• Working location at Yishun
• Walking distance from Canberra MRT
• AWS + Variable Bonus + Excellent Welfare & Benefits
Job Scope
Respond to customer inquiries promptly, either through email or phone calls, addressing their queries, providing product information, and guiding them through the sales process.
Maintain and update sales records, customer databases, and relevant documentation. Track sales performance metrics, generate reports, and assist in analysing data to identify trends and opportunities.
Utilize the Customer Relationship Management (CRM) system to manage customer information, track interactions, and update sales-related data.
Provide administrative support to the sales team, including scheduling deployment of machines and managing customer requests etc.
Work closely with the internal cross function team to address customer inquiries, resolve issues, and ensure overall customer satisfaction.
Participate in sales training sessions and workshops to stay updated with product knowledge, sales techniques, and industry trends.
Identify areas for process improvement within the sales support function and propose actionable solutions to enhance efficiency and effectiveness.
Requirement
Diploma in Business Administration or equivalent
1 - 2 years of relevant working experience
Proficiency in Excel (analysing spreadsheets and charts, Pivot tables) will be an added advantage
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume:
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.
SIM BEI NA (R22111637)
EA Recruitment Pte Ltd
EA License No: 21C0492"
