title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Assistant System Administrator / Joo Koon / Up to $3,500",WORKSTONE PTE. LTD.,MCF-2023-0705754,We arrange your future! Our Consultants have more than 5 years of experience and our aim is to provide the best service for all our clients.,,Permanent,Non-executive,2 years exp,"Engineering, Information Technology, Repair and Maintenance, Telecommunications",1,"['$3,000to$3,800']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsibilities:
✅Perform Maintenance , configuration of computer systems & networks servers.
✅Install and upgrade computer components and software
✅Troubleshoot hardware & software by diagnostics , documenting resolutions & assessing of issues
✅Document specification to IT staff for planning and implementing new or upgrades of infrastructure.
✅Perform backup & implement processes for data protection , disaster recovery & fail over procedures
✅Lead helpdesk support efforts & ensure desktop applications, workstations and related problems are resolved
✅Responsible for capacity, storage planning, and database performance

Requirements:
Diploma/Degree in computer science engineering or equivalent
Min 3 years of relevaent experience
Ability to troubleshoot & repair problems and implement security measures

Interested applicants, please send in your updated resume by clicking “Apply Now”
Lin Weikang
Registration Number: R21102570
Workstone Pte Ltd
EA License Number: 19C9998"
ADMINISTRATIVE ASSISTANT,AETOS SUPPORT SERVICES PTE. LTD.,MCF-2023-0727075,"AETOS Capital Group Pty. Ltd. (AETOS) is a renowned Australian broker specializing in financial products trading services.AETOS Support Services is a wholly owned operational office within the AETOS Capital Group of companies. AETOS Support Services team in Singapore consists of the departments of IT, Dealing, Operation and Finance.","OUE DOWNTOWN, 6 SHENTON WAY 068809","Permanent, Full Time",Non-executive,1 year exp,"Admin / Secretarial, Customer Service",1,"['$2,200to$3,000']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
About AETOS
AETOS is one of leading non-banking financial service companies offering trading of derivatives products including forex, precious metals and energy for retail and professional clients in different regions. AETOS has been regarded as one of the leading global retail brokers in the past decade. The Group has major business in Asia-Pacific and Australian regions and we are looking for a good candidate to fill the following position in Singapore office -- AETOS Support Services Pte Ltd.

About the Role - Job Descriptions:
Answer and direct phone calls
Organize and schedule appointments
Plan meetings and take detailed minutes
Write and distribute email, correspondence memos, letters, faxes and forms
Assist in the preparation of regularly scheduled reports
Order office supplies and research new deals and suppliers
Maintain contact lists
Book travel arrangements
Submit and reconcile expense reports
Provide general support to visitors
Liaise with executive and senior administrative assistants to handle requests and queries from Department Director and Associates Director of AETOS.
To be successful in this role, Job Requirements:
Proven experience as an Administrative Assistant or Office Admin Assistant
Knowledge of office management systems and procedures
Working knowledge of office equipment, like printers and fax machines
Proficiency in MS Office (MS Excel and MS PowerPoint, in particular)
Excellent time management skills and the ability to prioritize work
Attention to detail and problem solving skills
Excellent written and verbal communication skills
Strong organizational skills with the ability to multi-task
Creativity and friendly
Fresh graduate are welcome
This is a permanent full-time employment opportunity, we offer a competitive remuneration package to the right candidates. If you are interested in the post, please submit your latest CV to hr_sg@aetoscg.com with expected salary and availability.

All personal data collected will be used for recruitment purpose only."
Part-Time Administrative Assistant,TEMBUSU IMMIGRATION LLP,MCF-2023-0673885,No information added.,"Goldbell Towers, 47 Scotts Road 228233",Part Time,Executive,,Admin / Secretarial,1,"['$1,800to$3,500']",Monthly,291 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Job Highlights
Growth opportunities
Flexible work arrangements
Job Description:
We are seeking a dedicated and organized Part-Time Administrative Assistant to join our team. The ideal candidate will be responsible for providing efficient administrative support, ensuring smooth office operations, and contributing to the overall success of our organization. This is a part-time role with flexible hours, perfect for individuals seeking to balance work with other commitments.
Responsibilities:
Respond to emails and inquiries promptly.
Maintain organized physical and digital filing systems.
Coordinate calendars and appointments.
Support event planning and logistics.
Handle general office tasks as required.
Requirements:
· Candidates must possess diploma or A levels and above.
· No work experience is required. On-job training is provided."
Administrative Assistant,OPTS SOLUTES PTE. LTD.,MCF-2023-0696919,No information added.,"UB. ONE, 81 UBI AVENUE 4 408830",Full Time,Non-executive,2 years exp,"Accounting / Auditing / Taxation, Admin / Secretarial, Logistics / Supply Chain",1,"['$2,200to$2,600']",Monthly,9 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
We are looking for an Administrative Assistant to join our expanding team and provide administrative support. The ideal candidate will have a basic accounting knowledge, as well as experience with Quickbooks accounting software.

Responsibilities:
Provide administrative support, including data entry, filing, and general office tasks
Prepare financial documents, such as invoices, purchase orders, and expense reports in QuickBooks.
Enter and process journal entries
Arrange courier services for overseas shipment.
Other duties as assigned
Qualifications:
GCE O level or its equivalent
1-2 years of experience in an accounting or administrative role
Basic knowledge of accounting principles and procedures
Experience with Quickbooks accounting software
Strong organizational and time management skills
Ability to work independently and as part of a team
Excellent written and verbal communication skills
Benefits:
Competitive salary and benefits package
Opportunity to work in a fast-paced and dynamic environment
Collaborative and supportive work environment
Chance to learn and grow in your career
5 days work week
If you are a highly motivated and organized individual with an interest in accounting, we encourage you to apply for this position. We offer a competitive salary and benefits package, as well as the opportunity to work in a fast-paced and dynamic environment.
Please email to yz.zeng@optssolutes.com"
Administrative Assistant,OPTS SOLUTES PTE. LTD.,MCF-2023-0726625,No information added.,"UB. ONE, 81 UBI AVENUE 4 408830",Full Time,Junior Executive,2 years exp,Admin / Secretarial,1,"['$2,200to$2,600']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 13 Oct 2023,"Roles & Responsibilities
We are looking for an Administrative Assistant to join our expanding team and provide administrative support. The ideal candidate will have a basic accounting knowledge, as well as experience with Quickbooks accounting software.

Responsibilities:
Provide administrative support, including data entry, filing, and general office tasks
Prepare financial documents, such as invoices, purchase orders, and expense reports in QuickBooks.
Enter and process journal entries
Arrange courier services for overseas shipment.
Other duties as assigned
Qualifications:
GCE O level or its equivalent
1-2 years of experience in an accounting or administrative role
Basic knowledge of accounting principles and procedures
Experience with Quickbooks accounting software
Strong organizational and time management skills
Ability to work independently and as part of a team
Excellent written and verbal communication skills
Benefits:
Competitive salary and benefits package
Opportunity to work in a fast-paced and dynamic environment
Collaborative and supportive work environment
Chance to learn and grow in your career
5 days work week
If you are a highly motivated and organized individual with an interest in accounting, we encourage you to apply for this position. We offer a competitive salary and benefits package, as well as the opportunity to work in a fast-paced and dynamic environment."
Administrative Assistant #65634,ANRADUS PTE. LTD.,MCF-2023-0724838,No information added.,,"Permanent, Full Time",Fresh/entry level,,"Admin / Secretarial, Others",1,"['$2,200to$2,500']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Job Description
Industry/ Organization Type: Manufacturing
Position Title: Administrative Assistant / Clerk
Working Location: Tuas (Company Transportation Provided)
Working Hours: 5.5 days (Monday to Friday, 9.00 am to 6.00 pm; Saturday, 9.00 am to 1.00 pm)
Salary Package: Up to $2,500 + Performance Bonus
Duration: Permanent Role
Key Responsibilities
General admin duties, including answering phone calls.
Data entry and invoicing.
Scanning, typing, and filing documents.
Assist in day-to-day administrative tasks.
Any other task as assigned by the Superior.
APPLY NOW!!!
Basic computer literacy skills
Candidates without experience are welcome to apply; training is provided.
Please apply through ANY of the following methods:
Submit your application by clicking the APPLY button;
Email your resume to Job(at)anradus.com.sg. Please indicate #65634 on the email subject.
Anradus Application Policy: We value each application and ensure every resume is reviewed. Our process is efficient, typically concluding within 3 working days. If you do not receive communication from us within this timeframe, it's likely that your application has not been shortlisted by our client. In such cases, we recommend continuing your job search to maximize your opportunities.
Anradus Pte Ltd | EA License No. 20C0161 | Rachael Lee | EA Reg No.: R2093131"
Administrative Assistant (Contract / Up to $3.7K),PERSOLKELLY SINGAPORE PTE. LTD.,MCF-2023-0726341,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com PERSOLKELLY Singapore Pte Ltd | EA License No. 01C4394","CITY HOUSE, 36 ROBINSON ROAD 068877","Contract, Full Time",Fresh/entry level,,Admin / Secretarial,1,"['$2,800to$3,700']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Our client is looking for an Administrative Assistant to join them.
Scope:
Must be familiar with general office practices and tasks to support the business.
Have math aptitude.
Providing real-time scheduling support by booking appointments and preventing conflicts.
Able to operate standard office equipment, such as copiers, calculators, adding machines, etc. Must be familiar with filing systems.
Have ability to work quickly and accurately while performing repetitive tasks paying close attention to detail while maintaining accuracy and speed. demonstrate flexibility and willingness to adapt to new responsibilities and changes in the work environment.
Must be able to work independently on routine and recurring aspects of an assignment.
Should have ability to perform various word processing functions, such as creating, formatting, revising, retrieving, and storing documents (MS Office products).
Must possess excellent verbal and written communication skills, calendar management and must possess problem solving skills and be able to multi task.
Effective working with others.
Maintain polite and professional communication via phone, e-mail, and mail.
Interested candidates may apply through the application system. We regret to inform only Shortlisted candidates will be notified.
EA License No. 01C4394 • RCB No. 200007268E •Derrick Tiew Yong Han EA Registration No. R1877971
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy."
Office Administrator / Personal Assistant,ITCAN PTE. LIMITED,MCF-2023-0726408,"ITCAN PTE LTD , headquartered in Singapore, offers a full spectrum of integrated IT S/W Solutions & Services. Empowered to deliver enterprise client Server or web based solutions across the entire value chain, spanning on - site consulting services to turn key S/ W projects Regional Offices : Malaysia / Australia / HKG / Clients in : Europe / US / Canada /China / Japan / Middle East Multi Awards Winner : E50 , APEA, AREA, SOE , ASME, SIEA , AEA, TGE, (Visit Website for more details)",,Permanent,Professional,4 years exp,Admin / Secretarial,1,"['$2,500to$4,000']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Qualifications:
• High school diploma or equivalent; additional certification or education in office administration or related field is a plus.
• Proven experience as a personal assistant, administrative assistant, or similar role.
• Excellent organizational and time management skills, with the ability to prioritize tasks and meet deadlines.
• Strong written and verbal communication skills, with exceptional attention to detail.
• Native/bilingual level in English, fluency in Chinese is an added advantage.
• Proficient in using office software applications, including word processing, spreadsheets, and presentation software.
• Ability to handle confidential information with integrity and discretion.
• Strong problem-solving skills and the ability to work independently and as part of a team.
• Flexibility and adaptability to handle changing priorities and responsibilities.
• Strong work ethic and a proactive approach to tasks.
• Knowledge of general business practices and office procedures.
• Familiarity with travel arrangements and expense management.
• Ability to multitask and work well under pressure."
Administrative Assistant (URGENT / Immediate / S$3000 / Oil&Gas),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,MCF-2023-0728183,"MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD Manpower is the global leader in contingent and permanent recruitment workforce solutions. It is part of ManpowerGroup, the world leader in innovative workforce solutions, which creates and delivers high-impact solutions that enable clients to achieve their business goals and enhance their competitiveness. Manpower has provided organizations in Singapore with a continuum of staffing solutions from the incidental to the strategic since 1996, working with businesses to help them win. In the Human Age, where talent has replaced access to capital as the key competitive differentiator, Manpower Singapore leverages its trusted brand to develop a deep talent pool, providing clients with access to the people they need, fast. Manpower Singapore creates powerful connections between organizations and the talent they need to enhance their competitiveness and unleash their workforce potential. By creating these powerful connections, we help everybody achieve more than they imagined, and power the world of work. In Singapore, Manpower works with hundreds of local SMEs and multinational companies across various industries, including : Banking and Finance Corporate Finance and Accounting Call Center Engineering Events and Exhibitions Healthcare Hospitality Information Technology Life Sciences Logistics and Supply Chain Oil and Gas Retail See what is humanly possible at manpower.com.sg. Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012. Employment Agency License No.: 02C3423",,"Contract, Full Time",Fresh/entry level,2 years exp,"Admin / Secretarial, Customer Service",1,"['$2,000to$3,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Administrative Assistant (S$3000/ Oil&Gas)

12-Month Contract
Location : Jurong Island
Company Transport Provided
Salary Up to $3000 depending on experience
Industry : Oil & Gas

Our client is one of the world's largest publicly traded international oil and gas companies. They are actively looking for Administrative Assistant to join their operations.

Responsibilities:
Provides administrative support to a department or individual.
Duties may include: typing, filing, answering phones, scheduling, calendaring, record keeping, coordinating meetings and conferences, obtaining supplies and/or sorting/distributing mail.
May work on special projects to include recording, compiling, retrieving, reporting and analyzing information.
Prepare T&E for stakeholders
Print B&W contracts for signature and send to customers
Orders stationery and meals as and when required
Timesheet approval for A&M contractor
Ad Hoc application for JI pass for truck drivers

Requirements:
Excellent verbal and written communication skills, MS Office (Word, Excel and PowerPoint) and email systems, typing and dictation, administrative coordination abilities, customer service experience


Lim Pey Chyi - Apple.lim@manpower.com.sg
Recruitment Consultant (R2090579)
Manpower Staffing Services (S) Pte Ltd
EA Licence: 02C3423"
"Administrative Assistant (Litigation) – Up to $3,000 - Shenton - All Welcome!",SEARCH PERSONNEL PRIVATE LIMITED,MCF-2023-0726969,"SEARCH PERSONNEL PRIVATE LIMITED Search Personnel is an established, leading and reputable recruitment company that brings effective services to individuals and organisations with a sense of urgency and commitment. The thought behind Search Personnel is to deliver a specialized, high quality recruitment service. With Search Personnel you can expect a level of quality and professionalism from experts who know recruitment and understand the market. With a team of experienced recruitment consultants, we can exploit into years of local recruitment experience and expertise. This enables us to bring the best roles and the best candidates together. Our Services: Executive Search (Headhunting) Permanent Staffing Payroll Processing Service Contract Staffing Temporary Staffing and Casual Workers Foreign Recruitment (Overseas placements) Awarded: SME100 Awards 2020 - Singapore's Fast Moving Companies Awarded: Best Recruitment Portal – (Singapore) – Bronze in 2019 Best Staffing Firm – (Singapore) – Bronze in 2020 Best Mid-Management Recruitment Firm – (Singapore) – Bronze in 2020 Best Recruitment Firm – Mid-management roles RM8000 - RM15000 per month (Malaysia) – Gold in 2017 and Bronze in 2020 Best Recruitment Firm – Non-management roles under RM8000 per month (Malaysia) – Silver in 2018 Best Executive Search Firm – (Malaysia) – Bronze Award in 2019 and 2020 Voted by our valued clients and the public, HR Vendors of the Year Awards is one of Asia’s largest award shows dedicated to celebrating the achievements of organizations that do their best in serving the HR professionals. We are not only providing recruitment services but also solutions to employers in talent management, from employee’s on-boarding, performance management, to retention. Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Search Personnel Private Limited for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012.","CPF TAMPINES BUILDING, 1 TAMPINES CENTRAL 5 529508","Permanent, Full Time",Fresh/entry level,,Admin / Secretarial,1,"['$2,000to$3,500']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Position : Administrative Assistant (Litigation) – Up to $3,000 - Shenton - All Welcome!
Location : Shenton Way
Working hours : 5 Days Work Week – Monday to Friday: 9.00AM to 5.30PM
Salary (commensurate with experience) : Up to $2,800 + AWS + Performance Bonus + 14 Days
Duration : Perm
Industry : Law Firm

Responsibilities:
Opening and closing of files
Photocopying and filing in correspondence
Drafting letters to opposing law firm
Updating clients on progress of the matter
Preparing documents for court
Preparing bills
Answering phone calls
Any other ad-hoc duties as assigned

Requirements:
Minimum Diploma Qualifications
No experience required, training will be provided!

Email to: jeslyn(at)searchpersonnel.com.sg or DID: 6398 5685

Do visit www.facebook.com/search.personnel for more job listings.

***We do not charge our candidates any referral fee nor bind them with any contract.***

Jeslyn Tan
Senior Consulting Manager (APAC)
Reg no.: R21101247 | EA No: 13C6684"
