title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Content Writer / Technical Document Writer / Knowledge Writer,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,MCF-2023-0715809,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,,Full Time,Professional,4 years exp,Banking and Finance,1,"['$5,000to$9,000']",Monthly,7 applications,Posted 19 Sep 2023,Closing on 03 Oct 2023,"Roles & Responsibilities
Optimum Solutions (Registration Number: 199700895N) is Singapore's leading Information Technology , Consulting and Professional Services company with Competence in Digital Transformation, Automation, Robotics, Cloud, Big Data, Analytics and Emerging technologies projects. Optimum has been successfully delivering IT projects since 1997 and has been a key IT service provider to clients delivering Software Design, Development, Engineering and IT Transformation Projects.
Content Writer/Technical Document Writer/Knowledge Writer
Skills and Experience:
Must have overall 4+ yrs experience
Must be working experience in banking especially must have done Digital Banking documentation and have digital related article and experience creation.
Proven working experience and having good knowledge and experience in knowledge article creation
Able to rephrase the technical explanation to layman explanation
Able to understand technical terminology and jargons and be able to suitably convert to business or taxonomy
Proficiency in Microsoft Office
Good communication and writing skills
Proficiency for both technical and Business audiences
Expected Work Result:
Create business user friendly knowledge articles to publish on Digital Workplace Portal
Maintain knowledge article on Knowledge Portal
Key Responsibilities:
Translate technical knowledge articles / content to end user consumable knowledge article of high quality that can be published on DWP
Work on improving knowledge artefact quality levels with tech and ops teams based on quality ratings from end users"
Product Content Writer,QUILT AI PTE. LTD.,MCF-2023-0715967,"Quilt.AI creates empathy at scale between organizations and the billions of people on the planet. As a research company, we uncover cultural meaning in big human data to design positive change and impact at scale. We merge machine learning with human, cultural intelligence. Our team of anthropologists, engineers and designers develop dynamic models and maps from the billions of data points generated from digital behaviour with contextual ethnographic immersions.","NGEE ANN CITY, 391B ORCHARD ROAD 238874",Full Time,Executive,1 year exp,"Advertising / Media, Marketing / Public Relations",1,"['$3,000to$5,000']",Monthly,11 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
About Quilt.AI
Quilt.AI creates empathy at scale between organizations and the billions of people on the planet. As a research company, we uncover cultural meaning in big human data to design positive change and impact at scale. We merge machine learning with human, cultural intelligence. Our team of anthropologists, engineers and designers develop dynamic models and maps from the billions of data points generated from digital behaviour.
Roles & Responsibilities
Working closely with Product and Technology teammates, you will be responsible for developing product marketing messaging and campaigns based on features and data. With concise writing and clarity of thought, you will be able to distill complex features and case studies into interesting thought pieces and social content. You are meticulous with an extreme attention to detail. You will continuously monitor and track SEO performance and develop improvement plans through conceptualising article ideas, writing engaging articles, and executing search engine optimised website content, blog posts, promotional copies and other forms of content.
Critical thinking
What you will bring to Quilt.ai:
1-5 years of writing experience in SEO content marketing and product market campaign
Experience with at least 2 of the following tools: Google and Bing Webmaster Tools, Google Analytics, Google Adwords Keyword Planner, or any other or any other relevant SEO tools.
Experience writing with SEO best practices, such as performing keyword research, with appropriate usage of keywords and hyperlinks in copy.
An excellent command of English, editing, spelling, and grammar.
Able to adapt writing tone and style according to industry and market needs.
Strong project management to drive actions and manage multiple content projects at the same time
Please submit 3 to 4 samples of your previous work along with your CV
Preferred (Additional requirements which are not necessary prerequisites):
Writing experience in a technology-related field, especially for a consumer product
Understanding of data analytics and visualization tools (Microsoft Excel and/or Tableau)"
"Head of Content, SEO",OOM PTE. LTD.,MCF-2023-0707022,No information added.,"ORCHARD BUILDING, 1 GRANGE ROAD 239693",Full Time,Manager,4 years exp,"Advertising / Media, Design, Marketing / Public Relations",1,"['$4,500to$5,000']",Monthly,3 applications,Posted 15 Sep 2023,Closing on 15 Oct 2023,"Roles & Responsibilities
Job Description
Job Summary:
As the Head of Content, you will be responsible for leading and shaping our content strategy, ensuring its alignment with SEO best practices, and optimizing content performance. Your role will encompass strategic direction, resource allocation, team management, training, and process enhancement to drive the success of our content marketing efforts.

Key Responsibilities:

Direction:
Stay up-to-date with Current Content Trends:
Continuously monitor industry trends related to content creation, SEO, and digital marketing.
Apply industry insights to inform content strategy and execution.
Resource Allocation and Team Management:
Efficiently allocate resources, including assigning tasks to content writers based on their strengths and expertise.
Lead the hiring and expansion of the content team to meet organizational goals.

Strategy:
Content Performance Analysis:
Utilize analytics tools to monitor and analyze the performance of published content.
Use insights to refine content strategy and improve future content quality and effectiveness.
SEO Content Campaigns:
Plan, develop, and execute SEO-focused content campaigns to align with marketing goals and initiatives.
Ensure that content is optimized for search engine visibility and ranking.

Training:
Team Training and Development:
Identify training needs and opportunities for professional growth within the team.
Organize regular training sessions to upskill the content writing team and keep them updated with industry trends and best practices.
Foster a culture of continuous learning and improvement within the team.
Team Management:
Regularly assess the performance of content team members, providing constructive feedback and guidance.
Conduct performance reviews and set clear performance goals to enhance team members' development.
Leadership Continuity:
Identify subject matter experts within the team and encourage them to take on leadership roles.
Mentor junior writers and contribute to the agency's content development initiatives.

Process Setting:
Gap Identification:
Proactively identify potential gaps or challenges that the content team may encounter in content creation and delivery.
Develop solutions and strategies to address these challenges.
Continuous Workflow and Process Enhancement:
Continuously evaluate and enhance workflow and content creation processes.
Implement improvements to increase efficiency and productivity.

Qualifications:
Minimum 4-5 years of copywriting, content marketing or relevant experience.
Proven experience in content strategy and management, with a strong focus on SEO.
Exceptional leadership and team management skills.
Proficiency in using analytics tools for content performance analysis.
Excellent written and verbal communication skills.
Demonstrated ability to stay current with industry trends."
Digital Content Writer,HEALY CONSULTANTS GROUP PTE. LTD.,MCF-2023-0692487,No information added.,"VALLEY POINT, 491B RIVER VALLEY ROAD 248373","Permanent, Full Time",Non-executive,2 years exp,Others,1,"['$3,200to$4,500']",Monthly,18 applications,Posted 11 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
Healy Consultants is the best in the world at project managing business set up in every country on the planet. Since 2003, our multi-national Clients need us to set up their global subsidiaries.
As our firm is expanding, we are looking for a quality candidate based in Singapore to join our in-house Marketing team as a Digital Content Writer. Your daily tasks will include, but will not be limited to:
Craft quality content for our website, social media, and other marketing platforms.
Conduct research on subjects related to our business including but not limited to economics, foreign investment laws, accounting and tax etc.
Review and edit important emails as well as content prepared by international Staff.
All other ad-hoc work related to content and marketing.
Our ideal candidate:
Preferably two to five years’ professional experience in a copywriting/content marketing/reporting role. (Fresh graduates welcome to apply)
Has impeccable written and oral English communication skills and can produce clean and concise copy.
A competency in Chinese language writing will be highly advantageous.
A solutions-orientated problem solver, requiring minimal supervision.
Is able to timely supply quality deliverables.
Is disciplined with high professional standards.
Has good analytical skills and attention to detail.
Is a team player, comfortable working within a multicultural team.
Has a positive and proactive attitude.
Degree in Humanities, Journalism, Communications or related field is preferred.
What we can offer you:
Salary starting from S$3200 to S$4500, depending on experience. bonuses to be discussed after probation.
Learning the business set up cycle in every country on the planet, including accounting and tax and economics and legal considerations.
A fast-paced, young and successful firm with high professional standards.
Career stability and opportunities to grow and manage a team.
One of the best work-life balances in the industry.
Our global offices are professional, friendly work environments.
Working on and researching multiple jurisdictions across Asia, Middle East, Africa and Americas.
A focus on professional as well as personal growth.
Opportunities to work in international offices.
When applying:
All applications are kept strictly confidential.
Application outcome is usually known within 2 weeks of application submission.
Please email your CV to joezhou@healyconsultants.com
Only suitable candidates will receive a reply."
COMMUNICATIONS ASSOCIATE - CONTENT WRITER,COUNCIL FOR WORLD MISSION LTD.,MCF-2023-0660469,"Greetings! We are a charity not-for-profit organisation - CWM LTD, abbreviated for Council for World Mission. The Council for World Mission is a worldwide community of Christian churches. The 32 members are committed to sharing their resources of money, people, skills and insights globally to carry out God’s mission locally. CWM was created in 1977 and incorporates the London Missionary Society (1795), the Commonwealth Missionary Society (1836) and the (English) Presbyterian Board of Missions (1847). We shifted from London to Singapore since 2012. For more information, please visit our company website, http://www.cwmission.org/. Thank you.","CT HUB 2, 114 LAVENDER STREET 338729",Full Time,Executive,5 years exp,Others,1,"['$2,500to$5,000']",Monthly,26 applications,Posted 05 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
The Council for World Mission (CWM) is a worldwide partnership of Christian churches. The 32 members are committed to sharing their resources of money, people, skills and insights globally to carry out God’s mission locally in their countries. For more information, visit our website at www.cwmission.org or follow us on Facebook or Twitter.
ABOUT THIS ROLE:
The Communications Associate: Content Writer must possess good writing skills adaptable for diverse channels of communications; work closely with all team members to understand the strategic vision, content plan, and relate results to overall goals; and have an eye for detail as they review reports and identify opportunities for revisions and improvement.
Reporting to the Mission Secretary for Communications, the successful incumbent is a key member of the Communication team. This role is based in the Council for World Mission (CWM) Office in Singapore.

RESPONSIBILITIES:

1. Produce the CWM print & digital content
· Write in-depth content for CWM online channels and publications.
· Produce news releases, website articles, and social media content.
· Source, and write, copy content for the CWM website to write/populate the weekly CWM e-Newsletter, ensuring that it is topical and fresh.
· Ensure that the main CWM website content is maintained, technically updated and promoted to the audience.
· Create and publish engaging content, optimized for SEO.
· Write original content and proofread articles for CWM Publications.
· Prepare and create resources for CWM Publications.
· Perform other duties as assigned by the Mission Secretary for Communications.

2. Prepare audience engagement reports
· Monitor web, social, and online channels analytics to understand trends and improve engagement with the target audience.
· Performs data analysis using query and reporting tools.
· Produce standard and ad-hoc reports.

REQUIREMENTS:

· Bachelor’s degree in journalism, communications, or a related field.
· Minimum of 5 years’ experience in writing and sub-editing work, especially for websites, publications and newsletters.
· Exceptional written communication skills in English.
· Ability to produce content on-the-fly.
· Training in how to tell a story using words and images, and an understanding of how to create content that draws an audience.
· Working knowledge of WordPress.
· Experience with social media management, including dashboard creation and reporting.
· Fluency in web analytics tools (Google Analytics), social media marketing applications and social media monitoring.
· Excellent verbal communication and interpersonal skills.

How to Apply:

Please email your detailed CV with current and expected salaries to hr@cwmission.org
The closing date for receiving applications for this role is 31 Oct 2023."
CONTENT WRITER,J P INFOTEC PTE. LTD.,MCF-2023-0674939,"We provide our solutions and services across verticals. Our support team in Singapore,Malaysia, Indonesia and India can leverage pragmatic and cutting-edge technologies to deliver consulting and advisory services across various technology stacks including but not limited to: · RPA/AI/Machine Learning · DevOps · Big Data & Analytics · Digital Transformation · Legacy platform support & Migration · ERP · Cyber Security · Testing - Automation, Perfomance and Manual. Selenium, Tosca.. Talent Solutions: Our robust talent acquisition team can help you in your requirements as below: 1. Executive search 2. Permanent Placement 3. Contract to hire 4. Contract Staffing We promise an excellent and quick service with a very competitive rate as well as hassle free support.","THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",Contract,Junior Executive,1 year exp,Marketing / Public Relations,1,"['$3,500to$4,800']",Monthly,68 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities


Content Writers, or Content Creators, are responsible for using the written word to share information about a client’s products, services or industry. Their duties include preparing document outlines, updating content based on client edit requests and proofreading their work for tone, style, clarity, grammar and formatting.

Content Writers are responsible for style and format consistency across all projects and communicating with other team members to create the best content possible. Other duties and responsibilities include:
Completing writing projects, meeting deadlines and following content requirements in terms of style and project specifications
Revising content whenever customers or clients request changes
Helping create style guides or suggesting changes to ensure content is consistent and clear
Working with customers to define their content needs
Conducting research on any given topic
Optimizing articles for SEO and accessibility
Writing engaging content for blogs, ebooks, case studies, video scripts, infographics and other assets
Identifying gaps in content and recommending new topics
Editing content to ensure voice, grammar and style is on point
Creating and scheduling posts for multiple social media channels
Staying up to date on industry trends to support content development
Distilling complex concepts and language into content that is easily understood
Working closely with internal stakeholders to ensure alignment and consistency in messaging, branding and style
Managing and completing work on time for multiple content writing projects
Working with content strategists to build editorial calendars




Writing requires a wide range of abilities and knowledge, including:
Understanding grammar rules and how to construct clear sentences
Being mindful of things like flow, readability, and sentence variety
Computer literacy, as content writers use computers to create projects and to communicate with their team
An understanding of search engine optimization best practices
The ability to cooperate with other writers and editors to complete projects
The ability to give feedback on writing projects





Requirements
Proven work experience as a Content Writer, Copywriter or similar role
Portfolio of published articles
Experience doing research using multiple sources
Familiarity with web publications
Excellent writing and editing skills in English
Hands-on experience with Content Management Systems (e.g. WordPress)
Ability to meet deadlines"
Content writer,PERSOLKELLY SINGAPORE PTE. LTD.,MCF-2023-0664921,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com PERSOLKELLY Singapore Pte Ltd | EA License No. 01C4394","CITY HOUSE, 36 ROBINSON ROAD 068877",Contract,Executive,2 years exp,Marketing / Public Relations,1,"['$4,000to$4,500']",Monthly,37 applications,Posted 30 Aug 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
We are seeking a talented Content Developer/ Copywriter to join our team. The ideal candidate will have a strong passion for writing and a knack for creating engaging and persuasive content. Responsibilities include developing creative and compelling copy for various platforms, conducting research, and collaborating with cross-functional teams to ensure brand consistency. If you possess excellent communication skills, a keen eye for detail, and the ability to meet deadlines, we would love to hear from you.
Career venture into government organization!
Contract: 1 Year
Location: Depot Road
Working hours: Mon to Thurs (0800- 1730 hrs) and Fri (0800- 1700hrs)
Salary upto $4,500
Responsibilities:
Develop and write compelling content for various marketing materials, including websites, blogs, social media posts, email campaigns, and advertisements.
Conduct thorough research on industry-related topics to ensure accurate and up-to-date content.
Collaborate with the marketing team to develop content strategies that align with our brand voice and objectives.
Edit, proofread, and revise content for grammatical and factual accuracy.
Stay updated on emerging content creation trends and tools to continuously improve the quality and effectiveness of our content.
Ensure all content adheres to brand guidelines and maintains a consistent brand voice.
Requirements:
Bachelor's degree in English, Journalism, Marketing, or a related field.
Proven experience as a content developer, copywriter, or a similar role.
Exceptional writing and editing skills with a keen eye for detail.
Strong research skills and the ability to gather information from reliable sources.
Ability to meet deadlines and manage multiple projects simultaneously.
Strong communication and collaboration skills to work effectively within a team.
A passion for storytelling and the ability to adapt writing style to different target audiences.
Interested candidate please click ""APPLY"" to begin your job search journey and submit your CV directly through the official PERSOLKELLY job application platform - GO Mobile.

We regret to inform that only shortlisted candidates will be notified.
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.

PERSOLKELLY Singapore Pte Ltd • RCB No. 200007268E • EA License No. 01C4394• Reg. R1766716 (Ng Yi Ling)"
Web / Software Content Writer,OPENFEEL PTE. LTD.,MCF-2023-0660516,"OpenFeel is an established IT solution provider in Singapore, providing software consultation, development and implementation services. Our services cover implementation of information system for businesses and custom software development based on clients' requirements.","THE SYNERGY, 1 INTERNATIONAL BUSINESS PARK 609917","Temporary, Contract, Freelance, Flexi-work, Internship/Attachment",Professional,,"Advertising / Media, Consulting, Engineering, Information Technology, Professional Services",1,"['$400to$2,000']",Monthly,9 applications,Posted 29 Aug 2023,Closing on 28 Sep 2023,"Roles & Responsibilities
Content writer for web or software applications, business writings and documentations.
The position is for ad-hoc and short-term project based or part-time work. Internship is also welcomed.
The successful candidate must have a flair for forming relevant and easy to understand contents for website, software, business writings and documentations, that entices and engages the user.
Responsibilities:
• Analyse and develop content independently for website and software
• Produce content for website with good use of keywords suitable for search engine optimisation
• Support development of operational and business development related content (eg. operation manual, proposal, marketing collateral, project deliverable)
Qualifications and Qualities:
• Relevant Degree or Diploma in Arts/Media/Communications is preferred
• Good interpersonal and communication skills
• Able to work independently and as a team
At OpenFeel, we believe in assisting individuals to develop themselves in their professional capacity and be capable of managing their own performance. We encourage our staff to actively contribute to the improvement of their work and operation.
We are looking for committed, driven and open minded individuals to join us. We invite you to join our development team. If you are interested, please submit your application at http://www.openfeel.com/career.php.
Once submitted, please look out for our email on your application with email address ending with @openfeel.com. Gentle note that this can sometime be filtered into Junk folder, please mark them as not Junk.
Kindly note that due to overwhelming response, only short listed candidates will be informed."
Content Writer,REZT & RELAX MOBILI PTE LTD,MCF-2023-0661140,REZT & RELAX MOBILI PTE LTD,"T-SPACE, 1 TAMPINES NORTH DRIVE 1 528559",Full Time,Junior Executive,3 years exp,"Advertising / Media, Building and Construction, Design, General Work, Others",1,"['$3,150to$4,500']",Monthly,19 applications,Posted 29 Aug 2023,Closing on 28 Sep 2023,"Roles & Responsibilities
Content Strategy
Develop a content strategy that supports the company's objectives. This involves understanding the target audience, defining key messaging, and deciding on the types of content to create.

Content Creation
Produce various types of content, social media updates, videos, infographics, whitepapers, case studies, and more. Create content that is informative, engaging, and aligned with the company's brand.

Branding and Messaging
Ensure that all content reflects the company's brand identity, values, and messaging guidelines. Maintain a consistent tone and style across all content pieces.

SEO Optimization
Implement SEO strategies to optimize content for search engines. Use relevant keywords, meta descriptions, and headers to improve the content's visibility in search engine results.

Social Media Management
Create, schedule, and publish content on social media platforms. Engage with the audience by responding to comments, messages, and participating in relevant conversations.

Content Analytics
Monitor the performance of content using analytics tools. Analyze metrics such as website traffic, engagement rates, social media reach, and conversions to assess the effectiveness of the content strategy.

Collaboration
Coordinate with various teams within the company, such as marketing and design team, to gather information and insights for content creation. Collaborate with subject matter experts to ensure accuracy and credibility.

Content Calendar
Develop and maintain a content calendar that outlines the schedule for content creation, publication, and promotion. This helps ensure a consistent flow of content and timely delivery.

Research and Trend Analysis
Stay updated with industry trends, market changes, and competitor activities. Research can help you create content that is timely, relevant, and stands out from the competition.

Content Distribution
Choose the appropriate channels for content distribution. This could include the company's website, social media platforms and more

Job Requirements

Team Player
Meticulous
Willing to Learn
Able to work with tight work deadlines
Positive Mindset
Minimum ""O"" levels & Diploma
Good English writing skills
Required Skills in Photoshop, Premiere Pro, Lightroom"
Content Writer / Content Creator,MARINE ONLINE (SINGAPORE) PTE. LTD.,MCF-2023-0660671,"About Us Marine Online (Singapore) Pte Ltd is an eCommerce company, focusing on delivering essential marine services to shipowners. We integrate digital technology, big data, and Artificial Intelligence into the traditional shipping industry to streamline services, which in turn lead to cost savings for shipowners. With the transaction data gathered from Marine Online's platform, we are able to develop an efficient supply chain and credit rating system. This platform aids global shipowners in resolving cash flow issues and positively drives digital adaptation in the maritime industry.","SOLARIS @KALLANG 164, 164 KALLANG WAY 349248",Permanent,Senior Executive,3 years exp,"Information Technology, Marketing / Public Relations",1,"['$3,800to$6,000']",Monthly,46 applications,Posted 29 Aug 2023,Closing on 28 Sep 2023,"Roles & Responsibilities


Responsibilities
Develop a content strategy aligned with the brand's goals. Target audience, and industry trends
Conduct thorough research on industry trends, competitors, and relevant topics to create informative and valuable content
Generate innovative ideas for different content formats that capture the audience's attention and effectively convey the brand's message
Craft engaging and persuasive copy that maintains the brand's tone and voice across various platforms
Ensure content is error-free, well-structured, and aligns with the brand's standards before publishing
Content creation for Search Engine Optimisation rankings


Requirements
Around 3 - 5 years of experience
Experience in content writing


Please send an updated resume to alfred.lai@marineonline.com or apply directly if you are keen to apply for this position


We will contact you if you are shortlisted for this position"
