title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Contract Manager / Harborfront / Up to $9,000",WORKSTONE PTE. LTD.,MCF-2023-0724178,We arrange your future! Our Consultants have more than 5 years of experience and our aim is to provide the best service for all our clients.,,Permanent,Manager,10 years exp,"Building and Construction, Consulting, Engineering, General Management",1,"['$6,000to$9,000']",Monthly,3 applications,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Responsibilities:
✅Review vendors and subcontractors' terms of service & project deliverables.
✅Support project, monitoring, reporting, planning and coordinating of work.
✅Review processes, systems and policies of project’s contract management and administration.
✅Advises contractual correspondence related to the project matters
✅Manage contractual risk & contractual claims, disputes, settlements and resolution
✅Write notices to Client/ SubContractor/supplier for contractual matters, claims and variations
✅Prepare and monitor track changes and variations with relevant project team
✅Preparation of Extension of Time and prolongation costs claims

Requirements:
Degree in Quantity Surveying / Construction Management/Civil Engineering
Min 10 years experience in contract negotiation, administration and/or management
Experience in handling in Buildings / Civil / LTA projects
Knowledge in construction/contract law e.g PSSCOC, SIA, LTA, REDAS, FIDIC, NEC, etc.



Interested applicants, send in your updated resume by clicking “Apply Now”
Lin Weikang
Registration Number: R21102570
EA License Number: 19C9998
Workstone Pte Ltd"
Dental Assistant [2 Yrs Contract]- EU,RK RECRUITMENT PTE. LTD.,MCF-2023-0729330,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Contract,Non-executive,,Healthcare / Pharmaceutical,1,"['$2,000to$3,500']",Monthly,0 application,Posted 24 Sep 2023,Closing on 08 Oct 2023,"Roles & Responsibilities
Benefits Summary:
Dental Clinic
2 years contract, Training provided
Basic $2000 - $3500 + Performance Bonus
up to $400 medical reimbursement annually
44 hours per week
Aljunied / Ang Mo Kio / Toa Payoh / Hougang / Tanjong Pagar / Yishun (Rotate among different branches)
Responsibilities:
Assist dental surgeon in procedures and minor dental surgeries
Prepare the work area for patient treatment by setting out instruments and materials
Sterilize dental instruments
Ensure professional services are provided to patients
Answer phone calls and schedule appointments
Basic administrative duties
Requirements:
Able to work for long standing hours
Willing to work on weekends
Willing to learn
Please submit your updated resume by using the APPLY NOW BUTTON

By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.

*We regret to inform you that only shortlisted candidates would be notified*

We wish you all the best in your career search.

You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Lee Wai Yin Eunice | EA Personnel No.: R23116005
749"
Sales Admin Assistant (Temporary 6 months) SW228,PASONA SINGAPORE PTE. LTD.,MCF-2023-0703140,"― Who Are We? ― Pasona Singapore Pte. Ltd., a wholly-owned subsidiary of Pasona Inc. (Japan), was established in 1984, a leading Japan-based recruitment firm in Singapore with experience over 35 years. We have a strong network of 15 countries and 59 other overseas branches across the world (as of July, 2020) and provide not only placement services but also deliver various types of HR-related services in high quality. ― For Job Seekers ― Pasona’s goal is to introduce jobs where our candidates can make use of their skills and experiences. We will support you through career consultation, introducing suitable jobs and until your first working day. Please register with us online which enables you to apply for current opening jobs and receive new vacancies if you are suitable candidates. Do visit Pasona Singapore's website for more information and other job opportunities.http://www.pasona.com.sg Pasona Singapore Pte. Ltd. 1 Finlayson #09-02 Singapore 049246 Email: japandsk@pasona.com.sg EA Licence No. 90C4069 http://www.pasona.com.sg/privacy.html","ONE FINLAYSON GREEN, 1 FINLAYSON GREEN 049246",Temporary,Fresh/entry level,,"Accounting / Auditing / Taxation, Admin / Secretarial, Logistics / Supply Chain, Manufacturing, Others",1,"['$3,000to$3,500']",Monthly,42 applications,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
Job Description
- Manage customers enquiries, feedback, etc.
- Preparation of documents (e.g. order processing, verifying payment, delivery orders).
- Maintain and update sales records and ensure files are backed up.
- Assist in monthly sales closing.

Job Requirement
- Good interpersonal skills
- Proficient in MS Office Suite
- No experience is required, and training will be provided

(Might be converted to permanent)

Interested applicants pls send in a copy of your resume with your current, expected salaries and availability in Microsoft Word format to Low See Wei (R1551122) seewei at pasona.com.sg for immediate processing.
Kindly indicate in your email subject title as ""Job Application for 18673 Sales Admin Assistant (Temporary 6 months) SW228""
Only shortlisted candidates will be notified, other applications will be updated to our database for future job opportunities
Thank you.
By submitting any resumes or applications to Pasona Singapore Pte Ltd, you are considered to have read and agreed on the terms of our Privacy Policy, and consented to us collecting, using, retaining, disclosing your personal information to the prospective employers for their consideration.
Please find Privacy Policy Agreement from the below link.
http://www.pasona.com.sg/privacy.html"
Finance Executive | (6 months contract) #seekbetter,STAFFLINK SERVICES PRIVATE LIMITED,MCF-2023-0729684,"STAFFLINK SERVICES PRIVATE LIMITED Stafflink Services is an enterprising human resource provider that offers a wide range of recruitment solutions for companies across all industries. At the core of Stafflink is a team of committed and proficient recruitment consultants. With their varies background and working experiences, clients of diverse industries can be assured of competent and personalised recruitment services that go beyond the mundane. Here at Stafflink, we relentlessly place the interests of both clients and candidates as our top priority. Not only do we value candidates as our key assets, we also take immense pride in servicing our clients. By carefully understanding their needs and providing apt solutions, we strive to foster enduring relationships, all achieved with the exemplary service standard that Stafflink has set itself upon.",,Contract,Junior Executive,1 year exp,Accounting / Auditing / Taxation,1,"['$3,000to$3,500']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
*Monday - Friday, 8am - 5pm
*Location: Somerset (Walking distance from MRT)
*British MNC company
*5 months contract and convertible to perm

Our client is one of the largest chemicals company in the world

Objective:
As a member of the finance team, this role will assist to ensure timely AP and AR activities, as well as other activities to ensure smooth operations.

Responsibilities:
Accounts Payable (AP)
Be the key person to manage issues and queries of payables between outsourced service provider and internal stakeholders
Check payments generated by outsourced service provider before submission for approval
Monitor and ensure accuracy of cash inflow/outflow records
Reconciliation of Vendor statement
Prepare monthly AP reports
Accounts Receivable (AR)
Ensure Accounts Receivable collections are received on time and recorded accurately
Liaise with outsourced service provider on receipts processing and to resolve any discrepancies
Prepare monthly AR reports
Assist with month end closing
Any other ad hoc duties as assigned
Requirements:
Minimum GCE “O” level or equivalent
Minimum 5 years of relevant experience in Accounts Payable and Accounts Receivable
Proficient in Microsoft Office, SAP experience would be an advantage
HOW TO APPLY:
Interested applicants, please click on “Apply Now” or email to submit your resume.
We regret only shortlisted candidates will be notified.

Stafflink Services Pte Ltd
EA Licence No.: 04C4294
EA Personnel: Jason Bong Wee Kiat
EA Personnel Reg. No.: R23116067"
Admin Officer / Executive (Government Agencies) II Contract,APBA TG HUMAN RESOURCE PTE. LTD.,MCF-2023-0729443,"APBA TG Human Resource Pte Ltd (a wholly owned subsidiary of the TG Group) TG Group (“TG”) is a global workforce solutions provider with an international reach in over 50 markets across the globe. Headquartered in Singapore with Shanghai Foreign Service (Group) Co Ltd (""FSG"") as a strategic shareholder, TG delivers a comprehensive suite of innovative human capital solutions to help our clients achieve greater business success. TG adopts a future-centric approach where we aspire to be at the forefront of the evolution of the future of work. We believe that human capital is the greatest asset to any institution. With a wealth of experience in the Human Resources (HR) industry, we combine our international expertise and local know-how to deliver bespoke and innovative workforce solutions. Our diverse portfolio of client-centric workforce solutions includes Contingent Workforce Management (CWM), Business Process Outsourcing (BPO), Permanent Placements, Recruitment Process Outsourcing (RPO), Professional Employer Organisation (PEO), and Payroll Process Outsourcing (PPO).",,Contract,Fresh/entry level,1 year exp,"Accounting / Auditing / Taxation, Admin / Secretarial, Human Resources",1,"['$2,000to$2,800']",Monthly,1 application,Posted 24 Sep 2023,Closing on 01 Oct 2023,"Roles & Responsibilities
Multiple positions with Govt Agencies
Monday to Friday Office Hours
Contract Roles
Salary from $2100 - $3000
Responsibilities:
· Handle correspondences via emails or hardcopy letters
· Perform general administrative duties such as data entry, photocopying and filing
· General HR and Accounts duties
· Any other adhoc administrative duties as assigned

Requirements:
· Minimum Diploma Level and above
· Proficient in English
· Able to work independently and an excellent team player who is task-orientated
· Possess initiative and positive attitude
· Proficient in Microsoft Office and has Good Excel Skills
· Must be able to commit for at least 6 Months and above

Interested candidates, please forward a copy of your resume to: vivien.khaw@tg-hr.com

We regret to inform that only shortlisted candidates will be notified.

SINGAPOREANS ONLY"
Business Development AManager (Freight Sales / Contract Logistics),CVISTA HR CONSULTING PTE. LTD.,MCF-2023-0729545,"At CVista HR, we strive to push boundaries. We don’t just aim to provide a good service - we envision ourselves to collaborate and to partner not just with our Clients, but with Candidates as well. We aim to be the preferred consulting agency of choice for both our Candidates and our Clients. Candidates Recognizing that CVista HR’s most important assets are its people, CVista HR will strive to differentiate ourselves by being passionate about providing a holistic approach while recommending the best-fit jobs for you. At CVista HR, we understand that there are different factors that candidates are considering when looking for a job and keeps them motivated at it, so we always strive to deliver the personalized approach for our candidates. This helps us to keep both our Candidates and Clients happy. The job opportunities are created by keeping ourselves constantly connected with companies across various industries. Engineering F&B / Retail / Services Finance & Accounting Health & Life Sciences Human Resources Information Technology Logistics/ Supply Chain & Freight Forwarding Manufacturing Sales & Marketing Clients We provide Total Recruitment Solutions, Talent Management, Recruitment Process Outsourcing (RPO) and HR Consultancy Services that includes the following: Permanent Placement Executive Search Mass Recruitment Contract Placement Payroll Services Work Pass Application Services HR Consulting Services We want you partner you, as Candidates and Clients for this fruitful journey. Write in to us at enquiry@cvistahr.com now! Our friendly and approachable consultant will get in touch with you!",,"Contract, Permanent, Full Time",Manager,3 years exp,"Logistics / Supply Chain, Sales / Retail, Others",1,"['$4,500to$7,000']",Monthly,0 application,Posted 24 Sep 2023,Closing on 01 Oct 2023,"Roles & Responsibilities
Responsibilities:
Proactive in pursuing new business through strong pipeline, ensuring prospects are identified & qualified
Active participation to local RFQ, collaborate with both Products & Pricing team for timely submission
Meet & exceed GP & Volume growth in line with Sales targets / KPIs
Focus on strong client engagement through high level of services and trusted relationship to drive sustainable business growth & profitability
Develop & execute business expansion plan with key stakeholders to improve sales conversion ratio
Responsible for all business-related matters pertaining to new business implementation, scope of agreement, business improvements and ongoing service performance
Development of target customers, industries, trade focus aligned with ASL (Products) strategy
Well, planned & organized daily sales activities
Responsible for account (revenue, GP, volume) including account receivable Timely submission of reports as defined
Perform other job-related duties as assigned by Head of Sales
Requirements:
Minimum Diploma/Degree holder in Sales & Marketing, Business Management or related disciplines
At least 3 years of sales “hunting” experience in freight forwarding industry with proven track record
Strong business acumen, contract negotiation and presentation skills
Self-motivation, result-driven and customer-oriented
Qualified or interested candidates, please submit your updated resume in MS format by using the Apply Now Button or email to xinyuan.tan(at)cvistahr.com
Candidates are also encouraged to contact our office where our approachable Consultants will address any inquiries and advice you with relation to this job advertisement. Our dedicated HR Consultants will get in touch with shortlisted candidates for a confidential discussion!
R22103985 | EA License 16C7883"
Admin Executive (Legal Dept) II Contract II $2800 per month,APBA TG HUMAN RESOURCE PTE. LTD.,MCF-2023-0729459,"APBA TG Human Resource Pte Ltd (a wholly owned subsidiary of the TG Group) TG Group (“TG”) is a global workforce solutions provider with an international reach in over 50 markets across the globe. Headquartered in Singapore with Shanghai Foreign Service (Group) Co Ltd (""FSG"") as a strategic shareholder, TG delivers a comprehensive suite of innovative human capital solutions to help our clients achieve greater business success. TG adopts a future-centric approach where we aspire to be at the forefront of the evolution of the future of work. We believe that human capital is the greatest asset to any institution. With a wealth of experience in the Human Resources (HR) industry, we combine our international expertise and local know-how to deliver bespoke and innovative workforce solutions. Our diverse portfolio of client-centric workforce solutions includes Contingent Workforce Management (CWM), Business Process Outsourcing (BPO), Permanent Placements, Recruitment Process Outsourcing (RPO), Professional Employer Organisation (PEO), and Payroll Process Outsourcing (PPO).",,Contract,Junior Executive,2 years exp,Admin / Secretarial,1,"['$2,700to$2,800']",Monthly,0 application,Posted 24 Sep 2023,Closing on 01 Oct 2023,"Roles & Responsibilities
Work Location: Mapletree Business City
Working Hours: Monday to Friday Office Hours
Monthly pay: $2800 per month
8 Months Contract

Responsibilities:
Manage records, legal precedents and databses
Provide PA and administrative support to HODs and management
Handle administrative and financial matters e.g. verify invoices, raise payment requests etc.
Requirements:
General Diploma in any discipline
Experience in secretarial / executive work or equivalent
Proficient with computers andMicrosoft Word, Excel, Outlook and Powerpoint
Strong interpersonal skills and ability to liaise with people from outside Division and Organisation.
Meticulous, well-organised and resourceful.
Able to work independently and as a team player

Interested candidates, kindly send in your resume to: vivien.khaw@tg-hr.com

We regret to inform that only shortlisted candidates will be notified."
License Processing Officer II 11 Months Contract II $2800 #ref:licensing,APBA TG HUMAN RESOURCE PTE. LTD.,MCF-2023-0729478,"APBA TG Human Resource Pte Ltd (a wholly owned subsidiary of the TG Group) TG Group (“TG”) is a global workforce solutions provider with an international reach in over 50 markets across the globe. Headquartered in Singapore with Shanghai Foreign Service (Group) Co Ltd (""FSG"") as a strategic shareholder, TG delivers a comprehensive suite of innovative human capital solutions to help our clients achieve greater business success. TG adopts a future-centric approach where we aspire to be at the forefront of the evolution of the future of work. We believe that human capital is the greatest asset to any institution. With a wealth of experience in the Human Resources (HR) industry, we combine our international expertise and local know-how to deliver bespoke and innovative workforce solutions. Our diverse portfolio of client-centric workforce solutions includes Contingent Workforce Management (CWM), Business Process Outsourcing (BPO), Permanent Placements, Recruitment Process Outsourcing (RPO), Professional Employer Organisation (PEO), and Payroll Process Outsourcing (PPO).",,Contract,Executive,2 years exp,"Admin / Secretarial, Public / Civil Service",1,"['$2,700to$2,800']",Monthly,0 application,Posted 24 Sep 2023,Closing on 01 Oct 2023,"Roles & Responsibilities
Work Location: Mapletree Business City
Working Hours: Monday to Friday Office Hours
Monthly pay: up to $2800 per month
8 Months Contract

Responsibilities:
Assist to process licensing matters/applications
Assist to process payments received, put up for approval on requests for waiver of late payment fee, refunds and licence transfers
Assist to process GIRO applications
Assist to contact applicants/licensees on expiring invoices
Assist to send weekly email reports for tracking of payments, licence renewals, and prepare reports for the monthly meetings to the teams for info and update.
Assist in other adhoc assignments.
Requirements:
Diploma and above
Competent in the use of Microsoft Office
Able to liaise with members of the public and licensees
Good written and verbal communications skills.

Interested candidates, kindly send in your resume to: vivien.khaw@tg-hr.com

We regret to inform that only shortlisted candidates will be notified."
Assistant Manager (Human Resource Business Partner) I Contract I $3450 per month,APBA TG HUMAN RESOURCE PTE. LTD.,MCF-2023-0729421,"APBA TG Human Resource Pte Ltd (a wholly owned subsidiary of the TG Group) TG Group (“TG”) is a global workforce solutions provider with an international reach in over 50 markets across the globe. Headquartered in Singapore with Shanghai Foreign Service (Group) Co Ltd (""FSG"") as a strategic shareholder, TG delivers a comprehensive suite of innovative human capital solutions to help our clients achieve greater business success. TG adopts a future-centric approach where we aspire to be at the forefront of the evolution of the future of work. We believe that human capital is the greatest asset to any institution. With a wealth of experience in the Human Resources (HR) industry, we combine our international expertise and local know-how to deliver bespoke and innovative workforce solutions. Our diverse portfolio of client-centric workforce solutions includes Contingent Workforce Management (CWM), Business Process Outsourcing (BPO), Permanent Placements, Recruitment Process Outsourcing (RPO), Professional Employer Organisation (PEO), and Payroll Process Outsourcing (PPO).",,"Contract, Full Time",Junior Executive,5 years exp,"Admin / Secretarial, Human Resources",1,"['$3,400to$3,450']",Monthly,0 application,Posted 24 Sep 2023,Closing on 01 Oct 2023,"Roles & Responsibilities
Work Location: Mapletree Business City
11 Months Contract
Monthly Salary: up to $3450 per month

Job Scope:

To support the BP team with:
Administrative matters eg responding to staff queries, soliciting feedback from ROs on staff nominations for awards, staff referral management, room bookings, purchase of refreshments for townhalls/meetings etc.
Assisting BPs with onboarding scheduling and welcome call to new hires
Assisting BPs with secondment administration
Assisting BPs with the follow up on staff's confirmation, contract renewal etc
Requirements:
Degree in Human Resource or equivalent with at least 2 yrs of relevant working experience
Possesses good organisational skills and is meticulous
Strong analytical, communication and stakeholder management skills
Able to work in a fast-paced environment and a team player
Interested candidates, kindly email your resume to: vivien.khaw@tg-hr.com

We regret to inform that only shortlisted candidates will be notified.

SINGAPOREANS ONLY"
Administrative Executive II Contract II up to $3450 per month #dncr,APBA TG HUMAN RESOURCE PTE. LTD.,MCF-2023-0729458,"APBA TG Human Resource Pte Ltd (a wholly owned subsidiary of the TG Group) TG Group (“TG”) is a global workforce solutions provider with an international reach in over 50 markets across the globe. Headquartered in Singapore with Shanghai Foreign Service (Group) Co Ltd (""FSG"") as a strategic shareholder, TG delivers a comprehensive suite of innovative human capital solutions to help our clients achieve greater business success. TG adopts a future-centric approach where we aspire to be at the forefront of the evolution of the future of work. We believe that human capital is the greatest asset to any institution. With a wealth of experience in the Human Resources (HR) industry, we combine our international expertise and local know-how to deliver bespoke and innovative workforce solutions. Our diverse portfolio of client-centric workforce solutions includes Contingent Workforce Management (CWM), Business Process Outsourcing (BPO), Permanent Placements, Recruitment Process Outsourcing (RPO), Professional Employer Organisation (PEO), and Payroll Process Outsourcing (PPO).",,"Contract, Full Time",Senior Executive,3 years exp,"Admin / Secretarial, Information Technology, Public / Civil Service",1,"['$3,400to$3,450']",Monthly,0 application,Posted 24 Sep 2023,Closing on 01 Oct 2023,"Roles & Responsibilities
Work Location: Mapletree Business City
Working Hours: Mon to Fri Office Hours
Monthly Salary: up to $3450 per month
10 Months Contract

Job Scope:
Assist in the management of the System including any upcoming system tender and implementation.
Processing of documents relating to the system (e.g. collation of tender documents, drafting of vendor letters, etc)
Liaison with the key stakeholders of the System, including internal departments and external contractors.
Support the team in the implementation of the system changes and/or new system setup.
Other related/adhoc administrative work
Requirements:
Degree (IT background preferred)
Organised and pays attention to details
Has good verbal and written communication skills
Has experience in administrative work
Kindly email your resume to: vivien.khaw@tg-hr.com

We regret to inform that only shortlisted candidtaes will be notified.

Singaporeans Only"
