title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Customer Service Representative,HILTI FAR EAST PTE LTD,MCF-2023-0568181,"With some 30,000 employees in more than 120 countries, Hilti is a world leader in manufacturing and selling top-quality products for customers in the building and construction, mining and energy industry. Our brand name is synonymous with exceptional products and exceptional service. Most known for our legendary hammer drills, our extensive product range includes power tools, firestops and installation systems. Hilti is truly an exceptional company that offers employees a positive & rewarding environment. We continuously invest in the further development of our team members by providing them with extensive training and opportunities across functional and geographical borders. Hilti Singapore has been operating since 1968 as Hilti Far East Pte Ltd. We are a 100% subsidiary of the Hilti Corporation with 150 employees.","MAPLETREE BUSINESS CITY, 80 PASIR PANJANG ROAD 117372",Full Time,Executive,3 years exp,Customer Service,1,"['$4,000to$5,000']",Monthly,84 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
What’s the role?
We are looking for a high caliber candidate with strong business acumen to unleash your high potential, starting as Customer Service Representative. Our people come from different backgrounds with a shared dedication to high performance and consistent results. As a Customer Service Representative, you are the point of contact for our renowned brand name. An innovative, successful and fast-growing company with many (international) career opportunities. Where you will work with customers from day one! This direct responsibility contributes to your development in preparation for the next steps in your career.
Who is Hilti?
If you’re new to the industry, you might not have heard of us. We provide leading-edge tools, technologies, software and services for the global construction sector. We have a proud heritage, built over 75 years, and a worldwide reputation for pioneering products and exceptional service. With more than 30,000 people in more than 120 countries, we’re a great place for you to show us your worth as you learn, grow and carve-out your career.
What does the role involve?
As Customer Service Representative, you’ll work closely as part of our Customer Service Team to maximize our customer satisfaction. In order to do so, Customer Service Representative will engage in providing quality services to customers , identifying customer needs to create leads for sales team, processing complex orders & quotations, assist to promote and cross sell appropriate solutions and handling customer enquiries and complaints through phone, chat or emails. The working environment is not just another call center, you will be part of a dynamic team that handles the complete sales cycle.
We have more than 250,000 interactions with our customers every day. It’s how we get to know their businesses, understand their needs and develop the precise products and services that will help them.
What do we offer?
We’ll give you everything you need to excel in your role, including ongoing training and lots of responsibilities from the start. You work in a team with a positive attitude and receive maximum support. In return for your exceptional performance and consistent results, you’ll receive one-to-one career mentoring, as well as exciting opportunities to move around the business.
Why should you apply?
We have an excellent mix of people, which we believe makes for a more vibrant, more innovative, more productive team. So, if you’ve never worked in construction, that’s fine with us. Success at Hilti is down to teamwork and ability, regardless of your background.
What you need is:
· Diploma or Degree in any discipline.
· Experience in customer service would be an added advantage
· High proficiency in English to communicate with our customers (written & spoken), bilingual is a plus
· Proficient in MS Office and knowledge in SAP and Salesforce is vital
· Excellent communication and interpersonal skills
· Strong customer orientation and problem-solving and can-do attitude
· Self-motivated, highly energetic with persuasion skill and willingness to explore self-potential in different area
· High ambition to develop your long-term career at Hilti
Interested to find out more?
Kindly refer to careers.hilti.com.sg and submit your application.
By submitting your resume, you confirm and agree that Hilti Far East Pte Ltd and its related companies worldwide (collectively, “Hilti Group”) may collect, use and disclose your data for their recruitment purposes. This may include selecting, evaluating and recruiting candidates for roles or positions that differ from the above job description, but for which we believe that you may be interested in or appropriate for.
We look forward to receiving your application and regret that only shortlisted candidates will be notified."
Customer Service Representative,MORGAN MCKINLEY PTE. LTD.,MCF-2023-0726484,"As a global professional services recruitment consultancy, Morgan McKinley connects specialist talent with leading employers across multiple industries and disciplines. Our promise to you You can get the best advice for your career at Morgan McKinley. Our team of consultants have either have an educational background in their sector or have industry experience. We take the time to listen to your long term goals and provide you with honest feedback to help you realise them. Over the years many people have progressed their careers with us both here in Singapore and internationally and our global presence gives us insight into the domestic and international markets. In Singapore we specialise in Banking & Financial Services, Legal, Compliance & Audit, Finance & Accounting, IT, Project Management, Sales & Marketing, HR and Supply Chain & Procurement.",,Contract,Junior Executive,1 year exp,Customer Service,1,"['$1,800to$2,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities

Job Description:

Log all incoming calls and email and record sufficient information to facilitate effective incident processing.Identify the impact, urgency, and priority of incidents.
Provide initial troubleshooting and support for incidents.
Escalate incidents that cannot be resolved by the service desk to the appropriate Application Maintenance team and monitor progress.
Seek confirmation for closure from the user when resolution is provided.
Serve as the first point of contact for all incidents Prepare daily and weekly report (knowledgeable in excel)
Work Hours: 8:00am to 5:00pm

Job Requirements:

At least 1 year of experience in Customer Service/Support or relevant field
Tech Savvy individual and willing to be trained
Analytical and problem-solving skills.
Amenable to work onsite at Haw Par Technocentre in Commonwealth, Singapore

What We Provide:
A highly competitive remuneration package.
An opportunity to interface with cutting-edge technology.
An inclusive and collaborative work milieu
A clear trajectory for career advancement and professional growth.

Interested candidates may apply through the application system or send it to sg-techcontracting@morganmckinley.com. Shortlisted candidates will be notified.

By sending us your personal data and curriculum vitae (CV), you are deemed to consent to Morgan Mckinley Pte Ltd and its affiliates to collect, use, and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.morganmckinley.com/sg/privacy-policy. You acknowledge that you have read, understood, and agree with the Privacy Policy.

Morgan McKinley Pte Ltd
Koh Boon Sien
EA Licence No: 11C5502
EA Registration No. R1110345"
Customer Service Representative (Oil & Gas),TALENTVIS SINGAPORE PTE. LTD.,MCF-2023-0726066,"TALENTVIS SINGAPORE PTE LTD Established in the year2000, TALENTVIS has succeeded and evolved into an established recruitment service provider for many industries. TALENTVIS serves as a one-stop centre for all Human Resources Solutions, Recruitment & Staffing and HR outsourcing. The Principal fields of activities are :Permanent, Temporary, Contract Staff Placements an Payroll outsourcing services.","ORCHARD GATEWAY @ EMERALD, 218 ORCHARD ROAD 238851",Full Time,Executive,2 years exp,"Customer Service, Engineering, Professional Services",1,"['$3,500to$4,500']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Key Responsibilities:
Handling customer inquiries and tenders for our products and services on a daily basis
Monitoring and preparing quotations and tender records for Sales
Reviewing existing quotations with clients to assess their status
Sourcing materials for job-related ancillaries to ensure uninterrupted production schedules
Verifying stock availability
Conducting Contract Reviews in the event of an order
Managing and resolving outstanding customer demands while coordinating with Production to ensure timely order deliveries
Tracking order progress and keeping clients informed
Creating and maintaining presentation materials and product information
Compiling sales reports on general activities, expected turnover, and market trends
Promoting all of the company's products and services
Generating revenue for the company and cultivating customer relationships
Serving as a central point of contact for customers on specific jobs, with a proactive approach to customer liaison
Maintaining consistent communication with Production personnel regarding job status
Prioritizing customer satisfaction and cultivating positive working relationships
Fulfilling any additional duties or responsibilities as required
Actively participating in and contributing to the development of HSE (Health, Safety, and Environment) matters, including hazard and incident identification, risk assessments, and control determinations
Ensuring that work activities and behavior align with the HSE policy, objectives, procedures outlined in the HSE management system, and compliance with applicable local legal requirements

Skills and Qualifications:
Diploma or Degree in Engineering, Materials, or equivalent (Preference for Mechanical Engineering)
Analytical and creative problem-solving skills
Effective communication skills at all levels
Strong organizational and time management skills
Proficient PC skills

Please submit your updated resume here and/ or reach out to Zann Tan (EA: R23112217) and her team at 98438083 or apply22@talentvis.com for a confidential conversation."
Customer Service Representative - Contract = 12 months,ZENITH INFOTECH (S) PTE LTD.,MCF-2023-0726938,"Zenith Infotech (S) Pte Ltd. was started in 1997, primarily with the vision of offering state-of-the-art IT Professionals and solutions to various organizations and thereby helping them increase their productivity and competitiveness. From deployment of one person to formation of whole IT teams, Zenith Infotech has helped clients with their staff augmentation needs. Zenith offers opportunity to be engaged in long term projects with large IT savvy companies, Consulting organizations, System Integrators, Government, and MNCs.",,Contract,Professional,1 year exp,Information Technology,1,"['$2,000to$2,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
This is a 12 months contract assigned to our client

Work Location: Commonwealth MRT
Salary Range : $2,000-$2,500

Support hours: 7am to 8pm
Shift timings: 7am -4pm; 9am to 6pm and 11am to 8pm
Days : Mon-Sun (including public holiday)

Job Description
1. Log all incoming calls and email and record sufficient information to facilitate effective incident processing.
2. Identify the impact, urgency, and priority of incidents
3. Provide initial troubleshooting and support for incidents.
4. Escalate incidents that cannot be resolved by the service desk to the appropriate
Application Maintenance team and monitor progress.
5. Seek confirmation for closure from the user when resolution is provided.
6. Serve as the first point of contact for all incidents
7. Prepare daily and weekly report (knowledgeable in excel)"
"*Perm* Customer Service Representative (Retail Industry)- Town ($3,000 to $4,000) #NJE",RECRUIT EXPRESS PTE LTD,MCF-2023-0727942,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.","NGEE ANN CITY, 391A ORCHARD ROAD 238873",Permanent,Executive,3 years exp,Logistics / Supply Chain,1,"['$3,000to$4,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Stock Management: in the store and in the warehouse; movements between stores; centralization of the merchandise
Responsible for purchase orderentry and updates. Keep track of and communicate status of upcoming POs.
Input designated SKUs for markdown into appropriate merchandising system
Produce an on-going set of weekly reports (e.g. On Order Report) as well as ad hoc business reports
Prioritize multipleresponsibilities to ensure all deadlines are met, and resolve any issues in a timely manner by partnering with appropriate business partner(s).
Having constant communication with stores and Sales Manager on their needs.
Liaise between 3PL & store on all deliveries matters
Requirements:
Minimum 3 – 5 years’ experience in Customer Service function

[Joy Yeow Zhi Qian]
[Personnel EA Registration Number: R2096261]
Recruit Express Pte Ltd EA Licence No: 99C4599
We regret that only shortlisted candidates will be contacted."
Service Engineer (Security / CCTV / Alarm System),CAPITAL HUMAN RESOURCE MANAGEMENT PTE. LTD.,MCF-2023-0727778,"""Welcome to Capital HRM” We are a One-stop Comprehensive Human Resource and Recruitment Solutions Provider for Local conglomerates and multinational corporations within Asia Pacific region. We believe Honesty, Integrity, and Consistency is key to success and strives to achieve value for all with maximum effort. Our team of dedicated and experienced consultants adheres to a strict policy of ethical and professional standard towards our clients and candidates alike to meet the aims of our business partners. People, Power, Future",,Permanent,Executive,2 years exp,Security and Investigation,1,"['$3,000to$4,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities

Our Client, in the Security Systems Industry located at the Central has opening for Service Engineer.
5 Days Work Office Hour
Career Advancement
Variable Bonus
Allowance

Responsibilities
Work with the Customer Service Representative to solve the client’s security system problems in the earliest time.
Provide support and maintenance services such as routine preventative maintenance, troubleshooting, system upgrades/expansions/alterations and systems training.
Maintain long-term relationships with clients.
Increase customer satisfaction
Renew the support & maintenance contract.
Ensure quality of services following company standards and policies strictly, to deliver prompt and efficient response to all service requests within assigned region.
Provide routine preventive maintenances.
Handle daily trouble-shooting, follow up all open technical issues till the problems resolved.
Take over all service issues from Project team after External Hand Over done.

Requirements
Minimum Diploma or above in Electronic, Computer, Automatization or Mechanical Engineering.
Minimum 2 year of customer service working experience (security-related preferred) in a multinational environment.
Experience in security system field with knowledge of Access Control, CCTV and Alarm System will be considered as a plus.
Basic IT knowledge in hardware, network and database.
Ability to work under pressure
Strong analytical skill and problem-solving ability.
Strong self learning ability, work independently
Customer-orientation

Qualified or interested candidates, kindly apply to us in the FOLLOWING FORMAT to facilitate the short-listing process;

Attachment of CV’s in MSWORDFORMAT
Resumes please INCLUDE:
Personal Particulars
Education background
Work experiences in point forms
All Reasons for leaving
Current and Expected salary
Date of availability / Notice Period

**We regret that only shortlisted candidates would be notified. Your Profile will be kept in our database for more career opportunities. We wish you all the best in your job search.

Chia Kim Wai Terry
Reg No: R23111838
EA No: 19C9570"
Customer Service Representative – Asia Pacific,KEVIN MURPHY ASIA PTE. LTD.,MCF-2023-0723161,No information added.,1 Kallang Junction 339263,Full Time,Executive,2 years exp,"Customer Service, Logistics / Supply Chain",1,"['$4,000to$5,500']",Monthly,9 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Position Overview: This role is responsible for accurately and efficiently processing distributor orders for the Asia-Pacific region in accordance with company policies and procedures, and the importation requirements for each individual market. This includes reviewing and verifying orders for completeness and accuracy, collaborating with sales, inventory, and logistics teams to coordinate order fulfillment, preparing necessary regulatory and import/export related documentation, and maintaining effective communication with customers and distributors. The position requires monitoring order progress, addressing any issues or delays that may arise, providing technical assistance to distributors, and proactively resolving order discrepancies.
Top 5 Priorities for this role
1. Ensuring Customer orders are processed on time and in full.
2. Working with Supply Chain Management, Logistics, Sales and Regulatory teams.
3. Coordinating with logistics and regulatory for necessary documentation to support order shipping.
4. Data Accuracy and Attention to Detail.
5. Providing our customers with excellent experience.
Key Responsibilities:
• Order Processing: Accurately and efficiently process distributor orders in accordance with company policies and procedures.
• Order Verification: Review and verify distributor orders for completeness and accuracy, ensuring that all necessary information is provided.
• Document Preparation: Ensuring coordination and processing of necessary documentation to support import/export of the orders is provided based on the needs of the individual markets.
• Collaboration: Collaborate with sales, inventory, logistics and regulatory teams to coordinate order fulfillment, ensuring timely delivery to distributors.
• Communication: Maintain effective multi-channel communication with customers, distributors, providing timely updates on order status, confirmation, shipment tracking, and any potential delays. Maintain and deploy up-to-date ordering and price lists with latest products and codes .
• Order Monitoring: Monitor order progress, track shipments, and proactively address any issues or delays that may arise during the fulfillment process.
• Technical Assistance: Assist distributors in navigating the order management system, troubleshooting technical issues, and providing guidance on placing orders.
• Issue Resolution: Proactively identify and resolve order discrepancies and other issues, working closely with internal departments and distributors to ensure timely resolution.
Required Competencies:
• Attention to Detail: Strong attention to detail to accurately review and verify distributor orders, ensuring completeness and accuracy.
• Communication Skills: Excellent communication skills to effectively communicate with distributors and provide timely updates on order status and any potential issues.
• Collaboration: Ability to collaborate and coordinate with internal departments, including sales, inventory, and logistics, to facilitate seamless order fulfillment. Prepares reports and correspondence as needed as requested by the Customer Service Supervisor.
• Problem Solving: Strong problem-solving skills to proactively identify and address any order-related issues or discrepancies.
• Technical Proficiency: Familiarity with order management systems and the ability to assist distributors in navigating and troubleshooting technical issues.
• Time Management: Effective time management skills to prioritize tasks, meet deadlines, and ensure efficient order processing.
• Customer Service: A customer-focused approach to assist distributors and provide positive order management experience.
• Performs other related duties as assigned.
Education and Experience:
• One (1) year order processing experience or two (2) years related experience or equivalent.
• MSOffice and ASANA (or equivalent project management tool) intermediate user, experience with ERP System (ideally Microsoft Dynamics)
• Excellent multi-tasker with strong organizational, problem-solving, and analytical skills, good attention to detail, and deadline oriented. Ability to manage priorities and workflow.
• Excellent customer service and interpersonal skills
• Excellent verbal and written communication skills, including the ability to effectively communicate with people at all levels and from various backgrounds.
• Versatility, flexibility, and a willingness to work within constantly changing priorities with enthusiasm.
• Must be motivated, flexible, conscientious, resourceful, and proactive.
• Must be able to speak, read, write, and understand the primary language(s) used in the workplace (English)
• Hair/Beauty industry knowledge/experience preferred, but not essential
• Curiosity and growth mindset.
• Entrepreneurial spirit."
Customer Service Representative,KEY SOLUTIONS PTE. LTD.,MCF-2023-0718457,"Key Solutions Group of Companies is an international specialist providing a broad range of products and services for the test and measuring equipment industries. Comprehensive experience in dynamic asset management and process optimization, supplementing engineering technical services, verification, calibration and multi brand capability for repair and preventive maintenance programs of test, measuring and monitoring technology. KSPL Group offers is expertise for the implementation acquistion of measurement systems, customized equipment asset management solutions and metrological technical support and training.",50 TAGORE LANE 787494,Permanent,Executive,1 year exp,"Customer Service, Engineering, Marketing / Public Relations, Sales / Retail, Precision Engineering",1,"['$2,000to$2,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Provide a range of administrative support to the field sales teams to help in the achievement of channel objectives, including but exclusively:

a. Management of inbound sales team queries through the SO inbox.

b. Customer specific operational requests in line with the account support matrix including order status.

c. Stock control support & analysis for key customers including the tracking of sales out, promotional activities and monitoring customer level forecasts.

2. Assist in the creation of cascade documents / training materials and performance review metrics.

3. Deal with all sales manager queries and escalate as required within both the immediate team and wider business."
Customer Service Representative (Full Time) - Contract = 12 months,ZENITH INFOTECH (S) PTE LTD.,MCF-2023-0715829,"Zenith Infotech (S) Pte Ltd. was started in 1997, primarily with the vision of offering state-of-the-art IT Professionals and solutions to various organizations and thereby helping them increase their productivity and competitiveness. From deployment of one person to formation of whole IT teams, Zenith Infotech has helped clients with their staff augmentation needs. Zenith offers opportunity to be engaged in long term projects with large IT savvy companies, Consulting organizations, System Integrators, Government, and MNCs.",,Contract,Professional,1 year exp,Information Technology,1,"['$2,500to$2,800']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
This is a 12 months contract assigned to our client

Work Location: near Commonwealth MRT
Salary Range : $2,500-$2,800

Work Timing
1. Rotating Shift
2. Monday to Sunday (including Public Holiday)
3. Shift time - 8am-8pm
4. 44 hours per week (5.5 days of work)

Job Description
1. Provide technical support for resolution of customer IT problems, incidents, issues, requests and queries.
2. Liaise with other support teams, or product teams as required to resolve requests/issues in a
timely manner.
3. Ensure proper documentation, notification, escalation, tracking and follow up of all incidents.
4. Primary responsibilities are focused on customer contact, not transaction processing.
5. lst level helpdesk to respond to call and provide resolution to customer queries

Education
1. Minimum O Level and above
2. Pass O Level English"
Bank Teller / Customer Service Representative (Open for retail and other customer facing experience),NTT DATA SINGAPORE PTE. LTD.,MCF-2023-0714820,"NTT DATA is a top 10 global IT services provider, headquartered in Tokyo and operating in more than 50 countries. For us, work is not only for technological innovation, it is about connecting people to create better solutions for everyday life. NTT DATA offers an advanced portfolio of consulting, application, business process, cloud, and infrastructure services to businesses and governments worldwide. Our roots cross continents and cultures, dating back five decades. Since the foundation of NTT DATA, we have made sustainable business growth through our DNA to be people-oriented. Through our long-term perspective, we hope to make a big difference in this world by getting the small things right. This pedigree yields a characteristic unique to NTT DATA: the opportunity for a global brand with the creative energy and enthusiasm of an entrepreneur.","REPUBLIC PLAZA, 9 RAFFLES PLACE 048619",Contract,Fresh/entry level,1 year exp,"Banking and Finance, Customer Service, Hospitality, Marketing / Public Relations, Sales / Retail",1,"['$3,000to$4,500']",Monthly,9 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
📧 EMAIL ID : Interested candidates, please email your resume to mike.ramos@nttdata.com

Role: Bank Branch Officer - 12 months Renewable contracts
Experience: Minimum of 6 months internship or full time sales, customer service, retail, hospitality, banking, or any customer facing role.
Location : Multiple job sites*

Benefits:
Renewable contract (Performance-based)
Conversion to perm role (Performance-based)
Medical Insurance Coverage
Performance Bonus
Leave credits

Job sites:
DBS Holland V
POSB Compass One
DBS HarbourFront Branch
DBS Woodlands Branch
DBS Kovan Branch (open for retail 3k salary)
POSB Hougang Central Branch
DBS Towner Road Branch
DBS Parkway Parade Branch
POSB White Sands Branch
DBS Kovan Branch
POSB Bukit Batok Central Br
DBS Kovan Branch
DBS HarbourFront Branch
POSB Waterway Point
POSB Yishun West Branch
DBS Bukit Timah Branch
DBS_Thomson_Branch
POSB Paya Lebar
MBFC BRANCH
DBS South Bridge Branch
DBS Clementi Central
DBS Suntec City
DBS Bishan Branch
DBS Toa Payoh Branch

Schedule:
Monday to Friday - 8 AM to 5 PM
Saturday - 8 AM to 1:30 PM (Rotational) - off in leu/comp off

Job Responsibilities:

Attend to walk-in customers
Handle over-the-counter transactions in an efficient and accurate manner (including cash deposits and withdrawals)
Assist in customers’ enquiries and ensure DBS service delivery standards are met in achieving total customer satisfaction
Prospect and introduce customers to the Bank’s products and services
Educate and migrate customers towards our digital platform
Drive service excellence in the areas of customer satisfaction - customer wait time, problem resolution and customer feedback / escalation / complaint
Ability to understand issues and appropriately escalate to Management in a timely fashion
Ensure compliance with all regulatory requirements
Contributes to self and team effort by accomplishing related results

Qualifications:
Preferably Diploma or above.
Candidate must be comfortable to meet customer
Some customer facing, ideally related experience or any other (ex: Retail or Branch Banking)
Must be adaptable. Not afraid to face customers.
IT Savvy .Need to be able to use digital app, systems etc .
Good in basic excel or word .

About us:
We are a top 8 global IT services company with operations in 50+ countries. We offer an advanced portfolio of application, business process, cloud, and infrastructure services to businesses and governments worldwide.
NTT DATA Singapore PTE Ltd is a wholly owned subsidiary of NTT DATA Corp, a part of NTT Group, the world’s 65th Largest Company according to Fortune Magazine.

At NTT DATA SINGAPORE, we pride ourselves on being an inclusive and equal opportunity employer that puts our people and clients first. We welcome different ideas, backgrounds and passionate individuals to join us in our inclusive environment to achieve stronger and better results through teamwork, foresight, and innovation. We pledge to create a harmonious and nurturing culture, where all individuals feel a sense of pride and belonging, regardless of age, gender identity, race, sexual orientation, physical or mental ability, ethnicity

COLLECTION, USE AND DISCLOSURE OF PERSONAL DATA - NTT DATA will be assessing and evaluating your suitability for employment/appointment or continued employment/appointment in any position within our organisation

📧 EMAIL ID : Interested candidates, please email your resume to mike.ramos@nttdata.com"
