title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Data Analyst,NTUC FAIRPRICE CO-OPERATIVE LTD,MCF-2023-0727811,No information added.,"FAIRPRICE HUB, 1 JOO KOON CIRCLE 629117",Full Time,Senior Executive,5 years exp,"Information Technology, Others",1,"['$5,000to$10,000']",Monthly,11 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Business Profile Description
As Singapore’s leading supermarket retail player and a household name close to all, we have grown with you over the years. It is now your turn to grow an exciting new career and fulfil your aspirations with us. Join us as we embark on a journey to make lives better for our customers, community, environment and employees.
At NTUC FairPrice, we offer you more than just a job. We are committed in giving our employees a rewarding career through comprehensive development opportunities. We promise a wonderful workplace culture with ample opportunities for growth at different levels of your career. Every of our 10,000 employees across Singapore is important.
If the prospect of working in an organization at the forefront of retail technology and innovation excites you, look no further.
Grow your career with us today and make a difference.
.
Job Description
The role of Data Analyst will be to apply advanced data analytic tools (statistical modelling, visualisation, and marketing optimization) to solve complex problems, support decision making and design solutions for FairPrice. He/she will report to Head of Business Analytics.
Responsibilities
Analyse business performance and trends to identify potential opportunities for sales growth
This involves deep dive analysis to understand key drivers for sales and developing actionable recommendations for the business
Identifying customer segments and understanding their buying behavior, demographics and life stage to develop strategies on how to engage different customer groups
Measuring the effectiveness of pricing and promotion activities in stores
Developing recommendations on how to use different promotion mechanics
Uncover insights, both descriptive and predictive, for the end-to-end customer management journey, i.e. acquisition, utilisation, retention and reactivation
Develop dashboards to drive the implementation of self-service analytics to the other functions within the organization
Drive transformational change within the organization towards customercentricity and data driven decision making
Qualifications
Degree in Business/ Statistics/ Mathematics/Computer Science with minimum 3-5 years of relevant experience in database marketing, customer dataanalytics or customer data science.
Preferably with working experience in commercial/operational decision making
Must be highly technical with strong data analytics competencies
Focus will be on people with experience dealing with large datasets with heavy transaction platforms
Demonstrated hands-on experience of optimization engines for targeting marketing offers.
Experience in working within data science teams, and product teams utilizing the latest software including capable experience with latest tools like SQL, SAS,R, HADOOP, PYTHON, SPARK, HANA, TABLEAU, and other latest data platforms
Preferably someone have worked on retail and new e-biz enabled models and how data is architected
Able to work independently and manage ambiguity
Clear structural thinking, and strong curiosity for problem solving
Motivated, meticulous and results oriented
Resourceful and problem solver
Excellent interpersonal, communication and project management skills
Team player and ability to collaborate with stakeholders across functions"
Data Engineer / Data Analyst,TECH MACHERS CONSULTING,MCF-2023-0725324,"Our speciality services are Mobile Apps, FinTech, eCommerce, AI/Machine Learning, Web 3, BlockChain and Video on Demand. Razer focus on key problem areas and internal expertise yields exceptional solutions.","VERTEX, 33 UBI AVENUE 3 408868",Full Time,Junior Executive,2 years exp,Information Technology,1,"['$4,000to$5,000']",Monthly,4 applications,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Looking for :
Data Engineer/ Data Analyst with 2 to 5 years experience in L3 operations support for the business intelligence/visualization tools, such as OBIEE and Tableau.
Optimization and performance tuning
Issue troubleshooting and resolution
Administration, installation and configuration
Production migration"
Data Analyst,PAN-UNITED TECHNOLOGIES PTE. LTD.,MCF-2023-0653172,No information added.,"Kaki Bukit Techpark 1, 12 Kaki Bukit Crescent 416243","Permanent, Full Time",Executive,2 years exp,Information Technology,1,"['$3,000to$5,000']",Monthly,123 applications,Posted 25 Aug 2023,Closing on 24 Sep 2023,"Roles & Responsibilities
Data analyst is responsible to gather and scrutinise data using specialist tools to generate information that helps others make decisions, by responding to questions about data and look for trends, patterns and anomalies within it.

Job Responsibilities:
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Create predictive, prescriptive and/or explanatory models
Generate actionable insights for business improvements
Research and understand the latest technologies to define new process improvement opportunities
Job Requirements:
Bachelor's degree in Computer Science/ Information Technology or equivalent
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Proficient in a programming language (Python, Java, SQL)
Experience/Knowledge in Operation Research (OR) is would be an advantage
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Additional experience in data visualization and/or knowledge of reinforcement learning is a plus"
Data Migration Analyst | Up to $7500 | 12Months Renewable Contract,EPS COMPUTER SYSTEMS PTE LTD,MCF-2023-0727013,EPS COMPUTER SYSTEMS PTE LTD is a leadin IT services company and specialist in IT Contract Staffing IT Manpower Outsourcing IT Technical Support Services IT Consultancy Services Service Desk / Contact Centre Management,160 ROBINSON ROAD 068914,Contract,Senior Executive,5 years exp,Information Technology,1,"['$6,000to$7,500']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Location: Town Area
Working Hours: Monday - Friday, 8am - 5pm
Salary: Up to $7500

Job Scope:
Identifying and addressing any data migration errors or discrepancies. Data Migration Analysts troubleshoot and resolve issues that may arise during the migration process.
Verifying the accuracy and completeness of the migrated data. Analysts often perform data validation tests to ensure that the data in the target system matches the source system.
Collaborating with other teams, such as IT, business analysts, and project managers, to ensure that the data migration aligns with the overall project goals and timelines.
Conducting thorough testing of the migrated data to ensure that it meets the requirements and expectations of end-users. This includes user acceptance testing (UAT) if necessary.
The resource should be able to manage a few objects data loading including

Requirements:
A bachelor's degree in computer science, information technology, data management, or a related field is often preferred.
Experience with various database management systems like SQL query, Eclipse,
Strong analytical skills to assess data quality, debugging, and develop data transformation strategies.
Proficient in MS Office

HOW TO APPLY:
Interested applicants, please submit your updated resume in PDF/MS Word format to avery@eps.com.sg.
Please state your availability, current & expected salaries for processing purpose.
All applications will be treated in the strictest confidence. We regret that only shortlisted candidates will be notified.

Tay Bi Hui Avery
Reg no: R23112677
EPS Consultants
95C5630"
Data Analyst (Business Planning / Python) - Ref: FC,SEARCH INDEX PTE. LTD.,MCF-2023-0684957,"At Search Index, we believe in working along closely with our clients in an enduring partnership towards successful career placement. We specialise in identifying and assessing candidates and recruiting them from junior to senior level roles across all industry sectors. We provides end-to-end solutions ranging from Permanent, Contract, Temporary and Project based placement. Executive Search Payroll and Staff Management Search Index is committed in providing the highest level of service with our extensive knowledge of human resources, consultancy and search expertise. We work with Local Small Medium Enterprise (SMEs) and Multinational Companies (MNCs) across various industries.",,"Permanent, Full Time",Manager,8 years exp,Others,1,"['$7,000to$9,000']",Monthly,29 applications,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
To provide strategic analysis and communicate the financial forecast and business planning from a qualitative and qualitative perspective to the leadership team.
Responsibilities
Manage collation of data, reporting, submission and communication of financial forecasts and Business Plan to leadership team as well as ensure quality submission within timeline
To facilitate the division KPIs forecasting process with timeline management and appropriate analysis to assist management team to make informed decision
To facilitate and coordinate financial planning and annual workplan discussions related to budgeting and forecasting with different stakeholders including Corporate Finance
Review projected costs and revenue in conjunction with internal and external (e.g. finance) teams to ensure cost recovery and to review/develop cost recovery and pricing model where required.
Implementation of forecasting tools and other analytic tools and dashboards to improve process efficiency
What you will need
Bachelor Degree in Technology/Accounting/Finance/Business Administration or Diploma with extensive working experience.
Financial Planning and Analysis (FP&A), Project Management and/or consultancy experience is highly valued.
Confident with processing high volume of data and generate reports/data and presenting to C suites; Prior Data Set Structuring and Modelling experience is a plus.
Proficiency in data analysis tools such as SQL, Excel, Python, PowerBI, Tableau and etc
Ability to think big picture and challenge status quo processes to provide value added support to stakeholders.
Willingness to learn and be able to deep dive into financials/KPIs to explain variances.
Ability to learn, unlearn and relearn.
Salary will commensurate according to Candidates’ Work Experience & Qualifications. To apply for this job opportunity, click on APPLY NOW. We regret that only short-listed candidates will be contacted shortly.
EA License No: 14C7092
EA Registration No: R2199193 (Frieda Chan)"
Data BI Analyst #IJF,RECRUIT EXPRESS PTE LTD,MCF-2023-0727855,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.","NGEE ANN CITY, 391A ORCHARD ROAD 238873","Contract, Full Time",Executive,3 years exp,Information Technology,1,"['$4,000to$8,000']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities

Responsibilities:
Design and Develop Data Warehouses (DW)/Data Mart (DM) architecture, continuously enhance and improve to ensure it meets technical and business requirements.
Manage and Maintain Data Warehouses: running smoothly, monitor system performance, diagnose and troubleshoot issues, and make necessary changes to optimize DB performance.
Data Integration and Processing: processing, cleaning, and integrating large data sets from various sources to ensure that the data is accurate, complete, and consistent.
Data Modeling: designing and implementing data modeling solutions to ensure that the data is properly structured and organized for analysis.
Data Analysis, Reporting and Dashboarding: responsible for analyzing, and interpreting data to support decision-making. Utilize data analytics techniques to identify trends, track KPIs, and provide insights that drive business objectives.
Collaboration: work closely with cross-functional teams
Any other ad-hoc duties as assigned by supervisor

Qualifications & experience:
Diploma, Bachelor’s or Master’s degree in computer science, data science, or a related field.
3 - 5+ years of relevant working experience in successful DW/DM implementation including experience in database performance tuning and query optimization.
Experience in designing, developing, managing, and maintaining of Data marts, meta-data, data warehouse architectures.
Proficient in cloud data warehousing technologies (Azure environment), including Microsoft BI technology (SSRS, SSIS, SSAS and Power BI) • experience in ETL, SQL, and data modeling techniques.
Strong in programming languages such as SQL, Python, or R.
Strong analytical skills to identify patterns and insights from large and complex data sets.
Cloud Data Warehouse technologies such as AZURE Data Warehouse preferred.
Experience in Machine Learning, AI and Statistics will be useful.
Excellent communication and collaboration skills to work effectively with cross-functional teams.

Interested applicants, please Email , and look for
Jensen Fang Lifa, jensenfang@recruitexpress.com.sg
Recruit Express Pte Ltd
EA License No. 99C4599
EA Personnel Registration Number: R2197080

We regret that only shortlisted candidates will be contacted."
Data Engineer - AI Market Prediction,TECHNOLOGY SERVICES GROUP PTE. LTD.,MCF-2023-0604519,"Technology Service Group Singapore (TSGS) and its subsidiaries have a long history & passion for investing in technology businesses in Asia. Technological progress enables us to contribute to people's happiness and accelerate the benefits of modern life to those who need it most. We aim to build an idealistic society where everyone can enjoy the benefits of civilization, regardless of where they live, by recruiting the best minds in the world.","Keppel Bay Tower , 1 Harbourfront ave 1 098632",Full Time,Professional,5 years exp,"Engineering, Information Technology, Others",1,"['$7,000to$11,000']",Monthly,71 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
We are an ambitious fintech company using AI to predict market trends and provide our customers with leading-edge trading technology. We are on a mission to make top-tier trading tools accessible to retail investors.

Job Overview:
We are seeking a Data Engineer/Data Analyst to join our team in Singapore. This person will be instrumental in ensuring the quality of data feeding our cutting-edge machine learning models. They will be responsible for cleaning, processing, and organizing vast amounts of data, enabling our predictive models to function at their best.

Key Responsibilities:
Collect, clean, and process raw data from various sources to prepare it for use in our models.
Develop and maintain databases, data systems, and data pipelines to ensure consistent data flow.
Implement data validation processes to ensure data accuracy and reliability.
Collaborate with our data scientists and machine learning engineers to understand their data needs and deliver high-quality datasets.
Identify, design, and implement data process improvements: automating manual processes, optimizing data delivery, etc.
Implement and maintain security measures to keep data safe and confidential.
Required Skills/Experience:
Degree in Computer Science, Information Systems, or a related field, or equivalent experience.
Strong experience in data cleaning, preprocessing, and wrangling.
Proficiency in SQL and experience with other programming languages (e.g., Python, R).
Experience working with large data sets and managing data pipelines.
Strong analytical and problem-solving skills.
Excellent attention to detail.
Excellent communication skills.

Preferred Skills/Experience:
Experience in financial data analysis or working in a fintech environment.
Familiarity with machine learning concepts and processes.
Experience with cloud platforms (e.g., AWS, Google Cloud, Azure).
Experience with big data tools (e.g., Hadoop, Spark).

Perks and Benefits:
Competitive salary.
Opportunity to work with a dedicated team of experts in AI and finance.
The chance to be part of a rapidly growing fintech company."
Data Engineer: L3 Support Analyst,SOFTENGER (SINGAPORE) PTE. LTD.,MCF-2023-0724903,"SOFTENGER (SINGAPORE) PTE. LTD. Softenger offers a variety of managed services in the field of Information Technology. We are committed to provide the right services to maintain and enhance your IT infrastructure, so that you can focus on achieving your business vision. Ideas are the foundation of evolution. There must be a drive to act on those ideas. Our services start with precision, thinking, followed by focused approach and proficient execution. Softenger provides your business with a board array of enterprises system management services based in Industry-Standard methodologies and practices. From system, database administration to security and continuity of business, we deliver services that will meet your business strategies and goals.",,Contract,Executive,2 years exp,Information Technology,1,"['$3,500to$4,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Data Engineer for L3 operations support for the business intelligence/visualization tools, such as OBIEE and Tableau.
• Optimization and performance tuning
• Issue troubleshooting and resolution
• Administration, installation and configuration
• Production migration"
Technical Data Analyst,ADECCO PERSONNEL PTE LTD,MCF-2023-0723669,"The Adecco Group is the world's leading provider of HR solutions. With over 35,000 FTE employees and over 5,200 branches, in over 60 countries and territories around the world, we offer a wide variety of services, connecting more than 650,000 associates with over 100,000 clients every day. The services we offer fall into the broad categories of temporary staffing, permanent placement, career transition and talent development, as well as outsourcing and consulting. The Adecco Group is based in Zurich-Glattbrugg, Switzerland and we are a Fortune Global 500 company listed on the SIX Swiss Exchange.","SHAW CENTRE, 1 SCOTTS ROAD 228208","Permanent, Full Time",Executive,2 years exp,Manufacturing,1,"['$3,500to$5,000']",Monthly,3 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Our client, an established and prestigious company, is seeking a highly motivated and experienced Technical Data Analyst to join their dynamic team. You will play a crucial role in analysis and telling a story with component data.

Location: Clementi
Working Hours: Mon-Fri 8AM-5PM/9AM-6PM
Salary: Basic up to $5000 + AWS + VB

Responsibilities
Extracting data from sources, compile, monitor and analyse
Preparation of documentations for data analysis
Evaluate overhaul reports and trends
Calculate performance parameters such as Mean Time between Failure (MTBF) and Mean Tiem between Unscheduled Removals (MTBUR)
Requirements
Degree in Engineering (preferably from Mechnical/Electronic/Industrial/Aerospace)
Diploma in Engineering with at least 5 years of relevant experiences
High proficiency in Excel and PowerBI (or other relevant BI tools)
Ability to interpret CRM/CMM, engineering drawings would be highly advantageous"
Data Analyst Intern,RAPSODO PTE. LTD.,MCF-2023-0722568,"Rapsodo is a sports analytics company that empowers athletes and coaches to analyze and improve their game, with affordable, portable, easy-to-use, data-driven sports technologies. In 2010, our founder and Chief Executive Officer Batuhan Okur registered Rapsodo Pte. Ltd. in Singapore. Our journey began with the development of the first affordable personal golf launch monitor, distributed in the USA under SkyTrak. Since then we have continued to transform into a leading sports data and technology company with the vision to help athletes reach their full potential. Our data-driven, performance measurement tools empower athletes to achieve their best regardless of what skill level they are at.",20 AYER RAJAH CRESCENT 139964,Internship/Attachment,Professional,,Others,1,"['$1,500to$2,500']",Monthly,15 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Rapsodo Inc. is a sports analytics company that uses computer vision and machine learning to help all athletes maximize their performance. Our proprietary technology applications range from helping PGA Tour golfers optimize their launch conditions to allowing MLB pitchers to increase the efficiency of their breaking balls. Current partners include all 30 MLB teams, MLB, USA Baseball, Golf Digest, PGA of America, and over 1000 NCAA athletic departments.
Job Description
As a Data Analyst Intern at Rapsodo, you will contribute to strategic decision-making by dealing and analysing complex data sets, and converting them into actionable insights. This internship is designed to challenge and enhance your business acumen, analytical skills, and leadership abilities, providing you with a solid foundation for a successful career in the sports analytics industry.
Responsibilities:
Undertake data collection, cleaning, and preprocessing, ensuring data quality for insightful analysis.
Employ advanced statistical techniques to distil meaningful insights from complex data sets.
Collaborate with cross-functional teams to comprehend business issues and devise data-driven solutions.
Prepare and deliver findings and recommendations to stakeholders effectively using visualizations, reports, and dashboards.
Conduct experiments to assess hypotheses, evaluate models, and optimize operations.
Work closely with our software engineers and BIT teams to develop and implement cutting-edge algorithms.
Requirements:
Currently pursuing or recently completed a Bachelor's or Master's degree in Data Science, Business Analytics, Computer Science, Mathematics, or Statistics.
Proficiency in programming languages such as Python, R, or SQL.
Experience in data manipulation, cleaning, and preprocessing techniques.
Knowledge in statistical analysis, hypothesis testing, and experiment design.
Familiarity with a broad range of machine learning algorithms, techniques, and libraries.
Experience in creating compelling data visualizations using tools like Tableau, Power BI, or Matplotlib.
Strong problem-solving skills with the ability to manage large data sets.
Excellent written and verbal communication skills.
Strong interpersonal skills to collaborate effectively with cross-functional teams and stakeholders.
An inquisitive mindset, coupled with a desire for continuous learning and growth."
