title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Bioinformatics / Data Scientist( I&E Fellowship Programme), EDDC",A*STAR RESEARCH ENTITIES,MCF-2023-0726882,No information added.,"Chromos, 10 Biopolis Road 138670","Contract, Full Time",Professional,5 years exp,Sciences / Laboratory / R&D,1,"['$5,950to$11,900']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
The Innovation & Enterprise Fellowship Programme (IFP) seeks to grow the pool of deep-tech talent in Singapore with the capabilities to support the commercialisation of deep-tech research and bring nascent technologies to market. Targeting researchers, scientists, and engineers (RSEs), the programme aims to develop industry relevant innovation and entrepreneurial skills through both formal and on-the-job training.
At EDDC, our goal is to discover and develop novel therapeutics by working collaboratively with the public sector and industry partners to translate innovations from bench to clinic using industry relevant and cutting-edge technology platforms. This includes tackling complex and unmet medical challenges in disease areas such as oncology, fibrosis, infectious and autoimmune diseases. EDDC is now seeking under the IFP programme a highly motivated bioinformatics/data scientist with expertise in deploying state-of-the-art computational and data-driven approaches for drug discovery and development applications by leveraging insights from large-scale and multi-dimensional data sources.
This is an eighteen month on-the-job training programme that requires participation in and supporting cross-functional and collaborative drug discovery projects. By joining EDDC, the IFP candidate will be part of a dynamic, interdisciplinary team working to evaluate, develop and implement methods and workflows spanning multi-omics data analysis, computational modelling, and machine learning approaches, as well as data-driven strategic decision-making.
Responsibilities:
Evaluate and propose strategies for applying state-of-the-art computational approaches and appropriate tools, develop and implement pipelines for the processing, interpretation, and analysis of high-throughput and multi-dimensional data, to facilitate in-house target and drug discovery research
Investigate novel machine learning and AI methods and platforms to improve or develop new data analysis processes for the discovery of novel drug targets
Establish and manage external strategic partnerships with entities specializing in computational biology, data sciences and AI, acting as a liaison to ensure clear communication between partners and internal project team
Oversee collaboration with wet/dry-lab scientists and data engineers to ensure high-quality data generation, analysis and integration, and to validate and interpret findings from data analysis and machine learning models
Research latest developments in bioinformatics, data sciences, machine learning and AI in drug development, and apply insights from projects and learnings to continuously improve in-house workflow and technology platforms
Requirements:
PhD or equivalent degree in bioinformatics, computer science, statistics, or related field
At least 5 years experience in the processing and analysis of high-throughput sequencing data, including transcriptomics, interactomics, and proteomics data, etc., and proficiency in large-scale text-mining and ‘omics-data mining for novel target discovery
Strong programming skills in R, Python, and/or other languages commonly used in bioinformatics and data sciences, familiarity with HPC and Cloud computing environments
Strong organisational and communication skills, demonstrated ability in establishing and managing research partnerships involving large data analysis, AI, and data science
Ability to work independently and as part of a team in a fast-paced, dynamic environment
Willingness to learn new techniques and adapt to changing priorities
Demonstrated knowledge in applying machine learning and AI algorithms for bioinformatics and drug discovery problems
Experienced in the application of computational models and tools for the prediction of RNA structures and features, RNA-ligand interactions and other aspects of RNA biology
Familiarity with databases, database management, and workflow development framework is a plus

The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
"Bioinformatics / Data Scientist( I&E Fellowship Programme), EDDC",A*STAR RESEARCH ENTITIES,MCF-2023-0726867,No information added.,"Chromos, 10 Biopolis Road 138670","Contract, Full Time",Professional,3 years exp,Sciences / Laboratory / R&D,1,"['$4,500to$9,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
The Innovation & Enterprise Fellowship Programme (IFP) seeks to grow the pool of deep-tech talent in Singapore with the capabilities to support the commercialisation of deep-tech research and bring nascent technologies to market. Targeting researchers, scientists, and engineers (RSEs), the programme aims to develop industry relevant innovation and entrepreneurial skills through both formal and on-the-job training.
At EDDC, our goal is to discover and develop novel therapeutics by working collaboratively with the public sector and industry partners to translate innovations from bench to clinic using industry relevant and cutting-edge technology platforms. This includes tackling complex and unmet medical challenges in disease areas such as oncology, fibrosis, infectious and autoimmune diseases. EDDC is now seeking under the IFP programme a highly motivated bioinformatics/data scientist with expertise in deploying state-of-the-art computational and data-driven approaches for drug discovery and development applications by leveraging insights from large-scale and multi-dimensional data sources.
This is an eighteen month on-the-job training programme that requires participation in and supporting cross-functional and collaborative drug discovery projects. By joining EDDC, the IFP candidate will be part of a dynamic, interdisciplinary team working to evaluate, develop and implement methods and workflows spanning multi-omics data analysis, computational modelling, and machine learning approaches, as well as data-driven strategic decision-making.
Responsibilities:
Evaluate and propose strategies for applying state-of-the-art computational approaches and appropriate tools, develop and implement pipelines for the processing, interpretation, and analysis of high-throughput and multi-dimensional data, to facilitate in-house target and drug discovery research
Investigate novel machine learning and AI methods and platforms to improve or develop new data analysis processes for the discovery of novel drug targets
Establish and manage external strategic partnerships with entities specializing in computational biology, data sciences and AI, acting as a liaison to ensure clear communication between partners and internal project team
Oversee collaboration with wet/dry-lab scientists and data engineers to ensure high-quality data generation, analysis and integration, and to validate and interpret findings from data analysis and machine learning models
Research latest developments in bioinformatics, data sciences, machine learning and AI in drug development, and apply insights from projects and learnings to continuously improve in-house workflow and technology platforms
Requirements:
PhD or equivalent degree in bioinformatics, computer science, statistics, or related field
Experience in the processing and analysis of high-throughput sequencing data, including transcriptomics, interactomics, and proteomics data, etc., and proficiency in large-scale text-mining and ‘omics-data mining for novel target discovery
Strong programming skills in R, Python, and/or other languages commonly used in bioinformatics and data sciences, familiarity with HPC and Cloud computing environments
Strong organisational and communication skills, demonstrated ability in establishing and managing research partnerships involving large data analysis, AI, and data science
Ability to work independently and as part of a team in a fast-paced, dynamic environment
Willingness to learn new techniques and adapt to changing priorities
Demonstrated knowledge in applying machine learning and AI algorithms for bioinformatics and drug discovery problems
Experienced in the application of computational models and tools for the prediction of RNA structures and features, RNA-ligand interactions and other aspects of RNA biology
Familiarity with databases, database management, and workflow development framework is a plus

The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
Data Scientist,LMA RECRUITMENT SINGAPORE PTE. LTD.,MCF-2023-0691916,"We’re LMA, a professional recruitment agency that’s powered by curiosity. We’re here to create better outcomes for clients and jobseekers all around the world, by asking better, more meaningful questions that lead to positive change, for their companies, and their careers. For our clients it gives us the ability to know your company better. To understand what ‘cultural fit’ really means. To find the candidate that’s ready for next, as well as right now. For the candidates we serve, our curiosity drives deeper relationships, getting to know the real you, and not the you that only exists on paper. We operate within the finance, banking & financial services, human resources, operations, business support sectors across the UK, Asia and the US.","SAMSUNG HUB, 3 CHURCH STREET 049483","Contract, Permanent",Executive,3 years exp,Information Technology,1,"['$7,000to$10,500']",Monthly,30 applications,Posted 11 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
Data Scientist
Responsibilities:
Analytics Solution Design and Development
Design and implement innovative solutions using statistical models, machine learning and other data mining techniques.
Handle challenges of analysing real-world data, such as incompleteness, bias, class imbalance and high volatility.
Create effective visualizations and dashboards to communicate insights with end-users.
Support the development and deployment of scalable and robust software solutions, working with IT solutions engineers.
Engage with customer management teams to understand business requirements, project scope and develop a sound project plan.
Think strategically and creatively, to exploit data science for a competitive advantage.
Manage project implementation (for analytics scope only) to ensure that solutions are delivered on time and on requirements.
Knowledge Development and Management
Research and experiment with new advances in analytical methods, algorithms and tools to deepen and develop new capabilities (i.e. deep learning, optimization, parallel computing).
Elevate team competencies by sharing the latest trends and best practices.
Support knowledge management by ensuring that learnings and insights arising from conferences, projects and industry engagements are documented.
Knowledge, Skills & Experience
2-5 years experience in Data Science, Analytics.
Experience with Python, including packages such as NumPy, Pandas and scikit-learn.
Experience in training, selecting and tuning machine learning models, employing techniques like data preparation, feature engineering, cross-validation and bagging/ boosting.
Experience in data visualization tools or libraries such as Tableau, Power BI or packages in Python or Javascript.
Experience with RDBMS such as MySQL, PostgreSQL, MongoDB, MS SQL Server.
Company Reg. No.: 201131609D | Licence No.: 11C4684 | Reg No: R1655133, Ashraf Ali"
Data Engineer,QUESSCORP SINGAPORE PTE. LTD.,MCF-2023-0726830,"Quess Singapore is part of Quess Corporation( www.quesscorp.sg) and is one of the largest staff augmentation firms in Singapore. Quess is ranked 48th Largest Global Staffing supplier by SIA. The ideal candidate will excel in this position if they are able to successfully aid recruiting efforts and fulfilling the clients needs by matching clients with relevant candidates. In order to do so the candidate has to be able to source and qualify leads that will meet the company's criteria. To be successful, the candidate will have to understand the technical depth of the industry and the company to become and effective talent partner.",,Contract,Professional,3 years exp,Information Technology,1,"['$8,000to$12,000']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Roles & Responsibilities
Analyze and organize raw data
Build data systems and pipelines
Evaluate business needs and objectives
Interpret trends and patterns
Conduct complex data analysis and report on results
Prepare data for prescriptive and predictive modeling
Build algorithms and prototypes
Combine raw information from different sources
Explore ways to enhance data quality and reliability
Identify opportunities for data acquisition
Develop analytical tools and programs
Collaborate with data scientists and architects on several projects

Requirements and skills
Previous experience as a data engineer or in a similar role
Technical expertise with data models, data mining, and segmentation techniques
Knowledge of any programming languages
Hands-on experience with SQL database design
Experience working with ETL
Great numerical and analytical skills"
Data Engineer,NTT DATA SERVICES SINGAPORE PTE. LTD.,MCF-2023-0726275,NTT DATA Services Singapore Pte. Ltd. (Legacy Dell Services),"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Contract,Junior Executive,1 year exp,"Engineering, Information Technology",1,"['$4,000to$5,000']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Responsibility:

Communication:
Build strong relationships with Project Managers and Business Intelligence Analysts to understand business requirements and use cases for data products.
Identify issues, gather information from various sources, and translate essential business needs into technical specifications that are used as reference for data product design.
Functional & Technical Expertise:
Regular use of leveraging common data management tools, such as Informatica, SAP BODS, MS-SQL SSIS to design and develop the data models for use by Business Intelligence Analysts, Data Scientists and Analysts to speed up the development of data products.
Integrate the data models on common BI tools, such as Tableau and/or OBIEE to assist the Business Intelligence Analysts to design and develop business reports and/or dashboards.
Regularly use any BI standard languages such as SQL, Python, C#, Java, VBA, etc.
Possess superior organisation skills to be able to assist in end-to-end data product development with production development, conducting system integration/user acceptance testing etc.
Be a steward of good data practices - robust documentation (ie: metadata), versioning, playbooking, processes, and knowledge sharing.
Ability to work with the team to support the maintenance of data platforms
Innovation:
Develop good working knowledge of available technology capabilities and how and where to deploy them
Evaluate potential technical solutions and make recommendations to resolve data issues especially on performance assessment for complex data transformations and long running data processes"
Data Engineer (Senior Engineer),ADVANCED MICRO DEVICES (SINGAPORE) PTE LTD,MCF-2023-0727330,"AMD (NYSE: AMD) is a semiconductor design innovator leading the next era of vivid digital experiences with its groundbreaking AMD Accelerated Processing Units (APUs) that power a wide range of computing devices. AMD’s server computing products are focused on driving industry-leading cloud computing and virtualization environments. AMD’s superior graphics technologies are found in a variety of solutions ranging from game consoles, PCs to supercomputers. AMD, Singapore is the Singapore Product Development Center (SPDC) for AMD as well as its Asia Pacific regional headquarters for AMD Sales and Marketing. Established in 1984, AMD Singapore is an engineering site leveraging the differentiated engineering expertise and unique eco-system for product bring-up and sample generation enabling timely product launches, higher test cost margins and the quality expectations of our customers. AMD SPDC actively taps into the large talent pool from the region. Today its highly sophisticated and efficient engineering operations environments are equipped with high-end engineering laboratories that support New Product Bring-up, Customer Samples Generation, Device Analysis, Reliability Testing, Surface Mount Board Assembly Evaluations, Packaging Characterization, Platform Validation and Hardware Debug. AMD SPDC strives to recruit and retain the best talent, making it not only a great place to work but also an integral part of the AMD family by continuing to contribute significantly to AMD’s success.",508 Chai Chee Lane 469032,Permanent,Senior Executive,5 years exp,Information Technology,1,"['$6,500to$8,500']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
WHAT YOU DO AT AMD CHANGES EVERYTHING
We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences – the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives.
AMD together we advance_

THE ROLE:
We are looking for a Data Engineer to support our global delivery of world-class products. AMD's environment is fast paced, results oriented and built upon a legion of forward-thinking people with a passion for winning technology!

THE PERSON:
The ideal candidate will have professional experience developing and deploying big data solutions with a strong desire to learn new technologies and to help build better tools in a team environment.
You will be able to communicate well with multi-functional teams and executive management, balance multiple projects and priorities, and rapidly adjust to a constantly evolving technology landscape.

KEY RESPONSIBILITIES:
Develop, implement the code and deploy Data Models for Data Science Analytics projects
End to end solution development with a production end-state in mind
Review code and provide peer feedback relative to standard methodologies and best practices
Work closely with architects and domain experts to deliver appropriate technical solutions
Work closely data scientists, stakeholders and external partners
PREFERRED EXPERIENCE:
BS or MS in Computer Science with 7+ years of work experience
Familiarity with JIRA issue management system and development workflows
Practical experience in the entire software lifecycle - Gathering requirements, Design, Development, Testing, Maintenance
Experience in cloud deployments (Azure/AWS)
Experience with SQL development and implementation
Experience with Snowflake would be advantageous
Experience with Java (Python advantageous)
Excellent communication skills with the ability to work well multi-functionally across multiple departments
Active experience with Agile software development principles"
Data Engineer - AI Market Prediction,TECHNOLOGY SERVICES GROUP PTE. LTD.,MCF-2023-0604519,"Technology Service Group Singapore (TSGS) and its subsidiaries have a long history & passion for investing in technology businesses in Asia. Technological progress enables us to contribute to people's happiness and accelerate the benefits of modern life to those who need it most. We aim to build an idealistic society where everyone can enjoy the benefits of civilization, regardless of where they live, by recruiting the best minds in the world.","Keppel Bay Tower , 1 Harbourfront ave 1 098632",Full Time,Professional,5 years exp,"Engineering, Information Technology, Others",1,"['$7,000to$11,000']",Monthly,72 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
We are an ambitious fintech company using AI to predict market trends and provide our customers with leading-edge trading technology. We are on a mission to make top-tier trading tools accessible to retail investors.

Job Overview:
We are seeking a Data Engineer/Data Analyst to join our team in Singapore. This person will be instrumental in ensuring the quality of data feeding our cutting-edge machine learning models. They will be responsible for cleaning, processing, and organizing vast amounts of data, enabling our predictive models to function at their best.

Key Responsibilities:
Collect, clean, and process raw data from various sources to prepare it for use in our models.
Develop and maintain databases, data systems, and data pipelines to ensure consistent data flow.
Implement data validation processes to ensure data accuracy and reliability.
Collaborate with our data scientists and machine learning engineers to understand their data needs and deliver high-quality datasets.
Identify, design, and implement data process improvements: automating manual processes, optimizing data delivery, etc.
Implement and maintain security measures to keep data safe and confidential.
Required Skills/Experience:
Degree in Computer Science, Information Systems, or a related field, or equivalent experience.
Strong experience in data cleaning, preprocessing, and wrangling.
Proficiency in SQL and experience with other programming languages (e.g., Python, R).
Experience working with large data sets and managing data pipelines.
Strong analytical and problem-solving skills.
Excellent attention to detail.
Excellent communication skills.

Preferred Skills/Experience:
Experience in financial data analysis or working in a fintech environment.
Familiarity with machine learning concepts and processes.
Experience with cloud platforms (e.g., AWS, Google Cloud, Azure).
Experience with big data tools (e.g., Hadoop, Spark).

Perks and Benefits:
Competitive salary.
Opportunity to work with a dedicated team of experts in AI and finance.
The chance to be part of a rapidly growing fintech company."
Intern - Data Science Intern (ACI2404),ACTIVATE INTERACTIVE PTE LTD,MCF-2023-0725111,"Activate Interactive Pte Ltd (“Activate”) is a leading IT solution and service provider headquartered in Singapore with a presence in Malaysia and Indonesia. Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency. We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation. We are searching for our next team members to join our growing team.","SINGAPORE POST CENTRE, 10 EUNOS ROAD 8 408600",Internship/Attachment,Fresh/entry level,,Sciences / Laboratory / R&D,1,"['$1,500to$1,500']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Activate Interactive Pte Ltd (“Activate”) is a leading technology consultancy headquartered in Singapore with a presence in Malaysia and Indonesia.Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency.

We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation.

We have opportunities for you to grow your career path and are looking for talented professionals to join our team.

*At least 5 months internship period, we are looking for interns for January 2024 intake.
*University students are welcome to apply

What will you do?
Assist data scientists in performing public healthcare research and development in line with the organization's vision within the digital health and wellness domain
Perform on-site or off-site data collection, data organization, storage and processing
Develop data-driven solutions and insights based on data mining, statistical modelling and machine learning methods
Perform algorithm testing and validation
Documentation of research, experiments and modelling findings/results
Opportunity to be the co-author of our research publications
What are we looking for?
Year 3 or final year in Data Science, Computer Science, Computer Engineering or related discipline
Passionate about data science and good working knowledge of Python, SQL and R
Good understanding or experience in signal processing and machine learning is required
Keen interest in digital healthcare, wellness and fitness domain
A 'go with the flow' and positive attitude, adaptable to change and energetic
Passionate about learning and working with new technologies
A natural tenacity, resilience and determination
What do we offer?
Fun working environment
Open culture
Employee Wellness Programme

Important to upload:
Attached your school transcript / results
Attached your certificates
You may directly drop an email to julianna.song@activate.sg

Does it sound like something you are interested in exploring further?

Please be in touch with our team for an initial chat.

Activate Interactive Singapore is an equal opportunity employer.
Employment decisions will be based on merit, qualifications and abilities. Activate Interactive Pte Ltd does not discriminate in employment opportunities or practices on the basis of race, colour, religion, sex, sexuality, national origin, age, disability, marital status or any other characteristics protected by law.

Protecting your privacy and the security of your data are longstanding top priorities for Activate Interactive Pte Ltd.

Your personal data will be processed for the purposes of managing Activate Interactive Pte Ltd’s recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results, and as is otherwise needed in the recruitment and hiring processes.

Please consult our Privacy Notice (https://www.activate.sg/privacy-policy) to know more about how we collect, use, and transfer the personal data of our candidates. Here you can find how you can request for access, correction and/or withdrawal of your Personal Data."
Data Scientist - SPML,SCIENTEC CONSULTING PTE. LTD.,MCF-2023-0721842,"Incorporated in 2004, ScienTec Consulting Pte Ltd has since redefined the standards of HR services by transforming organizations with its 4 principal services: Staffing, Specialist Search, HR Managed Services/Outsourcing and HR Consulting. ⭐Credential and industry awards by ScienTec include Recruitment Agency of the Year, Best Client Service, Best Candidate Experience, Specialist Recruitment, etc. By submitting your application or resume to us, you will be deemed to have agreed & consented to us collecting, using, retaining & disclosing your personal information to prospective employers for their consideration of your candidature. Please refer to ScienTec’s Privacy Policy (https://www.scientecconsulting.com/privacy-policy) for full details. If you wish to withdraw your consent, please write to us at dpo@scientecconsulting.com We request that you DO NOT provide sensitive personal data such as government identification numbers (e.g., NRIC number, passport number) or any other sensitive personal data that is not required during job application stage. Please note that such data may be deleted accordingly. All job applications will be processed with strict confidence and only shortlisted candidate will be contacted. ScienTec Consulting Pte Ltd 1 Maritime Square, #10-33A/B, Harbourfront Centre, Singapore 099253 Tel: +65 6225 3272 www.scientecconsulting.com","HARBOURFRONT CENTRE, 1 MARITIME SQUARE 099253",Full Time,Executive,3 years exp,Information Technology,1,"['$6,000to$10,000']",Monthly,18 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
We are looking for a Data Scientist looking to make an impact by contributing to nation-wide initiatives.
Opportunity to work on large scale data science projects .
Flexible work arrangements.
Attractive remuneration package.
Responsibilities:
Research and devise appropriate statistical and machine learning models for data analysis
Collaborate with internal and external stakeholders to understand analytic needs and devise possible solutions
Identify relevant structured and unstructured data sources to mine for meaningful insights that enhance efficiency, reliability and performance across the organisation.
Devise and utilise algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracy
Communicate analytic solutions and insights to stakeholders and implement improvements as needed to operational systems.
Requirements:
Min. Degree in IT/ Data related fields.
Min. 3-5 years of relevant working experience in Data Science.
Strong writing and communication skills.
If you are excited with this opportunity and enjoy making things happen, do apply now!
OR
Email your updated resume to: spml@scientecpersonnel.com by quoting ""J42370"" in your email subject for faster processing.
All job applications will be processed with strict confidence and only shortlisted candidate will be contacted.

Lee Wen Ying (Mattias) - R23112909
ScienTec Consulting Pte Ltd - 11C5781"
"Data Scientist, Analytics",FACEBOOK SINGAPORE PTE. LTD.,MCF-2023-0722750,Facebook Our mission is to give people the power to build community and bring the world closer together.,"MARINA ONE WEST TOWER, 9 STRAITS VIEW 018937",Permanent,Professional,4 years exp,Information Technology,1,"['$8,200to$16,300']",Monthly,32 applications,Posted 21 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
Meta is seeking a Data Scientist to Support our meta.com web stores team. We’re looking for someone who is passionate about ecommerce, product development, and operations. We introduce people to the devices and experiences that power the Metaverse, and support them as they enter the metaverse and start using our products. Our vision is to be the best place for people to buy, and Meta to sell, RL products. This position is full-time and based in our Singapore office.
RESPONSIBILITIES
Defining new opportunities for product impact Influencing product and sales to solve the most impactful market problems.
Apply your expertise in quantitative analysis and the presentation of data to see beyond the numbers and understand how our users interact with our growth products.
Work as a key member of the product team to solve problems and identify trends and opportunities.
Inform, influence, support, and execute our product decisions and product launches.
Set KPIs and goals, design and evaluate experiments, monitor key product metrics, understand root causes of changes in metrics.
Exploratory analysis to discover new opportunities: understanding ecosystems, user behaviors, and long-term trends Identifying levers to help move key metrics.
MINIMUM QUALIFICATIONS
4+ years experience doing quantitative analysis
Fluency in SQL
Core statistical knowledge
Proven experience leading data-driven projects from definition to execution: defining metrics, experiment design, communicating actionable insights.
Experience solving analytical problems using quantitative approaches
Experience managing data sets through statistical software (ex. R, SAS) or other methods
Experience leading product analytics and influencing product roadmap
Bachelor Degree in Computer Science, Analytics, or related fields.
PREFERRED QUALIFICATIONS
Previous experience in ecommerce
Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics."
