title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Production Engineer, Electrical / Joo Koon / Up to $3,800",WORKSTONE PTE. LTD.,MCF-2023-0729309,We arrange your future! Our Consultants have more than 5 years of experience and our aim is to provide the best service for all our clients.,,Permanent,Non-executive,2 years exp,"Engineering, Manufacturing, Repair and Maintenance, Precision Engineering",1,"['$3,000to$4,000']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Responsibilities:
✅Perform basic and advanced machine electrical wiring works
✅Develop electrical testing jigs and perform testing and validation of machines
✅Lead the production team to strictly adhere to production schedule
✅Improving the quality, cost, and productivity of the manufacturing process
✅Implements & monitors KPI indicators on product quality & section capability
✅Provide shop floor feedback to Production Engineering and D&D Department
✅Assist manager to provide quality, cost effective support for launching of new machine
✅Perform machine inspection checks, parameter settings, testing according to standard
✅Troubleshoot and resolve machine electrical non conformance
✅Perform machine final electrical inspection and adjustments for any defects
✅Prepare reports on productivity, quality, claims, etc
✅Work with engineering and other departments to improve assembly processes
✅Monitor the serviceability of measuring electrical instruments
✅Maintain accurate records of inspection result at each electrical process


Requirements:
Diploma/Degree in Electrical field
Min 2 years working in a machine assembly environment
Good track record of supporting the department achieving KPI
Understanding of 5S and HSE knowledge
Well verse in Microsoft office
Proficient using Solidworks, Unigraphic is added advantage



Interested applicants, please send in your updated resume by clicking “Apply Now”
Lin Weikang
Registration Number: R21102570
Workstone Pte Ltd
EA License Number: 19C9998"
ELECTRICAL ENGINEER (PROGRAMMING),RECRUITFLASH PTE. LTD.,MCF-2023-0689924,"RecruitFlash is a Singapore-based recruitment and staffing solution provider. At RecruitFlash, we understand that the success of an organisation depends upon the quality and productivity of its employees. By engaging us, we source and recruit quality talent for our clients in various industries. To ensure our service always deliver as per our commitment, our principle is to make sure every candidate that we recommend will be most suitable for our valuable client. We offer jobseekers and employers a wide range of services to meet their unique and specific needs. Our service covers: • Permanent Placement • Talent Searches • Executive Searches",,"Permanent, Full Time",Junior Executive,1 year exp,"Engineering, Information Technology, Manufacturing, Purchasing / Merchandising, Others",1,"['$5,000to$10,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
• Entry level / Junior / Senior / No experience welcome apply X 3 Opening
• Full training provided
The Job
· PLC & PC based programming for automation machines
· Vision Camera Inspection System and related programming
· Various testers (High Potential testers, Leak testers)
· Electronic Camming to control servo motor driven motions
· Sourcing and costing of related EE components
The Requirements
 Diploma/Degree in Electrical Engineering with 2 years’ relevant experience.
 Related experience in design and development of customized automation machines.
Good Pay + Good allowance + Good Bonus
Salary for experience candidates will be considered based on the years of experience and our internal salary structure
1 month AWS
Variable Bonus ranging from 1 to 3 months depending on individual and company performance
Working hours: 8.00 am to 5.00 pm / 8.30 to 5.30 pm / 9.00 am to 6.00 pm / 9.30 am to 6.30pm / 10.00am to 7.00pm
Working days: Monday to Friday (1 day work from home per week)
Annual Leave: 14 days up to 17 days for non-executive (Assistant Engineer and below)
18 days up to 21 days for executive (Engineer and above)
Medical benefits of $500 per financial year (Benefit is extended to spouse and children (below 21 years old) of married employees)
Insurance coverage: Hospital & Surgical (Benefit is extended to spouse and children (below 25 years old) of married male employees and child (below 25 years old) of married female employees)
Term Life
Personal Accident
Maternity Insurance for female employee and spouse of male employee on the birth of their 1st 2 children claimable up to delivery bill of $6,000.00 whichever is lower.
Flex Dollars of $500 per financial year
Free annual year-end Health Check-Up
Monthly Birthday Party Celebration
Monthly Sports Activities
New Born Gift
CSR Initiatives
Department Bonding Activities
Biennial team building and staff appreciation dinner
Gym Corner for employees to exercise
Interested candidates please send an updated Resume / CV in Ms Word format to lilian@recruitflash.com or WhatsApp’s your resume to 98332779 ( no Calls)
Consultant in-charge : Quah Li Lian (Lilian) ( Registration No: R1983286 )"
ELECTRICAL ENGINEER,TECHWAYS TECHNICAL SERVICES & SUPPLY PTE. LTD.,MCF-2023-0692854,No information added.,"PIONEER POINT, 5 SOON LEE STREET 627607",Full Time,Non-executive,10 years exp,"Engineering, Others",1,"['$8,000to$16,000']",Monthly,21 applications,Posted 11 Sep 2023,Closing on 25 Sep 2023,"Roles & Responsibilities
Roles & Responsibilities:
Conduct troubleshooting of systems onboard vessels
Supervise and guide workers in maintenance tasks
Coordinate with suppliers, contractors when required
Coordinate with Owner Rep on issues pertaining to maintenance task
Preparation of single line diagram electrical panels
Preparation of Electrical Equipment interface Drawing.
Supervision of erection, cabling and termination of electrical equipments like main switch board, L.V. panel, Generators & Motors.
Testing and commission of electrical panel
Load test of D.G sets
Commissioning of all type of electrical system & equipment such as switchboards, gen sets, marine engines, steering gear system, AC motors, compressors, fire alarm system, internal communication system , external communication system & radio equipment, hydraulic crane, winches etc."
Senior Electrical Engineer (Engineering Consultancy),KINGSFORCE MANAGEMENT SERVICES PTE LTD,MCF-2023-0640802,"A specialized recruitment firm with 27 years of track records recruiting in the Construction, Oil & Gas, and Pharma industries. We work with Fortune 500 companies and state-owned companies for Singapore & overseas hiring demands. Kingsforce Management Services Pte. Ltd. | EA Licence: 94C3545","ONE COMMONWEALTH, 1 COMMONWEALTH LANE 149544",Permanent,Professional,8 years exp,Building and Construction,1,"['$7,000to$8,000']",Monthly,5 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
About our client: Our client is a leading global multidisciplinary engineering consultancy.

About the role:
· Technical engineering of Electrical systems, including.
o Lead discipline on projects
o Developing and guiding junior engineers
o Applying policies relating to health & safety, quality, and training
· To act as a discipline lead on projects to successfully deliver high-quality discipline projects in accordance with corporate and client requirements.
· Capability of leading MEP for small to medium-sized projects.
· Develop a thorough design philosophy, effectively contributing to the inception, development, and detailed delivery of projects across all stages.
· Responsible for the correctness, accuracy, and complete multi-disciplinary coordination of the design documentation in accordance with QA/QC review processes
· Attend external meetings and prepare design presentations and design reports
· Coordinate and liaise with all other design team members, including architects and structural engineers plus clients, project managers, and QS.
· Have a good knowledge of sustainable design, buildability & construction techniques.
· Demonstrated critical thinking skills, and ability to work methodically and analytically in a quantitative problem-solving environment.
· Strong attention to detail, team work, collaboration, organization, and problem-solving skills.
· Understanding of the financial and commercial management of projects.
· Provide technical support to respond to prequalification documents, RFPs, and other client inquiries
· Excellent written and verbal communication skills
Ensure that Health & Safety is embedded into all work practices in line with company policies

About you:
· Bachelor's or Master’s Degree in Building Services / Electrical Engineering that is recognized by the Singapore Professional Engineer (PE) Board.
· Working towards professional engineer registration and/or charters.
· PE Registration is desirable but not essential
· Minimum of 7 years’ experience, 4 years’ experience in Highrise buildings is preferable.
· Proven track record in building services design with different types of sectors, including high rise, commercial, residential, retail, Healthcare, Industrial, refurbishment, etc;
· Experience working on middle east projects will be an added advantage.

· Experienced in:
o Presenting to clients/authorities
o Attending authority/client meetings
o Preparing project proposals for agreement
o Arranging project resources
o Planning and running projects
· Proven ability to carry out both manual and computer-aided calculations, problem-solving, technical analyses, etc.
· Detailed knowledge of BIM/digitalization techniques and standards
· Strong software capability and proficiency in Amtech, Dialux, AutoCAD, REVIT, and Navisworks,
· Excellent knowledge of Singapore Standards and international design standards, BS-EN, CIBSE, ASHRAE, NFPA, etc
· Excellent knowledge of local statutory authorities’ regulations and submission requirements.
· Advanced knowledge of Electrical Engineering Principles, LV, Lighting, ELV, and FLS design
· Sustainable design practices and technologies
· Basic understanding of electrical and public health principles
· Maintain and participate in CPD events to develop own expertise

Personal qualities that will help you succeed in this role include:
· People Leadership
· Collaboration & Teamwork
· Commercial Acumen
· Technical Capability & Delivery
· Adaptability & Learning
· Persuading and Influencing
· Communicating and Presenting
Delivering Results

*Please note that only shortlisted candidates will be contacted.

EA Name: Kingsforce Management Services Pte. Ltd.
EA License No: 94C3545
EAP Name: Paola Jane Ofrasio Fajardo
EAP Reg. No: R1325507"
Electrical Engineer (No Experience Required) / Global MNC / West,RECRUITPEDIA PTE. LTD.,MCF-2023-0728487,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,Permanent,Senior Executive,5 years exp,Engineering,1,"['$3,800to$6,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 30 Sep 2023,"Roles & Responsibilities
Our Client is a leader in the Energy Manufacturing industry in Singapore. Due to their current expansion plan, they are looking for an Electrical Engineer to join their team, in hopes of developing the current high performing team. They are located in the West.
Responsible;
Resolve plant faults by performing troubleshooting and conducting root cause analysis.
Implement approved plant improvement projects and generate technical specifications for equipment parts and work services. Initiate requisitions when necessary.
Conduct scheduled plant inspections based on the maintenance regime and carry out plant maintenance activities.
Supervise maintenance contract works and develop work procedures for all maintenance tasks.
Prepare comprehensive reports on a weekly and monthly basis, covering activities, overhauls, technical matters, and trips.
Any ad-hoc duty as assigned
Job Requirements:
Min degree in Electrical Engineering
Exhibit good knowledge in Electrical systems.
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R21103987 (Yan Yongmao)"
Project Engineer (BMS / Mechanical / Mechatronic / Electrical Engineering / Training Provided),EA RECRUITMENT PTE. LTD.,MCF-2023-0728951,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Fresh/entry level,,"Building and Construction, Engineering, Information Technology, Others",1,"['$3,000to$4,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Well Established Company
Basic $3000 - $4000 + Allowances + Variable Bonus
Excellent Welfare and Benefits + Career progression
Working location: Jurong East
Working Days: Monday to Friday
Working hours: 9am to 6pm
Training provided for those without/lesser experience
Job Responsibilities:
Involve in conceptual and detailed design of mechanical/electrical/BMS engineering works
Assist Manager in Project planning, budget cost control and execution of Project
Coordinate with Main Con and other contractors for BMS installation work
Supervise a group of subcontractors and ensure that works are executed within and acceptable standard of workmanship
Prepare site progress report and necessary project documentation that may include method statement
Ensure timely hand – over (delivery) of project while maintaining high quality standard of optimum cost (Cost effectiveness)
Ensure that the relevant installation drawings are accessible at the point of use
Review the nature of non-conformities detected in product/work and determine the disposition of the non-conformities
Resolve technical issues relating to installation, commissioning, and testing
Responsibility for the successful completion of the projects and meet customers satisfaction
Others ad hoc duties as assigned
Job Requirements:
Minimum Diploma or Degree in Mechanical / Mechatronic / Electrical Engineering or equivalent
Knowledge on BMS will be a plus point
Training provided for those without/lesser experience
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.

LIONG ZHAO GUAN (R22107632)
EA Recruitment Pte Ltd
EA License No: 21C0492"
Project Engineer (ELV / Construction / Electrical Engineering / 1 year contract) - 109,RK RECRUITMENT PTE. LTD.,MCF-2023-0728575,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Junior Executive,2 years exp,Engineering,1,"['$3,500to$4,800']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Benefits Summary:
Construction Company
Basic up to $4800 + AWS + VB
Monday – Friday, 9am - 6pm; Saturday 9am - 1pm
Location: New Industrial Road (project site)
1 year contract (renewable / convertible)
Responsibilities:
To report and assist Project Manager (PM) on project functions included but not limited to project management, site management, risk control management, safety, commissioning etc. to meet the project(s) goals.
Design, install, commission, maintain, and troubleshoot electrical low-voltage (ELV) systems. This includes systems such as fire alarm systems, CCTV systems, access control systems, and audio/visual systems, BMS and Security system will be added advantageous.
Prepare technical specifications and drawings for ELV systems accordingly to client requirements, and submission of drawing and material for approval.
Able to work up the Method of statement and Risk Assessment with the SI integrator.
Work with architects, contractors, and other engineers to ensure that ELV systems are integrated with other building systems.
Meet with clients to discuss their ELV requirements and work with System Integrator (SI) for the deliverables.
Obtain permits and approvals for ELV works.
Requirements:
Minimum Diploma in Electrical Engineering is required.
At least 2 years of working experience in the related field (Have handled BMS system, Security system will be advantageous).
Experience and relevant knowledge in ELV Systems not limited to CCTV, PA, Data Cabling.
Keen to learn, possess positive attitude and able to work independently.
Ability to interact effectively with project teams, SI, vendor and managers at all levels.
Able to work within the timeline and achieve the required deliverables.
Based at project site office and required to be on site to co-ordinate during installation and commissioning till handover.
Please submit your updated resume by using the APPLY NOW BUTTON

By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.

*We regret to inform you that only shortlisted candidates would be notified*

We wish you all the best in your career search.

You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Shawn Long Jie Shyan | EA Personnel No.: R22109109
700"
(JC) Plant Engineer (Electrical) - Jurong Island,RECRUIT LYNC PTE. LTD.,MCF-2023-0729227,"At Recruit Lync Pte Ltd, located in Singapore, we are a premier employment agency supported by a team of experienced consultants specializing in various industries such as manufacturing, healthcare, service, and more. We pride ourselves on our values of integrity, trust, respect, and enthusiasm, which guide us in our interactions with both clients and candidates. Our focus on delivering exceptional service to both clients and candidates has earned us the trust of numerous blue chip companies, SMEs, and start-ups seeking recruitment solutions and expert advice. We understand that building the best team involves finding the right balance of talent, skills, attitude, and personality, and we have a proven track record of assisting clients in identifying and recruiting top talent to add value to their teams. We are proud of the team we have built at Recruit Lync, and we are even more proud of the teams we have helped others build. To learn more about us, please visit our website: https://www.recruitlync.com/",,"Permanent, Full Time",Executive,3 years exp,"Engineering, Manufacturing",1,"['$3,500to$4,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Overview: -
Working Days: Monday to Friday (5 days per week)
Working Hours: 8:00 a.m. to 4:45 p.m.
Working Location: Jurong Island
Transport provided: from Lakeside and Jurong East MRT stations
Monthly Base Salary: $3500 to $4500 (Based on working experience)
Your Responsibilities: -
Establishing and monitoring programs/Key Process Indicators (KPI) maintenance system for critical equipment analysis.
Attend ECR meeting, follow action items and process/Equipment Improvement
Implementation of PM/CM activities, drawing updates, vendor evaluations, equipment related matters, and monitoring for new tools and technology
Training and development of old/new technicians related to technical work
Establishing/maintaining standards related to equipment, spare parts and others
Requirements: -
Degree in Electrical Engineering or Equivalent
At least 3 years of relevant working experience with strong working knowledge of chemical process
Basic knowledge in PLC/Control
Familiar with ESH regulations
Interested applicants may click ""Apply Now"" or email to jonathanchang@recruitlync.com to submit your application.
By submitting your personal data and/or resume, you will be deemed to have agreed and consented to us collecting, using, retaining, and disclosing your personal information to prospective employers for their consideration.
We regret to inform that only shortlisted candidates would be notified. We wish you the best of luck!
Recruit Lync Pte. Ltd. | EA Licence Number: 22C1000
Jonathan Chang Sing Erh | EA Personnel Licence: R22110541"
Electrical engineer cum Drafter,PLUTO SYSTEM ENGINEERING PTE. LTD.,MCF-2023-0299146,No information added.,"PIONEER POINT, 5 SOON LEE STREET 627607",Full Time,Junior Executive,2 years exp,"Building and Construction, Engineering",1,"['$2,800to$3,600']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Calculated BOQ and invited subcontractor for cost estimation.
Sourced Quotations and Specifications from suppliers and contractors.
Collected BQ and arranged cost comparison.
Attended internal, external meeting.
Performed site inspection to ensure that work is carried out based on specification and drawing.
Prepared report and method statement whenever necessary.
Supervised daily site installation.
Day to Day management of the site, including supervised and monitored the site labour force.
Inspected Handover inspection with consultant engineer and client.
Checked technical specifications, M&E drawings and documents. ➢ Coordination of drawings with clients, main contractors and updating of drawings base on meetings and discussion. ➢ Produced M&E Services design drawing including electrical system and ELV system, Fire Protection system, Plumbing and waste, etc. ➢ Performed draft detailed for M&E shop drawings, as built drawings and standard detail and SLD drawing, Layout, Schematic based on preliminary concepts, sketches, calculation, specification sheets and other data. ➢ Provided technical support and assistances to project manager and engineers at every project stages."
Electrical engineer cum Drafter,BSM ENGINEERING & CONSTRUCTION PTE. LTD.,MCF-2023-0333551,No information added.,"PIONEER POINT, 5 SOON LEE STREET 627607",Full Time,Executive,1 year exp,Building and Construction,1,"['$2,800to$3,500']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Calculated BOQ and invited subcontractor for cost estimation.
Sourced Quotations and Specifications from suppliers and contractors.
Collected BQ and arranged cost comparison.
Attended internal, external meeting.
Performed site inspection to ensure that work is carried out based on specification and drawing.
Prepared report and method statement whenever necessary.
Supervised daily site installation.
Day to Day management of the site, including supervised and monitored the site labour force.
Inspected Handover inspection with consultant engineer and client.
Checked technical specifications, M&E drawings and documents. ➢Coordination of drawings with clients, main contractors and updating of drawings base on meetings and discussion. ➢ Produced M&E Services design drawing including electrical system and ELV system, Fire Protection system, Plumbing and waste, etc. ➢Performed draft detailed for M&E shop drawings, as built drawings and standard detail and SLD drawing, Layout, Schematic based on preliminary concepts, sketches, calculation, specification sheets and other data. ➢ Provided technical support and assistances to project manager and engineers at every project stages."
