title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Group Financial Analyst - West / manufacturing industry,RECRUITPEDIA PTE. LTD.,MCF-2023-0728867,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,Full Time,Senior Executive,3 years exp,Banking and Finance,1,"['$6,000to$8,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Our client is from Manufacturing industry. They are looking for a Group Financial Analyst to assist their team in the next phase of their business. They are located in West.
Responsibilities:
Strengthen financial oversight and compliance, collaborating with Group Functions to improve forecasting and minimize tax leakage.
Support Country Finance Teams in budgeting and rolling forecasts, ensuring data integrity.
Review financial performance in select countries, identifying Opportunities and Risks for the rolling forecast.
Provide insights to country management for improvements.
Lead global tool and project implementation, fostering collaboration.
Enhance self-service data visualization with the Data Analytical team.
Tackle ad-hoc tasks/projects from the reporting manager.
Requirements:
Min Bachelor's Degree, Post Graduate Diploma, Professional Degree
Min 5 years' working experience in FP&A or Management Reporting.
Experience in EPICOR/SAP system will be an added advantage.
Strong analytical skills and highly proficient in Excel, PowerPoint and PowerBI.
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv. We regret that only shortlisted candidate will be notified.
Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R23115141 (Tan Su Yee)"
Senior Financial Analyst,THEEXECUTIVECIRCLE ASIA PACIFIC PTE. LTD.,MCF-2023-0725682,"THEEXECUTIVECIRCLE ASIA PACIFIC PTE. LTD. Built on the foundation of 35 years of experience, TheExecutiveCircle is a partnership of accomplished Executive Search Professionals supporting the needs of clients in the Asia Pacific region. With a track record of more than 10 years each, our Consultants have successfully supported Global Multinationals, Asian Home Grown Enterprises, and Start-up Companies in their Expansion, Turnaround and Succession Planning Strategies over the years.","MOUNTBATTEN SQUARE, 229 MOUNTBATTEN ROAD 398007","Permanent, Full Time",Senior Executive,5 years exp,Accounting / Auditing / Taxation,1,"['$6,000to$6,800']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Senior Financial Analyst
PURPOSE:
Prepare for regional monthly financial management report & data with detailed analysis. The scopes include supports for business units’ annual performance budget, mid-year range strategy plan and monthly outlook.
Lead improvements in FP&A reporting processes.
RESPONSIBILITIES:
Closely working with HQ & Regional Business Units and Corporate FP&A, monitor Subsidiaries & Regional Head Quarter monthly business results with analysis for fluctuation and investigation of special treatment items.
Compile and consolidate subsidiaries’ monthly performance reporting data, which include sales, costs, and expenses by business areas. Provide variance analysis between actual result and budget, and highlight notable discoveries in subsidiaries’ performance results to the management.
Develop monthly performance data book, maintain historical performance record, and ensure all historical data are correctly retained.
Support HQ & Regional Business Units and Corporate FP&A to prepare for annual budget and 2nd half re-plan, which include plan guide development, consolidation of subsidiaries’ plan data in a timely & effective manner, and ensures accuracy and timeliness are correctly managed.
Continuously identify areas for operational improvements, design countermeasures, drive implementation of process changes and lead continuous improvement for performance reporting area.
Evaluate current system usage, and find opportunities for process automation to improve productivity.
Lead ad hoc analysis based on management requests and operation needs.
Requirements
Degree in Finance / Accountancy, Business, Economics or other relevant field
More than 5 years of management accounting experience
Extensive knowledge in performance management
Solid understanding of Business Analysis.
Excellent analytical skills to process voluminous data, interpret trends, establish high-quality insights and business implications.
Strong commercial sense, with keen eye for details and hands-on approach.
Interest in understanding operational processes to improve quality of analysis. Willing to challenge current process to make improvement.
Able to work well both independently and collaboratively in a team environment.
Strong MS office skills (especially excel and power point).
Ability to handle stress in a rapidly changing environment
Strong sense of ownership
Financial concepts
Interpersonal communications skills
Analytical Skills"
Senior Financial Analyst,LEICA INSTRUMENTS (SINGAPORE) PTE LIMITED,MCF-2023-0677367,LEICA INSTRUMENTS (SINGAPORE) PTE LIMITED,12 TEBAN GARDENS CRESCENT 608924,Permanent,Senior Executive,4 years exp,Accounting / Auditing / Taxation,1,"['$5,000to$5,800']",Monthly,7 applications,Posted 05 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
For over 170 years, Leica Microsystems has helped shape the future by developing groundbreaking optical and digital solutions. As a global leader, we’re driven by continuous improvement to excite our customers and to create the best work environment for our people. Customer focus, innovation, and teamwork are at the core of our culture and the foundation of our success.

Want to be part of a company whose products are part of cutting-edge research around the world? Join Leica Microsystems in our commitment for brilliant solutions and insight.

Leica Microsystems is one of 10 Life Sciences companies of Danaher. Together, we accelerate the discovery, development and delivery of solutions that safeguard and improve human health.


OVERVIEW
As part of the Finance team, you will be responsible for Financial Panning & Analysis, to ensure accuracy of reporting data and supporting continued profit and productivity improvement for the business.


YOUR RESPONSIBILITIES
Partners, collaborate with Operations on Inventory Planning, and managing of operational expense drivers
Support the annual budgeting, monthly forecasting process,
Responsible for the financial analysis of monthly actual results with comparisons to the budget/forecast and engaging Operations to maximize efficiencies/ address issues.
Ensure inventory records are captured accurately in SAP system, perform inventory analysis to work towards improving stock turns and reducing holding cost
Perform variance analysis and continuously drive forecast accuracy improvements
Prepare weekly, monthly financial deck for management reporting and leadership update to both corporate and internal stakeholders
Own annual standard cost change process of costing parts, manufacturing overhead and simulations in SAP systems
Other ad-hoc projects to be assigned.


YOUR PROFILE
Bachelor’s Degree in Accountancy/ Finance or equivalent qualifications
Minimum 4 years of and above proven experience in Financial Planning and Analysis preferably in manufacturing environment
Proficient with SAP, SAP/BW, Power BI and advanced Excel is preferred.
Highest standards of accuracy and precision; highly organized.
Articulate with excellent verbal and written communication skills.
Ability to think creatively, highly-driven and self-motivated.
Demonstrated ability to roll-up sleeves and work with team members in a hands-on management capacity


WHAT WE OFFER
Equal pay is a given for us.
Learn all there is about Kaizen, PSP's and Muda as part of our Danaher Business System (DBS) trainings - if you believe in
continuous improvement like us
We have no room for prejudices and stereotypes. We promote equal opportunities, diversity and inclusion.
We offer a balance between support and autonomy to achieve your own goals in an international environment


GET MORE INSIGHT
Learn more about what we do and who we are by watching our company video “We Are Leica”: https://www.youtube.com/watch?v=1zHmalqMXN4
Are you interested to discover new opportunities in an innovative, team-oriented environment? Do apply online - we are looking forward to your application!"
Senior Financial Analyst,SIVANTOS PTE. LTD.,MCF-2023-0725763,"WSAudiology is formed in 2019, through the merger of Sivantos and Widex, WS Audiology combines over 140 years of experience in pioneering the use of technology to help people with hearing loss hear the sounds that make life wonderful. We are active in over 125 markets and employ 11,000 people worldwide. Our broad portfolio of hearing-related products and services generates annual revenues of around EUR 2 billion. As advanced as hearing care is today, we are dedicated to making it even better. Our people have a passion for innovation and are committed to applying it to help make a wonderful sound part of everyone’s life. There is nothing more rewarding to us than seeing someone regain the miracle of hearing and watching them thrive. As a leader in our industry, we have already helped improve the lives of millions of people, but there is more to be done. WSAudiology Singapore employs more than 1,300 people across a variety of functions. Here, we host numerous global functions such as Manufacturing & Supply Chain, Quality, IT, Legal, and HR. We also develop and manufacture state-of-the-art behind-the-ear hearing aid devices for our global markets. Learn about us on www.wsa.com","18 TAI SENG, 18 TAI SENG STREET 539775",Permanent,Senior Executive,5 years exp,Banking and Finance,1,"['$5,000to$8,000']",Monthly,9 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
As a Senior Finance Analyst at WS Audiology, you will play a pivotal role in achieving financial targets, ensuring compliance, and providing strategic insights. Your responsibilities will go beyond traditional financial analysis; contributing to shaping market strategies, identifying growth opportunities, and understanding how to expand market presence.

Key responsibilities will include:

•Business Partnering:
- Collaborate closely with business partner(s) to achieve financial targets.
- Analyze financial results and provide actionable insights.
- Uphold a high standard of compliance and integrity in financial dealings.
•Performance Controlling:
- Implement and propose distributorship contracts aligning with company strategy.
- Monitor distributors' performance in target fulfillment.
- Review and manage rebate/credit note processes.
•Management Reporting:
- Develop and maintain reports to support the closing process.
- Conduct variance analysis to identify key drivers of financial performance.
- Assist in forecasting and tracking of Cost of Goods Sold (CoGS), both direct and indirect, and Operating Expenses.
•Cash Flow Management:
- Oversee the Accounts Receivables process through shared services.
- Ensure efficient management of receivables and timely collections.
•Pricing:
- Partner with the sales team to execute the pricing strategy across various countries and channels.
- Maintain and update price lists as necessary to remain competitive.

Requirements

• Bachelor's degree in Finance, Accounting, or a related field.
• 4-5 years of experience in an Accounting or Commercial Function, preferably in an MNC.
• Excellent business acumen and a deep understanding of financial operations.
• Exceptional attention to detail and accuracy in financial analysis and reporting.
• Proficient in Finance and Accounting, and Microsoft Office Suite, particularly Excel.
Join Us and be part of our Finance Team today!

Who we are
At WS Audiology, we provide innovative hearing aids and hearing health services.
Together with our 12,000 colleagues in 130 countries, we invite you to help unlock human potential by bringing back hearing for millions of people around the world.
With us, you will become part of a truly global company where we care for one another, welcome diversity and celebrate our successes.
Sounds wonderful? We can't wait to hear from you.
WS Audiology is an equal-opportunity employer and committed to creating an inclusive employee experience for all. Regardless of race, color, religion, national origin, age, sex, gender, gender identity, gender expression, sexual orientation, marital status, medical condition, ancestry, disability, military or veteran status we firmly believe that our work is at its best when everyone feels free to be their most authentic self."
Financial Planning & Analyst,GEODIS SINGAPORE PTE. LTD.,MCF-2023-0725756,"Who we are A growth partner for our clients and employees! As a leading logistics provider, wemanage our clients’ supply chain with our end-to-end solutions enabled by our infrastructure, people, processes, and systems. With over 100 years of experience in the industry under our belt, we are guided by our mission to help clients overcome their logistical constraints and to Keep Rising on their journey of success. Our Singapore office is home to the APAC and ASEAN regional headquarters – this is where all the action is! What we do Integrated Logistics! Our top-class services have made us the preferred growth partner for Freight Forwarding, Contract Logistics, Road Network and Supply Chain Optimization among our clients. GEODIS serves over 165,000 customers in over 120 countries – and this is all thanks to our 40,000 and growing employees worldwide. Working at GEODIS Our people are our most important asset – we recruit for careers at GEODIS. Our commitment to our clients drives us to recruit, develop and retain quality people who are just as passionate and committed to fulfil the ambitions of our rapidly changing sector. As an equal opportunity employer, we value diversity; in experience, culture, methodology and thought process and skills and expertise -- all integrated in a web of equality as we demonstrate solidarity in our work. Under GEODIS’ CARE program, we keep track of our progress, celebrate successes, and focus on continuous improvement. Our Client Centric and Employee Driven approach drives us to build a talent pipeline, accelerate development, manage performance, and create an inspiring workforce. We ensure that employees are recognised for their valuable contributions and for furthering the GEODIS objective of being a sustainable growth partner for our clients. We’re led by clients, powered by data, and driven by people at GEODIS. Our commitment goes beyond our clients and employees too. At GEODIS, our CSR approach is guided by our 7 Golden Rules which govern how we do business. We are continuously innovating to ensure that our impact on the environment and society is beneficial. Why you should join us We recruit for careers, not jobs! The career opportunities that await you in a lean organization like GEODIS are endless. When you join GEODIS, you are joining an international team of diverse and passionate experts, committed to sustainably tackling the daily transport and logistics challenges of their clients and ensuring that they succeed. GEODIS opens your doors to a world full of dynamism; where everyone finds their place in expertise, contributes to their development, and succeeds. We value the growth of our employees and invest in their development as we endeavour each day to Keep Rising. Being a key player of the supply chain, we are working on the logistics projects of our customers today and preparing those of tomorrow – and the best time to join us is now! Begin your professional and personal development adventure here at GEODIS. Our Data Processing are compliant with the data protection regulations. To learn about GEODIS Privacy Policy or exercise your right, please go to ""https://geodis.com/dp/recruitment-privacy-policy"" --","GREAT WORLD CITY, 1 KIM SENG PROMENADE 237994",Full Time,Senior Executive,5 years exp,"Accounting / Auditing / Taxation, Banking and Finance",1,"['$5,000to$7,000']",Monthly,4 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
OBJECTIVE / PURPOSE OF THE JOB

· Providing timely financial support services required by management / client, ensuring established accounting policies and procedures are followed in accordance with International Financial Reporting Standards.
· Provide insightful analysis on financial results and forecast through appropriate tools and processes, linking business activities and cost drivers to outcomes.
· Drive process improvements and automation through implementation and adoption of state of art technology.
· Any other ad hoc project as assigned.

DIMENSION AND QUANTITIES

· National Scope

KEY ACTIVITIES / ACCOUNTABILITIES

Following are to be performed while adhering to Geodis Singapore operational policies, safety rules, and procedures as well as applicable legislation and regulations.
· Perform variance analysis on financial data to identify any anomalies or lapses.
· Evaluate financial performance by comparing and analysing by actual results with plans and forecasts.
· Review the current financial performance of existing business lines, identifying trends and areas for optimization.
· Departmental PL dissemination and analysis.
· Monthly GST transactional review.
· IFRS 16 Reporting and process
· Financial related submissions to department of statistics.
· Participates in projects relevant for the processes in the accounting department.
· Providing stakeholder with financial / Corporate related information.
· Providing timely financial support services required by management / client, ensuring established accounting policies and procedures are followed in accordance with International Financial Reporting Standards.
· Provide insightful analysis on financial results and forecast through appropriate tools and processes, linking business activities and cost drivers to outcomes.
· Drive process improvements and automation through implementation and adoption of state of art technology.
· Routine job profit review and analysis
· Support financial close
· Any other ad hoc project as assigned.


ESSENTIAL EDUCATIONAL AND / OR TRAINING QUALIFICATIONS & CERTIFICATES

· Diploma and above qualification in Financial Management/Accounting

PREFERRED EXPERIENCE AND KNOWLEDGE

· Minimum 5 years of experience in accounting or finance related roles.
· Ability to structure and combine data from multiple resources to produce business insights eg using databases or planning tools.
· Proven track record in financial planning & analysis and business partnering, preferably with process improvement and automation experiences.
· Thrive well in fast paced, transformative, multi-cultural and cross-functional work environment.
· Capable of working independently as well as being an effective team player, with initiative and creativity
· Ability to understand and apply fundamental accounting and bookkeeping principles and techniques, and to accurately prepare and analyse most financial records, reports and statements.
· Ability to understand and interpret information common to financial statements and balance sheets, administer and oversee the financial procedures and policies of an organization.

NECESSARY TECHNICAL / FUNCTIONAL SKILLS

· Strong financial and analytical skills.
· Strong computer literacy especially in Microsoft Excel, PowerPoint and accounting software.
· Good interpersonal and communication skills, with the ability to effectively interact with people in a multi-disciplinary and multi-cultural environment."
Financial Planning & Analyst Senior Executive,TALENT STORK PTE. LTD.,MCF-2023-0725774,"TalentStork is a boutique Executive Search Firm providing senior-level search and assessment. We pride ourselves for our highly personalised and collaborative approach with our Clients for their Executive Search needs. We believe that a sound talent strategy starts with a clear picture of the business outcomes you expect and defining the talent you will need to achieve these outcomes. We do not want to merely staff a headcount but help you pinpoint current and future business drivers, define how success can be achieved and identify the caliber of talent required to execute your strategies.",,Permanent,Senior Executive,5 years exp,Accounting / Auditing / Taxation,1,"['$6,000to$7,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
(EA License Number 16S8126) Our client is a global logistics and supply chain expertise company, being a leader providing logistics solutions to customers around the world.

Responsibilities:
Perform variance analysis on financial data to identify any anomalies or lapses.
Evaluate financial performance by comparing and analysing by actual results with plans and forecasts.
Review the current financial performance of existing business lines, identifying trends and areas for optimization.
Departmental PL dissemination and analysis.
Monthly GST transactional review.
IFRS 16 Reporting and process
Financial related submissions to department of statistics.
Participates in projects relevant for the processes in the accounting department.
Providing stakeholder with financial / Corporate related information.
Providing timely financial support services required by management / client, ensuring established accounting policies and procedures are followed in accordance with International Financial Reporting Standards.
Provide insightful analysis on financial results and forecast through appropriate tools and processes, linking business activities and cost drivers to outcomes.
Drive process improvements and automation through implementation and adoption of state of art technology.
Routine job profit review and analysis
Support financial close
Requirements:
Minimum 5 years of experience in accounting or finance related roles.
Ability to structure and combine data from multiple resources to produce business insights eg using databases or planning tools.
Proven track record in financial planning & analysis and business partnering, preferably with process improvement and automation experiences.
Thrive well in fast paced, transformative, multi-cultural and cross-functional work environment.
Capable of working independently as well as being an effective team player, with initiative and creativity
Ability to understand and apply fundamental accounting and bookkeeping principles and techniques, and to accurately prepare and analyse most financial records, reports and statements.
Ability to understand and interpret information common to financial statements and balance sheets, administer and oversee the financial procedures and policies of an organization."
FP&A Analyst - Financial Services,AMBITION GROUP SINGAPORE PTE. LTD.,MCF-2023-0727816,"Ambition is a leading global recruitment and executive search business operating across key international cities. We access hard-to-find, high-calibre professionals within Banking & Financial Services, Finance & Accounting, Sales & Marketing, Supply Chain & Procurement, and Technology. We believe our size is a significant differentiation in the recruitment industry. We are big enough to undertake large-scale projects for our clients, yet retain the soul and personality of a smaller company. We are best known for our specialisation with in-depth knowledge and expertise, well-established networks, and deep relationships. We work towards ‘building better futures’ for our clients, candidates and our community. For more information, please visit www.ambition.com.sg or follow us on Ambition’s social media.",,"Permanent, Full Time",Professional,2 years exp,"Accounting / Auditing / Taxation, Banking and Finance",1,"['$6,000to$10,000']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Leading Buy Side Firm
Great opportunities for growth
Our client is looking to hire a FP&A analyst, who will assist in preparing budgets, forecasts and assist with all other management reports. You will assist your manager in assessing business performance and develop financial models to support strategic initiatives.
Requirements:
Bachelor's Degree
Minimum 2 years of experience in FP&A within Financial Services
Strong Excel Skills
If you believe you fit the requirements for the role, please click ""Apply"" or send in your resume to sindhu.udayakumar@ambition.com.sg

Short listed candidates will be notified.
Data provided is for recruitment purposes only.

Business Registration Number: 200611680D.
Licence Number: 10C5117 EA Registration Number: R1981753"
Business & UAT Analyst (Financial Industry) (ID: 590225),PERSOLKELLY SINGAPORE PTE. LTD.,MCF-2023-0727802,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com PERSOLKELLY Singapore Pte Ltd | EA License No. 01C4394","CITY HOUSE, 36 ROBINSON ROAD 068877",Permanent,Executive,2 years exp,Banking and Finance,1,"['$3,500to$4,500']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 13 Oct 2023,"Roles & Responsibilities
Job Description
Plan, monitor and control UAT activities across both Commercial and Consumer, for both systems and products
Create test cases based on UAT requirements
Research test data and create or manage the UAT test cases
Verify any changes to existing information and ensure that all necessary data is available
Ensure the test cases are complete, accurate, and up-to-date
Communicate changes to the User Acceptance Testing (UAT) scope to all stakeholders.
Produce and implement a User Testing Acceptance framework to be used by both Commercial and Consumer across the Singapore Branch
Working with the Operations Lead, produce policies and standards for testing in both a test environment and production environment
Working with the business run tests on individual components and end to end regression testing
Document and track risks and issues identified/experienced in testing
Undergo Live Verification and validate application functionality and usability
Discover defects in code or design flaws before launch of system or products
Working with the business produce test cases and test scenarios
Coordinate test execution and test resources on various platforms with different devices
Execute effective tests based on project and product manager input
Work closely with project managers or product owners to discuss project status and any [potential] issues that may arise
Document UAT results and provide daily or weekly status report for progress
Provide feedback on project performance and product performance
Responsible for planning and controlling tests, ensuring they are within budget and on deadline
Note any successful past use cases to improve current and future test outcomes
Develop testing programs, test data, test cases, and UAT test plans
Initiate and implement operational improvement plans to drive productivity and efficiencies
Ensure all relevant policies and standards are followed. Review and update policies, standards, and SOPs on an annual basis
Support Head of Operations and Operational Teams, where required.
Job Requirement
Holds a bachelor’s degree
Be PC literate in MS Word, Excel and Access
Experience in policy registration / underwriting and accounting systems is preferred
Familiar with software quality assurance best practices
Ability to read test scripts and scenarios
Be aware of project management and agile software testing practices
Ability to learn new technologies and tools, identify potential issues before deployment
Strong communication skills, with high adaptability
We apologize that only shortlisted candidates will be contacted. Thank you
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates collecting, using and disclosing my personal data for the purposes set out in the Privacy Policy which is available at www.persolkelly.com.sg I also acknowledge that I have read, understood, and agree to the said Privacy Policy.

PERSOLKELLY Singapore Pte Ltd • RCB No. 200007268E
EA Registration No. R22106437 (TEOH KAI HUI)"
Group Financial Analyst / West / manufacturing industry,RECRUITPEDIA PTE. LTD.,MCF-2023-0724416,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,Full Time,Senior Executive,3 years exp,Banking and Finance,1,"['$6,000to$8,000']",Monthly,2 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Our client is from Manufacturing industry. They are looking for a Group Financial Analyst to assist their team in the next phase of their business. They are located in West.
Responsibilities:
Strengthen financial oversight and compliance, collaborating with Group Functions to improve forecasting and minimize tax leakage.
Support Country Finance Teams in budgeting and rolling forecasts, ensuring data integrity.
Review financial performance in select countries, identifying Opportunities and Risks for the rolling forecast.
Provide insights to country management for improvements.
Lead global tool and project implementation, fostering collaboration.
Enhance self-service data visualization with the Data Analytical team.
Tackle ad-hoc tasks/projects from the reporting manager.
Requirements:
Min Bachelor's Degree, Post Graduate Diploma, Professional Degree
Min 5 years' working experience in FP&A or Management Reporting.
Experience in EPICOR/SAP system will be an added advantage.
Strong analytical skills and highly proficient in Excel, PowerPoint and PowerBI.
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv. We regret that only shortlisted candidate will be notified.
Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R23115141 (Tan Su Yee)"
Senior Financial Analyst,FUJIFILM BUSINESS INNOVATION ASIA PACIFIC PTE. LTD.,MCF-2023-0722632,"FUJIFILM Business Innovation is committed to continue offering innovations to businesses globally to help maximize their organizational strengths. We have pioneered numerous technologies and accumulated expertise since our establishment as Fuji Xerox in Tokyo in 1962, to build an environment that encourages the use of one’s creativity by effectively adopting information and knowledge. Our portfolio includes conducting R&D, manufacturing and sales of world-class multifunction printers, production printers and IT solutions, as well as business process outsourcing services. On April 1, 2021, FUJIFILM Business Innovation changed its name from Fuji Xerox to a name that embodies its commitment to continue as a company that always pursues business innovation. FUJIFILM Business Innovation Asia Pacific is the regional headquarters of the global company, FUJIFILM Business Innovation Asia Pacific is the regional headquarters of the global company, FUJIFILM Business Innovation, providing corporate support and shared services for the Asia Pacific region.","MAPLETREE BUSINESS CITY, 20 PASIR PANJANG ROAD 117439",Permanent,Executive,5 years exp,Accounting / Auditing / Taxation,1,"['$4,500to$6,500']",Monthly,5 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
PURPOSE:
Prepare for regional monthly details performance analysis, developed from financial management report. The scopes include supports for region and Opcos annual performance budget, mid-year range strategy plan and monthly outlook.
Maintain data integrity of performance system (Cognos TM1 and Microsoft D365).

RESPONSIBILITIES & TASKS:
Compile and consolidate subsidiaries’ monthly performance reporting data, which include sales, costs, and expenses actual result and outlook . Account for variance between actual result and budget with in-deep analysis of rout cause.
Analysis and monitor regional headquarter profit status, included preparing headquarter annual budget and monthly outlook, monitoring monthly profit status and explaining the gaps.
Support HQ & Regional Business Units and Headquarter FP&A to prepare for annual budget and 2nd half re-plan, which include plan guide development, consolidation of subsidiaries’ plan data in a timely & effective manner, and ensures accuracy and timeliness are correctly managed.
Develop monthly region performance data book and monthly submission schedules, and ensure all monthly schedule be submitted on time and historical data are correctly retained.
Maintain system data integrity, include data-mining, data cleansing and data extraction, new EPR development discussion, by working with IM department and external consultancy.
Leveraging BI tools (Cognos TM1) to provide visibility of business performance, and develop monthly performance reports using the BI tools.
Lead the process improvement project and enhance current reporting efficiency and productivities.
Lead ad hoc analysis based on management requests and operation needs.
Requirement
5 years experience, includes 3 years of management accounting related experience in regional headquarter or sales company.
Strong finance and performance management knowledge, understanding companies and regional finance operation.
Degree in Finance / Accountancy , Business, Economics or other relevant field
Excellent analytical skills to process voluminous data, interpret trends, establish high-quality insights and business implications.
Willing to accept challenge and overtime work during peak period.
Able to work well both independently and collaboratively in a team environment.
Strong commercial sense, with keen eye for details and hands-on approach."
