title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0728893,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0728910,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0724460,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0719245,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Financial Consultant,MANULIFE (SINGAPORE) PTE. LTD.,MCF-2023-0719794,"MANULIFE (SINGAPORE) PTE. LTD. Manulife is a leading Canada-based financial services group with principal operations in Asia, Canada and the United States. Clients look to Manulife for strong, reliable, trustworthy and forward-thinking solutions for their most significant financial decisions. Our international network of employees, agents and distribution partners offers financial protection and wealth management products and services to millions of clients. We also provide asset management services to institutional customers. Funds under management by Manulife and its subsidiaries were approximately C$635 billion (US$574 billion) as at March 31, 2014. Our group of companies operates as Manulife in Canada and Asia and primarily as John Hancock in the United States. Manulife Financial Corporation trades as ‘MFC’ on the TSX, NYSE and PSE, and under ‘945’ on the SEHK. Manulife can be found on the Internet at manulife.com.","MANULIFE TOWER, 8 CROSS STREET 048424",Permanent,Executive,1 year exp,"Banking and Finance, Insurance",1,"['$5,000to$10,000']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Understand and address your clients' needs for income protection, savings and investments, healthcare, retirement, business continuity and estate distribution.
Provide continual and extra-mile services and support to clients, assisting to achieve their financial needs through different stages of their lives.
Acquire new businesses while maintaining current account portfolio
Tactful negotiations of contract with prospects
Process documentations and keeping proper records.
Planning for personal and corporate clients on risk and wealth management, succession and estate planning.
Requirements:
Meeting MAS-FAA regulations, you should be at least of 21 years of age to quality as a financial planner
Holds a Diploma/Degree qualification
Prior working experience in sales is seen as an advantage
Goal oriented, self-driven and pro-active in character
Strong communication and interpersonal skills"
Financial Consultant,MANULIFE FINANCIAL ADVISERS PTE. LTD.,MCF-2023-0719799,MANULIFE FINANCIAL ADVISERS PTE. LTD.,"VISIONCREST, 103 PENANG ROAD 238467",Permanent,Executive,1 year exp,"Banking and Finance, Insurance",1,"['$5,000to$10,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Understand and address your clients' needs for income protection, savings and investments, healthcare, retirement, business continuity and estate distribution.
Provide continual and extra-mile services and support to clients, assisting to achieve their financial needs through different stages of their lives.
Acquire new businesses while maintaining current account portfolio
Tactful negotiations of contract with prospects
Process documentations and keeping proper records.
Planning for personal and corporate clients on risk and wealth management, succession and estate planning.
Requirements:
Meeting MAS-FAA regulations, you should be at least of 21 years of age to quality as a financial planner
Holds a Diploma/Degree qualification
Prior working experience in sales is seen as an advantage
Goal oriented, self-driven and pro-active in character
Strong communication and interpersonal skills"
Senior Financial Consultant,MANULIFE FINANCIAL ADVISERS PTE. LTD.,MCF-2023-0719800,MANULIFE FINANCIAL ADVISERS PTE. LTD.,"VISIONCREST, 103 PENANG ROAD 238467",Permanent,Senior Executive,1 year exp,"Banking and Finance, Insurance",1,"['$10,000to$15,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Understand and address your clients' needs for income protection, savings and investments, healthcare, retirement, business continuity and estate distribution.
Provide continual and extra-mile services and support to clients, assisting to achieve their financial needs through different stages of their lives.
Acquire new businesses while maintaining current account portfolio
Tactful negotiations of contract with prospects
Process documentations and keeping proper records.
Planning for personal and corporate clients on risk and wealth management, succession and estate planning.
Requirements:
Meeting MAS-FAA regulations, you should be at least of 21 years of age to quality as a financial planner
Holds a Diploma/Degree qualification
Prior working experience in sales is seen as an advantage
Goal oriented, self-driven and pro-active in character
Strong communication and interpersonal skills"
Junior Financial Consultant,MANULIFE (SINGAPORE) PTE. LTD.,MCF-2023-0719796,"MANULIFE (SINGAPORE) PTE. LTD. Manulife is a leading Canada-based financial services group with principal operations in Asia, Canada and the United States. Clients look to Manulife for strong, reliable, trustworthy and forward-thinking solutions for their most significant financial decisions. Our international network of employees, agents and distribution partners offers financial protection and wealth management products and services to millions of clients. We also provide asset management services to institutional customers. Funds under management by Manulife and its subsidiaries were approximately C$635 billion (US$574 billion) as at March 31, 2014. Our group of companies operates as Manulife in Canada and Asia and primarily as John Hancock in the United States. Manulife Financial Corporation trades as ‘MFC’ on the TSX, NYSE and PSE, and under ‘945’ on the SEHK. Manulife can be found on the Internet at manulife.com.","MANULIFE TOWER, 8 CROSS STREET 048424",Permanent,Junior Executive,1 year exp,"Banking and Finance, Insurance",1,"['$2,500to$5,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Understand and address your clients' needs for income protection, savings and investments, healthcare, retirement, business continuity and estate distribution.
Provide continual and extra-mile services and support to clients, assisting to achieve their financial needs through different stages of their lives.
Acquire new businesses while maintaining current account portfolio
Tactful negotiations of contract with prospects
Process documentations and keeping proper records.
Planning for personal and corporate clients on risk and wealth management, succession and estate planning.
Requirements:
Meeting MAS-FAA regulations, you should be at least of 21 years of age to quality as a financial planner
Holds a Diploma/Degree qualification
Prior working experience in sales is seen as an advantage
Goal oriented, self-driven and pro-active in character
Strong communication and interpersonal skills"
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0716695,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0716651,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
