title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Senior Graphic Designer,KAI MILLWORK PTE. LTD.,MCF-2023-0728947,No information added.,"GREAT WORLD CITY, 1 KIM SENG PROMENADE 237994",Full Time,Professional,6 years exp,Design,1,"['$5,000to$7,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsibilities
1. Design and produce engaging visuals for client presentations, award submissions, internal and external newsletters, as well as social media.
2. Coordinate and lead in art direction for photo and video shoots, and handle digital retouching and image editing.
3. Work independently as well as cooperatively with cross-functional team members and partners to deliver successful outcomes, including project, timeline and budget management.
4. Stay up-to-date on industry trends and the latest design techniques software to continuously improve design skills.
5. Maintain archive of the company’s visual assets e.g. photos, videos, graphics.

Required Skills & Qualifications
• Exceptional creativity and innovative design skills with a strong portfolio that showcases expertise in design, creativity, and aesthetic sense.
• At least 6-10 years of relevant experience, preferably with a creative or marketing agency.
• Proficient in design software (Photoshop, Illustrator, InDesign). Good knowledge of video editing software (Premiere Pro, After Effects) and experience in creating video content for social is not required, but will be a plus.
• Excellent communication skills, both written and verbal, to effectively collaborate with senior leaders and cross-functional teams. You don’t have to be the chattiest person around (introverts are welcome!), but you got to be able to present your ideas well.
• Strong team player with a positive attitude, conducive to working collaboratively and
seeking feedback.
• Strong time management skills for meeting deadlines in a fast-paced environment.
• Bachelor’s degree (or equivalent) in graphic design, art, or related disciplines."
Graphic Designer,FJORD CREATIVE RESOURCE PTE. LTD.,MCF-2023-0728204,"FJORD CREATIVE RESOURCE PTE. LTD. Fjord is a Design and Interior Consultancy with reputation, for bringing together a wealth of experience, dynamism and creativity. We translate our ideas into physical form through an objective process involving dexterous craft and layout with well-considered art directions. We also take ownership of our clients' projects and regard each job with utmost commitment.","TANGLIN HALT INDUSTRIAL ESTATE, 115A COMMONWEALTH DRIVE 149596",Full Time,Junior Executive,2 years exp,"Advertising / Media, Design",1,"['$2,500to$3,500']",Monthly,6 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Responsibilities:
Conceptualizing, visualizing and execution of graphic design
Simple video shooting, editing, creation of GIF files and motion graphics
Manage company website and social media platforms
Participate in brainstorming session to share new design perspectives and ideas.
Perform any other ah-hoc duties or responsibilities assigned.
Requirements:
You are passionate about design and obsessively meticulous with finishing
Excellent team player with positive, can do attitude
Possess a Diploma/Degree in Digital Arts, Multimedia Design, Graphic Design or similar
Minimum 1 year of working experience in the creative field is required for the position."
Graphic Designer,BLUEBOX PTE. LTD.,MCF-2023-0696575,No information added.,"TONG ENG BUILDING, 101 CECIL STREET 069533",Full Time,Non-executive,2 years exp,Advertising / Media,1,"['$2,500to$3,500']",Monthly,52 applications,Posted 12 Sep 2023,Closing on 12 Oct 2023,"Roles & Responsibilities
New Career Portal www.blueboxjobs.com
Visit today
__________________________________________________________________________________________________________________________
Job Description
• Create creative content for advertisements, campaigns
• Develop concepts, graphics and layouts
• Prepare rough drafts of material based on an agreed brief
• Preparing for production for digital

Job Requirements
• Diploma/Degree in Graphic Design / Visual Communications or equivalent.
• At least 1-5 years of experience as a Graphic Designer
• Proficient in graphic design software such as Adobe InDesign, Adobe Photoshop, Adobe Illustrator, GIMP, Canva, etc"
Graphic Designer,TIPSY BIRD PTE. LTD.,MCF-2023-0725838,No information added.,"LTC BUILDING A, 10 ARUMUGAM ROAD 409957",Full Time,Executive,2 years exp,Marketing / Public Relations,1,"['$2,500to$3,500']",Monthly,9 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
We are expanding our Tipsy Family! If you are passionate about F&B and looking for a job that is thrilling and fulfilling, you'll love it here at Tipsy Collective! We are looking for energetic, motivated individuals who enjoy working in an ever-changing environment.

A People-First Culture Tipsy Collective is a multi-concept holding group led by a team of passionate individuals who seek to present hospitality uniquely through a series of thoughtful concepts. Tipsy Collective's brand and its foundation was built from the client lens as a basis for everything we do. It is this exceptional client loyalty and our talented employees that form our bedrock.

Why join us?
At Tipsy Collective, we offer you 4 Value Propositions we hold closely to our heart which are
Healthy Working Environment – Providing you a safe, fun, and healthy workspace while you thrive.
Adaptability – Being prepared and have the agility to prepare solutions for any situations.
Innovation – Coming together to brainstorm and execute great and fun ideas.
Growth – Seeking new concepts and ideas to bring new experience to you.

Responsibilities:
Conceptualise and design both physical and digital marketing collaterals for the various concepts under Tipsy Collective Group
Create moodboards and propose ideas for various concepts' design style
Assist in developing and executing marketing campaigns/promotions when required.
Monitor and identify relevant trends on social media, new tools, and applications
Edit and proofread a variety of content across digital channels (social, web, marketing) ensuring each concept meets style, tone and marketing message requirements as well as reflecting the overall brand

Requirements:
Design portfolio that showcases a variety of design works
Candidate must possess at least a Professional Certificate, Art/Design/Creative Multimedia or equivalent
Knowledge in Adobe Photoshop, Adobe Illustrator, Adobe InDesign and Graphic Designing skills
Knowledge of Adobe After Effects and Motion Graphic skills will be a bonus.
At least 1 year of working experience in the related field is required for this position
Work independently with minimum supervision
Enjoy working in a fast-paced and collaborative environment
A background working with companies in hospitality, lifestyle, F&B will be advantageous
Good communication skills, flexible and the ability to think out of the box.
Language requirements include proficiency in both standard English and Mandarin for both writing and reading skills.


Explore Career Opportunities with us by applying now!

You can also check out the links below to see what Tipsy is up to!
https://www.tipsycollective.com/ https://www.instagram.com/TipsyCollectiveSg/ https://www.tiktok.com/@tipsycollectivesg"
Graphic Designer,SOCIAL ROOM CONCEPTS PTE. LTD.,MCF-2023-0725798,No information added.,"LTC BUILDING A, 10 ARUMUGAM ROAD 409957",Full Time,Executive,1 year exp,Marketing / Public Relations,1,"['$2,500to$3,500']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
We are expanding our Tipsy Family! If you are passionate about F&B and looking for a job that is thrilling and fulfilling, you'll love it here at Tipsy Collective! We are looking for energetic, motivated individuals who enjoy working in an ever-changing environment.

A People-First Culture Tipsy Collective is a multi-concept holding group led by a team of passionate individuals who seek to present hospitality uniquely through a series of thoughtful concepts. Tipsy Collective's brand and its foundation was built from the client lens as a basis for everything we do. It is this exceptional client loyalty and our talented employees that form our bedrock.

Why join us?
At Tipsy Collective, we offer you 4 Value Propositions we hold closely to our heart which are
Healthy Working Environment – Providing you a safe, fun, and healthy workspace while you thrive.
Adaptability – Being prepared and have the agility to prepare solutions for any situations.
Innovation – Coming together to brainstorm and execute great and fun ideas.
Growth – Seeking new concepts and ideas to bring new experience to you.
Responsibilities:
Conceptualise and design both physical and digital marketing collaterals for the various concepts under Tipsy Collective Group
Create moodboards and propose ideas for various concepts' design style
Assist in developing and executing marketing campaigns/promotions when required.
Monitor and identify relevant trends on social media, new tools, and applications
Edit and proofread a variety of content across digital channels (social, web, marketing) ensuring each concept meets style, tone and marketing message requirements as well as reflecting the overall brand
Requirements:
Design portfolio that showcases a variety of design works
Candidate must possess at least a Professional Certificate, Art/Design/Creative Multimedia or equivalent
Knowledge in Adobe Photoshop, Adobe Illustrator, Adobe InDesign and Graphic Designing skills
Knowledge of Adobe After Effects and Motion Graphic skills will be a bonus.
At least 1 year of working experience in the related field is required for this position
Work independently with minimum supervision
Enjoy working in a fast-paced and collaborative environment
A background working with companies in hospitality, lifestyle, F&B will be advantageous
Good communication skills, flexible and the ability to think out of the box.
Language requirements include proficiency in both standard English and Mandarin for both writing and reading skills.
Explore Career Opportunities with us by applying now!

You can also check out the links below to see what Tipsy is up to!
https://www.tipsycollective.com/ https://www.instagram.com/TipsyCollectiveSg/ https://www.tiktok.com/@tipsycollectivesg"
Graphic Design Intern,THE ELLY STORE PRIVATE LIMITED,MCF-2023-0511757,"Elly is a Singapore children’s clothing label borne out of a desire to create beautiful baby and children's clothes without compromising comfort and practicality. It is renowned for its uncompromising focus on quality and comfort, yet remaining distinctly stylish and practical, allowing your precious one to grow up with elly. Today, Elly's clothing ranges from 0 to 14 years. We are a one-stop shop for all your personal and gifting needs, stocking a carefully curated selection of baby gifts, children's clothes, accessories, toys and shoes. Elly carries well-known international shoe brands such as Salt-water Sandals, Natives, Tip Toey Joey, Bobux, Pediped, Old Soles, Bobux, Tip Toey Joey, Native and Biomecanics. To create an extensive range of personalised baby gift sets and ready-made newborn gifts, the Elly Store also designs baby essentials such as swaddles, blankets and pillows.",12 LORONG BAKAR BATU 348745,Internship/Attachment,Fresh/entry level,,Design,1,['$700to$700'],Monthly,3 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
We are looking for a graphic design intern based in Singapore with a keen interest in children's wear.

Skills and experience:
Able to use Illustrator and photoshop.
Able to draw and prepare product submissions and any submission relating to print production.
Studied or Studying Fashion Design or Graphics Design or with relevant job experience.
Keen interest in, and have an eye for designing prints.
Be able to manage workload and time independently.
Must be able to multi-task managing multiple collections concurrently.
Takes initiative to come up with ideas and solutions.
Able to understand the brand concept and come up with ideas which reflect the brand personality.
Responsibilities:
Assisting to develop print concepts for each kidswear clothing collection or accessories (including working with license artwork and adhering to strict rules);
Assisting with packaging design to match any new collection or product;
Designing any graphics for collaterals relating to the collection, where required;
Assisting to develop prints for new product lines;
Preparing print notes for production;
Creating posters and collateral for retail stores;
Designing any graphics, layouts of brand pages, products and collection pages, and execution of any backend edits with a view to creating a new website experience;
Do regular market research on print trends in the international market; and
Generally assisting on work relating to prints where necessary."
Junior Graphic Designer,MENU 2 PTE. LTD.,MCF-2023-0727938,No information added.,"DELTA HOUSE, 2 ALEXANDRA ROAD 159919",Full Time,Junior Executive,2 years exp,Advertising / Media,1,"['$2,800to$3,300']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Join us in an exciting phase of growth and expansion at The Brewerkz Group!
As a Junior Graphic Designer, your primary focus will be on enhancing the digital visual identity of the Brewerkz and Café Iguana brands within The Brewerkz Group, while also actively supporting the team in creative adaptations. Brewerkz is a multi-award-winning craft brewery with five thriving restaurants in Singapore, recognised as a Made with Passion brand and celebrated as Singapore’s longest-running craft brewery experience. Café Iguana serves modern Mexican food and is a pioneer of the Mexican food scene in Singapore.
Our portfolio of brands is in a state of dynamic expansion, and as part of this exciting growth, we are thrilled to introduce an up-and-coming F&B brand. Although we can't reveal all the details just yet, rest assured it's a venture brimming with potential.
As a Junior Graphic Designer who is spirited and self-driven, and who shares our passion for the F&B industry, this role opens doors to a diverse range of responsibilities. Your journey will encompass absorbing learning experiences, engaging with a variety of tasks, and collaborating closely with our exciting partner brands. Notably, you will also enjoy the distinctive privilege of working in direct collaboration with business owners, contributing wholeheartedly to our collective expansion.
Responsibilities
This role will report to the Art Director and provide essential support in content development, with a primary emphasis on the digital landscape. Your role will be crucial in enhancing our digital presence and maintaining a consistent visual identity across platforms.
The major responsibilities of this role include:
Working closely with the marketing team to design and create marketing collateral
Developing and updating existing artwork, including but not limited to promotional materials, menu updates, and printed display materials
Contribute to and propose creative concepts for brands, product/ services, and campaigns
Assisting in food photography (bonus if you are able to handle DSLR and perform photography)
Ensure accuracy and proper execution of artwork within deadlines
Liaising with vendors for quotation and delivery of printed materials
Provide ad-hoc administrative duties to support creative activities and projects
Identifying and staying up-to-date with digital and social media trends, and proposing appropriate actions to increase brand awareness and customer engagement
Requirement:
Candidate must possess at least Diploma/Degree in Graphic Design/ Media Design
At least 2 years’ of relevant working experience
Proficient in Adobe Photoshop, Illustrator, InDesign, After Effects and Premiere Pro is essential
Ability to conceptualise, visualise and create media assets that are optimised for digital platforms
An excellent sense of visual design
Ability to work effectively both in a team and independently
Competency in multimedia skills, including video and audio editing is a bonus.
Competency in basic HTML coding, WordPress, BigCommerce, web programming is a bonusJoin us in an exciting phase of growth and expansion at The Brewerkz Group!
As a Junior Graphic Designer, your primary focus will be on enhancing the digital visual identity of the Brewerkz and Café Iguana brands within The Brewerkz Group, while also actively supporting the team in creative adaptations. Brewerkz is a multi-award-winning craft brewery with five thriving restaurants in Singapore, recognised as a Made with Passion brand and celebrated as Singapore’s longest-running craft brewery experience. Café Iguana serves modern Mexican food and is a pioneer of the Mexican food scene in Singapore.
Our portfolio of brands is in a state of dynamic expansion, and as part of this exciting growth, we are thrilled to introduce an up-and-coming F&B brand. Although we can't reveal all the details just yet, rest assured it's a venture brimming with potential.
As a Junior Graphic Designer who is spirited and self-driven, and who shares our passion for the F&B industry, this role opens doors to a diverse range of responsibilities. Your journey will encompass absorbing learning experiences, engaging with a variety of tasks, and collaborating closely with our exciting partner brands. Notably, you will also enjoy the distinctive privilege of working in direct collaboration with business owners, contributing wholeheartedly to our collective expansion."
GRAPHIC DESIGNER CUM INSTALLER,SOH GUAN CHUAN AUTO SUPPLY,MCF-2023-0726949,No information added.,"KAMPONG UBI INDUSTRIAL ESTATE, 3005 UBI AVENUE 3 408861",Full Time,Executive,1 year exp,"Customer Service, Design, Sales / Retail",1,"['$3,200to$3,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
ATTEND TO WALK IN CUSTOMER ON VEHICLE GRAPHIC DESIGN
REPLY ON WEBSITE ENQUIRY REGARDING DESIGNING WORKS
TO ISSUE QUOTATIONS TO CUSTOMER BASE ON THEIR REQUIREMENTS
ABLE TO DO GRAPHICS DESIGN ON VEHICLE BASE ON CUSTOMER NEEDS
ABLE TO USE PRINTER MACHINE TO PRINT OUT THE GRAPHIC VINYL STICKERS
ABLE TO DO GRAPHIC INSTALLATION ON THE VEHICLE"
Social Media / Graphic Design Executive,BREAD YARD PTE. LTD.,MCF-2023-0725729,No information added.,,Full Time,Executive,1 year exp,"Advertising / Media, Design, F&B, Marketing / Public Relations, Others",1,"['$2,500to$3,000']",Monthly,8 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Social Media/Graphic Design Executive

Duties & Responsibilities:
- Develop and oversee the execution of our social media accounts across major channels such as Instagram, Facebook etc.
- Maintain all social media accounts, digital media and websites to improve and increase brand awareness and recognition.
- Create and maintain graphic designs and marketing materials.
- Oversee & strategize all digital marketing activities, build digital marketing strategies for the company to achieve KPIs and drive online visits and sales. Assist in marketing plans.
- Any ad-hoc assignments or tasks assigned by the Management.

Requirements
- Fresh Polytechnic/ITE Graduates are welcome
- At least 1 year of experience in Digital Marketing would be preferred
- Good attitude, creative, hardworking, and good sense of style
- Proficient with graphic design
- Ideal candidate with proficiency in Adobe Photoshop, Canva, and video editing software.
- Able to work independently
- Able to write content for video copy, social media postings.
- Possesses excellent problem-solving skills

Benefits:
- 5 day work week
- Annual Leave
- $300 medical claims per year
- Bonus upon good performance
- Yearly increment upon good performance
- Good opportunities for growth and broad learning experience"
Graphic Designer (Beauty / Hair / Aesthetics),RECRUIT EXPRESS PTE LTD,MCF-2023-0724979,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.",,Permanent,Executive,,"Advertising / Media, Design, Events / Promotions, Personal Care / Beauty",1,"['$3,500to$4,200']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Our client is a reputable local MNC dealing in Beauty industry. Due to expansion, they are urgently seeking a Graphic Designer from Beauty / Hair / Aesthetics industry:

Job Responsibilities
Work closely with the Marketing Team/Sales Team to create collateral, promotional and advertising pieces
Conceptualise and represent the company brand in various expression within it's identity framework
Plan concept by studying information and materials
Illustrates concept by designing rough layout of art and copy regarding arrangement, size, type size and style, and related aesthetic concepts
Review and proof all internal and external publications, promotional, conference and event collaterals prior to print and distribution
Assist in planning and art directing in both photo and video shoots
Do video editing and simple animation
Coordinate print, electronic publishing and distribution of all internal and external regional collaterals for various countries

Job Requirements
Minimum Diploma in Graphic Design or related field
Proficient in software such as Adobe Illustrator, Photoshop, Adobe Dimension or 3D software, After Effects, PDF, Microsoft Office
Min 6 months of design experience in Beauty Industry a must

Jessie Hoe Huey Miin
CEI R1103861
EA: 99C4599"
