title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Sustainability Senior Manager (Hospitality MNC),RECRUITPEDIA PTE. LTD.,MCF-2023-0728430,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Senior Management,6 years exp,"Environment / Health, General Management",1,"['$7,000to$12,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 30 Sep 2023,"Roles & Responsibilities
Our Client is a SGX Listed company in Hospitality industry. Due to business needs, they are now recruiting a Senior Sustainability Manager to be part of their Sustainability team for ongoing transformation projects. They are located in the West Area - easily accessible.

Roles and Responsibilities of Senior Sustainability Manager:
Facilitate effective coordination among the Company's Board of Directors, Finance, Operations, Communications, and relevant department heads for sustainability initiatives.
Guide and ensure compliance with regulatory frameworks such as TCFD, GRI, UNGC, SASB, and other applicable standards for formal sustainability reporting.
Ensure timely adherence to all requirements outlined in the Company's Memorandum of Association and Articles of Association.
Administer and approve project funds through the appropriate governance body and ensure transparent and effective financial management.
Take responsibility for the financial sustainability of the Company by overseeing annual expenditures and revenue generation.
Collaborate with sustainability-related departments to ensure consistent implementation of core sustainability programs.
Work with department leaders to troubleshoot and guide them in meeting annual and long-term sustainability targets, such as waste reduction, water conservation, biodiversity preservation, climate action, and diversity, equity, and inclusion (DEI) initiatives.
Prepare and present regular financial and sustainability reports to the Company's leadership.
Coordinate and plan key sustainability-related events and communication strategies.
Represent the Company in relevant networks and establish strategic partnerships to promote and achieve sustainability goals.
Requirements:
Degree in any discipline
Min 5 years of relevant experience
Experience in tourism & hospitality industry is a bonus
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: Jobs@recruitpedia.sg
EA License No: 19C9682
EA Personnel No: R2198636
EA Personnel Name: Oh Puey Xin"
Corporate Development Assistant Manager (Hospitality) West,RECRUITPEDIA PTE. LTD.,MCF-2023-0728483,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Manager,3 years exp,"Accounting / Auditing / Taxation, Banking and Finance",1,"['$4,000to$5,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 30 Sep 2023,"Roles & Responsibilities
Our Client is a SGX Listed company in Hospitality industry. Due to business needs, they are now recruiting a Corporate Development Manager to be part of their Corporate Development team for ongoing transformation projects. They are located in the West Area - easily accessible.

Roles and Responsibilities of Corporate Development Manager:
Create financial models, conduct feasibility assessments, perform valuation analyses, and scenario planning to support decision-making processes.
Support transactional activities including due diligence, negotiations, and deal structuring.
Aid in the preparation of recommendations, studies, and presentations for senior management.
Oversee strategic initiatives from project inception to completion.
Foster relationships with internal stakeholders and external partners such as financial, tax, real estate, and legal advisors.
Assist in various ad-hoc tasks related to the coordination of Corporate Development functions.
Requirements:
Degree in Business, Finance, Real Estate, or a related field
Minimum of 3 years' relevant experience in similar industry
Experience in hospitality/real estate industry will be a bonus
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email Address: Jobs@recruitpedia.sg
EA License No: 19C9682
EA Personnel No: R2198636
EA Personnel Name: Oh Puey Xin"
Porter (Farrer Park Hospital),ISS FACILITY SERVICES PRIVATE LIMITED,MCF-2023-0673155,"Headquartered in Copenhagen, Denmark, ISS is a leading global provider of facility services, offering services on an international scale with leveraged knowledge and experience. The secret to our success lies in how we tailor our solutions to client needs, how we manage risk, and how our engaged team of more than 490,000 staff members add the power of the human touch in everything we do. At ISS we deliver a wide range of self-performed services that can be combined in numerous ways according to the customer’s requirements. Creating a flexible, transparent and tailor-made FM solution in close dialogue with the customer is critical for scaling services to meet the changing needs of the organisation.",,Full Time,Non-executive,,Environment / Health,1,"['$1,600to$1,650']",Monthly,7 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
KEY RESPONSIBILITIES
Perform portering services for patients to and from the wards/ specialist clinics/ departments/ external centres in a safe and professional manner.
Deliver and collect medical/patient records, specimens, medications or any other items within a hospital environment.
Comply with quality service, safety and health requirements of ISS and customers.
Build strong relationships with stakeholders and anticipate their needs.
Implement productivity related initiatives.
REQUIREMENTS
Able to communicate with English speaking user/ customer.
Basic IT knowledge is required to handle e-system, computer, smartphones.
Able to handle difficult customer.
KEY BEHAVIORS
Build effective team.
Customer focused.
Drive results.
Ensure accountability.
WORKING HOURS / DAYS
7am to 3pm, 9am to 5pm, 11am to 7pm, and 1pm to 9pm | 6 days work week
ADDITIONAL INFORMATION
Retention Bonus *Terms & Conditions apply
Training Provided
AWS
Medical Benefits
Working location: Farrer Park Hospital"
Contract - Perm Patient Service Associate (Polyclinic / Hospital / Clinics) #HCG,RECRUIT EXPRESS PTE LTD,MCF-2023-0635062,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.",,"Temporary, Contract, Permanent, Full Time",Fresh/entry level,1 year exp,"Admin / Secretarial, Customer Service, Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$1,600to$3,000']",Monthly,20 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
We are looking for Contract - Long term patient service associate to be outsourced to our clients.

Job Description:
Provides frontline services in areas
Scheduling of appointments
Payment collection
Liaising with patients and caregivers
Other ad hoc duties
Requirements:
Min N/O/A Lvl
Able to commit to the working hrs
Have good communication skills
Proficient in MS Office/Excel/Word
All qualified applicants, please send in your resume to: triciagoh@recruitexpress.com.sg
Recruiter's reference code: #HCG
Tricia Celestine Goh (R1981653)
Recruit Express Pte Ltd
Company Reg. No. 199601303W | EA License Number: 99C4599"
Hospital Food Server,SODEXO SINGAPORE PTE. LTD.,MCF-2023-0727257,"Sodexo in Singapore Sodexo Singapore was established in 1982 and presently provides On-site Service Solutions to reputable and prestigious organisations. We have a strong presence in Corporate, Education, Defence, Seniors, Remote Sites and Offshore client segments and are well positioned to support the various businesses in the evaluation of the best possible methods of providing safe, productive and economically feasible food and facilities management service solutions to our clients. With the support of our international network, as well as our strong presence and experience in the Asia Pacific region, Sodexo Singapore is a leading provider of On-site Service Solutions in Singapore. Industy: Facilities Management Service/ Food Service/ Remote Sites (Offshore) History Sodexo designs, manages and delivers a full range of Comprehensive service solutions so that you can focus fully on what you do best. Sodexo Singapore has more than 20 years of experience in Corporate, Education, Defence, Seniors and Remote Site client segments, see how we can support you today!",,Full Time,Non-executive,1 year exp,"F&B, Healthcare / Pharmaceutical, Hospitality",1,"['$2,300to$2,600']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Working Location: KKH HOSPITAL

Job Summary:
To be responsible for the overall patient meal service and maintain good relationship with the patient

Key Responsibilities:
· To be responsible for the meal service for the patients including meal order taking, meal service and tray clearance
· To liaise with various departments such as dietetics and kitchen to ensure accurate patient meal service
· To follow the procedures related to control room pertaining to meal service
· To provide excellent customer service to the patients in the wards.
· To ensure a good relation with the patients and make sure their concerns are taken care of.
· To attend to all patients complaints and feedbacks within a short period of time.
· To carry out all other administrative and operational related duties assignment assigned by superior and the Management

Key Requirements:
At least 1 year of relevant working experience preferably in customer service/service industry.
Able to work independently and enjoy working closely with all levels of staff to achieve positive outcomes.
Service oriented and customer focused.
Sharp, analytical and self-motivated.
Good communication and interpersonal skills.
Able to work independently as well as in a team with minimal supervision."
Nurse Clinician (Hospital),ABER CARE PTE. LTD.,MCF-2023-0726954,"Aber care is a Healthcare Recruitment Agency providing Permanent, Part-time and Locum placements for Nursing Homes, Day Care Centers, Community Hospitals and Restructured Hospitals. Our years of experience working within the healthcare industry have given us in-depth knowledge and insights into the manpower needs of the sector. Beyond providing a good match for talents for full time and locum employment, we also take on roles as training consultants and provide foreign healthcare placement. EA Licence No. 18C9070",,"Permanent, Full Time",Manager,3 years exp,"Environment / Health, Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$4,000to$7,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
You will be an integral part of the team in Hospital to provide nursing care to acute patients.
Assesses, plans, implements and evaluates care of resident with complex healthcare needs according to updated standards of nursing practice.
Conducts teaching and counselling for patients.
Initiates and ensures implementation of discharge planning for residents with potential for discharge.
Ensures patient care delivery is carried out according to established standards of care and practice.
Ensures written policies and SOP is available and up to date to guide nursing practices.
Provides direct care to residents to ensure compliance to standards
Ensures smooth transition of residents from acute to chronic care and back to community where possible.
Conducts nursing audits on nursing care standards and initiates strategies to resolve non-adherence issues.
Directs and facilitates staff development, skills and competency upgrading through in-house training, approved online learning or formal education opportunities.
Guides orientation/induction programmes and preceptorship for new staff.
Supports the SNM in nursing home management and deputizes her in her absence.
Acts as a resource person to the nurse manager in clinical nursing and nursing.
Job Requirements:
Advanced Diploma/ Degree in Nursing
Registered with the Singapore Nursing Board
Minimum 5 years of relevant experience as managerial role
Check out Aber Care Website for detail

Interested applicant please email your detailed resume to career@abercare.sg or contact us at +65 6721 9231.

Abercare.sg | Shanon Ang Hui Lin | R23116973 | Ea License No. 18C9070"
Facilities Manager (Healthcare / Hospital),RECRUIT EXPERT PTE. LTD.,MCF-2023-0727992,"Recruit Expert is specialised in placing skilled and executive candidates in all sectors. Excellence Through People: We believe in the phrase ""Our People Are Our Greatest Asset"". Here is where Recruit Expert comes into place to best match talents and organisations. There is a right candidate for the right job: And that is how our recruitment firm tailors services based on our clients' and candidates’ specific requirements and expectations. More information: https://www.recruit-expert.com","THE ARCADE, 11 COLLYER QUAY 049317",Full Time,Manager,5 years exp,"Building and Construction, Healthcare / Pharmaceutical",1,"['$6,000to$8,000']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Manage a team in facility management for a healthcare facility.
Ensure that the premises and amenities upkeep and maintenance are carried out accordingly.
Perform regular systems inspection to ensure effective implementation and strict compliance of all maintenance programs.
Establish good working relationships with clients and maintain high quality service standards.
Suggest feasible improvement works, rectification works, major repairs and maintenance works and new initiatives.
Requirements:
Degree in Mechanical Engineering or equivalent
At least 5 years of large-scale facility management experience in Healthcare/Hospital facilities.
Good leadership, people management and communication skills
If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com
Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website at www.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740"
Facilities Manager (Healthcare / Hospital),RECRUIT EXPERT PTE. LTD.,MCF-2023-0725383,"Recruit Expert is specialised in placing skilled and executive candidates in all sectors. Excellence Through People: We believe in the phrase ""Our People Are Our Greatest Asset"". Here is where Recruit Expert comes into place to best match talents and organisations. There is a right candidate for the right job: And that is how our recruitment firm tailors services based on our clients' and candidates’ specific requirements and expectations. More information: https://www.recruit-expert.com","THE ARCADE, 11 COLLYER QUAY 049317",Full Time,Manager,5 years exp,"Building and Construction, Healthcare / Pharmaceutical",1,"['$6,000to$8,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Manage a team in facility management for a healthcare facility.
Ensure that the premises and amenities upkeep and maintenance are carried out accordingly.
Perform regular systems inspection to ensure effective implementation and strict compliance of all maintenance programs.
Establish good working relationships with clients and maintain high quality service standards.
Suggest feasible improvement works, rectification works, major repairs and maintenance works and new initiatives.
Requirements:
Degree in Mechanical Engineering or equivalent
At least 5 years of large-scale facility management experience in Healthcare/Hospital facilities.
Good leadership, people management and communication skills
If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com
Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website at www.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740"
Sustainability Senior Manager (Hospitality MNC),RECRUITPEDIA PTE. LTD.,MCF-2023-0727499,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Senior Management,6 years exp,"Environment / Health, General Management",1,"['$7,000to$12,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Our Client is a SGX Listed company in Hospitality industry. Due to business needs, they are now recruiting a Senior Sustainability Manager to be part of their Sustainability team for ongoing transformation projects. They are located in the West Area - easily accessible.

Roles and Responsibilities of Senior Sustainability Manager:
Facilitate effective coordination among the Company's Board of Directors, Finance, Operations, Communications, and relevant department heads for sustainability initiatives.
Guide and ensure compliance with regulatory frameworks such as TCFD, GRI, UNGC, SASB, and other applicable standards for formal sustainability reporting.
Ensure timely adherence to all requirements outlined in the Company's Memorandum of Association and Articles of Association.
Administer and approve project funds through the appropriate governance body and ensure transparent and effective financial management.
Take responsibility for the financial sustainability of the Company by overseeing annual expenditures and revenue generation.
Collaborate with sustainability-related departments to ensure consistent implementation of core sustainability programs.
Work with department leaders to troubleshoot and guide them in meeting annual and long-term sustainability targets, such as waste reduction, water conservation, biodiversity preservation, climate action, and diversity, equity, and inclusion (DEI) initiatives.
Prepare and present regular financial and sustainability reports to the Company's leadership.
Coordinate and plan key sustainability-related events and communication strategies.
Represent the Company in relevant networks and establish strategic partnerships to promote and achieve sustainability goals.
Requirements:
Degree in any discipline
Min 5 years of relevant experience
Experience in tourism & hospitality industry is a bonus
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: Jobs@recruitpedia.sg
EA License No: 19C9682
EA Personnel No: R2198636
EA Personnel Name: Oh Puey Xin"
Doctor (Community Hospital / Elderly Setting),RECRUIT EXPERT PTE. LTD.,MCF-2023-0701979,"Recruit Expert is specialised in placing skilled and executive candidates in all sectors. Excellence Through People: We believe in the phrase ""Our People Are Our Greatest Asset"". Here is where Recruit Expert comes into place to best match talents and organisations. There is a right candidate for the right job: And that is how our recruitment firm tailors services based on our clients' and candidates’ specific requirements and expectations. More information: https://www.recruit-expert.com","THE ARCADE, 11 COLLYER QUAY 049317",Permanent,Senior Executive,2 years exp,"Healthcare / Pharmaceutical, Others",1,"['$6,000to$12,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Assigned in a range of clinical settings - inpatient care of patients undergoing rehabilitative and sub-acute care together with multidisciplinary team of allied health professionals focusing on integrative care of patients with chronic diseases, geriatric syndromes and rehabilitative needs or diverse settings like outpatient clinic, home care as well as community (e.g., providing medical support for nursing home and community team).
Apply holistic patient centric care considering not only the physical but also functional, psycho-emotional and social needs of the patients.
Requirements:
Fully Registered with Singapore Medical Council.
At least 2 years of relevant working experience preferably in Community Hospitals/Eldercare Settings.
Empathetic with good interpersonal and communication skills.
If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com
Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website at www.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740"
