title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0727699,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0725560,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0723508,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,1 application,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0721474,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,1 application,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
Human Resources Coordinator - GCW,MILLENNIUM & COPTHORNE INTERNATIONAL LIMITED,MCF-2023-0720538,MILLENNIUM & COPTHORNE INTERNATIONAL LIMITED,"Grand Copthorne Waterfront Hotel, 392 Havelock Road 169663","Permanent, Full Time",Junior Executive,2 years exp,"Hospitality, Human Resources",1,"['$2,000to$2,700']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
RESPONSIBILITIES

Respond to internal and external HR related inquiries or requests and provide assistance
Redirect HR related calls or distribute correspondence to the appropriate person of the team
Maintain records of personnel-related data (payroll, personal information, leaves, turnover rates etc.) in both paper and the database and ensure all employment requirements are met
Liaise with other departments or functions
Support the recruitment/hiring process by sourcing candidates, performing background checks, assisting in shortlisting, issuing employment contracts etc.
Assist supervisors in performance management procedures
Schedule meetings, interviews, HR events etc. and maintain the team’s agenda
Perform orientations, onboarding and update records with new hires
Produce and submit reports on general HR activity
Assist in ad-hoc HR projects, like collection of employee feedback
Support other functions as assigned

REQUIREMENTS
· 1-2 years of relevant working experience, preferably in hospitality industry
· Experience in the hospitality industry is a Plus
· Good working knowledge and applications of employment legislation and HR practices
· Analytical, savvy with numbers, organized process-driven, task-focused, and have an eye for details
· Must be comfortable working in a fast-paced hands-on, growth-oriented work environment with a tight timeline"
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0719113,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,1 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0715037,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,4 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0717450,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,3 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0712052,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,1 application,Posted 18 Sep 2023,Closing on 18 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
"Human Resource Coordinator, Office Support",RECRUITPEDIA PTE. LTD.,MCF-2023-0713835,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.","UOI Building, 146 Robinson Road 068909","Permanent, Full Time, Internship/Attachment",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service, Human Resources, Information Technology, Legal",1,"['$2,200to$3,800']",Monthly,1 application,Posted 18 Sep 2023,Closing on 18 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support day-to-day administrative and coordination work to the department
In charge of filing, data entry and administrative duties
Preparation and submission of Management reports
Provide support to ensure effective information flow and communication among various internal and external stakeholders
Outreach to vendors for business procurement related matters
Forecast business related budgeting and costings
Ensure that the company's objectives and sales targets are met
Any other ad-hoc tasks as assigned
Requirements:
Candidates must have a minimum of 1 - 2 years relevant office support / business operations / administrative experience
IT savvy and good in Microsoft Office
Able to work independently in a fast paced environment
Able to communicate effectively with various departments
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Email Address: hr@recruitpedia.sg"
