title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Senior IT Support Specialist APAC,VANTAGE DATA CENTERS APAC PTE. LTD.,MCF-2023-0642144,No information added.,,Permanent,Senior Executive,4 years exp,Information Technology,1,"['$7,500to$9,000']",Monthly,92 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
About Vantage Data Centres
Vantage Data Centres powers, cools, protects and connects the technology of the world’s well-known hyperscalers, cloud providers and large enterprises. Developing and operating across six markets in North America and five markets in Europe, Vantage has evolved data centre design in innovative ways to deliver dramatic gains in reliability, efficiency and sustainability in flexible environments that can scale as quickly as the market demands.
Our global business is growing quickly. In EMEA, we have sites in the UK, Ireland, Luxembourg, Germany, Switzerland, Poland and South Africa – with many more national and international sites to follow. This is a fantastic time to join Vantage and be part of our collective growth journey.
Information Technology Department
The Technology & Systems Department for Vantage Data Centres is very hands on. In most cases, we specify, purchase, configure and maintain all networking and server hardware. We also work closely with partner VARs to learn about the latest technology changes so we can make informed purchase decisions. The IT department is always looking for ways to strike the best balance between technology, performance and cost.
Vantage Technology & Systems also participates in designing each of our new data centre building’s networking infrastructure, including but not limited to: diverse pathways connecting to carriers, meet-me room (MMR) hosting (rack, cabs, ladders, cross connect panels…), wireless AP coverage, etc. If you like getting your hands dirty and helping to design, build and maintain IT infrastructure in a modern data centre, then come work at Vantage. We’re expanding with many new builds!
Essential Job Functions
To assist with updating and maintaining the ticketing system based on functional and business requirements.
To provide telephone, email and field support to internal customers and colleagues providing an excellent level of service to meet Vantage’s SLA. Calls must be logged, prioritised and actioned via the IT ticket system.
To ensure that all associated tickets are updated in a timely manner so that the status of logged calls can be monitored, and problem reporting can be done effectively.
To be able to identify trends and escalate them to other global team members as well as be proactive in identifying areas for improvement.
Ability to identify and translate common escalated issues into employee self-service guide and platform.
To assist in the development of the Service Desk procedures and creation of material knowledge base articles
To undertake project work assigned by management, and provide regular weekly/monthly reports as agreed, ensuring that the work is done to agreed standards and that any problems are communicated in a timely manner.
To undertake the installation, maintenance and decommissioning of computer hardware, software and peripherals ensuring that this is done to agreed procedures and standards and that all relevant documentation is maintained.
Frequent contact with employees at all levels of the organization; frequent external contact with vendors
To act as an escalation point for 1st and 2nd line support and onward link between our internal customers and Global IT department
Assist in maintaining Vantages IT assets provisioning, decommissioning to disposal aligned to the global standards
Support all Site IT equipment (with global support if required) within local and regional offices inclusive of AV equipment, wireless access points, IDF room and scheduled power maintenance outage.
Work with external vendors to diagnose, troubleshoot, fix/repair technical issues with software and hardware.
Assist in the care and maintenance of computing, network and office equipment.
Deploy, install, and configure OS and software applications.
Provide new or regular orientation and guidance to users on how to operate new software, collaboration tools, and computer equipment as per the global process
Properly escalate unresolved daily issues to appropriate teams
Ability to diagnose and troubleshoot basic technical issues
Job Requirements
Bachelor of Science degree or equivalent experience preferred
Hands-on experience working with Windows, Linux & OSX on global image.
Ability to support Active Directory, Azure and Office 365.
Experience working with Android and IOS phones
Excellent English written and oral communication skills.
Some Travel is expected in the region.
4-6 years’ experience working in a global corporate end users/service desk environment in a matrix reporting environment support global users.
Familiarity with remote desktop applications and help desk software
Excellent problem-solving and communication skills
Strong prioritisation and organisation skills with the ability to handle multiple tasks at once  including office projects.
Ability to manage regional vendors for support and maintenance in line with global procurement, support and maintenance standards and agreements.
Ability to provide step-by-step technical help, both written and verbal
Ability to support global users remotely.
Ability to lift 25Lbs (Setting up workstations/Monitors)
Experience working with ServiceNow platform is required.
Work under limited supervision, both independently and within a team environment.
Ability to work under pressure and manage multiple projects.
Excellent customer service skills.
Good understanding of applications, computers, mobile devices and other tech products working within an ITIL environment and hands-on experience dealing with on Incident, Request, Change and problem management.  Preferably holding a current qualification of at least ITILv3
Technical qualifications such as Comptia A+, Network + , Microsoft certification would be advantageous.
Experience of Agile methodologies would an advantage.
Vantage Data Centres is an Equal Opportunity Employer"
IT Engineer Support Specialist (1 year Contract) #HMS,RECRUIT EXPRESS PTE LTD,MCF-2023-0725143,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.",,Contract,Executive,2 years exp,Engineering,1,"['$2,500to$3,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Salary range: $2500-$3200
12 months contract
Provide clinical support for continuity of clinical systems such as Sunrise Clinical Manager (SCM), Cerebral Plus (C+) and other clinical systems
Gather feedback/requirements for clinical systems improvement
Participate in clinical systems testing
Facilitate with end -users training session
Provide both onsite and offsite clinical support to the end-users pre and post implementation and during downtime procedures.
Provide 24 x7 on-call application support to end users through rostering
Interested candidates, do submit your resume to: Jocelynchan@recruitexpress.com.sg

Or telegram @jocelynchan

Jocelyn Chan
Recruit Express Pte Ltd (Healthcare & Lifescience)
Company EA Licence number: 99C4599
Personnel EA License: R1331820"
Desktop Support Coordinator,DIEBOLD NIXDORF SINGAPORE PTE. LTD.,MCF-2023-0716894,"Diebold Nixdorf is a world leader in enabling connected commerce for million of consumers each day across the financial and retail industries. Its software-defined solutions bridge the physical and digital worlds of cash and consumers transactions conveniently, securely and efficiently. As an innovation partner for nearly all of the world's top 100 financial institutions and a majority of the top 25 global retailers, Diebold Nixdorf delivers unparalleled services and technology that are essential to evolve in an ""always on"" and changing consumer landscape. Diebold Nixdorf has a presence in more than 130 countries with approximately 25,000 employees worldwide. The organization maintains corporate offices in North Canton, Ohio, USA and Paderborn, Germany. Visit www.DieboldNixdorf.com for more information.",30 KALLANG PLACE 339159,"Permanent, Full Time",Senior Executive,3 years exp,Information Technology,1,"['$3,900to$6,000']",Monthly,23 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Position Overview
Works with management to determine IT objectives to improve business outcomes and user experiences. Provides day-to-day technical support for team members and system users of network infrastructure and internal desktop systems. Installs, configures and troubleshoots desktop systems, workstations, servers and network issues. Maintains passwords, data integrity and file system security for the desktop environment. Recommends hardware and software solutions, including new equipment acquisitions, software and upgrades. May conduct training to help computer users understand and optimize basic and specialized applications.

Responsibilities
· Provides day-to-day IT operations supports and services to end users
· Analyzes IT requirements and provides advice on the use of IT devices
· Gains familiarity with Desktop Support concepts, practices and methodologies.
· With guidance, learns to perform Desktop Support duties, including:
o Installing and configuring basic workstation hardware and software,
o Ensuring system connectivity,
o Providing first-line user support,
o Troubleshooting hardware, software and connectivity issues,
o Assisting with installation and update of anti-virus software and with decontamination of infected systems,
o Assisting with user moves, including de-installation and re-installation,
o Assisting with desktop, laptop and printer break-fix services,
o Gathering and recording systems inventory data.
o Engages with printers, mobile/office phones and other office infrastructure management
o Provisions accounts for new users and de-provisions for departing employees
o Supports team projects within defined area of responsibility
o Ensures equipment/system/asset inventory is maintained as required
o Supports some IT infrastructure as per required scope of the team
o Provides IT supports on PC hardware, software, and applications with remote diagnosis, problem determination, and resolution with
o Manages computer life cycle, procurement, and distribution for users including new hires
· Learns and complies with the company’s desktop, peripheral and related connectivity and security policies and procedures.
· Trains employees in workstation and IT related device usages
· Learns how actions impact SLAs.
· Assists with special projects as assigned.

Qualifications
Minimum 3 years of IT support experiences
A bachelor's degree in a computer discipline or relevant certification
Proven working experience as IT support specialist/analyst
Good experience with IT ticketing and report management tools
Good written and oral English communication skills
Familiar with a range of software and hardware
Good problem-solving skills, positive attitudes, and strong service mind
Preferred Qualifications
Some knowledge and experiences on IT Service Management or ITIL
Experiences working in a multi-cultural environment is a plus.

Why should you join Diebold Nixdorf?
Brightest minds + technology and innovation + business transformation The people of Diebold Nixdorf are 23,000+ teammates of diverse talents and expertise in more than 130 countries, harnessing future technologies to deliver personalized, secure consumer experiences that connect people to commerce. Our culture is fueled by our values of collaboration, decisiveness, urgency, willingness to change, and accountability.


–Diebold Nixdorf is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.


** To all recruitment agencies: Diebold Nixdorf does not accept agency resumes. Please do not forward resumes to our jobs alias, Diebold Nixdorf employees or any other organization location. Diebold Nixdorf is not responsible for any fees related to unsolicited resumes**"
IT Support Specialist / East,TEMPSERV PTE. LTD.,MCF-2023-0714006,"TEMPSERV PTE. LTD. We are a rapidly expanding recruitment firm that delivers reliable manpower solutions to meet our clients' needs. Established in 2005, we've been catering to a rich diversity of corporations in various business fields: banking, manufacturing, IT and healthcare etc. We pride over our diverse recruitment categories under the three main themes: Temporary & Contract, Permanent Placement and Executive Recruitment.","INTERNATIONAL PLAZA, 10 ANSON ROAD 079903","Permanent, Full Time",Fresh/entry level,1 year exp,Information Technology,1,"['$2,500to$2,800']",Monthly,8 applications,Posted 18 Sep 2023,Closing on 02 Oct 2023,"Roles & Responsibilities
Scope of services:
Provide 1st Level Technical Support to users over phone on technical issue or via remote assistance tool and emails
Escalation, tracking and resolution of all incident/service requests/ problems in a professional and timely Manner
May be required to cover onsite support as and when necessary.
Any other administrations where required.
Requirements:
Minimum 6 months of experience in IT service desk environment
Relevant technical IT expertise and skills in latest Windows, Linux & MAC OS;

Interested candidates, please click on “Apply Now”. Alternatively, you may email us detailed resume to recruit@tempserv.com.sg

Tempserv Pte Ltd
License No : 06C3745
Consultant In-Charge: Daniel Lee / EA Personnel No: R1989151"
IT Support Engineer,FENIX ONE PTE. LTD.,MCF-2023-0299962,"Fenix One supports various group companies in all of their administrative, operational, and non-trading related functions. This includes back and front office, HR, risk and compliance.","ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960",Full Time,Professional,3 years exp,Information Technology,1,"['$4,000to$7,000']",Monthly,265 applications,Posted 18 Sep 2023,Closing on 18 Oct 2023,"Roles & Responsibilities
Summary / Purpose of Position:
Provide technical support across the company.
Essential Duties & Responsibilities for this Position
· Setup, configure, maintain, and troubleshoot third party software packages to support trading and development.
· Setup and configuration of desktops, laptops, printers, phone systems, and cameras.
· Maintain existing office infrastructure and design, plan, and implement improvements based on evolving needs on the business.
· Select and liaise with vendors for various office related projects.
· Update and maintain hardware and software inventory.
· Able to provide support off hours or perform ad hoc duties as required
Qualifications, Skills and Knowledge Required
· Diploma in an IT related field.
· Minimum of 3 years’ experience as an IT support specialist.
· Ability to provide technical support and resolve queries in a timely manner.
· Strong network troubleshooting and tech support skills.
· Clear communication skills in English."
IT Implementation Support Specialist - 1 year (HLT),JOBSTUDIO PTE. LTD.,MCF-2023-0713199,"JOBSTUDIO PTE LTD, a home grown specialized recruitment organization and at JOBSTUDIO, our mission is to forge strong relationships by genuinely caring for our candidates and clients. Guided by our vision to build careers & grow companies, we are driven by our E.T.H.I.C.S Values in the way we conduct business. Our E.T.H.I.C.S Values: Empathy: Taking a leaf out of your book, we will stand in your shoes. Trustworthiness: You can trust us like a friend. Hard Work: We will work hard for you, going that extra mile always. Innovation: We will continue to look at ways to improve ourselves so that we can serve you better. Cooperation: We do not just work for you, we work with you. Success: Ultimately, we want you to succeed in life! And Why work with us? 1. We Genuinely Care About You At JobStudio, we care about how you grow in your career. We make it our priority to understand you, your needs as well as ambitions. While monetary rewards are important, we know it is more than that. A job is about colleagues, opportunities for growth and inspiration. We try to stand in your shoes and understand what you truly want from a job and in life. 2. Rely on a Strong Network Over the years, we have acquired experience and expertise in many sectors. As a result, we have built strong relationships with major companies, providing us with the latest job openings. More importantly, we know how you work and how you can fit into each company's culture. If you are a professional, JobStudio is able to find the right job for you. 3. You Deserve the Best Within a short span of seven years, we have made a name for ourselves in the staffing and executive search industry. We hold about 70% of the healthcare recruitment sector. As a testimony to our stellar growth, our founder was awarded with Entrepreneur of the Year Award in 2014. We are confident that we can find the best job for you because we are the best in recruitment.",,Contract,Non-executive,1 year exp,"Environment / Health, General Work, Healthcare / Pharmaceutical, Information Technology, Telecommunications",1,"['$2,500to$3,200']",Monthly,1 application,Posted 18 Sep 2023,Closing on 18 Oct 2023,"Roles & Responsibilities
Implementation of the new EMR system across healthcare instutution in Singapore, work directly with the business users to provide ground support pre and post go-live support, facilitate with User Acceptance Testing (UAT) and training of end-users on the new EMR. 1 month completion bonus, upon completion of 1 year contract.

Job Responsibilities:
· Provide clinical support for continuity of clinical systems such as Sunrise Clinical Manager (SCM), Cerebral Plus (C+) and other clinical systems
· Gather feedback/requirements for clinical systems improvement
· Participate in clinical systems testing
· Facilitate with end -users training session
· Provide both onsite and offsite clinical support to the end-users pre and post implementation and during downtime procedures.
· Provide 24 x7 on-call application support to end users through rostering

Requirements:
· Diploma or degree in a healthcare discipline or others
· Basic use of MS Word, Excel and PowerPoint for documentation and presentation

Interested applicants, kindly furnish us with your detailed resume in MS
Words format and click ""Apply Now"" button

*We regret to inform only shortlisted candidates will be notified. Applicants who do not possess necessary experience or qualification will still be considered on individual merits and may be contacted for other opportunities.*

“Jobstudio will not solict any money , request to use your bank account for business or request you to transfer any monies to any parties , please be aware of scams impersonating jobstudio and our employees , you may call our office directly at 64221390 for verification. We will not be liable for loss arising from scams.""

JobStudio Pte Ltd
EA License No: 10C4754
EA Personnel: Pearly Poh
EA Personnel Reg No: R2089904"
IT Support,FRONTIER FORCE TECHNOLOGY PTE LTD,MCF-2023-0702194,"Established in May 2000, Frontier Force Technology Pte Ltd comprises a dynamic tem from different areas of IT specialisation. We cover the full IT spectrum from networking, IT security solutions and proprietary software development to e-Business consultation and IT outsourcing and project management.",,Full Time,Junior Executive,1 year exp,"Customer Service, Information Technology",1,"['$2,600to$3,900']",Monthly,40 applications,Posted 13 Sep 2023,Closing on 13 Oct 2023,"Roles & Responsibilities
We are seeking a highly skilled and motivated IT Support Specialist to join our team. The IT Support Specialist will be responsible for providing technical assistance and support to EUC users and ensuring the smooth operation. The ideal candidate should possess a strong technical background, excellent problem-solving skills, and a customer-focused attitude. This is a field support role.
Responsibilities:
Helpdesk Support: Respond to IT support requests from end users, either in person, via phone, or through the ticketing system. Troubleshoot hardware, software, and network issues, and resolve problems in a timely manner.
Hardware and Software Setup: Assist with the installation, configuration, and deployment of computer systems, laptops, printers, software applications, and other IT equipment.
User Account Management: Manage user accounts, permissions, and access rights in various systems and applications. Ensure user onboarding and offboarding processes are executed accurately and efficiently.
Network Support: Troubleshoot network connectivity issues and work with the Network team to maintain a stable and secure network environment. To provide smart hand support for basic network devices installation and deployment.
IT Infrastructure Maintenance: Perform routine maintenance tasks on computer systems, servers, and other IT equipment. Keep hardware and software up to date with the latest patches and updates."
IT User Support Specialist,AVALOQ ASIA PTE. LTD.,MCF-2023-0480945,"AVALOQ SOURCING ASIA PACIFIC (SINGAPORE) PTE. LTD. Avaloq is a value driven, fast-paced financial technology and services company and we are committed to developing the banking solutions of tomorrow. By joining Avaloq, you’ll become a key part of our effort to power the digital transformation of the financial services industry. Our ambition is big and bold – to provide full end-to-end digital solutions by combining our leading efficiency with a flexible, responsible digital user experience. Headquartered in Zurich, Avaloq has over 2,000 employees globally. More information is available at www.avaloq.com","GALAXIS, 1 FUSIONOPOLIS PLACE 138522","Permanent, Full Time",Executive,4 years exp,Information Technology,1,"['$5,000to$9,500']",Monthly,253 applications,Posted 12 Sep 2023,Closing on 12 Oct 2023,"Roles & Responsibilities
Company Description
Founded and headquartered in Switzerland, Avaloq is continuously expanding its global footprint with around 2,500 colleagues in 10 countries, and more than 160 clients in 35 countries. We are an industry-leading provider of wealth management technology and services for financial institutions around the world, including private banks and wealth managers, investment managers, as well as retail and neo banks. Our research led approach and continual innovation is powered by the passion and creativity of our colleagues.
We are always looking for talented people to join us on our mission to orchestrate the financial ecosystem and democratize access to wealth management. Avaloq offers the opportunity to work closely with some of the world’s leading financial institutions as we jointly develop and shape careers. Championing a collaborative, supportive and flexible work environment empowers our colleagues to reach their full potential.
Job Description
Your team
To support the Global IT User Support team, we are looking for a committed and skilled IT User Support Specialist. Due to our internationalization strategy, the User Support team must cover some other global locations remotely. Therefore, we are looking for a competent, responsible and independent person who helps us make this Global IT User Support Team a success. This requires close cooperation with all IT team members and users worldwide. You will be part of a warm, friendly and welcoming culture within the Singapore Office, so we expect you to be equally warm and welcoming.

Your key tasks
Solve the problems encountered by the users
1st and 2nd level support.
Recording, dispatching, carrying out progressive incident analysis, and resolving incidents.
Supporting internal users via tickets, phone, remotely, and on-site assistance.
Document systems, procedures, and processes
Handle IT service requests and manage request fulfillment process
Be responsible for the management of end-user assets and devices
Qualifications
Successfully completed IT education or comparable qualification
Experience in 1st and 2nd level support
Service oriented team player
Experience with various Microsoft Windows client and server operating systems
Experience with Microsoft 365 products (Office365, SharePoint, Teams, Exchange Online, etc.)
Knowledge about video conferencing, and ad hoc support for VC meetings
Working experience in a global context is a plus
Understanding of ITIL Incident Management best practices
It would be a real bonus if you have
Service oriented mentality
High sense of initiative
Passion to learn
Structured and goal-oriented working method
Distinctive organizational skills and process-oriented thinking
Additional information
We realize that managing work life balance is a challenge we all face in our daily lives and in order to support with this we are pleased to offer hybrid and flexible working for most of our Avaloqers to maintain work life balance and still continue our fantastic Avaloq culture in our global offices.
In Avaloq we are proud to embrace diversity and understand the success of our business is built on the power of different opinions, we are whole heartedly committed to fostering an equal opportunity environment and inclusive culture where you can be your true authentic self.
We hire, compensate and promote regardless of origin, age, gender identity, sexual orientation or any other fantastic traits that make us all unique, we have done our best to write this advert in an inclusive and neutral way.
Please be aware that we will not accept speculative CV submissions for any of our roles from recruitment agencies, and any unsolicited candidate submissions will be exempt from any payment expectations.

Please only apply online - https://smrtr.io/fyKz8, preferably with pdf documents."
IT Support Specialist (HR System & Operations) | Govt Body | Buona Vista,PERSOLKELLY SINGAPORE PTE. LTD.,MCF-2023-0690786,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com PERSOLKELLY Singapore Pte Ltd | EA License No. 01C4394","CITY HOUSE, 36 ROBINSON ROAD 068877",Contract,Executive,2 years exp,Admin / Secretarial,1,"['$3,300to$6,300']",Monthly,47 applications,Posted 09 Sep 2023,Closing on 09 Oct 2023,"Roles & Responsibilities
Job Descriptions
Support the HR team in various HR systems governance activities and operational/systems tasks and projects.
Perform system security reviews for HR systems while ensuring compliance to the security framework (validating user listings).
Accurately and expediently process system access requests from users.
Verify invoices for payment.
Support the team in the maintenance and upgrade of the corporate Chatbot.
Other operational and administrative work as assigned.
Job Requirements
Proficient in excel and handling data.
Tech savvy, organised with good attention to detail.
Interested candidate please click ""APPLY"" to begin your job search journey and submit your CV directly through the official PERSOLKELLY job application platform - GO Mobile.
We regret to inform that only shortlisted candidates will be notified.
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.
PERSOLKELLY Singapore Pte Ltd • RCB No. 200007268E • EA License No. 01C4394• Reg. R22111375 Chua Jie Lin"
IT Specialist (Desktop support),EPS COMPUTER SYSTEMS PTE LTD,MCF-2023-0687567,EPS COMPUTER SYSTEMS PTE LTD is a leadin IT services company and specialist in IT Contract Staffing IT Manpower Outsourcing IT Technical Support Services IT Consultancy Services Service Desk / Contact Centre Management,,"Contract, Full Time",Executive,2 years exp,Information Technology,1,"['$3,000to$4,500']",Monthly,11 applications,Posted 08 Sep 2023,Closing on 08 Oct 2023,"Roles & Responsibilities
Job Duties:

The activities required to be performed shall include the following:
Lead or coordinate ICT Master Plan projects which includes procurement, evaluation of tenders and execution of projects Evaluation, proposal, implementation, support and upgrade of solution & system;
Develop, implement and document solutions and processes to meet business requirements while, ensuring smooth operation to comply with security and compliance of IT endpoint devices, systems and cloud infrastructure
Perform L2/L3 troubleshooting of end user computing devices and services
Monitor services and ensure service delivery within defined Service Level Agreements
Perform and support regular review of compliance to internal, audit and regulatory requirements

Job Requirements:

The qualification and work experience required are as follows:
Preferably 2 years of relevant working experience in supporting and managing of end user computing devices and services
Possess analytical skills, creative thinking and technical expertise to solve complex problems
Experience in cloud, client and mobile device management systems
Technical expert in IT endpoint technologies and tech-savvy on end user devices
Team player with ability to multi-task and prioritisation of work targets deadlines
Able to work in fast changing environment and support after office hours/during weekends as required.
People-oriented, with good interpersonal, verbal and written communication skills
Able to multi-task and prioritise work targets deadlines
Keen learner who displays a positive work attitude

Interested candidates may submit your detailed CV to patrina@eps.com.sg ,stating your expected salary and availability"
