title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Web Developer Intern,MINDFLEX EDUCATION PTE. LTD.,MCF-2023-0729413,"MindFlex Education Pte Ltd is rapidly-growing Educational Business in Singapore. We are currently Singapore's #1 provider for all private & home-related tuition services in Singapore. Over the past 5 years, we have arranged more than 30,000+ tuition cases for 15,000+ happy clients. Aside from excelling in our core business, we are a people-centric company which cares deeply about the well-being and growth of our personnel. Our company culture is vibrant and exciting, with a modern office packed with exciting facilities. If you are a dynamic team-player who is passionate for growth & fulfillment, join us today! You will enjoy your time with us!","MIDVIEW CITY, 28 SIN MING LANE 573972","Contract, Flexi-work, Freelance, Full Time, Internship/Attachment, Part Time, Permanent, Temporary",Fresh/entry level,,Information Technology,1,"['$1,000to$1,200']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Hi! Our awesome company is looking for University Interns who have experience in Web Development, & able to commit for a Full-Time Internship of 3 months or more (longer durations preferred).
About Us:
MindFlex Education's internship programme aims to provide internships which are fulfilling, as well as practical in real-world situations
Our office culture is fun, young & encouraging. We take our work, as well as our fun seriously
We provide full-time job opportunities for interns who have excelled in their internship
Enjoy a modern office environment with exciting facilities, such as a PS5, Full-Sized Pool Table, High-End Karaoke System & more
Close-knit team of 15-20 pax, strictly NO office politics, NO over-time culture, NO bring-work-home culture
Web Developer Intern Roles and Responsibilities:
Improve & automate company's business process through creation of new PHP web applications & improvement of existing code.
Review of company's existing process systems to improve UI/UX for both internal and external users.
Be involved in improvement of company's iOS & Android application
Connecting SQL Databases to developed web applications
Review and improve company's current cronjobs and APIs for both internal and external software.
Ensure that new projects are moved from development phase to production phase smoothly, and are both desktop & mobile friendly.
Spearhead development of new landing pages for company's website on WordPress platform, with usage of HTML & CSS code involved.
Modify and improve current landing pages for company's website, with the addition of new functionalities.
Data mining of websites and database for information to be used in company's IT projects.
Learning Outcomes & Objectives:
Intern will be exposed to the movement of IT projects from development phase to production phase in a systematic & meticulous manner.
Intern will have the first-hand experience of building code which can be translated into real-world business usage, to solve actual business problems.
Intern will learn how to manage expectations of different stakeholders, in particular balancing between ""design wants"" of the company and limitations of existing web platforms.
Intern will gain valuable first-hand experience of developing mobile applications, as well as creating new website landing pages from scratch in a professional setting.
Intern will gain insights on mining data content and using it for real-life application purposes.
Intern will be able to review and suggest opinions on how certain UI/UX interfaces of the company can be improved, and carry out plans for improvement.
Intern will also be able to review codes and script written by previous developers; learning from examples and improvement on existing code.
Intern will also have access to a ""senior developer"" who will be able to answer queries & troubleshoot whever necessary
Requirements:
Has to be a current University Undergraduate in a computing-related course
Possess some previous experience with website designing / programming
Proficient with PHP, Javascript, HTML, CSS, Languages
A good team player who is able to communicate effectively with various internal and external stakeholders
Ability to think critically and be able to suggest possible improvements to existing company software systems
Possess adequate problem-solving skills to tackle day-to-day issues independently
Working Hours, Location & Remuneration:
5 Days Work Week, Weekdays 9.00am - 6.30pm
Midview City (Sin Ming Lane)
Closest MRTs: Bright-Hill MRT (Door-Step), Bishan / Marymount MRT (nearby)
$1,000 - $1,200/Month
Interns will also be given several days of paid leave (depending on internship period)
Why Choose Us:
Fun Working Environment with No Office Politics!
Casual Working Attire, Relaxed Setting
Close-Knit Team of 15-20 Pax
Spacious Office with Modern & Fun Entertainment Facilities (Pool Table, Playstation 5, Karaoke Set, Board Games...etc)
Company Meals / Outings / Events / Bonding Activities
Great & Enjoyable Company Culture
Many of our interns have also converted to full-time & contract positions after their internship as they thoroughly enjoyed their learning experience with us
Conveniently located with New Bright Hill MRT at Doorstep
Application:
Submit an e-mail application with Resume/CV to mindflex.recruitment@gmail.com with Email Title ""Web Developer Intern Application""
Please ensure to include the following in Email and attached documents:
1. Earliest Available Start-Date for Internship
2. Available Duration for Internship
3. Suitable Profile Picture of Yourself
4. Is Undertaking The Internship for A Course Requirement, or Self-Improvement
Others:
Shortlisted candidates will be contacted for a short interview over Zoom or Face-to-Face
Signing of Non-Compete contract will be required upon successful selection"
Internal Auditor (In-house Role),SEARCH INDEX PTE. LTD.,MCF-2023-0729473,"At Search Index, we believe in working along closely with our clients in an enduring partnership towards successful career placement. We specialise in identifying and assessing candidates and recruiting them from junior to senior level roles across all industry sectors. We provides end-to-end solutions ranging from Permanent, Contract, Temporary and Project based placement. Executive Search Payroll and Staff Management Search Index is committed in providing the highest level of service with our extensive knowledge of human resources, consultancy and search expertise. We work with Local Small Medium Enterprise (SMEs) and Multinational Companies (MNCs) across various industries.",,Permanent,Executive,3 years exp,"Accounting / Auditing / Taxation, Banking and Finance, Consulting, Professional Services, Risk Management",1,"['$3,500to$5,000']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Internal Audit
Financial / Operational / Compliance Audit
Senior / Executive Level
Responsibilities:
Conduct financial, operational and compliance audits, as well as other audits and advisory projects
Responsible for risk assessment, planning and conducting audits covering operational processes and systems
Using audit software for data analysis and work documentation
Prepare and present audit reports to the management and Audit Committee / Board
Handle minutes writing
Any other ad-hoc task as assigned
Requirements:
Possess a Degree in Finance / Accountancy / Business Administration or equivalent
Possess minimum 3 years’ Internal Audit experience in financial, operational and compliance audits
Proficiency in internal control policies and business process controls
Strong planning, analytical and problem-solving skills
A good team player and able to work independently with minimal supervision
Good report writing, communication and interpersonal skills
Experience in Data / Business Analytics tools is advantageous
To apply please click on the APPLY NOW button or email your resume with the following details inside your resume for faster processing:

• Reason for leaving each past & current employment
• Salary drawn for each past & current employment
• Expected Salary
• Earliest availability date

We regret only shortlisted candidates will be notified. By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.

Yoong Poh Feng
EA License | 14C7092
EA Registration Number | R1105076"
Operations & Marketing Intern (Education Business),MINDFLEX EDUCATION PTE. LTD.,MCF-2023-0729410,"MindFlex Education Pte Ltd is rapidly-growing Educational Business in Singapore. We are currently Singapore's #1 provider for all private & home-related tuition services in Singapore. Over the past 5 years, we have arranged more than 30,000+ tuition cases for 15,000+ happy clients. Aside from excelling in our core business, we are a people-centric company which cares deeply about the well-being and growth of our personnel. Our company culture is vibrant and exciting, with a modern office packed with exciting facilities. If you are a dynamic team-player who is passionate for growth & fulfillment, join us today! You will enjoy your time with us!","MIDVIEW CITY, 28 SIN MING LANE 573972","Contract, Flexi-work, Freelance, Full Time, Internship/Attachment, Part Time, Permanent, Temporary",Fresh/entry level,,"Admin / Secretarial, Customer Service, Education and Training, Human Resources, Marketing / Public Relations",1,"['$1,000to$1,200']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Find Out Even More At: https://tinyurl.com/mindflex-intern
Hi! Our company is looking for Polytechnic/University Interns who are able to commit for a Full-Time Internship of 3 Months & Above (longer durations preferred).
About Us:
MindFlex Education's internship programme aims to provide internships that are fulfilling, as well as practical in real-world situations
Our office culture is fun, young & encouraging. We take our work, as well as our play seriously
We provide full-time job opportunities for interns who have excelled in their internship
Enjoy a cosy office environment with modern facilities such as a PS5, pool table, karaoke system & more
Close-knit team of 15-20 pax, strictly no over-time culture, no bring-work-home culture
Learning Scope:
Complete experience of sales & operations process (initial touch-base with clients, order preparation, invoicing, after-sales service)
Enjoy first-hand & real-world experience with actual customer communication, unique problem solving & critical thinking
Exposure to real-life and practical marketing tools such as Google Ads, Facebook Ads, Carousell Ads, SEO (Ahrefs, SEMRush)
Learn & experience how to use customised back-end software which have been specially designed & tailored to fulfill the company's business needs & improve efficiency
Be involved in company's business development through assigned projects with fellow interns
Be exposed to application & conceptualisation of business strategies from the perspective of market leaders in the tuition industry
Job scope will be a 70-30% split between Operations & Marketing tasks
Responsibilities:
Be actively involved with Business & Marketing Operations of an Educational Agency on a day-to-day basis
Communicate well with new clients (warm leads), engaging them & helping them to understand better their tuition needs
Prepare client's requirements & present them in an attractive yet concise job-post format for tutors to apply in
Be in charge of filtering & broadcasting available tuition assignments via the company's various outreach channels (WhatsApp, Telegram, Email & many more)
Assist in actively profiling tutors and marketing them in a way which captures the consumer's attention based on their required needs
Assist in sales-closing & after-sales process. Work cohesively with other team members to solve unique day-to-day problems
Assist in Digital Marketing Tasks such as creating engaging Facebook & Instagram Posts
Actively involved in active link-building and outreach campaigns to improve company's internet presence
Assist with content creation on company's website through web building tools such as WordPress
Job Requirements:
Current Polytechnic/University Student, Singaporean
Good Command of Both Written & Verbal English
Friendly, Passionate and Energetic Team Player
Organized and Good Administrative Skills
Responsible and Strong Work Ethic
Decent Typing Speed and Computer Skills
Polite, Patient and Calm Personality
Location & Working Hours:
Location: Sin Ming Lane, Midview City (Near Bishan/Marymount MRT)
4 Weekdays, 1 Weekend, 9.00am - 6.30pm
(Working days of your choosing & mutually agreed with the company)
Strictly No Overtime and No Bring-Work-Home Culture
Internship Allowance:
$800/Month (Polytechnic)
$1,000/Month (University)
Why Choose Us:
Fun Company Culture and Working Environment
Casual Working Attire, Relaxed Setting
Close-Knit Team of 15-20 Pax
Office with Modern Facilities (Pool Table, Playstation 5, Karaoke Set, Board Games, etc)
Company Meals / Outings / Events / Bonding Activities
Many of our interns have also converted to full-time & contract positions after their internship as they thoroughly enjoyed their learning experience with us
New Bright Hill MRT at Doorstep
Application:
Submit an e-mail application with Resume/CV to mindflex.recruitment@gmail.com with Email Title ""Internship Application""
Please ensure to include the following in Email and attached documents:
1. Earliest Available Start-Date for Internship
2. Available Duration for Internship
3. Suitable Profile Picture of Yourself
4. Is Undertaking The Internship for A Course Requirement, or Self-Improvement
Others:
Shortlisted candidates will be contacted for a short interview over Zoom or Face-to-Face
Signing of Non-Compete contract will be required upon successful selection"
Business Development Intern,LAGNAA,MCF-2023-0729154,No information added.,6 UPPER DICKSON ROAD 207466,"Contract, Part Time, Internship/Attachment",Junior Executive,2 years exp,"Advertising / Media, Events / Promotions, F&B, Marketing / Public Relations, Sales / Retail",1,"['$1,000to$1,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Business Development Intern (5 day work week. Up to 1500 /mth)
We are seeking highly motivated and growth oriented Business Developement Intern to join our team.The ideal candidate will be an enthusiastic individual who is eager to learn about how to seek opportunities to expand the business and possess excellent communication and organisation skills.

JOB DESCRIPTION
Conduct market research and analyse industry trends to identify potential business opportunities.
Assist in developing and implementing strategies to increase restaurant revenue and profitability.
Work closely with the management team to develop and executive marketing campaigns, including social media and email marketing.
Identify and build relationships with potential business partners, including suppliers and vendors.
Assist in organizing and attending events to promote the restaurant and increase brand awareness.
Monitor and evaluate results of marketing strategy to make data driven decisions moving forward.
Perform other duties as assigned.
SKILLS REQUIRED
Strong written and verbal communication skills.
Ability to multi task and prioritize effectively.
Proficient in Microsoft Office and experience with social media platform.
Ability to work independently and as part of the team.
Motivated and eager to lear and grow."
Film Production Intern,LIFEUP SG PRIVATE LIMITED,MCF-2023-0469909,"LifeUp is a Virtual Reality company that provides virtual tours and content creation for commercial clients and realtors. If you want to experience what it’s like to work in a startup, this is your chance!","Midview City, 22 Sin Ming Lane #04-80 573969",Internship/Attachment,Fresh/entry level,,"Advertising / Media, Real Estate / Property Management",1,"['$800to$1,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
LifeUp is looking for an Intern Videographer! LifeUp is a Virtual Reality company that provides virtual tours and content creation for commercial clients and realtors. If you want to experience what it’s like to work in a startup, this is your chance!

As a videographer, you will be responsible for capturing real estate videos.
Responsibilities:
Use technical skills to capture good footage
Communicate effectively with clients
Ensure that all equipment is in good working order and ready for use
Conceptualize & assist the team with pre-production work (ie. storyboards, moodboards, content calendar)
Able to handle camera and lighting equipment, setting up lights. and monitor the condition of equipments
Requirements:
Good communication skills and the ability to work effectively with clients, vendors, and other professionals
Professionalism, punctuality, and the ability to work well under pressure
Able to commit minimum 3 months
If you are passionate about real estate videography and have the required skills and experience, we encourage you to apply for this exciting opportunity. Please submit your resume and portfolio of previous work for consideration."
AG59- Internal Audit Senior / Audit Assistant Manager,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0636332,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805",Permanent,Senior Executive,4 years exp,Accounting / Auditing / Taxation,1,"['$3,800to$5,000']",Monthly,3 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Position (Full title) : Internal Auditor and Risk Management Senior Consultant / Assistant Manager
Location: International Plaza Singapore (Tanjong Pagar )
Working days: 5 days [Mon-Fri]
Working time: 8:45am to 5:45pm
Salary: $3800 - $5000 + Performance bonus

Interested applicants can also send your resume to Whatapps:+65 8151 4682 (Angel) and allow our Consultant to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.
LIEW ONN KEE REG NO : R22108518
THE SUPREME HR ADVISORY EA NO:14C7279

Responsibilities:
Support in all phases of audit from the planning stage to audit report publication
Perform internal audit reviews and access effectiveness of internal controls
Perform risk discussions and assessments of risk profile and highlight key risk for reporting.
Identify systemic / emerging issues, weaknesses in processes and internal controls and accountable for engaging with line management and making practical and value-added recommendations and following up on audit findings to ensure adequacy and timeliness of corrective actions.
Prepare clear and concise written audit reports and presentation materials to Management and Audit and Risk Committee.
Provide guidance to team members.
Undertake other types of advisory work such as internal control policy development, financial due diligence and investigations services.
Requirements:
Relevant qualification in Accounting/Finance/Business (e.g. diploma and above).
Relevant experience in internal or external audit of at least 4 years.
Regional travel of up to 50% is required"
Video Editor Intern,LIFEUP SG PRIVATE LIMITED,MCF-2023-0474476,"LifeUp is a Virtual Reality company that provides virtual tours and content creation for commercial clients and realtors. If you want to experience what it’s like to work in a startup, this is your chance!","Midview City, 22 Sin Ming Lane #04-80 573969",Internship/Attachment,Fresh/entry level,,Advertising / Media,1,"['$800to$1,000']",Monthly,4 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
WHY join us?
LifeUp is a One-Stop Marketing Solution for Realtors - 360 Virtual Tours, Videography, Photography, Social Media, Advertising. Our clients includes many of top division directors in the real estate space.
RESPONSIBILITIES
The video content editor is responsible for video editing, creating video contents with raw materials and footage according to requirements
Both offline and online post process of edited footage, final check of the video formats back-up to ensure
Ability to think visually, conceptualise stories, and edit video packages independently
PRE-REQUISITES
Proficiency in video/photo editing tools like Premiere Pro, Lightroom & Photoshop
Problem solver, creative and independent
Available for a minimum of 3 months
What’s in it for you
Gain first hand industry experience in content creation for professional real estate & commercial industries
Chance to learn how to navigate the VR space through relevant softwares"
Compliance Officer (Basic up $5000 / Internal External Audit Experience / MAS / SGX / SFA) - 109,RK RECRUITMENT PTE. LTD.,MCF-2023-0728534,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Junior Executive,1 year exp,Legal,1,"['$4,000to$5,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Benefits:
One of the Well Known REIT Company in Singapore.
Basic up to $5000 + $50 Phone Allowance + VB
Monday - Friday 9am - 6pm
Location: Lorong Chuan

Job Responsibilities:
Provide compliance advisory to aid the business.
Lead and support the implementation of regulatory changes.
Evaluate company policies, conduct compliance monitoring.
Review risk framework, offer practical risk solutions.
Conduct internal reviews, audits to ensure compliance.
Ensure accurate and timely MAS reporting.
Facilitate regulatory SGX filings.
Assist in new director appointment applications.
Serve as main liaison for MAS, SGX, Trustees, Company Secretary.
Perform additional tasks assigned by CEO and Board.

Requirements:
Minimum 1 year of experience and above
Degree holder in relevant studies
Knowledge of SFA and SGX regulations
Preferably with relevant experience in the Real Estate Investment Management industry

Please submit your updated resume by using the APPLY NOW BUTTON

By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.

We regret to inform you that only shortlisted candidates would be notified

We wish you all the best in your career search.

You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Shawn Long Jie Shyan | EA Personnel No.: R22109109
664"
International School teacher [Math] - 8890,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0728334,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,"Permanent, Full Time",Junior Executive,1 year exp,Education and Training,1,"['$3,500to$4,800']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Full Time Teacher (Math)
Working Days: 5 Days (Monday – Friday)
Working Hours: 9.30am – 6.30pm
Office: Orchard
Salary: $ 3500 onwards (depend on experience)

Job Description
Preparing lessons, units and projects to complete learning objectives.
Adapting teaching methods and materials to meet the interests and learning styles of students.
Creating, assigning and grading various assessments for students, including tests, quizzes and projects.
Tracking and evaluating student academic progress.
Helping students improve study methods and habits.
Leading parent-teacher meetings.
Handle all documenting progress.
Requirement
Must have relevant subject basic Degree.
Training is provided.

Interested Personal kindly contact WhatsApp :+65 8833 7969(Lydia)
OR
Email to : supreme.lydiachieng@gmail.com
Lydia Chieng Zhi Yee Reg No: R1988890
The Supreme HR Advisory Pte Ltd EA No: 14C7279"
Intern - Wellbeing Intern (ACI2405),ACTIVATE INTERACTIVE PTE LTD,MCF-2023-0725361,"Activate Interactive Pte Ltd (“Activate”) is a leading IT solution and service provider headquartered in Singapore with a presence in Malaysia and Indonesia. Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency. We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation. We are searching for our next team members to join our growing team.","SINGAPORE POST CENTRE, 10 EUNOS ROAD 8 408600",Internship/Attachment,Fresh/entry level,,Advertising / Media,1,"['$800to$1,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Activate Interactive Pte Ltd (“Activate”) is a leading technology consultancy headquartered in Singapore with a presence in Malaysia and Indonesia.Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency.

We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation.

We have opportunities for you to grow your career path and are looking for talented professionals to join our team.


You will be an Wellbeing Intern under Actxa Wellness: https://www.actxawellness.com/

Roles and responsibilities
Perform above and below the line marketing in-line organisation’s vision within corporate wellness solutions, eg. Website, digital channels, virtual workshops and on-site events.
Design Marketing Collateral and Ideate copy for all external communications.
Coordinate with external event/venue partners and Prepare relavant logistics for event activations.
Active participation in wellness/fitness programme curation for workplace and general population.
Provide reports on post-marketing campaign and event analytics.

Requirements
Students pursuing Bachelor or Master degree in Sports Management and/or Exercise Science or related discipline.
Keen interest in corporate wellness, population fitness and healthcare, nutrition, digital wellness, mental wellbeing and fitness.
A 'go with the flow' and positive attitude individual that is energetic and adaptable to change.
Have the ability to problem-solve and be very resourceful.
Embraces the growth mindset and be willing to take on work outside of scope and abilities to learn and progress.
Passionate in learning and working with new technologies.
A natural tenacious and resilient individual.
Experience with competitive sport participation is a must.

Our Websites
Activate Interactive: https://www.activate.sg/
Actxa: https://actxa.com/
Actxa Wellness: https://www.actxawellness.com/

*At least 5 months internship period
*We are looking out for Wellbeing Intern we can start with us from January 2024.
*Do state your internship exact start and end date in your resume
*University students are welcome to apply
*You may directly drop an email to julianna.song@activate.sg"
