title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Legal Assistant (MNC),TALENT TRADER GROUP PTE. LTD.,MCF-2023-0722959,"TALENT TRADER GROUP PTE. LTD. Talent Trader is steered by young, dynamic professionals; each of them bringing their own vast experiences from leading Banks and HR Agencies. We provide efficient talent sourcing, recruitment and retention services that help companies acquire effective Mid-management talent. We offer the following value-added services for a variety of Mid-management positions across industry veticals such as Banking, Marine, Offshore, Retail, IT, F&B, Education, Manufacturing and Others: - Talent Sourcing and Recruitment - International Recruitment - Contract & Temporary Staffing - Payroll Services - Employment Passes",,"Permanent, Full Time",Executive,2 years exp,"Banking and Finance, Insurance",1,"['$3,000to$6,000']",Monthly,3 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Conduct regular reviews and assessments of compliance surveys and risk evaluations, with follow-up actions.
Revise legal and compliance education materials in accordance with company policies and local law changes.
Monitor and report on the evolution of laws and regulations impacting regional business operations.
Offer general advice based on corporate compliance policies, including those related to anti-bribery, anti-competition, and export controls.
Compile regular reports and conduct analysis of legal and compliance data.
Provide assistance for assignments, initiatives, projects, and various administrative tasks as needed.
Requirements:
Minimum Diploma in Business or equivalent
Team Player
Motivated and good in communication
Ability to meet deadlines
Interested applicants for the above advertised position(s), please kindly email an updated copy of your resume to: gs1@talenttradersg.com;

EA License No.: 13C6305
Registration No.: R1872398

For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us."
Legal Counsel (Assistant Manager),TVS SCS SINGAPORE PTE. LTD.,MCF-2023-0527318,"Leveraging over 100 years’ of experience, TVS Supply Chain Solutions (SCS) draw on our deep Asian heritage and expertise to unlock innovative supply chain solutions for our evolving world. Where some see complexity, we see opportunity. We innovate and deliver at pace. This gives you direct ‘one point’ access to extend coverage, leading technology and service excellence. From freight forwarding to last mile solutions, we’re fully scaled to take care of your toughest business challenges.","TVS SCS LOGISTICS CENTRE, 21 CHANGI NORTH WAY 498774","Permanent, Full Time",Manager,1 year exp,"General Management, Legal",1,"['$6,000to$8,500']",Monthly,23 applications,Posted 18 Sep 2023,Closing on 18 Oct 2023,"Roles & Responsibilities
We are looking for qualified candidates to join us as a Legal Counsel (Assistant Manager) based in Changi North.

Responsibilities
Responsible for drafting, reviewing and negotiating a wide range of contracts (Singapore and regional) with third parties including contracts with customers and vendors, tender bundles, leases, non-disclosure agreements, letter of offers
Manage contractual issues and disputes, including liaising with external counsel and settlement of legal invoices
Manage and provide sound and business-oriented legal support and guidance to the various business units on a wide variety of local and regional matters of the TVSSCS GFS Group entities in and outside Singapore
Work closely with the business functions to ensure compliance with the applicable rules, laws and regulations and the Group’s policies, and mitigate business risks with effective legal strategies and solutions
Manage, including working with external service providers, all aspects of corporate secretarial matters of the Group
Support shareholders’ and directors’ meetings, including organization and documentation
Provide corporate secretarial support to business and management, including but not limited to KYC checks, attending to auditors’ requests and bank accounts updates.
Updating and maintenance of statutory/regulatory and corporate records
Provide legal administration services to, and overseeing document and record management and other administrative processes of the Legal/Corp Sec department
Maintain the Group's Legal Records and Archive
Assist in any assigned ad-hoc duties/projects
Qualifications and Experiences
Degree in Law or relevant course of study
Minimum 1 to 2 years of work experience in Freight / Logistics industry is preferred
Regional experience across APAC is advantageous
Excellent legal analytical, drafting and negotiation skills
Strong business acumen to understand business goals and strategy
Strong problem solving skills
Ability to exercise sound commercial judgement when balancing legal risks against business benefits
High degree of professional ethics, integrity and accountability
Good communications and interpersonal skills
Excellent organizational skills with the ability to multi-task
A dynamic and adaptable team-player
Able to work independently and under pressure"
"Assistant Accountant (Legal,Admin)",POKEMON SINGAPORE PTE. LTD.,MCF-2023-0711864,"The Pokémon Company is a company that produces the worldwide brand Pokémon. This global phenomenon has amassed over 6.0 trillion yen in market size with an estimate of 65% overseas. Pokémon Center Singapore is the first Pokémon Center opened outside of Japan. The Singapore branch offers an array of Pokémon merchandise sold in Japan such as toys, stationeries, video games, trading card games and many more, as well as original merchandises that are exclusive to Singapore!","CITY HOUSE, 36 ROBINSON ROAD 068877",Full Time,Professional,5 years exp,"Accounting / Auditing / Taxation, Admin / Secretarial, Legal",1,"['$4,500to$5,000']",Monthly,3 applications,Posted 18 Sep 2023,Closing on 09 Oct 2023,"Roles & Responsibilities
Position: Assistant Accountant (Legal / Admin)

Job Description:
As the Assistant Accountant with a focus on admin and legal matters, you will play a crucial role in ensuring the smooth operation of the financial and administrative functions of the company.
Your responsibilities will include, but not limited to:
Financial Support:
Assist overseas finance team in various accounting tasks, including bookkeeping, financial reporting, and data entry.
Manage accounts payable and receivable, ensuring accurate and timely processing of invoices and payments.
Liaise with headquarter (Japan)’s accounting team for various financial matters.
Administrative Duties:
Oversee general office administrative tasks, including managing office and expat residence leasing, supplies.
Organize and maintain electronic and physical filing systems to ensure easy retrieval of documents.
Legal Matters:
Assist in the preparation and review of legal documents, contracts, and agreements.
Manage business licenses for products and merchandise sold by the company.
Liaise with headquarters and external legal counsel and regulatory authorities as necessary.
Keep up to date with relevant laws and regulations to ensure compliance.
Japanese translation and interpretation:
Provide accurate and timely translations from Japanese to English and vice versa.
Translate various documents, emails and reports as required.
Provide accurate interpretation during business meetings.
Act as primary point of contact for communication with headquarter (Japan) in ensuring effective and precise exchange of information.
Requirement:
Degree in Accounting, Finance, Business Administration, or a related field.
To communicate effectively with headquarter (Japan) team, high proficiency in Japanese and English, both written and spoken, with strong translation skills is a must.
At least 5 years of experience in accounting and finances
Knowledge of Japanese business culture and practices is highly desirable.
Strong attention to detail, excellent organizational skills, and the ability to meet deadlines.
Proficiency in Microsoft Office Suite (Excel, Word, PowerPoint).
Excellent communication and interpersonal skills."
Legal Assistant / Legal Administrator,TALENT TRADER GROUP PTE. LTD.,MCF-2023-0708670,"TALENT TRADER GROUP PTE. LTD. Talent Trader is steered by young, dynamic professionals; each of them bringing their own vast experiences from leading Banks and HR Agencies. We provide efficient talent sourcing, recruitment and retention services that help companies acquire effective Mid-management talent. We offer the following value-added services for a variety of Mid-management positions across industry veticals such as Banking, Marine, Offshore, Retail, IT, F&B, Education, Manufacturing and Others: - Talent Sourcing and Recruitment - International Recruitment - Contract & Temporary Staffing - Payroll Services - Employment Passes",,"Permanent, Full Time",Executive,2 years exp,Legal,1,"['$3,000to$5,500']",Monthly,7 applications,Posted 15 Sep 2023,Closing on 15 Oct 2023,"Roles & Responsibilities
Responsibilities:
Provide support to the legal team, with a focus on contract matters
Administer and maintain databases of legal documents and agreements
Assist in editing and proofreading various contracts, formal correspondence, and legal filings
Liaise with other departments, overseas counterparts, and external parties where necessary
Other related tasks assigned from time to time
Requirements:
Bachelor or Diploma in Legal Studies or equivalent
1-2 years paralegal or contract management experience
Excellent communication and interpersonal skills
Highly ethical, discreet and able to maintain confidentiality
Interested candidates who wish to apply for the advertised position, please send in your resume to gs1@talenttradersg.com

EA License No: 13C6305
Reg. No.: R1654399

For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us."
Legal Assistant,SELVAM LLC,MCF-2023-0701212,SELVAM LLC,"COLLYER QUAY CENTRE, 16 COLLYER QUAY 049318",Permanent,Non-executive,1 year exp,Admin / Secretarial,1,"['$3,200to$3,800']",Monthly,11 applications,Posted 13 Sep 2023,Closing on 27 Sep 2023,"Roles & Responsibilities
Job Description

· Work with trial attorneys on all phrases of trial
· Assist in preparation of document for court filings
· Engage in online research
· Contact court administrators and regulatory bodies as needed to fulfil job assignment
· Act as a liaison with designated outside counsel and their paralegal staff and internally between departments
· Maintain Litigation files, review and prepare material for storage or disposal
· Accurately and consistently track and record all related billable and non-billable time
· Perform routine office duties such as photocopying, scanning, bundling of documents and other admin duties, as requested.

Requirement

· 'A' level, Diploma in Law, Degree
· 1- 2 years' experience working in a Litigation Department
· Prior e-Litigation hands-on experience is preferred
· Meticulous, highly-organised, deadline driven
· Independent, able to multi-task, IT savvy
· Ability to work effectively and professionally
· Excellent communication and writing skills"
Legal Counsel (Ship Owner),NOVO RECRUITMENT SOLUTIONS PTE. LTD.,MCF-2023-0691805,Our team has more than 10 years of experience in recruitment. We are passionate and committed in this fast-paced and ever-changing environment. We believe in prioritising our talents as much as our clients and let our actions speak for us.,,Full Time,Professional,3 years exp,Legal,1,"['$8,000to$10,000']",Monthly,3 applications,Posted 11 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
Business Collaboration
• Offer the commercial departments' chartering and operations teams, as well as the commercial departments as a whole, immediate legal support.
• Assist commercial teams in finding solutions to controversial problems, including providing timely advice on risk mitigation, tactical and strategic problems, and appropriate escalation.

Legal Support
• Coordinating commercial teams, insurers, clubs, and outside counsel as necessary. Daily handling of formal dispute proceedings in multiple jurisdictions.
• Draft, examine, and provide advice on legal documents (such as charter agreements, service agreements, agreements for the purchase or rental of equipment, shipbuilding contracts, etc.), as well as help with their negotiation when necessary.
• As needed, offer legal assistance with particular projects like buying businesses or assets.
• Relationships with other parties, such as insurers and support providers, should be maintained and developed.

Qualifications
• English or Singapore qualified lawyer.
• At least 5– 8 years PQE gained in the shipping department of an international law firm.
• Experience in a P&I/FD&D club or ship-owner preferred."
URGENT- Legal Assistant / Paralegal (MNC),TALENT TRADER GROUP PTE. LTD.,MCF-2023-0688964,"TALENT TRADER GROUP PTE. LTD. Talent Trader is steered by young, dynamic professionals; each of them bringing their own vast experiences from leading Banks and HR Agencies. We provide efficient talent sourcing, recruitment and retention services that help companies acquire effective Mid-management talent. We offer the following value-added services for a variety of Mid-management positions across industry veticals such as Banking, Marine, Offshore, Retail, IT, F&B, Education, Manufacturing and Others: - Talent Sourcing and Recruitment - International Recruitment - Contract & Temporary Staffing - Payroll Services - Employment Passes",,"Permanent, Full Time",Executive,2 years exp,Legal,1,"['$3,000to$5,500']",Monthly,20 applications,Posted 08 Sep 2023,Closing on 08 Oct 2023,"Roles & Responsibilities
Responsibilities:
Provide support to the legal team, with a focus on contract matters
Administer and maintain databases of legal documents and agreements
Assist in editing and proofreading various contracts, formal correspondence, and legal filings
Liaise with other departments, overseas counterparts, and external parties where necessary
Other related tasks assigned from time to time
Requirements:
Bachelor or Diploma in Legal Studies or equivalent
1-2 years paralegal or contract management experience
Excellent communication and interpersonal skills
Highly ethical, discreet and able to maintain confidentiality
Interested candidates who wish to apply for the advertised position, please send in your resume to gs1@talenttradersg.com

EA License No: 13C6305
Reg. No.: R1654399

For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us."
Legal Counsel,TRUSTY CARS LTD.,MCF-2023-0683581,"We are an online car marketplace that provide for sellers and buyers, to deal directly, while we provide excellent paperwork services, with full transparency.","MIDVIEW CITY, 26 SIN MING LANE 573971",Permanent,Junior Executive,1 year exp,Legal,1,"['$5,500to$6,500']",Monthly,15 applications,Posted 07 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Responsibilities
Draft, review and negotiate a variety of commercial documents and legal documentations.
Provide legal, regulatory, compliance and contractual advice to the business functions and in line with business direction.
Provide legal assistance to related companies.
Research on legal issues.
Ensure compliance with applicable regulations pertaining to automotive industry.
Provide legal guidance for M&A projects and ventures.
Assist in corporate secretarial duties.
Liaise with various government bodies, officials and related agencies pertaining to legal matters.
Perform various tasks as and when required by the hiring manager.
Job Requirement
Degree or above in Law with 1 - 3 years of legal practice or in-house experience.
Strong interpersonal skills and good command in written and spoken.
Commercial contract negotiation and drafting experience.
Detail-oriented and able to work independently in a challenging and fast-paced environment with minimum supervision."
"Executive Assistant, Legal",PAYPAL PTE. LTD.,MCF-2023-0544716,PAYPAL PTE. LTD.,"SUNTEC TOWER FIVE, 5 TEMASEK BOULEVARD 038985",Permanent,Executive,6 years exp,Admin / Secretarial,1,"['$5,500to$7,000']",Monthly,247 applications,Posted 07 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
The incumbent will provide secretarial and legal administration support to the Vice President of Legal who is based in Singapore. This EA position calls for strong business ethics, discretion and confidentiality in handling day to day matters supporting senior executives and their broader team members (where needed). A good understanding of business vocabulary, detailed knowledge of the organization’s operations, procedures and people.

Key Responsibilities
Diary ownership and management for the Legal Vice President, who is the International Markets leader with responsibility over parts of APAC, EU/UK and North America markets
Liaison with fellow Executive Assistants and Senior Leaders around the Globe to enable effective operating rhythms across multiple time zones
Responsibility for taking action items of meetings and following up action items in between meetings to ensure completion
Development of PowerPoint presentations for key meetings
Management of expense accounts, tracking of expenditure and expense processing
Travel arrangement support for the Executives and VIPs (where required) – flight bookings, hotel, meals and car booking to ensure efficiency and sensible use of the Executives’ time.
Assist on visa application as well for invitation letters and dispatch letters
Event organization and management of leadership team offsites and events
Facilitate smooth communication flow with other senior executives, managers and employees internally as well as external parties such as media and customers. Call screening, transmit messages, handling mail services, receiving VIPs, organizing logistics of regular and ad-hoc team meetings e.g. Legal All-Hands, Leadership meetings etc. Audio/video conference calls set-up with reminders and relevant logistics support.
Legal administration support including, among other things, tracking of outside counsel spend, facilitating payment of outside counsel invoices, arranging for signing and dispatch of legal documents, arranging for filing of documents with regulatory authorities, supporting board meetings.
Key Skills and Experience
Relevant Executive Assistant experience supporting Senior Leaders in a multi-national company
Paralegal experience preferred but not essential
Outstanding planning and organizing skills
Proactivity - able to think ahead and anticipate what might happen. Ability to work under pressure.
Outstanding verbal and written communicator
Team player – high energy and passionate about impacting team dynamics
Strong PowerPoint, Excel and Word Skills
Strong attention to detail and care about quality of work"
Assistant Director (Legal Service),BUSINESS EDGE PERSONNEL SERVICES PTE LTD,MCF-2023-0576785,"Business Edge was established in 1991, and has grown into one of the leading HR & Recruitment Companies in Singapore. We believe in placing job seekers into their ideal role, with an emphasis on service. Find your perfect job below and apply now! Business Edge Personnel Services - A full service HR company. Let us do the work. (EA License 96C4864)",76 PLAYFAIR ROAD 367996,Contract,Senior Management,4 years exp,Legal,1,['$1to$1'],Monthly,3 applications,Posted 06 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Job Description:
Working with senior management to develop and implement policies and actions;
Drafting of regulatory instruments such as legislations and subsidiary legislations
Providing legal advice and interpretation with respect to various legislations administered by the client, as well as all other laws of Singapore as required by the client in the discharge of its duties and functions;
Drafting, reviewing and providing sound legal advice on a broad range of legal issues;
Drafting, vetting and advising on general corporate and contractual matters including, but not limited to, tender documents, MOUs, tenancy agreements and other commercial documents;
Developing and setting in place internal legal processes and guidance for the various Divisions and GROs, including setting up a repository of legal advice rendered to the client; and
Undertaking such other tasks/projects as may be assigned from time to time.
Work Schedule:
Salary: Monthly Rated
Working Hours:
Mon to Thurs 8.5hrs
Fri 8hrs
Location: Jalan Besar
Contract Duration: 3 Years

Job Requirements:
• A law degree and be called to the Singapore Bar (or other commonwealth jurisdictions)
• At least 4-years post qualification experience (PQE)
• Corporate work experience (especially in contract law) would be an advantage.
• Versatile and self-motivated with strong analytical skills
• Able and willing to multi-task and work well under pressure handling a wide range of legal work
• Good communication and interpersonal skills; the ability to write and reason clearly and compellingly is essential"
Legal Assistant / Paralegal - Multiple Openings (MNC),TALENT TRADER GROUP PTE. LTD.,MCF-2023-0669733,"TALENT TRADER GROUP PTE. LTD. Talent Trader is steered by young, dynamic professionals; each of them bringing their own vast experiences from leading Banks and HR Agencies. We provide efficient talent sourcing, recruitment and retention services that help companies acquire effective Mid-management talent. We offer the following value-added services for a variety of Mid-management positions across industry veticals such as Banking, Marine, Offshore, Retail, IT, F&B, Education, Manufacturing and Others: - Talent Sourcing and Recruitment - International Recruitment - Contract & Temporary Staffing - Payroll Services - Employment Passes",,"Permanent, Full Time",Executive,2 years exp,Legal,1,"['$3,000to$5,500']",Monthly,22 applications,Posted 31 Aug 2023,Closing on 30 Sep 2023,"Roles & Responsibilities
Responsibilities:
Provide support to the legal team, with a focus on contract matters
Administer and maintain databases of legal documents and agreements
Assist in editing and proofreading various contracts, formal correspondence, and legal filings
Liaise with other departments, overseas counterparts, and external parties where necessary
Other related tasks assigned from time to time
Requirements:
Bachelor or Diploma in Legal Studies or equivalent
1-2 years paralegal or contract management experience
Excellent communication and interpersonal skills
Highly ethical, discreet and able to maintain confidentiality
Interested candidates who wish to apply for the advertised position, please send in your resume to gs1@talenttradersg.com

EA License No: 13C6305
Reg. No.: R1654399

For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us."
