title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Legal Counsel - In House,TALENT TRADER GROUP PTE. LTD.,MCF-2023-0728385,"TALENT TRADER GROUP PTE. LTD. Talent Trader is steered by young, dynamic professionals; each of them bringing their own vast experiences from leading Banks and HR Agencies. We provide efficient talent sourcing, recruitment and retention services that help companies acquire effective Mid-management talent. We offer the following value-added services for a variety of Mid-management positions across industry veticals such as Banking, Marine, Offshore, Retail, IT, F&B, Education, Manufacturing and Others: - Talent Sourcing and Recruitment - International Recruitment - Contract & Temporary Staffing - Payroll Services - Employment Passes",,"Permanent, Full Time",Senior Executive,5 years exp,Legal,1,"['$5,000to$10,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Provide accurate and timely legal advice to management on sales transactions
Review and assess contract wordings and contents of sales and purchase contracts
Coordinate with Finance department on revenue recognition and performance obligations in customer contracts
Manage contract administration during negotiations and finalization
Facilitate the signing and distribution of finalized contracts
Engage with external law firms to address legal issues when necessary
Conduct thorough contract reviews to prevent unfavorable agreements and protect the company's interests.
Requirements
Possess a LLB with at least 5 years of experience in similar capacity
Proficient in Microsoft Office Applications
Excellent verbal, written and interpersonal skills
Good time management skills and able to work under tight schedule and pressure
Able to work independently with strong problem solving skills
Interested candidates who wish to apply for the advertised position, please click on the APPLY button below to send in your resume gs1@talenttradersg.com

EA License No.: 13C6305
Registration No.: R22109637

For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us."
Senior Legal Counsel (Central | Up to $15000),JAC RECRUITMENT PTE. LTD.,MCF-2023-0726994,"JAC is an international recruitment consultancy with over 45 years of specialised recruitment experience across Asia and Europe. We have over 1,200 expert consultants who have a deep cultural understanding of the local markets they operate in. Combined with our regional network and specialised industry focus we are renowned for placing highly skilled permanent and contracting staff into specialist positions. In Singapore, we cover the Banking and Financial Services, Corporate Services, Digital and Information Technology, Healthcare and Life Sciences, Industrial, Sales & Marketing sectors. We also recruit for contract roles and have a dedicated team that can assist with hiring for Japanese-language skills. Our job board is updated daily so you can stay updated on jobs as they become available and find the next best role for you. EA License number: 90C3026","ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",Permanent,Manager,5 years exp,Legal,1,"['$10,000to$15,000']",Monthly,4 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Our client, a well-known MNC with a strong international presence in the e-commerce industry, is looking for their first hire in the Legal team.

Role:
• Review and update product terms and policies to ensure compliance with local laws, policies, and requirements in Singapore;
• Monitor and advise on legal and regulatory developments that impact the company’s operations in Singapore and globally;
• Represent the group’s regional headquarter as in-house legal counsel in dealing with regulatory audits, litigations, and investigations, with the support from HQ legal teams;
• Supervise and manage external legal counsel when needed.
• Draft and review contracts, agreements and provide comments and advices;
• Assist in negotiation of contracts for the business;
• Provide counseling and support new initiatives and projects of in Singapore and the region;

Requirements:
• An LLB and bar admission in Singapore is required.
• At least five years PQE with exposure to international legal matters either at a reputable law firm or in an MNC;
• Experience of multi-jurisdictional data privacy practice is required;
• Knowledge in Business Chinese is essential to communicate with stakeholders


If you are interested in this role, please click on Apply Now.
Please note that only shortlisted candidates will be contacted, thank you.

JAC Recruitment Pte. Ltd.
EA Licence Number: 90C3026
Personnel Registration Number: R22105483
Lin Kai Wei"
Legal Counsel - Prop Trading (Crypto) (5 PQE),PEOPLESEARCH PTE. LTD.,MCF-2023-0675489,"PEOPLESEARCH PTE. LTD. Elevating Careers and Empowering Businesses PeopleSearch is a leading executive search, recruitment and outplacement services firm with a robust presence in 6 Asian cities: Singapore, Shanghai, Hong Kong, Taipei, Tokyo and Kuala Lumpur. We have been elevating careers and empowering businesses for over 20 years. We are committed to helping both candidates and companies achieve their goals in concert with one another, hence our dedication to connecting businesses with high-performing executives who make a transformative impact on the bottom line while realising their own career aspirations. Driving Business Strategies in a Wide Range of Industries Our human capital solutions are predicated on vast experience, the latest market insights, and a repository of sectoral and geographical knowledge. Our extensive network also gives us access to a large pool of candidates, both active and passive, enabling us to acquire the best professionals in a variety of functional roles to drive your business strategies. Our clients comprise multinational corporations, small and medium enterprises and start-ups in a wide range of industries including, but not limited to Technology, Healthcare and Life Sciences, Logistics and Supply Chain Management and Financial Services. An Anticipatory and Bespoke Approach We are with you every step of the way. As advisers and partners, our specialist consultants take an anticipatory approach, designing precise human capital solutions to help you realise your vision and achieve enduring success. Our bespoke solutions ensure you're future-ready and at the forefront of your field in any business environment.",,Permanent,Professional,5 years exp,Legal,1,"['$17,000to$25,000']",Monthly,12 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Legal Counsel - Prop Trading (Crypto) (5 PQE)

Our client is an innovative and dynamic quantitative trading company specializing in crypto assets, using data-driven strategies and cutting-edge technology to excel in the crypto assets trading landscape.

They are seeking an experienced Legal Counsel to join their legal team and provide legal guidance in this exciting and rapidly evolving industry.

Job Description:
As a Legal Counsel, you will play a pivotal role in ensuring the trading activities in the crypto assets market are legally compliant and aligned with industry regulations. Leveraging your expertise, you will provide legal counsel, manage contracts, and help navigate the legal complexities of the crypto assets trading space.

Key Responsibilities:
Legal Advisory: Offer legal guidance and support to the trading team on a wide range of legal matters related to crypto assets trading.
Regulatory Compliance: Stay updated on evolving crypto assets regulations and ensure the company's compliance with applicable laws.
Contract Management: Review, draft, and negotiate contracts with trading partners, exchanges, and other stakeholders.
Risk Mitigation: Identify legal risks and develop strategies to mitigate them effectively.
Policy Development: Assist in shaping and implementing company policies and procedures related to crypto assets trading.
Due Diligence: Conduct due diligence on potential business partners and counterparties.
Qualifications:
Qualified to practice law in a common law jurisdiction
A minimum of 5 years of post-qualification experience (PQE) in a legal role, preferably with relevant experience at a global law firm and/or as a corporate counsel at a buy-side company
Strong knowledge of crypto assets regulations and trading practices.
Experienced in financial regulation and licensing
Excellent legal drafting and interpretation skills
Excellent negotiation, communication, and problem-solving skills.
Ability to work effectively in a fast-paced and dynamic environment.
Experience in managing legal teams or projects is a plus.
Job Highlights
Competitive remuneration package and a meritocratic culture where accomplishments are rewarded
Fast paced and result-oriented with a flat structure
Collaborative teams in an energetic and casual working environment
Excellent exposure to the crypto ecosystem and the latest market insight
Great career development opportunities and international mobility
Office Location: Singapore, Central

Interested candidates kindly forward your CV to ethelsk.tan@peoplesearch.jobs (Ethel Tan Seok Khoon, Reg No: R2096281). Feel free to forward this great opportunity to someone who would be a great fit for this role.

All information will be kept strictly confidential. We regret to inform that only successful applicants will be contacted.

PeopleSearch Pte Ltd
EA License No: 16S8057"
Legal Counsel (2PQE) - Global Oil Trading House,MICHAEL PAGE INTERNATIONAL PTE LTD,MCF-2023-0726548,"Michael Page provides specialised recruitment services for professionals at middle management to leadership levels, along with highly specialised technical positions. We specialise in roles across industries, within the following functional disciplines in Singapore: Banking and Financial Services Construction Digital Engineering and Manufacturing Executive Search Finance and Accounting Healthcare Human Resources IT Legal Marketing Procurement & Supply Chain Property Employment Agency License Number: 18S9099",,Full Time,Professional,2 years exp,Legal,1,"['$8,000to$10,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Newly established position
Exposure to oil & gas industry
About Our Client
Headquartered in Singapore, our client is an oil trading company which trades across the barrels in various product lines and across geographical areas and ports. As a global trading house, they receive strong financial support from international banks with a strong customer base and clientele including oil majors, traders, independent refineries, producers and state-owned oil companies. The company is led by a team of experienced veterans in the oil industry and specialise in shipping, trading, storage and professional business consulting.

The company is now seeking a Legal Counsel, a newly established position to join the company to be responsible for vetting of sales and purchase agreements and other commercial legal documents. You will report to the Managing Directors of the firm and advise on day-to-day legal matters.
Job Description
Vetting and proof reading of contracts, demurrage claims
Manage legal issues with counterparties including shipping related legalities
Handle trade disputes and general corporate compliance matters
The Successful Applicant
Degree in Law from a recognised university and admitted to the Singapore Bar with at least 2PQE from private practice and/or in-house environment
Candidates with prior experience in oil and gas industry have an advantage
Confident to function as sole Counsel of the company and work closely with the Senior Management
What's on Offer
Successful candidate can expect to receive a competitive and attractive remuneration package in line with the market. In addition to attractive performance bonuses, the company also offers annual wage supplement (AWS) as part of the remuneration package. There will be ample opportunity career progression within the firm. The corporate office is also conveniently located in the CBD for ease of commuting. This is an excellent opportunity if you enjoy performing the roles of a Legal Counsel within a lean and flat working environment, comfortable and confident of being the sole Counsel and working closely with the Senior Management of the company."
Legal Counsel [ In-House | Legal Executive | Suntec Tower ] - 9186,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0726819,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805","Permanent, Full Time",Professional,10 years exp,Legal,1,"['$7,000to$13,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Legal Executive

5 days, 8.45am- 5.45pm
Salary: $7,000- $13,000
Address: Suntec Tower 1

Responsibilities:
Hiring a legal executive with contractual, commercial and technical knowledge and experience in order to provide contractual and commercial guidance to company Stakeholders for example, procurement, finance, operations, sales and donation teams.
Work with Stakeholders to draft clear and concise legal documents, not limited to the following:
contracts, contract changes/variations, sales & purchase agreements,
memorandum of understanding,
procurement documents,
correspondences and legal letters,
employment contracts, and
confidentiality agreements.
To provide legal support on any disputes and liaise with external legal counsels for follow through on legal matters when required.
To prepare, lead and guide company employees on contract issues, compliance and policy matters (including anti-bribery, anti-competition and personal data protection regulations).
To maintain records and files (online and hard copy filing systems) in a systematic manner for easy access and retrieval.
To support and drive any other assignments / initiatives / projects related to compliance or legal matters as and when required by the Company.
To review contracts (includes highlighting issues and analyzing risks), and support corporate governance and administration.
Requirements:
LLB or Diploma in Law or Legal Studies with more than 10 years working experience preferred in vendor contracts relating to goods and services, warehouse and logistics, and going forward leasing of labs, training services contract management and legal dispute resolution.
A detailed knowledge and understanding of contract law, and the impact on contractual relationships
Experience in drafting and reviewing legal contracts on purchasing, sales, leasing and training services and also has experience in legal matter relating to debt recovery

The Supreme HR Advisory Pte Ltd || EA No: 14C7279

Ng Syu Ching (Ellis) || Reg No: R22107944"
Legal Counsel Position - Contract,CENTRAL PROVIDENT FUND BOARD,MCF-2023-0641468,"At CPF Board, we’re more than just a retirement savings scheme – we’re at the heart of Singapore’s social security system, impacting the lives of more than 4 million members. As one of the top 10 pension funds globally, we provide financial security for Singaporeans in their retirement years, giving them the peace of mind to enjoy their golden years. But that's not all - we also provide insurance coverage in the event of death or disability, help Singaporeans become homeowners, and provide universal healthcare insurance, which help citizens cope with life's uncertainties. With the ability to touch 4 million lives, we are the go-to agency for citizen disbursements, and disbursed $4.1 billion in government benefits to Singaporeans in 2022. We are a unique social security system and trusted partner to Singaporeans in achieving their life goals.","TOWER B NOVENA SQUARE, 238B THOMSON ROAD 307685",Contract,Manager,3 years exp,Legal,1,"['$6,100to$8,000']",Monthly,21 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
We are looking for legal professionals with the requisite experience to join our legal team. With an established team of lawyers in place, you will enjoy a structured learning and mentorship programme in a supportive work environment. You will also be interacting with a wide range of people from junior to senior management, both within and outside CPF Board, in the course of your work. Apply today for the chance to work in a key public institution that values teamwork and provides ample opportunities for you to learn and grow.

Your Role
Draft and vet a range of contractual documents and other agreements, including tenders for procurement of goods and services, IT systems and IT services, construction tenders, direct contracts, non-disclosure agreements, etc.
Render advice and provide comprehensive and practical solutions on a wide range of issues, including contract law, company law, intellectual property law, real estate, corporate governance, statutory interpretation, family law, protection of confidential information, etc.
Requirements
Trained in Law and qualified under the Legal Profession Act
At least 3 years PQE in private practice and/or in-house
Experience in corporate/commercial law, particularly transactional, contract drafting and advisory experience, is preferred. Candidates without such experience will also be considered, as the relevant training will be provided.
Strong analytical and critical thinking skills
Strong communication and interpersonal skills
Able to write clearly and reason compellingly"
Legal Executive| 6597,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0725993,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805","Permanent, Full Time",Senior Executive,10 years exp,Legal,1,"['$7,000to$13,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Legal Executive

5 days, 8.45am- 5.45pm
Salary: $7,000- $13,000
Address: Suntec Tower 1

Responsibilities:
Hiring a legal executive with contractual, commercial and technical knowledge and experience in order to provide contractual and commercial guidance to company Stakeholders for example, procurement, finance, operations, sales and donation teams.
Work with Stakeholders to draft clear and concise legal documents, not limited to the following:
contracts, contract changes/variations, sales & purchase agreements,
memorandum of understanding,
procurement documents,
correspondences and legal letters,
employment contracts, and
confidentiality agreements.
To provide legal support on any disputes and liaise with external legal counsels for follow through on legal matters when required.
To prepare, lead and guide company employees on contract issues, compliance and policy matters (including anti-bribery, anti-competition and personal data protection regulations).
To maintain records and files (online and hard copy filing systems) in a systematic manner for easy access and retrieval.
To support and drive any other assignments / initiatives / projects related to compliance or legal matters as and when required by the Company.
To review contracts (includes highlighting issues and analyzing risks), and support corporate governance and administration.
Requirements:
LLB or Diploma in Law or Legal Studies with more than 10 years working experience preferred in vendor contracts relating to goods and services, warehouse and logistics, and going forward leasing of labs, training services contract management and legal dispute resolution.
Experience in drafting and reviewing legal contracts on purchasing, sales, leasing, training services and legal matter relating to debt recovery
Comfortable working as sole contributor to legal matters

Interested applicants kindly click on the “Apply Now” button or whatsapp text your resume to allow our Consultant to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.
CHEN ZI LOU | REG No: R1986597
THE SUPREME HR ADVISORY PTE LTD | EA No: 14C7279
Whatsapp: +65 93871151"
Legal Executive [Legal contracts / Debt recovery / Sole contributor] (JQ),THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0726083,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805","Permanent, Full Time",Senior Executive,10 years exp,Legal,1,"['$7,000to$13,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
5 days, 8.45am- 5.45pm
Salary: $7,000- $13,000
Address: Suntec Tower 1

Responsibilities:
Hiring a legal executive with contractual, commercial and technical knowledge and experience in order to provide contractual and commercial guidance to company Stakeholders for example, procurement, finance, operations, sales and donation teams.
Work with Stakeholders to draft clear and concise legal documents, not limited to the following:
contracts, contract changes/variations, sales & purchase agreements,
memorandum of understanding,
procurement documents,
correspondences and legal letters,
employment contracts, and
confidentiality agreements.
To provide legal support on any disputes and liaise with external legal counsels for follow through on legal matters when required.
To prepare, lead and guide company employees on contract issues, compliance and policy matters (including anti-bribery, anti-competition and personal data protection regulations).
To maintain records and files (online and hard copy filing systems) in a systematic manner for easy access and retrieval.
To support and drive any other assignments / initiatives / projects related to compliance or legal matters as and when required by the Company.
To review contracts (includes highlighting issues and analyzing risks), and support corporate governance and administration.
Requirements:
LLB or Diploma in Law or Legal Studies with more than 10 years working experience preferred in vendor contracts relating to goods and services, warehouse and logistics, and going forward leasing of labs, training services contract management and legal dispute resolution.
Experience in drafting and reviewing legal contracts on purchasing, sales, leasing, training services and legal matter relating to debt recovery
Comfortable working as sole contributor to legal matters


Quah Siying (Jeslyn) R1982418
The Supreme HR Advisory Pte Ltd 14C7279"
Legal Executive (Law / 5days) - 2323,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0726804,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,"Permanent, Full Time",Professional,10 years exp,Legal,1,"['$7,000to$13,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
5 days, 8.45am- 5.45pm
Salary: $7,000- $13,000
Address: Suntec

Responsibilities:
Hiring a legal executive with contractual, commercial and technical knowledge and experience in order to provide contractual and commercial guidance to company Stakeholders for example, procurement, finance, operations, sales and donation teams.
Work with Stakeholders to draft clear and concise legal documents, not limited to the following:
contracts, contract changes/variations, sales & purchase agreements,
memorandum of understanding,
procurement documents,
correspondences and legal letters,
employment contracts, and
confidentiality agreements.
To provide legal support on any disputes and liaise with external legal counsels for follow through on legal matters when required.
To prepare, lead and guide company employees on contract issues, compliance and policy matters (including anti-bribery, anti-competition and personal data protection regulations).
To maintain records and files (online and hard copy filing systems) in a systematic manner for easy access and retrieval.
To support and drive any other assignments / initiatives / projects related to compliance or legal matters as and when required by the Company.
To review contracts (includes highlighting issues and analyzing risks), and support corporate governance and administration.
Requirements:
LLB or Diploma in Law or Legal Studies with more than 10 years working experience preferred in vendor contracts relating to goods and services, warehouse and logistics, and going forward leasing of labs, training services contract management and legal dispute resolution.
Experience in drafting and reviewing legal contracts on purchasing, sales, leasing, training services and legal matter relating to debt recovery
Comfortable working as sole contributor to legal matters

Whatsapp: +65 80135651(Alvin)
Alvin Chua Ming Jing:R23116192
The Supreme HR Advisory Pte Ltd: 14C7279"
Legal Executive | Various Contract Agreements | Diploma in Law | Suntec - 4769,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0726434,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,"Permanent, Full Time",Junior Executive,2 years exp,Legal,1,"['$7,000to$13,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Legal Executive | Various Contract Agreements | Diploma in Law | Suntec

5 days, 8.45am- 5.45pm
Salary: $7,000- $13,000
Address: Suntec Tower 1

Responsibilities:
Hiring a legal executive with contractual, commercial and technical knowledge and experience in order to provide contractual and commercial guidance to company Stakeholders for example, procurement, finance, operations, sales and donation teams.
Work with Stakeholders to draft clear and concise legal documents, not limited to the following:
contracts, contract changes/variations, sales & purchase agreements,
memorandum of understanding,
procurement documents,
correspondences and legal letters,
employment contracts, and
confidentiality agreements.
To provide legal support on any disputes and liaise with external legal counsels for follow through on legal matters when required.
To prepare, lead and guide company employees on contract issues, compliance and policy matters (including anti-bribery, anti-competition and personal data protection regulations).
To maintain records and files (online and hard copy filing systems) in a systematic manner for easy access and retrieval.
To support and drive any other assignments / initiatives / projects related to compliance or legal matters as and when required by the Company.
To review contracts (includes highlighting issues and analyzing risks), and support corporate governance and administration.
Requirements:
LLB or Diploma in Law or Legal Studies with more than 10 years working experience preferred in vendor contracts relating to goods and services, warehouse and logistics, and going forward leasing of labs, training services contract management and legal dispute resolution.
Experience in drafting and reviewing legal contracts on purchasing, sales, leasing, training services and legal matter relating to debt recovery
Comfortable working as sole contributor to legal matters

For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group
The Supreme HR Advisory Pte Ltd | 14C7279
Ong Boon Kiet (Travys) | R22104769
Senior Recruitment Consultant"
