title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
MARKETING MANAGER,SOLVER KING PTE. LTD.,MCF-2023-0728843,No information added.,710 HOUGANG AVENUE 2 530710,Full Time,Senior Management,6 years exp,Marketing / Public Relations,1,"['$6,000to$10,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Marketing Manager Job Description
We are seeking an innovative marketing manager to promote our company's brand and services. In this role, you will be optimizing our marketing strategies, managing the marketing department's budget and staff, as well as preparing forecasts. To ensure success, you will need extensive knowledge of marketing strategies and the ability to identify new business leads. An outstanding marketing manager will be someone whose expertise translates into increased brand awareness and profitability.
Marketing Manager Responsibilities
Evaluating and optimizing marketing and pricing strategies.
Analyzing market trends and preparing forecasts.
Generating new business leads.
Develop strategies and tactics to get the word out about our company and drive qualified traffic to our front door
Deploy successful marketing campaigns and own their implementation from ideation to execution
Experiment with a variety of organic and paid acquisition channels like content creation, content curation, pay per click campaigns, event management, publicity, social media, lead generation campaigns, copywriting, performance analysis
Produce valuable and engaging content for our website and blog that attracts and converts our target groups
Build strategic relationships and partner with key industry players, agencies and vendors
Prepare and monitor the marketing budget on a quarterly and annual basis and allocate funds wisely
Oversee and approve marketing material, from website banners to hard copy brochures and case studies
Measure and report on the performance of marketing campaigns, gain insight and assess against goals
Analyze consumer behavior and adjust email and advertising campaigns accordingly
Marketing Manager Requirements
A Bachelor’s degree in marketing, business or any other relevant field
Sound understanding of marketing fundamentals and tactics
Creative thinking and problem-solving ability
Leadership and project management skills
Knowledge of digital marketing and social media marketing strategies
Excellent verbal and non-verbal communication skills
Proficiency with marketing tools and software
Proficient in marketing research and statistical analysis
The ability to work under pressure.
Availability to work within opening hours (e.g. evenings, holidays, weekends)."
MARKETING MANAGER,RGS 31 CANTEEN PTE. LTD.,MCF-2023-0729142,No information added.,,Full Time,Middle Management,6 years exp,Admin / Secretarial,1,"['$6,000to$10,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Marketing Manager Job Description
We are seeking an innovative marketing manager to promote our company's brand and services. In this role, you will be optimizing our marketing strategies, managing the marketing department's budget and staff, as well as preparing forecasts.
To ensure success, you will need extensive knowledge of marketing strategies and the ability to identify new business leads. An outstanding marketing manager will be someone whose expertise translates into increased brand awareness and profitability.
Marketing Manager Responsibilities

• Evaluating and optimizing marketing and pricing strategies.
• Analyzing market trends and preparing forecasts.
• Generating new business leads.
• Develop strategies and tactics to get the word out about our company and drive qualified traffic to our front door
• Deploy successful marketing campaigns and own their implementation from ideation to execution
• Experiment with a variety of organic and paid acquisition channels like content creation, content curation, pay per click campaigns, event management, publicity, social media, lead generation campaigns, copywriting, performance analysis
• Produce valuable and engaging content for our website and blog that attracts and converts our target groups
• Build strategic relationships and partner with key industry players, agencies and vendors
• Prepare and monitor the marketing budget on a quarterly and annual basis and allocate funds wisely
• Oversee and approve marketing material, from website banners to hard copy brochures and case studies
• Measure and report on the performance of marketing campaigns, gain insight and assess against goals
• Analyze consumer behavior and adjust email and advertising campaigns accordingly
Marketing Manager Requirements
• A Bachelor’s degree in marketing, business or any other relevant field
• Sound understanding of marketing fundamentals and tactics
• Creative thinking and problem-solving ability
• Leadership and project management skills
• Knowledge of digital marketing and social media marketing strategies
• Excellent verbal and non-verbal communication skills
• Proficiency with marketing tools and software
• Proficient in marketing research and statistical analysis
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
Senior Marketing Manager,ASPIRE GLOBAL NETWORK PTE. LTD.,MCF-2023-0676331,"Aspire specialises in recruiting for the media and marketing communications industry. We help change people's lives and improve business performance. We have a 96% success rate of placing the right people into the right role. We act as both a brand embassador for our employer customers, and a trusted recruitment partner for our candidates. We are a 'high touch' consultancy who believes in meeting face to face in order to fully understand your requirements, whether it is hiring new staff or looking for the next career move. Established since 1992, Aspire has over two decades of heritage in our specialist areas, so our dedicated consltas are well positioned to help. Aspire has developed an international presence with offices in Singapore, Hong Kong, London and Manchester for employers and individuals with global aspirations. Aspire has been operating in Asia since November 2011, facilitating the movement of talent, locally, regionally and at a global level. Aspire is also ISO 9001 accredited, an investors in People Gold Award Company, a Sunday Times Top 100 company to work, members of APSCo Asia and we are always interested in talking to media & marketing communications professionals as well as those who are considering a career in recruitment with us at Aspire.","CITY HOUSE, 36 ROBINSON ROAD 068877","Permanent, Full Time",Middle Management,4 years exp,"Advertising / Media, Marketing / Public Relations, Sales / Retail",1,"['$6,000to$8,000']",Monthly,55 applications,Posted 05 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
Our client is part of one of the world's largest and leading exhibition organizers and is embarking on a remarkable journey of growth and expansion.

They are now looking for a Senior Marketing Manager to join their expanding team in Singapore!

In this role, you will:

Help shape marketing strategies and practices while working closely across teams to ensure effective marketing and data management. Understanding client-specific marketing requirements is a key aspect.
Develop marketing strategies for existing brands and new show launches, working closely with Executive Directors on budget optimisation and effectiveness.
Coordinate marketing timelines, and oversee vendors including registration, business matching, staff, design, PR, media, data management, and systems (CRM).
Manage data system, data cleaning, coding and management across all portfolio events.
Define KPIs with the marketing manager, including pre-registrations, on-site visitors, and rebooking.
Handle corporate marketing, overseeing their social media platforms to promote their event portfolio. (MICE/event industries)
Provide post-show reports for business insights and analyze data to support development
Your experience:
4+ years experience in events marketing. (B2B and tradeshow events)
Experience collaborating with local and regional MICE partners
Able to work with offices across Europe, Asia, and the Americas.
If interested, please apply!

EA: R22106051
Agency License No.: 11C4388"
MARKETING MANAGER,AL AFRIDA PTE. LTD.,MCF-2023-0729130,No information added.,,Full Time,Senior Management,6 years exp,Admin / Secretarial,1,"['$6,000to$10,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Marketing Manager Job Description
We are seeking an innovative marketing manager to promote our company's brand and services. In this role, you will be optimizing our marketing strategies, managing the marketing department's budget and staff, as well as preparing forecasts.
To ensure success, you will need extensive knowledge of marketing strategies and the ability to identify new business leads. An outstanding marketing manager will be someone whose expertise translates into increased brand awareness and profitability.
Marketing Manager Responsibilities

• Evaluating and optimizing marketing and pricing strategies.
• Analyzing market trends and preparing forecasts.
• Generating new business leads.
• Develop strategies and tactics to get the word out about our company and drive qualified traffic to our front door
• Deploy successful marketing campaigns and own their implementation from ideation to execution
• Experiment with a variety of organic and paid acquisition channels like content creation, content curation, pay per click campaigns, event management, publicity, social media, lead generation campaigns, copywriting, performance analysis
• Produce valuable and engaging content for our website and blog that attracts and converts our target groups
• Build strategic relationships and partner with key industry players, agencies and vendors
• Prepare and monitor the marketing budget on a quarterly and annual basis and allocate funds wisely
• Oversee and approve marketing material, from website banners to hard copy brochures and case studies
• Measure and report on the performance of marketing campaigns, gain insight and assess against goals
• Analyze consumer behavior and adjust email and advertising campaigns accordingly
Marketing Manager Requirements
• A Bachelor’s degree in marketing, business or any other relevant field
• Sound understanding of marketing fundamentals and tactics
• Creative thinking and problem-solving ability
• Leadership and project management skills
• Knowledge of digital marketing and social media marketing strategies
• Excellent verbal and non-verbal communication skills
• Proficiency with marketing tools and software
• Proficient in marketing research and statistical analysis
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
MARKETING MANAGER,KDS SUPERMARKET TRADING PTE. LTD.,MCF-2023-0729155,No information added.,,Full Time,Middle Management,6 years exp,Admin / Secretarial,1,"['$6,000to$10,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Marketing Manager Job Description
We are seeking an innovative marketing manager to promote our company's brand and services. In this role, you will be optimizing our marketing strategies, managing the marketing department's budget and staff, as well as preparing forecasts.
To ensure success, you will need extensive knowledge of marketing strategies and the ability to identify new business leads. An outstanding marketing manager will be someone whose expertise translates into increased brand awareness and profitability.
Marketing Manager Responsibilities

• Evaluating and optimizing marketing and pricing strategies.
• Analyzing market trends and preparing forecasts.
• Generating new business leads.
• Develop strategies and tactics to get the word out about our company and drive qualified traffic to our front door
• Deploy successful marketing campaigns and own their implementation from ideation to execution
• Experiment with a variety of organic and paid acquisition channels like content creation, content curation, pay per click campaigns, event management, publicity, social media, lead generation campaigns, copywriting, performance analysis
• Produce valuable and engaging content for our website and blog that attracts and converts our target groups
• Build strategic relationships and partner with key industry players, agencies and vendors
• Prepare and monitor the marketing budget on a quarterly and annual basis and allocate funds wisely
• Oversee and approve marketing material, from website banners to hard copy brochures and case studies
• Measure and report on the performance of marketing campaigns, gain insight and assess against goals
• Analyze consumer behavior and adjust email and advertising campaigns accordingly
Marketing Manager Requirements
• A Bachelor’s degree in marketing, business or any other relevant field
• Sound understanding of marketing fundamentals and tactics
• Creative thinking and problem-solving ability
• Leadership and project management skills
• Knowledge of digital marketing and social media marketing strategies
• Excellent verbal and non-verbal communication skills
• Proficiency with marketing tools and software
• Proficient in marketing research and statistical analysis
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
MARKETING ASSISTANT MANAGER,AL AFRIDA PTE. LTD.,MCF-2023-0729119,No information added.,,Full Time,Middle Management,6 years exp,Admin / Secretarial,1,"['$6,000to$10,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Marketing Assistant Manager Job Description
Our company is looking to hire a marketing assistant who will be working closely with our marketing team to develop and implement marketing plans and strategies for our brands. As a successful hire, you will be tasked with helping identify marketing trends and opportunities for growth, as well as creating marketing materials such as white papers and case studies. You will be giving presentations about our ongoing campaigns and provide administrative support to our marketing and sales teams.
To be chosen for this role, you must have a bachelor's degree in marketing, business, or a related field. Prior work experience in administration, sales, or marketing is a plus. Effective written and verbal communication skills and a high level of attention to detail are both important keys to success in this role.
Marketing Assistant Manager Responsibilities:
• Collaborating with the marketing manager, internal teams, clients and partners on marketing strategy.
• Helping identify marketing trends and key opportunities for innovation.
• Learning and working with various types of software for digital marketing.
• Working closely with sales and marketing department.
• Creating marketing materials such as white papers, case studies, and presentations.
• Giving presentations.
• Maintaining a marketing database.
• Providing administrative support to the marketing and sales team.
• Preparing, formatting and editing a range of documents.
• Understanding company product and brand.
• General office duties.
• Creating and interpreting a variety of reports.
• Organizing market research.
• Analyzing questionnaires and other forms of feedback.
• Updating social media accounts.
• Perform any other duties assigned by the director.
Marketing Assistant Manager Requirements:
• Bachelor’s degree in marketing, business or related field.
• Administration or sales and marketing assistant experience.
• Effective written and verbal communication skills.
• A high level of attention to detail.
• Ability to work effectively within a team and independently.
• Experience using computers for a variety of tasks.
• Competency in Microsoft applications including Word, Excel, and Outlook.
• Good organization skills.
• Related job and internship experience.
• Digital marketing experience.
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
MARKETING ASSISTANT MANAGER,KDS SUPERMARKET TRADING PTE. LTD.,MCF-2023-0729152,No information added.,,Full Time,Middle Management,6 years exp,Admin / Secretarial,1,"['$6,000to$10,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Marketing Assistant Manager Job Description
Our company is looking to hire a marketing assistant who will be working closely with our marketing team to develop and implement marketing plans and strategies for our brands. As a successful hire, you will be tasked with helping identify marketing trends and opportunities for growth, as well as creating marketing materials such as white papers and case studies. You will be giving presentations about our ongoing campaigns and provide administrative support to our marketing and sales teams.
To be chosen for this role, you must have a bachelor's degree in marketing, business, or a related field. Prior work experience in administration, sales, or marketing is a plus. Effective written and verbal communication skills and a high level of attention to detail are both important keys to success in this role.
Marketing Assistant Manager Responsibilities:
• Collaborating with the marketing manager, internal teams, clients and partners on marketing strategy.
• Helping identify marketing trends and key opportunities for innovation.
• Learning and working with various types of software for digital marketing.
• Working closely with sales and marketing department.
• Creating marketing materials such as white papers, case studies, and presentations.
• Giving presentations.
• Maintaining a marketing database.
• Providing administrative support to the marketing and sales team.
• Preparing, formatting and editing a range of documents.
• Understanding company product and brand.
• General office duties.
• Creating and interpreting a variety of reports.
• Organizing market research.
• Analyzing questionnaires and other forms of feedback.
• Updating social media accounts.
• Perform any other duties assigned by the director.
Marketing Assistant Manager Requirements:
• Bachelor’s degree in marketing, business or related field.
• Administration or sales and marketing assistant experience.
• Effective written and verbal communication skills.
• A high level of attention to detail.
• Ability to work effectively within a team and independently.
• Experience using computers for a variety of tasks.
• Competency in Microsoft applications including Word, Excel, and Outlook.
• Good organization skills.
• Related job and internship experience.
• Digital marketing experience.
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
MARKETING ASSISTANT MANAGER,RGS 31 CANTEEN PTE. LTD.,MCF-2023-0729141,No information added.,,Full Time,Middle Management,6 years exp,Admin / Secretarial,1,"['$6,000to$10,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Marketing Assistant Manager Job Description
Our company is looking to hire a marketing assistant who will be working closely with our marketing team to develop and implement marketing plans and strategies for our brands. As a successful hire, you will be tasked with helping identify marketing trends and opportunities for growth, as well as creating marketing materials such as white papers and case studies. You will be giving presentations about our ongoing campaigns and provide administrative support to our marketing and sales teams.
To be chosen for this role, you must have a bachelor's degree in marketing, business, or a related field. Prior work experience in administration, sales, or marketing is a plus. Effective written and verbal communication skills and a high level of attention to detail are both important keys to success in this role.
Marketing Assistant Manager Responsibilities:
• Collaborating with the marketing manager, internal teams, clients and partners on marketing strategy.
• Helping identify marketing trends and key opportunities for innovation.
• Learning and working with various types of software for digital marketing.
• Working closely with sales and marketing department.
• Creating marketing materials such as white papers, case studies, and presentations.
• Giving presentations.
• Maintaining a marketing database.
• Providing administrative support to the marketing and sales team.
• Preparing, formatting and editing a range of documents.
• Understanding company product and brand.
• General office duties.
• Creating and interpreting a variety of reports.
• Organizing market research.
• Analyzing questionnaires and other forms of feedback.
• Updating social media accounts.
• Perform any other duties assigned by the director.
Marketing Assistant Manager Requirements:
• Bachelor’s degree in marketing, business or related field.
• Administration or sales and marketing assistant experience.
• Effective written and verbal communication skills.
• A high level of attention to detail.
• Ability to work effectively within a team and independently.
• Experience using computers for a variety of tasks.
• Competency in Microsoft applications including Word, Excel, and Outlook.
• Good organization skills.
• Related job and internship experience.
• Digital marketing experience.
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
MARKETING ASSISTANT MANAGER,FOOD ASPIRATION PTE. LTD.,MCF-2023-0729146,No information added.,,Full Time,Middle Management,6 years exp,Admin / Secretarial,1,"['$6,000to$10,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Marketing Assistant Manager Job Description
Our company is looking to hire a marketing assistant who will be working closely with our marketing team to develop and implement marketing plans and strategies for our brands. As a successful hire, you will be tasked with helping identify marketing trends and opportunities for growth, as well as creating marketing materials such as white papers and case studies. You will be giving presentations about our ongoing campaigns and provide administrative support to our marketing and sales teams.
To be chosen for this role, you must have a bachelor's degree in marketing, business, or a related field. Prior work experience in administration, sales, or marketing is a plus. Effective written and verbal communication skills and a high level of attention to detail are both important keys to success in this role.
Marketing Assistant Manager Responsibilities:
• Collaborating with the marketing manager, internal teams, clients and partners on marketing strategy.
• Helping identify marketing trends and key opportunities for innovation.
• Learning and working with various types of software for digital marketing.
• Working closely with sales and marketing department.
• Creating marketing materials such as white papers, case studies, and presentations.
• Giving presentations.
• Maintaining a marketing database.
• Providing administrative support to the marketing and sales team.
• Preparing, formatting and editing a range of documents.
• Understanding company product and brand.
• General office duties.
• Creating and interpreting a variety of reports.
• Organizing market research.
• Analyzing questionnaires and other forms of feedback.
• Updating social media accounts.
• Perform any other duties assigned by the director.
Marketing Assistant Manager Requirements:
• Bachelor’s degree in marketing, business or related field.
• Administration or sales and marketing assistant experience.
• Effective written and verbal communication skills.
• A high level of attention to detail.
• Ability to work effectively within a team and independently.
• Experience using computers for a variety of tasks.
• Competency in Microsoft applications including Word, Excel, and Outlook.
• Good organization skills.
• Related job and internship experience.
• Digital marketing experience.
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
"Digital Marketing Manager (Electronics MNC, East)",RECRUITPEDIA PTE. LTD.,MCF-2023-0728665,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,Full Time,Manager,5 years exp,"Information Technology, Marketing / Public Relations",1,"['$7,000to$10,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Our client is a Global MNC, one of the leading players in the IT Electronics sector. Due to business needs, they are now recruiting a Digital Marketing Manager to be part of their team for ongoing transformation projects. They are located in the East – easily accessible.

Responsibilities:
Create/Implement marketing strategies in line with the company's business objectives.
Translate business objectives into feasible digital marketing strategies, enable to company to drive results.
Handle digital marketing campaigns across multiple channels (eg. Performance media, Social media, and email marketing etc.)
Measure and enhance various campaign performances using tech stark tools and analysis
Provide insights and recommendations for improving ecommerce sales performance.
Analyze the company’s website traffic and customers’ behavior, identifying various optimization opportunities and boosting conversion rates.
Identify growth opportunities through retention/loyalty programs, as well as affiliates/partners programs
Oversee/Liaise with the company’s various regional marketing vendors (eg. Performance media, PR agencies etc.) when required
All other adhoc duties as assigned

Requirements:
Minimum Degree in Marketing or other relevant field of studies
Minimum 5 years of digital marketing experience in the relevant industries
Regional Exposure will be an added advantage

Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

RecruitPedia Pte Ltd
EA License No: 19C9682
EA Personnel No: R22104689 (Lim Yu Xun, Acer)"
