title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Aesthetic Doctor [ Medical Aesthetic Treatment | Orchard | COC ] - 9186,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0726821,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805","Permanent, Full Time",Professional,3 years exp,Personal Care / Beauty,1,"['$15,000to$20,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Aesthetic Doctor

Working day: 5 Days a Week (Offday discuss during interview)
Working Hour: 10am - 7pm
Salary Range: $15,000 - $20,000 (Depends on Experience)
Location: Orchard

Duties:
Provide professional consultation and advice with patients on skin, face, body related aesthetic concern on medical aesthetic treatments.
Perform medical aesthetic procedures such as (but not limited to) lasers and injectables.
Provide medical advice related to the company's products and services.
Maintain high standards of care for patients including consultation, treatment, review patient’s progress and follow up care.
Requirements:
Singapore Medical Council Registered
MBBS, MBChB, MBBCh, MD or equivalent
Certificates of competence for Lasers, Botox, Fillers, Devices for skin tightening
At least 1 year experience in aesthetic medicine
The Supreme HR Advisory Pte Ltd || EA No: 14C7279

Ng Syu Ching (Ellis) || Reg No: R22107944"
Medical Aesthetic Doctor,THE AESTHETIC STUDIO PTE. LTD.,MCF-2023-0633793,No information added.,"MOUNT ELIZABETH HOSPITAL, 3 MOUNT ELIZABETH 228510","Permanent, Full Time",Professional,1 year exp,"Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$12,000to$18,000']",Monthly,3 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Looking for committed and passionate individuals in the medical aesthetic industry with keen interest to work long term.

At The Aesthetic Studio Clinic & Surgery, we believe in a tailored approach in delivering a wide range of safe and effective aesthetic treatments in Singapore. With a team of experienced and caring professionals, we prioritize patient satisfaction and safety above all else. We offer a friendly and inclusive work environment, where every team member's expertise is valued and nurtured.

We are looking for driven and passionate individuals to join our growing team. This position will be responsible for performing non-invasive and minimally-invasive aesthetic procedures in a medical setting. With a focus on providing excellent patient experience, our doctors consult on treatments and provide appropriate skin care products, treatment and recommendations to our patients.

Job Description / Job Responsibilities
Job Highlights:
Competitive salary package with performance-based incentives
Access to state-of-the-art facilities and advanced aesthetic equipment.
Continuous professional development opportunities to expand your expertise including On the Job training by experienced aesthetic medical director with more than 20 years’ experience and Sponsorship for courses and workshops
Collaborative and supportive working environment with experienced medical professionals.
Exposure to a diverse patient base and exciting aesthetic challenges.
Opportunity to make a significant impact in the lives of patients, helping them achieve their aesthetic goal

Job Description:
Perform comprehensive consultations with patients to understand their aesthetic goals and concerns.
Plan and administer a wide range of non-surgical aesthetic treatments, including but not limited to dermal fillers, botulinum toxin injections, laser therapies, chemical peels, and other advanced procedures.
Offer personalized treatment recommendations, ensuring patient safety, satisfaction, and optimal results
Maintain accurate and detailed patient records while adhering to all medical and legal requirements.
Stay up-to-date with the latest advancements and trends in aesthetic medicine through continuous education and training.
Work hand-in-hand with in-clinic team to provide holistic patient experience and uphold high standards of professional medical expertise towards your work
Participate in team meetings, contribute to clinic growth strategies, and collaborate with internal and externa teams to enhance the overall patient experience achieve clinic’s goals and targets
Contribute to website and media articles.
Contribute to daily operations of the medical clinic.
Job Requirements
Singapore Medical Council (SMC) Full Registration.
Medical Degree recognized by Singapore MOH.
Accumulated COCs for Fractional Photothermolysis for Skin Rejuvenation, Pigment Lasers, Intense Pulsed Light-Skin Rejuvenation and Workshop on Non-Surgical Skin Tightening Devices, Injectibles etc preferred
Strong commitment to patient care, safety and confidentiality
Well-groomed with pleasant personality
Self-driven individual with a positive attitude and Good Interpersonal skills with Team and patients.
Ability to work in a team-oriented environment and maintain a positive and professional attitude
Passionate in wellness and aesthetic medicine and a keen interest in procedural based medicine.
Relevant experience in aesthetics treatment is advantageous

Employee Benefits
Job type: Full time and permanent
Basic Salary Range S$15,000 to S$18,000 + Monthly Individual Sales Commission
5.5 days work week
Sponsorship for courses and workshops"
"Doctor, Remote",ENVIRODYNAMICS SOLUTIONS PTE. LTD.,MCF-2023-0609542,"EnviroDynamics Solutions Pte Ltd was establised in 2008 primarily as engineering consultancy provider in which we have a pool of qualified engineers/consultants offering engineering solutions to our cients. In addition, we also provide a range of recruitment and human capital solutions as employment agency to our clients in engineering and technology industries.",,"Permanent, Full Time",Professional,2 years exp,"Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$14,000to$16,500']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Provides patient care via different channels such as clinic, telemedicine, as well as mobile medicine.
Conduct home visits to provide medical and healthcare services including but not limited to consultations and medical procedures.
Perform medical procedures in the home environment as well as the clinic setting.
Perform teleconsultation services under DA Telemedicine Application and TMARS application.
Perform home based Child Developmental Screening (CDS) for home vaccination projects.
Perform home based pre-policy medical examinations for underwriting in medical insurance
Perform doctor-led WICA (Workplace Injury Compensation Act) services to DA’s partnering businesses.
Manage mobile medical services inventory
Provide acute and chronic care for patients of all age groups in the clinic setting
Conduct health screenings and reviews
Maintain timely and accurate documentation of patients’ condition and care given
Provide accurate evaluation and reports
Requirements
Fully Registered Medical Doctor with the Singapore Medical Council (SMC)
Prior experience in clinic and A&E work
Excellent communication skills and Bilingual /Dialects preferred
Able to commit approximately 50 hours per week
Possess high integrity and standards in the work you do
Experience of working within a tech startup and hyper growth environment would be a plus.
Highly collaborative with an entrepreneurial, roll-up-your sleeves attitude, pragmatic, and able to work independently when required
Comfortable with ambiguity
Kindly understand that only shortlisted candidates will be notified.
EnviroDynamics Solutions Pte Ltd
Poon Wai Soon, Bernard
Reg. No: R2197713
EA License No.: 12C6285"
7777-Aesthetic Medical Doctor,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0709963,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805",Full Time,Junior Executive,1 year exp,Hospitality,1,"['$15,000to$20,000']",Monthly,0 application,Posted 16 Sep 2023,Closing on 16 Oct 2023,"Roles & Responsibilities
Aesthetic Doctor
Working day: 5 Days a Week (Off Day further discuss during interview)
Working Hour: 10am - 7pm
Salary Range: $15,000 - $20,000 (Depends on Experience)
Location: Orchard
Duties:
Provide professional consultation and advice with patients on skin, face, body related aesthetic concern on medical aesthetic treatments.
Perform medical aesthetic procedures such as (but not limited to) lasers and injectables.
Provide medical advice related to the company's products and services.
Maintain high standards of care for patients including consultation, treatment, review patient’s progress and follow up care.
Requirements:
Singapore Medical Council Registered
MBBS, MBChB, MBBCh, MD or equivalent
Certificates of competence for Lasers, Botox, Fillers, Devices for skin tightening
At least 1 year experience in aesthetic medicine

📞 WhatsApp: +65 80628430 [MarkLin]

Lin Yin Fong Reg No: R23117046
The Supreme HR Advisory Pte Ltd EA No: 14C7279"
0731 - Aesthetic Doctor (Singapore Medical Council / Laser / Botox / Fillers / Up to $20k),THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0709288,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805","Permanent, Full Time",Junior Executive,1 year exp,"Healthcare / Pharmaceutical, Medical / Therapy Services, Personal Care / Beauty",1,"['$15,000to$20,000']",Monthly,0 application,Posted 15 Sep 2023,Closing on 15 Oct 2023,"Roles & Responsibilities
Role:
Aesthetic Doctor (Singapore Medical Council / Laser / Botox / Fillers / Up to $20k)

Interested applicants can send your resume to vicky_wee@thesupremehr.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.
Working day: 5 Days a Week (Monday & PH OFF)
Working Hour: 10am - 7pm / 10am - 1pm
Salary Range: $15,000 - $20,000 (Depends on Experience)
Location: Orchard
Duties:
Provide professional consultation and advice with patients on skin, face, body related aesthetic concern on medical aesthetic treatments.
Perform medical aesthetic procedures such as (but not limited to) lasers and injectables.
Provide medical advice related to the company's products and services.
Maintain high standards of care for patients including consultation, treatment, review patient’s progress and follow up care.
Requirements:
Singapore Medical Council Registered
MBBS, MBChB, MBBCh, MD or equivalent
Certificates of competence for Lasers, Botox, Fillers, Devices for skin tightening
At least 1 year experience in aesthetic medicine

✅ Wee Yuan Huan
✅ Reg No: R21100383
✅ The Supreme HR Advisory Pte Ltd
✅ EA No: 14C7279"
Registrar (Medical Doctor),NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD,MCF-2023-0704176,"About the NATIONAL UNIVERSITY HOSPITAL The National University Hospital is a tertiary hospital and major referral centre with over 50 medical, surgical and dental specialties, offering a comprehensive suite of specialist care for adults, women and children. It is the only public hospital in Singapore to offer a paediatric kidney and liver transplant programme, in addition to kidney, liver and pancreas transplantation for adults. The Hospital was opened on 24 June 1985 as Singapore’s first restructured hospital. Each year, the Hospital attends to more than one million patients. As an academic health institution, patient safety and good clinical outcomes are the focus of the Hospital. It plays a key role in the training of doctors, nurses, allied health and other healthcare professionals. Translational research is pivotal in the Hospital’s three-pronged focus, and paves the way for new cures and treatment. A member of the National University Health System, it is the principal teaching hospital of the NUS Yong Loo Lin School of Medicine and the NUS Faculty of Dentistry. For more information, visit www.nuh.com.sg",1E KENT RIDGE ROAD 119228,Contract,Professional,3 years exp,Medical / Therapy Services,1,"['$6,200to$12,000']",Monthly,0 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
The National University Health System (NUHS) is an integrated Academic Health System and Regional Health System in Singapore that delivers value-driven, innovative and sustainable healthcare. Institutions in the NUHS group include three hospitals – National University Hospital, Ng Teng Fong General Hospital and Jurong Community Hospital; three National Specialty Centres – National University Cancer Institute, Singapore, National University Heart Centre, Singapore and National University Centre for Oral Health, Singapore; a polyclinic group – the National University Polyclinics; one medical centre – Jurong Medical Centre; and three academic health sciences institutions – National University of Singapore (NUS) Yong Loo Lin School of Medicine (including the Alice Lee Centre for Nursing Studies), NUS Faculty of Dentistry and NUS Saw Swee Hock School of Public Health.

The Departments are seeking candidates who are highly motivated and willing to join us for a challenging and fulfilling appointment as Registrar on a contractual basis.

As a Registrar, you will be part of the care team led by Senior Consultants/Consultants the overall supervision and day-to-day running of the wards, including patient care. In addition, you shall demonstrate good diagnostic and clinical management acumen and perform any other duties as directed by Head of Department or the Chairman Medical Board of the Hospital.
•Be in active clinical practice
•Possess a basic medical degree from an accredited medical university or medical school
•Possess a 3 year of post housemanship clinical experience
•Possess specialty knowledge
•Must be registered with the Singapore Medical Council
•Able to work independently with demonstrated competence in managing patients in the department
•Confident, takes initiatives and a good team player"
Registrar (Medical Doctor),NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD,MCF-2023-0704183,"About the NATIONAL UNIVERSITY HOSPITAL The National University Hospital is a tertiary hospital and major referral centre with over 50 medical, surgical and dental specialties, offering a comprehensive suite of specialist care for adults, women and children. It is the only public hospital in Singapore to offer a paediatric kidney and liver transplant programme, in addition to kidney, liver and pancreas transplantation for adults. The Hospital was opened on 24 June 1985 as Singapore’s first restructured hospital. Each year, the Hospital attends to more than one million patients. As an academic health institution, patient safety and good clinical outcomes are the focus of the Hospital. It plays a key role in the training of doctors, nurses, allied health and other healthcare professionals. Translational research is pivotal in the Hospital’s three-pronged focus, and paves the way for new cures and treatment. A member of the National University Health System, it is the principal teaching hospital of the NUS Yong Loo Lin School of Medicine and the NUS Faculty of Dentistry. For more information, visit www.nuh.com.sg",1E KENT RIDGE ROAD 119228,Contract,Professional,3 years exp,Medical / Therapy Services,1,"['$6,200to$12,000']",Monthly,1 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
The National University Health System (NUHS) is an integrated Academic Health System and Regional Health System in Singapore that delivers value-driven, innovative and sustainable healthcare. Institutions in the NUHS group include three hospitals – National University Hospital, Ng Teng Fong General Hospital and Jurong Community Hospital; three National Specialty Centres – National University Cancer Institute, Singapore, National University Heart Centre, Singapore and National University Centre for Oral Health, Singapore; a polyclinic group – the National University Polyclinics; one medical centre – Jurong Medical Centre; and three academic health sciences institutions – National University of Singapore (NUS) Yong Loo Lin School of Medicine (including the Alice Lee Centre for Nursing Studies), NUS Faculty of Dentistry and NUS Saw Swee Hock School of Public Health.

The Departments are seeking candidates who are highly motivated and willing to join us for a challenging and fulfilling appointment as Registrar on a contractual basis.

As a Registrar, you will be part of the care team led by Senior Consultants/Consultants the overall supervision and day-to-day running of the wards, including patient care. In addition, you shall demonstrate good diagnostic and clinical management acumen and perform any other duties as directed by Head of Department or the Chairman Medical Board of the Hospital.
•Be in active clinical practice
•Possess a basic medical degree from an accredited medical university or medical school
•Possess a 3 year of post housemanship clinical experience
•Possess specialty knowledge
•Must be registered with the Singapore Medical Council
•Able to work independently with demonstrated competence in managing patients in the department
•Confident, takes initiatives and a good team player"
Clinical Fellow (Medical Doctor),NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD,MCF-2023-0704214,"About the NATIONAL UNIVERSITY HOSPITAL The National University Hospital is a tertiary hospital and major referral centre with over 50 medical, surgical and dental specialties, offering a comprehensive suite of specialist care for adults, women and children. It is the only public hospital in Singapore to offer a paediatric kidney and liver transplant programme, in addition to kidney, liver and pancreas transplantation for adults. The Hospital was opened on 24 June 1985 as Singapore’s first restructured hospital. Each year, the Hospital attends to more than one million patients. As an academic health institution, patient safety and good clinical outcomes are the focus of the Hospital. It plays a key role in the training of doctors, nurses, allied health and other healthcare professionals. Translational research is pivotal in the Hospital’s three-pronged focus, and paves the way for new cures and treatment. A member of the National University Health System, it is the principal teaching hospital of the NUS Yong Loo Lin School of Medicine and the NUS Faculty of Dentistry. For more information, visit www.nuh.com.sg",1E KENT RIDGE ROAD 119228,Contract,Professional,3 years exp,Medical / Therapy Services,1,"['$3,500to$6,000']",Monthly,0 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
The National University Health System (NUHS) is an integrated Academic Health System and Regional Health System in Singapore that delivers value-driven, innovative and sustainable healthcare. Institutions in the NUHS group include three hospitals – National University Hospital, Ng Teng Fong General Hospital and Jurong Community Hospital; three National Specialty Centres – National University Cancer Institute, Singapore, National University Heart Centre, Singapore and National University Centre for Oral Health, Singapore; a polyclinic group – the National University Polyclinics; one medical centre – Jurong Medical Centre; and three academic health sciences institutions – National University of Singapore (NUS) Yong Loo Lin School of Medicine (including the Alice Lee Centre for Nursing Studies), NUS Faculty of Dentistry and NUS Saw Swee Hock School of Public Health.

The Departments are seeking candidates who are highly motivated and willing to join us for a challenging and fulfilling appointment as Clinical Fellow on a contractual basis.
•Possess a registrable medical degree with the Singapore Medical Council
•Possess 3 years of post-housemanship experience
•Be in active clinical practice
•Highly motivated and possess a good record in clinical excellence and commitment to medical education and research
•Able to demonstrate good diagnostic and clinical management acumen
•Able to demonstrate teamwork, respect, integrity, compassion and excellence in his/her work"
Associate Consultant (Medical Doctor),NATIONAL UNIVERSITY HEALTH SYSTEM PTE. LTD.,MCF-2023-0704314,"The National University Health System (NUHS) plays a key, contributing role in Singapore’s healthcare. Our versatile and experienced team of healthcare professionals has only one aim - to help people get better, and live healthier and longer lives. We do this by improving medical care, lowering disease recurrence, producing better healthcare professionals, and turning research findings into better medical treatments for diseases that affect Singaporeans. And the reason we’re able to do these things is because we have the best and most dedicated people. Come join us and help shape medicine for our future.",1E KENT RIDGE ROAD 119228,Contract,Professional,,Medical / Therapy Services,1,"['$13,000to$19,999']",Monthly,1 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
Set the standard for healthcare with the National University Health System, a world-class academic health system comprising the Alexandra Hospital, National University Hospital, Ng Teng Fong General Hospital, National University Polyclinics, National University Cancer Institute, Singapore, National University Heart Centre, Singapore, National University Centre for Oral Health, Singapore and Asia’s leading medical schools, the NUS Yong Loo Lin School of Medicine, the NUS Saw Swee Hock School of Public Health and the NUS Faculty of Dentistry, NUHS is perfectly placed to help you transform the patient experience and your career.
The Departments are seeking candidates who are highly motivated and willing to join us for a challenging and fulfilling appointment as Associate Consultants.
As an Associate Consultant, you will be required to carry out the duties as directed by the Chairman, Medical Board and Head of Department in accordance with the policies and guidelines set by the NUHS and the Ministry of Health (MOH).
Active in clinical practice;
Possess basic medical and postgraduate qualifications from the accredited medical universities or medical schools which are registrable with the Singapore Medical Council;
Must be successfully registered with the Singapore Medical Council and accredited by the Specialist Accreditation Board, Ministry of Health;
Able to work independently with demonstrated competence in managing patients in a multi-discipline environment; and
Confident, takes initiatives and a good team player"
Clinical Fellow (Medical Doctor),NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD,MCF-2023-0704212,"About the NATIONAL UNIVERSITY HOSPITAL The National University Hospital is a tertiary hospital and major referral centre with over 50 medical, surgical and dental specialties, offering a comprehensive suite of specialist care for adults, women and children. It is the only public hospital in Singapore to offer a paediatric kidney and liver transplant programme, in addition to kidney, liver and pancreas transplantation for adults. The Hospital was opened on 24 June 1985 as Singapore’s first restructured hospital. Each year, the Hospital attends to more than one million patients. As an academic health institution, patient safety and good clinical outcomes are the focus of the Hospital. It plays a key role in the training of doctors, nurses, allied health and other healthcare professionals. Translational research is pivotal in the Hospital’s three-pronged focus, and paves the way for new cures and treatment. A member of the National University Health System, it is the principal teaching hospital of the NUS Yong Loo Lin School of Medicine and the NUS Faculty of Dentistry. For more information, visit www.nuh.com.sg",1E KENT RIDGE ROAD 119228,Contract,Professional,3 years exp,Medical / Therapy Services,1,"['$3,500to$6,000']",Monthly,1 application,Posted 14 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
The National University Health System (NUHS) is an integrated Academic Health System and Regional Health System in Singapore that delivers value-driven, innovative and sustainable healthcare. Institutions in the NUHS group include three hospitals – National University Hospital, Ng Teng Fong General Hospital and Jurong Community Hospital; three National Specialty Centres – National University Cancer Institute, Singapore, National University Heart Centre, Singapore and National University Centre for Oral Health, Singapore; a polyclinic group – the National University Polyclinics; one medical centre – Jurong Medical Centre; and three academic health sciences institutions – National University of Singapore (NUS) Yong Loo Lin School of Medicine (including the Alice Lee Centre for Nursing Studies), NUS Faculty of Dentistry and NUS Saw Swee Hock School of Public Health.

The Departments are seeking candidates who are highly motivated and willing to join us for a challenging and fulfilling appointment as Clinical Fellow on a contractual basis.

•Possess a registrable medical degree with the Singapore Medical Council
•Possess 3 years of post-housemanship experience
•Be in active clinical practice
•Highly motivated and possess a good record in clinical excellence and commitment to medical education and research
•Able to demonstrate good diagnostic and clinical management acumen
•Able to demonstrate teamwork, respect, integrity, compassion and excellence in his/her work"
