title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Retail Operation Manager / Real Estate Industry / Central,RECRUITPEDIA PTE. LTD.,MCF-2023-0728927,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Manager,5 years exp,"Real Estate / Property Management, Sales / Retail",1,"['$6,000to$8,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Our client is a market leader in the Real Estate Industry. They are looking for a Retail Operation Manager to assist their team for the next phase of their business. They are located in the Central - easily accessible.
Responsibilities:
Guiding the Operations team in the strategic planning and implementation of initiatives to improve and protect asset values.
Deploying suitable programs to ensure the uninterrupted functioning of critical services, including utilities, air conditioning, fire protection, and security.
Ensuring staff members receive comprehensive training in fire and life safety systems maintenance and operations.
Overseeing the execution of all services and preventive maintenance programs on a consistent and effective basis.
Promptly and efficiently addressing service calls and work orders.
Compiling annual reviews of the Asset Plan for each asset within the portfolio and executing approved plans.
Administering leases with tenants, managing the handover and takeover of leased units, and overseeing tenant renovation processes and tenant relations.
Requirements:
A bachelor's degree in Real Estate or Property Management.
A minimum of 6 years of applicable experience in property, retail, and/or tenant management.
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Recruitpedia Pte. Ltd.
Email Address: Jobs@recruitpedia.sg
EA License No. 19C9682
EA Reg. No. R23117211 (Hew Lee Dea)"
Operation Manager,UM CONSULTING PTE. LTD.,MCF-2023-0728630,"At UM Consulting Pte Ltd, we pursue opportunities to help business grow, identify new prospects, and converting leads into customers. we are a financial services firm, providing funds and wealth management, merchant banking solutions to institutional clients and entrepreneurs. We specialised in managing a diverse range of digital assets offerings, FinTech venture capital investments, delivering IT services and support to our clients to businesses across Asia.","THE CENTRAL, 8 EU TONG SEN STREET 059818",Full Time,Manager,2 years exp,Risk Management,1,"['$3,000to$4,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsibilities
Ensure the successful implementation of the business strategy, responsibilities, services and deliverables
Monitor programme reporting and assist the team in reporting to senior management and stakeholders
Establish frameworks and standards for programme and project management manage and compile programme related financial and KPI information oversee project costs and ensure finances are well managed
Provide and maintain a capacity planning and resource tracking service across the programme
Planned track financial reporting whilst ensuring that the programme and projects adhere to the agreed budget
Ensure cross-programme dependencies are managed and the dependency log is accurately maintained
Coordinate project closure to distil good practice and ensure lessons learned are logged
Build cohesion within the team and motivate team to produce quality work
Define and embed project control and governance
Provide Project planning, milestone management, scope management, resource forecasting
Financial Management; change management across the project portfolio
Prepare regular status reporting for the engagement leadership
Requirements:
Proven track record for planning, executing, controlling and closing projects
Experience of managing the complete lifecycle of a project with teams of 5 to 25 people
Experience of project management using AGILE methodology (or equivalent) for medium to large sized projects
Strong skills in creating and maintaining project and programme plans, including risks, actions, issues, dependencies
Highly efficient in resource planning and tasks assignment
Knowledge of benefits and dependency mapping, risk management and resource planning
Highly proficient IT skills in Word, Excel, PowerPoint, and MS project
Excellent written/oral communication skills for reports and presentations.
Diplomatic ability to influence others at all levels of the business
Strong and demonstrated ability to build lasting relationships with key stakeholders
Ability to competently mediate disagreements and negotiate agreeable resolutions
Experience of Programme and project level financial management
Experience of defining and delivering benefits realisation for projects and programme"
Operation Manager,MANIS CAFETARIA PTE. LTD.,MCF-2023-0675819,No information added.,"XILIN DISTRICENTRE A & B, 3 CHANGI SOUTH STREET 2 486548",Internship/Attachment,Fresh/entry level,,"F&B, General Management",1,"['$3,600to$3,600']",Monthly,26 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
As an Operations Manager, you will be responsible for ensuring operational excellence, maximizing efficiency, and maintaining consistent standards across all outlets. Your primary focus will be on enhancing customer satisfaction, optimizing profitability, and driving growth in a competitive market.
Operations Manager to oversee the smooth functioning of our Food & Beverage Company's six outlets located across Singapore"
Operation Manager,TXT TECHNICAL PTE. LTD.,MCF-2023-0728603,"XT Technical Pte Ltd is a Fintech Company, backed with technology background and businesses spread across globally including the Middle East and SouthEast Asia. Being the world’s first socially infused community,we believe that by leading the innovation of web3 technology, we will shape the future of the financial services industry and improve businesses across all sectors, while making a positive difference for all. Working at XT Technical Pte Ltd is more than a job. Our global team and partners work collaboratively everyday towards achieving our purpose: by building, designing, advising, investing, partnering, and supporting some of the most exciting projects from around the world. Our international team of disruptors, change-makers, entrepreneurs, creatives, and market movers are not just expected to change things for the better, but to attempt to create things never thought possible. At XT Technical Pte Ltd, we thrive on openness and honesty and do not shy away from tough but necessary conversations. We value integrity, being a team player in our respective roles and mutual respect for one another on a global level.","THE CENTRAL, 8 EU TONG SEN STREET 059818",Full Time,Manager,2 years exp,"Real Estate / Property Management, Risk Management",1,"['$3,000to$4,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsibilities
Ensure the successful implementation of the business strategy, responsibilities, services and deliverables
Monitor programme reporting and assist the team in reporting to senior management and stakeholders
Establish frameworks and standards for programme and project management manage and compile programme related financial and KPI information oversee project costs and ensure finances are well managed
Provide and maintain a capacity planning and resource tracking service across the programme
Planned track financial reporting whilst ensuring that the programme and projects adhere to the agreed budget
Ensure cross-programme dependencies are managed and the dependency log is accurately maintained
Coordinate project closure to distil good practice and ensure lessons learned are logged
Build cohesion within the team and motivate team to produce quality work
Define and embed project control and governance
Provide Project planning, milestone management, scope management, resource forecasting
Financial Management; change management across the project portfolio
Prepare regular status reporting for the engagement leadership
Requirements:
Proven track record for planning, executing, controlling and closing projects
Experience of managing the complete lifecycle of a project with teams of 5 to 25 people
Experience of project management using AGILE methodology (or equivalent) for medium to large sized projects
Strong skills in creating and maintaining project and programme plans, including risks, actions, issues, dependencies
Highly efficient in resource planning and tasks assignment
Knowledge of benefits and dependency mapping, risk management and resource planning
Highly proficient IT skills in Word, Excel, PowerPoint, and MS project
Excellent written/oral communication skills for reports and presentations.
Diplomatic ability to influence others at all levels of the business
Strong and demonstrated ability to build lasting relationships with key stakeholders
Ability to competently mediate disagreements and negotiate agreeable resolutions
Experience of Programme and project level financial management
Experience of defining and delivering benefits realisation for projects and programme"
Operation Manager,PEPPER INTERNET TECHNOLOGY PTE. LTD.,MCF-2023-0728637,No information added.,"THE CENTRAL, 8 EU TONG SEN STREET 059818",Full Time,Manager,2 years exp,"Real Estate / Property Management, Risk Management",1,"['$3,000to$4,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description & Requirements
Responsibilities
Ensure the successful implementation of the business strategy, responsibilities, services and deliverables
Monitor programme reporting and assist the team in reporting to senior management and stakeholders
Establish frameworks and standards for programme and project management manage and compile programme related financial and KPI information oversee project costs and ensure finances are well managed
Provide and maintain a capacity planning and resource tracking service across the programme
Planned track financial reporting whilst ensuring that the programme and projects adhere to the agreed budget
Ensure cross-programme dependencies are managed and the dependency log is accurately maintained
Coordinate project closure to distil good practice and ensure lessons learned are logged
Build cohesion within the team and motivate team to produce quality work
Define and embed project control and governance
Provide Project planning, milestone management, scope management, resource forecasting
Financial Management; change management across the project portfolio
Prepare regular status reporting for the engagement leadership
Requirements:
Proven track record for planning, executing, controlling and closing projects
Experience of managing the complete lifecycle of a project with teams of 5 to 25 people
Experience of project management using AGILE methodology (or equivalent) for medium to large sized projects
Strong skills in creating and maintaining project and programme plans, including risks, actions, issues, dependencies
Highly efficient in resource planning and tasks assignment
Knowledge of benefits and dependency mapping, risk management and resource planning
Highly proficient IT skills in Word, Excel, PowerPoint, and MS project
Excellent written/oral communication skills for reports and presentations.
Diplomatic ability to influence others at all levels of the business
Strong and demonstrated ability to build lasting relationships with key stakeholders
Ability to competently mediate disagreements and negotiate agreeable resolutions
Experience of Programme and project level financial management
Experience of defining and delivering benefits realisation for projects and programme"
Port Operations Manager,JY CONNECTION & TRADING(JYCT) PTE. LTD.,MCF-2023-0728779,No information added.,7 TANJONG PAGAR PLAZA 081007,Full Time,Manager,6 years exp,Customer Service,1,"['$5,500to$11,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Willing work on weekend,night shift and public holidays
Supporting company leadership and supervising administrative department activities for staff members.
Greeting office visitors and directing them to the appropriate parties.
Handling basic office tasks, such as filing, delivering mail, answering emails and phone calls, and data entry.
Coordinating schedules and managing calendars for multiple parties to ensure that activities are properly arranged with no conflicts.
Making travel arrangements and preparing documents, presentation materials, and facilities for meetings.
Entering and updating company, employee, and client records.
Ordering, storing and distributing office supplies.
Maintaining, repairing, or replacing office equipment.
Directing, reviewing, and optimizing office operations to increase accuracy, productivity, and efficiency and reduce costs.
Providing basic bookkeeping services.
Administrator Requirements:
High school diploma or equivalent.
Degree in business administration or a relevant field is preferred.
At 1 year's experience in administrative services or related fields.
Additional education, certifications, or experience is advantageous.
Understanding of accounting principles and bookkeeping software may be required.
Familiarity with office technology and equipment, including computers, fax machines, scanners, printers, phone systems, etc.
Exceptional verbal and written communication skills.
Proactive, organized approach to multitasking.
Strong leadership and interpersonal skills.
Professional appearance, courteous manner, and clear, friendly phone voice."
CLEANING OPERATIONS MANAGER,CENTRAL PLACEMENTS,MCF-2023-0728988,No information added.,,Full Time,Manager,2 years exp,General Management,1,"['$3,000to$6,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 14 Oct 2023,"Roles & Responsibilities
· Plan schedules for specific needs such as periodic cleaning timetable, utilizing available manpower and equipment
· Coordinate, direct and monitor the cleaning operations in the company’s portfolio
· Effective management of operations executives and site supervisors to ensure delivery of operations covering all required areas.
· Regular visits to company’s cleaning sites to monitor standards of cleanliness, to establish and implement work quality and meet the evolving needs of clients
· Understand and build excellent relationships with stake holders, promoting good reputation of the company.
· Provide training to new staff in relation to expected standards and quality of cleaning, health and safety requirements and handling of equipment and machinery.
· Oversee the servicing and maintenance of cleaning equipment
· Maintain supplies of cleaning materials and equipment and placing orders to maintain stock levels"
Operations Executive (Facilities Management) - 2 Months,SAVILLS PROPERTY MANAGEMENT PTE. LTD.,MCF-2023-0728720,"Savills Property Management, became a subsidiary after Savills Singapore acquired a stake in CKH Strata Management and merged their property management business. The founding Director, Mr Chan Kok Hong’s vision was to provide his clients with the very best strata management advice and service, on par with international standards but with local knowledge and expertise. This vision can now be taken to the next level by tapping into Savills Global network and expertise where Savills has over 1 billion sq ft of properties under management. Savills Property Management Pte Ltd has set itself apart from its competition through professionalism, service excellence, efficiency, integrity, strategic application of information technology and concern for the welfare of the residents. Today, it has become the largest privately held strata management company with a staff strength of over 500 and services over 160 clients, including landmark buildings such as DUO, Shopping/Office/Hotel Complex, orchardgateway, orchardgateway@emrald, 20 Collyer Quay, Sim Lim Square and Singapore larger condominiums such as The Interlace, Parc Oasis, Signature Park and Costal Del Sol. At Savills Property Management, we are committed to developing, supporting and empowering our employees. We are currently seeking suitable candidates with the passion for strata management to join us.","SENG KEE BUILDING, 20 MARTIN ROAD 239070","Temporary, Contract, Part Time",Executive,2 years exp,"Engineering, Real Estate / Property Management",1,"['$3,200to$3,800']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Working hours: Monday - Friday, 9m - 6pm
Contract period: 2 Oct 23 - 1 Dec 23

Responsibilities:
Lead the Technician and service staffs ensuring that they carry out their duties according to the SOPs
Co-ordinate and supervise maintenance activities to ensure smooth running of building facilities, Building Automation System (BAS) / Building Management System (BMS), M&E services and other backend facilities
Supervise and liaise with term contractors to ensure proper implementation of contracts in relation to facility management
Develop and implement procedures, maintenance programme as well as performance measures to ensure timely, budget and quality delivery
Assist the management in the planning and execution of energy saving and preventive maintenance programme
Co-ordinate tenancy fitting out works and asset enhancement initiative when required
Ensure all facilities are maintained and managed in full compliance with all statutory requirements and by-laws
Plan and prose energy initiatives to implementation of energy management works
Assist the Operation Manager in preparing operations budget and keep track of expenditure
Requirements:
Min a Diploma in Building Management
2 years’ of experience in managing a shopping mall
Strong knowledge in Building Automation System (BAS) / Building Management System (BMS)
Strong verbal and written communication abilities in English
Good interpersonal skills and a team player
Process good leadership
Highly detail oriented and organized in work"
Warehouse Operations Manager (Logistics 3PL) - ag,MCI CAREER SERVICES PTE. LTD.,MCF-2023-0729162,MCI CAREER SERVICES PTE. LTD.,,"Permanent, Full Time",Manager,3 years exp,Logistics / Supply Chain,1,"['$3,900to$6,900']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Summary:
• Basic Salary: $3,900 to $6,900
• Annual Wage Supplement
• Performance Bonus (1 to 2 Months)
• Working Days: Monday to Friday
• Working Hours: 8.30am to 6.15pm
• Location: Alps Ave (With company transport at Ang Mo Kio / Yishun / Sengkang / Punggol / Tanah Merah / Bedok)
• Well-known 3PL MNC firm with great career progression

Responsibilities:
• Provide strategic leadership and directions to manage daily warehouse operations and achieve desired results as per SOP and KPI.
• Define requirements for operation and ensures the implementation of new strategies, technologies and initiatives to drive overall performance.
• Ensure all goods in the warehouse are properly collected, received, handled, accurately sorted, identified, value-added, transferred and dispatched.
• Enforce security and work safety measures and controls in the warehouse.
• Monitor department budgetary control and allocation of resources to ensure optimal utilization of resources.
• Constantly look for improvement opportunities along the value chain, to streamline and re-engine the processes to achieve and exceed the service standard or target.
• Establish and cultivate a good team culture of best practice sharing within the program to motivate staffs to voice out their opinions.
• Plan and provide on-the-job training to individual staff to improve work performance and productivity.
• Ensures stock inventory records are kept up to date.
• Ensure storage and office areas are well maintained.

Requirements:
• Possess at least 3 years of relevant working experience in a managerial position
• Proficient in Microsoft Office and operations dashboards (e.g. PowerBI or Tableau)

Applicants who possess relevant experience for the above responsibilities are most welcome to apply. If you do not possess the above experience, your application will still be considered on individual merits and you may be contacted for other opportunities.
Please submit your updated resume in MS Words format by using the APPLY NOW BUTTON

By submitting your personal data and/or resume, you give consent to collection, use and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

**We regret to inform that only shortlisted candidates would be notified.

Sooi Jia Hui Agnes
Reg No: R23113053
MCI Career Services Pte Ltd
EA Licence:06C2859"
IT Operations Manager (MNC / High Bonuses),SEARCH INDEX PTE. LTD.,MCF-2023-0728405,"At Search Index, we believe in working along closely with our clients in an enduring partnership towards successful career placement. We specialise in identifying and assessing candidates and recruiting them from junior to senior level roles across all industry sectors. We provides end-to-end solutions ranging from Permanent, Contract, Temporary and Project based placement. Executive Search Payroll and Staff Management Search Index is committed in providing the highest level of service with our extensive knowledge of human resources, consultancy and search expertise. We work with Local Small Medium Enterprise (SMEs) and Multinational Companies (MNCs) across various industries.",,"Permanent, Full Time",Senior Executive,5 years exp,"Consulting, Engineering, Information Technology",1,"['$7,000to$10,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
☑ AWS + Performance Bonus
☑ Family Friendly Environment
☑ Near MRT


Job Description:
Overseeing software application functionality
Lead a team of IT Engineers in support & operations of IT applications.
Assess system performance and recommend improvements
Develop IT policies and practices

Requirements:
At least a Diploma in computer science/IT or related certifications
At least 5 years of relevant experience.
Proven analytical skills

To apply, please include the following details inside your CV for faster processing:
Reasons for leaving each past & current employment
Salary drawn for each past & current employment
Expected Salary
Earliest availability date

We regret that only short-listed candidates will be contacted shortly.
Loh Puay Hwee David
EA License | 14C7092
EA Registration Number | R1766892"
