title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Sales Executive,SHANG ANTIQUE PTE. LTD.,MCF-2023-0728516,No information added.,296 RIVER VALLEY ROAD 238337,Full Time,Manager,1 year exp,Sales / Retail,1,"['$2,500to$3,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Antiques store in Orchard Road and River Valley Road seek Retail Sales Manager/ shop assistant positions. full/part time Position available. 6 days work week including Saturdays and Sundays. Working hours from 11am to 7pm. Salary from $2,500 to $3,500 depending on experience. WhatsApp resumes to 96166661."
Part Time Tutor,NANYANG TEACHING CONSULTANTS PRIVATE LIMITED,MCF-2023-0729082,"Established since 2008, Nanyang has accumulated valuable experience that enables us to determine and focus on the best teaching methods. As a reliable and reputable education centre, we not only offer traditional teaching lessons tailored according to individual class type and workshop, we also provide a well- designed e-learning based platform to accommodate students of different interests and needs. Coupling with the latest technology platform in learning, we help to generate and retain the interest of our students and make learning an interesting journey for them. At Nanyang, we engage a panel of professional curriculum team to design and curate the teaching material for every lesson. Lessons are carefully crafted to ensure focus learning based on individual learning pace. Under our Tutors Mentoring Program, our tutors interact, coach and provide assistance to each student. We monitor and access each student’s performance periodically. We have since seen significant success and our students shown tremendous improvement in their subject learning and grades.",,Part Time,Non-executive,1 year exp,Education and Training,1,['$35to$80'],Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Part Time Tutors
Primary - English, Chinese, Maths, Science
Secondary - English, Chinese, A Math, E Math, Biology, Chemistry,
Physics
JC - General Paper, Biology, Chemistry, Physics
Requirements:
1. At least 1 year or more experience.
2. Familiar with MOE syllabus.
3. Diploma/Degree in any field.

Please send in your resume with your recent photo and indicate the subjects you are applying to teach

Location: Bukit Panjang and Sembawang"
Part Time Sensory Panelists,WORKLE PTE. LTD.,MCF-2023-0681522,"Workle Pte Ltd is an established, leading provider of professional recruitment, executive search and human capital management solutions on behalf of the world’s top organisations. As we understand Human Resources (HR) is the major issue of companies in Singapore especially with the lack of skilled employees in this growing economy. Workle was formed to provide ideal employers with the right employees based on organizational needs and requirements. Workle consults clients based their business models, organization culture and needs with candidates being offered a place only if they meet the stringent 90% fit of the organization requirement and culture. This methodology ensures the Right candidate is well placed in every organization, every time! Our role is to seek out dynamic individuals who can enhance and contribute actively to the success and growth of our clients’ businesses. We are the PROFESSIONAL SERVICE PROVIDER that provide - Staffing (Permanent / Contract / Temporary) - M.I.C.E. / Events Placement & Management - International / Foreign Staffing - Executive Search - Overseas Placement - Head Hunting - Strategic HR Consulting",,Freelance,Fresh/entry level,,Sciences / Laboratory / R&D,1,['$21to$21'],Monthly,60 applications,Posted 06 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Hiring Part-Time Sensory Panelists (Independent Contractor)!
Hourly pay: $21 (no CPF)
(1 Year Contract, Renewable)
Location: Science Park

Requirement:
Characterize perfumes / fragrances and flavours incorporated in different applicaions
No dietary restriction, No Sensitive Skin Issue
Able to work on Tues, Wed, and Thurs (9am - 12pm)
Prefer someone who can work part-time basis in long run!"
Permanent Part Time Machine Dishwasher,EMPRESS EXPRESS PTE. LTD.,MCF-2023-0729179,No information added.,"TE2 MRT Station, 11 Woodlands Square 737736",Part Time,Fresh/entry level,,F&B,1,"['$1,200to$1,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Permanent Part Time Machine Dishwasher
· Collect and clear used tableware from tables
· Sort and wash cookware, dishes and utensils using machine dishwasher.
· Ensure dishwashing area is kept clean and organized.
· Clear trash at trash collection point.
· Perform general cleaning and housekeeping duties such as cleaning tables and chairs
Benefits:
9 am to 2 pm - $1200 per month.
3.30 pm to 930 pm - $1500 per month
Need to work on weekends and some public holidays. Extra day of pay on PH.
CPF, annual leave, uniform, meals included.
Interested please whatsapp 8768 4202"
Senior Vet Technician (Full time / Part Time),SUNSHINE VET CARE PTE. LTD.,MCF-2023-0728961,"Established in January 2021, Sunshine Vet Care aims to provide quality and compassionate vet care and offers a range of veterinary services relating to the preventive health & disease management for the pet community.","HOUGANG VILLAGE, 681 HOUGANG AVENUE 8 530681","Part Time, Permanent, Full Time",Middle Management,2 years exp,Healthcare / Pharmaceutical,1,"['$2,900to$5,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Roles & Responsibilities
Sunshine Vet Care is seeking dedicated and energetic individual to join the team as Veterinary Technician. Located at Hougang Village, our purpose-built clinic has a supportive and experienced team contributing to the smooth running of the practice and excellent care of animal health and welfare. On-the-job training and mentorship to develop the skills and knowledge will be provided.
Work-life balance is important. We offer competitive salaries that commensurate with clinical experience and also encourage and support continuing education. If you are keen to join our fun, dynamic and dedicated team, please send your resume with recent photo to my.sunshinevet@gmail.com. Only shortlisted applicants will be contacted.
Website: https://sunshinevetcare.com
Phone number: 62468681

Requirements (Full/Part-time):
- Minimum of 2 years’ full-time experience in vet general practice post qualification
- Good communication skills
- Possess initiative and able to work well independently and as well as in a team.
Only shortlisted applicants will be contacted."
Vet Technician / Nurse (Full Time / Part Time),SUNSHINE VET CARE PTE. LTD.,MCF-2023-0262848,"Established in January 2021, Sunshine Vet Care aims to provide quality and compassionate vet care and offers a range of veterinary services relating to the preventive health & disease management for the pet community.","HOUGANG VILLAGE, 681 HOUGANG AVENUE 8 530681","Part Time, Permanent, Full Time",Fresh/entry level,,Healthcare / Pharmaceutical,1,"['$2,000to$2,800']",Monthly,14 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Roles & Responsibilities
Sunshine Vet Care is seeking dedicated and energetic individual to join the team as Veterinary Technician. Located at Hougang Village, our purpose-built clinic has a supportive and experienced team contributing to the smooth running of the practice and excellent care of animal health and welfare. We are looking for someone who is able to multi task and double up as a Vet Tech and Receptionist. On-the-job training and mentorship to develop the skills and knowledge will be provided.
Work-life balance is important. We offer competitive salaries that commensurate with clinical experience and also encourage and support continuing education. If you are keen to join our fun, dynamic and dedicated team, please send your resume with recent photo to my.sunshinevet@gmail.com. Only shortlisted applicants will be contacted.
Website: https://sunshinevetcare.com
Phone number: 62468681
Requirements (Full/Part-time):
- Prior relevant work experience in the vet industry or graduated with a Diploma in Veterinary Technology/Veterinary Bioscience
- Good communication skills
- Possess initiative and able to work well independently and as well as in a team.
Only shortlisted applicants will be contacted."
Retail Assistant,SOAMI ARTISANAL PTE. LTD.,MCF-2023-0729129,No information added.,"RAFFLES CITY SHOPPING CENTRE, 252 NORTH BRIDGE ROAD 179103",Part Time,Non-executive,1 year exp,"Customer Service, Sales / Retail",1,"['$1,400to$1,680']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Scope
To provide a pleasant shopping experience for customers
To possess great product understanding
Attend to customer inquiries and needs
Assist with in-store operations (including daily routines such as; packing of orders, stock replenishment, stock checks, inventory management, tidying the store)
Basic visual merchandising and organisation of jewellery on display
Quality checks of jewellery before presenting to customer
Perform any other ad-hoc tasks assigned.
Job Requirements
Ability to work independently to manage the store
Demonstrate initiative and thinking on one's feet to resolve retail related matters
Comfortable with working with small jewellery bits and jewellery tools and machinery
Good eye for jewellery and fashion to offer suggestions to customers
Able to work 3 days a week (including one weekend). Minimum commitment of 3 months.
Experience in retail is a plus
Job Perks
Employee discounts
Drop us an email us at hello@soami.co with the subject header ""Application for RETAIL ASSISTANT (PART-TIME)"" for more information. Please also attach your resume in the email."
Shipping Coordinator | DO | PO | Logistic Support | BL | Orchard - 4769,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0729187,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,"Permanent, Full Time",Junior Executive,1 year exp,"Admin / Secretarial, Logistics / Supply Chain",1,"['$2,500to$3,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Shipping Coordinator | DO | PO | Logistic Support | BL | Orchard

Salary : $2500- $3500
Working Hour : 9am-6pm Mon- friday
Working location : Cuppage road (Orchard)

Job
-Arrange shipment delivery based on orders
-Handling PO, DO, and billing to customer
-Attend to any incoming customers, transporter & carrier call or enquire
-Key in invoices (packing list , check BL, form D)
-Generating invoices to the closing of files
-Other logistics/shipping administrative duties assigned
-Ensure all paperwork are in order and in compliance with the Company’s policies

For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group
The Supreme HR Advisory Pte Ltd | 14C7279
Ong Boon Kiet (Travys) | R22104769
Senior Recruitment Consultant"
Agency Locum Phlebotomist (Part time and Full time),CARELINK PTE. LTD.,MCF-2023-0314575,"About Us CareLink Home Nursing Services offers premier home-care services 24 hours a day, 365 days a year for those who need it. CareLink Home Nursing Services puts relationships first to support those giving care, to protect the dignity of those receiving it, and to enhance the quality of life for both seniors and their families.",,"Contract, Part Time, Freelance, Full Time, Flexi-work",Non-executive,2 years exp,Healthcare / Pharmaceutical,1,"['$3,500to$6,500']",Monthly,112 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
We are looking for Locum Phlebotomist (Part time and Full time) to be outsourced to our clients from established private laboratories.
Responsible for the collection, handling and processing of blood specimens from patients as requested by the clinicians. Working in conjunction with the lab client service, dispatch section and technical staff to ensure total customer satisfaction.
Key accountabilities
Responsible for timely, accurate and sufficient collection of blood specimens from patients as requested by the clinicians using any one of the appropriate techniques as requested
Responsible for the inventory management of supplies utilised by the phlebotomy and other medical supplies stocked in the laboratory.
Required rotation of deployment between inpatient, outpatient clinic and medical centre.
Working alongside with laboratory client service staff and technical personnel to achieve total quality service and customer satisfaction.
Any other duties as assigned by the management from time to time.
Qualifications & Experience
Minimum GCE N Level, State Enrolled Nurse or equivalent or higher nursing qualifications, or Medical Technology degree/diploma with phlebotomist certificate.
Experience in phlebotomy skill performing vacutainer, syringe or butterfly needle venipuncture.
Good interpersonal skills.
Patient/customer service oriented.
All Interested candidates are invited to email your CV to: connect@carelink.sg or contact Sherry at 9841 0552"
Assistant Florist (Permanent Part Time),24HRS CITY FLORIST,MCF-2023-0728768,We are a Singapore based florist located at 188 Race Course Road #01-03. We offer same day flower delivery. We design and arrange flower related gifts for all occasions. Visit our website for more information.,"SOHO 188, 188 RACE COURSE ROAD 218612","Contract, Part Time, Freelance, Internship/Attachment",Executive,1 year exp,"Admin / Secretarial, Customer Service, Sales / Retail, Others",1,"['$300to$2,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
We are a local Singapore florist in operation since 2004. We are looking for permanent part time florist or assist florist to join our team.


1. Experienced preferred - 1 to 2 years of relevant experience* in making hand bouquets, floral arrangement and hamper packing or retail and customer service

2. love working with flowers and people and have a flare for creativity

3. able to work as a team and also independently

4. able to work on retail hours particularly from morning to afternoon on weekdays.

5. able to commit to regular weekly schedule on Weekdays day time.

6. able to work long term

7. must be able to work on critical days leading up to Mother's day (May), Valentine’s day (Feb).

8. suitable candidates may require to come for a face to face interview

9. Non experience candidates will be given opportunity to learn as you earn.*


*Training will be provided to those with no experience but must have interest and committed to work in the floristry industry for longer term. Interested please whatsapp to 8218 2702 with your resume. Thank you

Location: 188 Race Course Road (SOHO188) #01-03 Singapore 218612 (exit F of farrer park mrt)"
"Aesthetic Doctor | MBBS, MBChB, MBBCh, MD | Laser & Botox | SMC Registered | 5Days | $20000 | Orchard - 4769",THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0729193,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,"Permanent, Full Time",Professional,3 years exp,Professional Services,1,"['$10,000to$20,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Aesthetic Doctor | SMC Registered | Beauty Clinic | Orchard
Working day: 5 Days a Week (Off Day further discuss during interview)
Working Hour: 10am - 7pm
Salary Range: $15,000 - $20,000 (Depends on Experience)
Location: Orchard
Duties:
Provide professional consultation and advice with patients on skin, face, body related aesthetic concern on medical aesthetic treatments.
Perform medical aesthetic procedures such as (but not limited to) lasers and injectables.
Provide medical advice related to the company's products and services.
Maintain high standards of care for patients including consultation, treatment, review patient’s progress and follow up care.
Requirements:
Singapore Medical Council Registered
MBBS, MBChB, MBBCh, MD or equivalent
Certificates of competence for Lasers, Botox, Fillers, Devices for skin tightening
At least 1 year experience in aesthetic medicine

For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group
The Supreme HR Advisory Pte Ltd | 14C7279
Ong Boon Kiet (Travys) | R22104769
Senior Recruitment Consultant"
Senior Account Executive | Handle Transactions | Full sets | Orchard - 4769,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0729188,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,"Permanent, Full Time",Senior Executive,2 years exp,Accounting / Auditing / Taxation,1,"['$4,000to$4,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Accountant | Full sets | Senior Account Executive | Orchard

5 days, 9am-6pm
Salary: $4000 -$4500
Address: The Heeren, Orchard

Job scope:
Prepare and maintain accounting ledgers, journals and schedules
Provide support in Accounts Receivables
Maintain foreign currency rate in system
Handle GL accounts and codes
Review depreciation, assets disposal and maintain fixed assets schedules
Ensure closing is completed within stipulated timeline
Prepare month end closing and variances report including supporting schedules
Monitor cash flow to ensure healthy cash flow
Prepare periodic submission such as GST
Liaise with external auditors during annual audit
Liaise with corporate secretarial on submission of XBRL files
Assist with annual budget preparation
Any other assignments as and when assigned by the company
Requirements:
Degree or relevant studies in Accountancy
Experience in handling full sets accounting including GL

For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group
The Supreme HR Advisory Pte Ltd | 14C7279
Ong Boon Kiet (Travys) | R22104769
Senior Recruitment Consultant"
