title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Community Pharmacist - EU,RK RECRUITMENT PTE. LTD.,MCF-2023-0729346,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,"Permanent, Full Time",Executive,1 year exp,Healthcare / Pharmaceutical,1,"['$3,600to$5,500']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Job Summary:
4-5 Days per week (40h per week)
Basic up to $5500 + AWS + VB
Islandwide
Responsibility:
A registered pharmacist in accordance with relevant Acts and Regulations.
Accurately dispense prescriptions and provide interventions.
Provide support for telepharmacy services by addressing requests from Pharmacy Executives.
Observe and adhere to the Code of Ethics outlined by the Singapore Pharmacy Council.
Collaborate with other store staff and the supply chain to ensure sufficient stock levels.
Monitor product expiry dates and execute stock-taking exercises accurately.
Take direct responsibility for achieving Division A Sales target and other assigned targets.
Submit weekly, monthly reports, and other requested documentation to management.
Undertake assigned portfolios and patient care projects as directed by management.
Provide weekly PE (Pharmacy Executive) roster to the roster team (if applicable).
Request dispensing materials as needed.
Requirements:
We are seeking a registered pharmacist who is licensed with the Singapore Pharmacy Council.
The ideal candidate should possess excellent clinical competency and have a strong passion for providing and advancing pharmaceutical care.
By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by the company relating to this job application.

*We regret to inform you that only shortlisted candidates would be notified*
We wish you all the best in your career search.

You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Lee Wai Yin Eunice | EA Personnel No.: R23116005
JD178"
"Retail Pharmacist (AHPC Registered, High Pay, Training Provided)",RECRUIT EXPRESS PTE LTD,MCF-2023-0729116,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.","NGEE ANN CITY, 391A ORCHARD ROAD 238873","Contract, Permanent, Full Time",Senior Executive,3 years exp,"Healthcare / Pharmaceutical, Medical / Therapy Services, Professional Services, Public / Civil Service, Sciences / Laboratory / R&D",1,"['$4,000to$8,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description:
· Provide clinical care to patients of the pharmacy.
· Assist the pharmacy manager in the operation and management of the pharmacy.
· Provide indirect supervision for support staff and ensure adherence to all policies and procedures.
· Provide appropriate clinical care including patient counseling and prospective drug use evaluation to all patients receiving their medication therapy from the Pharmacy.
· Perform initial patient evaluation as it pertains to the prescribed therapies.
· Collect, analyze, interpret, and evaluate appropriate data relative to medication therapy.
· Evaluate the significance of signs and symptoms relative to disease processes and makes recommendations for the modification of drug therapy.
· Evaluate the significance and clinical importance of adverse reactions and complications associated with drug therapy.
· Monitor patient records for potential drug interactions as well as patient allergies.
· Provide counseling and answer questions from patients, family and health care professionals concerning drug therapy.
· Provide prescription drug therapy to patients/customers ensuring accurate labeling and dispensing of medications in a timely fashion.
· Identify and resolve patient specific medication related problems and issues in the patient’s best interest.
· Ensure dispensing of prescriptions in accordance with all legal requirements, regulatory agencies, third party contracts, and Pharmacy Services Policy and Procedures.
· Responsible for error management activities.
· Responsible for accurate and complete billing to payers.
· Utilize all technologies to ensure accuracy and efficiency in the dispensing process.
· Assist site manager in training and supervision of pharmacy support personnel as necessary.
· Provide work direction to technical personnel, prioritize assignments, ensure that tasks are completed in an accurate and timely fashion and follow-up with appropriate feedback.
· Responsible for all pharmacy operations in the pharmacy manager’s absence.
Requirements
· Min Degree in Pharmaceutical Science
· Excellent communication skills is a must
· Meticulous and able to handle numbers is a must
· Proficient in more than one language
· Proficient in Microsoft Office
· Location : Central

If you are interested in any of the positions, do kindly drop your most updated resume to leonleong@recruitexpress.com.sg (Attn: Pharmacist)

Thank You.

Leon Leong De Cong
R1551708
Recruit Express Pte Ltd (Healthcare & Lifesciences Division)
EA License: 99C4599"
Pharmacists,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,MCF-2023-0727389,"Ang Mo Kio - Thye Hua Kwan Hospital (AMK-THKH) is a leading provider of rehabilitative care in Singapore. We aim to nurture our patients to become self-reliant and assist them in their integration back into society. This is achieved with a multi-disciplinary healthcare approach towards each patient. At Ang Mo Kio - Thye Hua Kwan Hospital, we strive along our quest for clinical and service excellence, to help our patients achieve total independence at the end of their stay.",17 Ang Mo Kio Ave 9 569766,Permanent,Professional,2 years exp,Healthcare / Pharmaceutical,1,"['$3,500to$4,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Responsibilities:
Perform medications reconciliation & review, and ensure the appropriateness of patient drug therapy
Dispense medications and give appropriate medications counselling to the patients & caregivers
Provide timely and accurate drug information to healthcare professionals and patients / caregivers
Involve in the education and training of pharmacy staff and other healthcare professionals
Participate in projects/activities which support the goals of the department and hospital
Requirements:
Degree in Pharmacy
Registered Pharmacist with the Singapore Pharmacy Council
At least 2 years of experience and demonstrated competency, or with relevant post graduate qualifications
Have experience in clinical patient care practice
Strong analytical skills
Excellent interpersonal skills in working with both internal and external stakeholders"
7491 - Retail Pharmacist (5 days / Degree / Singapore Registered Pharmacist),THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0727157,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.",,Full Time,Senior Executive,3 years exp,Healthcare / Pharmaceutical,1,"['$3,500to$5,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Retail Pharmacist (5 days / Degree / Singapore Registered Pharmacist)

Interested applicants can send your resume to 8739 9469 Janie / janie_fun@thesupremehr.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.

5 day work week (10am-8pm)
Working location: Peoples’ Park Centre (Chinatown)
Salary: $3500 - $5000 depending on the experience
Staff Benefits: Annual Leave, Dental Claim, Product Incentive, Birthday Voucher, Sales Commission, Insurance, AWS
At least 5 years retail experience
Degree in Pharmaceutical and also a registered pharmacist in Singapore

Job duties:
Support the store in achieving sales target
Ensure smooth execution of planogram and price change
Execute on store promotion set up and lay out during promotion changeover
Plan and coordinate daily workflow to ensure prompt and accurate delivery
Maintain hygiene store environment
Support in all aspects of Sales and Customer service duties, such as greeting customers, providing assistance, and completing transactions, meeting and negotiating with sales people to arrange for promotional activities for items outside the dispensing counter.
Administrative duties including maintain inventory verify order entries, charges and inspections, ordering products and store supplies
Help onboard new sales assistants and train on the job to reach superior performance, monitoring team performance

Fun Jia Jia (Janie) | Reg No: R22107945
The Supreme HR Advisory Pte Ltd | EA No: 14C7279"
"FULL TIME COMMUNITY PHARMACIST | MULTIPLE LOCATIONS | UP TO $4,500 | 5 DAY WORK WEEK | (FVH)",FAST CAREER RECRUITMENT PTE. LTD.,MCF-2023-0727691,Fast Career Recruitment is a recruitment and employment agency firm that provides local placement for permanent and temporary staff to organisations and businesses. Our Teams offers fast and quality services to provide the best outcomes in the recruitment and employment of personnel from a diverse set of business sectors.,,Full Time,Fresh/entry level,1 year exp,Healthcare / Pharmaceutical,1,"['$3,700to$4,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
✨ No Experience Required! ✨

📍: Multiple Locations Available
⌛️: 4-5 days work week (rostered based on clinic requirements)
⏰: Retail Hours
💲: From $3,700 - $4,500 (based on experience)

Primary Responsibilities & Duties:
📌 Undertake all duties and responsibilities of a registered pharmacist required
📌 Dispense prescriptions accurately and do intervention(s) when necessary
📌 Provide quality customer service
📌 Ensure and upkeep the store's visual merchandise
📌 Ensure that all stock-take exercises of the dispensary are properly and accurately executed
📌 Attend and actively participate in Pharmacy Management Meetings (PPM)
📌 Able to manage the team and provide training to the staff, if required
📌 Portfolios and patient care projects as assigned by management
📌 Any other tasks as directed by the Clinic Supervisor or Manager

Skills and Qualifications:
📌 Registered Pharmacist with the Singapore Pharmacy Council
📌 Excellent clinical competency with a strong desire to provide and advance pharmaceutical care
📌 Possess a passion for people and the retail business
📌 Honesty and integrity in performing all tasks
📌 Comfortable with 5 days work week and rotating shift
📌 Good team player

Interested applicants, please WhatsApp 97577400 with the following details:
- Full Name
- Staying Location
- Earliest Start Date
- Job Title (Perm Community Pharmacist)

EA Personnel Name: Mark Chua Wei Jian
EA Personnel No: R1545007
EA License No: 16C8420"
Locum Junior Pharmacist,HST MEDICAL PTE LTD,MCF-2023-0638740,"HST MEDICAL PTE LTD HST Medical Pte Ltd is the culmination of tradition, quality, and trust that has been built up by our Heritage stores – since 1930. Now more than 80 years later, the company has grown to serve both local as well as international clients in the areas of research and development, marketing and distribution of top quality herbal products and health supplements. The company owns two major brands, each meeting distinctive needs in the market supported by TCM Clinic located at Lucky Plaza (Orchard Road) and our very own Essentials Pharmacy located in Chinatown (Singapore). Our business is built by western educated pharmacists with a strong background in TCM. Our products are currently available through retail channels in Guardian, Watsons, Nishino, Unity (NTUC FairPrice ) and Mustafa Singapore.",,Temporary,Junior Executive,1 year exp,Healthcare / Pharmaceutical,1,['$28to$32'],Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Roles & Responsibilities
Be on the premises at all times throughout their contracted working hours, to provide pharmacy services
Ensure the highest professional standards of counter prescribing and Medicines Protocol implementation
a. Preparing medication by reviewing and interpreting physicians’ orders, detecting incompatibilities.
b. Dispenses medication by compounding, packaging and labelling pharmaceuticals
c. Handle direct customers and patients and provide professional counselling and advice on health issues, symptoms, and medications
Ensure confidentiality of information concerning customers and staff
Ensure all prescriptions are fully and accurately endorsed.
Complete all paperwork requirements accurately on time.
Ensure all procedures are conform to legal requirements
Plan and coordinate daily workflow to ensure prompt and accurate delivery
Maintain highest hygiene environment
Maintain proper inventory
Verify order entries, charges and inspections
Comply with the code of ethics as laid down by the Singapore Pharmacy Council (SPC)
Complete the requisite amount of Continuing Professional Development (CPD) as laid down by the SPC
Multitask and maintain good collaboration relationship with Essentials Store Manager and HST"
Pre-Registration Pharmacist,WATSON'S PERSONAL CARE STORES PTE LTD,MCF-2023-0638752,"Watsons Singapore is part of A.S. Watson Group, the world’s largest international health and beauty retailer operating over 16,000 stores under 12 retail brands in 28 markets, with over 130,000 employees worldwide. For the fiscal year 2022, A.S. Watson Group recorded revenue of US$22 billion. Every year, we are serving over 5.5 billion shoppers via our O+O (Offline plus Online) technology-enabled platforms. Watsons is the leading O+O (Offline plus Online) health and beauty retailer in Asia, currently operating 8,000 stores and more than 1,500 pharmacies in 15 markets across Asia, Europe and the Middle East. In Singapore, Watsons operates close to 100 stores located islandwide. Aligned with its philosophy of bringing ‘more’ to customers’ lives, Watsons strives to bring the best in beauty and health products to consumers at affordable prices. Watsons continually sets the standards in the health, wellness and beauty market, providing personalised advice and counselling in health, beauty and personal care on top of its market-leading product range, making customers LOOK GOOD, DO GOOD, FEEL GREAT every day.",,"Contract, Permanent, Full Time",Professional,2 years exp,"Healthcare / Pharmaceutical, Personal Care / Beauty, Sales / Retail",1,"['$2,600to$3,200']",Monthly,3 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
We’re hiring Registered Pharmacists to be based in SINGAPORE
(S$10,000 SIGN ON BONUS AWAITS FOR SUCCESSFUL CANDIDATES)

What awaits you:

We are looking for community pharmacists with great clinical, professional and management skills. Pharmacists who can bring real commerciality and leadership to our pharmacy and who will inspire every person who works there to deliver exceptional service and exceed targets. As the pharmacist on-site, you will be responsible for delivering great professional service, stock management, and operational standards.
Without a doubt, your job scope will go beyond the dispensary. You will be part of our clinical team and have the opportunity to be involved in patient care studies and the enhancement and development of pharmacy services. The community pharmacy landscape is changing robustly and we welcome passionate and driven pharmacists to join us as healthcare champions.
Our pharmacists are very important to us and they form an integral part of the company. We believe in people development and career progression and we will support in grooming your professional and commercial skills.
Come join us for a great experience that will prepare you for even bigger challenges.

We are excited about you if you have:
Graduated with a Pharmacy Degree in Malaysia/Taiwan
Good communication and interpersonal skills
Enthusiastic, proactive, passionate in pharmacy profession and have genuine interest in community pharmacy practices.
Positive working attitude, passionate about Pharmacist profession
Able to interact well with all levels of people and management
Willing to work on weekend and public holidays
For more information, please visit and follow our LinkedIn Page https://www.linkedin.com/company/watsons-personal-care-stores-pte-ltd/ for exciting updates."
Senior Pharmacist / Pharmacist @ NHG Pharmacy,NATIONAL HEALTHCARE GROUP PHARMACY,MCF-2023-0723307,"NATIONAL HEALTHCARE GROUP PHARMACY NHG Pharmacy, a business unit of National Healthcare Group (NHG), manages the pharmacy services and retail pharmacies at all NHG and NUP Polyclinics. We are also the leading provider of pharmacy services in the long-term care sector. Our mission is to promote the safe, effective and responsible use of medication. Our team of pharmacists provides clinical pharmacy services to help customers achieve the best results for their prescribed therapy by working with other members of the healthcare team. Conveniently located in heartlands, our retail pharmacies offer an array of quality and affordable healthcare essentials. We constantly innovate with an aim to make a difference in the care of customers, to add more years of health to their lives.",,"Permanent, Full Time",Senior Executive,3 years exp,Healthcare / Pharmaceutical,1,"['$3,400to$6,600']",Monthly,0 application,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
You will be responsible for:
Providing pharmaceutical care services by ensuring optimal patient outcomes.
Providing safe and efficient pharmacy services (counselling and dispensing) services to ensure that drugs are dispensed accurately according to protocol and legal requirements.
Ensuring smooth daily operations and profitability of the pharmacy at the polyclinics.
The training and supervision of pharmacy staff
Qualifications and Requirements:
Degree in Pharmacy and registered as a Pharmacist with Singapore Pharmacy Council
Work experience in direct patient care is an advantage
Possess good initiative, drive and ability to work effectively in a team in a fast-paced environment
Possess good organizational, problem-solving and excellent communication skills
Our NHG Polyclinic locations:
Ang Mo Kio
Geylang
Hougang
Kallang
Toa Payoh
Woodlands
Yishun
Sembawang (upcoming)
Khatib (upcoming)
NHG Pharmacy is committed to recruit, retain and develop staff to their fullest potential. If you have previous working experience in the healthcare industry or are interested to build a career in this exciting industry, we would like to invite you to join us."
"Senior Pharmacist / Pharmacist, Pharmacy Services Centre",NATIONAL HEALTHCARE GROUP PHARMACY,MCF-2023-0723318,"NATIONAL HEALTHCARE GROUP PHARMACY NHG Pharmacy, a business unit of National Healthcare Group (NHG), manages the pharmacy services and retail pharmacies at all NHG and NUP Polyclinics. We are also the leading provider of pharmacy services in the long-term care sector. Our mission is to promote the safe, effective and responsible use of medication. Our team of pharmacists provides clinical pharmacy services to help customers achieve the best results for their prescribed therapy by working with other members of the healthcare team. Conveniently located in heartlands, our retail pharmacies offer an array of quality and affordable healthcare essentials. We constantly innovate with an aim to make a difference in the care of customers, to add more years of health to their lives.",,Permanent,Senior Executive,3 years exp,Healthcare / Pharmaceutical,1,"['$3,500to$5,500']",Monthly,0 application,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
The selected applicant will be stationed at Pharmacy Services Centre, PSC (located at Buangkok Green Medical Park).

Job Responsibilities
Manage the operation of multi-dose medication supply services
Set up of medication management system at new ILTC facilities
Accountable for the accurate and timely dispensing of medicine to the right patient
Provide pharmaceutical care services to Intermediate, Long-term care (ILTC) facilities & day centers
Provide quality customer service
Staff Training & Development
Qualifications
Degree in Pharmacy and registered as a Pharmacist with Singapore Pharmacy Council
2-3 years of relevant working experience in pharmacy operations
Experience in managing a team or providing pharmaceutical care services to nursing homes/daycares is an advantage.
Job Requirements
Keep abreast of changing medical treatments by attending continuing education talks and seminars
Achieve mandatory Continuing Professional Development (CPD) points and target training hours per year
Demonstrate the ability to communicate information and ideas well to pharmacy colleagues, other healthcare professionals, and patients
Personal Attributes
Must have initiative, drive, and ability to work in a fast-paced environment
Must be team-oriented
Possess good organizational, and analytical skills
Have excellent communication skills"
Pharmacist (SIGN ON BONUS $3000),WATSON'S PERSONAL CARE STORES PTE LTD,MCF-2023-0638748,"Watsons Singapore is part of A.S. Watson Group, the world’s largest international health and beauty retailer operating over 16,000 stores under 12 retail brands in 28 markets, with over 130,000 employees worldwide. For the fiscal year 2022, A.S. Watson Group recorded revenue of US$22 billion. Every year, we are serving over 5.5 billion shoppers via our O+O (Offline plus Online) technology-enabled platforms. Watsons is the leading O+O (Offline plus Online) health and beauty retailer in Asia, currently operating 8,000 stores and more than 1,500 pharmacies in 15 markets across Asia, Europe and the Middle East. In Singapore, Watsons operates close to 100 stores located islandwide. Aligned with its philosophy of bringing ‘more’ to customers’ lives, Watsons strives to bring the best in beauty and health products to consumers at affordable prices. Watsons continually sets the standards in the health, wellness and beauty market, providing personalised advice and counselling in health, beauty and personal care on top of its market-leading product range, making customers LOOK GOOD, DO GOOD, FEEL GREAT every day.",,"Part Time, Permanent, Full Time",Professional,1 year exp,"Environment / Health, Healthcare / Pharmaceutical",1,"['$3,600to$6,500']",Monthly,3 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
PHARMACIST
(SIGN ON BONUS OF $3000)

What awaits you:
We are looking for community pharmacists with great clinical, professional and management skills. Pharmacists who can bring real commerciality and leadership to our pharmacy and who will inspire every person who works there to deliver exceptional service and exceed targets. As the pharmacist on site you will be responsible for delivering great professional service, stock management, operational standards.
Without a doubt, your job scope will go beyond the dispensary. You will be part of our clinical team and have the opportunity to be involved in patient care studies and the enhancement and development of pharmacy services. The community pharmacy landscape is changing robustly and we welcome passionate and driven pharmacists to join us as healthcare champions.
Our pharmacists are very important to us and they form an integral part of the company. We believe in people development and career progression and we will support in grooming your professional and commercial skills.
Come join us for a great experience that will prepare you for even bigger challenges.

We are excited about you if you have:
· A registered pharmacist with the Singapore Pharmacy Council
· Excellent clinical competency with a strong desire to provide and advance pharmaceutical care
· Possess passion for people and the retail business
· Confident, energetic, resourceful and self-motivated
· Digitally Inclined
· 4/5-day work week

Watson Singapore also welcome candidates who are holding a foreign Pharmacy degree from any Malaysia University/Taiwan University and is a registered pharmacist in their home country to apply too!"
