title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Procurement Executive (Global Manufacturing MNC),RECRUITPEDIA PTE. LTD.,MCF-2023-0728421,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Junior Executive,2 years exp,"Logistics / Supply Chain, Manufacturing",1,"['$3,000to$5,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Our client is a Manufacturing MNC, one of the leading players in the Oil & Gas sector. Due to business needs, they are now recruiting a Procurement Specialist to be part of their Procurement team for ongoing transformation projects. They are located in the West – easily accessible.

The Responsible of Procurement Specialist are:
Responsible for tactical sourcing of new parts to new and existing approved vendor list suppliers
Responsible for price analysis and lead time negotiation with new suppliers
Responsible for the negotiation to ensure and improve suppliers' price competitiveness, lead-time and on time delivery
Responsible for RFQ (Request For Quotation)
Responsible for creating Supplier contracts and negotiating for the terms and maintain Agreements in SAP
Responsible for vendor management to ensure approved vendors meet the delivery, quality and cost standards
Responsible to provide customers with solutions and internal cross functional teams, for cost effectiveness
Job Requirements:
Minimum 2 years of procurement experience
Minimum diploma and above
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email: jobs@recruitpedia.sg

Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R2198636 (Oh Puey Xin)"
Procurement Specialist (Policy) | Gov sector - AA,BGC GROUP PTE. LTD.,MCF-2023-0726340,"BGC Group is an international recruitment and manpower outsourcing firm that identifies and delivers human capital solutions that imperative to every successful company’s growth. Having helped 25,000 individuals quickly land rewarding careers in companies that drive industries since our inception in 2005, we believe in developing relationships based on a solid ground of trust between both employers and job-seekers. This is what differentiates us and gives us a competitive edge from the rest. Staying true to our vision of Bridging & Growing Careers Because We Care, we are now proudly listed under Omnibridge Holdings on the Hong Kong Stock Exchange (08462:HK) in 2017.","CENTRAL PLAZA, 298 TIONG BAHRU ROAD 168730",Permanent,Executive,2 years exp,"Admin / Secretarial, Logistics / Supply Chain, Purchasing / Merchandising",1,"['$4,000to$8,000']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Key Highlights
· Exposure in the government sector
· Perm full-time.
· Nearest MRT: One-North / Novena MRT
· Working Hours: Mon- Fri (office hours)
· Salary: Up to $8200/month

Key Responsibilities
· Administer the procurement policy and governance function
· Conduct development, revisions, and improvement of Procurement Resource Materials based on government policy
· Operationalise procurement policies and SOPs to promote good procurement practices within the organization
· Develop procurement governance framework and identify high risk areas
· Perform audit activities and review reports

Requirements
· Min Degree with at least 2 years of procurement experience. Previous experience in the government sector
· Strong analytical skills

Interested candidates please email to afiq.alwi@bgc-group.com. We regret to inform you that only shortlisted candidates will be contacted for further discussion.

Afiq Alwi
BGC Group Pte Ltd
Registration Number: R22107714
EA Number: 05C3053"
Procurement Executive (Global Manufacturing MNC),RECRUITPEDIA PTE. LTD.,MCF-2023-0727463,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Junior Executive,2 years exp,"Logistics / Supply Chain, Manufacturing",1,"['$3,000to$5,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Our client is a Manufacturing MNC, one of the leading players in the Oil & Gas sector. Due to business needs, they are now recruiting a Procurement Specialist to be part of their Procurement team for ongoing transformation projects. They are located in the West – easily accessible.

The Responsible of Procurement Specialist are:
Responsible for tactical sourcing of new parts to new and existing approved vendor list suppliers
Responsible for price analysis and lead time negotiation with new suppliers
Responsible for the negotiation to ensure and improve suppliers' price competitiveness, lead-time and on time delivery
Responsible for RFQ (Request For Quotation)
Responsible for creating Supplier contracts and negotiating for the terms and maintain Agreements in SAP
Responsible for vendor management to ensure approved vendors meet the delivery, quality and cost standards
Responsible to provide customers with solutions and internal cross functional teams, for cost effectiveness
Job Requirements:
Minimum 2 years of procurement experience
Minimum diploma and above
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email: jobs@recruitpedia.sg

Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R2198636 (Oh Puey Xin)"
Senior Procurement Executive / Supply Chain Specialist,CAREERSTAR INTERNATIONAL PTE. LTD.,MCF-2023-0727932,CAREERSTAR INTERNATIONAL PTE. LTD.,,Full Time,Senior Executive,3 years exp,Logistics / Supply Chain,1,"['$3,800to$5,200']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Procurement & Inventory Planning
• Design and maintain a monthly statistical and inventory consumption forecast for all clinics.
• Manage inventory forecasts to ensure no shortage of materials for operations and maintain healthy stock levels to eliminate waste.
• Identification of slow-moving and obsolete inventory to ensure inventory level & expiry or obsolescence of materials is kept to a minimum level.
• Conduct inventory check and update inventory for accurate tracking. Review and reconcile inventory discrepancies, generate variance reports for review.
• Coordinate inventory issues & raise purchase requisition for purchase of materials / equipment needs for the operations timely.
• Work with relevant parties for 2nd source materials & cost excellence continuous improvement projects.
• Participate and analyze forecast demand fluctuations and analyze its impact to operation support.
• Report tracking of actual inventory to business plan, root cause analysis and corrective action plans for variances, implementation of cost reduction opportunities while ensuring no impact to operation objectives.

Reporting, Policies & Implementation
• Streamline, develop & implement policies, operational procedures and metrics to maximize efficiency in managing the inventory shortages & ensure operation demand fulfillment.
• Develop and maintain key performance metrics
• Ability to perform/monitor business activities' results, perform data/cost analysis towards areas of competitiveness. Ability to interpretate them, identify areas of opportunity, make recommendations and construct viable solutions to optimize supply chain efficiency, cost improvement.
• Ensure business controls are in place to comply with the company’s requirements and processes are in compliance to regulatory requirements; such as HSA regulations.. etc

Logistics
• Monitor transportation schedules, logistics staff and vendor performance
• Continuously review, plan, and evaluate warehouse and distribution activities, work methods, cost-effectiveness, staff performance, and overall efficiencies.
• Maintain optimum space utilisation and constantly review material handling and flow methods to increase productivity and ensure a smooth operational process.
• Ensure warehouse operations comply with all internal and external audit requirements and legislations.
• Liaise with clinics to ensure delivery commitment.
• Maintain reports of delivery activities and schedules.
• Coordinate shipments & Planning.
Changes to individual responsibilities may occur due to business needs & adhoc situations.

Qualifications
• Diploma or higher required. Supply Chain, Business or related disciplines will be a plus.
• At least 2- 3 years’ experience in inventory management and cost control
• Experience candidates may be considered for Assistant or managerial role.
• Knowledge of Microsoft Excel and Outlook required. Example: VLookup function, if function, pivot tables and charts.
• Well organized and detail oriented.
• Good analytical skills and proactive attitude.
• Team player and able to build effective working relationships with all stakeholders.
• Able to work under pressure, with ability to provide solutions and to manage risks effectively.
• Self-driven and motivated individual, able to prioritize tasks and meet deadlines.

For interested applicants, please email your UPDATED CV in Microsoft Word format to agnes@careerstar.com.sg or contact to my office +65 67458100.

We regret that only shortlisted candidates will be notified.

Careerstar International Pte Ltd
EA License No: 03C3254
EA Personnel No: R23115696
EA Personnel Name: Chin Lee Wei"
Procurement Executive (Global Manufacturing MNC),RECRUITPEDIA PTE. LTD.,MCF-2023-0723786,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Junior Executive,2 years exp,"Logistics / Supply Chain, Manufacturing",1,"['$3,000to$5,000']",Monthly,1 application,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Our client is a Manufacturing MNC, one of the leading players in the Oil & Gas sector. Due to business needs, they are now recruiting a Procurement Specialist to be part of their Procurement team for ongoing transformation projects. They are located in the West – easily accessible.

The Responsible of Procurement Specialist are:
Responsible for tactical sourcing of new parts to new and existing approved vendor list suppliers
Responsible for price analysis and lead time negotiation with new suppliers
Responsible for the negotiation to ensure and improve suppliers' price competitiveness, lead-time and on time delivery
Responsible for RFQ (Request For Quotation)
Responsible for creating Supplier contracts and negotiating for the terms and maintain Agreements in SAP
Responsible for vendor management to ensure approved vendors meet the delivery, quality and cost standards
Responsible to provide customers with solutions and internal cross functional teams, for cost effectiveness
Job Requirements:
Minimum 2 years of procurement experience
Minimum diploma and above
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email: jobs@recruitpedia.sg

Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R2198636 (Oh Puey Xin)"
Purchasing Specialist - Procurement (Up to $4000 / Gul Circle),ADECCO PERSONNEL PTE LTD,MCF-2023-0721838,"The Adecco Group is the world's leading provider of HR solutions. With over 35,000 FTE employees and over 5,200 branches, in over 60 countries and territories around the world, we offer a wide variety of services, connecting more than 650,000 associates with over 100,000 clients every day. The services we offer fall into the broad categories of temporary staffing, permanent placement, career transition and talent development, as well as outsourcing and consulting. The Adecco Group is based in Zurich-Glattbrugg, Switzerland and we are a Fortune Global 500 company listed on the SIX Swiss Exchange.",,"Contract, Full Time",Executive,2 years exp,Purchasing / Merchandising,1,"['$3,800to$4,000']",Monthly,0 application,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
The Opportunity
Our Client, an US MNC in the Oil & Gas industry
They are currently looking to expand the Procurement/Purchasing/Buying team with the addition of a Buyer/Procurement Exec
Work Location: Gul Cir, Singapore
Monday to Friday, 7:30am - 4:45pm
12 month contract (Renewable & Convertible)
Bonus!

The Talent
Min Diploma/Degree in Mechanical Engineering, Logistic, Supply Chain Management or equivalent
Must have 3 to 5 years minimum experience in Purchasing, Procurement or related function
Knowledge of handling sourcing systems, MfgPro, Oracle
Basic knowledge of local supplier landscape
Problem solving and interpersonal skills
Experience handle/follow up high volumn of PO
Exposure in Six Sigma is added advantage

The Job
Handling the full spectrum and cycle of Buying, Purchasing, Procurement
Supporting quotation requests for Sales/Plant needs
Liaison between purchasing and plant
Maintaining the Work Order release schedule, ensuring efficient coordination between production, project management, engineering, shipping, achieve the requirement performance levels
Has experience to purchase materials and services that comply with agree, using contract/standard pricing with suppliers
Night calls, 2 to 3 times per week

Next Step
Interested candidates can Whatsapp me at 8206 8857 or email to edmond.lee@adecco.com with details below:
1.Full Name
2.Residential Area
3.Work commit period
4.Updated Resume
5.Availability"
Procurement Executive (Global Manufacturing MNC),RECRUITPEDIA PTE. LTD.,MCF-2023-0720735,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Junior Executive,2 years exp,"Logistics / Supply Chain, Manufacturing",1,"['$3,000to$5,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Our client is a Manufacturing MNC, one of the leading players in the Oil & Gas sector. Due to business needs, they are now recruiting a Procurement Specialist to be part of their Procurement team for ongoing transformation projects. They are located in the West – easily accessible.

The Responsible of Procurement Specialist are:
Responsible for tactical sourcing of new parts to new and existing approved vendor list suppliers
Responsible for price analysis and lead time negotiation with new suppliers
Responsible for the negotiation to ensure and improve suppliers' price competitiveness, lead-time and on time delivery
Responsible for RFQ (Request For Quotation)
Responsible for creating Supplier contracts and negotiating for the terms and maintain Agreements in SAP
Responsible for vendor management to ensure approved vendors meet the delivery, quality and cost standards
Responsible to provide customers with solutions and internal cross functional teams, for cost effectiveness
Job Requirements:
Minimum 2 years of procurement experience
Minimum diploma and above
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email: jobs@recruitpedia.sg

Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R2198636 (Oh Puey Xin)"
1 year contract procurement specialist / order processing - Up to $2.3K #HKH,RECRUIT EXPRESS PTE LTD,MCF-2023-0720995,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.",,"Contract, Permanent, Full Time",Junior Executive,1 year exp,"Logistics / Supply Chain, Purchasing / Merchandising",1,"['$2,000to$2,300']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Invoice Processing
Check, sort and process invoices and verify them against SAP system.
Alert Procurement Team if mistakes are spotted.
Liaise with vendors and users for invoices, credit note, installation dates etc.
Obtain approval and signatures from users/managers.
Print, scan, re-index and save documents into Therefore system and S Drive before filing them up
Assist Procurement and Accounts Teams with month end and year end account closing.
Assist with quarterly common stock take.
Assist in other ad-hoc procurement related duties.
Vendor Database
Request and ensure new vendors fill up the Vendor Registration form before sharing details with Accounts
Assistant to create accounts in the SAP system for new vendors.
Save a copy of the Vendor Registration form in S drive.
Purchase Order Processing
Review purchase requisitions for completeness and accuracy.
Follow up on discrepancies with the initiating party/user.
Identify suitable vendors for the requested items, including corresponding with them on prices, product availability and delivery.
Review quotations provided and check offered prices against past purchase records.
Update the price lists when necessary.
Communicate and negotiate with vendors for improved purchase terms, including reduction in price.
Process requisitions into purchase orders using the SAP system and any change orders within 24 hours upon receipt of final confirmation from initiating party/user.
Ensure that all purchase orders are approved by the appropriate authority daily.
Send approved purchase orders to vendors and to users initiating the requests.
Follow up with vendors to ensure that orders are shipped and delivered on promised dates or to expedite deliveries based on users’ requests.
Respond to users’ inquiries about order status, changes, or cancellations.
Requirements
Min N / O level
Able to start work immediately
Min 1 to 2 years of exp in procurement / order processing / admin
Up to $2.3K
US MNC

Interested candidates, please forward your resume to kevynhuang@recruitexpress.com.sg

Consultant: Huang Jingsheng Kevyn (R1333338)
Recruit Express Pte Ltd (99C4599)
Recruiter Ref code: #HKH"
"Procurement Specialist, Asia - Latin America Trade",DSV AIR & SEA SINGAPORE PTE. LTD.,MCF-2023-0716811,"Company Overview Do you want to be part of something 60,000 times bigger than you? That’s how many colleagues you’ll have on a journey towards connecting the world and making your mark. DSV provides and manages supply chain solutions for thousands of companies every day – from the small family run business to the large global corporation. We are freight forwarders, salespeople, accountants, fork lift drivers, IT engineers, specialists and countless others – and we all made the choice to forward our careers. We believe that people are able to achieve their potential if they take ownership of their own career. That’s why we’ll give you every opportunity to do just that. People are at the core of who we are - the drive, talent and devotion they bring to the table every day are what make DSV the exciting place it is. It’s a dynamic and fast-moving environment with rapid decisions at every level – where ambition meets teamwork in an effort to face challenges, succeed, move forward and make a difference. We care about your opportunity to influence the path of your career, whether you want to advance locally or look for adventures abroad. With a massive global reach and offices in more than 90 countries, the opportunities are plenty. If you have the right drive, the right talent and enjoy responsibility, we’ll give you the support you need to explore the reach of your potential. DSV is organized into three divisions – Air & Sea, Road and Solutions – offering the complete range of services to support our customer’s entire supply chain. In Asia Pacific, we have 68 office locations employing 6,000 people engaged in core activities in Air Freight, Sea Freight, Road, Rail and Projects. We're looking for people who want to make a difference. If that's you, then we want to hear from you! Join us and forward your career at DSV.",,Permanent,Senior Executive,5 years exp,Logistics / Supply Chain,1,"['$6,500to$10,000']",Monthly,20 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Job Overview
The role involves managing daily procurement, pricing, and contract information activities for FCL shipments in Asia Latam Eastbound region. Additionally, the position requires active participation in freight and space negotiations, monitoring country's carrier compliance and assessing the performance of origin and destination against service agreements. If necessary, corrective measures should be implemented. Building and maintaining strong relationships with core carriers and supporting trade developemnt and growth are also essential responsibilities.

Essential Duties and Responsibilities
Develop FCL ocean product for Asia to Latin America under corporate direction and guidance from Trade Lead
Assist in monitoring volume performance of key accounts in response to Trade Strategy and Policy
Identify opportunities to grow the trade and escalate matters for resolution and corrective actions
Ensure valid and accurate FAK rates from core carriers
Upload FAK contracts and NAC rate details in GPM system
Set regular cadence around floating market feedback to carriers ans pursuit of optimal FAK position
Communicate ans share relevant market information/ updates to all involved stakeholders
Independently executes commercial and operational tasks and exceptions in accordance with agreed carrier strategy
Provide other administrative suppport relevant to the trade/ team within scope
Negotiate freight, space, equipment and allocation with shipping lines
Support country offices with rate inquiries, quotations and solutions
Follow up space issues or any other disputes/ cases with carriers and internal parties
Process tender and bidding tasks and ensure its timely and accurate completion/ submission
Support on preparing carrier assignment/ routing guide upon business award and contract filing
Qualifications
Strong analytical skills and knowledge of fundamental negotiation, procurement experience, along with customer and stakeholder relationships will be the key to the success of this role
Solid industry knowledge with an in-depth understanding of ocean freight and carrier management
With at least 5 years of working experiences in Ocean Freight Forwarding Industry or Ocean Liners
Excellent communication, interpersonal, organizational skills and strong commercial sense
Proficiency in MS Office, particularly excel
Responsible, detail-oriented, self-starter, able to work independently, diligent in follow up and completion"
1 year contract Site Procurement Specialist #HMS,RECRUIT EXPRESS PTE LTD,MCF-2023-0715232,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.",,Contract,Junior Executive,2 years exp,Healthcare / Pharmaceutical,1,"['$2,100to$2,300']",Monthly,0 application,Posted 19 Sep 2023,Closing on 03 Oct 2023,"Roles & Responsibilities
Location at Biopolis (Beside Buona Vista station)
Office Hours Mon to Fri
Expected salary: $2100 - $2300.

Sharing more of my expectation. My current staff on site now has no prior SAP B1 background but she has experience namely in Customer Services and Admin role. However, it is her portfolio of working as a Legal Secretary and Financial and Accounting Temp Assistant draw me to her and eventually hire her. To date, her work performance is to our satisfaction as well as that of customers.

Interested candidates, do submit your resume to: jocelynchan@recruitexpress.com.sg
Telegram me at @jocelynchan

Jocelyn Chan
Recruit Express Pte Ltd (Healthcare & Lifescience)
Company EA Licence number : 99C4599
Personnel EA License: R1331820
jocelynchan@recruitexpress.com.sg"
