title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Assistant Producer,ATYPICALFILMS PTE. LTD.,MCF-2023-0722789,"A boutique film production company that specialises in commercials, films, content and concepts since 2016",52 HORNE ROAD 209071,Permanent,Junior Executive,,Advertising / Media,1,"['$1,800to$3,200']",Monthly,5 applications,Posted 21 Sep 2023,Closing on 12 Oct 2023,"Roles & Responsibilities
Passionate about the world of film and eager to dive into the fast-paced world of production? Are you a quick thinker who thrives in high-stress situations and loves collaborating with a talented team? Atypicalfilms, a premiere film production house that specialises in commercial work is looking for an Assistant Producer to join our team. Someone who's bursting with enthusiasm, a strong work ethic, boundless appetite for learning, and a personality that can light up a room. Experience is optional, but a zest for life is a must.
Support Production: Assist the production team in all aspects of creating commercials, from pre-production planning to post-production.
Scheduling and Coordination: Help manage schedules, coordinate shoots, and liaise with clients, crew, and talent to ensure smooth production operations.
Administrative Tasks: Handle paperwork, contracts, and other administrative duties related to production projects.
Location Scouting: Assist in scouting and securing suitable locations for shoots, including permits and logistical arrangements.
Equipment and Supplies: Assist in organizing and maintaining production equipment and supplies.
Budget Tracking: Work with the production team to track project budgets and expenses.
Problem Solving: Be prepared to handle unexpected challenges and problem-solve on the spot to keep productions on track.
Research and Development: Stay up-to-date with industry trends and research to contribute innovative ideas to production projects.
A burning passion for commercial production.
Exceptional organizational skills to keep our creative chaos in check.
Superb communication and people skills, making you a master of collaboration.
A cool demeanor under pressure - you're the iceberg that doesn't melt.
A willingness to learn and adapt faster than a chameleon on a rainbow.
An undeniably positive and can-do attitude that's infectious to everyone around you.
All of these and more? Or none of these but curious anyway? email me at dezzo@atf.sg and we can chat and see if this is the career you never knew you wanted."
Senior Video Producer,DOW JONES & COMPANY (SINGAPORE) PTE LTD,MCF-2023-0724310,"When you join Dow Jones, you become part of one of the most dynamic, creative and savvy news and information companies in the world. As a global provider of news and business information, we deliver content to consumers and organizations via newswires, websites, newspapers, apps, conferences, newsletters, databases, magazines, radio and video. Dow Jones has produced unrivaled quality content for more than 125 years and today has one of the world’s largest news-gathering operations with almost 2,000 journalists in more than 80 bureaus, including The Wall Street Journal, America’s largest newspaper by paid circulation. Other premier brands include Barron's, MarketWatch, DJ Newswires, Factiva and DJ Risk & Compliance. We continually develop technology to transform information into insight and prosperity. Dow Jones publishes in 13 languages and distributes content in 28 languages, combining technology with news and data to support business decision making.","CAPITAGREEN, 138 MARKET STREET 048946","Permanent, Full Time",Executive,5 years exp,Others,1,"['$6,000to$11,000']",Monthly,6 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
The Wall Street Journal is looking for a Senior Video Producer to join the APAC video team in Singapore to produce clear, compelling and timely features, explainer videos and news coverage. You will pitch story ideas and deliver topical, news-driven, in-depth videos that have a focus on WSJ’s core coverage areas, with a focus on global stories out of the Asia-Pacific region. The ideal candidate will have experience covering China across a broad range of topics from its economy and markets to politics and technology.
This role requires exceptional story development, shooting and editing skills plus a proven track record of using footage and motion graphics to create visually-rich videos that bring clarity to complicated topics. We are looking for a journalist who will combine solid news judgment and creative execution to produce quality video journalism on deadline. You will be tapped to juggle different tasks and projects as news events require. Please note that this is not an entry-level position and it isn’t a position producing documentaries.
You will:
Pitch, research, report and script timely features, explainer videos and news coverage.
Manage every aspect of video production from ideation to post-production and ensure timely delivery under tight deadlines.
Have an eye for visuals and find creative ways to tell stories, using high-quality video, graphics and props.
Develop story ideas from the APAC region with a keen eye on China but also maintain a pulse on U.S. news developments in order to pitch stories with broader resonance.
Partner with colleagues across the newsroom to identify opportunities to produce visually distinctive videos across platforms.
Shoot videos in the studio, remotely and in the field, produce motion graphics, edit and publish.
Manage multiple projects in different stages of production.
Ensure that all journalistic and legal standards are followed.
Be able to work late hours or weekends as news developments warrant and as part of a regular rotation schedule.
You have:
At least five years of experience producing videos in a daily news environment, preferably at a global news organization.
A deep understanding of and an interest in the Wall Street Journal's core topic areas, as well as strong editorial judgment and knowledge of news from China and the broader APAC region.
The ability to work well across a newsroom and communicate with exceptional written and collaboration skills.
A professional-level understanding of Adobe Suite, with a high level of expertise in Premiere, After Effects, Photoshop and Illustrator.
Experience with multiple camera setups, including but not limited to the Sony FS5, FS7 and A7S. Ability to set up lights in the studio and in the field.
Strong organizational and time-management skills."
Photo & Video Project Coordinator,VIVID MEDIA PTE. LTD.,MCF-2023-0682287,Vivid Media is a media production company based in Singapore and serving clients worldwide. We are focused on delivering video production services for organisations locally and abroad.,30 KALLANG PLACE 339159,"Permanent, Full Time",Executive,1 year exp,"Advertising / Media, Customer Service, Entertainment, Events / Promotions, Marketing / Public Relations",1,"['$1,800to$3,000']",Monthly,6 applications,Posted 06 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Project Coordinator
When you join us, you work with a team of young creative professionals. We are not afraid to do things a little different from the convention. We look for passionate individuals who want to join us in making a difference.
As a Project Coordinator, you are the first point of contact for our clients. You will work closely with our team to deliver works that meet & exceed client’s expectations.
Success will be measured against the trust established within the team, together with the proactive demonstration of problem-solving skills and willingness to use initiative and common sense.
Job Scope
Manage & execute video production, live stream & event projects from start to finish
Work closely with team members to achieve project objectives
Plan and manage production schedule
Send quotation & follow-up with clients
Ensuring client’s requirements are always met
Digital file management and other admin tasks
You will be out & about wherever projects take you
If you are required to work on Saturday, Sunday & PH, off-in-lieu will be provided.
Job Requirements
Good planning and organisational skills
Positive attitude toward problem solving
Have a keen interest in the media industry
Good verbal and written communication skills
Able to use initiative and common sense to find solutions to problems
Other Details/Benefits
Medical benefits will be provided after your probation period.
You will start with 14 days of annual leave, and you will receive 1 annual leave day increment for every 2 years worked, up to a maximum of 18 days per year.
You will work in a trust oriented environment, integrity is very important.
You will be working in the office half the time, and out for projects during other times."
Senior Video Producer,"DOW JONES AER COMPANY, INC. (SINGAPORE BRANCH)",MCF-2023-0724290,"Dow Jones & Company is a global provider of news and business information, delivering content to consumers and organizations via newspapers, web sites, apps, video, newsletters, magazines, proprietary databases, conferences, and radio. Dow Jones has produced unrivaled quality content for over 100 years and today has one of the world’s largest news-gathering operations with 2,000 journalists in more than 50 countries, including The Wall Street Journal, America’s largest newspaper by total average circulation. Other premier brands include Barron’s, MarketWatch, Factiva, Dow Jones Risk & Compliance, Dow Jones VentureSource, and All Things Digital. Its information services publish in 13 languages and distribute content in 28 languages, combining technology with news and data to support business decision making. The company pioneered the first successful paid online news site and its industry leading innovation enables it to serve customers wherever they may be, via the web, mobile devices, Internet-connected televisions, and tablets.","CAPITAGREEN, 138 MARKET STREET 048946","Permanent, Full Time",Executive,5 years exp,Others,1,"['$6,000to$11,000']",Monthly,4 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
The Wall Street Journal is looking for a Senior Video Producer to join the APAC video team in Singapore to produce clear, compelling and timely features, explainer videos and news coverage. You will pitch story ideas and deliver topical, news-driven, in-depth videos that have a focus on WSJ’s core coverage areas, with a focus on global stories out of the Asia-Pacific region. The ideal candidate will have experience covering China across a broad range of topics from its economy and markets to politics and technology.
This role requires exceptional story development, shooting and editing skills plus a proven track record of using footage and motion graphics to create visually-rich videos that bring clarity to complicated topics. We are looking for a journalist who will combine solid news judgment and creative execution to produce quality video journalism on deadline. You will be tapped to juggle different tasks and projects as news events require. Please note that this is not an entry-level position and it isn’t a position producing documentaries.
You will:
Pitch, research, report and script timely features, explainer videos and news coverage.
Manage every aspect of video production from ideation to post-production and ensure timely delivery under tight deadlines.
Have an eye for visuals and find creative ways to tell stories, using high-quality video, graphics and props.
Develop story ideas from the APAC region with a keen eye on China but also maintain a pulse on U.S. news developments in order to pitch stories with broader resonance.
Partner with colleagues across the newsroom to identify opportunities to produce visually distinctive videos across platforms.
Shoot videos in the studio, remotely and in the field, produce motion graphics, edit and publish.
Manage multiple projects in different stages of production.
Ensure that all journalistic and legal standards are followed.
Be able to work late hours or weekends as news developments warrant and as part of a regular rotation schedule.
You have:
At least five years of experience producing videos in a daily news environment, preferably at a global news organization.
A deep understanding of and an interest in the Wall Street Journal's core topic areas, as well as strong editorial judgment and knowledge of news from China and the broader APAC region.
The ability to work well across a newsroom and communicate with exceptional written and collaboration skills.
A professional-level understanding of Adobe Suite, with a high level of expertise in Premiere, After Effects, Photoshop and Illustrator.
Experience with multiple camera setups, including but not limited to the Sony FS5, FS7 and A7S. Ability to set up lights in the studio and in the field.
Strong organizational and time-management skills."
Game Producer [Casual Game Design / MNC],LINKEDCORP HR CONSULTANCY PTE. LTD.,MCF-2023-0722893,"Linkedcorp is a premier executive search firm specializing in providing comprehensive talent solutions. Our services range from executive search, temporary & contract hiring, project hiring, and HR outsourcing services, ensuring that we are equipped to meet the diverse needs of organizations of all sizes. With a team of experienced and knowledgeable professionals, we are committed to delivering results that exceed expectations and help companies achieve their strategic goals. Our commitment to excellence and delivering value to our clients sets us apart in the industry. We are dedicated to building long-term partnerships and providing a positive experience to all of our clients. Whether you're looking to expand your team or take your company to the next level, LinkedCorp is the partner you can trust to help you achieve your goals.","NORTH LINK BUILDING, 10 ADMIRALTY STREET 757695","Permanent, Full Time",Senior Executive,3 years exp,Design,1,"['$5,000to$8,000']",Monthly,4 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Job Responsibilities:
The company is now looking to hire and groom a talented incumbent into a successful mobile game product owner, excited to build a game played by millions of players for many years.
Broad knowledge on multiple game category. Handle thorough project research, gathering statistics and data to prove the feasibility of ideas, preparation of game pitch, make demo in agile way, analysis data and iterate game.
Involved in marketing test phase to prove the direction and early demo.
Build a team of capable talents together with the company’s HR to develop/produce and take the game to launch.
Ensure proper project planning (goals, manpower planning, game budget estimates, schedule, and production contracts are met).
Job Requirements:
Excited to build a game played by millions of players for many years.
Possess relevant Game Design and/or Computer Science background with strong passion and positive work attitude to work within the mobile games industry.
Preferably with Maths background or experience on Numerical Setup is a plus.
Excellent written and verbal communication skills.
Knowledge of the current mobile gaming landscape and market trend.
Ability to work in a lean team environment.
Able to work independently and under pressure and produce results under sometimes tight schedules.
A self-starter who is creative, innovative, and possess positive problem-solving perspective mindset.
Willing to travel as and when needed."
Game Producer [Mobile games industry / Casual Game Design],LINKEDCORP HR CONSULTANCY PTE. LTD.,MCF-2023-0723647,"Linkedcorp is a premier executive search firm specializing in providing comprehensive talent solutions. Our services range from executive search, temporary & contract hiring, project hiring, and HR outsourcing services, ensuring that we are equipped to meet the diverse needs of organizations of all sizes. With a team of experienced and knowledgeable professionals, we are committed to delivering results that exceed expectations and help companies achieve their strategic goals. Our commitment to excellence and delivering value to our clients sets us apart in the industry. We are dedicated to building long-term partnerships and providing a positive experience to all of our clients. Whether you're looking to expand your team or take your company to the next level, LinkedCorp is the partner you can trust to help you achieve your goals.","NORTH LINK BUILDING, 10 ADMIRALTY STREET 757695","Permanent, Full Time",Junior Executive,,"Design, Engineering",1,"['$5,000to$9,000']",Monthly,5 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Job Responsibilities:
The company is now looking to hire and groom a talented incumbent into a successful mobile game product owner, excited to build a game played by millions of players for many years.
Broad knowledge on multiple game category. Handle thorough project research, gathering statistics and data to prove the feasibility of ideas, preparation of game pitch, make demo in agile way, analysis data and iterate game.
Involved in marketing test phase to prove the direction and early demo.
Build a team of capable talents together with the company’s HR to develop/produce and take the game to launch.
Ensure proper project planning (goals, manpower planning, game budget estimates, schedule, and production contracts are met).
Job Requirements:
Excited to build a game played by millions of players for many years.
Possess relevant Game Design and/or Computer Science background with strong passion and positive work attitude to work within the mobile games industry.
Preferably with Maths background or experience on Numerical Setup is a plus.
Excellent written and verbal communication skills.
Knowledge of the current mobile gaming landscape and market trend.
Ability to work in a lean team environment.
Able to work independently and under pressure and produce results under sometimes tight schedules.
A self-starter who is creative, innovative, and possess positive problem-solving perspective mindset.
Willing to travel as and when needed."
CREATIVE PRODUCER (FULL TIME),SUPERGURL PTE. LTD.,MCF-2023-0562447,No information added.,"KEWALRAM HOUSE, 8 JALAN KILANG TIMOR 159305",Full Time,Senior Executive,1 year exp,"Advertising / Media, Others",1,"['$2,600to$2,900']",Monthly,7 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Requirements:
Minimum qualifications of Diploma in related field.
Minimum of at least 3-4 years of experience in related industry.
Experience in commercial fashion photography, manage studio lighting and equipment
High proficiency in Adobe Creative Suite / Lightroom / DSLR camera are a must.
High proficiency in Photography & Videography skills are a must
Keen sense in fashion/e-commerce industry
Positive attitude, creative, has a keen eye for detail and must be resilient
A genuine curiosity to know how things work and how to make things better
Possess a strong advocate of the SuperGurl brand
Good interpersonal skills independent & good team leader
Office Location: Bukit Merah (Central)
Job Scope:
Plan and manage content for social media channels
Conceptualize and execute content collaterals for both digital and retail platforms
Ensure that all content is align with the brand and concept theme of the shoot
Research, analyze and come up with new and fun ways to execute social content
Participate in discussions to brainstorm on how to improve delivery of content on the brand’s social platform
Create daily content for Instagram stories
Assist in photoshoots
Styling flat lays"
Assistant Producer,VICINITY STUDIO PTE. LTD.,MCF-2023-0571611,"Vicinity Studio is a content production studio focusing on community-centric themes. Video Production Singapore Vicinity refers to the studio’s prioritisation of community-centric themes in productions, as well as, the focus on building spatially conscious interpersonal relationships between individuals. Vicinity Studio sees the world through the lives of people, whose unique stories are at the heart of the studio’s community and sustainability-related visuals. With our extensive experience in non-profit and community projects, we bring high standards through our tenacious pursuit of high calibre productions. We produce compelling and accessible videos. Through this, we create interconnectedness, the nucleus of community living.","KEWALRAM HOUSE, 8 JALAN KILANG TIMOR 159305",Full Time,Fresh/entry level,1 year exp,Advertising / Media,1,"['$2,000to$3,000']",Monthly,15 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
We are looking for individuals who are interested in the fundamentals of producing. You will be working closely with a producer and assist her in the nitty gritty of a project. You will be involved in the pre production stage where you get to conceptualise and storyboard a project as well as during the production stage as a Production Assistant.
Responsibilities and Duties:
Assist in conceptualizing during the pre production stage
Make phone calls to clients
assisting with duties on and off set
Conduct auditions for shoots
Requirements:
· Candidates that have a strong interest in the media/ film industry
· Strong technical equipment fundamentals
. Attentive to detail, hardworking and willing to learn
· Self-motivated and possess the ability to work independently as well as cohesively in a team environment
· Ability to work in a fast-paced working environment
Along with being reliable and driven, the ideal Assistant Producer will have the following:
Strong interpersonal and communication skills
Detail-oriented individual
Problem-solving abilities
Ability to effectively manage time and handle multiple projects simultaneously"
Technical Producer,TAKE-TWO ASIA PTE. LTD.,MCF-2023-0719283,"TAKE-TWO ASIA PTE. LTD. Headquartered in New York City, Take-Two Interactive Software, Inc. is a leading developer, marketer and publisher of interactive entertainment for consumers around the globe. The Company develops and publishes products through its two wholly-owned labels Rockstar Games and 2K. Our products are designed for console systems, handheld gaming systems and personal computers, including smartphones and tablets, and are delivered through physical retail, digital download, online platforms and cloud streaming services. During fiscal 2014, Take-Two set new records for both our Company and the entertainment industry. Rockstar Games’ Grand Theft Auto V reached $1 billion in sales faster than any entertainment release in history, NBA 2K14 enjoyed the franchise’s strongest launch, Borderlands 2 became 2K’s top-selling title, and our digitally-delivered revenue grew to its highest level ever. As a result, we delivered record revenue, earnings and cash flow for our shareholders. The Company’s common stock is publicly traded on NASDAQ under the symbol TTWO. For more corporate and product information please visit our website at http://www.take2games.com.",80 ROBINSON ROAD 068898,Full Time,Senior Executive,5 years exp,Entertainment,1,"['$7,000to$9,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Who We Are:
Founded in 2005, the 2K label includes some of the most hard-working game development studios in the world today. Firaxis Games, Visual Concepts, Hangar 13, 2K Czech and Cat Daddy Games. Our world-class team of engineers, developers, graphic artists and publishing professionals are stewards of a growing library of critically-acclaimed franchises such as Battleborn, BioShock, Borderlands, The Darkness, Mafia, NBA 2K, Sid Meier’s Civilization, WWE 2K, and XCOM. 2K is headquartered in Novato, California and is a wholly owned label of Take-Two Interactive Software, Inc. (NASDAQ: TTWO).
2K develops and publishes interactive entertainment globally for console systems, handheld gaming systems and personal computers, including smartphones and tablets, which are delivered through physical retail, digital download, online platforms, and cloud streaming services. 2K publishes titles in today’s most popular gaming genres, including shooters, action, role-playing, strategy, sports, casual, and family entertainment.
Our vision at 2K is to create a diverse and inclusive environment to “Come as You are and Feel Equipped to do Your Best Work!” We are dedicated to promoting diversity, multiculturalism, and equality in all that we do. Our communities are focused on increased access and personal growth, and their greatness depends on a diversity of race, gender, sexual orientation, religion, ethnicity, national origin, and perspective. We're an equal opportunity employer and excited to build the future of co-living with the world's most hardworking and passionate people.

What We Need:
2K is looking for an experienced Technical Producer – someone that has worked on managing technical integrations with developers and ensure smooth delivery. We are seeking individuals who possess exceptional communication abilities and are comfortable with managing schedules of complex projects. You will be working closely with the mobile team to bring the best out of the mobile product.
Job Responsibilities Include:
Being in a production role involving the management of cross-functional teams to deliver mobile projects.
Able to manage the complexity of game development, software development processes, and project management practices.
Regularly engage in communication with the remaining members of the production team and project stakeholders regarding the status of the project and potential risks.
Work closely with developers to ensure smooth delivery of technical implementation.
Able to support and call out potential technical risks.
Able to work effectively with a diversified team and manage external vendors.
Who We Think Will Be a Great Fit:
We’re looking for a Technical Producer who is outgoing, self-motivated, and passionate about mobile games. The ideal candidate must have a technical background and have supported multiple mobile titles. Being a good manager to balance production and technical needs are critical for this role.

Requirements:
BS in computer science or related discipline.
5+ years of technical-related project management experience.
Displayed technical aptitude. Applicants with development (programming, technical), and/or game development experience.
Previous involvement in a setting requiring the daily demonstration of exceptional problem-solving skills, where every new challenge was embraced as a chance for achievement.
A good understanding of server-side technologies is a plus.
Excellent communications skill and risk assessment qualities
Good people skills to foster relationships with various departments and external partners.
Good project management skill to plan and able to breakdown task requirements
Able to demonstrate strong resilience and adapt to changes
Responsible, reliable, and able to cope with tight schedules.
As an equal opportunity employer, we are committed to ensuring that qualified individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform their essential job functions, and to receive other benefits and privileges of employment. Please contact us if you need reasonable accommodation."
Project Executive (Video game / Producer),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,MCF-2023-0609325,"MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD Manpower is the global leader in contingent and permanent recruitment workforce solutions. It is part of ManpowerGroup, the world leader in innovative workforce solutions, which creates and delivers high-impact solutions that enable clients to achieve their business goals and enhance their competitiveness. Manpower has provided organizations in Singapore with a continuum of staffing solutions from the incidental to the strategic since 1996, working with businesses to help them win. In the Human Age, where talent has replaced access to capital as the key competitive differentiator, Manpower Singapore leverages its trusted brand to develop a deep talent pool, providing clients with access to the people they need, fast. Manpower Singapore creates powerful connections between organizations and the talent they need to enhance their competitiveness and unleash their workforce potential. By creating these powerful connections, we help everybody achieve more than they imagined, and power the world of work. In Singapore, Manpower works with hundreds of local SMEs and multinational companies across various industries, including : Banking and Finance Corporate Finance and Accounting Call Center Engineering Events and Exhibitions Healthcare Hospitality Information Technology Life Sciences Logistics and Supply Chain Oil and Gas Retail See what is humanly possible at manpower.com.sg. Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012. Employment Agency License No.: 02C3423","GUOCO TOWER, 1 WALLICH STREET 078881",Contract,Junior Executive,2 years exp,Information Technology,1,"['$5,000to$6,000']",Monthly,35 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Responsibilities:
Assist senior project manager in daily operations and client project management.
Communicate with clients/partners to ensure smooth project execution with creative team.
Create, update and maintain daily internal and client project schedules.
Work with creative team to manage workflow, analytics, project tracking, timelines, and budgeting.
Liaise with key client/partner and procurement team to execute purchase orders.
Relationship management with key client/partner and multiple agencies/vendors
Manage the full creative process from start to finish; specifically, project timing and expectations for all deliverables and conduct quality assurance.
Ensure all deliverables (internal, client and partners) are accurate, on time and routed through the appropriate departments for approvals.
Help with internal requests such as team purchase orders, equipment procurement, etc.
Develop and implement processes to increase effectiveness and efficiencies for our clients and team.
Requirements:
Min 1 - 3 years of experience in a producer, project management or account services role.
Must have general knowledge of the creative media process with still image and video as primary, multimedia as secondary.
Must have experience working with cross-functional teams.
Must have ability to manage and prioritize multiple projects at once.
Must have experience managing various internal and external stakeholders at once.
Proficient in basic Microsoft office software (PowerPoint, Word, Excel, etc)
Video game or brand marketing industry experience is a plus.
Basic understanding of design and video software is a plus.
Experience working with international clients/partners/agencies/teams is a huge plus."
