title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
"Product Manager, APAC (Pharma)",INTEGRITY PARTNERS PTE. LTD.,MCF-2023-0645197,"Meet Integrity. Recruitment experts in Life Sciences and we've helped recruit the most prized talent in Pharmaceutical, Medical Device and Biotechnology. With 40% of our waking time dedicated to work, we know the importance of how smallest actions can create the biggest impact in people’s lives. This is why our team prioritizes actions based on core values over personal gain. The secret to our business is personal relationships. Because People Matter. We’ve been fortunate to assist with the recruitment of some of the most dynamic talent for many of the largest and smallest employers in Life Sciences. These are businesses which were in need of elite recruits with specific talents, unique skills and other technical disciplines. To discover more about how we can help you with your recruiting needs or your career, connect with us.","HAVELOCK2, 2 HAVELOCK ROAD 059763","Permanent, Full Time",Manager,3 years exp,"Healthcare / Pharmaceutical, Marketing / Public Relations, Medical / Therapy Services",1,"['$7,500to$9,000']",Monthly,42 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
The Product Manager (APAC) will be responsible for the management and execution of all marketing activities and initiatives of the assigned product(s), as well as collaboration with the in-countries Sales & Marketing team.

Responsibilities:
Develop and manage product marketing strategy, provide direction, build partnerships and optimize products opportunity from pre-launch to post-launch stage
Develop marketing activities in online and digital channel to ensure the growth, profitability and market share of assigned product portfolio
Provide product training and support to the field force and ensure they are equipped with the necessary tools and knowledge to meet customers’ expectations.
Define market segments and shares relevant to product portfolio
Competition analysis and recommend actions of management
Identification of appropriate key drivers and trends
Monitor product sales against forecast, recommend and implement appropriate product marketing action
Implement product strategy and ensure the implementation of an effective product promotion plan direct at the identified target segments
Manage the production of promotion materials

Requirements:
Degree in Science or Marketing
2-3 years of product management experience in pharmaceutical/medical device
Knowledge of digital marketing and familiar with digital tools and initiatives in the healthcare channel
Team player and dynamic individual with good communication and interpersonal skills
Good presentation skills
Up to 30% travel required
Interested applicants may apply by sending in your updated resume (in MS Word format). We regret that only shortlisted candidates will be notified.
Consultant: Henry Zheng
Registration Number: R1106964
EA License Number: 17C8502"
FOOD PRODUCTION MANAGER,NOVA MAINTENANCE EMPLOYMENT AGENCY PTE. LTD.,MCF-2023-0728375,NOVA MAINTENANCE EMPLOYMENT AGENCY PTE. LTD.,"KA FOODLINK, 171 KAMPONG AMPAT 368330","Permanent, Full Time",Senior Management,4 years exp,"Manufacturing, Others",1,"['$6,500to$8,500']",Monthly,7 applications,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
To supervise production workers and make sure factory operation runs smoothly.
Developing and implementing innovative strategies to streamline factory operations and efficiency.
Screening, recruiting and training new factory workers to make sure they are competent in given task.
Collaborating with QC Dept to establish and execute quality control processes.
Ensuring that factory machinery is in good working order.
Analyzing production data to identify and resolve any production issues.
Preparing production reports and submitting them to key decision-makers.
Regularly inspecting finished products to determine whether they meet established quality standards.
Overseeing in maintenance work and schedule.
Requirements:
Min Diploma in Business Management or Engineering field.
At least 2 years of relevant experience.
Prior experience in a managerial or supervisory role within a factory.
Sound knowledge of industry-specific factory equipment.
The ability to multi-task.
Outstanding time management skills."
Product Manager,BROADCHAINS FINTECH PTE. LTD.,MCF-2023-0693623,No information added.,"CONCORDE SHOPPING CENTRE, 317 OUTRAM ROAD 169075",Permanent,Senior Executive,8 years exp,Others,1,"['$12,500to$20,000']",Monthly,27 applications,Posted 11 Sep 2023,Closing on 25 Sep 2023,"Roles & Responsibilities
Responsibilities:
Responsible for core product team management
Create and maintain product roadmaps, feature backlogs and product documentation such PRDs, user stories, use cases, user flows, logic flows, and functional specifications
Prioritize development activities with engineering teams, assist in determining the best technical implementation methods, work closely with QA on acceptance testing and lead product launches
Conduct market research and competitor analysis to deliver best-in-class trading solutions and products
Manage cross-functional and cross-department communication and coordination to ensure product quality and progress, and completion of product milestones
Requirements:
8+ years of proven experience as a product manager coupled with a good understanding of financial trading systems
At least 2 years leader experience with leading more than 5 teams members
Sound knowledge on financial products (especially on margin and futures product) and trading experience
Quick learner, can pick up new concepts quickly. High degree of initiative to work collaboratively across the team and independently
Familiarity with Agile workflow and ability to work within an Agile environment"
Product Manager (5 Days / Semiconductor / Electronics / Wafer Fabrication),EA RECRUITMENT PTE. LTD.,MCF-2023-0728943,"EA Recruitment Pte Ltd was founded in 2021, with a focused mission, providing our utmost support to individuals and organisations, to achieve their full potential. With a combined experience of more than 10 years, we thrive on providing our clients/candidates with the best and most sincere services. We believe not only in the business aspect of things, but able to help individuals & organisations on a personal level. Empowerment - To empower our team in making sound decisions, efficiently. Exceptional – We are dedicated to providing a holistic and an exceptional level of service to our clients. Ethical – To behave ethically, and to make moral decisions based on integrity. Accomplishment – We strive to accomplish all planned objectives and conquering set milestones. Accountable – We are accountable for our actions, decisions, and consequences. Assurance – We are committed to provide the best services to our clients We provide permanent full-time and/or temporary placements, contract staffing solutions and foreign workers recruitment.",,"Permanent, Full Time",Manager,3 years exp,"Engineering, Manufacturing",1,"['$6,000to$7,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
MNC Company
Basic $6000 - $7000 + AWS + Variable Bonus
Excellent Welfare and Benefits + Career progression
Working location: Tampines
Working days: Monday to Friday
Working hours: 9am – 6pm
Job Responsibilities:
Maintain contact with and engage semi-con companies (existing customers) to solicit projects
Understand the customers’ requirements, analyze their problems, do project scoping, identify the components, software, additional design work and integration required
Develop the prototype for proof of concept (POC)
Present and demonstrate POC to the customer to confirm the functionalities and designs
Negotiate with suppliers/sub-contractors on the pricings and delivery timelines
Prepare costing of components and third party costs as well as internal resource requirements
Follow up with sales proposal
Present sales proposals to customers and negotiate pricings and terms with the intent to conclude the deals
For successful deals - design, prepare and quality check the first set of deliverables. Thereafter activate and guide the engineers to follow up with production
Monitor the delivery of the components and progress of the assembly/production of the end product sets
Oversee the installation and testing of the systems/products
Identify suitable vendors to service and/or repair the products or components of the customer; negotiate the pricings and terms
Prepare sales proposals with appropriate margins and follow up with the customer to conclude the sales
Follow up with the customer and vendors to ensure delivery and fulfilment are done timely according to the specifications
Others
Design mechanical jig and fixtures for fab continuous improvement projects and safety related preventive measures enhancement projects
Collaborate with the internal Engineering Team under Defence Business to oversee the development, fabrication, installation and testing of in-house digitalization projects
Lead, manage, train and develop team members so that they are committed and competent in discharging their roles effectively and efficiently
Others ad hoc duties as assigned
Job Requirements:
Possess minimum Diploma/Degree in Mechanical or Mechatronic Engineering or equivalent
Possess minimum 3-5 years of related working experience in a semi-conductor or wafer fab environment
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background
We regret that only shortlisted candidates will be contacted.

LIONG ZHAO GUAN (R22107632)
EA Recruitment Pte Ltd
EA License No: 21C0492"
Senior Production / Manufacturing Engineer (Food / Chemical / Pharma) #HCG,RECRUIT EXPRESS PTE LTD,MCF-2023-0729098,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.",,"Permanent, Full Time",Senior Executive,6 years exp,"Engineering, Healthcare / Pharmaceutical, Manufacturing",1,"['$4,500to$6,200']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Key Responsibilities:
Participate in planning, evaluating, developing and commissioning of major projects.
Ensure overall operating expenses are kept with budget.
Collect the process data and do the analysis for continuous improvement on the process.
Support process optimization initiatives and ensure efficiency in production.
Perform equipment qualification, process and cleaning validation
Plan and co-ordinate production and manpower schedule.
Assist production Manager to ensure the entire operations are following quality and Environmental, Health & Safety (EHS) requirement and housekeeping meet acceptable standard with good quality culture.
Ensure the documentation of all productions is properly maintained and compliance to the Good Manufacturing Practice (GMP).
Recruit, train, coach and motivate staff to the meet the present and future needs of the production operations.
Requirements:
Min Degree in Chemical/ Food / Pharmaceutical engineering or related courses.
Must have good safety and GMP compliance knowledge.
Experience in a food, pharmaceutical or chemical process plant will be an added advantage.

All qualified applicants, please send in your resume to:
triciagoh@recruitexpress.com.sg

Tricia Celestine Goh (R1981653)
Recruit Express Pte Ltd Company Reg. No. 199601303W | EA License Number: 99C4599"
"Senior Manager, Operation (Parts Manufacturing)",VDL ENABLING TECHNOLOGIES GROUP (SINGAPORE) PTE. LTD.,MCF-2023-0728821,"VDL ENABLING TECHNOLOGIES GROUP (SINGAPORE) PTE. LTD. is a subsidiary of the VDL Group, an international industrial company with its headquarters in Eindhoven, The Netherlands. The company started its operations in 1970 as a manufacturer of machine parts used in factory automation and assemblies for its then-parent company. Over the years, we haveaccumulated valued competencies that has enabled us to grow as an equipment manufacturer. Today, we are a world-class capital equipment contract manufacturing company operating worldwide, employing committed people to provide our customers in the semiconductor and LED equipment industries with innovative and unique technological solutions and logistical services. With our rapid expansion and new facility, we seek dynamic and like-minded individuals to join us. Advance the world of engineering possibilities, realize your potential and succeed with us here at VDL Enabling Technologies Group.","VDL BUILDING, 259 JALAN AHMAD IBRAHIM 629148",Permanent,Senior Management,5 years exp,Manufacturing,1,"['$7,000to$10,000']",Monthly,6 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Purpose: This is a senior role in the organization and will have the resources and full operational responsibility to:
Lead and develop the parts production and fabrication department to visualize and realize our the company’s vision to become the role model for smart manufacturing
Lead and develop the department to meet our customers’ expectations (present and future) in product quality, performance, lead-time and cost – supporting the company’s goal in highest customer satisfaction and profitability.
Key areas of responsibilities:
Define the operational strategies of the department to support the long and short-term objectives of the company.
To define clear responsibilities and accountability of direct reports and ensure effective deployment of goals to the different levels of the department.
To continuously improve the operational performance of the department (quality, lead-time, delivery performance, costs and safety).
To identify and develop the core competencies of staff.
Define short and long-term manpower plans and resources required to support the business goals.
To define the technology roadmap and recommend the investment of new technology and machines to stay ahead of the competition.
Qualification & Experiences:
Degree in mechanical, manufacturing, Engineering, or other equivalent
Minimum of 5 years of relevant work experience
Knowledge of Parts Manufacturing production management
Knowledge of risk management and safety regulations
Leadership skills
Strong project management skills
Strong analytical and problem-solving skills with in-depth knowledge of quality approaches
Knowledgeable of lean/six sigma methodology."
QA / QC Manager / Assistant Manager [UP$6000 + AWS / Joo Koon / 5 days / ISO9001] - FA1,RK RECRUITMENT PTE. LTD.,MCF-2023-0728615,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Manager,5 years exp,Engineering,1,"['$4,500to$6,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Benefits Summary:
Basic up to $6000 + AWS + VB
Monday – Friday 8am – 5.15pm
Joo Koon
Responsibilities:
Responsible for leading, planning, coordinating, and developing the Out-Going Quality Assurance team on policies, procedures and implementations to ensure machine quality before shipment.
Manage the development and implementation of Out-Going QA/QC Processes. This includes:
Out-Going testing/ inspection process for machine acceptance or reject before delivery to customer.
Machine defect/ non-compliance process for reject resolution.
Lead, supervise and develop Out-Going QA/QC capabilities. This includes:
Test / Inspection methodology
Tools and facilities for test / inspection
Engage within QA teams (Supplier and Incoming) on issues and concerns relating to supplier, product and production.
Engage with inter-functional teams (Production, Procurement, Engineering) on issues and concerns relating to planning and execution.
Engage and establish processes with Production teams to support Out-Going inspection / test.
Continually improve processes and tools to be efficient and effective in meeting product and service quality.
Lead and manage a team of technician/s and inspectors across plant.
May perform other duties as assigned by GM and Director of Production.
Manage ISO9001 on quality management and Control.
Produce monthly QA/QC status report and conduct monthly QC meeting.
Communication and follow up with both inhouse and customers claims.
Coordinates with machine shop and assembly in achieving monthly claim ratio.
Ensure company quality policies and procedures are adhered in all phases of work.
Ensure all QA/QC activities such as verifications, inspections and tests are performed in a safe manner.
Conduct and participate in quality audit.
Coordinates and participate in NCR, DCR, concession request, etc.
Establish, collect and maintain records to provide evidence of conformity to requirements.
Requirements:
Minimum Diploma in Mechanical or Engineering. Degree will be added advantage.
Experience in quality function with min 5 years working in a machinery manufacturing environment
Familiar with ISO9001 standards and implementations
Proven qualities and skills with the desire to teach and mentor staff.
Please submit your updated resume by using the APPLY NOW BUTTON

By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.

*We regret to inform you that only shortlisted candidates would be notified* We wish you all the best in your career search.

You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Felcia Ang Zhi Yun | EA Personnel No.: R22109905
733"
QA / QC Manager / Assistant Manager (up $6000 + AWS / Joo Koon / 5 days / ISO9001) - 109,RK RECRUITMENT PTE. LTD.,MCF-2023-0728543,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Manager,5 years exp,Engineering,1,"['$4,500to$6,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Benefits Summary:
Manufacturing Industry
Basic up to $6000 + AWS + VB
Monday – Friday 8am – 5.15pm
Joo Koon
Responsibilities:
Responsible for leading, planning, coordinating, and developing the Out-Going Quality Assurance team on policies, procedures and implementations to ensure machine quality before shipment.
Manage the development and implementation of Out-Going QA/QC Processes. This includes:
Out-Going testing/ inspection process for machine acceptance or reject before delivery to customer.
Machine defect/ non-compliance process for reject resolution.
Lead, supervise and develop Out-Going QA/QC capabilities. This includes:
Test / Inspection methodology
Tools and facilities for test / inspection
Engage within QA teams (Supplier and Incoming) on issues and concerns relating to supplier, product and production.
Engage with inter-functional teams (Production, Procurement, Engineering) on issues and concerns relating to planning and execution.
Engage and establish processes with Production teams to support Out-Going inspection / test.
Continually improve processes and tools to be efficient and effective in meeting product and service quality.
Lead and manage a team of technician/s and inspectors across plant.
May perform other duties as assigned by GM and Director of Production.
Manage ISO9001 on quality management and Control.
Produce monthly QA/QC status report and conduct monthly QC meeting.
Communication and follow up with both inhouse and customers claims.
Coordinates with machine shop and assembly in achieving monthly claim ratio.
Ensure company quality policies and procedures are adhered in all phases of work.
Ensure all QA/QC activities such as verifications, inspections and tests are performed in a safe manner.
Conduct and participate in quality audit.
Coordinates and participate in NCR, DCR, concession request, etc.
Establish, collect and maintain records to provide evidence of conformity to requirements.
Requirements:
Minimum Diploma in Mechanical or Engineering. Degree will be added advantage.
Experience in quality function with min 5 years working in a machinery manufacturing environment
Familiar with ISO9001 standards and implementations
Proven qualities and skills with the desire to teach and mentor staff.
Please submit your updated resume by using the APPLY NOW BUTTON

By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.

*We regret to inform you that only shortlisted candidates would be notified*

We wish you all the best in your career search.

You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Shawn Long Jie Shyan | EA Personnel No.: R22109109
733"
Product Manager,BEATHCHAPMAN (PTE. LTD.),MCF-2023-0725317,"Established in 2005 in Sydney, Ethos BeathChapman (EBC) today has 7 offices worldwide. In 2017, we secured the strategic investment of Will, an international group of HR solutions companies. EBC acquired Quay Appointments and set up CONNECT, EBC’s AI-powered sourcing specialist in 2018. Passionate about staying innovative, we embrace new AI technologies, data and analytics, and are committed to keeping an agile mindset to deliver market leading executive recruitment solutions, tailored for our clients and candidates.","TWENTY ANSON, 20 ANSON ROAD 079912",Permanent,Manager,3 years exp,"Healthcare / Pharmaceutical, Sales / Retail",1,"['$5,000to$8,000']",Monthly,4 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Currently looking for a Product Manager for a Pharma business to be based in Singapore. They have a large portfolio of products which are a mix of their own brands and other companies for you to oversee.
Lots to do here as they are working on launching new products, launching current products in new markets, and expanding the brand on a regional basis.
There will be opportunities for you to grow and develop your career in various areas whether that be different products, gaining regional experience, or potentially even looking at people management.
The Product Manager will be responsible for:
Formulating and executing marketing plans
Organize product launch activities
Work closely with sales and country marketing teams to ensure product success
Identify growth and improvement areas for the brand
In order to be successful, the Product Manager will be / have:
Experience in product/brand management/marketing in the Pharmaceutical Industry
Ideally have ethical, OTC and digital channels knowledge/experience
If you feel you would be suitable then please apply now.
Interested parties please get in touch with Piers Atkinson via Piers.Atkinson@ethosbc.com or Roselle Cuntapay via roselle.cuntapay@connect-ebc.com for a confidential discussion.
Reg No: R1871342
BeathChapman (Pte. Ltd.)
EA License: 16S8112"
Banking Product Manager,WHAMPOA FINANCIAL HOLDINGS PTE. LTD.,MCF-2023-0726531,No information added.,284 RIVER VALLEY ROAD 238325,Full Time,Manager,5 years exp,"Banking and Finance, Information Technology",1,"['$8,000to$15,000']",Monthly,13 applications,Posted 22 Sep 2023,Closing on 13 Oct 2023,"Roles & Responsibilities
Responsibilities:
• Assist to develop product strategy & roadmap and align with business goals and objectives.
• Lead the holistic product lifecycle for both external and internal users, including drawing conceptual diagrams and product requirement documents, liaison with stakeholders on product/business requirement, alignment with policies, compliance and regulatory requirements, as well as product launch and go-to-market plan.
• Collaborate with cross-functional teams, including design, engineering, marketing, operations and etc., for banking product implementation, ranging from deposit/loan accounts, payment, operations, customer servicing, accounting to other supporting digital functionalities.
• Analyze product profitability & performance to identify and initiate new product ideas as well as improvements.
• Establish project management procedure and clear milestones, to ensure the timely delivery of digital banking products, from requirements gathering, ideation, design, solutioning, testing and roll-out, to post-launch improvements and iterations.
• Self-driven and comfortable to navigate with ambiguity and changes in a fast-paced environment

Qualifications:
• Bachelor’s degree required, computer science, engineering, information systems or finance related disciplines are preferred
• Minimum 5 years of experience in Product Management role in a financial institution, with a track record of getting things done in a dynamic environment, with experience in managing projects in any of the following areas: treasury, payments, FX/remittance, core banking, onboarding/KYC, transaction monitoring, wealth management, digital assets, cybersecurity, and other banking IT infrastructure
• Possess solid understanding on banking or financial services related applications and technologies in terms of products and supporting services, system and business operation procedures, risk management, regulatory compliance, etc.
• Experience in project management and coordinating/driving release schedules
• Knowledge or demonstrated experience with cloud computing to develop highly scalable and available systems including APIs, automation, and data warehousing/analytics would be preferred"
