title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Project Manager (Robot|Up to 6k),ADECCO PERSONNEL PTE LTD,MCF-2023-0729339,"The Adecco Group is the world's leading provider of HR solutions. With over 35,000 FTE employees and over 5,200 branches, in over 60 countries and territories around the world, we offer a wide variety of services, connecting more than 650,000 associates with over 100,000 clients every day. The services we offer fall into the broad categories of temporary staffing, permanent placement, career transition and talent development, as well as outsourcing and consulting. The Adecco Group is based in Zurich-Glattbrugg, Switzerland and we are a Fortune Global 500 company listed on the SIX Swiss Exchange.","SHAW CENTRE, 1 SCOTTS ROAD 228208","Permanent, Full Time",Senior Executive,2 years exp,"Customer Service, Engineering",1,"['$5,000to$6,000']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Perhaps this is you!
Our client is looking for a team player, who is keen to grow with them while being able to get the best out of the people and projects to be delivered. If you are a self-starter, possesses technical know-hows in robots and/or automation, a problem solver with excellent communication skills, check the criteria below.
Apply now if you got what it takes!

Responsibilities:
Develop project scopes and objectives with relevant stakeholders, and prepare detailed plan for progress tracking
Oversees and ensures on-time project delivery and execution within budget
Perform resources allocation and ensure availability
Evaluate and measure project performance with appropriate tools and techniques
Collaborate and communicates with cross function teams and vendors for project executions
Build and maintain relationships with clients and vendors/third parties
Prepare and perform required risk management and documentations, and maintain them
Requirements:
Diploma or Degree in Engineering or equivalent with relevant experience will be considered
Familiar with Robotics or automation related industry
Prior experience or interest to further progress career in Project Management with involvement in project conception to delivery
Strong communication skills
Next Step:
Interested applicants, please apply here or send your resume to sheena.tay@adecco.com with your current and expected salary
Only shortlisted candidates will be contacted"
Technical Manager,ASIAPAC TECHNOLOGY PTE. LTD.,MCF-2023-0729281,"ASIAPAC TECHNOLOGY PTE LTD AsiaPac is a Singapore ISO9001:2008 and BizSafe Level 3 certified company established since 1990. We have a cohesive, dynamic and relatively young work force of over 80 employees ranging from fresh graduates to industry veterans. Our business is in helping organizations to protect their business, increase productivity and reduce wastage using I.T. Our clienteles which include the public sectors, educational institutions as well as those corporations in the FSI, F&B, manufacturing, healthcare, marine, oil & gas industries, are serviced and supported by our multiple teams of proactive sales and certified support personnel. We are direct partners of industry leaders such as Microsoft, IBM, Oracle, VMware, Cisco, Fujitsu, HP, Fortinet, Hitachi Data Systems, Symantec and Acronis. The core of our business is the fundamental philosophy of ‘All-Win’ where all our customers, suppliers, and employees must collectively win.","HENDERSON INDUSTRIAL PARK, 219 HENDERSON ROAD 159556",Permanent,Manager,15 years exp,Information Technology,1,"['$5,200to$9,300']",Monthly,0 application,Posted 24 Sep 2023,Closing on 24 Oct 2023,"Roles & Responsibilities
Job Responsibilities
We are looking for a Technical Manager who can build, lead and manage the engineering team. This is a senior managerial role that will be involved in strategic planning, staffing, training and budgeting.
The incumbent will be engaged in people management, engineering management and cross-group collaboration.

Engineering management
Architect, design, build, deliver the overall platform to manage and support hybrid multi-cloud which enables customers choice to build and enable XaaS
Architect, design and build new XaaS modules to address customer needs, and reuse e.g. Device as a Service, CSOC as a Service, Service Desk as a Service, AI-Ops automation
Ensure high delivery standards with successful desired outcomes for the customers i.e. proactive monitoring, tight resource management inclusive of vendors/partners dependencies as necessary
Provide technical direction for project delivery and handle and resolve all technical aspects, with hands on approach
Create and execute delivery plans and manage mitigation plans to meet changing clients’ needs and requirements/escalations
Improve governance (policies, standards, guidelines) on successful delivery outcomes e.g. industry compliances, delivery frameworks/playbooks, port-mortem reviews, documentations
Cross group collaboration
Work closely with Project Management Office to ensure timely update on implementation and serves as liaison between delivery team and project managers
Work closely with all technical group to on-board technical knowledge of solution offerings, inclusive of vendors and partners as needed
Work closely with Sales and Pre-Sales to progress new delivery opportunities and ensure adequate resourcing i.e. demos, tenders, Proof Of Concept (POC) requirements
Job Requirements:
Degree or other equivalent
At least 15 years of IT experience
At least 5 years in ICT infrastructure project implementations and operational support management
Technical knowledge of infra stacks i.e. x86, Unix, storage, networks, security, desktops/laptops/devices, servers
Technical knowledge of Linux and Windows Server Operating Systems
Technical knowledge of on-premises (data centres, virtualization, hyper-converge, security) and cloud ecosystems - AWS, Azure, Huawei, Alibaba
Knowledge of IT lifecycle management
Knowledge of ITSM - Incident Management, Problem Management, Change Management, Asset Management, Patch Management
Knowledge of AIX (AIX server Admin), Server & Azure, Infra App (10 of them), DB (MySql, MSSQL etc), Oracle, Middleware, Network/Security Devices
Candidates possessing the following will have an added advantage:
Solution Architect experience
ITIL Certification
Experience in handling large Enterprise RFQ/RFP and government tender"
Project Manager,NES GLOBAL PTE. LTD.,MCF-2023-0673815,NES GLOBAL PTE. LTD. EA License Number: 08C4291,"61 ROBINSON, 61 ROBINSON ROAD 068893",Contract,Manager,6 years exp,"Building and Construction, Engineering",1,"['$6,000to$12,000']",Monthly,22 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Project Manager requirements include the following:

Possesses Civil and structural degree or electrical degree recognised by Professional Engineer Board of Singapore
Minimum job experience as project manager in successfully completed 2 transmission cable or infrastructure projects of similar contract value within recent 10 years. Worked as project manager for minimum 10 years. Minimum successfully completed 1 transmission cable project from start till completion. Ideally with experience with ultrahigh high voltage cable tunnel work or roadworks (up to 230kV).
Certified by Project Management Institute as Project Management Professional.
Completed Ministry of Manpower Singapore Construction Safety Course for Project Managers (CSCPM)
Familiar with work scope, work sequence, method statement of transmission cable works.
Competent in project scheduling down to level 1 and critical path planning using Primavera P6 or Microsoft Project.
Competent in conducting risk assessment to Company's requirements.
Resume with track records to be submitted and subject to acceptance by Company.
Lead a multi discipline team of cross function engineering teams to deliver project on time and to budget."
Project Manager,VDL ENABLING TECHNOLOGIES GROUP (SINGAPORE) PTE. LTD.,MCF-2023-0728802,"VDL ENABLING TECHNOLOGIES GROUP (SINGAPORE) PTE. LTD. is a subsidiary of the VDL Group, an international industrial company with its headquarters in Eindhoven, The Netherlands. The company started its operations in 1970 as a manufacturer of machine parts used in factory automation and assemblies for its then-parent company. Over the years, we haveaccumulated valued competencies that has enabled us to grow as an equipment manufacturer. Today, we are a world-class capital equipment contract manufacturing company operating worldwide, employing committed people to provide our customers in the semiconductor and LED equipment industries with innovative and unique technological solutions and logistical services. With our rapid expansion and new facility, we seek dynamic and like-minded individuals to join us. Advance the world of engineering possibilities, realize your potential and succeed with us here at VDL Enabling Technologies Group.","VDL BUILDING, 259 JALAN AHMAD IBRAHIM 629148",Full Time,Manager,5 years exp,"Manufacturing, Precision Engineering",1,"['$4,500to$9,000']",Monthly,3 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
As an integral Project manager you are responsible for highly innovative complex challenging projects in a high-end precision environment. You have an integral responsibility, from customer request to development to implementation of volume production in the factory and delivery at customer site. The technologies are complex and the products are first of a kind. VDL ETG is a contract manufacturer and VDL ETG T&D works on customer order only. The projects are often part of a larger development project at the customer site. You need do build and maintain a close relationship with the customer. Projects have an international scope so as a Project manager you deal with different company cultures, different regional cultures and a different Ways of Working (Project Management and Development processes).

You manage the projects with a (large) multidisciplinary team of highly skilled, mainly technical experts in architecture, design and manufacturing. That’s why we expect you to have a solid technical background, with experience in product development projects, as well as professional project management skills. You are responsible for:

The delivery of innovative mechatronic systems from initiation and concept & development until manufacturing and customer acceptance
Project set up, organization and Governance
Leading the project team, in close cooperation with a System Architect
Monitoring and control project progress, take action and escalate when needed
Managing stakeholders: external customers and suppliers as well as internal stakeholders at various managerial levels and functional domain (T&D, business, manufacturing and others)
Applying the project management and development processes of the organization
Contribute to the continuous development of the project management competency of the department

Requirements:
Professional project management skills, preferably certified (PMI, PRINCE2, IPMA)
A degree in Mechatronics, Mechanics, Electronics, Physics or related
At least 5 to 10 years’ experience as a project leader in high-end product development projects, leading multidisciplinary team(s)
You have knowledge of Design for Excellence
You are a team builder and able to inspire, motivate and convince people
You are a pro-active, analytical, creative person with a “can do” mentality
Good communication skills verbal and written"
Project Manager,AP PROJECTS & INFRASTRUCTURE PTE. LTD.,MCF-2023-0728837,"It was established to provide a one stop solution for a wider variety of services and products. In the past six years it has completed a portfolio of reputable projects that decorates the cityscape. Be it public institutions, infrastructures, residential or commercial projects, there were variety of products and services involving the company. It is truly a testimony of the trust and confidence that the building professionals of these projects have bestow on the company in recognition of it's ability to deliver on time and in accordance to the specifications.",,"Permanent, Full Time",Manager,3 years exp,Building and Construction,1,"['$4,000to$6,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Role: Project Manager

Department: Project

· Report directly to the Assigned Senior Project Manager or Director
· Oversee and direct construction projects from conception to completion to be delivered within time, budget and resources through scheduling deliverables and work progress.
· Establish and manage the relationship with the client, stakeholders and relevant authorities.
· Oversee all onsite and offsite constructions to monitor compliance with contractual obligations and building and safety regulations.
· Developing project scopes and objectives, involving all relevant internal and external stakeholders and ensuring technical feasibility.
· Coordinate and direct with internal team engineers, coordinators, draftsman, construction workers and external vendors such subcontractors and suppliers.
· Conduct internal meetings for assigned projects on design and project deliverables and subsequently, monitor the necessary deliverables required.
· Review design drawings for value engineering and constructability considerations and resolution of any technical matters on site.
· Review and recommend on variation advices to Clients for assigned projects.
· Prepare internal and external detailed project plan to track progress and ensure compliance to cost report and manpower budgeting submission timelines.
· Analyse, manage and mitigate risks by planning ahead to prevent problems and resolve any emerging ones.
· Ensure quality construction standards and the use of proper construction techniques.
· Administer Project Manager Resources to assist Tender department such as formulating technical responses to tender or attend client tender interviews.
Requirements:
· Minimum Diploma in Engineering or related fields from recognized tertiary institution.
· Working Experience in LTA Projects (Architectural / RC / Wet Trade)
· Possess high level of integrity, good interpersonal and strong leadership skills
· Good communication skills"
PROJECT MANAGER – M&E CONSTRUCTION,PEOPLE PROFILERS PTE. LTD.,MCF-2023-0728838,"Since our humble beginnings in 2002, People Profilers has steadily grown from strength to strength. Our expertise in providing Human Capital consultancy to our clients – universally sought after skills and expertise in just about any sector– has allowed People Profilers to leave an imprint across various industries and build a reputation for competency and expertise. What differentiates People Profilers from every other recruiter is our unwavering commitment to building relationships with our clients- understanding exactly what our clients are after, and allowing us to match their precise needs. We deliver human capital solutions that allow organisations and their employees to succeed. Here at People Profilers, we pride ourselves on being a one-stop human capital solutions provider for your organisation. Our innovative and relationship-focused workforce solutions have been provided across a wide range of industries.",,"Permanent, Full Time",Senior Executive,3 years exp,"Building and Construction, Engineering",1,"['$5,000to$6,500']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
• Remuneration package: SGD$5,000 to SGD$6,000 Basic + AWS + Excellent Bonuses
• SINGAPORE M&E Construction Project
• Over 30 years of Reputable Engineering Company in SPORE
• Project Manager or Assistant Project Manager positions available

Responsibilities
Project management which includes work program, costing and material projection
Shop-drawings submission for Consultants’ approval
Attend Project Technical meetings
Preparation of Variation Orders
Appy and preparation of submission for authority testing & commissioning of project equipment
Requirement
Diploma or Degree in Engineering
At least 3 years of relevant Project management/ supervision experience.
Wide knowledge of Electrical and Mechanical Engineering
Familiar with QEHSM standards
All Successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits.

Kindly email your resume in a detailed Word format to

roy.yeo@peopleprofilers.com

We regret that only shortlisted candidates will be notified
People Profilers Pte Ltd
20 Cecil Street, #08-09 PLUS Building Singapore 049705
EA License Number: 02c4944
Registration Number: R1217882
Posting Personnel: Yeo Yi Rong
Job ID: QY636X45
Tel: 6950 9757"
Project / Scrum Manager <Network Engineering & Operation>,CLOUD KINETICS SOLUTIONS PTE. LTD.,MCF-2023-0729137,"Cloud Kinetics is a premier provider of digital solutions. We enable enterprises, service providers, and ISVs to drive their business objectives with minimal dependence on infrastructure elements. We offer unique platform-driven services aimed towards accelerating customers’ business transformation journey, in an agile, responsive and scalable manner. Our Vision To be a niche enabler of Digital Transformation objectives, leveraging Cloud technologies. Our Mission Our driving principle is to provide robust platform-driven technology solutions to our customers that enable them to drive their business objectives with minimal dependencies on capital-intensive IT infrastructure and human capital. We deliver “Solutions as a Service” that leverages the power of cloud technology to accelerate our customers’ journey towards their business objectives.",,Full Time,Manager,8 years exp,Information Technology,1,"['$5,500to$7,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsible to manage the deployments of equipment that form the interconnection platform.
As a Project Manager, you will provide the support to major projects under the supervision of a Senior functional Manager or fully manage projects end to end. Projects will be related to the deployment of network equipment or process improvement projects to enhance our project delivery.
Skills Essential: • 4 Years as a Project Manager. • Project Management certification (PMP). • Agile practitioner/Scrum Master Skill. • Experience with IT Infrastructure deployment project. • Ability to prioritise and manage multiple tasks. • Excellent time management skills. • Excellent problem-solving skills. • Ability to communicate clearly and concisely. • Good understanding of MS Office. • Six Sigma Yellow belt. • Project budget governance. Tools hand on: • Familiar with Agile practices & tools like, Jira & Confluence • Familiar with PM tools like: Clarizen • Excellent MS Office hands on

Abilities:
• Experience of working in fast-paced organizations with the ability to align to changing priorities.
• Ability to work to deadlines and manage conflicting priorities.
• Establish trust with project staff and develop strong working relationships.
• Identify cross functional dependencies and work with relevant department stakeholders to co-ordinate and prioritize activities.
• Have a good understanding of IT and Telecommunications terminology and practices.
• Excellent computer/MS Office skills.
• Manage escalations with project stakeholders.
• Resolves issues by identifying the root cause and implementing robust lasting solutions to prevent reoccurrence.
• Continuous Improvement mindset .

Typical daily tasks:
• Task management – ensuring the project resources execute against plans within agreed time frame.
• Updating of project plans and their status to ensure information is correct and current.
• Proactively provide updates to management on issues related to your Projects.
• Provide input to the development of key learnings from each project.
• Liaise with other regional project managers to obtain information as required and prepare slide decks as required.
• Identify areas of improvement, document the issue, and provide suggestions on how to address it."
Project Manager (Professional Engineer) / Water Treatment,RECRUITPEDIA PTE. LTD.,MCF-2023-0728438,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,"Permanent, Full Time",Manager,5 years exp,Engineering,1,"['$7,000to$12,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Our client is a well-established MNC, market leader in the Water Treatment industry. They are looking for a Project Manager assist their Engineering team for the next phrase of their business.

This Project Manager would be responsible for :
Responsible in managing technical and commercial scope and provide a coherent engineering package to obtain fully approval from customer and end-user on schedule
Responsible in ensuring selected systems and or equipment in accordance with contract, specification and performance requirements
Responsible in managing internal team and external vendor to ensure deliver projects on schedule
Responsible in managing and controling internal labor cost charge to project
Responsible in understanding technical specification and commercial terms of contract. Manage contracts and customer expectation
Responsible in project risk management
Responsible in managing full lifecycle of projects from tender review at final stage to completion of project defects liability period.
Handling management of contract to manage customer expectation
Any other adhoc duties required
Requirements
Minimum degree in mechanical, electrical or chemical engineering or relevant studies
Minimum 5 years related project management experience in water treatment, Petrochemical/ Chemical; Marine or Offshore Industries
Registered Professional Engineer (PE) or Chartered Engineer is a bonus
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.
Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R22108850 (Chan Mun Mun)"
IT Project Manager (Agile / Digital Initiatives),SCIENTEC CONSULTING PTE. LTD.,MCF-2023-0728939,"Incorporated in 2004, ScienTec Consulting Pte Ltd has since redefined the standards of HR services by transforming organizations with its 4 principal services: Staffing, Specialist Search, HR Managed Services/Outsourcing and HR Consulting. ⭐Credential and industry awards by ScienTec include Recruitment Agency of the Year, Best Client Service, Best Candidate Experience, Specialist Recruitment, etc. By submitting your application or resume to us, you will be deemed to have agreed & consented to us collecting, using, retaining & disclosing your personal information to prospective employers for their consideration of your candidature. Please refer to ScienTec’s Privacy Policy (https://www.scientecconsulting.com/privacy-policy) for full details. If you wish to withdraw your consent, please write to us at dpo@scientecconsulting.com We request that you DO NOT provide sensitive personal data such as government identification numbers (e.g., NRIC number, passport number) or any other sensitive personal data that is not required during job application stage. Please note that such data may be deleted accordingly. All job applications will be processed with strict confidence and only shortlisted candidate will be contacted. ScienTec Consulting Pte Ltd 1 Maritime Square, #10-33A/B, Harbourfront Centre, Singapore 099253 Tel: +65 6225 3272 www.scientecconsulting.com",,Full Time,Executive,5 years exp,Information Technology,1,"['$5,000to$9,000']",Monthly,2 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
We are looking for a project manager to lead exciting digital projects. You will work closely with stakeholders to formulate implementation strategies, manage project timelines, assess and mitigate risks, and ensure successful project roll-outs and adoption in a dynamic tech environment.
Working Hours: Mon-Fri
Working Location: Central
Remuneration Package: Up to 9k (basic) + AWS
Key Responsibilities:
Develop business cases and budgets for digital systems aligned with agency outcomes.
Create and manage efficient roadmaps for delivering digital initiatives.
Strategize project management and coordination for various initiatives, highlighting interdependencies.
Establish standards for progress reporting and process improvements.
Manage stakeholders across technical and non-technical domains, communicating progress and expectations.
Understand, mitigate, and manage risks related to project delivery, data security, and cybersecurity.
Manage program financing and resource allocation for seamless delivery.
Define key performance indicators (KPIs) and measurement criteria.
Resolve higher-scope issues and conflicts across interdependent projects.
Handle IT system procurement processes.
Ensure projects align with business needs, cost parameters, and quality standards.
Apply appropriate project management methodologies, including Agile practices, for project success.
Engage and motivate key partners to deliver digital products and drive positive change.
Qualifications and Skills:
Degree or Diploma in Computer Science, Information Systems, Information/Infocomm Technology, Computer or Electronics Engineering, or related field.
Minimum of 5 years of relevant working experience, with experience in managing at least 2 full project development life cycles, preferably one using Agile methodology.
Strong leadership skills for vendor and key partner management.
Excellent stakeholder management skills, balancing analytical and people aspects.
Strategic and technical thinking abilities to manage the complexities of technology and people.
Experience in handling application digital solutions, preferably involving Cloud, Design Thinking, Data Analytics, or Product-Centric Development.
Possess Project Management-related certifications such as CITPM, COMIT, or PMI / Agile-related certification such as Certified Scrum Master is an added advantage.
If you are excited with this opportunity and enjoy making things happen, do apply now!

OR

Email your updated resume to: speytu(at)scientecpersonnel.com by quoting ""J42384"" in your email subject for faster processing.
All job applications will be processed with strict confidence and only shortlisted candidate will be contacted.

Elane Yap Theng Yu- R1989397
ScienTec Consulting Pte Ltd - 11C5781"
Infra Project Manager (Japanese Speaking) #IAC,RECRUIT EXPRESS PTE LTD,MCF-2023-0728789,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.","NGEE ANN CITY, 391A ORCHARD ROAD 238873",Full Time,Manager,5 years exp,Information Technology,1,"['$10,000to$15,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities

Responsibilities
Assume responsibility for overseeing and guiding the project team
Collaborate with external vendors involved in the project
Create and sustain comprehensive project blueprints
Oversee project outputs in accordance with the project blueprint
Document and oversee project challenges, and elevate them when necessary
Resolve interdepartmental concerns at the project level
Supervise project boundaries and change control processes, and escalate issues when required
Keep a close eye on project advancement and performance, providing progress updates to all concerned parties
Handle project assessment and dissemination efforts
Work in close collaboration with end-users to ensure the project aligns with business requirements
Establish and administer the User Acceptance Testing regimen
Identify user training requirements, formulate, and manage user training initiatives
Any other ad-hoc duties as assigned by reporting officer

Requirements
Experience in managing overall aspects of server/network/it security related projects
Prior Technical / hands-on experience will be a plus though role is functional
Individual contributor role reporting to a Snr Manager
Project Management certifications will be advantageous
Able to handle multiple projects and tasks simultaneously
Written and spoken proficiency in Japanese Language is required in order to liase with Japanese clients



Interested applicants, please email your resume to Andre Chua Jing Ming
Email: andrechua@recruitexpress.com.sg
CEI Reg No: R1989053
EA Licence No: 99C4599
Recruit Express Pte Ltd"
