title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Registered Nurse (Multidisciplinary),MCI CAREER SERVICES PTE. LTD.,MCF-2023-0725651,MCI CAREER SERVICES PTE. LTD.,,Full Time,Senior Executive,2 years exp,Healthcare / Pharmaceutical,1,"['$2,500to$7,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Are you a skilled and compassionate nurse eager to contribute to the growth and success of our valued client, a prestigious government hospital? Join their pioneering team and become an integral part of their mission to transform healthcare. This unique opportunity allows you to leverage your expertise and drive to help shape the future of healthcare services in collaboration with one of the most esteemed healthcare institutions. Elevate your nursing career and join us in making a meaningful impact on healthcare together. Be part of this exciting journey today!

Benefits Summary
Location: Islandwide Positions Available
Working Hours: Various Settings
Salary Up $7000++ (Based on experience and qualification)
Full Time Benefits Entitlements : AWS + Bonus + Yearly Increment
Various Department Openings
Requirements:
Singapore Nursing Board registered
Please submit your updated resume in MS Words format.

Applicants who possess relevant experience for the above responsibilities are most welcome to apply. If you do not possess the above experience, your application will still be considered on individual merits and you may be contacted for other opportunities.

By submitting your personal data and/or resume, you give consent to collection, use and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

**We regret to inform that only shortlisted candidates would be notified.

Cheah Mei Ling (Stephanie)
Registration Number: R1988795
EA License No: 06C2859 (MCI Career Services Pte Ltd)"
Registered / Enrolled Nurse,PEOPLESOLVE PTE. LTD.,MCF-2023-0725228,"PeopleSolve is an international search firm recruiting experienced and qualified nurses from around the world. Our program is specifically designed to help Singapore & internationally educated nurses succeed permanently in our strategic partner's healthcare organizations in Singapore and beyond. Since 2021, we have helped 6,000 ++ nurses, healthcare assistants and patient service officers to secure placements in key healthcare locations including hospitals, clinics, community care centres, testing and vaccination centres since 2021. We are a member of the Raffles Medical Group, a leading medical group and the largest private group practice in Singapore, PeopleSolve is committed to adopting fair and merit-based employment practices towards our candidates detailed under Tripartite Guidelines on Fair Employment Practices (""TGFEP""). We comply with the applicable labour and employment laws and similar laws in Singapore. Our Five (5) Principles of Fair Employment Practices adopted are: (1) Recruit based on Merit (2) Respect candidates (3) Provide fair opportunities (4) Reward fairly (5) Comply with labour laws EA License No: 21C0695",,"Part Time, Permanent",Junior Executive,3 years exp,Healthcare / Pharmaceutical,1,"['$2,500to$4,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Join a team of well-trained professional staff to administer personalized and quality patient care.
Provide professional nursing care, educate patients and their family, and perform related duties as required.
Coordinate patient care and provide quality nursing care for an assigned group of patients.
Demonstrate competency in clinical nursing skills and knowledge such as performing IV cannulation, venipuncture for blood sampling, IV administration of medical fluids, ECG monitoring and interpretation.
Record and maintain proper accurate documentation of patient's progress and management rendered in the notes, medication records and charts.
Assists doctors and attend to emergency calls whenever necessary.
Maintain a safe and clean environment to the patients.
To assist with counter registration, pack medication, and other work to be assigned.
To assist with opening and closing of the clinic.
Complete ad-hoc tasks and other duties, as assigned by supervisor.

Assignment to be extended subject to mutual agreement.

What Were Looking For
Someone who is caring, has empathy, and can pay attention to the details, for the needs of their patients.
Passionate, compassionate and ready to assist patients who may need to stay in a medical facility or for a longer-term stay.
Diploma/Bachelors Degree in Nursing.
Valid Practising Certificate with SNB.
Able to commit at least three (3) rotating shifts on a roster.

You may also visit our career page at https://www.careers-page.com/peoplesolve

Find out more about us at https://peoplesolve.com.sg/

Christobel James
Reg No: R2198039
PeopleSolve Pte Ltd
EA Licence No: 21C0695"
"Staff Nurse (Nursing Home, 6 days, Shift)",RECRUIT EXPERT PTE. LTD.,MCF-2023-0689850,"Recruit Expert is specialised in placing skilled and executive candidates in all sectors. Excellence Through People: We believe in the phrase ""Our People Are Our Greatest Asset"". Here is where Recruit Expert comes into place to best match talents and organisations. There is a right candidate for the right job: And that is how our recruitment firm tailors services based on our clients' and candidates’ specific requirements and expectations. More information: https://www.recruit-expert.com","THE ARCADE, 11 COLLYER QUAY 049317",Full Time,Executive,2 years exp,Healthcare / Pharmaceutical,1,"['$2,000to$4,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Medication administration and proper documentation.
Perform corrective and preventive measures for non-compliance and discrepancies.
Observe and improve SOPs and nursing home policies.
Requirements:
Registered Nurse under Singapore Nursing Board
At least 2 years relevant experience in the ILTC/General Ward Setting
If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com
Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website at www.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740"
"Assistant Nurse Manager (Nursing Home, Shift)",RECRUIT EXPERT PTE. LTD.,MCF-2023-0587604,"Recruit Expert is specialised in placing skilled and executive candidates in all sectors. Excellence Through People: We believe in the phrase ""Our People Are Our Greatest Asset"". Here is where Recruit Expert comes into place to best match talents and organisations. There is a right candidate for the right job: And that is how our recruitment firm tailors services based on our clients' and candidates’ specific requirements and expectations. More information: https://www.recruit-expert.com","THE ARCADE, 11 COLLYER QUAY 049317",Full Time,Senior Executive,5 years exp,"General Management, Healthcare / Pharmaceutical, Medical / Therapy Services, Others",1,"['$4,500to$5,500']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Accountable for planning, coordinating, and developing the clinical practice within the nursing unit.
Identify, plan and facilitate staff needs in order to provide a platform for professional development.
Assist and support the Nurse Manager in the day-to-day operations, improvements, and developments of clinical nursing services.
Requirements:
Registered Nurse under Singapore Nursing Board
Basic Cardiac Life Support (BCLS) Certified
At least 5 years of experience in the ILTC/General Ward Setting
If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com
Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website at www.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740"
"Staff Nurse (O&G, 5.5 days)",RECRUIT EXPERT PTE. LTD.,MCF-2023-0705698,"Recruit Expert is specialised in placing skilled and executive candidates in all sectors. Excellence Through People: We believe in the phrase ""Our People Are Our Greatest Asset"". Here is where Recruit Expert comes into place to best match talents and organisations. There is a right candidate for the right job: And that is how our recruitment firm tailors services based on our clients' and candidates’ specific requirements and expectations. More information: https://www.recruit-expert.com","THE ARCADE, 11 COLLYER QUAY 049317",Permanent,Executive,2 years exp,"Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$3,500to$5,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Perform nursing duties.
Requirements:
Registered Nurse under SNB
At least 2 years of nursing experience in O&G
If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com
Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website at www.recruit-expert.com
EA Licence: 19C9701
Registration: R21100996"
Staff Nurse,PERSOLKELLY SINGAPORE PTE. LTD.,MCF-2023-0727690,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com PERSOLKELLY Singapore Pte Ltd | EA License No. 01C4394","CITY HOUSE, 36 ROBINSON ROAD 068877",Full Time,Fresh/entry level,,Healthcare / Pharmaceutical,1,"['$2,500to$4,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Job Responsibilities:
Assist in education of patient and ensure accurate nursing records
Provide quality nursing care and supports to patients.
Assess clinical conditions and vital signs of the patients
Plan and implement patient care accordingly
Ensure patients' comfort and safety
Update patient's conditions to next of kin
Job Requirements:
Candidate must possess at least a Diploma/Degree in Nursing
Registered nurse with SNB
Interested candidates who wish to apply for the advertised position, please click on “Apply Now”. Alternatively, you may email us an updated copy of your resume (Attn: JOHT) or contact our office at +65 9176 4007 for a confidential discussion.

Job Code: JOHT
EA Reg No: R1989323 (Tan Lai Tih)
EA License No: 01C4394 (PERSOLKELLY SINGAPORE Pte Ltd)

We regret that only shortlisted candidates will be notified.
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy."
Enrolled Nurse,GRACE LODGE,MCF-2023-0638060,"Grace Lodge was set up by the late Venerable Yen Pei in January 1985 with the mission to provide shelter and care for the needy elderly, regardless of race or religion. We are a voluntary and charitable home with a 300-bedded facility.","FU HUI LINK, 19 COMPASSVALE WALK 544644",Full Time,Non-executive,1 year exp,Healthcare / Pharmaceutical,1,"['$2,100to$2,600']",Monthly,1 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Job Purpose Statement
To provide direct nursing care to residents under the guidance of a registered nurse.

Main Duties & Responsibilities:
• Assist residents with their personal hygiene including showering, skin care, oral care and eye toilet
• Assist to prepare and serve meals to the residents
• Ensure tube feeding residents are fed according to schedule
• Assist Staff Nurse to serve medication to residents
• Provide medical care to the residents including changing dressing, applying eye drops, serving supplements to residents
• Observe and monitor residents' medical conditions including skin infection, sores, bowel problems and report abnormal parameters to Staff Nurse for follow up whenever necessary
• Ensure compliance to nursing procedures at all time
• Assist during Doctor's round
• Carry out weekly routine tasks e.g. taking BP and weights of residents
• Make frequent rounds to ensure residents are well and safe
• Ensure safety of residents at all times, especially high risk residents
• Ensure economical use of supplies & consumables and check for expiring dates
• Assist in sending residents to hospital for checkup
• Any other duties as assigned

Qualification Requirements:
• NITEC in Nursing or equivalent
• Registered with the Singapore Nursing Board
• Preferably with 1-2 years of relevant work experience"
Assistant Nurse Manager - Nursing Home,ABER CARE PTE. LTD.,MCF-2023-0727137,"Aber care is a Healthcare Recruitment Agency providing Permanent, Part-time and Locum placements for Nursing Homes, Day Care Centers, Community Hospitals and Restructured Hospitals. Our years of experience working within the healthcare industry have given us in-depth knowledge and insights into the manpower needs of the sector. Beyond providing a good match for talents for full time and locum employment, we also take on roles as training consultants and provide foreign healthcare placement. EA Licence No. 18C9070",,"Permanent, Full Time",Manager,2 years exp,"Environment / Health, Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$4,000to$5,500']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
To lead the nursing team and related healthcare workers in the ward, and be responsible for the day-to-day operational work flow in the Nursing Department.
Is responsible for the compliance of all nursing standards as stipulated by MOH and SNB.
Leads quality assurance activities to monitor and evaluate the quality and appropriateness of nursing care. Ensures quality audits and planned and conducted periodically. Follow up with areas of corrective improvements.
Ensures written policies and procedures and work process are available and up to date to guide the provision of nursing care.
Monitor the smooth transition of the residents from acute to chronic care and back to the community, where possible.
Direct care of the residents to ensure compliance to standards.
Job Requirements:
Diploma / Degree in Nursing
Registered Nurse with Singapore Nursing Board
At least 2 years experience in similar position in a nursing home / geriatric ward
Good public relations and communication skills
Proficient in Microsoft Words, Excel, Power Point and Outlook
5 days work week on roster
Check out http://abercare.sg/jobs-vacancies/ for more details

Interested applicants may email your updated resume to career@abercare.sg or contact us at +65 6721 9231.

Abercare.sg | Shanon Ang Hui Lin | R23116973 | Ea License No. 18C9070"
Nurse Manager (Hospital),ABER CARE PTE. LTD.,MCF-2023-0726948,"Aber care is a Healthcare Recruitment Agency providing Permanent, Part-time and Locum placements for Nursing Homes, Day Care Centers, Community Hospitals and Restructured Hospitals. Our years of experience working within the healthcare industry have given us in-depth knowledge and insights into the manpower needs of the sector. Beyond providing a good match for talents for full time and locum employment, we also take on roles as training consultants and provide foreign healthcare placement. EA Licence No. 18C9070",,"Permanent, Full Time",Manager,3 years exp,"Environment / Health, Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$6,000to$9,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
To lead the nursing team and related healthcare workers in the ward, and be responsible for the day-to-day operational work flow in the Nursing Department.
Responsible for the compliance of all nursing standards as stipulated by MOH and SNB.
Leads quality assurance activities to monitor and evaluate the quality and appropriateness of nursing care. Ensures quality audits and planned and conducted periodically. Follow up with areas of corrective improvements.
Ensures written policies and procedures and work process are available and up to date to guide the provision of nursing care.
Monitor the smooth transition of the residents from acute to chronic care and back to the community, where possible.
Direct care of the residents to ensure compliance to standards.
Job Requirements:
Degree in Nursing
Registered Nurse with Singapore Nursing Board
At least 5 years relevant experience as managerial role
Good public relations and communication skills
Proficient in Microsoft Words, Excel, Power Point and Outlook
Check out Aber Care Website for more details

Interested applicants may email your updated resume to career@abercare.sg or contact us at +65 6721 9231.

Abercare.sg | EA License No. 18C9070 | Shanon Ang Hui Lin | R23116973"
Nursing Aide (Home Care / Stay Out),ABER CARE PTE. LTD.,MCF-2023-0727236,"Aber care is a Healthcare Recruitment Agency providing Permanent, Part-time and Locum placements for Nursing Homes, Day Care Centers, Community Hospitals and Restructured Hospitals. Our years of experience working within the healthcare industry have given us in-depth knowledge and insights into the manpower needs of the sector. Beyond providing a good match for talents for full time and locum employment, we also take on roles as training consultants and provide foreign healthcare placement. EA Licence No. 18C9070",,Full Time,Professional,2 years exp,"Environment / Health, Healthcare / Pharmaceutical, Medical / Therapy Services",1,"['$1,600to$1,800']",Monthly,0 application,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Perform routine tasks under the supervision of registered nurses in a Home Care Setting .
Care for the health, well-being and safety of elderly.
Deliver nursing care needs for elderly.
Prepare and conduct programme activities for elderly.
Update Individual Care Plans and relevant records.
Look after clients’ personal care needs and cleanliness.
Support caregivers and volunteers in caring for clients.
Job Requirements:
Singaporeans Only
Degree in Nursing
MUST have at least 2 years Singapore working experience in Nursing Home / Day Care Centre
Good communication and interpersonal skills.
Possess a passionate disposition to care for elderly.
Monthly $1800 inclusive of housing allowance

Check out Aber Care website for more details.Interested applicants please email your detailed resume

Abercare.sg | EA License No. 18C9070 | Shanon Ang Hui Lin | R23116973"
