title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Sales Representative,LIFEUP SG PRIVATE LIMITED,MCF-2023-0326350,"LifeUp is a Virtual Reality company that provides virtual tours and content creation for commercial clients and realtors. If you want to experience what it’s like to work in a startup, this is your chance!","Midview City, 22 Sin Ming Lane #04-80 573969",Full Time,Fresh/entry level,,Sales / Retail,1,"['$1,500to$1,500']",Monthly,32 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
JOB DESCRIPTION
Engage with potential customers and promote the benefits of our real estate videos
Build relationships with potential customers and provide excellent customer service
Act as the point of contact between the manager and internal/external clients
Handle requests and queries appropriately
JOB REQUIREMENTS
Good at Sales
Job Type: Full-time
Salary: $1,500 (Basic)
Schedule:
Mon - Sun
Supplemental pay types:
10% Commission"
Sales Representative,INTERTEK MANPOWER RESOURCES PTE. LTD.,MCF-2023-0379170,No information added.,"WOODLANDS 11, 11 WOODLANDS CLOSE 737853",Full Time,Non-executive,3 years exp,"Manufacturing, Sales / Retail",1,"['$2,500to$5,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description & Requirements
Key role in penetrating the existing market and developing new sales and business opportunities.
Work as a sales team to achieve individual committed sales quota and targeted sales forecasts.
Requirements
Minimum 1 years sales and marketing experience
Pleasant personality and responsible for the fulfillment of monthly sales targets.
Computer literate, strong negotiation skills in closing sales contracts.
Online sales experience will add to the advantage"
Sales Representative (VanSales),FRESH N NATURAL FOODS PTE LTD,MCF-2023-0618222,FRESH N NATURAL FOODS PTE LTD,14 CHIN BEE ROAD 619824,"Permanent, Full Time",Non-executive,2 years exp,Sales / Retail,1,"['$3,000to$3,600']",Monthly,3 applications,Posted 23 Sep 2023,Closing on 30 Sep 2023,"Roles & Responsibilities
Job Description
Perform sales delivery to supermarket
Perform ""First-In-First Out""
Check product expiry date
Execute marketing activities at outlet level
Able to carry heavy load
Job Requirements
Work location - Chin Bee Road
Products - Diary / chilled juice / drinks
Valid class 3 or 4 driving licence
Able to start work early (7am)
Able to read simple English"
8890-Inside Sales Representative-1 year Contract Staff (Renewable) - Training provided | up to 3k,THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0410048,"THE SUPREME HR ADVISORY PTE. LTD. Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to cater to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our clients worldwide.","SHENTON HOUSE, 3 SHENTON WAY 068805","Permanent, Full Time",Junior Executive,1 year exp,"Admin / Secretarial, Customer Service",1,"['$2,500to$3,000']",Monthly,3 applications,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Position title : Inside Sales Representative-1 year Contract Staff (Renewable) x 2
Location: Kallang
Working Day: 5 Days (Mon-Fri)
Working Hour: 9 am - 6.15 pm
Salary : Basic up to $3000 (Depending on educational qualification and relevant experience) Incentives: up to $600 per month. Completion bonus of one month salary upon completion of their one year contract

Job Scope
The Inside Sales Rep will assist to generate new leads for the sales team by calling manufacturing contacts to introduce products and services of the company. No product selling or closing is required.
Achieve KPI/Sales
The calling contents will depend on the current project, but overall, the main purpose is to introduce our events, offers, products, or confirmation of their contact details.
Benefits:
Attractive monthly incentive based on performance is provided (Up to $600 monthly).
Additional half-yearly bonus based on performance is provided.
Training will be provided.
This role will work with marketing and sales department and gain exposure to strong communication skills.
Long-term renewable contract with yearly increment.
Entitled to transport, medical, dental allowance, and AWS.


Interested Personal kindly contact WhatsApp :+65 8833 7969(Lydia)
OR
Email to : supreme.lydiachieng@gmail.com
Lydia Chieng Zhi Yee Reg No: R1988890
The Supreme HR Advisory Pte Ltd EA No: 14C7279"
(JC) Van Sales Representative (Woodlands),RECRUIT LYNC PTE. LTD.,MCF-2023-0729216,"At Recruit Lync Pte Ltd, located in Singapore, we are a premier employment agency supported by a team of experienced consultants specializing in various industries such as manufacturing, healthcare, service, and more. We pride ourselves on our values of integrity, trust, respect, and enthusiasm, which guide us in our interactions with both clients and candidates. Our focus on delivering exceptional service to both clients and candidates has earned us the trust of numerous blue chip companies, SMEs, and start-ups seeking recruitment solutions and expert advice. We understand that building the best team involves finding the right balance of talent, skills, attitude, and personality, and we have a proven track record of assisting clients in identifying and recruiting top talent to add value to their teams. We are proud of the team we have built at Recruit Lync, and we are even more proud of the teams we have helped others build. To learn more about us, please visit our website: https://www.recruitlync.com/",,"Permanent, Full Time",Non-executive,1 year exp,"F&B, General Work",1,"['$1,200to$2,800']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Overview: -
Gross Monthly Salary: UP $2800
6 Days (Monday to Saturday)
Your Responsibilities: -
Perform delivery duties and ensure timely collection and delivery of goods via chiller truck
Assist in picking, sorting and packing of goods
Collection of payment from client
You will need: -
Possess a Class 3 driving license
Interested applicants may click ""Apply Now"" to submit your application.
By submitting your personal data and/or resume, you will be deemed to have agreed and consented to us collecting, using, retaining, and disclosing your personal information to prospective employers for their consideration.
We regret to inform that only shortlisted candidates would be notified. We wish you the best of luck!
Recruit Lync Pte. Ltd. | EA Licence Number: 22C1000
Jonathan Chang Sing Erh | EA Personnel Licence: R22110541"
Sales Representative (A22053) -- WORK FROM HOME,EQUE PTE. LTD.,MCF-2023-0728368,"Professional staffing solutions - quality and reliable. We look beyond people's qualifications on paper to determine which individuals are genuinely capable of performing the job required for the roles. Be it assisting businesses in improving the hiring process or assisting job seekers in securing their next employment, EQUE resolves these challenges.",,Freelance,Fresh/entry level,,"Professional Services, Sales / Retail",1,"['$3,000to$10,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Working location: Work from Home
Working hours: Flexible
Industry: Afterlife Pre-planning Services
Strong support and media presence from organization

JOB DESCRIPTION
· Present and promote packages to existing and prospective customers
· Perform cost-benefit and needs analysis of existing/potential customers to meet their needs
· Establish, develop and maintain positive business and customer relationships
· Reach out to customer leads through social media platforms
· Keep abreast of best practices and promotional trends
· Continuously improve through feedback

EA Reg. Number: R21100629
EA License Number: 22C1278"
Medical Sales Representative - Alt Sat / No Experience Required (Training Provided),RECRUITPEDIA PTE. LTD.,MCF-2023-0728880,"RecruitPedia is an innovative, efficacious recruitment solution provider headquartered in Singapore. We are constantly expanding and our trained headhunting consultants are distinguished by their extensive international industry knowledge and experience. It will be our greatest honour to be able to guide you along the ever-changing job market and assist you step-by-step with any challenges you face along the way. RecruitPedia believes that all our clients and candidates deserve excellent service and strives to be the best and trusted service provider.",,Permanent,Fresh/entry level,,Sales / Retail,1,"['$2,800to$3,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Our client is a well-established MNC, market leader in the Medical industry. They are looking for a Medical Sales Rep to assist their Medical Sales team for the next phrase of their business. They are located in Town – easily accessible. The Medical Sales Rep is responsible for:

Duties
Look for new sales and maintain existing accounts to ensure business growth
Maintaining good relationships with clients
Assist in formulating and implementing of sales and marketing strategies
Support in public relations, develop media relations to increase publicity and brand awareness
To prepare weekly and monthly client reports
Any other adhoc duties assigned
Requirements
Training will be provided
Good communication skills
Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email Address: jobs@recruitpedia.sg
Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R23117211 (Hew Lee Dea)"
SALES SUPERVISOR,FOOD ASPIRATION PTE. LTD.,MCF-2023-0729151,No information added.,,Full Time,Professional,6 years exp,F&B,1,"['$3,200to$6,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
A Sales Supervisor plays a critical role in supporting the success of an organization. They are the leader in coordinating the day-to-day activities of the sales representatives and ensuring that they are meeting their goals. The sales supervisor must work closely with the store manager, general manager, and production manager to communicate changing customer needs. As a liaison between the organization and the customers, the production supervisor must anticipate changing customer needs and design products that meet such needs.

Sales Supervisor Job Responsibilities
• Supervise the activities of the sales team including marketing activities like product activations.
• Assist the line manager to recruit, training, enumerating, and retaining a competent sales team.
• Provide reports to top management like sales reports, lead generation reports, customer complaints reports, and new customers’ on-boarded reports.
• Prepare sales presentations and other sales tools.
• Assist the line managers to ensure adequate client communication, maintain contacts with clients and provide feedback.
• Initiate sales activities, strategies, and sales plans required to build brand visibility.
• Serve as a point of reference to employees in terms of showing great work ethic, habits, personal character, and professional character.
• Develop and maintain accurate records of prospects, leads, pricing, sales activities, and active clients.
• Controlling company marketing expenses to ensure the marketing expenditure is kept within budget.
• Attend trade shows and other marketing events and represent the organization.
• Evaluate the performance of the sales team and seek ways to improve the team’s performance.
• Identify the trends in the market, both current, and future that are likely to affect the performance of the organization.
• Ensure the items are displayed correctly in the malls, supermarkets, and other sales points.

Skills/Abilities/Knowledge
• Bachelor’s degree in a business-related course with emphasis on marketing.
• Proven work experience in marketing and achieving set targets.
• Excellent communication skills, both written and verbal communication.
• Ability to lead and motivate a sales team, and put in place measures to retain a great team.
• Excellent selling skills, ability to close deals, and deal with post-purchase anxiety.
• Excellent selling skills, people-oriented, and ability to motivate a team.
• Ability to identify potential areas of growth and identify new business partnership opportunities.
• Strong organization skills and multi-tasking skills.
• The ability to work under pressure.
• Availability to work within opening hours (e.g. evenings, holidays, weekends)."
❤️Client Relationship Sales Marketing Representative❤️100% Customers Provided❤️50% Work From Home Flexible System❤️,RECRUITMENT EXPRESS,MCF-2023-0728747,"At Recruitment Express, We Are Focused On Changing And Upgrading People's Lives For The Better So We Only Offer Job Opportunities That Possess Long-Term Stability, Career Advancement And High Income Potential, So We Only Work With Clients That Takes Care Of Their Teammates",,"Contract, Flexi-work, Freelance, Full Time, Internship/Attachment, Part Time, Permanent, Temporary",Fresh/entry level,,"Banking and Finance, Customer Service, Events / Promotions, Marketing / Public Relations, Sales / Retail",1,"['$6,000to$10,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
❤️Even Though Hard Work Is Important, But In Life, The Choices You Made Proved To Be More Important
(Lifetime Opportunity Not To Be Missed)

❤️Looking For Career Switch To Be A Sales Personnel So As To Earn Higher Income But Does Not Have Sales Background? Not To Worry!
(We Possess The Ultimate Sales Personnel Paradise Platform To Assist Your High Income Career Switch)

❤️Earn $3000 Salary + High Active Comms = $6000-$10000 Income Monthly, Excluding Other Monetary Rewards - Incentives, Recurring Comms, Year Bonus, Loyalty Benefits, Career Progression Etc
(Pay Package Proven To Enable New Personnels Without Experience To Fetch At Least $6000-$10000 Monthly Income)

💙With 100% Customers Provided Throughout The Career + Free Ipad For Work Use + $1000 Start Work Bonus
(No Need To Source For Customers At All)

💙Not Required To Be Sales Hunter: No Roadshows + No Door Knock + No Cold Calling + No Street Canvassing + No Need To Approach Family/Friends
(Customers 100% Fully Provided In This Career)

💙Interested Customers Meet Up At Office Appointments Fully Provided Throughout The Career
(Customers Provided Are All Aware Of Agenda)

💙With Successful High Income Seniors Guidance And Closing Workflow
(To Help You To Earn Good Income By Closing All Appointments For You While You Still New And Learning, To Gain Confidence, On Average Our New Sales Personnels Income Are Clocked At $6000 To 5Figures, And They Started Without Sales Backgrounds)

❤️No Experience Acceptable - Training provided
(We Are Looking At Good Working Attitude And Willing To Learn Attributes Only, Not Looking At Sales Background)

❤️50% Work From Home Flexible System
(Paperwork Matters Can Be Done At Home, We Are Quite Flexible On These Arrangements As Long As It Makes Sense)

❤️Career Progression Available
(Able To Upgrade To Management Role In Due Time)

❤️Job Nature: Perform One To One Branding Awareness Presentations For B2B/B2C Marketing Campaigns, To Meet Each Customer By Office Appointment Basis And Present/Share/Update Latest Financial/Investment Products And Services In Office, Maintaining Relationship Of Existing Client Accounts As Well
(Applicants Have To Like Interacting With People)

❤️This Is Full Time Career, If Looking For Lucrative Career Switch + Willing To Learn, Welcome
(Full Time Career Applicants Only)

❤️If The Above Sales Career Switch's Description Matches What You Looking For: For Fast Response To Secure Limited Available Slots, (Kindly Contact By Whatsapp Text Only) To Alvin 93381340 For Applications And Enquiries (24/7 Reply ASAP) No Calls Will Be Entertained
(First Come First Serve Basis - All Other Forms Of Applications Will Not Be Noticed)

--------------------------

Note: By Sending Any Application To Us, You Will Have Deemed To Have Consented To Us Collecting, Using, Retaining And Disclosing Your Personal Information To Prospective Employers For Their Consideration

Alvin
Recruitment Express
EA license: 20C0178
EA Personnel No : R1874093"
❤️Client Relationship Sales Marketing Representative❤️100% Customers Provided❤️$3000 Salary + Comm ($6000-$10000 Income Monthly)❤️,RECRUITMENT EXPRESS,MCF-2023-0729105,"At Recruitment Express, We Are Focused On Changing And Upgrading People's Lives For The Better So We Only Offer Job Opportunities That Possess Long-Term Stability, Career Advancement And High Income Potential, So We Only Work With Clients That Takes Care Of Their Teammates",,"Contract, Flexi-work, Freelance, Full Time, Internship/Attachment, Part Time, Permanent, Temporary",Fresh/entry level,,"Banking and Finance, Customer Service, Events / Promotions, Marketing / Public Relations, Sales / Retail",1,"['$6,000to$10,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
❤️Even Though Hard Work Is Important, But In Life, The Choices You Made Proved To Be More Important
(Lifetime Opportunity Not To Be Missed)

❤️Looking For Career Switch To Be A Sales Personnel So As To Earn Higher Income But Does Not Have Sales Background? Not To Worry!
(We Possess The Ultimate Sales Personnel Paradise Platform To Assist Your High Income Career Switch)

❤️Earn $3000 Salary + High Active Comms = $6000-$10000 Income Monthly, Excluding Other Monetary Rewards - Incentives, Recurring Comms, Year Bonus, Loyalty Benefits, Career Progression Etc
(Pay Package Proven To Enable New Personnels Without Experience To Fetch At Least $6000-$10000 Monthly Income)

💙With 100% Customers Provided Throughout The Career + Free Ipad For Work Use + $1000 Start Work Bonus
(No Need To Source For Customers At All)

💙Not Required To Be Sales Hunter: No Roadshows + No Door Knock + No Cold Calling + No Street Canvassing + No Need To Approach Family/Friends
(Customers 100% Fully Provided In This Career)

💙Interested Customers Meet Up At Office Appointments Fully Provided Throughout The Career
(Customers Provided Are All Aware Of Agenda)

💙With Successful High Income Seniors Guidance And Closing Workflow
(To Help You To Earn Good Income By Closing All Appointments For You While You Still New And Learning, To Gain Confidence, On Average Our New Sales Personnels Income Are Clocked At $6000 To 5Figures, And They Started Without Sales Backgrounds)

❤️No Experience Acceptable - Training provided
(We Are Looking At Good Working Attitude And Willing To Learn Attributes Only, Not Looking At Sales Background)

❤️50% Work From Home Flexible System
(Paperwork Matters Can Be Done At Home, We Are Quite Flexible On These Arrangements As Long As It Makes Sense)

❤️Career Progression Available
(Able To Upgrade To Management Role In Due Time)

❤️Job Nature: Perform One To One Branding Awareness Presentations For B2B/B2C Marketing Campaigns, To Meet Each Customer By Office Appointment Basis And Present/Share/Update Latest Financial/Investment Products And Services In Office, Maintaining Relationship Of Existing Client Accounts As Well
(Applicants Have To Like Interacting With People)

❤️This Is Full Time Career, If Looking For Lucrative Career Switch + Willing To Learn, Welcome
(Full Time Career Applicants Only)

❤️If The Above Sales Career Switch's Description Matches What You Looking For: For Fast Response To Secure Limited Available Slots, (Kindly Contact By Whatsapp Text Only) To Alvin 93381340 For Applications And Enquiries (24/7 Reply ASAP) No Calls Will Be Entertained
(First Come First Serve Basis - All Other Forms Of Applications Will Not Be Noticed)

--------------------------

Note: By Sending Any Application To Us, You Will Have Deemed To Have Consented To Us Collecting, Using, Retaining And Disclosing Your Personal Information To Prospective Employers For Their Consideration

Alvin
Recruitment Express
EA license: 20C0178
EA Personnel No : R1874093"
