title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Digital Marketing Executive - Social Media,YISHION SINGAPORE PTE. LTD.,MCF-2023-0729182,"YISHION is a leading fast-fashion provider providing women, men and children with trendy apparel. The Group’s attention to quality throughout the entire value chain, from design, sourcing, manufacturing to sales, has been the main driving force for the brand's expansion to over 6,000 stores worldwide today. YISHION is recognised as one of ""Asia's most influential brands” and is embarking on strategic growth in Singapore and SouthEast Asia.",3014A UBI ROAD 1 408703,Full Time,Senior Executive,2 years exp,"Advertising / Media, Design, Marketing / Public Relations",1,"['$2,500to$3,500']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
About Us

YISHION is recognised as one of ""Asia's most influential brands” and is embarking on strategic growth in Singapore and SouthEast Asia. We are actively seeking a creative, forward-thinking and organised social media specialist to join our growing team. In this position, you will interact with targeted virtual communities and network users to promote our brand. You must be able to create consistent, meaningful content on all social media platforms as well as act quickly and gracefully to resolve any criticism and feedback posted on social media.

Responsibilities
Build and execute social media strategy through research, benchmarking, messaging, and audience identification.
Write, develop, and strategize online content production and scheduling.
Assist with crisis management, bad reviews, and negative news communications.
Generate, edit, publish, and share content daily (text, images, video, reels, stories, etc).
Facilitate in the development of digital assets, e-banners, e-newsletters and blogs.
Build meaningful connections and encourage community members through dialog and messaging.
Create and maintain company social media pages and profiles.
Moderate user-generated content and messages appropriately, based on company and community policies.
Create and implement social media marketing plan and editorial calendar.
Track and analyse analytics report to gain insight on traffic, demographics, and effectiveness; utilise.
Knowledge, Skills and Experiences
2 years’ experience in digital marketing and social media.
Strong familiarity with the business applications of social media platforms.
Understanding of social media metrics; able to interpret the data and take action to increase effectiveness of social media campaigns.
Video/ photography skills and design software skills i.e. Photoshop, InDesign, CapCut, etc.
Experience in social media management, influencer marketing and customer relationship management.
Good command of English and Chinese, with written communication skills.
Ability to multi-task and organised.
Retail/ Fashion experience a plus.
Interested candidates can apply by emailing their resume to pennie@yishion.com.sg with subject line “Re: Digital Marketing Executive – Social Media”."
"Corporate Communications Manager (Government, Healthcare, Public Relations) #HDC",RECRUIT EXPRESS PTE LTD,MCF-2023-0729108,"Established since 1996, Recruit Express has emerged as the leading staffing solutions provider that has set a proven track record for matching the right people to the right organization within the shortest time. With our vast network of resources, extensive databases and defined recruitment processes, we have been successfully bridging talented job seekers of the highest calibre to employers who only want the best in their teams. In our relentless pursuit of excellent service, we have adopted best practices and dynamic growth strategies in expanding our operations across the Asia Pacific regions: We have offices in Singapore, Sydney, Hong Kong, Kuala Lumpur, Taipei, Shanghai, Beijing, Tokyo and Bangkok. With 400 permanent committed consultants from various professional backgrounds and disciplines, we make a difference by delivering top-notch services to our clients and candidates alike.","NGEE ANN CITY, 391A ORCHARD ROAD 238873","Contract, Permanent, Full Time",Manager,3 years exp,"Admin / Secretarial, Events / Promotions, Marketing / Public Relations, Professional Services, Public / Civil Service",1,"['$4,000to$8,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Essential Functions:
Implement and manage corporate communications programs, which may include internal newsletters, intranet content, press releases, organization announcements, surveys, annual reports, press releases, presentations, social media, web content, videos, and other communications support as identified by manager.
Assist in developing and maintaining intranet content, including creation of simple web graphics.
Provide communications guidance, planning and tactical support for company initiatives, build trust and credibility as a communications partner with key business partners, departments and committees in the organization, and ensure timely delivery.
Assist in creating and developing the overall social media strategy, maintain social media properties, regularly post content, monitor for replies that need to be addressed.
Maintain organization-wide social media management standards and policies.
Provide guidance to others throughout the organization on best social media practices.
Build and maintain communications with community partners using social media, traditional media, intranet and website communications.
Develop outreach to traditional media including press release distribution, development of media relationships and pitching stories, and cultivating opportunities to escalate presence of the company and its member companies.
Assist in creating and posting content on various company websites.
Ability to learn simple content management systems important.
Manage and provide guidance to external consultants, agencies and contractors.
Requirements
• Min Degree in public relations, marketing or communications
• At least 5 years of experience in communications and projects/events management. Candidates with experience in healthcare industry would be at an added advantage
Good team player who is able to support the team members in achieving organisation goals and project timelines
• Great interpersonal skills, self motivated and detail oriented

If you are interested in the position, do kindly drop your most updated to leonleong@recruitexpress.com.sg (Attn: Corporate Communications)

Thank You.

Leon Leong De Cong
R1551708
Recruit Express Pte Ltd (Healthcare & Lifesciences Division)
EA License: 99C4599"
Social Media Manager,MARINE ONLINE (SINGAPORE) PTE. LTD.,MCF-2023-0726677,"About Us Marine Online (Singapore) Pte Ltd is an eCommerce company, focusing on delivering essential marine services to shipowners. We integrate digital technology, big data, and Artificial Intelligence into the traditional shipping industry to streamline services, which in turn lead to cost savings for shipowners. With the transaction data gathered from Marine Online's platform, we are able to develop an efficient supply chain and credit rating system. This platform aids global shipowners in resolving cash flow issues and positively drives digital adaptation in the maritime industry.","SOLARIS @KALLANG 164, 164 KALLANG WAY 349248",Permanent,Manager,5 years exp,"Advertising / Media, Marketing / Public Relations",1,"['$5,000to$9,000']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities

Responsibilities
Develop social media strategies aligned with the company's goals and target audience. Identify trends and opportunities for growth
Plan and schedule content to be posted at optimal times. Use social media management tools to streamline posting
Monitor and respond to comments, messages, and mentions. Engage with the audience, build relationships, and address inquiries or concerns
Analyze social media metrics to track the performance of posts and campaigns, Use insights to refine strategies and achieve better results
Plan and execute social media advertising campaigns to increase brand visibility and engagement

Requirements
More than 5 years of experience
Preferably someone with experience in Facebook, Instagram, Linkedin, Youtube, Tiktok etc


Please send an updated resume to alfred.lai@marineonline.com or apply directly if you are keen to apply for this position


We will contact you if you are shortlisted for this position"
Social Media Account Manager,IMPOSSIBLE MARKETING SERVICES PTE. LTD.,MCF-2023-0726629,"We are a digital marketing agency built by locals, for the locals. Since 2012, we’ve helped more than 1000 brands in the region, big and small, grow their online presence. With accreditations from Google, Yahoo, Bing, and Facebook, we know just all the right tips and tricks to get your brand found online. Looking for a way to show up to people online, quickly, effectively, and conveniently? If you want to get heard online, we can help.",14 YAN KIT ROAD 088266,Full Time,Fresh/entry level,,Advertising / Media,1,"['$2,000to$3,300']",Monthly,0 application,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
We are looking for a Social Media Account Manager who is passionate about combining marketing and social media management skills to help brands acquire a strong online presence. He or she will be responsible for the creation of social media campaigns and strategies, including budget planning, content ideation, and implementation schedules.

The Social Media Account Manager is responsible for all aspects of the client's social campaigns, including initial planning, implementation, monitoring, optimization, analysis and reporting. He or she is responsible for the day to day progress of clients’ social media campaigns and ensuring timely completion and success of related tasks.

Rewards:
High basic salary
Medical and insurance coverage
Yearly pay increment
Additional 2 days of annual leave every year
Able to attend internal and external courses
Manage some of Singapore’s biggest brand campaigns
Work alongside with an award winning team (Winner of Search Marketing Agency Of The Year 2022 & Lead Generation Agency Of The Year 2022)
A super fun and dynamic company culture
Work from home / Report to office 2 days per week
Responsibilities:
Able to create social media campaigns and strategies, including budget planning, content ideation, and implementation schedules
Ability to strategize and distribute engaging written, graphics and video content
Ensure brand consistency in marketing and social media messages by working with various team members and external partners
Collect audience data and analyze interactions and visits, using this information to create comprehensive reports and improve future marketing strategies and campaigns
Report progress and discuss recommendations with the clients and team members
Strengthen brands’ presence on existing platforms including Facebook, Instagram and LinkedIn
Research and monitor the activity of competing brands
Research the latest trends and best practices to stay up to date on social media developments and tools
Constantly test, optimize and analyze campaigns and projects based on specific KPIs
Requirements:
STRICTLY Singaporean or PR holder only
Experience in a social media related role
Agency experience is preferred
Great with client management
Fluent in written and spoken English
Possesses self-initiative, hardworking and responsible
Resourceful, cheerful disposition with a positive working attitude
Probation Period:
This position includes a 6 months probationary period to assess mutual compatibility within the job role.

Why Us:

Voted by Adidas, CapitaLand, Grab, Lazada, Alibaba, L’Oréal, Hilton, Zalora and UOB, we are the winner of Search Marketing Agency of the year 2022. We are also the winner of Lead Generation Agency of the year 2022.

With an ongoing expansion plan, we want to gather the best talents in Singapore and bring Impossible Marketing globally. This means that you get to manage some of the biggest brand campaigns in Singapore and Asia.

In addition, we are probably the only Digital Marketing Agency in Singapore who takes CSR seriously. We launched “Project KATE” back in 2015 and have since supported multiple charity organisations and the less fortunate for free.

More info: https://www.impossible.sg/"
Senior Social Media Account Manager,IMPOSSIBLE MARKETING SERVICES PTE. LTD.,MCF-2023-0726631,"We are a digital marketing agency built by locals, for the locals. Since 2012, we’ve helped more than 1000 brands in the region, big and small, grow their online presence. With accreditations from Google, Yahoo, Bing, and Facebook, we know just all the right tips and tricks to get your brand found online. Looking for a way to show up to people online, quickly, effectively, and conveniently? If you want to get heard online, we can help.",14 YAN KIT ROAD 088266,Full Time,Manager,1 year exp,Advertising / Media,1,"['$3,200to$4,000']",Monthly,0 application,Posted 22 Sep 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
We are looking for a Senior Social Media Account Manager who is passionate about combining marketing and social media management skills to help brands acquire a strong online presence. He or she will be responsible for the creation of social media campaigns and strategies, including budget planning, content ideation, and implementation schedules.

The Social Media Account Manager is responsible for all aspects of the client's social campaigns, including initial planning, implementation, monitoring, optimization, analysis and reporting. He or she is responsible for day to day progress of clients’ social media campaigns and ensuring timely completion and success of related tasks.

Rewards:
High basic salary
Medical and insurance coverage
Yearly pay increment
Additional 2 days of annual leave every year
Able to attend internal and external courses
Manage some of Singapore’s biggest brand campaigns
Work alongside with an award winning team (Winner of Search Marketing Agency Of The Year 2022 & Lead Generation Agency Of The Year 2022)
A super fun and dynamic company culture
Work from home / Report to office 2 days per week
Responsibilities:
Able to create social media campaigns and strategies, including budget planning, content ideation, and implementation schedules
Ability to strategize and distribute engaging written, graphics and video content
Ensure brand consistency in marketing and social media messages by working with various team members and external partners
Collect audience data and analyze interactions and visits, using this information to create comprehensive reports and improve future marketing strategies and campaigns
Report progress and discuss recommendations with the client and team members
Strengthen brands’ presence on existing platforms including Facebook, Instagram and LinkedIn
Research and monitor the activity of competing brands
Research the latest trends and best practices to stay up to date on social media developments and tools
Constantly test, optimize and analyze campaigns and projects based on specific KPIs
Requirements:
STRICTLY Singaporean or PR holder only
Minimum 2-year social media ads experience OR 1-year experience in a digital marketing agency environment
Great with client management
Fluent in written and spoken English
Possesses self-initiative, hardworking and responsible
Resourceful, cheerful disposition with a positive working attitude
Why Us:
Voted by Adidas, CapitaLand, Grab, Lazada, Alibaba, L’Oréal, Hilton, Zalora and UOB, we are the winner of Search Marketing Agency of the year 2022. We are also the winner of Lead Generation Agency of the year 2022.

With an ongoing expansion plan, we want to gather the best talents in Singapore and bring Impossible Marketing globally. This means that you get to manage some of the biggest brand campaigns in Singapore and Asia.

In addition, we are probably the only Digital Marketing Agency in Singapore who takes CSR seriously. We launched “Project KATE” back in 2015 and have since supported multiple charity organisations and the less fortunate for free.

More info: https://www.impossible.sg/"
"Gaming Partner Operations Manager, Social Media",OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,MCF-2023-0725567,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",Contract,Junior Executive,2 years exp,"Advertising / Media, Consulting, Information Technology",1,"['$6,000to$8,000']",Monthly,1 application,Posted 22 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
This is a 12-month contract based in Singapore.
Job Description:
Social Media Games Partnerships is in need of a motivated individual to work on operations of partnership management.
Responsibilities:
Provide high quality, scaled technical support for the Social Media Games.
Become an expert in our Gaming products, engage with our developers, and their needs.
Understand the developer documentation and tools and can point developers to the correct resource.
Investigate issues, gather information and escalate.
Engage with operations and product teams to build, drive, and improve our documents, tools, and processes.
Minimum Qualifications:
Bachelor’s degree in Computer Science, Engineering, Applied Sciences, Mathematics, Physics, Data, Gaming or related field.
2+ years of online gaming operations working with external clients or cross functional teams within the gaming industry.
Must have experience with customer success in the B2B gaming tech industry.
Preferred:
High level understanding of a programming or scripting language.
Interest in video games
UEN: 199700895N"
Marketing Manager,OFFICE PRODUCTIVITY SOLUTION PTE. LTD.,MCF-2023-0726462,OFFICE PRODUCTIVITY SOLUTION PTE. LTD. IT Resource company that provide IT solutions and service to our client,,"Permanent, Full Time",Manager,3 years exp,"Events / Promotions, Marketing / Public Relations",1,"['$4,500to$6,500']",Monthly,3 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Job Description:
Develop and execute a comprehensive branding strategy that defines the brand's positioning, core values and target audience.
Analysis of market trends, competitors and target audience needs to guide the development of brand promotion strategy.
Plan and execute advertising, publicity and promotional campaigns, including online and offline media selection, to increase brand awareness and recognition.
Develop and manage online digital marketing strategies, including social media, SEO, SEM, etc.
Determine the direction of creative and content, including advertising language, image video, publicity copy, etc to convey brand value and story.
Find and build partnerships with appropriate partners, such as spokespersons, sponsors, etc to enhance the brand's influence.
To ensure the consistency of the brand in various promotion channels and media, and maintain the unity and stability of the brand image.
Monitor the effect of promotion activities, collect and analyze the data, and adjust the promotion strategy according to the data to achieve better promotion effect.
Leads and manages the branding team, assigns tasks and resources, and ensures campaigns are completed on times
Requirements:
Bachelor degree or above in marketing, advertising, media or related field is usually required.
Minimum 3 to 5 years working experience in the field of marketing or brand promotion, understanding of market trends and promotion strategies.
Familiar with digital marketing tools and methods, such as social media management, SEO, SEM, etc.
Good communication and coordination skills, able to communicate effectively with the team, partners and internal and external stakeholders from Hong Kong, Shanghai, Shenzhen, Taiwan, etc.
Ability to collect, analyze, and interpret data and adjust strategies based on data to achieve better results."
Account Manager / Account Executive,THE SMART LOCAL PTE. LTD.,MCF-2023-0726644,"TSL Media Group is Singapore’s leading data-driven and content-led media tech collective. The Group has a team of over 200 staff and is home to some of the most well-loved media brands in the region, such as TheSmartLocal, Must Share News and Eatbook. Driven by a mission to connect the world through a hyperlocal lens, TSL Media Group has an annual viewership of over 200 million pageviews and 200 million video views across all of its websites and social media platforms. TSL is built on an energetic and collaborative work culture. We operate on hybrid work arrangements in a bid to aid employees balance work life and personal life. Here's a video that gives you a glimpse into our office culture: https://www.youtube.com/watch?v=1rPxitC2ock TheSmartLocal – Hyperlocal lifestyle Eatbook.sg – Hyperlocal food MS News – Hyperlocal news ZULA – Hyperlocal female lifestyle Wiki.sg – Hyperlocal facts TelegramCo.sg – 300,000+ Hyperlocal follower network InsightsRN – Data analytics tech TSLoffice.com – Custom HR/project management tech For more information, visit https://tslmedia.sg/","CHUTEX BUILDING, 219 KALLANG BAHRU 339348",Full Time,Senior Executive,2 years exp,Advertising / Media,1,"['$3,000to$5,000']",Monthly,2 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
About TSL Media Group
TSL is the leading new media group in Singapore and we've grown to a company size of over 150 employees. We recently won Mumbrella's Asia Media Brand of the Year, edging out some billion-dollar companies. We're at the stage where we have established multiple profitable brands, and have even developed our own proprietary media tech. We're now expanding across South East Asia rapidly.
Here's a video that gives you a glimpse into our office culture:
https://www.youtube.com/watch?v=wGusSqoNOcQ
About the role
TSL Media Group is looking for a Account Manager and Account Executive to manage client relationships, develop and execute integrated campaigns. You will be involved in driving business growth and uphold and improve the reputation our Company has with clients
What will you do
Build and maintain strong client relationships, ensuring client satisfaction and retention
To grow company revenue through retention and strategic upsell/cross-sell opportunities
Lead the development and execution of integrated campaigns, with a focus on content marketing, KOL management, social media management, storytelling, branding and digital marketing
Collaborate with cross-functional teams including Sales, Project Management, Content Strategy, Creative, Editorials, and media planning and buying to ensure campaigns are delivered on time and on budget
Use data and insights to inform campaign strategy and optimize performance
Stay up-to-date with industry trends, technologies, and best practices
Manage client budgets and forecasting
Manager: Provide leadership and mentorship to junior team members
Requirements:
Executive: Fresh graduates or 1-2 years’ experience in an advertising agency or related field
Manager: 3 - 5 years' of experience in an advertising agency or related field
Possess strong project management skills
Have strong written and verbal communications skills, attention to detail, be well-organised and able to multitask accurately
Be passionate about pop culture, trends, content, KOLs and social media
Be energetic and passionate with a can-do spirit"
Social Media Executive / Strategist,DANAMIC PTE. LTD.,MCF-2023-0724487,"DANAMIC is a collective group, featuring DNMC Creative and its brand of subsidiaries, DNMC Visuals, DNMC+ Productions and DNMC Technology, alongside running danamic., its editorial arm. Based in Singapore, with our own in-house film production, photography and copywriting teams, DANAMIC and DNMC Creative form an integrated, full-fledged Creative Agency – that understands and creates content at the speed of the culture. We reinvent the ways brands and companies communicate — by crafting narratives that speak to their target audiences, not at them. Finally, we also express ourselves through danamic., our Singapore-influenced, guide-based editorial platform that speaks to millennials through honest writing. We cover topics with the veracity the people ask for — and rightfully deserve, through Lifestyle, Arts, Tech, Gaming, and of course our Opinion pieces.",,Full Time,Executive,2 years exp,"Advertising / Media, Information Technology, Marketing / Public Relations",1,"['$2,500to$3,200']",Monthly,0 application,Posted 21 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
The Role
As a Social Media Executive / Strategist at DANAMIC and DNMC Creative, you will be responsible for managing the social media platforms of DANAMIC, as well as our DNMC Creative clientele. By being adaptable and meticulous, you will be able to explore and work on content from a wide range of industries, in both B2C and B2B contexts. You will help to create content that can be used directly on the various socials, while also coordinating with our DNMC Visuals and DNMC+ Production teams for more complex content pieces.
You will be part of a dynamic team, empowered to drive DANAMIC’s growth in the ever-changing world of social media. Alongside all of this, you will develop and execute social media marketing strategies, while coming up with growth plans with and for our clients.
If challenging and diverse experiences across a multitude of industries (i.e. Lifestyle to Education, etc.) are what you are looking for, then this could be the perfect opportunity for you! Furthermore, any candidates assessed to have more experience may be considered for a more senior role.

Key Responsibilities
Develop and implement robust social media strategies rooted in competitive research, benchmarking, audience identification, and strategic messaging
Generate, edit, publish and schedule/share content (including working with our various Visuals and Production Teams for more complex pieces) to build meaningful connections and encourage target audiences to take action
Able to set up and optimize client socials, with the nuances per platform and their branding
Perform Community Management by moderating all user-generated content in line with respective community moderation policies
Create and maintain posting calendars/syndication schedules
Continuously improve by capturing and analyzing the appropriate social data/metrics, insights and best practices, and then acting on the information
Collaborate with other departments (customer relations, sales, etc.) to manage reputation, identify key players and coordinate actions
To be adaptable to the different social and marketing requirements of clients from across a spectrum of industries
Build and plan robust proposals and pitches for both existing and prospective clients, including presentation of the aforementioned
Represent DANAMIC well during pitches and networking events through proper conduct and courtesy
Skills & Experiences
Proven working experience of 1-2 years in Social Media Marketing and Strategy, or in a related Content Creation and Strategy, or related Social Media Management and Coordination capacity
Excellent communication, organizational and time management skills
Confident in liaising with clients to get approvals of campaigns/content/posts, while being able to handle their changing needs
Social media native with experience and adaptable knowledge in managing various Social Media platforms (e.g. Facebook/Instagram, TikTok, Twitter, YouTube, etc.) and have a strong understanding of how to engage current followers and build new audiences
Sound knowledge in planning, managing and optimising media buy on social platforms
Strong attention to detail with the ability to manage multiple projects simultaneously in a dynamic, deadline-driven environment
Keen awareness of current events and trending topics and able to quickly incorporate trends into social media strategy
Able to dive into social media analytics in order to gather actionable insights and generate monthly and campaign reports
Excellent command of the English language is required
Excellent communication skills, both written and verbal
Personal Characteristics
Be self-motivated, energetic, and enthusiastic with a “can-do” attitude
Be open to constructive feedback
Be inclusive and open to working with people from diverse backgrounds
Proactive in learning and improving your craft
Ability to perform high-quality work with minimum supervision within assigned deadlines
A creative individual who is a problem-solver
Reliable and able to work independently
To operate with the mentality of self-ownership for the work created
Team-spirited both internally and with the DANAMIC Network
Passionate about Media, Technology and Opportunity
If this sounds like you and you would like to find out more about this unique and exciting opportunity, then we want to hear from you!

If you’re keen on joining us, please apply with the following:
Your CV, and LinkedIn profile link (if applicable)
Any samples of your work and interests, such as:
Portfolio work as a content creator (e.g. photos, videos, etc.)
Portfolio work on metrics (even if abbreviated for confidentiality)
A short introduction about yourself
Send your application to: careers@danamic.org

Who We Are:
DANAMIC is a collective, featuring DNMC Creative and its brand of subsidiaries, DNMC Visuals, DNMC+ Productions and DNMC Technology, alongside running danamic., its editorial arm. Based in Singapore, with our own in-house film production, photography and copywriting teams, DANAMIC and DNMC Creative form an integrated, full-fledged Creative Agency – that understands and creates content at the speed of the culture. We reinvent the ways brands and companies communicate — by crafting narratives that speak to their target audiences, not at them.
Our Editorial Site: https://danamic.org
Our Creative Agency Site: https://dnmc.sg
Our Benefits:
All our roles run on Hybrid Working (even before COVID); aside from our one mandated physical office day for Weekly All Company Sync-ups, you will be able to enjoy the preference of working at the office or from home, as long as deadlines and project standards are met.
Aside from this role you will fill, you can request to take up opportunities to mirror and learn skills from across all our different departments, upon approval of the other department heads.
We also offer Official Certification Courses due to our direct agency connection with platforms such as Meta (Facebook/Instagram) and TikTok, to help enhance your knowledge of said platforms.
Furthermore, we are one of the first Unionised Creative Agencies in Singapore (i.e. a Corporate Member of the Creative Media and Publishing Union (CMPU)), which means you will be able to enjoy Union Member benefits (courtesy of CMPU/NTUC).
Lastly, we offer additional Corporate Medical Benefits, including Group Hospital and Surgical Coverage, with Group General Practitioner (GP) and Group Outpatient Specialist (SP) for your well-being."
Marketing Manager,KING METORE INTERNATIONAL PTE. LTD.,MCF-2023-0722503,No information added.,"SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986",Full Time,Manager,5 years exp,Wholesale Trade,1,"['$7,000to$12,000']",Monthly,20 applications,Posted 21 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
Self-Storage is seeking a dynamic and experienced Marketing Manager to lead our marketing efforts across Singapore, Malaysia, Korea, and Hong Kong. The Marketing Manager will play a pivotal role in shaping the marketing strategy, managing a lean and talented team, and driving the success of our brand across Asia. The ideal candidate should have a strong background in various aspects of marketing, be data-driven in decision-making, and have a proven track record in social media management and public relations."
