title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Senior / Software Engineer (MNCs) Good Pay + Good Bonus,RECRUITFLASH PTE. LTD.,MCF-2023-0689933,"RecruitFlash is a Singapore-based recruitment and staffing solution provider. At RecruitFlash, we understand that the success of an organisation depends upon the quality and productivity of its employees. By engaging us, we source and recruit quality talent for our clients in various industries. To ensure our service always deliver as per our commitment, our principle is to make sure every candidate that we recommend will be most suitable for our valuable client. We offer jobseekers and employers a wide range of services to meet their unique and specific needs. Our service covers: • Permanent Placement • Talent Searches • Executive Searches",,"Permanent, Full Time",Senior Executive,1 year exp,"Engineering, Information Technology, Manufacturing, Purchasing / Merchandising, Others",1,"['$5,000to$10,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
RESPONSIBILITIES:
As a Product Software Engineer, you will work with an agile team of coders in an open environment, building solutions related to the following technology areas:
* Knowledge Management
* Search Engine
* Data Analytics
You will be involved in the entire product development life cycle, and in the continuous improvement activities as we evolve our DevOps culture.
REQUIREMENTS:
Demonstrates passion and ability to understand and apply new technologies (any contributions to open source will be highly regarded)
Strong, proven development skills in one or more of the following areas:
* .NET or Java (ASP.net preferred)
* JavaScript frameworks
* SQL (Microsoft SQL experience preferred)
Good Pay + Good allowance + Good Bonus
Interested candidates please send an updated Resume / CV in Ms Word format to lilian@recruitflash.com or WhatsApp’s your resume to 98332779 ( no Calls)
Consultant in-charge : Quah Li Lian (Lilian) ( Registration No: R1983286 )"
"Software Development Engineer(Java, API & Microservices)",CLOUD KINETICS SOLUTIONS PTE. LTD.,MCF-2023-0729131,"Cloud Kinetics is a premier provider of digital solutions. We enable enterprises, service providers, and ISVs to drive their business objectives with minimal dependence on infrastructure elements. We offer unique platform-driven services aimed towards accelerating customers’ business transformation journey, in an agile, responsive and scalable manner. Our Vision To be a niche enabler of Digital Transformation objectives, leveraging Cloud technologies. Our Mission Our driving principle is to provide robust platform-driven technology solutions to our customers that enable them to drive their business objectives with minimal dependencies on capital-intensive IT infrastructure and human capital. We deliver “Solutions as a Service” that leverages the power of cloud technology to accelerate our customers’ journey towards their business objectives.",,Full Time,Senior Executive,5 years exp,Information Technology,1,"['$6,000to$8,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
· BS/MS degree or equivalent with 5+ years in the field of Software Engineering and Development
· An obsession with customer experience, product fidelity, developer documentation, API ecosystem and exceptional developer experience.
· Minimum 3+ years of experience in building Platforms, Frameworks & API’s using Java and Spring Boot is mandatory
· Exposure to the other frameworks and programming languages like Python, NodeJS, Golang is a plus
· Strong working experience in micro services API first development, API gateway & API Orchestration
· Working experience with Swagger (Open API Spec), OAuth, REST, JSON etc.,
· Working Knowledge on Reactive/Functional Programming is highly desirable
· Strong understanding of design patterns and best practices in Java
· Strong Experience/Knowledge on Data modeling (RDBMS, XSD, JSON), Database/XML interaction, SQL, Stored Procedure and ORM.
· Exceptional communication, organization and presentation skills
· Experience working with in Agile or Scaled Agile Framework is required

Job Responsibilities:
· Hands on Design, Development, Deployment & Support of API Engineering Platform
· Incorporates standards and best practices, including performance, security, scalability and maintainability
· Interact with Business System Analysts to design and deliver technical solutions to support various business functions"
Software Engineer,HITEC SOURCING PTE. LTD.,MCF-2023-0686661,HITEC SOURCING PTE. LTD.,"THE RIVERWALK, 20 UPPER CIRCULAR ROAD 058416","Contract, Permanent, Full Time",Junior Executive,1 year exp,"Consulting, Engineering, Information Technology, Manufacturing, Precision Engineering",1,"['$2,800to$5,500']",Monthly,6 applications,Posted 08 Sep 2023,Closing on 08 Oct 2023,"Roles & Responsibilities
The Software Engineer responsibilities includes:
- verify and debug software codes.
- understand customer's operations and modify robot's applications to suit customer's needs.
The candidate should be diploma / degree holder and:
- Possess knowledge of C#, C++, C++.Net, Visual Basic.net, Visual C#, Visual Studio.net, etc.
- Possess robotics or automation related knowledge would have an advantage.
- Able to work under pressure.
- Able to work in clean room when necessary.
- Able to converse in Chinese in order to communicate with Taiwan HQ effectively.
- Candidates without experience are welcome.
- Occasional travel when necessary.
The engineer shall report to the Lead Engineer, who will provide assistance and guidance.
The job exposes the candidate to work in a small organisation, flexible work location, and interaction with Taiwan counterparts."
Software engineer,BYTECENTURE CONSULTING PTE. LTD.,MCF-2023-0728743,"Bytecenture Technology is a leading provider of software testing technology and solutions. We are committed to providing one-stop testing and digital experience solutions for customers worldwide. Relying on leading Internet technology strength and rich industry experience, we focus on software testing, automated testing, product global performance monitoring and App digital experience evaluation, helping enterprises improve R&D efficiency, save resources and costs and increase per capita output value. Since its establishment, Bytecenture has been deeply engaged in the core fields of internet, fintech and automobile, and has accumulated rich experience through technical services, tooling platforms and solutions. Bytecenture has in-depth cooperation with many global top 500 enterprises and the world's leading technology companies, and is the most reliable technical service partner for large and medium-sized customers. Founded in 2012, Bytecenture is headquartered in Beijing China with branches in United States, Singapore, Shanghai, Shenzhen, and Hangzhou.",,Full Time,Junior Executive,1 year exp,"Engineering, Information Technology",1,"['$4,000to$6,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Job Description
Our client provides multimedia video cloud to world-wide users. Its video cloud is one of the world's largest and leading video platforms, providing media storage, transcoding and streaming services. Our Client is committed to building the next generation video processing platform and the largest live broadcast network to provide an excellent experience for billions of users around the world.
The role of solution engineer requires in-depth understanding of the video cloud business architecture, helping internal/external business parties to deepen product awareness, promote product optimization, and output the best solution in combination with product capabilities.
As a technical expert, you will be working closely with client's global video cloud R&D and engineering team to promote continuous optimization of products, tools, and processes.

Job Responsibilities
1. Responsible for the design and development of video cloud based solutions;
2. Responsible for collaborating with developers and solving the problems encountered by developers during integration with video cloud services as well as the quality issues in the production service process;
3. Responsible for management of suppliers' demands, sorting out the issues in the integration with suppliers, promoting the development and optimization of technical specifications, and reducing service problems;
4. Have overall awareness, help establish a Quality Service (QS) evaluation system, improve the efficiency of problem handling, and effectively promote the resolution of quality and efficiency problems in the research and development process;
5. Organize structural learning points and consolidate developer handbook to form a common knowledge base for the solution team.

Job Requirements
1. Bachelor’s degree or above in Computer Science or other related majors, with solid fundamental computer science knowledge, strong logical thinking and learning abilities, and understanding of software design patterns;
2. Good professional accomplishment and self-drive, strong technical enthusiasm, able to continue learning and self-improvement;
3. Hiving excellent data analytical skills, issue identification ability, with prior experience in full-chain data collation and data-related tools;
4. Good knowledge of networking fundamentals and protocols (eg. TCP/IP, HTTP/HTTPS, etc.). Familiar with audio & video multimedia protocol, CDN distribution acceleration, RTC and other technologies is preferred;
5. Experience in project management, video cloud related experience or enterprise integration experience is preferred;"
Computer software engineer,BYTECENTURE CONSULTING PTE. LTD.,MCF-2023-0728742,"Bytecenture Technology is a leading provider of software testing technology and solutions. We are committed to providing one-stop testing and digital experience solutions for customers worldwide. Relying on leading Internet technology strength and rich industry experience, we focus on software testing, automated testing, product global performance monitoring and App digital experience evaluation, helping enterprises improve R&D efficiency, save resources and costs and increase per capita output value. Since its establishment, Bytecenture has been deeply engaged in the core fields of internet, fintech and automobile, and has accumulated rich experience through technical services, tooling platforms and solutions. Bytecenture has in-depth cooperation with many global top 500 enterprises and the world's leading technology companies, and is the most reliable technical service partner for large and medium-sized customers. Founded in 2012, Bytecenture is headquartered in Beijing China with branches in United States, Singapore, Shanghai, Shenzhen, and Hangzhou.",,Full Time,Junior Executive,1 year exp,Information Technology,1,"['$4,000to$6,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
软件QA工程师

职位描述
• 负责视频云多个业务线（企业直播、视频点播、图片处理等）的海外项目质量保障工作
• 主要负责产品需求测试，包括不限于：case编写、bug提交和修复验证、用户反馈跟进等

职位要求
• 大专以上学历，1年以上相关工作经验
• 在现有流程下独立完成负责模块的用例设计，并对质量负责
• 能通过测试工具和平台对线上问题进行简单的定位和分析
• 自己的任务能独立进行进度把控和风险评估
• 较好的沟通能力，能通过主动沟通推进问题的解决

Software QA Engineer

Job description
• Responsible for international product quality assurance work for multiple business lines of Video Cloud (enterprise live broadcast, video on demand, image processing, etc.).
• Mainly responsible for product requirements testing, including but not limited to: case writing, bug reporting and fix verification, user feedback follow-up, etc

Job Requirements
• College degree or higher in Computer Science , more than 1 year of relevant work experience in QA
• Independently complete the use case design of the responsible module under the existing process and take responsibility for the quality
• Troubleshoot and conduct root cause analysis of online issues through testing tools and platforms
• Independent progress control and risk assessment of assigned tasks
• Good communication skills, able to promote problem solving through active communication"
Senior Software Engineer (.NET / C#),PAEONIA INNOVATIONS PTE. LTD.,MCF-2023-0728602,"Paeonia Innovations is a newly established R&D outfit of Paeonia Ventures, a single-family office based in Singapore with operations in Singapore, Hong Kong, and the USA. The objective is to undertake special innovation projects on behalf of the family office and develop new products in adjacent industries of our operating companies. In addition, Paeonia Innovations is responsible for scouting new technologies within the testing instruments space at global research institutes and institutes of higher learning (IHLs) with the goal of incubating them into new business lines for internal stakeholders or spin-out companies.",19 CHINA STREET 049561,Permanent,Senior Executive,5 years exp,"Information Technology, Sciences / Laboratory / R&D",1,"['$6,000to$10,000']",Monthly,1 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
You will be involved in product research and development projects related to new chemical sensors and new measurement equipment through design, programming, algorithms, and testing. You will be working with an excellent multidisciplinary team with backgrounds in physics, chemistry, materials, optics, electronics, data analytics, software, industrial design, mechanical design, UI/UX design and circuit design. The team comes from top universities such as Stanford University, National University of Singapore and Nanyang Technological University with prior working experience in leading MNCs and research institutes.

Job Responsibilities
· Development and maintenance of Windows applications that enable and enhance the functionality and user experience of our products
· Implementing machine learning algorithms and data analytics designed by other scientists / engineers for various application and customer needs
· Implementing user interface based on design system to ensure seamless user experience for customers
· Running proper tests to log bugs with version controls to improve on reliability and stability of software
· Collaborating with different engineers to realize final functionality for product integration
· Incorporating data integrity requirements along with the necessary standards
· Working and communicating with stakeholder to understand their needs
· Proper software documentation, comments, tests and fix with clean and scalable code

Requirements
· At least a Bachelor's Degree or higher such as Post Graduate Diploma, Professional Degree or Master's Degree in Computer Science, Computer Engineering or its equivalent
· At least 5 year(s) of hands-on experience on windows applications development and testing
· Proficient and experienced with Windows development in C# on .Net, WPF and WinUI
· Strong programming foundation in object-oriented programming and design
· Understands, appreciates and implements user interface design and flow
· Experienced with version control systems such as Git
· Ability to understand business requirements and translate them into technical requirements
· Experienced in launching products into the market
· (Optional) Test-driven development, continuous integration, unit tests, integration tests methodology
· (Optional) Experience with Python
· (Optional) Experience on ARM-based Embedded System Programming
· Independent problem analysis and solving capability
· Strong oral and written communication skills
· Demonstrated ability to work in a tight scheduling environment"
Software Engineer - JAVA - C# - SDLC,TRUST RECRUIT PTE. LTD.,MCF-2023-0729016,No information added.,,Full Time,Executive,5 years exp,Information Technology,1,"['$4,500to$7,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Job Description:
Create, develop, and deliver functional software applications to meet customer operational objectives.
Enhance software quality by implementing XP practices, such as code review and unit testing.
Adhere to the Software Craftsmanship Manifesto principles.
Prepare technical and architectural documentation.
Collaborate with Business Analysts (BAs) to refine user stories.
Support Quality Assurance (QA) by assisting with test automation and bug resolution.
Aid DevOps in automating build and release processes.
Maintain and provide technical support for existing web and backend applications.
Engage with external parties and customers to resolve issues.
Job Requirement:
Diploma/ Bachelor Degree In Computer Science /Information Technology or equivalent
Min 2 years and above relevant working experience
Proficiency in programming languages like C#, .NET, Java, and familiarity with ArcGIS, Angular, or Python.
Strong knowledge and experience in various databases, including MSSQL, Oracle, MongoDB.
Familiarity with Windows and/or Shell Script.
Experience with Message Queue systems, such as RabbitMQ or equivalent.
Understanding of Event Streaming using Kafka.
Knowledge of Unstructured/NoSQL Databases, such as MongoDB.
Advantageous experience in Software Architecture Design in areas like DevOps (e.g., Gitlab, Docker, Jenkins), Big Data/Data Analytics (e.g., Hadoop), Agile Methodology (e.g., Scrum), UI/UX Design, and full-stack software development.
HOW TO APPLY:
Interested applicants, please click on “Apply Now” and provide the below details in your resume.
We regret only shortlisted candidates will be notified.
Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).
Please read our privacy statement on our corporate website www.trustrecruit.com.sg.
Trust Recruit Pte Ltd
EA License No: 19C9950
EA Personnel: Jordan Fung Si Jong
EA Personnel Reg No: R23112945"
Software Engineer (PC / PLC / Vision),ALIGN RECRUITMENT PTE. LTD.,MCF-2023-0728451,No information added.,,Permanent,Senior Executive,5 years exp,"Engineering, Information Technology, Manufacturing",1,"['$4,500to$8,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 23 Oct 2023,"Roles & Responsibilities
Responsibilities:
Design and develop software for PLC/PC/Vision-based industrial automation equipment.
Analyze, review, validate, and test software to ensure functionality and reliability.
Prepare comprehensive software documentation and manuals to aid users in operating the equipment effectively.
Conduct on-site testing and commissioning of automation projects, ensuring successful implementation.
Collaborate with cross-functional teams to troubleshoot and debug automation systems effectively.
Requirements:
Proficiency in PLC/PC/Vision-based software programming for automation machines.

You may email your resume to hazel@alignrecruitment.com.sg for more information.

Regret to inform you that only shortlisted candidates will be contacted by our consultants.

Align Recruitment Pte Ltd (20C0253)
Pan Hong (Reg No. R2094728)"
Senior Software Engineer – System Design & Implementation,RECRUITFLASH PTE. LTD.,MCF-2023-0729202,"RecruitFlash is a Singapore-based recruitment and staffing solution provider. At RecruitFlash, we understand that the success of an organisation depends upon the quality and productivity of its employees. By engaging us, we source and recruit quality talent for our clients in various industries. To ensure our service always deliver as per our commitment, our principle is to make sure every candidate that we recommend will be most suitable for our valuable client. We offer jobseekers and employers a wide range of services to meet their unique and specific needs. Our service covers: • Permanent Placement • Talent Searches • Executive Searches",,"Permanent, Full Time",Junior Executive,1 year exp,"Engineering, Information Technology, Manufacturing, Purchasing / Merchandising, Others",1,"['$4,000to$8,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Responsibilities:
Support Design of Supervisory Control & Data Acquisition (SCADA), Energy Monitoring Systems (EMS) and Distribution Management Systems (DMS) Solutions based on client’s requirements
Member of Project Team for Supervisory Control & Data Acquisition (SCADA), Energy Monitoring Systems (EMS) or Distribution Management Systems (DMS) Systems Projects;
Responsible for software configuration using IBM Rational Clear Case and GIT version control;
Set-up and installation of UNIX/LINUX/WINDOWS servers, workstations, hardware, and networks (routers, switches, IP addresses);
Assist in the preparation of tender which includes but not limited to: preparation of technical documents, setting up of demonstration servers and laptops
Support preparation of documents which includes instrumentation work design, hardware and software design specifications;
Perform functional and integration testing;
Carrying out site commissioning for delivered SCADA, Energy Monitoring and Distribution Management systems;
Database Modelling and Parameterization (Oracle);
Scripting using Java Scripts, Perl, ksh, zsh, bsh, bash;
Software development using C, C++, Pascal, SQL, Java, HTML, XML, Python, etc;
Ensure regular updates & backup of demo servers & laptops;
Provide support and maintenance for delivered projects;
Requirements:
Degree in Computer Science/Computer Engineering
5 to 10 years’ experience in SCADA, Energy Monitoring and Distribution Management systems or Real Time software development in a UNIX/LINUX environment
Strong knowledge in programming languages such as C, C++, Java, HTML and XML;
Knowledge in Relational DataBase Management System (RDBMS) and SQL commands;
(example Oracle, MySQL, MSSQL, etc)


Salary for experience candidates will be considered based on the years of experience and our internal salary structure
1 month AWS
Variable Bonus ranging from 1 to 3 months depending on individual and company performance
Working hours: 8.00 am to 5.00 pm / 8.30 to 5.30 pm / 9.00 am to 6.00 pm / 9.30 am to 6.30pm / 10.00am to 7.00pm
Working days: Monday to Friday (1 day work from home per week)
Annual Leave: 14 days up to 17 days for non-executive (Assistant Engineer and below)
18 days up to 21 days for executive (Engineer and above)
Medical benefits of $500 per financial year (Benefit is extended to spouse and children (below 21 years old) of married employees)
Insurance coverage: Hospital & Surgical (Benefit is extended to spouse and children (below 25 years old) of married male employees and child (below 25 years old) of married female employees)
Term Life
Personal Accident
Maternity Insurance for female employee and spouse of male employee on the birth of their 1st 2 children claimable up to delivery bill of $6,000.00 whichever is lower.
Flex Dollars of $500 per financial year
Free annual year-end Health Check-Up
Monthly Birthday Party Celebration
Monthly Sports Activities
New Born Gift
CSR Initiatives
Department Bonding Activities
Biennial team building and staff appreciation dinner
Gym Corner for employees to exercise
Interested candidates please send an updated Resume / CV in Ms Word format to lilian@recruitflash.com or WhatsApp’s your resume to 98332779 ( no Calls)
Consultant in-charge : Quah Li Lian (Lilian) ( Registration No: R1983286 )"
Software Engineer / Senior Software Engineer (Basic up to $7000 + AWS / 5 days / North Area) - 109,RK RECRUITMENT PTE. LTD.,MCF-2023-0728545,"RK Recruitment is a workforce solutions provider with the key aim of conducting value-based recruitment activities to our business partners in forms of regular and flexible staffing. We provide one stop recruitment solutions that include: Permanent Placement Contract & Temporary Placement Executive Search Work Pass & Payroll Services Recruitment Process Outsourcing (RPO) Business Processing Outsourcing (BPO), in logistics, customer services and IT related scope (By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.)",,Full Time,Executive,2 years exp,"Engineering, Information Technology",1,"['$3,500to$7,000']",Monthly,0 application,Posted 23 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Benefits Summary:
Basic up to $7000 + AWS
Group Medical Insurance
Flexi – Benefits
Monday – Friday, flexi
Location: North Coast Avenue
Responsibilities:
Software sustaining and continuous improvement of current machine’s software.
Responsible for software feature development and enhancement based on customer requirements.
Provide supporting and troubleshooting to on-site software issues.
Review and update the user requirement documents and operation procedures.
Collaborate with mechanical, electrical, application team to implement new hardware feature or software feature to equipment.
Develop and enhance software utilities to improve equipment setup and easy operating abilities
Requirements:
Require BS or MS in Electrical/ Electronic/ Computer Engineering or equivalent.
Proficient in C, C++ programming with Windows OS.
Experience in PC-based control programming.
Able to work independently with good interpersonal, verbal and written communication skills.
Requires minimum of 3 years relevant experience in software development.
Require travel regionally.
Experiences in similar kind of project will be advantageous.
Knowledge in real time control system, object oriented software design Methodologies and database Technologies.
Good knowledge with vision, motion and Secsgem would be assigned as senior position.
Please submit your updated resume by using the APPLY NOW BUTTON

By submitting your personal data and/or resume to us in connection with your job application, you will be deemed to have agreed and consented to us in collecting, using, retaining, and disclosing your personal data and/or resume to prospective employers for the purpose of the evaluating, processing and administration by company relating to this job application.

*We regret to inform you that only shortlisted candidates would be notified*

We wish you all the best in your career search.

You are welcome to visit our website at http://www.rkgroup.sg/

RK Recruitment Pte Ltd | EA License No.: 20C0280
Shawn Long Jie Shyan | EA Personnel No.: R22109109
622"
