title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Supply Chain Business Analyst / Supply Planner (West / 5D / Basic up $4.5K),HTZ RESOURCES,MCF-2023-0724965,"HTZ Resources (EA No.14C7241) is an executive search and human resources management firm, which provides quality staffing in different industries. We highly regard our objective in adding value to our customer’s business with effective and efficient staffing solutions.","ORCHARD TOWERS, 400 ORCHARD ROAD 238875",Full Time,Fresh/entry level,1 year exp,"Logistics / Supply Chain, Manufacturing, Marketing / Public Relations, Purchasing / Merchandising, Sales / Retail",1,"['$3,500to$4,800']",Monthly,5 applications,Posted 22 Sep 2023,Closing on 22 Oct 2023,"Roles & Responsibilities
Your Role
We are looking for an experienced Supply Chain Business Analyst/ Supply Planner to coordinate and suggest marketing strategies based on market research. You will communicate with leaders about marketing programs, strategies, and budgets. And to plan and and support in the progress to creative briefs and guide to meet objectives. You need to ensure the integration of supply chain strategy with other functional strategies..
What Will You Do
To coordinate and suggest marketing strategies based on market research
To communicate with leaders about marketing programs, strategies, and budgets
To plan and support in the progress to creative briefs and guide to meet objectives
To ensure the integration of supply chain strategy with other functional strategies.
Other ad-hoc role assigned by manger
What Do We Want
Min Degree & above in Business Administration/ Economics/ Supply Chain Management or equivalent
At least 0-1 years of relevant working experience in Supply Chain Analyst/ Supply Planner/ Business Planning with a focus on strategic supply chain management or strategic planning or development.
Proficient in MS Excel/ Google Sheet/ Data analysis/ pivot tables, data processing skills.
What Will You Get In Return
You will be given exposure to a hold a key position in a growing organization with attractive rewards and a wide range of benefits. You will entitle a Gross salary up to S$4800 + attractive perks.

What You Need to do Now
Click ""Apply"" and please include the following information in your resume:
Personal Particulars with recent photograph
Education background
Work experiences in point forms
Reason(s) for leaving
Current and Expected salary
Date of availability / Notice Period
Note:
Only shortlisted candidate will be notified via email for an interview invitation"
Supply Chain Analyst,WILLIAMS-SONOMA SINGAPORE PTE. LTD.,MCF-2023-0639847,"We are a USD 8 billion company, with a multi-brand, multi-channel, global enterprise supported by state-of-the-art technology and some of the most talented teams in retailing - and we're always looking for new energy and ideas. The Singapore regional office was set up in 2008 and we currently have 160 associates over functions such as corporate social responsibility, customs & compliance, finance, human resource, information technology, inventory planning, logistics, sourcing, and quality assurance. The Southeast Asia team is an inclusive employer where we recruit and provide employees with fair opportunities on the basis of merit, regardless of age, race, gender, religion, marital status, and family responsibilities, or disability. COME BUILD A HOME WITH US…","18 TAI SENG, 18 TAI SENG STREET 539775","Permanent, Full Time",Executive,2 years exp,"Logistics / Supply Chain, Sales / Retail",1,"['$3,500to$4,500']",Monthly,31 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
JOB PURPOSE:
We are looking for a passionate and quick-thinking individual. This successful candidate will assist the Function Head by reviewing, evaluating, and recommending improvements on the vendor setup procedures and guidelines and drive requirement compilation, managing and maintenance of vendor compliance manual.

KEY RESPONSIBILITIES:
· Develop user manuals, administration guides and policies related to vendor setup processes. Creates process maps and related documents as needed.
· Review, evaluate and compile policies and processes updates from respective Subject Matter Experts into the vendor compliance manual.
· Liaise with Corp IT team on the timeline on data uploading and broadcasting to vendors on updated version of the VCM.
· Analyze all requirements and requests in contracts (which include all other official documentation) to ensure compliance with all laws and regulations and company policies and procedures.
· Compile and analyze shipment data, conduct data analysis and provide detailed comparison and discussion points for management discussion.
· Perform checks to verify the completeness and accuracy of data.
· Assist queries from WSGO offices on shipments / vendor data.
· Collaborate with cross-functional team for various report generation.
· Collate with IT team on issues related to data or logic.
· Update/maintaining the Vendor Performance Scorecard SharePoint.
· Daily approval of import purchase orders.
· Validate non-approved PO and liaise with respective buyer for necessary action.
· Support improvement and enhancement of processes and in-house system for vendor setup.
· Preparation of training material and conduct training session on new requirement/ changes.
· Provide internal support to other areas within the department.
· Other related tasks assigned from time to time.

JOB HOLDER’S COMPETENCIES & EXPERIENCE:
· Degree/Diploma in Business Administration or other relevant qualifications.
· Proven 2-3 years working experience in data analytics/supply chain analyst.
· High proficiency in Microsoft Office, especially Excel.
· Knowledge and understanding of corporate law and procedures, possess excellent analytical skills and drafting skills.
· Strong in data crunching and analysis and are comfortable dealing with numerical data.
· Ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
· Adept at queries, report writing and presenting findings."
Supply Chain Business Analyst,ITCAN PTE. LIMITED,MCF-2023-0723258,"ITCAN PTE LTD , headquartered in Singapore, offers a full spectrum of integrated IT S/W Solutions & Services. Empowered to deliver enterprise client Server or web based solutions across the entire value chain, spanning on - site consulting services to turn key S/ W projects Regional Offices : Malaysia / Australia / HKG / Clients in : Europe / US / Canada /China / Japan / Middle East Multi Awards Winner : E50 , APEA, AREA, SOE , ASME, SIEA , AEA, TGE, (Visit Website for more details)","PRUDENTIAL TOWER, 30 CECIL STREET 049712",Contract,Executive,3 years exp,Information Technology,1,"['$5,000to$10,000']",Monthly,8 applications,Posted 21 Sep 2023,Closing on 21 Oct 2023,"Roles & Responsibilities
Requirements
Business domain knowledge in Supply Chain Finance / Account Receivable Purchase.
Experience in working in large scale IT projects focusing on Open Accounts / Supply Chain finance projects.
Responsibilities
Collaborate with business units / technical teams / external vendors to support to define / create /prepare the user requirements document (functional / non-functional / data mapping)
To collaborate with application teams / business units to define /create the To-be workflow / business process / solution.
To collaborate with application teams to work on the integration strategy between external / bank systems.
To collaborate with Application support teams to define / prepare the post Go-Live support plan.
To collaborate with the test leads / business units to plan the testing strategy, validation of test cases / results and provide functional support to Testing team / business unit during SIT and UAT phase.
Below skills are advantageous:
Should have good written and verbal communication
Good problem-solving skills and interpersonal skills
Experience/understanding of controls in a Banking environment
ARP, Supplier finance, recoveable payment"
Supply Chain Analyst (Fortune 500 MNC) | Up $3800 | 6 Months Contract | Clementi,PERSOLKELLY SINGAPORE PTE. LTD.,MCF-2023-0718534,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com PERSOLKELLY Singapore Pte Ltd | EA License No. 01C4394","CITY HOUSE, 36 ROBINSON ROAD 068877","Contract, Full Time",Junior Executive,1 year exp,Logistics / Supply Chain,1,"['$3,500to$3,800']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description:
Develop planning system strategies to improve signals across the supply chain
Monitor and adjust parameters in the planning system.
Use common processes tools, and information systems.
Analyze and interpret Key Performance Indicators to identify areas for improvement and action plans.
Execute the daily operational planning process within a specified functional area.
Identify potential supply chain failures as part of the planning process and mitigate associated risks
Work closely with stakeholders - internal and/or external to develop short term tactical improvements.
Use the planning system to drive consistent planning signals across the supply chain
Participate in functional process improvement teams

Requirements:
Master or Degree
Prior experience in Supply Chain Analyst
Knowledge about Supply Chain Scheduling, Materials Management
Good with numbers, mathematics and data analysis
Proficient with Excel / Access Database
Excellent in Data Management skills
Meticulous with data representation and consistency
Should you be interested in this position, please contact Terence at +65 9645 4048 (https://wa.me/6596454048) your resume directly for fast respond.
We regret to inform that only shortlisted candidates will be notified.
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.
PERSOLKELLY Singapore Pte Ltd • RCB No. 200007268E • EA License No. 01C4394• Reg. R23116141 Le Cong Thang"
Supply Chain Planner (Fortune 500 MNC) | Up $3800 | 6 Months Contract | Clementi,PERSOLKELLY SINGAPORE PTE. LTD.,MCF-2023-0721064,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com PERSOLKELLY Singapore Pte Ltd | EA License No. 01C4394","CITY HOUSE, 36 ROBINSON ROAD 068877","Contract, Full Time",Junior Executive,1 year exp,Logistics / Supply Chain,1,"['$3,500to$3,800']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description:
Develop planning system strategies to improve signals across the supply chain
Monitor and adjust parameters in the planning system.
Use common processes tools, and information systems.
Analyze and interpret Key Performance Indicators to identify areas for improvement and action plans.
Execute the daily operational planning process within a specified functional area.
Identify potential supply chain failures as part of the planning process and mitigate associated risks
Work closely with stakeholders - internal and/or external to develop short term tactical improvements.
Use the planning system to drive consistent planning signals across the supply chain
Participate in functional process improvement teams

Requirements:
Master or Degree
Prior experience in Supply Chain Analyst
Knowledge about Supply Chain Scheduling, Materials Management
Good with numbers, mathematics and data analysis
Proficient with Excel / Access Database
Excellent in Data Management skills
Meticulous with data representation and consistency
Should you be interested in this position, please contact Terence at +65 9645 4048 (https://wa.me/6596454048) your resume directly for fast respond.
We regret to inform that only shortlisted candidates will be notified.
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.
PERSOLKELLY Singapore Pte Ltd • RCB No. 200007268E • EA License No. 01C4394• Reg. R23116141 Le Cong Thang"
Supply Chain Data Analyst (Fortune 500 MNC) | Up $3800 | 6 Months Contract | Clementi,PERSOLKELLY SINGAPORE PTE. LTD.,MCF-2023-0717862,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients. Headquartered in Singapore, the company was established in 2016 and is a joint venture between Kelly Services, Inc. and affiliates of PERSOL HOLDINGS Co. Ltd. Today, PERSOLKELLY operates more than 45 offices across 13 markets including Australia, China, Hong Kong, India, Indonesia, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, and Vietnam. For more information, please visit www.persolkelly.com PERSOLKELLY Singapore Pte Ltd | EA License No. 01C4394","CITY HOUSE, 36 ROBINSON ROAD 068877","Contract, Full Time",Junior Executive,1 year exp,Logistics / Supply Chain,1,"['$3,500to$3,800']",Monthly,2 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
Job Description:
Develop planning system strategies to improve signals across the supply chain
Monitor and adjust parameters in the planning system.
Use common processes tools, and information systems.
Analyze and interpret Key Performance Indicators to identify areas for improvement and action plans.
Execute the daily operational planning process within a specified functional area.
Identify potential supply chain failures as part of the planning process and mitigate associated risks
Work closely with stakeholders - internal and/or external to develop short term tactical improvements.
Use the planning system to drive consistent planning signals across the supply chain
Participate in functional process improvement teams

Requirements:
Master or Degree
Prior experience in Supply Chain Analyst
Knowledge about Supply Chain Scheduling, Materials Management
Good with numbers, mathematics and data analysis
Proficient with Excel / Access Database
Excellent in Data Management skills
Meticulous with data representation and consistency
Should you be interested in this position, please contact Terence at +65 9645 4048 (https://wa.me/6596454048) your resume directly for fast respond.
We regret to inform that only shortlisted candidates will be notified.
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.
PERSOLKELLY Singapore Pte Ltd • RCB No. 200007268E • EA License No. 01C4394• Reg. R23116141 Le Cong Thang"
Supply Chain Assistant Analyst (BCP),CONCENTRATE MANUFACTURING (SINGAPORE) PTE. LTD.,MCF-2023-0681085,Global Brands We have a complementary food and beverage portfolio that includes 22 brands that in 2014 each generated more than $1 billion in estimated annual retail sales. Global Business Units PepsiCo's products are sold in more than 200 countries and territories around the world. Meet the global business units that make it all possible.,1 SUNVIEW WAY 627542,"Contract, Permanent, Full Time",Executive,5 years exp,"F&B, Logistics / Supply Chain, Manufacturing",1,"['$4,500to$6,500']",Monthly,40 applications,Posted 06 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
Support day-to-day BCP coordination, ownership of plans and management of planning readiness.
Manage project conversion including but not limited to material phase-in/phase-out assessment, readiness of phase-in materials, mitigation of phase-out exposure risk. Planning for Raw Materials by maintaining safety inventory levels and replenishing based on MRP requirements.

RESPONSIBILITIES
Project management (communicate, run weekly conversion meetings, manage label/packout changes, upsizing, codes creation, master data maintenance)
Ensure master data readiness and timely conversions.
BCP related shipment arrangement and shipping documents for customer
Raw Material planning and optimization
FG Shipment coordination (including SO creation, and shipment tracking)
Analyze SAP purchase requisitions and convert to PO’s on timely basis for Raw Materials
Manage exception such as expedites and postponements and present weekly exception reporting.
Be the data owner for these materials.
Daily interaction with Production Planners to provide updates on raw material availability.
Ensure accuracy of Supplier Shipping and Order documentation.
Ensure accuracy and maintenance of Safety Stock and Order Policy settings
Meet inventory and material planning metrics.
Identify and manage opportunities to optimize SAP functionality
Provide accurate and timely feedback in relation to Inventory in Risk (MIRA)
Lead and implement projects for inventory optimization and process improvements
Monitoring supplier quality and delivery performance and collaborate with procurement team to resolve issues
Participate in development and implementation of new area processes and improvements
Meet all internal and external compliance responsibilities including Purchasing Policy requirements, GCS, SOX & AIBI
Any other ad hoc duties and projects as assigned.
PRE-REQUISITES
Bachelor’s Degree in Supply Chain, Inventory, Accounting or Engineering.
At least 5 years of experience in a related Supply Chain (demand or raw materials planning) or Operations role.
Strong operational experience in a dynamic multinational organization
Experience working closely with third parties and colleagues in remote locations to deliver business objectives an advantage
Ability to manage multiple and complex tasks
Proven ability to execute and deliver on commitments
Knowledge in demand planning and understand master data setup
Possess knowledge of SAP MM module
Knowledge of SAP PP module will be an advantage
Strong Computer literacy, particularly in MS Office
Excellent analytical skill, with proven ability in problem solving and quick decision making
Excellent interpersonal skill and communication skill in, both verbal and written
Ability to energize, develop and build rapport at all levels within an organization
Be capable of working effectively in a cross functional and virtual environment
We regret that only shortlisted candidate will be notified."
Supply Chain Analyst,SECRETLAB SG PTE. LTD.,MCF-2023-0589450,"Secretlab was established in 2014 with the mission of creating the ultimate seating experience. We design and produce chairs for comfort over long hours of use in front of the computer. Our award-winning products have consistently achieved near perfect scores from both media and users. Secretlab products are sold directly to the customer, and are currently available in Singapore(where we are headquartered), US, UK, Malaysia, Australia, Canada, and most European & South-east Asia countries. Secretlab was the winner of OCBC’s Emerging Enterprise Award 2017. At Secretlab we are a team of highly motivated individuals that take great pride in our work. We are looking for driven, versatile, and result-oriented individuals who share our vision. You will be heavily involved in a fast-growing enterprise and be a part of the team that pioneers its rapid expansion. We offer great flexibility and plenty of opportunities for fast track careers to our staff.",,"Permanent, Full Time",Professional,2 years exp,Logistics / Supply Chain,1,"['$5,000to$7,000']",Monthly,160 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Secretlab is an international gaming chair brand seating over a million users worldwide, with our key markets in the United States, Europe and Singapore, where we are headquartered.

You will be an integral member in our Supply Chain team, responsible for optimizing inventory levels and supply to end consumers across more than 60 countries worldwide. You should be an experienced supply chain professional, adopting a data-driven approach combined with strong analytical and logical reasoning skills.

Our Supply Chain team is essential for enhancing our customers’ experience and supporting key partnerships programs with world-renowned brands such as Game of Thrones, Batman, Cloud9, Team Secret, as well as international esports organisers such as Riot Games for their League of Legends global tournaments.

Responsibilities
Prepare forecasts for production and global stock allocation
Gather, analyse, and effectively utilize forecasted figures, research, and current/ historical data (Sales Reports, BI Tools)
Consistently scrutinize and challenge forecasts or requested stock allocations as needed.
Monitor and analyse sales performance (weekly, monthly, quarterly, etc.) to gather insights and spot significant patterns/ trends.
Manage global inventory levels against internal targets through constant monitoring, prioritizing, and reallocations.
Analyse a broad range of data (inventory levels, delivery periods & cost, efficiency) to optimize Secretlab’s supply chain and provide key internal stakeholders with meaningful information for decision making.
Develop and maintain complex data sets, using intermediate-advanced functions (VLookup, Pivot Tables, etc.) or Business Intelligence tools to draw meaningful conclusions and recommendations for key business leaders.
Develop an informed and veteran understanding of direct/ indirect factors on supply chain (logistical limitations, promotional activities, festive seasons, weather conditions, etc.)
Contribute to the Supply Chain department’s function as Secretlab’s key internal liaison for inventory-related activities
Preparation of forecasting & KPI reports to be presented to the Head of Global Operations
Any other ad-hoc duties or projects as assigned
Requirements
Bachelor in Business, with a specialization in Supply Chain, Analytics, or a relevant course of studies.
At least 2 years’ experience in a similar role
Excellent communication skills, with business proficiency in English and Chinese (for liaising with Chinese-speaking vendors)
Experience working with ERP systems (preferably Netsuite)
You should be a self-starter with strong logical reasoning skills
Proficiency in GoogleSheets and Microsoft Excel, highly capable in utilizing intermediate-advanced functions (VLookup, Pivot Tables, etc.)
Bonuses
Strong understanding of consumer psychology
Prior experience working with Business Intelligence tools
Experience in the shipping industry, with familiarity with ocean freight"
Supply Chain Analyst,SATAIR PTE. LTD.,MCF-2023-0670392,"At Satair, we soar above the rest as a truly global leader in the aviation industry, dedicated to revolutionizing the way aftermarket solutions are delivered. As a subsidiary of Airbus, our wingspan extends across the globe, connecting OEMs and customers with an unparalleled range of genuine OEM parts and innovative multi-fleet services. We're not just a distributor; we're the heartbeat of material management, ensuring seamless access to Airbus Material Support and serving as the exclusive authorized distributor for an extensive array of Proprietary Products and Services, in collaboration with our trading partner, Airbus SAS. What truly sets us apart is our unwavering Can-Do Attitude. It's the beating heart of our company, driving us to embrace challenges with passion and persistence. We thrive on initiative, constantly seeking ways to elevate our business and exceed expectations. From aircraft hangars to the skies, Satair is committed to delivering excellence in every endeavor. For more information please visit www.satair.com",12 SELETAR AEROSPACE LINK 797553,"Permanent, Full Time",Manager,3 years exp,Logistics / Supply Chain,1,"['$5,600to$7,500']",Monthly,131 applications,Posted 31 Aug 2023,Closing on 30 Sep 2023,"Roles & Responsibilities
Job Objectives
Optimization of planning and inventory control parameters in accordance with Satair’s objectives and strategies.
Furthermore, consolidate the demand forecast
Job Responsibilities
Handle follow-up and improvement of Satair's ability to deliver to customers, and closely monitor that the suppliers conform to agreed upon contractual obligations
Handle maintenance of the global inventory policy including: (1) Classification of products, (2) Optimization of order points/order size, (3) Global set-up of inventory in SAP, (4) Registration of new part numbers
Handle maintenance of planning related master data
Supplier relations Supply Chain: (1) Meet purchase commitments, (2) Monthly supplier reports, (3) Monthly forecasting
Registration of cost prizes in cooperation with the buyer
Cooperate with the Product & Service Manager regarding development/maintenance of the product selection and stocking levels
Lead and document monthly forecast meetings with Product Manager Monitor coming slow movers and agree on action plans in cooperation with the Product Manager
Ensure optimum cooperation with the buyer regarding supplier conditions and procurement
Outlier correction
Collect Planning/FC data from other stakeholder, like Technical Demand Forecast, Commercial Demand Forecast, Kitting, Repair
Consolidate Planning FC Data to one single demand forecast
Comment on FC data for explanation and tracking purposes
Prepare the FC for final approval
Why-late analysis and contribution to other reports
Handle follow-up and improvement of Satair's goals and prepare performance reports on a monthly basis which reflect: (1) Budget/forecast, (2) Inventory level, (3) Turn, (4) Slow mover, (5) Stock-outs, (6) Supplier performance, (7)Customer performance
Secondary Responsibilities
Participate in and plan external and internal visits with suppliers
In cooperation with Contract Management & Sales Support/Sales Management ensure that Satair stock is in accordance with the contractual obligations
Participate in supplier contract and agreement negotiations concerning: (1) Inventory level, (2)Turn, (3) Order sizes, (4) Lead time, (5) Supplier performance, (6) IT key user activities
Job Requirements
Professional and practical insight with experience in Purchasing, logistics or engineering
Strong business acumen and judgement
Good numeracy skills
Excellent command of English- Written and Spoken
Strong knowledge of Microsoft Office, especially Excel and Google workspace
Experienced with SAP RPR and SAP APO/IBP will be an advantage
Comfortable with data and experience with analytical work including exposure to BI and/or other reporting tools
Travelling
Customer-minded
Strong team player
Excellent communication skills
Good analytical skill; ability to see the bigger picture and derive mid to long term recommendations on way forward
Ability to balance and align varying interests of stakeholders
Objective and have a open/‘out-of-silo’ mind-set, ability to build successful relations across functions and with all stakeholders
Ability to work in an international context
Ability to work under pressure
Curious and keen eye for details"
Senior Supply Chain Analyst (FMCG),HAYS SPECIALIST RECRUITMENT PTE. LTD.,MCF-2023-0507794,"We are the experts in recruiting qualified, professional and skilled people across a wide range of specialised industries and professions. We operate across the private and public sectors, dealing in permanent positions, contract roles and temporary assignments. At Hays, we believe the right job can transform a person's life and the right person can transform a business. We're passionate about connecting our candidates with the right job for them.","UOB PLAZA, 80 RAFFLES PLACE 048624",Permanent,Senior Executive,3 years exp,Logistics / Supply Chain,1,"['$6,000to$7,000']",Monthly,52 applications,Posted 30 Aug 2023,Closing on 29 Sep 2023,"Roles & Responsibilities
Your new company
My client is one of the leading company focusing on providing consumers goods in Singapore. With more than 100 shops island wide, they are looking to grow the team and is looking for a Senior Supply Chain Analyst to join the team! Located in the West, hybrid arrangement.

Your new role
You will be supporting the development and creation of innovative supply chain solutions, shaping the supply chain's mid to long term development plan:

Analyse sales trends based on business activity to improve in accuracy, inventory, and service levels
Inventory management – execute strategies to mitigate the risks of slow moving or obsolete stocks
Effectively communicate with other key stakeholders across different functions for data-driven insights and how to improve business processes
Drive supply chain optimisation projects, execution of supply chain strategies, and work on continuous improvement initiatives
Analyse and map out the existing supply chain network to understand the businesses needs
Present data-driven insights to key stakeholders, providing recommendations and solutions to help improve business processes
Analyse the operational performance for distribution centre to enable the operations team to track and achieve KPIs
What you'll need to succeed
At least a Bachelor's Degree in any field
Must have at least 3 years of experience in supply chain optimisation projects, data analysis, or supply chain network design
Strong understanding of the end-to-end supply chain process
Analytical experience with the ability to work with data or any BI or analytical tools
What you'll get in return
In return, you'll be part of an organization who values their employees. You will have a structured career growth and plenty of developmental opportunities. You will also be compensated with attractive remuneration package."
