title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Software Developer (Java),ADECCO PERSONNEL PTE LTD,MCF-2023-0719517,"SHAW CENTRE, 1 SCOTTS ROAD 228208",Contract,Senior Executive,8 years exp,Information Technology,"['$6,000to$12,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
The Opportunity
Adecco is partnering with one of the most well-established and respected financial institution with a strong track record of success.
They have a culture of innovation and continuous improvement, constantly looking for ways to improve their services and offerings.
Job Qualification
At least a Bachelor’s degree in any of these faculties:
Computer Science / Information Technology / Programming & Systems Analysis / Science (Computer Studies)
This position requires a minimum of 8+ years of relevant experiences in Java-J2EE software engineering, ideally in a banking environment
Functional
Financial/banking industry knowledge is plus.
Knowledge of Cash Management systems is a strong plus
Technical
Minimum 8+ years experience in web and stand-alone application design & development with Java/JEE technologies in Unix environment.
Excellent understanding and practical experience of Spring Frameworks (IOC, Spring Boot, Spring Batch, Spring Integration, Spring Security etc.).
Good understanding and practical experience on Docker, CI/CD and Kubernetes.
Strong knowledge and practical experience of Micro services architecture.
Practical knowledge of Jenkins, Maven, Master Deploy.
Strong knowledge of source code management tools such as Git, Svn
Excellent knowledge of messaging systems like WebSphere MQ, HornetQ
Practical experience on JavaScript technologies such as Angular 5/6, VueJs, Aurelia / Durandal or ReactJS.
Practical experience on working with application servers like Jboss, Jetty, Webphere.
Solution design using proven patterns, awareness of anti-patterns, performance tuning
Other Professional Skills and Mindset
Strong organizational and communication skills
Strong analytical and problem solving skills
Team spirit - Like explaining and sharing knowledge
Awareness of various software development procedures
Willing to work on new topics and to collectively propose innovative solutions
Proactive
Ability to follow defined procedures
Understanding and respect of cultural diversity


Next Step
Click “apply” or send resume to: Tamanna Bilandi tamanna.bilandi@adecco.com
EA Licence No.91C2918| Personnel Registration No. R2096241"
Engineering Software Developer,TDS ENGR SOLUTIONS PTE. LTD.,MCF-2023-0718504,153 BUKIT BATOK STREET 11 650153,Full Time,Professional,2 years exp,"Design, Engineering, Information Technology","['$4,000to$6,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
TDS provide services and develop software application related to Plant Design and E3D for clients as well as internal usage. You can find out more about our application on our Youtube channel ( https://www.youtube.com/c/TDSEngrSolutionsPteLtd )
We are looking for E3D developer who will be able to participate in E3D development as well as maintenance and enhancement of our existing packages. He should be able to use C#, C++ and PML for the development.
The requirements for the job :
a. Computing or Engineering Degree;
b. Currently actively programing using C#,C++ or PML . Please send some write-up about the project you are doiing.
c. Experience in AVEVA E3D/PDMS or Autodesk Navisworks, Autocad and Revit

Recent graduate may apply but will need to do a technical test in programing in C#, C++ or PML will be considered."
Software Developer (Java Full Stack),ADECCO PERSONNEL PTE LTD,MCF-2023-0719540,"SHAW CENTRE, 1 SCOTTS ROAD 228208",Contract,Senior Executive,5 years exp,Information Technology,"['$6,000to$12,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
The Opportunity
Adecco is partnering with one of the most well-established and respected financial institution with a strong track record of success.
They have a culture of innovation and continuous improvement, constantly looking for ways to improve their services and offerings.
Job Qualification
At least a Bachelor’s degree in any of these faculties:
Computer Science / Information Technology / Programming & Systems Analysis / Science (Computer Studies)
This position requires a minimum of 5+ years of relevant experiences in Java-J2EE software engineering, ideally in a banking environment coupled with experiences in ReactJS/UI as huge advantages.
Functional
Payments/banking industry knowledge is strong plus.
Knowledge of Cash Management systems is a strong plus – e.g. ISO20022, Payments flow, etc.
Technical
Minimum 5+ years experience in web and stand-alone application design & development with latest Java/JEE technologies in Unix environment.
Minimum 2-3+ years of experience in UI development with latest React/Angular framework
Excellent understanding and practical experience of Spring Frameworks (IOC, Spring Boot, Spring Batch, Spring Integration, Spring Security etc.).
Good understanding and practical experience on Docker, CI/CD and Kubernetes.
Strong knowledge and practical experience of Micro services architecture.
Practical knowledge of Jenkins, Maven, Master Deploy.
Strong knowledge of source code management tools such as Git, Svn
Excellent knowledge of messaging systems like IBM MQ, HornetQ, RabbitMQ
Practical experience on JavaScript technologies such as Aurelia / Durandal.
Proven experience on quality code deliverables and working with platforms like Sonarqube
Practical experience on working with application servers like Jboss, Jetty, Webphere.
Solution design using proven patterns, awareness of anti-patterns, performance tuning
Other Professional Skills and Mindset
Strong organizational and communication skills
Strong analytical and problem solving skills
Team spirit - Like explaining and sharing knowledge
Awareness of various software development procedures
Willing to work on new topics and to collectively propose innovative solutions
Proactive
Ability to follow defined procedures
Understanding and respect of cultural diversity

Next Step
Click “apply” or send resume to: Tamanna Bilandi tamanna.bilandi@adecco.com
EA Licence No.91C2918| Personnel Registration No. R2096241"
AI Engineer,TEMUS PTE. LTD.,MCF-2023-0719693,"MAPLETREE BUSINESS CITY, 80 PASIR PANJANG ROAD 117372",Permanent,Senior Executive,1 year exp,Information Technology,"['$8,000to$13,000']",Monthly,2 applications,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Our Background Founded by Temasek and UST, Temus is a start-up aspiring to be Singapore's digital transformation champion, with a mission to empower Singapore’s Smart Nation across public and private sectors and enhance the lives of citizens. Our services span from strategic advisory through to digital, data and AI delivery. Our focus is on harnessing disruptive innovation to unlock economic and social value enabled by technology. We are growing quickly and looking to recruit highly motivated and talented people to join us on this audacious mission.

Our Purpose
Place client value and human experience at the centre of everything we do
Use AI and data to deliver material impact and drive disruptive transformation across public and private sectors
Maintain public trust in AI and data protection ensuring fairness, ethics, accountability, and transparency

Your Role
Harness your expertise in AI engineering, delivery, and governance to solve complex problems and deliver transformative change for clients and citizens
Make an outstanding contribution to a world-class AI and data team
Develop and maintain relationships with a broad range of clients, colleagues, and partners across a variety of contexts and formats
Invest continuously in building and extending your knowledge and skills

Your Profile
Minimum 3 years of relevant working experience in fields related to artificial intelligence, machine learning, data science, software engineering
Broad knowledge of data science and machine learning: NLP, computer vision, recommendation systems, reinforcement learning and time series forecasting
Completed at least one hands-on AI development and deployment end-to-end
Exposure to software engineering and CI/CD principles: containerization, Infrastructure/configuration as code, model, and data versioning
Exposure to a broad range of AI, data, and development tools: Jupyter, TensorFlow, PyTorch, DataRobot, H2O, Hugging Face, AWS Sagemaker, Google Vertex AI, Azure ML, MLFlow, Ignazio, Dataiku, IBM-360, MS Fair toolkit, Google PAIR, Docker, Kubernetes, Terraform, Ansible and Datadog
Exposure to one of more of cloud services: AWS, Azure or GCP
Ability to rapidly acquire new AI and data skills
Strong ability to communicate with, develop and maintain relationships with a broad range of clients, colleagues, and partners across a variety of contexts and formats.
Bachelor’s or master’s degree in any quantitative field
Track record on data science competitions such as Kaggle is highly desirable

Temus is an equal opportunities employer. We welcome applications from all. We do not discriminate by race, religion, belief, ethnicity, origin, disability, age, partnership status, sexual orientation, or gender identity. We see the diversity of our team as a strategic advantage, and we work actively to maintain it"
DEC / ITD / IAM - Software and Application Manager 2763,RECRUIT EXPRESS PTE LTD,MCF-2023-0718499,20 Pasir Panjang Road 117439,Contract,Executive,7 years exp,"Banking and Finance, Information Technology","['$5,000to$8,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Main responsibilities
Project Management
Prepare project planning, schedules and milestones in coordination with project teams.
Organize project committee meetings, team meetings and status reporting.
Confront issues, manage schedules, priorities and risks involving all stakeholders.
In coordination with project teams, manage project lifecycle from inception, elaboration, construction until product release.
Ensure the delivery of the following project artifacts as needed: detailed functional specifications, use cases, test strategy and test cases.
Analyze and transform business requirements into solutions with the help of Development teams.
Prepare and communicate functional and technical documentation.
Plan, prepare and execute the qualification strategy and tests of the overall developed solutions .
Deliver fully tested products on-time, up to production deployment.
Manage service offer based on SSO based solution
Manage end to activites of SSO team (Development, Onboarding and Support)
Oversee the acquisition and development of software systems
Monitor the results and quality of the different software solutions and projects implemented in the organization
Oversee the development of solutions and provide technical expertise on the development of software and platform features
Business Analyst
Proactively communicate and collaborate with stakeholders to analyze information needs and functional requirements and deliver the following artifacts as needed: detailed functional specifications, use cases, test strategy, test plan and test cases.
Prepare and execute test cases. Manage the resolution of issues raised following test plan’s execution
Prepare and conduct testing on components prepared by the team and participate to joint integration testing
Follow up and support User Acceptance Tests (UAT)
Participate in 3rd level support when functional issues are reported. Analyze and solve functional problems in coordination with software engineers
Qualifications and Profile
This position requires 7+ years of relevant experiences as an IT Business Analyst or Project Manager supporting the development of enterprise wide complex information systems within major organizations, ideally in a banking environment.
Candidate must have a bachelor degree in
Computer Science or
Information Technology or
Programming & Systems Analysis or
Science (Computer Studies)
Mandatory
Hands-on experience of coordination between the IT business lines and IT team (various locations) and as primary functional support for development teams
Knowledge in project cycle methodologies and management
Knowledge in software development life cycle and software testing life cycle
Good experience in managing small to medium-sized projects (iterative or agile).
Strong ability to interpret business needs and translate them into requirements
Ability to anticipate risks
Identify and determine enhancements to improve business processes and to mitigate/reduce risks
Strong experience in working with Microsoft Office tools (including MS Project).
Nice to Have
Proficient in SQL database queries
Knowledge in IGA and IAM products
Knowledge of performance testing and associated tools
Other Professional Skills and Mind-set
Strong analytical and problem solving skills
Proactive style of working
Strong communication (written, and verbal) and organizational skills
Ability to multi-task and work independently with minimal supervision
Team player mindset
Understanding and respect of cultural diversity
Interested applicants, please email your resume to Shaun Quek Yew Meng
Email: shaunquek@recruitexpress.com.sg
CEI Reg No: R1660732
EA Licence No: 99C4599"
EUD Support Engineer,NATIONAL UNIVERSITY OF SINGAPORE,MCF-2023-0646465,21 LOWER KENT RIDGE ROAD 119077,Full Time,Professional,2 years exp,Information Technology,"['$3,000to$5,000']",Monthly,3 applications,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Interested applicants are invited to apply directly at the NUS Career Portal.
We regret that only shortlisted candidates will be notified.

Job Description
You will be part of the End-User support team that is responsible to manage the day-to-day support for faculties, schools and departments. You will work across a broad range of technologies and liaise across multiple areas of the business to support incidents, problems and requests and be responsible for answering IT requests via phone, email and IT Ticketing System.
• Lead and supervise a team of end-user device support engineers, providing guidance, mentorships and training to ensure high performance and achievement of team goals.
• Foster a positive and collaborative team environment, encouraging knowledge sharing, continuous learning and professional development.
• Develop and implement proactive measures to minimize end-user device-related incidents and improve overall user experience.
• Maintain accurate records of support requests, resolutions, and user interactions using appropriate ticketing systems or knowledge bases.
• Create and update documentation, user guides, and knowledge articles to enhance the self-service capabilities of end users.
• Identify common support trends and recurring issues, proactively sharing knowledge within the team to drive continuous improvement.
• Act as technical focal point for IT Shared Services, Service Owners and end-users, analyse complex scenarios to provide technical support.
• Manage and review technical escalation from L1/L2 on complex scenarios and incidents.
• Assist IT Business Partner in Shared Services Operation Management. Provide effective and timely day-to-day End-User device support, advice, guidance and diagnosis, and timely problem resolution.
• Maintain PCs/laptops, mobile devices, IP phone systems, printers and peripherals, etc.
• Support the use of End-User devices such as PC, laptops, tablets and mobile devices running on MS Windows, Linux, Mac OS, iOS, Android, etc.
• Support the use of IT applications such as O365, Faculty software and utility applications e.g., Adobe, Zip, etc.
• Provide technical consultation and advice to users on End-User devices.
• Work closely with technical teams to provide technical solutions.
Qualifications
• Diploma in Computer Science / Information Technology / Software Engineering or equivalent.
• Minimum with 2 – 3 years of Technical Support Experience.
• Good knowledge on basic networks, security, printers, desktops/ laptops/mobile devices, endpoint security and imaging.
• Good experience in troubleshooting MS Windows Operating Systems, Linux, Mac OS, iOS, Android and vulnerability resolutions
• Good customer service, communications and problem-solving skills.
• Knowledge in ITIL processes will be an advantage"
QA Engineer (White Box),RANDSTAD PTE. LIMITED,MCF-2023-0718704,,"Permanent, Full Time",Professional,2 years exp,Information Technology,"['$3,000to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
about the company
Our client is a tech consultancy company that specializes in developing web and mobile applications in the gaming industry.
about the job
Work closely with backend software engineers to tune code and databases(Oracle, MySQL)
Unit Test execution and development using Junit framework and IntelliJ Integrated Development Environment
Liaise with internal & external teams (e.g. developers and project managers) to identify system requirements and constantly improve test scope accuracy
Log and track defect using Jira and follow-up to closure
Mentor peers by cultivating curiosity and technical understanding
Work closely with other QA team to deliver high quality releases
Conduct code reviews to ensure unit testing code quality
Constantly looks for improvements in software development and testing processes
Perform other duties as assigned
skills and experience required
Bachelor’s Degree in Computer Science or equivalent
At least 2 or more years of relevant experience with whitebox testing
Must have work experience with Java (SpringBoot framework)
Must have work experience with unit testing (JUnit framework)
Hands-on experience working with Oracle database
Hands-on experience with IDE (IntelliJ), distributed source control (Git) & CI tool (Jenkins)
Experience with RESTful(Representational State Transfer) API, 3-tier architecture
Solid knowledge of software QA methodologies, tools and processes.
Thorough Understanding of API/integration testing
Experience in working with agile life cycle and/or tracking and process management tools (JIRA)
Proven ability to identify and resolve the root cause of system defects
Proven QA experience in testing highly distributed and complex systems, with an ability to think tactically as well as strategically
Excellent teamwork and collaboration skills
Capable to work under pressure
Desire to share knowledge for the improvement of others
Experience with performance test is a plus
Understanding of SOLID principle is a plus
Experience with Katalon or similar software testing framework is a plus
Experience in designing and building test tools and systems is a plus
Strong analytical skills, creative, and detail oriented
Self-motivated and able to work independently
Proficient in Mandarin to liaise with clients in China
To apply online please use the 'apply' function, alternatively you may contact Kaixinn at kaixinn.chew@randstad.com.sg
(EA: 94C3609/ R2196712)"
Software DevOps Engineer (.Net / Azure / APIM / Blob Storage / Azure Service Bus),STELLAR LINK PARTNERS PTE. LTD.,MCF-2023-0718420,,Permanent,Senior Executive,4 years exp,Information Technology,"['$6,000to$8,100']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
My client, an international education provider is seeking for an Azure Devops Engineer to be part of their growing IT team. Work location is at Bugis.
Role
Gather business requirements and develop technical solutions for the finance integration platform.
Design, develop, and maintain interfaces between internal applications, external banks, and payment providers.
Monitor and troubleshoot interfaces to ensure that they are performing as expected.
Drive the adoption of DevOps best practices and implement CI/CD pipelines for the finance integration platform.
Deliver new IT initiatives on time and within budget.
Work with other engineers to develop and implement DevOps best practices, such as continuous integration, continuous delivery, and automation.
Create CI/CD pipeline for build, release, and configuration management of Azure environment
Design, develop, and maintain a CI/CD pipeline for Azure.
Automate the build, release, and configuration management of Azure resources.
Ensure that the CI/CD pipeline is scalable, reliable, and secure.
Investigate and develop skills in new technologies and suggest ways to improve and reduce operational costs with adaptive performance tuning
Develop tools and scripts to automate deployments and improve work efficiency.
Use development tools to automate repetitive tasks.
Continuously improve the tools and scripts to make them more efficient.
Automate and develop scalable systems using cutting-edge technologies
Ensure that the systems are reliable and secure.
Operations Support
Perform incident, problem, and change management activities.
Ensure that tickets are managed to meet the required SLAs and processes.
Manage priority incidents and leverage cross-functional teams to quickly eliminate impacts.
Perform analytics on previous incidents and usage patterns to better predict issues and take proactive actions.
Have a strong focus on automation and processes.
Design, implement, improve, and utilize monitoring tools.
Qualifications:
Bachelor's degree in computer science or a related field.
At least 3 years of experience in developing and supporting integration solutions.
Strong understanding of Azure services, including APIM, Blob Storage, Azure Service Bus, Storage Accounts, ADF, and Azure SFTP.
Experience with .NET development and DevOps best practices.
Strong problem-solving and troubleshooting skills.
Excellent communication and teamwork skills.
APPLY NOW! Interviews are ongoing!
We regret to inform that only shortlisted candidates would be notified.
Chiam Lee Ping Dayna
Consultant
Reg. No: R1764404
Stellar- Link Partners Pte Ltd (EA License: 21S0698)"
Software Engineer,ROVISYS ASIA COMPANY PTE. LTD.,MCF-2023-0715624,"The Strategy Tower 2, #03-27 2 International Business Park 609930",Full Time,Fresh/entry level,,Engineering,"['$3,600to$4,500']",Monthly,9 applications,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
A Software Engineer/Developer at RoviSys, you will work on exciting software projects, design and code custom software for clients wishing to automate sharing of information between process controls and higher-level systems, or to organize and report information for use in making business decision. You will work in a collaborative environment to solve complex client challenges with intelligent, talented and dedicated teammates.

Description of work:
Plan, design and contribute to project roll-out such as installations, configurations, testing and training.
Implementation of industrial application based on solution architect and technical lead’s design.
Execute and leave services such as system upgrades, system support and routine maintenance.
Collaborate with various teams and division on project execution.
Understand and adhere to ISO project execution methodology.
Assist in technical workflow, SOP and documentation.
Develop and build solutions using different industrial applications.
Be involved and participate in industrial application trainings by RoviSys’ senior engineers.
Job Knowledge:
Knowledge in programming languages such as but not limited to C#, Python or C++.
Knowledge in MS office and familiarity with Excel Macros (VBA) highly preferred.
Strong analytical and problem-solving abilities.
Keen on working to integrate with OT systems.
Qualifications:
B.S in engineering, computer science or similar and/or relevant industrial experience.
Strong team-player, able to work collaboratively in multidisciplinary teams.
Motivated self-starter, quick to adapt and work independently with minimal supervision.
Active and takes initiative to keep up to date with industry trends.
Strong interpersonal and presentation skills."
Software Engineer(Data),NEWBRIDGE ALLIANCE PTE. LTD.,MCF-2023-0717236,"PAYA LEBAR QUARTER, 1 PAYA LEBAR LINK 408533",Permanent,Senior Executive,2 years exp,Information Technology,"['$4,500to$6,500']",Monthly,1 application,Posted 19 Sep 2023,Closing on 19 Oct 2023,"Roles & Responsibilities
We are seeking a highly skilled and motivated Software Engineer to join our dynamic team working on projects for our esteemed public sector client. As a Software Engineer, you will play a critical role in the design, development, and deployment of software solutions that meet the unique needs and challenges of the public sector. This is an excellent opportunity to make a meaningful impact on society by leveraging your technical expertise and problem-solving abilities.

Responsibilities:
Collaborate with cross-functional teams, including product managers, architects, and quality assurance, to design and develop robust software solutions for our public sector client.
Write clean, efficient, and maintainable code using object-oriented programming languages such as Java, C++, or C#, adhering to coding standards and best practices.
Participate in the full software development lifecycle, including requirements gathering, design, coding, testing, documentation, and deployment.
Conduct thorough testing and debugging of software applications to ensure high-quality deliverables.
Identify and address technical challenges, performance bottlenecks, and scalability issues, employing effective problem-solving techniques.
Stay up-to-date with emerging technologies, trends, and industry best practices, and actively contribute to the continuous improvement of our software development processes.
Collaborate with clients and end-users to understand their needs, gather feedback, and provide technical guidance and support when required.
Document software designs, technical specifications, and user manuals to facilitate knowledge sharing and maintain comprehensive project documentation.
Qualifications:

Bachelor's degree in Computer Science, Software Engineering, or a related field (Master's degree preferred).
Professional experience as a Software Engineer, preferably in the public sector or a related industry, with at least 2 years of experience
Strong proficiency in object-oriented programming languages such as Java, C++, or C#, with a solid understanding of software design principles and patterns.
Experience with full software development lifecycle, including requirements analysis, design, coding, testing, and deployment.
Proficient in database design and development, with knowledge of SQL or other query languages.
Familiarity with Agile methodologies and practices, such as Scrum or Kanban.
Excellent problem-solving and analytical skills, with a keen attention to detail.
Strong communication and collaboration skills, with the ability to work effectively in a team environment.
Proven ability to adapt quickly to changing priorities and project requirements.
A passion for technology and a strong desire to make a positive impact in the public sector through software engineering.
We offer competitive compensation packages, a collaborative work environment, and opportunities for professional growth and advancement. Join us in our mission to revolutionize the public sector through innovative software solutions"
