title,company,job_post_id,address,employment_type,seniority,min_experience,job_category,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Teacher Aide,AUTISM ASSOCIATION (SINGAPORE),MCF-2023-0359707,"EDEN SCHOOL, 101 BUKIT BATOK WEST AVENUE 3 659168","Permanent, Full Time",Fresh/entry level,,"Education and Training, Social Services","['$2,000to$2,500']",Monthly,27 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Curriculum & Instructional Excellence
· Assist in creating clean, safe and conducive learning environment which promotes student learning and development
· Assist lead class educator in preparing and producing learning materials
· Assist and guide students in carrying out instructions and activities during lessons

Holistic Student Development
· Assist lead class educator to collect data to monitor students’ learning and behavioural progress
· Support lead class educator in determining individualised goals for each student to enhance their development
· Build strong rapport with students using positive behaviour strategies

Professional Development
· Participate in cluster meetings and professional development activities to upgrade relevant knowledge and skills

Other Areas
Participate in various school initiatives & events
Assist in CCA duties

Requirements:
O Levels/Relevant Certificates in Education are welcome
Candidates who possessed a Local Diploma / IB / A Levels / Local Degree may be considered for the position of Educator
Relevant experience in teaching special needs students will be an advantage
Working location: Eden School (Bukit Batok), 101 Bukit Batok West Ave 3 S(659168)"
Preschool English Teacher,EMPLOYMENT CENTRE PTE. LTD.,MCF-2023-0718435,,Full Time,Non-executive,1 year exp,Education and Training,"['$3,000to$4,700']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Job Descriptions
Undertaking the responsiblity of teaching the class in accordance to our curriculum and guidelines.
Classroom management, planning of curriculum, prepare teaching aids and classroom decoration.
Collaboration with all teaching staff to achieve high standard of teaching and caring to children.
Evaluate and document children’s progress development and communicate professionally with parents regarding their children’s performance.
Ensure the safety and well beings of children remail vigilant at all times, follow health, safety, nutritional and hygiene standards.
Job Requirements
Diploma in Early Childhood Care & Education/Advanced Certificate in Early Years.
Computer literacy.
Good Communication and Interpersonal Skills.
Must be a good team player."
Student Care Teacher,METAMORPHOSIS EDUCATION CENTRE,MCF-2023-0647356,"TECK GHEE COURT, 340 ANG MO KIO AVENUE 1 560340","Contract, Full Time",Non-executive,2 years exp,Education and Training,"['$2,000to$2,500']",Monthly,9 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description

Supervise homework for students.
Supervise and maintain order in classroom and during outdoor activities.
Address and counsel student's behavior.
Ensure classroom rules are being observed.
Requirement
Patient and passionate
Friendly and cheerful
Student Care/ Tutoring Experience is advantageous
Minimum 2 years of student care work experience"
Preschool Teacher (JY),RS RECRUITMENT AGENCY LLP,MCF-2023-0718737,50 TAGORE LANE 787494,"Permanent, Full Time",Professional,3 years exp,Education and Training,"['$4,500to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Plan and implement curriculum and programmes
Plan developmentally appropriate teaching, learning and caregiving activities aligned to the relevant curricula frameworks
Customise classroom management strategies
Design quality learning environment with developmentally appropriate learning materials and resources
Review health, safety, nutritional and hygiene practices in accordance with standards and procedures
Identify potential teaching and learning methods, tools and assistive technology based on emerging trends in the sector
Build relationships and partnerships
Identify opportunities to collaborate with families to ensure continuity of care and learning between the home and the Centre
Serves as a role-model to child learners
Manage family and community programmes
Develop outreach activities to promote Centre programmes and services
Guide the execution of collaborative projects with families and community stakeholders
Evaluate family and community initiatives and programmes for improvements
Conduct routine caregiving
Set up and create a stimulating and engaging pleasant learning environment that promotes learning.
Manage classroom management
Contributes to child learning, growth and advancement.
Review results of caregiving assessment
Review caregiving in accordance with standards and procedures
Evaluate routine caregiving improvement opportunities
Uplift professional practice
Co-develop appropriate teaching and caregiving methods based on emerging sector trends, technologies and tools
Analyse areas for improvements for professional practice
Propose improvements to professional development and service quality improvement activities
Requirements
Minimum 2 years of Early Childhood Education (ECE) teaching experience.
Diploma in Pre-School Education - Teaching (DPE-T) / Diploma in Early Childhood Care and Education (DECCE-T), or its equivalent.
Certificate in First Aid.
Competencies
Passionate about nurturing a love for learning and in making a difference in the lives of children
Passionate in teaching
Patience and compassion for working with young children
Excellent interpersonal and communication skills
A team player"
Mandarin Pre School teacher,MODERN MONTESSORI INTERNATIONAL PTE LTD,MCF-2023-0439961,"MMI BUILDING, 72 SOUTH BRIDGE ROAD 058702",Full Time,Junior Executive,1 year exp,Education and Training,"['$3,000to$4,500']",Monthly,7 applications,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description
Plan, supervise and implement the programme for the class in accordance with Centre’s policies and framework.
Conduct evaluation of lessons
Classroom management and active communication with parents
Ensure safety and hygiene of the childre

RequirementsDiloma in Early Childhood Education its equivalentL1 / L2 Certified.
Have a passion in teaching young children.
Possess excellent communication and interpersonal skill.
Candidate without experience are welcome to apply
2. SKILLS"
Art Teacher (Part time / freelance),VANTAGE CENTRE PTE. LTD.,MCF-2023-0719317,"Kallang Wave Mall, 1 Stadium Place 397628","Contract, Part Time, Freelance, Internship/Attachment",Executive,1 year exp,"Customer Service, Education and Training","['$800to$2,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
We are looking for you if you have a cheerful personality and love working with children! Are you passionate about engaging children in their learning and development, and conducting fun and creative art lessons for ages 3 and up?

Job Description
Educate children on art principles and techniques while encouraging creative expression and nurturing artistic instinct and abilities
Facilitate and encourage a learning experience which provides students with the opportunity to achieve their individual potential
Create a positive classroom environment that is conducive for learning, by interacting and engaging with children
Foster and promote social development by encouraging good behaviour and positive interaction with others
Execute lesson plans according to in-house training standards and facilitate art teaching in a small group setting
Keep parents up-to-date with children's progress in class
Maintain cleanliness and orderliness of the classrooms and centre in general
Most importantly... ensure you and the children enjoy and have fun in the Art classes!!

Requirements
Diploma in Arts/Design/ Early Childhood/ Teaching/Education or equivalent
Experience with art-teaching or children-related activities
Passionate about creativity and art related activities like drawing, painting and clay
Loves to engage with and able to communicate effectively with children
Positive, fun-loving and engaging personality
Able to work independently or as a group and willing to take initiative
Freelancers / part-timers / interns are welcome to apply"
Special Ed Teacher (freelance / part-time),KIDSPACE LEARNING PLACE PTE. LTD.,MCF-2023-0718276,,Flexi-work,Professional,1 year exp,Education and Training,"['$500to$3,000']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Yes! We would like you to join our team if you:
enjoy working with pre-schoolers and primary school students
have training in special education, learning disorders, psychology, early childhood education
enjoy more flexible work-timings and commitment
have some experience conducting sessions/classes for children"
English Language Teacher - Education / Lessons Planning [2683],THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0719505,,Full Time,Junior Executive,2 years exp,Education and Training,"['$3,200to$4,200']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
WhatsApp: +65 90820021 (Kyler)
Email: kylergan.supreme@gmail.com

Working Day: 5-day work week including 1 weekend
Working Hour: Weekdays: 10.30am to 7.30pm //12.30pm to 9.30pm | Weekends: 8.45am - 6.30pm
Salary: SGD 3,200 - SGD 4,200
Location: Clementi, Bukit Batok, King's Arcade, Ang Mo Kio, Hougang, Marine Parade, Tampines

Job Responsibilities:
Plan and deliver English language composition writing and English language lessons in accordance with the Company's guidelines and framework to achieve desired learning outcomes.
Mark students' scripts in accordance with the Company's guidelines and rubrics
Ensure marked scripts are returned in a timely manner.
Maintain accurate records of students' progress and cater to students' educational needs in a timely manner.
Be actively involved in the planning and preparation of curriculum and innovation of teaching methodology.
To provide timely feedback to parents and address their concerns appropriately.
To be tasked with 12 classes of various levels (Primary 1 - Secondary 4)
For complete list of jobs opportunities please visit
Supreme Full Jobs List
Part Time / Contract Staffing Telegram Group

The Supreme HR Advisory Pte. Ltd | 14C7279
Gan Kai Le | R23112683"
Preschool Malay language / English language Teacher [ Sembawang / Jurong / zr328 ],THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0719222,"SHENTON HOUSE, 3 SHENTON WAY 068805","Permanent, Full Time",Junior Executive,1 year exp,Education and Training,"['$2,800to$3,800']",Monthly,0 application,Posted 20 Sep 2023,Closing on 20 Oct 2023,"Roles & Responsibilities
Job Description:
Plan and introduce language immersion programs and activities with children.
Create meaningful language opportunities for children where a love for languages can be encouraged and nurtured.
Document children’s learning through contributions towards newsletters, class panels and children’s portfolios;
Build warm relationships and partnerships with parents and work effectively in a dynamic team.
Share in the management of pastoral care, health, welfare and behaviour of all children and in particular, those within your designated class group.
Respect and value each child’s social, cultural and religious background and by example, provides mutual respect and tolerance.
Maintains professional dialogue with colleagues concerning children, other colleagues and the school.
Job Requirements
Diploma in Early Childhood Care & Education –Teaching Malay language at GCE ‘O’ Level or its equivalent;
Registered ECDA educator with L2 certification (Preferred)
At least 1 year working experience
📷 Email：supreme.johnlau@gmail.com
📷 Whatsapp：+65 8656 3696
📷 Lau Zhao Rui Reg.No: R22109652
📷14C7279 The Supreme HR Advisory Pte Ltd"
7521 - Childcare Language Teacher 幼教老师 [托儿所],THE SUPREME HR ADVISORY PTE. LTD.,MCF-2023-0719583,,"Permanent, Full Time",Junior Executive,2 years exp,Education and Training,"['$2,400to$4,500']",Monthly,0 application,Posted 20 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
planning, preparing and delivering lessons
helping pupils improve their listening, speaking, reading and writing skills via individual and group sessions
preparing teaching materials
checking and assessing pupils' work
organising and running specialist courses
attending social events
负责幼儿园班内的日常教学工作
协助幼儿园内的后勤服务工作
负责安排班内幼儿一日生活
负责幼儿园的家庭教育指导工作
负责幼儿园的亲子早教工作
善于与家长沟通，及时了解家长需求，并能有效地反映宝宝在园情况
Bryan Jonathan Wong Yu Bao EA Reg No.: R23117521
The Supreme HR Advisory Pte Ltd EA No.: 14C7279"
