job_post_id,title,address,department,salary_range,company_profile,description,requirement,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,min_experience,company,industry,salary_type
MCF-2023-03021,Senior Project Manager,"50 Raffles Place, #15-01, Singapore Land Tower, Singapore 048623",Project Management,12000-15000,Global Solutions Ltd. is a leading project management firm with a strong track record of successful projects worldwide. We are committed to excellence and seek a Senior Project Manager to join our dynamic team.,"As a Senior Project Manager at Global Solutions Ltd., you will oversee complex projects from initiation to completion. Your leadership and project management skills will ensure the successful delivery of projects.",10+ years of project management experience,Competitive salary and bonus,0,0,1,Full-time,Mid-Level,8,Global Solutions Ltd.,Project Management,Monthly
MCF-2023-03022,Legal Counsel,"6 Battery Road, #20-01, Singapore 049909",Legal,15000-18000,LegalEase Partners is a reputable law firm providing legal counsel to clients in various industries. Join our legal team as Legal Counsel and contribute to delivering high-quality legal services.,LegalEase Partners is looking for a Legal Counsel to provide legal advice and support to clients. You will handle various legal matters and contribute to legal excellence.,Law degree and bar admission,Healthcare and dental coverage,0,1,1,Full-time,Director,4,LegalEase Partners,Legal Services,Monthly
MCF-2023-03023,Data Analyst (Contract),"3 Church Street, Samsung Hub, Singapore 049483",Data Analysis,6000-8000,TechData Analytics is a data-driven company seeking a Data Analyst (Contract) to support our analytics projects. Be part of our team and gain experience in data analysis.,"Join TechData Analytics as a Data Analyst (Contract) to work on data analysis projects. You will analyze data, generate insights, and contribute to data-driven decision-making.",Experience in data analysis preferred,Contract-based role,0,1,1,Contract,Senior Level,5,TechData Analytics,Data Analytics,Monthly
MCF-2023-03024,Marketing Director,"1 Raffles Quay, North Tower, Singapore 048583",Marketing,18000-22000,MaxiMedia Group is a marketing agency specializing in digital marketing strategies. We are looking for a Marketing Director to lead our marketing efforts and drive business growth.,MaxiMedia Group is in search of a Marketing Director to lead our marketing team. You will develop and execute marketing strategies to drive brand awareness and growth.,10+ years of marketing experience,Performance-based bonuses,0,0,0,Full-time,Senior Level,2,MaxiMedia Group,Marketing,Monthly
MCF-2023-03025,UX/UI Designer,"9 Temasek Boulevard, #04-02, Suntec Tower Two, Singapore 038989",Design,8000-10000,DesignMasters Co. is a design studio dedicated to creating exceptional user experiences. Join our team as a UX/UI Designer and shape the future of design in the digital space.,DesignMasters Co. is hiring a UX/UI Designer to create user-centered designs. Your designs will enhance user experiences across digital platforms and products.,Strong portfolio of design work,Flexible work hours,0,0,1,Full-time,Senior Level,0,DesignMasters Co.,Design,Monthly
MCF-2023-03026,Supply Chain Analyst,"30 Cecil Street, Prudential Tower, Singapore 049712",Supply Chain,7000-9000,SupplyLink Solutions is a supply chain management company that optimizes logistics operations. We are hiring a Supply Chain Analyst to enhance our supply chain processes.,SupplyLink Solutions is looking for a Supply Chain Analyst to optimize supply chain processes. You will analyze logistics data and make recommendations for improvements.,Supply chain experience is a plus,401(k) retirement plan,1,1,0,Full-time,Entry Level,10,SupplyLink Solutions,Supply Chain,Monthly
MCF-2023-03027,Part-Time Content Writer,"20 Anson Road, #09-01, Twenty Anson, Singapore 079912",Content Creation,3000-4000,CreativeWords Co. is seeking a Part-Time Content Writer to create engaging content for various platforms. Unleash your creativity and be part of our content creation team.,CreativeWords Co. is seeking a Part-Time Content Writer to produce creative and engaging content. Your writing skills will captivate audiences and convey impactful messages.,,Part-time schedule,1,0,1,Part-time,Senior Level,6,CreativeWords Co.,Content Creation,Monthly
MCF-2023-03028,Finance Manager,"71 Robinson Road, #10-02, Singapore 068895",Finance,14000-16000,FinanceWizards Ltd. is a financial consultancy firm known for its financial expertise. We are looking for a Finance Manager to oversee financial operations and strategy.,FinanceWizards Ltd. is hiring a Finance Manager to oversee financial operations. You will provide financial guidance and support strategic financial decisions.,CPA qualification is a plus,Generous annual leave,1,0,0,Full-time,Entry Level,10,FinanceWizards Ltd.,Finance,Monthly
MCF-2023-03029,Software Engineer,"15A Hoe Chiang Road, Tower Fifteen, Singapore 089316",Software Development,10000-12000,TechSavvy Innovations is a tech startup that thrives on innovation. Join us as a Software Engineer and work on cutting-edge software projects.,TechSavvy Innovations is in search of a Software Engineer to develop software applications. Your coding skills will contribute to innovative software solutions.,Proficiency in Java and Python,Stock options,1,1,0,Full-time,Mid-Level,3,TechSavvy Innovations,Technology,Monthly
MCF-2023-03030,Clinical Research Manager,"11 Jalan Bukit Merah, #03-4444, Singapore 150011",Clinical Research,16000-20000,HealthResearch Pro is dedicated to advancing healthcare knowledge. Join us as a Clinical Research Manager and contribute to meaningful healthcare research.,Join HealthResearch Pro as a Clinical Research Manager to lead research efforts. You will design and oversee clinical studies that advance healthcare knowledge.,Clinical research experience required,Professional development,1,0,1,Full-time,Senior Level,8,HealthResearch Pro,Healthcare,Monthly
